Cognate_ID	alak	bahnargolar	bahnarkontum	bahnarpleiku	brao	bunong	cheng	chrau	cua	halang	jeh	jrulaven	kasseng	khaonh	mel	mnongrlm	nyaheun	ramam	rengao	sapuan	sedang	sre	stieng	tampuan
16_boat	tʼ uː k			p l u ŋ	d uː k		d uː k	d uː ʔ	ɡ eː + b ɔː k	p l uː ŋ	p l uː ŋ	d u o k	d uː k	ɗ ṳː k	ɗ ṳː k	ɓ a k eː	d u o k	p l a u k ŋ	p l ṳ ŋ	d u o k	ɗ ɔ̰	p l u ŋ	d uː k	t ṳ u k
170_tosee	t a l	ɓ o h	ɓ o h	ɓ o h	t a j	w a ɲ	t aː ə	s eː n	h l ʌ ʔ	k ɛː	t a w	t a w	t a ɯ	ʔ a ɲ	a n s ə ɨ	s ɔː	t əː	k ə ɺ	h l ɔ ʔ	t a j	h n a j	ɡ ɔ	cʰ a w	h a j
171_tosell	p l aː ŋ	t ɛ c	t ɛ c	t ɛ c	m p u a t			t a c	t ɛ c	t ɛ k	t ɛ k	t e c	t a c	t a c	t a c	t a c	t e c	p ə p ɔː	t ɛ k	t ɛ c	t e	t a c	t a c	b a r oː
172_tosew	cʼ iː ŋ	s i t	s i t	s i t	ɟ i ŋ	k c ɔː h		ɟ i ɲ	s iː t	s i̤ ʔ		ɟ iː ɲ	ɟ iː ŋ	ɟ ʊ ŋ	ɟ ʊ ŋ	k ə c ɔ h	ɟ i ŋ	s u m	ts i̤ t			ɟ i ŋ	ɟ e ɲ	c ɨ̤ ŋ
173_toshoot	p a ɲ			p r a h	p a ɲ	p a ɲ	p a ɲ	p a ɲ	p ɛ c	p ɛ ŋ	p ɛ ŋ	p ɛ ɲ	p a ɲ	p a ɲ	p a ɲ		p a ɲ	p ɛ ŋ̊	p ɛ ŋ	p a ɲ	p ɛ̰ ŋ	p a ɲ	p a ɲ	p a ɲ
174_tosit	t a ʔ oː j	ʔ w ɛː j	ʔ w ɛː j	ʔ w ɛː j	k uː	k ṳ ʔ	k r k uː	ɡ u ʔ	ŋ oː j	h ə ʔ n əː l	s i ʔ n a̤ n	ŋ ɔː k	ʔ ə ɟ oː t	ʔ ɡ o k	ʔ ɡ o k	ɡ uː k	k u o	ʔ ɔ j	ʔ w ɛ j	k u o			ɡ o ʔ	ŋ w ʔ a e
175_tosleepliedown	ŋ a ɲ + pʼ i c	t ɛː p	t ɛː p	t ɛː p	ŋ k ɨ j + h ŋ a n	p e̤ c	h a n + c i n	v i ʔ	b i c	k uː j	k a̤ t	k u j + ŋ e n	l eː c	ɓ ɪ c	b ɪ c	b e ʔ	k w iː		k ṳ j	k u j	k ɔ j	b i c	b e c	t a i p
176_tosmellreceiveodor	h ɨː t			ɓ ə w	m u k		m u k		h iː p	s uː r	h ṳ j	h ɨː t				mʰ əː ŋ	h ɨː t		ʔ m ə w	m u k	s ṵ	r ə h i p	h eː p	
177_tospit	k ə c ɔ h	k ə s ɔ h	k ə s ɔ h	k ə s ɔ h	k ə j o h	s ɔː h		cʰ ɔ h	k a s o h	k ə c u h	k ə c u h	k c o h	ʔ ə c o h	s ə p ɛ c	d ə b ə c	s ɔ h	ɡ j o h	k ə c ɔ h	c u h	k a ɟ ɔ h	k ə c o w	cʰ ɔ h	cʰ ɔ h	k a s o h
178_tostand	cʼ a cʼ r a w	ʔ j uː ŋ	ʔ j uː ŋ	ʔ j uː ŋ	ɟ o ŋ	t ə̤ː k	d ɨ k	t aː w + j a ʔ	d ɨː k	j u a ŋ	ɟ ṳ a ŋ + d a̤ ŋ	ɟ ʌ ŋ	j uː r	ɲ ə ɲ a w ŋ	ʔ ə ɲ ɔː ŋ	d a k	ɟ ʌ ŋ	ɲ u ŋ		j ɔ ŋ		n t aː w		
179_tosteal	t a t uː ŋ	t ə t oː ŋ	t ə t oː ŋ	t ə t oː ŋ	t o ŋ	n t u ŋ			s aː + t o k	t uː ŋ	t uː ŋ	t m o ŋ	t o ŋ	t ɔ ŋ	t ʊ ŋ	b l a c	m m u o ŋ	t ɔ ŋ̊	t ṳ ŋ		t ɔ ŋ	k ə ɲ a w	t ə t uː ŋ	ʔ n t o ŋ
17_bodyhairfeathers		s ɔ k	s ɔ k	s ɔ k	cʰ o k	r s aː w	s ɔ k	s i n ɔː ʔ	h l oː k	s ɔ k	s u k + s uː n	m u a r	s o k	s ɔ k	s ɔ k	n oː k	m u a n	ts a k	ts ə̤ k	s ɔ k + m u a l	s a k	t ə n ɔ	p ɛ n a r	s a s ɔ k
180_totiebind	t ɔː m	c o ʔ	c o ʔ	c o ʔ	b ɨ k	k əː t	b ɨ k		b ɛ c	b e̤ ʔ	r i h	b ɨ k	b ɤ k	k ə t	k ə t	k a t	b ɨ k		k ə̤ t	b ɨ k	p a	k ə t	k ɔ t	c ɔː ʔ
181_tourinateurine	p n oː m	ʔ n oː m	ʔ n oː m	ʔ n oː m	n oː m		d aː k + d oː m	n oː m	k a n ɨ m	s o̤ː r	k ə ʔ n u m	k n oː m	ʔ ə n oː m			n oː m	n n oː m	k ə n oː m	n ɔ m	n oː m	n ṵ m	n o m	n oː m	d a o m
182_tovomit		h a k	h a k	h a k	d ɨː ʔ	h ɔː k	d ɨː ʔ	h ɔː ʔ	h a ʔ	h aː k	h aː k	k ə h aː k	ʔ ə t a ʔ	h a w k	h ɔː k	h u o k	ɟ r a k	h a k	h aː k	d ɨ ə ʔ	h e ə	h a ʔ	h ɔː k	h a k
183_towakeupawaken	p a ŋ ʔ ɔ h	h ə ɗ ə r		h ə ʔ n ə r	p ə r a j	k a h		p r ɛː	k a h	pʰ i̤ ə k	t t r o ʔ	ʔ j əː	ʔ ə s ɤ t			k a h	h l ɨ ŋ		r i̤ w	r a j	r i w	k a h	k a h	
184_towalkgo	tʼ aː ŋ	j aː k		j aː k	d ɑ k	h aː n	d ɔ k + ɟ i ŋ	s aː ʔ	h ɔː j	h w ɛ t	cʰ i̤ w	d ə k	c iː w	h ɑ n	h a n	l oː t	d r ɐ k	p r u k	b r o̤ː k	d ɔ k	p r o k	l ɔ t	h a n	c aː k
185_towashhandsthings	r aː w	ʔ ɲ aː w	ʔ ɲ aː w	ʔ ɲ aː w	cʰ d aː	r aː w	r aː w	r aː w	ʔ ɲ aː w	r aː w	r aː w	h t aː	ʔ ə r aː w	ʀ ɑ w	ə r a w	r aː w	h r aː	ɣ aː w	r aː w		ʂ ɛ̰ o	r aː w	r aː w	r aː w
186_toweave	t aː ɲ	t aː ɲ	t aː ɲ	t aː ɲ	t aː ɲ	t aː ɲ	t aː ɲ	t aː ɲ	t aː c	t aː n	t aː n	t aː ɲ	t aː ɲ	t aː ɲ	t aː ɲ	t aː ɲ	t aː ɲ	t a n̥	t aː n	t aː ɲ	t ḛ n	t a ɲ	t aː ɲ	t aː ɲ
187_tongue	m p eː t	r ə p j ɛ t	r ə p j ɛ t	r ə p j ɛ t	m p i a t	m p j aː t	m p i ɛ t	l ə p i e t	r a p i a t	r ə p i ə t	r ə p i a t	p i a t	ʔ ə p i ə t	ⁿp e æ t	l ə p i ə t	p i e t	p i a t	p a i t	r ə p ɛ t	p i a t	r ə p i ɿ	l ə m p i a t	l p i e t	ʔ m p j ɛ t
188_tooth	c a n a ɲ	s ə n ɛ ɲ	s ə n ɛ ɲ	s ə n ɛ ɲ	p ɨ ŋ	s eː k	p ɨ ŋ	s eː c		h ə n ɛ ŋ	s i ʔ n ɛ ŋ	p ɨ ŋ	p ɯː ŋ	s eː c	s eː c	s eː k	p ɨ ŋ	h ə n ɛ ŋ	h ə n ɛ ŋ	p ɨ ŋ	h ə n ɛ̰ ŋ	s iː	cʰ eː k	s a n a ɲ
189_tree	t əː m + ʔ l ɔː ŋ	ʔ l ɔː ŋ	ʔ l ɔː ŋ	ʔ l ɔː ŋ	t əː m + l ɔː ŋ		t əː m + l ɔː ŋ		ʔ o l	ʔ l ɔ a ŋ	ʔ l ɔː ŋ	t ʌː m + ʔ l ɔː ŋ	t ɤː m + l ɔː ŋ				t ɐː m + ʔ l ɔː ŋ	l ɔː ŋ + ʔ a u ŋ	l ɔ ŋ	l ɔː ŋ	l ɔ̰ ə ŋ			t a ə m + ʔ l oː ŋ
18_bone	k a t iː ŋ	k ə t iː ŋ	k ə t iː ŋ	k ə t iː ŋ	k ə d ɨː ŋ	n t iː ŋ	k r ɨː ŋ	n t iː ŋ	kʰ l i ə k	k ə s i a ŋ	k ə s i a ŋ	k ə t ɨ ə ŋ	ə t i ə ŋ	ⁿt ɪː ŋ	t ɪː ŋ	t iː ŋ	ɡ r ɨ ə ŋ	k ə ts i ŋ	k ə ts e̤ː ŋ	k r a d ɨ ə ŋ	k ə s i a ŋ	n t i ŋ	t i ŋ	n t ɛ i ŋ
190_two	pʼ aː r	ɓ aː r	ɓ aː r	ɓ aː r	b aː r	p a̤ː r	b aː r	v aː r	b aː l	b aː r	b aː l	b əː r	b aː r	b a ɨ	b aː ɨ	b aː r	b aː n	p i ɛ ɺ	b aː r	b aː r	p ɛ̰ ə	b a r	b aː r	p i̤ ə r
191_village	k a k a j					b ɒ n						p n a m	ʔ ə w i ə ŋ			ʔ u o n		d e h				ɓ ɔ n	b ʔ ɔː n	
192_water	tʼ aː k	ɗ aː k	ɗ aː k	ɗ aː k	d aː k	t a̤ː k	d aː k	d aː ʔ	d aː k	d aː k	d aː k	d aː k	d aː k	ɗ ɑ̤ː k	ɗ a̤ː k	d aː k	d aː k	ts i a k	d aː k	d aː k	t e ə	d aː	d aː k	t i̤ ə k
193_white	pʼ ɔː k	k ɔː k	k ɔː k	k ɔː k	b ɑː k	ŋ l aː ŋ	b ɔː k	v ɔː ʔ	k ɔ ʔ	k ɔ ʔ	t ə b ɔː k	ʔ b ɔː k		ɓ a̤ː w k	ɓ ɔ̤ː k	b u o k	b ɔː k	k ə p u o k	t ə b ɔː k	b ɔː k	b o ŋ	b ɔː	ŋ l aː ŋ	b aː k
194_windair	kʼ a r j aː l	k j aː l	k j aː l	k j aː l	k ə j ɨː w	s j aː l	k a j ɨː w	cʰ aː l	kʰ iː l	k ə j aː l	k ə j aː l	k j ɨ ə l	k i a l	ɟ aː l	ɟ aː l	p o h + h aː l	k j e w	kʰ i a ɺ	k ə j aː l	b r iː + k a j uː	kʰ ḭ e	c aː l	c aː l	kʰ j aː l
195_wing	s a p iː ŋ	p ə n a r	p ə n a r	p ə n a r		n a r	p n a l	p ə n a r	p a n ɨ l	m ə n a r	m ə n a l	p n a r		p n a ɵ	p ə n a ɨ	t iː ŋ + n a r	n n a n	c a ŋ	m ə n a r	p a n a r	m ə n a̰	ɗ a r	p ə n a r	
196_woman	ʔ a r o h	d r a ʔ k a n	d r a ʔ k a n	ʔ a k a n	k ə t r iː	p ṳ + ʔ uː r	t r iː	ʔ uː r	k a d r iː	m ə n d r a j	d r i̤ː + d r i̤ː	t r i e	ʔ a n + ʔ ə r ɤ j	ɣ ə ʔ uː l	l ə ʔ uː l	d r u h	ʔ m ɛː + t r i e	k ə ɣ a j	k ə d r i̤ː	t r iː	k ə d r a j	ʔ uː r	d ə ʔ uː r	ŋ k a n
197_year	c a n a m	h ə n a m	h a n a m	s ə n a m		n a m		m b aː	s a n ɨ m	h ə n a m	h n a m		n a m	cʰ n a m	cʰ n a m	n a m		h ə n a m	h ə n a m		h ə n a̰ m	s ə n a m	s ə n a m	s a n a m
198_yellow	r aː k			d r ɛː ŋ	r ə m eː t	m aː h		r ə m ɨ t	d r eː k	d r iː ŋ	d r i ŋ	h m eː t	r aː k	ɟ ə ŋ + ʔ eː ŋ			h m eː t	t ɣ eː ŋ	d r iː ŋ		t r ḭ ŋ	d u m	eː r	k ə m i t
199_youplye		ʔ j ɛ m	ʔ j ɛ m	ʔ j ɛ m	cʰ a j	kʰ a n + a j + m a j			ʔ eː p	ʔ n iː	ʔ e̤ m	p ɛː				m ɛː	p ɛː	p iː	c ɔ p	m uː + s a j	p ɔ̰		m a j	ʔ n d ə i s
19_bowcrossbow	t aː r	h r a ʔ	h ă r ă	h r a ʔ	b r u a x	n aː	s r aː		p a n e ŋ	m ə n ɛ ŋ	m ə n ɛ ŋ	h n aː	ə n a ɲ			n aː	ɲ̊ r aː	ts aː w	m ə n ɛ ŋ	s o ʔ	m ə n ɛ̰ ŋ	s ə n a	s ə n aː	s r a ʔ
1_alcoholliquor		h ə d r oː	s iː k	s iː k							n n a h			ɓ ɛ̤ h	ɓ e̤ h							t ə r n o m		
200_yousingthou	m a j	ʔ ɛː	ʔ ɛː	ʔ ɛː	cʰ a j	a j	s a ɨ	ʔ a j	m aː j + ʔ i ə	m iː	m iː	s a w	m eː			m ɛː	s a	p iː	n u ʔ	s a j	ʔ ɛ h	m i	ʔ a j	ʔ ə i s
20_brain		ʔ ŋ ɔː k	ʔ ŋ ɔː k	ʔ ŋ ɔː k					ŋ ɔː k	ŋ ɔ a k	ʔ n ɔ k	h t o k	ʔ ə d u ə k			d l ɔː	t ʔ ɔ k	k l u ɔ	ŋ ɔː k		ŋ ɔ ə	t ə ŋ o h	r ŋ ɔː k	t a ŋ ɔː k
21_branch	m aː k	t ə ɓ l aː	t ə b a	t ə ɓ l aː	t ɨ r b ɨː		k i ɛ ŋ + l ɔː ŋ		ɡ a j	t ə ɓ aː	k ə m uː ŋ	k ɨ ŋ	n d aː j	m a e k + s iː	m ɛː k	m b a h	t t i a ŋ + ʔ l ɔː ŋ		t ə k ə̤ ŋ		t ə k a ŋ	n t i + cʰ i	tʰ aː ŋ	t a r d ɔː ŋ
22_breast	t ɔ h	t ɔ h	t ɔ h	t ɔ h	t ɑ h	t a ŋ + t əː h	t ɔ h	ɡ ə t ɔ h	t o h	t u h	t u h	t o h	t o h			t ɔ h	t ɔ h	t ɔ h		t ɔ h	t o w	n t ə h	t ɔ h	t o h
23_chickenfowl	ʔ ɛː r	ʔ j ɛ r	ʔ j ɛ r	ʔ j ɛ r	ʔ j i a r	j a r	ʔ i a r	ʔ i e r	ʔ iː l	ʔ i ə r	ʔ i a l	ʔ i a r	ʔ i ə r	ʔ e ɵ	ʔ iː ɨ	ʔ i e r	ʔ i a n	ʔ a i ɺ	ʔ iː r	ʔ i a r	ʔ ḭ	ʔ i a r	ʔ i e r	ʔ j ɛ r
24_childson	k ɔː n	k ɔː n	k ɔː n	k ɔː n	k u a n	k ɔː n	m ɛː + t r k u a n	k ɔː n	k ɔː t	k o a n	k ɔː n	k u a n	ʔ a n + k ɔː n	k ɑ w n	k ɔː n	k u o n	k u a n	k ɔː n	k ɔː n	k u a n	k ɔ n	k o n	k ɔː n	k oː n
25_cloud	m m uː k	h ə m ə l	h ə m ə l	h ə m ə l	j uː k	p j ṳ t		t u ʔ		s i k s u k	k ə s o̤ k	h m ə l		b ə b ɔː k	b ə ɓ ɔ̤ː k	ɲ u e	j u o k	h ə m ɯ l	j ṳ k	s ɔː k + j u o k	s ɔ k	mʰ w a l	t o k	k a m ɔ l
26_cold	t a k a t	t ə ŋ j ɛ t	t ə ŋ j ɛ t	t ə ŋ j ɛ t	ɡ ɑː	n ɨ ʔ ɨ k	h a d ɛ h	l ə ʔ iː ʔ	ɟ a l ɛː k	h ə ʔ ŋ i ə t	s i ʔ ŋ aː m	ʔ d ɛ h	ŋ k a t	l ɑ ʔ ɑː k	l ə ʔ aː k	k a t	n t ɛ h	t ə ŋ a i t	t ə ŋ ɛ t	n d ɛ h	ŋ e	ŋ i t	l ŋ eː t	l a ʔ ɑ t
27_dog	c ɔː	k ɔ ʔ	k ɔ ʔ	k ɔ ʔ	c ɑː	s ɔː	c ɔː	s ɔː	s ɔ	c o u	c ɔ w	c ɔː	c ɔː	s a w	s ɔː	s a w	c ɔː	c ɔː	c ɔː	c ɔː	c ɔ̰	s ɔ	s oː	ç oː
28_dry	h a k ɔ h	h r ɛ ŋ	h r ɛ ŋ	s r ɛ ŋ	cʰ r a k	s əː h		r ɔː	h r a k	s r a m	r a ŋ	c r a m	l ə ɡ ɔ h	s ə h	s ʊ h	k r ɔː	s r a ŋ	k w ɔ ʔ	ts r iː ŋ	t r a m	ʂ ḭ ŋ	s ə h	p r a ŋ	cʰ w a t
29_ear	n t oː	ɗ ɔː n	ɗ ɔː n	ɗ ɔː n	t r ə p i t	t oː r	t r p i t	t oː r	t oː l	p əː t	p a̤ t	h p iː t	t oː r	t a ɵ	t o w	t oː r	p p i t	p a t	d ɔː n	t a p i t	t ṵ ə n	t o u r	t oː r	t a o r
2_alivelive	pʼ r oː s	h ə d r i h	ʔ a d r i h	ʔ a d r i h	ɲ i w	r eː h		r i h	r i lʰ	p e̤ː n	p e̤ː n	d ɛ j				b r e h	ɲ i w		h ə r i̤ h		r ɛ h	r i s	r e h	ʔ ŋ r ə i s
30_earthsoil	t ə n ɛ h	t ɛ h	t ɛ h	t ɛ h	p ə d e h	n eː h	t ɛ ʔ	n t ɛ h	b ə r i	t ə ʔ n e h	ʔ n ɛ h	p ə t ɛ h	ʔ ə n ɛ h	ɗ̥ a e ç	t ɛ h	t ɛ h	b r ɛ h	k ə n ɛ̃ h	t ə ʔ n i h	p a d ɛ h	t ə n ɛ j	ʔ uː	s ə t ɛ h	t ɛ h
31_egg	k a n t a p	k ə t a p	k ə t a p	k ə t a p	k ə l eː	t a p	k l ɛː	c a p	k a t a p	k ə t a p	t ə t a p	k l ɛː	l ɛ h	k ə t a p + ʔ e ɵ	k ə t a p + ʔ i ɨ	t a p	k l ɛː	k ə t a p	k ə t a p	k a l ɛː	k ə t a	t a p	t a p	k ə t a p
32_eight	t a ŋʰ aː m	t ə h ŋ a m	t ə h ŋ a m	t ə h ŋ aː m	tʰ aː m	pʰ aː m	tʰ aː m	pʰ aː m	tʰ əː m	t ə h aː m	t ə h aː m	tʰ aː m	t ə ŋʰ aː m	pʰ ɑː m	pʰ aː m	pʰ aː m	tʰ aː m	t ə h aː m	t ə h aː m	tʰ aː m	t ə h ɛ̰ ə m	pʰ a m	pʰ aː m	t ə ŋʰ aː m
33_eye	m a t	m a t	m a t	m a t	m a t	m a t	m a t	m a t	m a t	m a t	m a t	m a t	m a t	m ɑ t	m a t	m a t	m a t	m a t	m a t	m a t	m a	m a t	m a t	m a t
34_fardistant	c ə ŋ aː j	h ə t ɔ l	ʔ a t a jʰ	ʔ a t a jʰ	c ɨ ŋ aː j	ŋ aː j	t r ŋ aː j	ŋ aː j	s a ŋ ɨː j	h ə ʔ ŋ aː j	s i ʔ ŋ aː j	h ŋ aː j	w aː c	ŋ ɑː j	ŋ aː j	m əː ɲ + m aː ɲ	ŋ j ɛː	t ə h ãː j	h ə ʔ ŋ aː j	s a ŋ aː j	h ə ŋ ḛ	ŋ a j	ŋ aː j	c a ŋʰ aː j ʔ
35_fatoilgrease	pʼ a ŋʰ uː				p uː ŋ	ŋ iː	r iː k		k a p ə ʔ	b ə d r ɛ a ŋ	p ə d r ɛː ŋ	p u k	b o k	kʰ l ɑ ɲ	b ə d r i ə ŋ	n d r i e ŋ	p u k	p o ŋ	b iː k	p u k		d ə ŋ i	p r iː ŋ	p o ŋ
36_fearafraid	k ɛː c	h l iː	ʔ j u ʔ	h l iː	d uː ŋ				ʔ j o ʔ	h ə m ɔ h	ʔ j u ʔ	h m o ʔ				kʰ iː r	h m o ʔ	ʔ j u ʔ	j ṳ ʔ	k a m a m	r e	c u	pʰ o ŋ	ʔ j o u ʔ
37_fecesexcrementshit	ʔ ɔː ʔ	ʔ i c	ʔ i c	ʔ i c	t r a c		ʔ i c			ʔ i k	ʔ ɛ k	ʔ i c	ʔ i c	ʔ a c	ʔ a c		ʔ i c	ʔ ʌ t	ʔ i̤ k		ʔ e ə k	ʔ e	ʔ a c	ʔ ɔ c
38_fieldirrigated	tʼ a l aː	c u n	m iː r	m iː r	m ɨː r				ɟ i a k	ɟ i̤ ə k		m ɨ ə r				m iː r	m ɨ ə n			m ɨ ə l	c i ə k	s r e	s r e j	s r ɛː
39_fieldswiddenhill		m iː r	m iː r	m iː r	m əː l		m ɨː r	m iː r			ɟ i̤ a k	m ɨː r	m i ə r			m iː r	m ɨ ə n		ɟ e̤ː k	p a m ɨː j	c i e k	m i r	m i r	m ə i r
3_ant	m b oː c	h m oː c	h m o c	h m oː c	m oː c		s a m oː c		r a m uː t	m uː t	m u t	h m oː c	n uː r			s aː m	h m oː c	h aː ŋ		s a m ɔː c	h m u j	ŋ ɔ ɲ	cʰ i a m	ʔ mʰ m a o c
40_finger	r aː s	a ŋ l o	a ŋ l o	a ŋ l o	t ɨ r p u a c		t r a p u ɛ c		l o k	h ə d r ɛ ŋ	k ə ʔ n ɔː j + t i̤ː	h p u a c	ʔ ə c aː s			k u o n + t iː	p p u a c		h ə d iː ŋ	t a p u a c	h ə ʔ r a̰ ŋ	n a w	l a w	r a ŋ ʔ j aː
41_fire	ʔ uː ɲ	ʔ u ɲ	ʔ u ɲ	ʔ u ɲ	ʔ u ɲ	ʔ u ɲ	ʔ u ɲ	ʔ u ɲ	ʔ o lʰ	ʔ u n	ʔ o̤ n	ʔ u ɲ	ʔ uː ɲ	ʔ o ɲ	ʔ o ɲ	ʔ ɨ ɲ	ʔ u ɲ	ʔ a u n	ʔ ṳ n	ʔ u ɲ	ʔ ɔ n	ʔ o u s	ʔ o ɲ	ʔ o ɲ
42_fish	k aː	k aː	k aː	k aː	t r ɨː	k aː	t r ɨː	k aː	k aː	k aː	k aː	k aː		k ɑː	k aː	k aː	b l aː k	k aː	k aː		k a̰	k a	k aː	k aː
43_five	pʼ a r tʼ a m	p ə ɗ a m	p ə ɗ a m	p ə ɗ a m					p a ɗ a p	b ə d a m	p ə d a m		t ə d a m					c ɛ m̥	p ə d a m		p ə t a̰ m			p a t a̤ m
44_fleshmeat	s a c	ʔ ɲ ɛ m	s ɛ c	ʔ ɲ ɛ m	m aː t	j a m	m aː t		h l ɛ c	r o̤ ʔ	t e̤ː h	t r a w	ɟ eː c	p aː j	ɓ aː j	l a w	m aː t	h l ɔː ŋ	h ə ʔ n i̤ h	t r aː n	c a̰ m	p o a c	p aː j	p ə ŋ l a j
45_flower	p a ŋ k aː w	p ə k aː w	r aː ŋ	p ə k aː w		k aː w		ŋ k aː w	ʔ a r aː k	r aː ŋ	r aː ŋ		ʔ ə r aː ŋ	p ə k a w + s iː	p ə k a w	k aː w		p ə k aː w	r aː ŋ		r ɛ̰ ə ŋ	b ə k aː w	k aː w	p ə k aː w
46_foot	cʼ ɨ ŋ	k ə p aː j + ɟ ə ŋ	k ə p aː j + ɟ ə ŋ	k ə p aː j + ɟ ə ŋ	ɟ ɨ ŋ	c ə̤ː ŋ	ɟ i ŋ	ɟ ə ŋ	p l aː + ɟ oː k	k ə ɡ a ŋ + ɟ o̤ː ŋ	ɟ o̤ː ŋ	ɟ ɨ ŋ	ʔ ə k ɔː ŋ	p aː ŋ + ɟ ə ŋ	k ɔː j + ɟ ə ŋ	p aː ŋ + ɟ ɔː ŋ	ɟ i ŋ		ɟ e̤ː ŋ	ɟ i ŋ	c e ə ŋ	ɟ ə ŋ	ɟ ə ŋ	c i̤ ŋ
47_four	p oː n	p w a n	p w a n	p w a n	p u a n	p w aː n	p u ə n	p u o n	p ɔː t	p u a n	p u a n	p u a n	p u ə n	p o a n	ɓ u ə n	p u o n	p u a n	p ɔ n̥	p uː n	p u a n	p ṵ n	p u a n	p u o n	p w a n
48_frog	k iː t	k iː t	k i t	k ɨː t	k iː t		k iː t	k ɨ t	ʔ oː + ɟ iː	k iː t	k i̤ a t	ʔ k i e t	k iː t	k ə t	k ə t	k ɨ t	k i e t	k ʌ t	k i̤ t + d r ɔ k	k i e t	k ɛ t	k i t	k ɨ t	k ə t
49_fruit	p a l a j	p l ɛː j	p l ɛː j	p l ɛː j	p l a j	p l aː j	p l a j	p l a j	p l a j	p l a j	p l a j	p l a j	p l a j	p l a j + s iː	p l ɛ j	p l ɛː	p l eː	p l a j	p l i̤ː	p l a j	p l a j	p l a j	p l a j	p l a j
4_arrow	p l aː	m r ɔ m	m r ɔ m	ɓ r ə m	d r a ŋ	h a r	s r aː	k a m	r ʌ ŋ	s ɔ a r	p l aː	t ɔ ŋ		h ɑ ɵ	h a ɨ	k a m + t l a k	t ɔː ŋ	k a m̥	r a ŋ	t ɔː ŋ	r a̰ ŋ	k a m		k a m
50_full	pʼ iː ŋ	ɓ e ɲ	ɓ e ɲ	ɓ e ɲ	b i ŋ	ʔ a p + t ɔ ŋ		v eː ɲ	v iː k	b iː ŋ	b i ŋ	b iː ŋ	b iː ŋ	b e̤ː ɲ	ɓ eː ɲ	b iː ŋ	b i ŋ	p ɯ k ŋ	b i ŋ	b i ŋ	p ɛ ŋ	b eː ŋ	b eː ŋ	p a̤ ɲ
51_grandchild	c a w	s ɔ w	s ɔ w	s ɔ w	c a w		c a w	s a w	s a w	c a w	c a w	c a w	c a w			s ɔː	c oː	c a w	c a w	c a w	c a̰ w	s a w	s a w	s a o
52_grass	pʼ a t	ʔ ɲ ɛ t	ʔ ɲ ɛ t	ʔ ɲ ɛ t	b a t	h e p	b a t	ɲ e t		ɲ a t	s ɛ t	b a t	ʔ ə w a t	k ɑ ʔ ɑː ŋ	k a ʔ aː ŋ	b a t	b a t	ɲ ə ɲ a t	ɲ a t	b a t	ɲ a	ɲʰ ə t		s a m a o ŋ
53_green	s iː w	ɟ əː k		ɟ əː k	ɲ əː t	n t r e̤ː h	k a j ɛ ʔ			d r i h	d r i h	k c ɛ ʔ	ɲ iː l	c ə ŋ + ʔ eː ɲ		s ɛː	ɡ j ɛ ʔ	c a t	h ə d r i̤ h		d r ɛ h	t ə l i r	t i a w	p l ɨ̤ː t
54_hairhead	s ɔ k	s ɔ k	s ɔ k	s ɔ k	cʰ o k	s ɔ k	s ɔ k	s ɔ ʔ	h l oː k	s ɔ k	s u k	s o k	s o k	s ɔ k	s ɔ k	s ɔ k	s ɔ k	ts a k	ts ə̤ k	s ɔ k	s a k	s ɔ ʔ	s ɔ k	s ɔ k
55_hand	t iː	t ə p aː j + t iː	k ə p aː j + t iː	t ə p aː j + t iː	t iː	t iː	t iː	t iː	t iː	t i̤ː	t i̤ː	t ə j	t iː	p a ŋ + t e i	t iː	t iː	t iː	t ʌ j	t i̤ː	t iː	t a j	t e	t iː	t ə j
56_head	kʼ ɨː	k ə l	k ə l	k ə l	t uː x	p o̤ː k	t uː ç	v oː ʔ	ɡ ɨ l	k əː l	k a̤ l	t uː s	t uː ç	ɓ o̤ː k	ɓ o̤ː k	b oː k	t u jʰ	k u o ɺ	ɡ ə̤ l	t u i h	k ɔ	b o u	b oː k	k ɔ l
57_heart	k l əː m	n u jʰ	n u jʰ	n u jʰ	t ɨ r b ɨ n	p l a j + n uː ç	p l a j + t uː ŋ	p l a j + n uː s	s uː m	ʔ n o̤ jʰ	ʔ n o̤ː ç		k l ɔː m + l o ʔ			nʰ a m	n u a jʰ		p l i̤ː + ɡ ə̤ l	ɟ a h əː m	ʔ i h i ə m	n u s	n u s	n o u s
58_heavy	kʼ a cʼ ɨ k	t r a p	h ŋ a m	h ŋ a m	k ə j ɨ k	c ə̤ː k		k ə n ɟ ə ʔ	p a r e ʔ	ʔ a k	k l a̤ ŋ	k ɟ ɨ k	k l eː ŋ	k ə ɟ ə k	k ə ɟ ə k	ɟ ɔː k	ɡ j ɨ k	h ŋ a m	h ŋ a m	k ə j ɨ k	h ŋ a̰ m	k ə n ɟ ə	ɟ ə k	k l a ŋ
59_horn	ŋ k a j	h ə k ɛː	ʔ a k ɛː	ʔ a k ɛː		n k eː		ŋ k ɛː	ʔ a k eː	h ə k ɛː					k æː	k aː j		ʔ ɔ ŋ + k ʌ j			k a̰ j	ŋ k e	ŋ k e	ʔ ŋ k ɛː
