Cognate_ID,Diaocao,Mangdi,ProtoLalo,Qingyun,Shuizhuping,Xuzhang,Yangliu,Yijiacun
170_333_soldier,m ei ⁴²,,m e̠ ᶫ/³,m ɛ̠ ²¹ + p a̠ ²¹,m e ⁴⁴ + p a ⁵³,,m ai ⁵³,l e ŋ ²⁴
171_495_dream,z ɿ ²¹ + m ei ³³,i ²¹ + m ɛ ³³ + kʰ a ⁵⁵,ʒ i̠ ᶫ/³ + ˀm e̠ H/¹,ʐ ʅ ²¹ + ˀm ɛ̠ ³³,ʐ ʅ̃ n ⁵³,ʐ ʅ ²¹ + m o ³³,z ɿ ⁴⁵ + m̩ ⁴³ + kʰ a ³³,ɛ ²¹ + m ə ³³
172_495_dream,z ɿ ²¹ + m ei ³³,,ʒ i̠ ᶫ/³ + ˀm e̠ H/¹,ʐ ʅ ²¹ + ˀm ɛ̠ ³³,ʐ ʅ̃ n ⁵³,ʐ ʅ ²¹ + m o ³³,z ɿ ⁴⁵ + m̩ ⁴³ + kʰ a ³³,ɛ ²¹ + m ə ³³
173_203_board,p ɛ ³³,,p ɛ ³,,t e ²¹ + p ɛ ³³,s ɿ ³⁵³ + p ɛ˞/ɛ ³³,p ɛ˞/ɛ ³³,
174_203_board,,t o ²¹ + pʰ ɛ ²¹,pʰ e ²,t i̤ ²¹ + pʰ i̤ ²¹,,,,t a ³³ + pʰ i ²¹
175_39_fire,a ⁵⁵ + t u̠ ⁵²,a ⁵⁵ + t o ʔ ²¹,a ¹ + t o̠ ᶫ/³,a ⁵⁵ + t o̠ ²¹,a ⁴⁴ + t u ʔ ⁵⁵,a ³³ + t u ³³,a ⁵⁵ + t u ⁵⁵,a ²⁴ + t u̠ ʔ ³¹
176_310_female,z ɔ ³³ + m ɛ ²¹,n̩ ²¹ + n ə ⁵⁵ + j o ²¹,z a ² + m ɛ ²,m a̠ ²¹ + ˀɲ i ⁵⁵ + u ²¹,m ɛ ²¹ + z a ²¹,z a ²¹ + m ɛ˞/ɛ ²¹ + z o ²¹,z a ²¹ + m ɛ˞/ɛ ²¹,z ɿ ³³ + m ɨ ³³ + tsʰ ɿ ²¹
177_310_female,z ɔ ³³ + m ɛ ²¹,,z a ² + m ɛ ²,m a ²¹ + ˀɲ i ⁵⁵ + u ²¹,m ɛ ²¹ + z a ²¹,z a ²¹ + m ɛ˞/ɛ ²¹ + z o ²¹,z a ²¹ + m ɛ˞/ɛ ²¹,z ɿ ³³ + m ɨ ³³ + tsʰ ɿ ²¹
178_363_daughter,z ɔ ²¹ + m ɛ ²¹,j o ²¹ + m ɛ ²¹,z a ² + m ɛ ²,z ɛ̤ ²¹ + m ɛ̤ ²¹,z a ²¹ + m ɛ ²¹,z a ²¹ + m ɛ˞/ɛ ²¹,z a ²¹ + m ɛ˞/ɛ ²¹,z o ³³ + m ɛ ²¹
179_505_arrow,m ei ²¹ + z ɔ ²¹,m u ²¹ + j o ²¹,m j a ² + z a ²,t a ²¹ + n a ³³ + m i̤ ²¹,ts ɿ ⁵³,m o ²¹ + tɕ i/j a n ⁵³,,m u/w ɛ ²¹
17_575_sit,n i ²⁴,,n i ¹,n i ⁵⁵,,ɲ i ²⁴,tsʰ o ⁵³,
180_786_weed,s ɿ ⁴² + ts ɿ ³³,m o ²¹ + m o ²¹,m o̠ ᶫ/³,ʂ ʅ ³³ + m o̠ ²¹,ʂ ʅ ²¹ + m u ⁵³,ʂ ʅ ²¹ + m o ³³,m o ⁵³,m u ⁵⁵ + pʰ i ²⁴
181_877_hungry,m ə ⁴²,m ɨ̠ ²¹,m ɨ̠ ᶫ/³,m ʉ̠ ²¹,m ɨ ʔ ⁵³,m ɨ ³³,m u ⁵³,m ɨ̠ ²¹
182_785_clearfield,m i ²⁴ + m u ²¹,pʰ ɛ ²¹ + m ə ⁵⁵,,,ɕ y ²⁴ + tʰ i ⁵³,,t i ³³ + m i ³³ + p ai ³³,g u̠ ⁵³ + pʰ i ²⁴
183_884_sick,n ɔ ²⁴,n o ⁵⁵,n a ¹,n a ⁵⁵,n a ²⁴,n o ²⁴,n a ³³,n o ²⁴
184_810_black,n ei ³³,n ɛ̠ ³³,ˀn e̠ H/¹,ˀn ɛ̠ ³³,n ɛ ⁴⁴,n ɛi ³³,n i ⁵³,n i̠ ³³
185_464_medicineherbalmedicine,n ɛ ³³ + tɕʰ i ²¹,,n ɛ̠,ˀn ɛ̠ ³³ + tsʰ ɿ ²¹,n ɛ ⁴⁴ + tsʰ ɿ ²¹,n ɛ ³³ + tsʰ ɿ ²¹,n ɛ˞/ɛ ⁵⁵ + tsʰ ɿ ⁴¹,n a ³³ + tɕʰ i ²¹
186_464_medicineherbalmedicine,n ɛ ³³ + tɕʰ i ²¹,n a ³³ + tɕʰ i ²¹,n ɛ̠,ˀn ɛ̠ ³³ + tsʰ ɿ ²¹,n ɛ ⁴⁴ + tsʰ ɿ ²¹,n ɛ ³³ + tsʰ ɿ ²¹,n ɛ˞/ɛ ⁵⁵ + tsʰ ɿ ⁴¹,n a ³³ + tɕʰ i ²¹
187_65_dawn,i ⁵⁵ + l i ⁵⁵ + v a ³³ + l a ³³,x o ³³ + m ə ŋ ²¹ + s o ŋ ⁵³,,a ⁵⁵ + n̩ ²¹ + tʰ i ³³ + l a ⁵⁵,n̩ ²¹ + tʰ ɛ ²¹ + g ɨ ³³ + l i ⁴⁴ + g ɨ ³³ + l a ³³,a ³⁵ + m v̩ ⁴¹ + tʰ ɛi ³³,n̩ ²¹ + tʰ ai ³³ + ɲ a ³³,a ²⁴ + tʰ v̩ ²¹ + b o ³³ + l o ²⁴
188_652_pressfillinsqueezeinstuff,ts u ²⁴,t ə̃ ⁵⁵,ts u ¹,ʈʂ ə ⁵⁵,tɕ y ⁵³,ɖʐ ʅ ²⁴¹,h o ³³,k ɛ ³³
189_500_spiritevil,n ei ⁴²,pʰ ɛ ⁵⁵,n e ²,l a̤ ²¹ + k ɨ ³³,l a ²¹ + k ɨ ³³,ʐ a ²¹ + ʈʂ a ²⁴,n ai ²³¹,n i ŋ ²¹
18_575_sit,,d i ⁵⁵,d i ¹,,d i ²⁴,,tsʰ o ⁵³,d i ²⁴
190_626_wearturban,n ei ⁴²,kʰ u̠ ³³,s o̠ ᶫ/³,,s u ⁵³,,t ɨ ⁵³,kʰ u̠ ³³
191_521_lookat,i ⁵⁵,i ⁵⁵,ˀn i ¹,ˀɲ i ⁵⁵,ĩ ²⁴,ĩ ⁴⁵³,v a ŋ ⁵³,i ²⁴
192_829_soft,n ɤ̪/ɤ ²¹,n u ²¹,n u ²,n ə̤ ²¹,n v̩ ²¹,n ɤ̪˞/ɤ ²¹,n ɤ̪/ɤ ²¹,n u ²¹
193_957_1s,ŋ ɔ ⁵⁵,ŋ a ⁵⁵,ŋ a ¹,ŋ a ⁴⁵,ŋ a ²⁴,ũ ⁴⁵³,ŋ a ³³,ŋ o ²⁴
194_958_1pl,ŋ ɔ ³³ + ts ɔ ³³,,ŋ a ¹ + ts a ³,ŋ a ³³ + ts a ³³,,,,
195_958_1pl,n a ⁵⁵ + tɕ i/j a ³³,ə ⁵⁵ + x ɨ ³³,ˀŋ a ²,,u ²¹,n u ⁴⁵³,ŋ a ⁵³,ŋ o ⁵⁵ + s o ³³
196_296_milk,a ⁵⁵ + ts ɿ ³³,a ⁵⁵ + tʃ ʐ̩ ³³,a ¹ + tʃ ɨ̠ H/¹,a ⁵⁵ + ʈʂ ʐ̩ ³³,i ⁴⁴ + ʈʂ ʅ ⁴⁴,a ⁵⁵ + ʈʂ ʅ ³³,a ⁵⁵ + ts ɿ ⁵³,o ²⁴ + tɕ i ³³
197_199_leaf,ɕ i ³³ + pʰ ei ⁴²,j ɛ ²¹ + pʰ ɛ ²¹,pʰ e̠ ᶫ/³,pʰ ɛ̠ ²¹,s ɿ ⁴⁴ + pʰ ɛ ⁵³,s ɿ ³⁵³ + pʰ ɛi ³³,s ɿ ⁵⁵ + pʰ ai ⁵⁵,ɛ ³³ + pʰ i̠ ²¹
198_537_vomit,pʰ ei ⁴²,pʰ ɛ̠ ²¹,pʰ e̠ ᶫ/³,pʰ ɛ̠ ²¹,pʰ ɛ ⁵³,pʰ ɛi ³³,pʰ ai ⁵³,pʰ i ²¹
199_185_chilipepper,l a ²⁴ + dz ɿ ²¹,m a ⁵⁵ + pʰ i ²¹,pʰ e ¹,l a ⁵⁵ + ts ɿ ³³,l a ⁴⁴ + ts ɿ ⁴⁴,a ³⁵ + m v̩ ²¹ + h ĩ ³⁵²,l a ³³ + ts ɿ ³³,ts a ²¹ + pʰ i ²⁴
19_586_awake,x o ⁴² + tɕʰ i ²¹,tʃ ɿ ³³ + m ɨ ⁵⁵,x a̠ ᶫ/³,ɦ ɛ ⁵⁵ + x a̠ ²¹,h ã ⁵³,x o ³³,h a n ⁵⁵ + t ə ³³,x o̠ ²¹ + l o ŋ ⁵³
1_824_straight,dz a ²¹,,dʒ a ŋ ²,ʈʂ ʅ ¹³,dʑ y ³³,ɖʐ a ²¹,ts ɿ ²⁴,dz a ²¹
200_729_existtobe,dz a ²⁴,dz a ³³,dʒ e̠ H/¹,dʑ ɛ̠ ³³,ɖʐ ɛ ⁴⁴,,dz ɿ ⁵⁵,dz a ŋ ³⁵³ + ŋ a ³³
201_674_sendoffdeliver,g ə ²¹,x ɛ ²¹ + x o ⁵⁵ + ɛ ⁵⁵,x ɛ ² + x a ¹,x ɨ ²¹ + a ⁵⁵ + g u ²¹,x ɛ˞/ɛ ²¹ + x a ⁴⁴ + i ⁴⁴,x o ⁴⁵³,x a ³³,x ɛ ³³ + pʰ ɨʲ/ɨi ²⁴
202_757_swell,pʰ ə ⁴²,pʰ ɑ̠ ²¹,pʰ y̠ ᶫ/³,pʰ ø̠ ²¹,pʰ y ⁵³,pʰ ɨ ³³,pʰ ɨ ⁵³,pʰ ə ²¹
203_950_hundred,x ɔ ⁵⁵,x o ⁵⁵,h a ¹,h a ⁵⁵,h ã ²⁴,h õ ⁴⁵³,t a ²¹ + h a ³³,ɛ ²¹ + x o ²⁴
204_180_cabbagegreens,j a ²¹ + l ɔ ³³ + ts ɿ ³³,ɣ a ²¹ + pʰ ɛ ⁵⁵,ɣ a ŋ ²,w ṳ ²¹,w u ²¹ + pʰ ɛ ²⁴,ɣ a ²¹ + tɕ i̠ ³³,tɕʰ i ŋ ³³ + tsʰ ai ³³,v a ²¹ + pʰ i ²⁴
205_306_breath,s ei ⁴² + x a ⁵⁵,s ɛ ²¹ + x o ⁵⁵,s e̠ ᶫ/³ + x a ¹,s ɛ̠ ²¹ + x a ⁵⁵,s e ⁵⁵ + x a ³³,s ɛi ³³ + x o ⁴⁵³,,ɕ i ³³ + pʰ v̩ ²¹
206_306_breath,s ei ⁴² + x a ⁵⁵,,s e̠ ᶫ/³ + x a ¹,s ɛ̠ ²¹ + x a ⁵⁵,s e ⁵⁵ + x a ³³,s ɛi ⁴⁴ + x o ⁴⁵³,,ɕ i ³³ + pʰ v̩ ²¹
207_614_steam,k ɤ̪/ɤ ⁴²,p u ²¹,p u ²,p ʉ ²¹,k v̩ ²¹,,p u ²¹,b v̩ ²¹
208_614_steam,,,s e̠ ᶫ/³,,,s ɛi ³³,,
209_618_kill,s ei ⁴²,ɕ ɛ̠ ²¹,s e̠ ᶫ/³,s ɛ̠ ²¹,s e ⁵³,s ɛi̠/ɛ̠i ³³,s ai ⁵³,s u̠ ʔ ³³
20_223_brains,n u ⁴²,x o ²¹ + p u ⁵⁵ + n u ²¹ + ɣ ɨ ⁵⁵,ˀn u̠ ᶫ/³,ˀn ə̠ ²¹,n u ⁵³,n o ³³ + h õ ³³,n o ⁴⁵³,ɛ ³³ + n u̠ ²¹
210_942_seven,ɕ i ²¹,x ɨ ²¹,x ɨ ²,x ɨ ²¹,x ɨ ʔ ²¹,x ɨ ²¹,x ɨ ²¹,x ɨ ²¹
211_851_new,ɕ i ⁴²,x ɨ̠ ²¹,x ɨ̠ ᶫ/³,x ɨ̠ ²¹,x ɨ ʔ ⁵³,x ɨ ³³,x ɨ ⁵³,ɛ ³³ + x ɨ̠ ²¹
212_878_thirsty,ɕ i ⁴²,ɕ i̠ ²¹,s i̠ ᶫ/³,s ʐ̩ ²¹,s ɿ ⁵³,ɣ ɨ ²⁴ + s ɿ ³³,s ɿ ⁵³,ɕ i̠ ²¹
213_938_three,s ɔ ⁵⁵,s a ⁵⁵,s a ¹,s a ³³,s a ²⁴,s o ³³,s a ³³,s o ³³
214_907_correct,ŋ a ²⁴ + ts ɿ ⁵⁵,dʒ u ²¹,,x o ⁵⁵,ts ɛ ²⁴,,x ɨ ³³,k a ³³ + t ɛ̠ ²¹
215_531_bite,kʰ u ⁴²,kʰ u ²¹,kʰ o̠ ᶫ/³,kʰ o̠ ²¹,kʰ o ⁵³,kʰ o ³³,kʰ o ⁵³,kʰ u̠ ²¹
216_458_hammer,tsʰ u/w e ²¹,t ɛ ²¹ + l u ⁵⁵,,tɕʰ u/w e ²¹,,x u ³⁵ + tɕʰ u/w ɛ ²¹ + tɕʰ u/w ɛ ²¹,x ɨ ³³ + tsʰ u/w ə n ²¹,a ²⁴ + ts u ⁵⁵ + kʰ uʲ/ui ⁵⁵ + j o ³¹
217_216_thorn,dz ə ²¹,a ⁵⁵ + dʒ ə ²¹,dz y ²,a ⁵⁵ + dz y ²¹,a ⁵⁵ + dʑ y ²¹,a ⁴⁵ + dz y ²¹,dz ə ²¹,a ²⁴ + dʑ i ²¹
218_552_pickegfruit,tʰ a ³³,t ɛ̠ ⁵⁵,tsʰ ɛ̠ H/¹,tsʰ a ³³,tsʰ ɛ ⁴⁴,,pʰ ɛ˞/ɛ ⁵³,
219_552_pickegfruit,,x ɛ̠ ²¹,x a̠ ᶫ/³,,,x o ⁴⁵³,,x a̠ ʔ ²¹
21_738_smoke,d u ³³,s ɿ ²¹ + d o ³³,ʃ ɨ̠ H/¹,ŋ ²¹ + kʰ ə ²¹ + t ə ⁵⁵,n̩ ²¹ + kʰ u ²¹ + t u ⁵³,,m i ⁵⁵ + kʰ o ²¹ + d u ³³,a ²⁴ + t u̠ ³¹ + x ə ³³ + ai ²¹
220_582_spendnight,x ei ⁴²,x ɛ̠ ²¹,h e̠ ᶫ/³,h ɛ̠ ²¹,h ɛ̃ ⁵³,x ai ³³,x ai ⁵³,t a̠ ʔ ²¹ + t ɛʲ/ɛi ³³
221_943_eight,x ei ⁴²,x ɛ̠ ²¹,h e̠ ᶫ/³,h i/j ɛ̠ ²¹,h ẽ ⁵³,x ai ³³,x ai ⁵³,x ɛ ²¹
222_290_bile,tɕ i ⁵⁵ + kʰ a ²¹ + j i ²⁴,j a ²¹ + k i ⁵⁵ + ɣ ɨ ⁵⁵,k i ¹ + ɣ i ¹,k ɨ ⁵⁵ + ɣ ɨ ⁵⁵,k ɨ ²⁴ + ɣ ɨ ²⁴,k ɨ ⁴⁵³ + ɣ ɨ ³³,d a n ²¹ + ɣ ɨ ³³,ɛ ²¹ + k i ²⁴ + ɣ ɨ ²⁴
223_477_chopsticks,a ⁵⁵ + dz u ³³,a ⁵⁵ + dʒ u ³³,a ¹ + dʒ u ³,a ⁵⁵ + ɖʐ ə ³³,a ⁵⁵ + ɖʐ v̩ ³³,a ⁵⁵ + ɖʐ ɤ̪˞/ɤ ³³,a ⁵⁵ + dz ə ³³,a ²⁴ + dz u ³³
225_153_tail,m ɛ ²¹,j ɛ ²¹ + m ɛ ²¹,ˀm ɛ ²,ˀm ɛ̤ ²¹,m ɛ ʔ ⁵³,m ɛ˞/ɛ ²¹ + g ɤ̪˞/ɤ ²¹ + ʂ ʅ ²¹,m ɛ˞/ɛ ²¹ + tʰ ɛ˞/ɛ ²¹ + s ɿ ³³,ɛ ³³ + m ɛ̠ ²¹
227_259_buttocks,t a ⁵⁵ + p ə ⁵⁵,pʰ ɛ ²¹ + d ɛ ²¹,d a ŋ ¹,tsʰ ɿ ²¹ + t ə ³³ + kʰ ə ⁵⁵,d u ²⁴ + b ə,d a ⁴⁴ + pʰ i ⁵⁵ + k u ²¹,tsʰ ɛ˞/ɛ ²¹ + b i ³³ + b i ³³,kʰ i ³³ + d v̩ ²¹
228_491_speech,ɣ ɔ ²⁴ + l i ⁵⁵,d a ²¹,ɣ ɛ ¹ + ˀl i ¹,v ɛ ⁵⁵,ɣ ɛ ²⁴ + ʐ ʅ ³³,g v̩˞/v̩ ²⁴ + ʐ ʅ ⁵³,b ei ⁵⁵ + ŋ ɛ ³³,d a ²¹
229_491_speech,,,ɣ ɛ ¹ + ˀl i ¹,v ɛ ⁵⁵,ɣ ɛ ²⁴ + ʐ ʅ ³³,g v̩˞/v̩ ²⁴ + ʐ ʅ ⁵³,b ei ⁵⁵ + ŋ ɛ ³³,d a ²¹
22_281_navel,z ɿ ⁴² + k ɤ̪/ɤ ³³ + t ei ³³,t o ŋ ²¹ + ts u ⁵⁵ + l u ³³,tʃʰ e̠ H/¹ + d u ¹,tɕʰ ɛ̠ ³³ + m a ³³ + d ə ²¹,d u ²⁴ + tsʰ ɛ ²¹,tɕʰ i ⁴⁵ + m u ⁵⁵ + d u ²¹,tsʰ ai ⁵⁵ + d o ⁴¹,tɕ i ŋ ²⁴ + d u ³³
231_895_alive,,,k a ²,,,x o ³³ + kʰ ɨ ³³ + l a ³³,,k o ⁵⁵ + a ³³ + k o ³³
232_895_alive,dz a ²⁴,ts a ⁵⁵ + l a ²¹,z ɛ ¹ + dʒ ɛ ²,z ɛ ⁵⁵ + dʑ ɛ̤ ²¹,z ɛ ²⁴,,z ɛ˞/ɛ ³³,
233_600_whittle,ɕ u ³³,p u ⁵⁵,tʃʰ o̠ H/¹,ʈʂʰ o̠ ³³,ʈʂʰ u ⁴⁴,ʈʂʰ u ³³,ɕ u ⁵³,tsʰ u ³³
234_520_poison,t u ⁴² + n ɛ ³³ + tɕʰ i ²¹,t u ²¹ + n a ³³ + tɕʰ i ²¹,d o̠ ᶫ/³,t o̠ ²¹ + ˀn ɛ̠ ³³ + tsʰ ɿ ²¹,t u ⁵⁵ + n ɛ ³³ + tsʰ ɿ ²¹,d u ³³,t u ⁵⁵,t u̠ ʔ ³¹ + n a ³³ + tɕʰ i ²¹
235_149_wing,d ɤ̪/ɤ ²⁴ + l ei ⁴²,,d u ¹ + l e̠ ᶫ/³,d ə ⁵⁵ + l ɛ̠ ²¹,d v̩ ²⁴ + l e ⁵³,d ɤ̪˞/ɤ ²⁴ + l ɛi ³³,d ɤ̪/ɤ ³³ + l ai ⁵³,ɛ ²¹ + d v̩ ²⁴ + l i ²¹
236_149_wing,d ɤ̪/ɤ ²⁴ + l ei ⁴²,d u ⁵⁵ + l ɛ̠ ²¹,d u ¹ + l e̠ ᶫ/³,d ə ⁵⁵ + l ɛ̠ ²¹,d v̩ ²⁴ + l e ⁵³,d ɤ̪˞/ɤ ²⁴ + l ɛi ³³,d ɤ̪/ɤ ³³ + l ai ⁵³,ɛ ²¹ + d v̩ ²⁴ + l i ²¹
237_900_same,s ə ²¹,s ə ²¹,ʃ y ²,s y ²¹,ɕ y ²¹,s y ²¹,s ə ²¹,s ə ²¹
238_269_knee,tɕʰ i ⁵⁵ + tɕʰ i ³³ + n a ⁵⁵ + kʰ ɤ̪/ɤ ³³,b u ⁵⁵ + l u ³³ + kʰ u ⁵⁵,,ɦ ɛ ⁵⁵ + o ³³ + dz ɿ ³³,kʰ ɨ ⁴⁴ + ts ɿ ⁵³,p o ³³ + l o ³³ + k ai ⁴⁵³,kʰ ə ⁴⁴ + ts ɿ ⁴⁴ + tʰ ɛ˞/ɛ ⁵³,b a ²⁴ + n a ⁵⁵ + kʰ u ³³
239_734_burn,kʰ ɤ̪/ɤ ⁵⁵,tɕ i ³³,kʰ u ¹,kʰ ə ⁵⁵,kᶠʰ/kʰ v̩ ²⁴,ĩ ³³,kʰ o ³³,b o ²⁴
23_532_chew,g ɔ ²¹,g o ²¹,g a ²,ɦ a̤ ²¹,ɣ a ²¹,g o ²¹,g u/w a ²¹,g o ²¹
240_734_burn,t ɛ ⁴²,,t y̠ ᶫ/³,,,,,
241_818_dull,b ə ²⁴,,d u ²,d ə ²¹,d v̩ ²⁴,,d ɤ̪/ɤ ²¹,z u ²¹
242_818_dull,,l ə ³³,l y ³,l y ³³,,,,
243_209_cookedrice,dz ɔ ²⁴,dz o ⁵⁵,dz a ¹,dz a ⁵⁵,dz a ²⁴,dz o ²⁴,dz a ³³,dz o ²⁴
244_526_eat,dz ɔ ²¹,dz o ²¹,dz a ²,dz a̤ ²¹,dz a ²¹,dz o ²¹,dz a ²¹,dz o ²¹
245_483_bridge,dz ə ²⁴,ɣ ɨ ⁵⁵ + dʑ ɛ ⁵⁵,dz y ¹,dz y ⁵⁵,dʑ y ²⁴,t o ²¹ + dʑ y ²⁴,dz ə ²¹ + dz ə ³³,g a ŋ ²⁴ + g ɨ̠ ²¹
246_479_ladder,tɕ i/j ɛ ⁵⁵ + n̩ ²¹ + tʰ ei ⁵⁵,d ɛ ³³ + g u ²¹,d e̠ H/¹ + g o̠ ᶫ/³,d ɛ̠ ³³ + w o̠ ²¹,d ei ⁴⁴ + w o ⁵³,d ɛi ³³ + g u ²¹,d i ⁴⁵ + g ɨ ²¹,g a ŋ ²⁴ + g ɨ̠ ²¹
247_479_ladder,tɕ i/j ɛ ⁵⁵ + n̩ ²¹ + tʰ ei ⁵⁵,d ɛ ³³ + g u ²¹,d e̠ H/¹ + g o̠ ᶫ/³,d ɛ̠ ³³ + w o̠ ²¹,d ei ⁴⁴ + w o ⁵³,d ɛi ³³ + g u ²¹,d i ⁴⁵ + g ɨ ²¹,g a ŋ ²⁴ + g ɨ̠ ²¹
248_728_riderideon,dz ɛ ²¹,dʑ ɛ ²¹,dz ɛ ²,dz ɛ̤ ²¹,dz ɛ ²¹,dz ɛ̃ ²¹,dz ɛ˞/ɛ ²¹,dʑ ɛ ²¹
249_676_meetcomeacross,,,tʰ u ³ + dz i ¹,dz ɿ ⁵⁵ + tʰ ə ³³,tʰ u ³³ + dz ɿ ²⁴,pʰ ɨ ŋ ⁴⁵³ + tʰ ɛi ²¹,t ou ⁵⁵ + ŋ a ³³,kʰ u/w ɛ̃ ²⁴
24_446_loom,pʰ i/j ɔ ²¹ + dz ɿ ³³ + l ɔ ³³,dz a ŋ ²¹,,dz ɛ̠ ³³,m ɛ˞/ɛ ⁵⁵ + d ɛ ²¹,m ɛ˞/ɛ ³⁵ + ʈʂʰ ɛ˞/ɛ ²¹ + l ɛ˞/ɛ ⁵³,ʝ i ⁵³,g o ŋ ²¹
250_676_meetcomeacross,pʰ ə ³³ + dz ɿ ²⁴,dʒ u ²¹ + l ɛ ⁵⁵,tʰ u ³ + dz i ¹,dz ɿ ⁵⁵ + tʰ ə ³³,tʰ u ³³ + dz ɿ ²⁴,pʰ ɨ ŋ ⁴⁵³ + tʰ ɛi ²¹,t ou ⁵⁵ + ŋ a ³³,kʰ u/w ɛ̃ ²⁴
251_668_dance,,g o ³³ + t ɛ ²¹,g a ³ + kʰ e,ɦ a ³³ + kʰ ɛ ³³,ɣ a ³³ + kʰ ai ³³,ts ai ²¹,b ə ³³,p a ³³ + g o ³³
252_668_dance,,g o ³³ + t ɛ ²¹,g a ³ + kʰ e,ɦ a ³³ + kʰ ɛ ³³,ɣ a ³³ + kʰ ai ³³,ts ai ²¹,b ə ³³,p a ³³ + g o ³³
254_917_wide,,f ɛ ⁵⁵,f e ¹,,,,,
255_944_nine,k ə ³³,k ɨ ³³,k o ¹,k ə ³³,k v̩ ³³,k ɤ̪˞/ɤ ³³,k ɤ̪/ɤ ³³,k ɨ ³³
256_825_crookedbent,g u ⁴²,g o ²¹,g o̠ ᶫ/³,w o̠ ²¹,w o ʔ ⁵³,w a n ³³,g o ⁵³,d a ²⁴ + g u ²¹
257_716_return,t ə ⁵⁵,t ə ⁵⁵,t y ¹,t y ⁵⁵,t y ³³ + l a ³³,t y ⁴⁵³,t ə ³³,t ə ²⁴ + a ³³
258_525_hear,n ɔ ⁵⁵ + ɣ ɔ ²¹,p o ³³ + g o ²¹,g j a ²,g a̤ ²¹,n a ⁴⁴ + g a ²¹,g o ²¹,g a ³³ + p a ²¹,n o ³⁵ + g o ²¹
259_685_help,g ɔ ³³,g o ³³ + ɣ ɨ ²¹,g j a ³,g a ³³,g a ³³,,p ai ³³ + g ɨ ²¹,ts u/w ɛ ²⁴ + l i ³³
25_568_massage,ts u ³³,ts a̠ ⁵⁵,ʒ i̠ ᶫ/³,ts o̠ ³³,z ɿ ⁵³,ts u̠ ³³ + g ɨ ²¹,i ⁵³,n ɛ̠ ³¹ + pʰ u/w ɛ ²⁴
260_447_needle,ɣ ə ⁴²,w ɑ̠ ²¹,ɣ y̠ ᶫ/³,a ⁵⁵ + j ø̠ ²¹,a ²¹ + w u ⁵³,a ³³ + w u ³³,a ⁵⁵ + ɣ ɨ ⁵³,ɣ ɨ̠ ʔ ²¹
261_747_revolverotatespin,ts u/w e ⁴²,tʃ a ⁵⁵,tʃ a ŋ ¹,ʈʂ u ⁵⁵,ʈʂ u ²⁴,ʈʂ u/w ẽ ³³,ts u/w ɛ ⁵³,v a ³³
262_472_combregular,m̩ ²¹ + p ə ²¹ + tɕ i ³³,ŋ ²¹ + p ɨ ²¹,m̩ ² + p j ɨ ²,m̩ ²¹ + p ʉ ²¹ + tɕ ɛ̠ ³³,m̩ ²¹ + p ə,m̩ ²¹ + p ɨ ²¹,m̩ ²¹ + p ai ²¹,ɛ ³³ + p ɨ ²¹
263_883_itchyticklish,j ou ²¹,dʑ i̠ ³³,dz i̠ H/¹,dz ʐ̩ ³³,dz ɿ ⁴⁴,ɲ i ²¹,z a ²¹,dʑ i ³³
264_10_thunder,m ə ²¹ + g ə ²¹ + t i ²¹,ŋ̩ ²¹ + g u ²¹,a ¹ + m o ² + g o ²,a ⁵⁵ + ŋ̩ ²¹ + ɣ ə ²¹,a ⁵⁵ + m v̩ ²¹ + ɣ o ²¹,a ³⁵ + m v̩ ⁴¹ + g õ ²¹,m̩ ²¹ + g o ²¹,a ³⁵ + t ɨ ²¹
265_10_thunder,m ə ²¹ + g ə ²¹ + t i ²¹,,a ¹ + m o ² + ɡ o ² + t i ²,,,,,a ³⁵ + t ɨ ²¹
266_282_waist,dz ou ⁴²,dʒ o ²¹,dʒ o̠ ᶫ/³,ɖʐ o̠ ²¹,ɖʐ u ⁵⁵ + l a ⁴⁴ + n̩ ²¹ + dz ɿ ³³,ɖʐ u̠ ³³,ʐ u/w ə n ²¹ + j ao ³³,dz u̠ ʔ ³¹
267_309_male,j u ³³ + p u ⁴²,j ɛ ²¹ + p ɑ̠ ²¹,ʒ o̠ ᶫ/³,ʐ o̠ ²¹ + p a̠ ²¹,ʐ u ⁵⁵ + z a ²¹,z o ²¹ + n y ⁵⁵ + z o ²¹,z u ⁴² + p a ⁴⁵³,ŋ̩ ²¹ + kʰ a ³³ + p o̠ ²¹
268_634_sew,g ə ⁴²,g ɨ̠ ²¹,g u̠ ᶫ/³,g ə̠ ²¹,g v̩ ⁵³,g ɤ̪˞/ɤ ³³,g ɤ̪/ɤ ⁵³,g ɨ̠ ²¹
269_759_bark,ts ɤ̪/ɤ ²¹,l u ³³,l u ³,ˀl ə ³³,l v̩ ³³,l ɤ̪˞/ɤ ³³,l ɤ̪/ɤ ³³,a ⁵⁵ + n õ ²¹ + ŋ ə ³³
26_607_sell,ɣʷ ɔ ²¹,v u ²¹,v o ²,a̤ ²¹,ɣ o ²¹,v v̩˞/v̩ ²¹,v v̩ ²¹,v v̩ ²¹
