Cognate_ID	Achagua	Awa	Baniva	Bara	Barasana	Bari	Bora	Cabiyari	Carapana	Carijona	Catio	Chapalaachi	Chimila	Cubeo	Cuiba	Curripaco	Desano	Dimina	EmberaChami	EmberaDarien	EmberaTado	EpenaBasurudo	EpenaSaija	Giacone	Guahibo	Guambiano	Guayabero	Ika	Inga	Jitnu	Jupda	Kakua	Kamsa	Kogui	Koreguaje	Macuna	Mirana	Muinane	Nukak	Ocaina	Orejon	Paez	Piapoco	Piratapuyo	Playero	Puinave	Resigaro	Saliba	Secoya	Siona	Siriano	Tanimuca	Tariano	Tatuyo	Totoro	TsafiquiPila	Tucano	TuneboCentral	Tuyuca	Waimaja	Wanano	Wayuu	WitotoMinica	WitotoMurui	WitotoNipode	Wounaan	Yucuna	Yukpa	Yuruti
124_oldman	s a l iː ʒ a n i	ɨ l a b a ʔ		b ɨ k ɨ	b ɨ k ɨː	s a g d ou r ə	kʰ eː m e		k a b ɨ k ɨ	t a m u t u h ɯ	z õ n a	r u k u	ⁿg r u tː a k a kː u i	b ɨ k ɨ k ɨ	p e r u n	p e k i r i	b ɨ g ɨ	ɨ tː ɨ n a	tʃ i	d r õ a	tʃ õ a	tʃ ɾ o a	tʃ o n a	p e d a l i a	p e r u h u n ɨː	k ɨ lʲ ɨ̃	p a t i ʔ i n	a ʔ tʃ ə n a	r u k u	p e r t i	t ə w ə h ə d	b e ʔ e	b ɨ ts ɨ j e m a	d u e b a	a i w a ʔ ɨ	b ɨ k ɨ g ɨ	kʰ eː m e	a m i j aa b o	ʔ a m aa	h a ʔ ĩː m̥ a	a i	tʰ ẽ ʔʰ	b eː r i	b ɨ k ɨ r o	p e r u h u n ɨ	k e p a	pʰ a i g i	s ĩ gʷ e	a i w a d õ	i d a g ɨ	b ɨ g ɨ r o	p a k i a k i		k a b ɨ k ɨ	k i l i k	o n i k a	b ɨ k ɨ	w e rh/r̥ a j a	b ɨ k ɨ	b ɨ k ɨ	b ɨ k ɨ r o	l a ɨ l aa	e i r o m a	e i r o m a	e i r o m a	h ʊ o i ɾ aa	pʰ i j u ʔ u k e	a t u n e	b ɨ k ɨ
125_i	n u j a	n a	n u a	j ɨː	j ɨ	n a j	oː	n u	j ɨː	e u w i	m ɨ	i	n aa ɾ i	j ɨ	x a n	n o a	j ɨ ʔ ɨ	r a	m ɨ	m ɨ	m ɨ	m ɨ	m ɨ	n u h a	x a n ɨ	n a	x a n	n ə n	n u k a	k a n	a h	w ẽ b	a t ɕ e	n ə s	dʒ ɨ ʔ ɨ	j ɨ	oː	uː x o ʔ o	w ɛː m	x õ	j i	a dʲ	n u a	j ɨ ʔ ɨ	x a n ɨ	a m	n̥ o	h ĩ s i	j ɨ ʔ ɨ	j ɨ ʔ ɨ	j ɨ ʔ ɨ	j i ʔ i	n ũ hʷ ã	j ɨː	n a	l a	j ɨ ʔ ɨ	a s a	j ɨː	j ɨː	j ɨ ʔ ɨ	t a j a	k u e	k u e	k u e	m ɯ	n uː kʰ a	a w ɨ	j ɨ
126_manioc	aa l i ʒ i	k ũ		k iː	k ĩ	m a ʃ u n ə	p aa x ɯ r i	k aa j i	k iː	h a r a	tʃʰ ĩ a s õ	k u j tʃ u	p ɾ oː w a ʔ	k ɨ i	b a w a	k a i n i	k ĩ	i r u g w a	s õ s õ	tʃʰ ã s õ	s õ s õ	s õ s õ	s ĩ a s õ	k a i n i	b aː w a	l u	b a w	i r o k w ɨ	r u m u	n e h ɨ h a	k a j a k	t õ j	b ʃ e n d ɨ ɕ e	i n ʒ i	kʰ ɨ i p ɨ	k ĩ	p aa h ɯ r i	ɸ eː k a	dʒ ɛː d n dʒ i b u	o x oː m̥ a	k ɨ i	ɲ a	k a i n i	k ɨ	n e b ɨ h ɨ	t ĩ m	k a dʒ iː g i	a i x i	ã ʔ s o	k ɨ i	k ĩ	k i a	k i n iː k i n i p e	k iː	l o	k u ts u	k i	i ʃ a	k iː	k ĩː	kʰ ɨ	a i	h u θ i	h u h ɯ	h u h ɯ	tʃ o h õ	k a h i r u	p o	k iː
127_mosquito	aa n tʃ u	p w i l		b ɨ̃ t ẽ	b ɨ̃ t ẽ	ʔ i ʃ i r ə k b i n ə	kʷ aa xʲ ɯ		b ɨ̃ t ẽ ã b ɨ̃	m a s a k ɯ	kʰ ẽ b e r e	h u h u	m oː k i tː u	b ɨ̃ r ẽ k ɨ	w a e s o	a i n i j o	b ɨ̃ r ẽ ã b ɨ̃	k ɨ n z e r u	kʰ ẽ b e r	kʰ ẽ p e r e	kʰ ẽ b e r e	kʰ ẽ p e r e	kʰ ẽ p e r e		w a e s o t o	t ɕ a r i k	w a e s	k w i ʔ d a r ɨ		w e s a p	k i h	j ɨ b ɨ	ʃ ɨ n g n a b x a	k ə d z e ʒ a	m ɨ tʰ e	b ɨ̃ t ẽ ã b ɨ̃	kʷ aa h j ɯ	g aa i x ɨ b a	dʒ ɨ b ɨ	ã ʔ tʃ oː k o	b ɨ̃ t e	a pʰ	a n a tʃ u	b ɨ̃ t ẽ	w e s e t o	j u m	h a n iː ts o	tʃ ã ũ	m ũ t e	m ɨ̃ t e	b ɨ̃ r ẽ	b ĩ r ĩ ã		b ɨ̃ t ẽ ã b ɨ̃		t e l i n	b ɨ̃ t ẽ ã w ɨ̃	kʷ i a h a	b ɨ̃ t ẽ ã w ɨ̃	b ɨ̃ t ẽ	b ɨ̃ t ẽ i r o	m e i	u i d o d o	u i d o d o	u i d o d o	k u k ʊ ɾ ʊ tʃ	a n i j u	k a s a p a n a	b ɨ̃ t ẽ
128_tree	h uː b a	t ɨ	h a i k u	j u k ɨ g ɨ	j u k ɨ	k ãː n ə	ɯ m e ʔ e	ʔ a h aa	j u k ɨ	β e β e	b a kʰ u ɾ u	tʃ i	k a	h o k ɨ k ɨ	n a e w a	h a i k o	j u k ɨ g ɨ	k ɨ n	b a kʰ u ɾ u	p a kʰ u ɾ u	b a kʰ u ɾ u	p a kʰ u ɾ u	p a kʰ u ɾ u	a i k u n a	n̥ a e	t u ɕ	n a e	k ə n	s a tʃ a	n e h a	t e g	b ã	b e t i j e ʃ e	k ə l d i	s ũ kʰ i ɲ ɨ	j u k ɨ	ɯ m e ʔ e	ɨ m o ʔ o	t ɨ n a ʔ	a m̥ ɯ̃ː ɲ̥ a	s ũ k i	ɸ t ũː	a i k u	j u k ɨ g ɨ	n e h e w a	p u n	a β aa n a ʔ e	n u g u h u	s õ k ɨ j ɨ̃	s ũ k i j ɨ̃	j u k ɨ g ɨ	j a p u a	h a i k u	j u k ɨ	t u ɕ	ts i d e	j u k ɨ g ɨ	k a r u kʷ a	j u k ɨ g ɨ	j u k ɨ g ɨ	j u k ɨ k ɨ	w u n u ʔ u	a m e n a	a m e n a	a m e n a	p a b ə	a ʔ a w a n a	w e	j u k ɨ g ɨ
129_yam				j ã b ũ	j ã b õ	ʃ a j n ʃ i r ə	kʰ ɯ n iː ɯ		j ã b õ	n a h a k ɯ	i kʰ a d e			j ã b ũ	n o b ɨ	ɲ a m e	j ã b ũ	n i a m e	i kʰ a ɗ e		ĩ kʰ a ɗ e	ĩ kʰ a d e	ĩ kʰ a d e		n o: b ɨː		n a	n i a m e	k u m a l a	n o h a	b ə ʔ	j õ a	tʃ a n a	j a m a	ɲ a h o	j ã b õ	kʰ ɯ n iː	k ɨ n i r u m i	m a m u	a ʔ x aa ʔ t i	j ã h õ		j a k u i	j ã ʔ b ũ	n o b ɨ		o ɸ iː n a u	w a kʷ a		j ã h õ	j ã ʔ b ũ	j ã ʔ b ũ ã		j ã b õ		l e n	j ã ʔ b ũ	u k u m a	j ã b ũ	j ã b õ	j ã ʔ b ũ	w a ɨ	h a k a i h ɯ	h a k a i h ɯ	h a k a i h ɯ	p ə g	ɲ a ʔ a k u		j ã b õ
12_pathtrail	i n i h b aa	m i	p i n u	b ãː	b ãː	s k ɨː ɾ ə	x ɯː β a	ʔ aa j a p u	b ãː	e sː e m a	o	m i ɲ u	h iː ʔ	b ã	n a u n t o	iː n i p o	b ã	i n g u n a	o	o	o	o	o	h i n i p u	n a m u t o	m a j	n ɨ a m t	i n g w ə n ɨ	ɲ a m b i	n a m u t	t ɨ w	d ã b a	b e n a tʃ e	h i ũ ŋ g u l d a	m a ʔ a	b ã	h ɯː β a	x ɨː ʔ a i	n a m a	t o β ɯ ʔ tʲ a	b ã	dʲ i ʔʰ	a j a p u	b ã ʔ ã	a n e t a	d ɨ k	a dʒ a p o	m aa n a	m ã ʔ ã	m ã ʔ ã	b ã ʔ ã	b ã ʔ ã	h i n i p u	b ãː	m a i	m i n u	b ã ʔ ã	i b t a	b ãː	p a i r i b ãː	b ã ʔ ã	s ɨ p ɨ n a	d ɯ r o ɸ e	n a ɯ θ o	i o	kʰ ɯ d	i ɲ e ʔ e p u	o s e m a	b ãː
13_sweetpotato		p a tː a tː a		j ã p ĩ	j ã h ĩ	b ɨː r ə	kʰ aa tʰ ɯː		j ã p ĩ		tʃʰ i g o ɾ o	k a m u t e	p u sː i k ɾ aa w a ʔ	j a p i	d ɨ tʰ ɨ	k a l i r i	j ã p ĩ	m e s u	s i o ɾ o	tʃʰ o g o ɾ o	s i o ɾ o	s i o ɾ o	s i a ɾ o	k a l i r i	d a ɨ tʰ ɨ		d ɨ a d	m i ʔ i	k u m a l a	r ɨ t a		k ɨ d	m i j a	m e ʒ i	dʒ a h i	j ã h ĩ	kʰ aa tʰ ɯː	dʒ i r uː m ɨ b a	k ɨː d n	b o tʲ oː tʲ o		ũ tʰ	k a l i r i	j a p ĩ	d a ɨ t ɨ b ɨ		k a n iː d e u		j a h i		j ã p ĩ	j ã ʔ p i a		j ã p ĩ		l e n	j ã p ĩ	b e ʔ ʃ a	j ã p ĩ	j ã p ĩ	j a p ĩ	h a i ʃ i	r e ɸ i h ɯ	r e ɸ i h ɯ	r e p i h ɯ	s i g u ɾ	k u w a j u	ʃ a ʔ	j ã p ĩ
14_fire	ʃ i j a	ĩ	t i dz ɛ	p e k a b ẽ	h e a	k a d ɨ r ə	kʰ ɯː x ɯ kʷ a	k i r a	p eː r o	m a h o t o	tʰ ɨ b ɨ	ɲ i	p ɾ iː m u	t o a b o	i ʃ o t o	t iː j e	p e a b ẽː	g i e	tʰ ɨ b ɨ	tʰ ɨ b ɨ	tʰ ɨ b ɨ	tʰ ɨ p ɨ	tʰ ɨ p ɨ	s i a u a	i s o t o	n a k	h i t	g ei	n i n a	p e n a r r u b i a	t e g	t ɨ + k ɨ t	n i ɲ e	g u k s ẽ	tʰ o a	h e a b ẽ	kʰ ɯː h ɯ kʷ a	k ɨː x i g a i	t ɨ̃ ã	tʲ aa r o	t o a	i p j	k i tʃ a i	p e k a	i s o t o	d ə:	o k o n iː g i	o ʔ s a	t o a	t o a	p e a b ẽː	p e k a	ʃ i a h	p eː r o	n a k ɨ	n i n	p e k a b ẽ ʔ ẽ	o k a	p e k a b ẽ	p e k a	p i tʃ a k a	w aa s i m a	i r a i	i r a i	i r a i k ɯ	t g d a u	k e r a ʔ a t a n i	j u r e	p e k ã b ẽ
15_canoe	iː d a	k a n u a		k ũ b ũ ã	k ũ b ũ a	d a b ə k a j n ə	m ɨː n e	ʔ iː t a	k ũ b ũ ã	k a n a w a	h ã b a	k u l e		h i a j o k ũ	h e r a	iː t a	g a s i r u		h ã b a	h ã p a	h a b a	h a p a	h a p a		h eː r a		k a n a w	k ə n ou w a	k a n u a	k a n a	h ɔ h	h ã h	k a n o u ɕ e	k a n u w a	dʒ oː β ɨ	k ũ b ã	m ɨː n e	m eː n e g a	t ɨ n a ʔ aa	h õ ɸ ãː ʔ ɯ	j o u		i d a	j u k ɨ s a	h e r a	h aː	h iː t u	w e tʃ u h u	j o w ɨ	j o g u	k ũ b ã	k ũ b ũ ã	ʔ i t a	k ũ b ũ ã	ts i k	k a n o a	j u k ɨ s ɨ		j u k u s o r o	k ũ b ũ ã	b ɨ s o k a	a n u w a	n o k a e	n o k a e	n o k a e	h a p	h iː t a	k a n o w a	k ũː b ũ ã
16_piranha				b ɨː	b ũ j ũ		kʷ a x kʲʰ o x ɨ		b ɨː	h ɯː n e	tʰ o a			b ũ j ũ b o	k o w a r a b o	o m a i	b ũ j ũ		tʰ o a	tʰ o a	tʰ o a	tʰ o a	tʰ oː	uː m a i	u l u i t o		l e ʔ			k u w a r		d ɨ ʔ			p u ɲ u	b ũ j ũ g ã	n i h tʲʰ a h ɨ	n i t a	ʔ ɛ ʔ n i	dʲ o ʔ j oː ʔ x o	ũ h ĩ		u m a i	b ɨ ʔ ɨ	w a k a r t o	s a r a p a t a	m̥ e p o k o	m a l i w a n a	p õ j ũ	b ũ j ũ	b ũ j ũ	b ũ j ũ ã		b ɨː			b ɨ ʔ ɨ		b ɨː	b ɨː	b ɨ ʔ ɨ		ɯ m ɯ ŋ o	ɯ m ɯ ɲ o	t e r o b e ɲ o	kʰ i ɾ a ɾ	h i p u ʔ u h m a		b ɨ
17_house	k u iː t a	j a l		w iː	w i	k a j r ə	i ʔ xʲ a	p eː t i	w iː	m u i n a	d e	j a	h aa t a k a ʔ	k ɨ̃ r ã b ĩ	b o m ɨ x ɨ	p a n t i	w i ʔ i	u r a g a	d e	d e	ɗ e	t e	t e	p a n i s i	b o:	j a	b a	u r a k ɨ	w a s i	m a m k ɨ	b õ j	b ɨ̃	j e b n a	h u x a	β ɨ ʔ e	w i	h aa	k aa m oː x a	m ɨː	ɸ oː	u e	j a t	k a p iː	w ɨː	b o m a x ɨ	m õ	p a n iː ts i	i t o	w ɨ ʔ e	w ɨ ʔ e	w i ʔ i	w i ʔ i a	p a n i s i	w iː	j a	j a	w i ʔ i	u b a ʃ a	w iː	w iː	w ɨː	p a ɨ	h o ɸ o	h o ɸ o	h o p o	d i	ɲ a k a r e h i	m ɨ n ɨ	w iː
18_rapids				p o e a	g ɨ̃ t ã h o e r o		tʲʰ o ʔ kʰ a		p o e r o	t a h ɯ s a s a h a m a n o	h ĩ b a r i	s aa t u		h i a t ã k ũ w e	m e n e	h iː p a	ɨ̃ t ã b ũ		b o tʃ o a	d o	d o	t o	kʰ i d a		h oː k aː					h o k u a t	h u h	d o	b ʃ a w e n a n i ɲ e	n i		g ɨ̃ t ã h o e	n eː kʷ a j p a	g iː s i g a		dʲ a h iː ʔ i		kʰ i s e		p e o		b ɨː	β iː ʃ i ʔ o g u	k a ʔ a s o h o ʔ m e	o k o	s a o j a	ɨ̃ t ã b ũ	ã t a		ɨ̃ t ã	p i o r k o l o	d e r e n	p o e w a	r i ʔ k u kʷ a r a	p o e w a	p o e a	p o a j e		n o ɸ ɯ k o	t o r a d a	n o p ɯ k o	d ʊ	h iː p a	t o r o t o p o	p oː w e a
19_cane		p a m a n d i ʃ		ã d ɨ̃	j ũ k ã b ĩ b ĩ	b ə g tʃ i k b ə r ə	n eː pʰ a xʲ ɯ x ɨ		j ũ k ã b ẽ d ẽ	s u s u m ɯ	tʃʰ i a	ɲ a ɲ i	t u ŋ a ʔ	k a w a b ẽ d ẽ	m u s o i b o t o	m a w i	g ã r ɨ̃	m a n k ɨ r a	s i a	tʃʰ i a	s i a	s i a	s i a	ts i d o a	m u: s u l i b o t o	i m p a k	m a k l e h a d t	i n k a n ɨ	w i r u		b ũ h	d i	ɕ ɨ ɕ e	h i u l a	k ã tʰ ɨ	b ĩ b ĩ r ẽ	n eː pʰ a h y ɯ p a	b u i g a	m ɛ l ɛ ʔ	ɸ oː k a n̥ ɯː ʔ tʲ a	ã t ɨ	kʰ ĩ ʃ a	b e s u e	k ã n ɨ̃	m u s u l i b o t o		iː tsʰ i k o	s u d a d o kʷ a ʔ a		g ã t ɨ	b ĩ ũ b ẽ r ẽ	k ã r ã		j ũ k a b ẽ d ẽ	ts u ts i k	k l ɨ	ã r ɨ̃	e c a t a r a	k ã d ɨ̃	ã d ɨ̃	k ã n ɨ̃	m aa s ɨ	k a n i k a ɯ	θ ɯ k ɯ k a ɯ	k a n i d a	tʃ oː b ə	k aa n a	w e ʃ e ʃ	j ũ k ã b ẽ d ẽ
1_bee	m aa b a	w i m a l		b ũ b ĩ ã b ɨ̃	h õ b ĩ ã b ɨ̃	m oː n ə	iː m ɯ ʔ o e x pʰ i		b e r o a b ɨ̃	a r a m a	kʰ õ ɾ ã b a ɾ i	t a n d a		b ũ b ĩ d ɨ	b a n t o m a n t o	m aa p a	b õ b ẽ b ɨ̃	n ɨ n g a	kʰ ũ ɾ ã b a ɾ i	kʰ i m i	kʰ i m i	kʰ i kʰ i m i	kʰ i m i	ɲ o r o r e d a	h aː b ɨ m a n ɨ t o	m a w a ĩ	h ɨ a t	a n g a	a b i x	t o n i a t	w o w o h	b e l o	t x o w a n a	h a l d i kː ə bː e	o ʔ a	b e r o a b ɨ k ɨ	t e ʔ tsʰ i p a	m ɨː b ɨ r i ʔ ɨ	ʔ e w e	dʲ o ʔ ɯː r a k o	o a	tʃ i ʔ dʲ	m aa b a	u b ĩ k ɨ̃ d ɨ̃	b a n a m ɨ t o	d ə m	m aa p u	m u ĩ g o d i	o ʔ a	o ʔ a	w ã r ã r ĩ	b ũ b ĩ ã		b e r o a b ɨ̃	p ɨ l ɨ m	ts i n a	b ũ b ĩ ã w ɨ̃	a n u b a	b ũ b ĩ ã w ɨ̃	b e r o a b ɨ̃	b ĩ k ĩ d ã i r o	ʃ i ʃ i	h i r a ŋ o	h i r a k ɯ ɲ o	h i r a ŋ o	kʰ e kʰ e m a n	m u n u m u n u	e m ɨ	b õõ b ĩ ã w ɨ̃
20_blowgun		u s k u l a m		b u p u a	b u h u a		tʃ i x tʃʰ ɯ x ɯ		b u p u a	r a tʃ a	u g u	m uː t e		p ɨ̃ õ j ɨ̃	s i r u p u b o t o	n o m a w i p i	b u h u r u		u	u g u	u g u	u k u	u g u		s iː r i p iː b o	i l	ɸ u m o i t		u d u k i r a	tʃ i r p u	tʃ ə b ə k	ʔ ɨ ʔ	x u e s a n ɨ ɕ a		h ɨ o ɲ ɨ	b u h a g a	tʰ o tʃ iː h ɯ	g i s ɨ x ɨ	ʔ ɨː ʔ	ɸ a h iː ʔ x a tʲ a	h u	ɸ t ũː p a ʔ tʰ	s i r i p i w a	u p u g a		h u n	β a ʔ p aa n a h u		h ɨ o w ɨ	h ɨ o w ɨ	b o h o r u	p u p u o k a		b u p u a	s e k r e t a n a p e	f u k o n a	b u p u w ɨ		b u p u w ɨ	b u p u a	p u k a		o b i dʒ a k a ɯ	o b i dʒ a k a ɯ	o b i dʒ a k a ɯ	p a tʰ ɪ r	w a p a ʔ a n a		b u p u a
21_chicha		tʃ i tʃ a		h ĩ d ĩ r i k e	i d i r e		m eː m e p a		e t e h e	w o k ɯ	m a s o b a r a	m a l a	ⁿd iː ʔ	ũ k ũ i j e	a m e n e ts a x a	d e r i a	p e r u		i tʰ u a		b e kʰ a	b e kʰ a	b e kʰ a i tʰ u a		j a l a k i	p ɨ ʃ i k	s a x a	i n	a s w a	m a w a n	h u p t o k	b a b d ĩ ʔ	b o k o j e		k o n o	i d i r e	m eː m e p a	m oː m o b a		h a m iː h o r ɯ	õ d õ	b e k a	j a l a k i	p e r u	k u t i		m eː m e ʔ o	dʒ a n a n a	o s a	h o ʔ tʃ a	p e j a r u	u k u r ũ k i a		e t e h e	p ɨ ɕ i k	vh/v o vh/v s	p e r u	b a kʷ a	p e j u r u	h ĩ d ĩ r i k e	p a j u r u	uː h o l u	h a ɯ g a b ɯ	h a ɯ g a b ɯ	h a ɯ g a b ɯ	m a s a t		t u k a	s ĩ d ĩ r i g e
22_capybara	k eː s u	k u n i x u		d i a j e h e	r i a		o ʔ p a		r i a j e s e	i w ɯ r ɯ	tʃʰ i d i m a		p oː n t j i	d ã r ẽ	h o m o k o b i	j a m o r i t o	d i a		s i d i m a	tʃʰ i ɗ i m a	b ɨ ɗ ɨ	s i s i d i m a	s i d i m a	h e m a s i e r e	h o m o k o b i		h u m b o e t			h o m k o i		k e tʃ o ʔ			kʰ ẽ s o	r i a	o ʔ p a	n i m ɨ t ɨː ʔ e	k ɛ tʃ u ʔ	ɲ õõ m̥ a	j u a d a		k eː s u	d i a	h o m o k o b i	ɨ t	h o ʔ b u	w i x e	kʷ e ʔ s o	gʷ e s o	d i a	k e h u a		r i a j e h e			d i a		d i a j e s e	d i a	d i a		m e r e h a i ɲ o	ɸ e r e h a i ɲ o	m e r e h a i ɲ o	p a kʰ i r	k eː s o		d i a j e s e
23_chontapalm		w a l t ɨ		ɨ̃ d e j õ	ɨ̃ d ẽ j õ	tʃ i k aa n ə	m eː m e ʔ e tʃ iː ʔ j o		ɨ̃ d ẽ j õ	h ɯ r ɯ w a i m ɯ	m e m e	k a n u tʃ i		ɨ̃ r ẽ j ɨ̃	m i ʃ i b o t o	p i p i r i	ɨ̃ r ĩ j ũ		m e m e	s ã s ã g a r a	m e m e	m e m e	m e m e	p iː p i r i	h i p i r i b o t o		w i b u x t o t			k u e r b o t	tʃ ɨ w	b ɨ̃ d a ʔ		n u l d i	ɨ n e ɲ ɨ	h a t a j õ		m oː m o	h ũ ɲ ũ n i	h a m iː ɲ̥ a	ɨ̃ d ẽ	tʃ u d a	p i p i r i	ɨ̃ r ẽ j o		m õ n	p o n aa m a dʒ iː ʔ o	n e n	o d a	ɨ̃ n ẽ	ɨ̃ r ɨ̃ j ũ	ĩ r ẽ ã		ɨ̃ d e j õ	tʃ u n t a	b i n ts a l a	ɨ̃ r ẽ j õ	b ɨ b i r a	ɨ̃ d ẽ w õ	ɨ̃ d ẽ j õ	ɨ̃ r ẽ õ		o ɸ e g o dʒ ɯ	o ɸ e g o dʒ ɯ	n eː g o ɯ	tʃ o r	p i p i r i		ɨ̃ d ẽ w õ
24_five				h i k a b õ k õ r õ	k o h o b õ k ã r ã k ã		tsʰ a ʔ o x tsʰ ɨ	j a w a k a p i	h ĩ k ã	e nʲ a t o w e n e	w e s o m a	m a n d a	k u tː e n d a ʔ	k ũ i d ã p ɨ r ɨ p e		p e m a	j u h u	ɨ h t i g w a	h u a	h u e s o m a	h o e s o m a		h o i s o m aa	p eː n k a p i	k a e k o b eː	t ɕ a tː ɕ ɨ	k a e k e ʔ e	a s e w a	p i tʃ k a	i ts a h o k e h a	æ p + d e p ũ h	b i kʰ ĩ ʔ b o	ʃ a tʃ n a	h ə tʃ ĩ w ə	tʰ e ʔ e h ɨ̃ tʰ ɨ r e p a	k o d ɨ h a ã b õ k õ	tsʰ a ʔ o h tsʰ ɨ	s a ʔ u s e	t e i ʔ p a ʔ	tʲ a ʔ ɸ ɯː ɸ o r o ʔ	t e	t a h ts	a b eː m aa	ĩ ʔ k ã	s i n k o b e h e	d a p + t ɨ̃ m	s a ʔ o s i	s ĩ k o ʔ m e ʔ g a	t e ʔ i h ɨ t ɨ	t e ʔ e	s u b õ h õ b ã	ĩ r ã p i t a r a k a	p e m o p a k a p i	h ĩ k ã	t ɕ a t ɕ	m a n t e	d ĩ ʔ k ã b õ k ɨ	e s i a	s i k a b õ h ẽ j ẽ	h i k a b õ k õ r õ	k ɨ̃	h a r a i	h u b e k u i r o	d a b e k u i r o	h u b e b a	h u a ʔ ã b	p a h l u w a	o m a t k a	i k ã w ã b õ p ɨ k i j ẽ
25_coca				p a t u	k a h i		iː p iː		p a t u	iː h a t u	b e g o			p a t u		k o k a	ã p ĩ	a ɲ u	b e u	ɓ e g o	ɓ e u	b e u	b e u			m a s ɨ		a ʒ u		k o k a t	p ũ ʔ ũ k	ɸ i t a		h a h ĩ u	h i p i e	k a h i	iː p iː	x iː b i		h iː b i r o		ẽ ʃ		p a t u			h iː b i h e				ã p ĩ	t ã ʔ ã p i k a		p a t u			p a t u	a s a	p a t u	p a t u	p u t u		h iː b i e	h iː b e	h i b i e	d a p aa ɾ	i p a t u	a j i	p a t u
26_crownofhead		tʃ i p ɨ t a m		h o t o r o	r i h o a	d o k b a n ə	m e ʔ n ɨ x kʰ a ɯ		r ɨ p o a k a t a p e	i r e t i h ɯ + s o h e	b u ɾ u	m i ʃ ʔ b u i	t i sː a k r a ʔ	h i p o t ɨ r a w a	p e n t a t u t u	p a r a m a l e t a	s u a r a	ʃ a m u n k u	b o ɾ o	ɓ a ɾ i	b o ɾ o	p o ɾ o	s ã u		p e m a t a ts e r e p aː	j u m ɨ s i k	m a t l u a ʔ	s a n t i m i	u m a			w a w	tʃ i n ʃ o k a	s a ŋ k u i ʒ b i t ə	s ĩ h o	s u a r a	n i kʷ a m ɨː ʔ o	tʃ a ʔ iː m ɨ g a i		dʲ o β aa ʔ i tʲ a		tʰ ã ʔ b u ʃ	w a i w i t a	t ɨ ʔ r i r o	p e m a t a t o p i w a r i k a		h i β e ʔ a s i	i dʒ u b o h a	s ĩ õ			r o a r ũ k i a		p e h a r i k a	m o ʃ ɨ k	m i s u	d ɨ p o s ã r ĩ	b e rh/r̥ a		d ɨ p ɨ g a	t ɨ ʔ r i r o	w a r a l o ʔ u	h a r a ɸ o	ɯ ɸ o g ɯ	ɯ p o	p ʊ ɾ	w i l a ʔ a r u h i		p o s e b e t o
27_knife	w i s u b i ʃ i	k u tʃ i j u		w i d e r i c a p ĩ	k õ b ẽ h ã ĩ ã k ã	b a t u ɾ ə b i s a n ə	n ɨː tsʰ ɯ kʷ a kʷ ɯ		j i s e r i k a p ã ĩ	i w a s a	kʰ u tʃʰ o	k u tʃ i lʲ u	ⁿd e n t u ʔ	t ã ũ h ĩ w e	k u s i	m a l i j e	b ã t ã b ĩ h ĩ	ʃ e r a n g ɨ m a	n e a kʰ o	n e kʰ o	n e kʰ o	n e kʰ o	l o b e ɾ o	m a l i a t u k i	k u s i u p aː		s i e r a	k u s i u	k u tʃ i lʲ u	k o tʃ i p a	b ã j ʔ	ʔ i b a t + d o b ʔ	k u tʃ i l j ɨ b x a	ʃ ə ts u kː u a	β a ʔ tʰ i r ɨ	w ɨ h a r ã h ã ĩ	p ɨ t o h o kʷ a	n iː s u g a	iː b m a t d a ʔ	m ɯ r aa b o j a		k tʃ i l j	w i s u a n a s i	d i ʔ i pʰ ĩ g ã	k u s i	w i w j u	β a ʔ a g a dʒ a ʔ	w i dʒ a i d e	w a ʔ t i	k u tʃ i j o	w iː r i ʔ b ã h ĩ g ã	w i ʔ r u p ã ĩ ã	m a l iː + e t i k i	j i h e r i k a p ã ĩ	t ɕ i l	k u ts i l o	d i ʔ pʰ ĩ	b a h i t a	d iː p ĩ g ã	w i d e r i c a p ĩː	j i ʔ s o r i	r ɨ i	dʒ o e t ɯ r ɯ	dʒ o e t ɯ r a ɯ	tʃ o β e ɗ ɯ r ɯ	tʰ u tʰ u i d a m	i r a h u	p a n a k o	w i d e r i a p ĩ g ã
28_horn	tʃ a l a	p u l		h a r o	h o t a	ʔ aa n ə	o kʰ a x i x tʰ o	n u i r e	w aa j ã k õ	i k a tʃ o r i		k a tʃ u	k aa t j u k r a ʔ	h a w a r o	p e n t e t o	l i ʃ u w a	k u s a r i	k a ʃ u							p e m a t a eː t o	k i k u l	p e h	k a tʃ a	k a tʃ u	m a t i e t		b õ d a	ts ɨ t x o n ɨ ɕ e	k ə tʃ u	β a k a r u r u β ɨ	s a b u	tʰ e h tʰ o	i t u	h a w a l o ʔ	m o k aa tʲ o	h ẽ h õ s a k o	k a tʃ u	i tʃ a l e	s a ʔ a r o	p e m a t ʔ t e t o	m o + h u s e w	iː β iː	t u ʔ w a ʔ dʒ a ʔ a	e j o w ɨ	k a tʃ u	k u s a ʔ a	w a ʔ k a	e h e m a	p o t a	k i k u l	k a ts i	k a p e s a ʔ a r o	kʷ i s k a r a	k a p e s a r o	p o t a g a	s a ʔ a r o	s u ʔ u w a	θ i k a ɯ	θ i k a ɯ	t i k a ɯ	k a tʃ	i ʔ i w a w i h i	j a r a w u	s a w iː r o
