Cognate_ID,aromanian,barbaniapiemontese,bellunesevenetian,campidanese,carmagnolapiemontese,carpigianoemiliano,castellodelaplanacatalan,castilianspanish,cataniansicilian,centralcatalan,dalmatian,fassanoladin,ferrareseemiliano,friulian,gardeneseladin,genoeseligurian,grossetoitalian,istroromanian,lanzotorinesepiemontese,logudorese,manisescatalan,meglenoromanian,messinesesicilian,minorcancatalan,neapolitan,northwesterncatalan,palermitansicilian,primierovenetian,provencaloccitan,rapalloligurian,ravennateromagnol,reggianoemiliano,romanian,rumantschgrischun,southeasternsicilian,standarditalian,stellaligurian,surmiranromansh,sursilvanromansh,valenciancatalan,valladerromansh,venicevenetian,vercellesepiemontese
27_feather,p ˈe̯a n + ə,p ˈj y m + a,p ˈe n + a,p ˈi nː + a,p ˈj y m + a,p ˈɛ n + a,p lˠ ˈo m + a,p l ˈu m + a,p ˈi nː + a,p lˠ ˈo m + ə,p ˈa j n + a,p ˈj u m + a,p ˈɛ n + a,p l ˈu m + e,p l ˈu m + a,p ˈe nː + a,p ˈe nː + a,p ˈæ n a,p ˈj y m + a,p r ˈu mː + a,p lˠ ˈo m + a,p ˈe̯a n + ə,p ˈi nː + a,p lˠ ˈo m + ə,p ˈe nː + ə,p lˠ ˈo m + ˈɛ,p ˈi nː + a,p ˈj u m + a,p l ˈy m + o,p ˈe ŋː + a,p ˈɛ n + a,p ˈj o m + a,p ˈa n + ə,p l ˈi m + ə,p ˈj u m + a,p ˈe nː + a,tʃ ˈy mː + a,p l ˈe m + ə,p l ˈe m + ə,p lˠ ˈo m + a,p ˈɛ n + ə,p ˈe n + a,p ˈj yː m + a
28_fire,f ˈo k + u,f œ,f ˈo ɡ + o,f ˈo ɣ + u,f œ,f oː ɡ,f ˈɔ k,f ˈw e ɣ + o,f ˈɔ k + u,f ˈɔ k,f u k,f e k,f ˈɔ ɡ,f uː k,f w e k,f ˈœ ɡ + u,f ˈɔ k + o,f o k,f œ,f ˈo ɡ + u,f ˈɔ k,f o k,f ˈɔ k + u,f ˈɔ k,f ˈo k + ə,f ˈɔ k,f ˈw ˈɔ k + u,f o k,f j ˈɔ,f ˈœː ɡ + u,f u ɡ,f ɔː ɡ,f o k,f j e w,f ˈw ˈɔ k + u,f ˈw ˈɔ k + o,f œ,f i,f j u k,f ˈɔ k,f œ,f ˈɔ ɡ + o,f œ k
29_fish,p ˈe s k + u,p ə s,p e s,p ˈi ʃː + i,p ˈɛ s,p ˈɛ s,p e j ʃ,p e θ,p ˈi ʃː + i,p e ʃ,p j a s,p e ʃ,p ˈɛ s,p ˈɛ s,p ə ʃ,p ˈe ʃː + u,p ˈe ʃː + e,r ˈi b + ˈæ,p ˈɛ s,p ˈi s k + e,p e j ʃ,p ˈe v a ʃ t + i,p ˈi ʃː + i,p e ʃ,p ˈe ʃː + ə,p e j ʃ,p ˈi ʃː + i,p e s,p ˈɛ j s,p ˈɛ ʃː + u,p ˈɛ s,p ˈɛ s,p ˈe ʃ t + e,p e ʃ,p ˈi ʃː + i,p ˈe ʃː + e,p ˈæ ʃː + u,p e ʃ,p ˈɛ ʃ,p e j ʃ,p e ʃ,p ˈe s + e,p œ s
2_ashes,tʃ i n ˈu ʃ + e,s ˈə n ˈɛ r,θ ˈe ŋ d r + o,tʃ i n ˈi ʒ + u,s ˈə n ˈɛ r,s ˈɛ n d r + a,s ˈɛ n d ɾ + e s,θ e n ˈi θ + a,tʃ ˈi nː i ɾ + i,s ˈɛ n d ɾ + ə s,k a n ˈa j s + a,tʃ ˈe n d ˈɛ r,ts ˈɛ n d a r,tʃ i n ˈi z + e,tʃ ˈə n d ə r,tʃ ˈe n e r + i,tʃ ˈe n e r + e,tʃ e r ˈu ʃ + e,s ˈə n ˈɛ r,k i s ˈi n + a,s ˈɛ n d ɾ + a,tʃ ə n ˈu ʃ + ə,tʃ ˈi n ɨ ɾ + ɨ,s ˈɛ n d ɾ + ə s,ʃ ˈɛ nː ə r + ə,s ˈɛ n d ɾ + e s,tʃ ˈi nː i ɾ + i,θ ˈe ŋ d r + e,s ˈɛ n d ɾ + e,s ˈe ŋ j + e,ts ˈɛ n d r + a,s ˈɛ n d r + a,tʃ e n ˈu ʃ + ə,tʃ ˈɛ n d r + ə,tʃ ˈi nː i ɾ + i,tʃ ˈe n e r + e,s r ˈe nː + e,tʃ ˈɛ n d r + ə,tʃ ˈɛ n d r + ə,s ˈɛ n d ɾ + e s,tʃ ˈɛ n d r + ə,s ˈɛ n e r + i,s ˈœ ŋ d r + i
30_flyv,a s b ˈw ai r + u,v u l + ˈe,v o l + ˈa + r,b o l + ˈa j,v u l + ˈe,v u l + ˈɛː r,v o lˠ + ˈa + ɾ,b o l + ˈa + ɾ,v u l + ˈa + ɾ i,b u lˠ + ˈa,,ʒ ɡ o l + ˈɛ r,v u l + ˈa r,z v o l + ˈaː,ʒ u l + ˈɛ,ʒ o + ˈaː,v o l + ˈa + r e,l e t + ˈi,v u l + ˈe,b o l + ˈa + r e,b o lˠ + ˈa + ɾ,p ə r + ə j + ˈe s,v u l + ˈa + ɾ ɨ,v u lˠ + ˈa,v u l + ˈa,b o lˠ + ˈa,v u l + ˈa + ɾ i,v o l + ˈa + r,v u l + ˈa,ʒ u + ˈa,v u l + ˈe a,v u l + ˈɛː r,a + z b u r + ˈa,ʒ ɡ u l + ˈa r,a + bː u l + ˈa + ɾ i,v o l + ˈa + r e,ʒ v u + ˈɛ,ʒ ɡ u l + ˈa r,ʒ ɡ u l + ˈa r,b o lˠ + ˈa + ɾ,ʒ v ə l + ˈa r,v o l + ˈa + r,v u l + ˈɛ
31_foot,tʃ i tʃ ˈo r + u,p e,p ie,p ˈɛ j,p e,p eː,p ˈɛ w,p j e,p ˈɛ d + i,p ˈɛ w,p i n s,p e,p j ˈɛ,p iː t,p e,p eː,p ˈj ˈɛ d + e,p i tʃ ˈo r,p e,p ˈe d + e,p ˈɛ w,p i tʃ ˈo r,p ˈɛ ɾ + i,p ˈɛ w,p ˈɛ ɾ + ə,p ˈɛ w,p ˈj ˈɛ ɾ + i,p ie,p ˈɛ t,p e,p e,p ˈɛ,p i tʃ ˈo r,p e,p ˈɛ ɾ + i,p ˈj ˈɛ d + e,p e,p e,p e j,p ˈɛ w,p ˈɛ,p ie,p ˈɛ
32_full,p l ˈi n + u,p j ˈɛ ŋ,p j e ŋ,p r ˈe n + u,p j ˈɛ ŋ,p iː n,p lˠ e,ʎ ˈe n + o,k ˈi n + u,p lˠ ˈɛ,p l a j n,p j e ŋ,p i n,p l ˈɛ ŋ,p l ə ŋ,p i ŋ,p ˈj ˈɛ n + o,p ʎ i r,p j ˈɛ ŋ,p r ˈe n + u,p lˠ e,ɐ m + p l ˈi n,k ˈi n + u,p lˠ ˈɛ,k ˈi n + ə,p lˠ e,k ˈi n + u,p j e ŋ,p l e ŋ,p i ŋ,p i n,p iː n,p l i n,p l a j n,tʃ ˈi n + u,p ˈj ˈɛ n + o,tʃ ˈæ ŋ,p l a ɲ,p l ˈɛ j n,p lˠ e,p l a j n,p j ˈɛ ŋ,p iː ŋ
33_give,d a + w,d e,d a + r,d o n + ˈa j,d e,d ˈɛː + r,d o n + ˈa + ɾ,d a + ɾ,d ˈa + ɾ i,d u n + ˈa,d w o + r,d ˈɛ + r,d a + r,d aː,d ˈɛ,d aː,d ˈa + r e,d ɒ,d ˈɛ,d ˈa + r e,d o n + ˈa + ɾ,d a + w,d ˈa + ɾ ɨ,d u n + ˈa,d ˈa,d o n + ˈa,d ˈa + ɾ i,d a + r,d u n + ˈa,d a,d e a,d ˈɛː + r,a + d ˈa,d a + r,d ˈa + ɾ i,d ˈa + r e,d ˈɛ,d a + r,d a + r,d o n + ˈa + ɾ,d a + r,d a + r,d ˈɛ
34_good,b ˈu n + u,b u ŋ,b o ŋ,b ˈo n + u,b u ŋ,b ˈɔ w n,b ˈɔ,b ˈw e n + o,b ˈɔ n + u,b ˈɔ,b u ŋ,b o ŋ,b o n,b ˈɔ ŋ,b o ŋ,b u ŋ,b ˈɔ n + o,b u r,b u ŋ,v ˈo n + u,b ˈɔ n,b u n,b ˈɔ n + u,b ˈɔ,b ˈw o n + ə,b ˈɔ,b ˈw ˈɔ n + u,b ˈɔ ŋ,b o ŋ,b u ŋ,b o w n,b ˈɔ w n,b u n,b u n,b ˈw ˈɔ n + u,b ˈw ˈɔ n + o,b u ŋ,b u ŋ,b j e n,b ˈɔ,b u n,b o ŋ,b oː ŋ
35_green,v ˈe̯a r d + e,v ˈɛ r d,v e r t,b ˈi r d + i,v ˈɛ r d,v e r d,v ˈɛ ɾ t,b ˈe ɾ ð + e,v ˈi ɾ d + i,b ˈɛ ɾ t,v j a r d,v e r t,v e r d,v ˈɛ r t,v ə r t,v ˈɛ r d + e,v ˈe r d + e,z e l ˈe n,v ˈɛ r d,v ˈi r d + e,b ˈɛ ɾ t,v ˈe̯a r d + i,v ˈi dː + ɨ,v ˈɛ ɾ t,v ˈɛ r d + ə,b ˈɛ ɾ t,v ˈi ɾ d + i,v e r t,v e r t,v ˈe r d + e,v eː r,v ˈɛ j r d,v ˈe r d + e,v ˈɛ r t,v ˈi ɾ d + i,v ˈe r d + e,v ˈɛː r d + e,v ˈɛ r t,v ˈɛ r t,b ˈɛ ɾ t,v ˈɛ r t,v ˈe r d + e,v eː r t
36_hair,p ˈe r + u,k a v ˈɛ + j,k a v ˈe + i,p ˈi l u + z u,k a v ˈɛ + j,k a v + ˈiː,k a β ˈe ʎ,p ˈe l + o,k a p ˈi ɖː + i,k ə β ˈɛ ʎ,k a p ˈe + j,tɕ a v ˈe + j,k a v + ˈi,tʲ a v ˈɛ + j,tɕ a v ˈə + j,k a v ˈe lː + i,k a p ˈe lː + i,p e r,k a v ˈɛ + j,p ˈi l + o s,m ˈo ɲ + o,p e r,k a p ˈi ɖː + ɨ,k ə β ˈɛ j,k a p ˈi lː + ə,k a β ˈe ʎ,k a p ˈi ɖː + i,k a v ˈe + i,p ˈɛ w,k a v ˈe lː + i,k a v ˈɛ l,k a v + ˈiː,p ə r,tɕ ə v ˈɛ l + s,k a p ˈi ɖː + i,k a p ˈe lː + o,k a v ˈæː j + i,tʲ ə v ˈɛ l + s,k ə v ˈɛ ʎ + s,k a β ˈe ʎ,tɕ ə v ˈɛ l + s,k a v ˈe + i,k a v ˈœ + j
37_hand,m ˈɨ n + ə,m a ŋ,m a ŋ,m ˈa n + u,m a ŋ,m a ŋ,m a,m ˈa n + o,m ˈa n + u,m a,m w o ŋ,m a ŋ,m a n,m a ŋ,m a ŋ,m a ŋ,m ˈa n + o,m ə r,m a ŋ,m ˈa n + u,m a,m ˈɔ n + ə,m ˈa n + u,m a,m ˈa n + ə,m a,m ˈa n + u,m a ŋ,m a ŋ,m a ŋ,m ˈã n,m aː n,m ˈɨ n + ə,m a w n,m ˈa n + u,m ˈa n + o,m a ŋ,m a ŋ,m a w n,m a,m a n,m a ŋ,m a ŋ
38_head,k ˈa p + u,t ˈɛ s t + a,t ˈɛ s t + a,k ˈɔ ŋ k + a,t ˈe s t + a,t ˈɛ s t + a,k a p,k ɑ β ˈe θ + a,t ˈɛ s t + a,k a p,k u p,tʃ e f,k ˈɔ,tʲ aː f,tʃ ə,t ˈe s t + a,t ˈɛ s t + a,k ɒ p,t ˈɛ s t + a,k ˈo ŋ k + a,k a p,k a p,t ˈɛ s t + a,k a p,k ˈa p + ə,k a p,t ˈj ˈɛ s t + a,t ˈɛ s t + a,t ˈɛ s t + o,t ˈe s t + a,t ˈɛ a s t + a,t ˈɛ s t + a,k a p,tɕ a w,t ˈɛ s t + a,t ˈɛ s t + a,t ˈɛː s t + a,tʲ ˈe + ə,tɕ a w,k a p,tɕ e w,t ˈɛ s t + a,t ˈɛ s t + a
39_hear,ˈa v d + u,s ˈɛ ŋ t + e,s e ŋ t + ˈi + r,i n + t ˈɛ n d + i,s ˈɛ ŋ t + e,s i ŋ t + ˈiː r,s e n t + ˈi + ɾ,o ˈi + ɾ,s ˈɛ n t + i + ɾ i,s ə n t + ˈi,s e n t + ˈa r,s e n t + ˈi r,s i n t + ˈi r,s i n t + ˈiː,a w d + ˈi,s e ŋ t + ˈiː,s e n t + ˈi + r e,a v z + ˈi,s ˈɛ ŋ t + e,i n + t ˈe n d + e + r e,s e n t + ˈi + ɾ,u t,s ˈɛ n t + ɨ + ɾ ɨ,s ə n t + ˈi,s ə n t + ˈi,s e n t + ˈi,s ˈj ˈɛ n t + i + ɾ i,s e ŋ t + ˈi + r,e n + t ˈɛ n d + ɾ e,s e ŋ t + ˈi,s i n t + ˈi,s ˈɛ j n t + eː r,a + a w z + ˈi,u d + ˈi r,s ˈɛ n t + i + ɾ i,s e n t + ˈi + r e,s e ŋ t + ˈi,s a n t + ˈɛ k r,u d + ˈi r,s e n t + ˈi + ɾ,d u d + ˈi r,s e ŋ t + ˈi + r,s ˈeː ŋ t + i
3_bark,k ˈo v a ʒ + e,s k ˈɔ r s + a,s k ˈɔ r θ + a,s k r ˈo ʒ + u,s k ˈɔ r s + a,k u r t ˈɛ s + a,k r ˈɔ s t + a,k o ɾ t ˈe θ + a,s k ˈɔ ɾ tʃ + a,ə s k ˈɔ ɾ s + ə,,ʃ k ˈo r ts + a,k u r t ˈɛ tʃ + a,s k ˈu s + e,ʃ k ˈɔ r ts + a,s k ˈɔ r s + a,b ˈu tːʃ + a,k ˈo r + a,p l ˈœ j + a,k o θ i k + ˈi n + a,k ˈɔ ɾ f + a,,s k ˈɔ tːʃ + a,ə s k ˈɔ ɾ s + ə,ʃ k ˈɔ r ts + ə,a s k ˈɔ ɾ s + ˈɛ,ʃ k ˈw ˈɔ ɾ tʃ + a,s k ˈɔ r θ + a,r ˈy s k + o,s k ˈɔ r s + a,s k ˈɔ a v r ts + a,s k ˈɔː r s + a,s k ˈo v a r ts + ə,ʃ k ˈɔ r s + ə,ʃ k ˈɔ tːʃ + a,k o r t + ˈe tːʃ + a,s k ˈɔː r s + a,ʃ k ˈɔ r s + ə,ʃ k ˈɔ r s + ə,a s k ˈɔ ɾ s + a,ʃ k ˈɔ r ts + ə,s k ˈɔ r s + a,s k ˈɔ r s + a
40_heart,ˈi n i m + ə,k œ r,k ˈɔ r,k ˈɔ r + u,k œ r,k oː r,k ˈɔ ɾ,k o ɾ + a θ ˈo n,k ˈɔ ɾ + i,k ˈɔ ɾ,k w o r,k e r,k ˈɔ r,k uː r,k w e r,k œ,k ˈɔ r + e,j ˈi r i m + ˈæ,k œ r,k ˈo r + o,k ˈɔ ɾ,b u r ˈi k,k ˈɔ ɾ + ɨ,k ˈɔ,k ˈɔ r + ə,k ˈɔ ɾ,k ˈw ˈɔ ɾ + i,k ˈɔ r,k ˈɔ ɾ,k œ,k ˈɔ a r,k oː r,ˈi n i m + ə,k o r,k ˈɔ ɾ + i,k ˈw ˈɔ r + e,k œ,k o r,k o r,k ˈɔ ɾ,k ˈɔ w r,k w ˈɔ r,k œ r
41_horn,k ˈo r n + u,k ˈɔ r n,k ˈɔ r n + o,k ˈɔ rː + u,k ˈɔ r n,k ˈɔ r e n,b ˈa ɲ + a,k ˈw e r n + o,k ˈɔ ɾ n + u,b ˈa ɲ + ə,k w a r ŋ,k ˈɔ r n,k ˈɔ r a n,k w aː r,k ˈɔ r n,k ˈɔː r n + u,k ˈɔ r n + o,k o r n,k ˈɔ r n,k ˈo rː + u,b ˈa ɲ + a,k o r n,k ˈɔ nː + u,b ˈa ɲ + ə,k ˈɔ r n + ə,b ˈa ɲ + ˈɛ,k ˈw ˈɔ ɾ n + u,k ˈɔ r n + o,b ˈa n + o,k ˈɔ r n + u,k ˈɔ a r a n,k ˈɔː r e n,k o r n,k ˈɔ r n + ə,k ˈw ˈɔ ɾ n + u,k ˈɔ r n + o,k ˈɔː r n + u,k ˈɔ r n + ə,k ˈɔ r n + ə,b ˈa ɲ + a,k ˈɔ r n + ə,k ˈɔ r n + o,k ˈɔː r n + u
42_i,j o,m i,m i,d ˈɛ w,m i,m ˈɛ,j ˈɔ,ʑ o,j u,ʒ ˈɔ,j u,dʒ e,m i,j o,j e,m i,ˈi o,j o,m i,d ˈe o,j ˈɔ,j o,j ˈɔ,ʒ ˈɔ,ˈi j ə,j ˈɔ,j ˈɔ,m i,j e w,m i,m e,m e,j e w,j a w,j u,ˈi o,m i,ˈiə,j e w,j ˈɔ,ˈɛ w,m i,m iː
43_kill,v ˈa t + ə m,m a s + ˈe,k o p + ˈa + r,b o tːʃ ˈi r + i,m a s + ˈe,m a s + ˈɛː r,m a t + ˈa + ɾ,m a t + ˈa + ɾ,a + mː a tːs + ˈa + ɾ i,m ə t + ˈa,d r a m + ˈw o r,m a ts + ˈɛ r,m a ts + ˈa r,k o p + ˈaː,m a ts + ˈɛ,mː a sː + ˈaː,a + mː a tːs + ˈa + r e,u tʃ ˈi d + e,m a s + ˈe,b o kː + ˈi + r e,m a t + ˈa + ɾ,n e k,a + mː a tːs + ˈa + ɾ ɨ,m ə t + ˈa,a + tːʃ ˈi ɾ + ə + r ə,m a t + ˈa,a + mː a tːs + ˈa + ɾ i,k o p + ˈa + r,t y + ˈa,a + mː a sː + ˈa,a + k u p + ˈe a,m a s + ˈɛː r,a + u tʃ ˈi d + e,m ə ts + ˈa r,a + mː a tːs + ˈa + ɾ i,u tːʃ ˈi d + e + r e,m a tːs + ˈɛ,m ə ts + ˈa r,m ə ts + ˈa r,m a t + ˈa + ɾ,k ə p + ˈa r,k o p + ˈa + r,m a s + ˈɛ
44_knee,dz i n ˈu k ʎ + u,dʒ i n ˈu j,d e n ˈɔ tʃ + o,ʒ e n ˈu ɣ + u,dʒ i n ˈu j,z n ɔː tʃ,dʒ i n ˈo ʎ,r o ð ˈi ʎ + a,dʒ i n ˈɔ kː j + u,ʒ ə n ˈo ʎ,dʒ i n ˈw a k,ʒ ə n ˈe j + e,dz n ˈɔ tʃ,dʒ e n ˈɔ l + i,ʒ ə n ˈo d l,dz e n ˈu dʒː + u,dʒ i n ˈɔ kː j + o,ʒ e r ˈu ŋ k ʎ + u,dʒ i n ˈu j,b e n ˈu kː r + u,tʃ i n ˈo ʎ,z i n ˈu k ʎ + u,dʒ i n ˈɔ kː j + u,ʒ u n ˈo j,d ə n ˈu kː j + ə,ʒ i n ˈo ʎ,ɾ i n ˈw ˈɔ kː j + u,d e n ˈɔ tʃ + o,dʒ e j n ˈu j,z e n ˈu dʒː + u,dz n ˈɔ tʃ,dz n ɔː tʃ,dʒ e n ˈu ŋ kʲ,ʒ ə n ˈu ʎ,ɾ i n ˈw ˈɔ tːʃ + u,dʒ i n ˈɔ kː j + o,dz e n ˈu dʒː + u,ʒ ə n ˈu ʎ,ʒ ə n ˈu ʎ,tʃ i n ˈo ʎ,ʒ n w o ʎ,z e n ˈɔ tʃ + o,z n œ tʃ
45_know,ʃ t i + w,s a v + ˈɛ j,s a v + ˈe r,ʃ ˈi r + i,s a v + ˈɛ j,s a v + ˈe r,s a β + ˈe + ɾ,s a β + ˈe + ɾ,s a p + ˈi + ɾ i,s a β + ˈɛ,s a p + ˈa r,s a + ˈe r,s a + ˈɛ r,s a v + ˈeː,s a v + ˈə j,s a v + ˈeː,s a p + ˈe + r e,ʃ t i,s a v + ˈɛ j,i s k + ˈi + r e,s a β + ˈe + ɾ,ʃ t i + w,s a p + ˈi + ɾ ɨ,s ˈɛ β + ɾ ə,s a p + ˈɛ,s a β + ˈe,s ˈa p + i + ɾ i,s a e r,s ˈa w p + ɾ e,s a v + ˈe j,s a v + ˈeː,s a v + ˈɛ j r,a + ʃ t ˈi,s ə v + ˈa j r,s a p + ˈi + ɾ i,s a p + ˈe + r e,s a v + ˈɛ j,s ə v + ˈɛ k r,s ə v + ˈe r,s a β + ˈe + ɾ,s ə v + ˈa j r,s a v + ˈe + r,s a v + ˈe j
46_leaf,f r ˈɨ n dz + ə,f ˈœ j + a,f ˈɔ j + a,f ˈɔ lː + a,f ˈœ j + a,f ˈo j + a,f ˈu ʎ + a,ˈo x + a,f ˈɔ ɡː j + a,f ˈu ʎ + ə,f ˈw a ʎ + a,f ˈo + a,f ˈɔ j + a,f ˈw e + e,p l ˈe tʃ + a,f ˈœ dʒː + a,f ˈɔ ʎː + a,f ˈo ʎ + e,f ˈœ j + a,f ˈo dz + a,f ˈu ʎ + a,f r ˈu n z + ə,f ˈɔ ɡː j + a,f ˈu + ə,f ˈɔ ʎː + ə,f ˈu ʎ + ˈɛ,f ˈw ˈɔ ɡː j + a,f ˈɔ j + a,f ˈɥ ˈɛ j + o,f ˈœ dʒ + a,f ˈo j + a,f ˈɔ j + a,ˈf r u n z + ə,f e ʎ,f ˈɔ ɡː j + a,f ˈɔ ʎː + a,f ˈœː j + a,f i ʎ,f e ʎ,f ˈu ʎ + a,f ˈœ ʎ + ə,f ˈɔ j + a,f ˈɔː j + a
47_lie,dz ˈa k + u,s t + ˈe + k u dʒ + ˈa,s t + ˈa + r + b u t + ˈa + d o,a b a rː + ˈa j + k r o kː + ˈa w,s t + ˈe + k u dʒ + ˈa,z a k + ˈɛː r,e s t + ˈa + ɾ + t o m b + ˈa + t,e s t + ˈa + ɾ + t u m b + ˈa ð + o,k u ɾ k + ˈa + ɾ i + s i,ə s t + ˈa + s t i ɾ + ˈa t,,ˈe s e r + b u t + ˈa + ʒ ˈu,k u tʃ + ˈa r + s,j e s i + d i s + t i r + ˈaː t,ʃ t ˈɛ + p u n d ˈu,ˈeː s e + a + k w ˈeː ɡ + oː w,ˈɛ sː + e + r e + z d r a j + ˈa + t + o,z a tʃ + ˈɒ,s t + ˈe + k u dʒ + ˈa,e sː + ˈe + r e + k o l k + ˈa d + u,e s t + ˈa + ɾ + tʃ i t + ˈa + t,z a k,k u kː + ˈa + ɾ ɨ + s ɨ,ʒ ˈɛ w + ɾ ə,s t + ˈa + k u kː + ˈa t + ə,a s t + ˈa + a + s t i ɾ + ˈa + t,k u ɾ k + ˈa + ɾ i + s i,s t + ˈa + r + b u t + ˈa + d o,,s d r ˈa j + aː + s e,,dz a k + ˈɛː r,a + s t ˈa + k u l k + ˈa t,dʒ ə ʒ + ˈa j r,ʃ t i nː + i + r i + s i,ˈɛ sː + e + r e + z d r a j + ˈa + t + o,r u + v e r s + ˈeː + s e,ʃ t ˈa r + t ˈa r ə,ʒ e r,tʃ i t + ˈa + ɾ + s e,dʒ ə ʒ + ˈa j r,s t + ˈa + r + d e s + t i r + ˈa,s t ˈɛ + k w a t + ˈaː
48_liver,tɕ i k ˈa t + u,f ˈi d i k,f ˈe ɡ a t + o,f i ɡ ˈa w,f ˈi d i k,f ˈe d e ɡ,f ˈe dʒ + e,ˈi ɣ a ð o,f ˈi k a t + u,f ˈe dʒ + ə,f i ɡ ˈw o t,f j ˈa + n ˈe j ɡ ˈɛ r,f ˈɛ ɡ a t,f i ˈaː t,f u j + ˈa + f ˈo ʃ k,f ˈe ɡ a t + u,f ˈe ɡ a t + o,f i k ˈɒ ts,f ˈi d i k,f ˈi k a d + u,f ˈe tʃ + e,d r o p,f ˈi k a t + u,f ˈe dʒ + ə,f ˈɛ ɣ a t + ə,f ˈe dʒ + e,f ˈi k a t + u,f ˈɛ ɡ a t + o,f ˈe dʒ + e,f i ɡ ˈɛː t + u,f ˈeː ɡ a t,f ˈe d e ɡ,f i k ˈa t,ɲ i r ˈo m,f ˈi k i t + u,f ˈe ɡ a t + o,f ˈe ɡ a t + u,n i r ˈo m,d i r,f ˈe tʃ + e,ɲ ə r ˈo m,f i ɡ ˈa,f ˈiː d i k
49_long,l ˈu n ɡ + u,l u ŋ ɡ,l ˈɔ ŋ k,l ˈo ŋ ɡ + u,l u ŋ ɡ,l u ŋ ɡ,ʎ a ɾ k,l ˈa ɾ ɡ + o,l ˈɔ ŋ ɡ + u,ʎ a ɾ k,l u ŋ ɡ,l o ŋ k,l u ŋ ɡ,l u ŋ k,l o ŋ k,l ˈu ŋ ɡ + u,l ˈu ŋ ɡ + o,l u ŋ ɡ,l u ŋ ɡ,l ˈo ŋ ɡ + u,ʎ a ɾ k,l u n k,l ˈɔ ŋ ɡ + u,ʎ a ɾ k,l ˈw o ŋ ɡ + ə,ʎ a ɾ k,l ˈw ˈɔ ŋ ɡ + u,l ˈɔ ŋ k,l o ŋ k,l ˈu ŋ ɡ + u,l o ŋ ɡ,l ˈɔ ŋ ɡ,l u ŋ ɡ,l u ŋ,l ˈw ˈɔ ŋ k + u,l ˈu ŋ ɡ + o,l ˈu ŋ ɡ + u,l u ŋ,l j u ŋ,ʎ a ɾ k,l u ŋ,e v ˈo ŋ ɡ + o,l oː ŋ
4_belly,p ˈɨ n t i k + u,p ˈa ŋ s + a,p ˈa ŋ θ + a,b r ˈɛ n t + i,p ˈa ŋ s + a,p ˈa n s + a,p ˈa ɲ tʃ + a,t ɾ ˈi p + a,p ˈa n ts + a,p ˈa ɲ ʃ + ə,v j ˈa n t r + o,v ˈe n t ˈɛ r,p ˈa n ts + a,p ˈa n ts + e,v ˈə n t ə r,p ˈa ŋ s + a,p ˈa n tʃ + a,t ə r b ˈu x,p ˈa ŋ s + a,f r ˈe n t + e,p ˈa ɲ tʃ + a,f ˈo̯a l + i,p ˈa n ts + a,p ˈa ɲ ʃ + ə,p ˈa n ts + ə,p ˈa ɲ tʃ + ˈɛ,p ˈa n ts + a,p ˈa ŋ θ + a,v ˈɛ n t ɾ + e,p ˈa ŋ s + a,p ˈã n ts + a,p ˈaː n s + a,b ˈu r t + ə,v ˈɛ n t ə r,p ˈa n ts + a,v ˈɛ n t r + e,p ˈa ŋ s + a,v ˈa j n t ə r,v ˈɛ n t ə r,p ˈa ɲ tʃ + a,v ˈa j n t ə r,p ˈa ŋ s + a,p ˈa ŋ s + a
50_louse,p i d ˈu k ʎ + u,p u j,p e d ˈɔ tʃ + o,p r i ˈo ɣ + u,p u j,p j oː tʃ,p o ʎ,p ˈj o x + o,p i ɾ ˈɔ kː j + u,p o ʎ,p e d ˈo k l + o,p ˈo j + e,v d ˈɔ tʃ,p e d ˈɔ l + i,p o d l,p i ɡ ˈœ dʒː + u,p i d ˈɔ kː j + o,p e d ˈu k ʎ + u,p u j,p r e ˈu kː + u,p o ʎ,p i d ˈu k ʎ + u,p i ɾ ˈɔ kː j + u,p o j,p ə ɾ ˈu kː j + ə,p o ʎ,p i ɾ ˈw ˈɔ kː j + u,p e d ˈɔ tʃ + o,p e z ˈu,p i ɡ ˈœ dʒː + u,b d ˈɔ tʃ,p j oː tʃ,p ə d ˈu k + e,p l u ʎ,p ɾ ˈu tːʃ + u,p i d ˈɔ kː j + o,p ˈj œ dʒː + u,p l u ʎ,p l u ʎ,p o ʎ,p l w o ʎ,p e ˈɔ tʃ + o,p j œ tʃ
51_man,b ə r b + ˈa t + u,ˈɔ m,ˈɔ m,ˈo mː + i n + i,ˈɔ m,ˈɔ m,ˈɔ m e,ˈo m b ɾ + e,ˈɔ m + u,ˈɔ m ə,o m,o m,ˈɔ m + a n,ˈɔ m,ə l,ˈɔ mː + u,ˈɔ m + o,m ˈu ʃ k i,ˈɔ m,ˈo mː + i n + e,ˈɔ m e,b ə r b + ˈa t,m ˈa s k u l + u,ˈɔ m u,ˈɔ mː + ə,ˈɔ m e,m ˈa ʃ k u l + u,ˈɔ m,ˈɔ m e,ˈɔ mː + u,o m,o m,b ə r b + ˈa t,u m,ˈw ˈɔ mː + i n + u,ˈw ˈɔ m + o,ˈɔ mː + u,o m,u m,ˈɔ m e,o m,ˈɔ m + o,ˈoː m + a ŋ
