Cognate_ID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	ManLoi	MangBang	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
91_black	v ɔ ŋ	v a ŋ	v a ŋ	v ɔ ŋ	dʑ ə m	dʑ ə m	v a ŋ	v ɔ ŋ	v a ŋ	dʑ ə m	ʔ i + v ɔ ŋ	v ɔ ŋ	v ɔ k	v a ŋ	v ɔ ŋ	v ɔ ŋ
92_white	l ui̯	l ɨi̯ h	b l ɔ ʔ	l ui̯	p l ɔ ʔ	b l ɔː ʔ	l uːi̯	l uːi̯	p l ɔ ʔ	b l ɔ ʔ	ʔ i + l ui̯	l ui̯	l ui̯	l uːi̯	l uːi̯	l uːi̯
93_new	k a + m ai̯	l ə + m ai̯	k a + m ai̯	t a + m aːi̯	k ə n + m ei̯	k a r + m ei̯	k a + m aːi̯	t a + m aːi̯	k a + m ai̯	k ə n + m ɛː	t a + m aːi̯	k a + m ai̯	k a + m ai̯	k a + m aːi̯	k a + m aːi̯	k a + m aːi̯
94_oldaged	k ă t	g ɔ ʔ	g a t	g ɔː ʔ	p ə + ʔ aː n	p a + ʔ aː n	k a ʔ	g ɔː ʔ	k ɛ t	k o n + tɕʰ aː	g ɔ ʔ	k ă t	k ă t	k a t	k a t	k a t
95_cold	g ă t	k o k	k a t	k ɔː ʔ	k a t	k a t	g a ʔ	k ɔː ʔ	g a t	k a t	k ɔː ʔ	g ă t	g ă t	g i/j a ʔ	g a t	g a t
96_heavy	c a n	dʑ ɔː n	dʑ ɔː n	dʑ ɔ n	dʑ a n	dʑ a n	tɕ ɔ n	dʑ ɔː n	tɕ a n	dʑ a n	dʑ a n	c ă n	c ă n	tɕ a n	tɕ a n	tɕ a n
97_who	ʔ a + s e	ʔ a + s i	s iː n + m u h	s iː	s i + m i + m ɔ h	s i + ʔ a n + m ɔ h	ʔ a + s ei̯	s i + d ə h	ʔ i + s iː	ʔ a + s e + m i + m ə h	tɕʰ i + m̥ əː	ʔ a + s e	ʔ a + s e	ʔ a + s eː	ʔ a + s ei̯	ʔ a + s ei̯
98_what	m a + s e	s ə + m u h	s iː n + m u h	s ə + m o h	s ə n + m ə h	s i + m ɔ h	s i + m u h	s i	s i + n ə m u h	s i n + m ə + h a + ʔ ɨː	tɕʰ ə n + m̥ əː	m a + s e	m a + s e	s i + m u h	m a + s ei̯	m a + s ei̯
99_i	ʔ o	ʔ au̯	ʔ oː	ʔ au̯	ʔ ɔː	ʔ oː	ʔ ɔː	ʔ au̯	ʔ oː	ʔ ɔː	ʔ au̯	ʔ o	ʔ o		ʔ ou̯	ʔ ou̯
9_water	ʔ ɨ m	ʔ ɛ m	ʔ uː m	ʔ ɛ m	ʔ oː m	ʔ oː m	ʔ oː m	ʔ ə m	ʔ uː m	ʔ oː m	ʔ ə m	ʔ ɨ m	ʔ ɨ m	ʔ oː m	ʔ ɨ m	ʔ ɨ m
