Cognate_ID	Dayang	Jiulong	Lanping	Longxi	Mianchi	Niuwozi	Qinghua	Taoba	Taoping	Wadu	Yonghe
62_fearbeafraid						k j ɜ̆/ɜ	s k i/j ɛ ¹³	x i ɐ ³⁵	q u ³³	k ɐ̆/ɐ	
63_feed			tʰ ə ¹³ + s tʃʰ ɛ ¹³			ʈʂʰ e ᴿ/¹⁵					
64_feedraise				m ì/i	m ù/u						m ĭ/i
65_fightgotowar			q o ⁵⁵ + q u/w a ⁵⁵	q ù/u + q u á/a	ɖʐ u ɛ̀/ɛ + q u á/a						
66_firewood		s ẽ ⁵⁵	s i/j ɛ̃ ¹³	ɕ ì/i	s è/e	s j ẽ ᴿ/¹⁵	s i/j ɛ̃ ¹³	s ẽ ³⁵	s i/j e ³³	s ĕ/e ŋ	s ɛ́/ɛ
67_flea		ɬ ɛi ⁵⁵	ɬ a ⁵⁵			l̥ ɜj/ɜi ᶠ/⁵¹	ɬ a ⁵⁵	ɬ e ⁵³	ts u ⁵⁵ + l u ⁵⁵	l̥ ɛj́/ɛi	
68_flee	p tʃʰ ĩ̌/ĩ	pʰ ã ⁵⁵	kʰ ə ¹³ + pʰ ʃ ã ⁵⁵	d à/a + pʰ ó/o		pʰ j ɛ̃ ᴿ/¹⁵	pʰ ʒ ã ⁵⁵		pʰ u ⁵⁵	pʰ ĩ̀/ĩ	d ò/o + pʰ ú/u
69_fly						b j ɛ̃ ᴿ/¹⁵				b ĭ/i ŋ	
6_beard		a ³³ + s ũ ⁵⁵					a ¹³ + s t i ɑ̃ u ⁵⁵	a ³⁵ + s õ ⁵³	tsʰ u/w ə ⁵⁵ + χ m ə ³³		tsʰ ə́/ə + m ù/u
70_foot	ʈʰ ɨ́/ɨ	ʈʂʰ ɿ ⁵⁵	ʈʂʰ ə ⁵³			kʰ ʴ/³⁵ ə ᴴ/⁵	ʈʂʰ ə ⁵⁵	ʈʂʰ ə ⁵³		ʈʰ ə́/ə	
72_forehead	ɬ ŏ/o		ɬ o ¹³			l̥ o ᴿ/¹⁵	ɬ o ¹³	ɬ o ³⁵			
73_fox		ʐ y ə ³⁵	g u ɐ ¹³ + p o ⁵⁵	qʰ à/a + g u/w à/a	qʰ á/a + g u ə̀˞/ə˞	g ɥ ɛ ᶠ/⁵¹	s g y ɛ ¹³	g u/w ə ⁵³	qʰ ɑ ³³ + χ g u/w ə ³³		w æ̆/æ
74_frog	ɸ p ɒ́/ɒ	p ɐ ⁵⁵ + d e ⁵⁵	f p ɑ ⁵⁵	z ò/o + p i/j á/a	dz ò/o + p i/j á/a	p ɜ ᴴ/⁵ + d i ᴴ/⁵	s p ɑ ⁵⁵		dz u/w ɑ ³¹ + p u ⁵⁵ + m ɑ ³³		dz ù/u + p ǽ/æ
75_front			ʐ ə ⁵⁵			ɹ ə ᶠ/⁵¹	ʐ ə ⁵⁵		q ə ³¹ + ə ʴ/ɹ ⁵⁵	ɹ ə́/ə	k ə̆/ə ʴ/ɹ
76_gall		ʈʂ ɿ ³⁵	ʈʂ ə ⁵⁵	ts ɨ́/ɨ	tɕ ɨ́/ɨ	k ʴ/ɹ ə ᴴ/⁵	ʈʂ ə ⁵⁵	ʈʂ ə ⁵⁵	χ ʈʂ ə ⁵⁵	ʈ ə́/ə	
77_givebirth				ì/i	ʑ ì/i					ʑ ì/i	
78_gnaw				ʁ à/a + ɕ à/a			x ə ¹³ + q ɑ ¹³		χ ɢ ɑ ²⁴¹	q ă/a	g ɑ̀/ɑ ʴ/ɹ + ɬ ɛ́/ɛ
7_bee	b ɨ́/ɨ	b i ³⁵ + l ĩ ⁵⁵	b ʒ ɛ ¹³ + tʃ ə ⁵⁵	b ù/u + i ù/u	b ù/u + ʑ o ú/u	b ɨ ᶠ/⁵¹			b ə ³¹ + dʑ y ³³	b ʉ HL/⁵¹	b ù/u + ʐ ú/u
80_greenblue						n i ᴴ/⁵		ȵ i ⁵⁵ + n a ⁵⁵ + m ə ⁵³			
84_hailn		z ẽ ³⁵						ʑ ẽ ³⁵			
85_hair			m a ⁵⁵	χ ù/u	m ù/u	kʰ ʉ ᴴ/⁵ + m ã ᴸ/¹	m a ⁵⁵	m a ⁵⁵	χ m ə ³³	qʰ ʉ́/ʉ + m̥ æ̀/æ	h ŭ/u ʴ/ɹ
86_half			pʰ a ⁵⁵ + tɕ i ¹³			pʰ ɑ ᴿ/¹⁵		pʰ a ³⁵		pʰ ɑ̆/ɑ	
87_hammern				t u/w à/a + l i ò/o	t u/w à/a + l i ò/o						
88_harvestreap		k ɯ ⁵⁵ + ʐ e ⁵⁵	x ə ¹³ + k ɯ ⁵⁵		k ú/u						ɦ ɛ̀/ɛ + k w ɛ́/ɛ
91_heart				ɕ ì/i + m ì/i	t i è/e				χ t i/j e ⁵⁵ + m ə ⁵⁵		t ì/i + m í/i
93_hemp	s ɑ̆/ɑ w	s o ³⁵	s ɑ u ¹³	s ò/o						s ŭ/u	s ŭ/u
95_hoe		ʈʂ u ³⁵ + m ɑ ⁵⁵		tɕ u/w à/a	k u/w à/a			tɕ y a ³⁵ + dz ə ⁵⁵	k u/w a ³³		k w æ̆/æ
99_horse	ʒ dʒ ĩ̌/ĩ	ʐ u ẽ ³⁵	z g y ɛ̃ ¹³	ʐ o ù/u	ʁ ò/o	g ɥ ɛ̃ ᴸ/¹	s g y ɛ̃ ¹³	ɣ u ẽ ³⁵	ʐ u ⁵⁵	g w ĩ̌/ĩ	w ĭ/i
9_bitter	qʰ ɑ̆/ɑ	qʰ ɑ ⁵⁵	qʰ ɑ ¹³	qʰ à/a	qʰ à/a	kʰ a ᴿ/¹⁵	qʰ ɑ ¹³	kʰ a ³⁵ + m ə ⁵³	qʰ a ⁵⁵	qʰ æ̆/æ	kʰ ɑ́/ɑ
