Cognate_ID,EudeveNorth,EudeveSouth,Mayo,Opata,ProtoSonoran,ProtoTepiman,SonoraPimaBajo,TarahumaraCentral,TepehuanNorth,TepehuanSouth,TohonoOdam,Tubar,WarihioHighland,WarihioLowland,Yaqui
257_297_stubble,s o n ó/o,,s á/a nn/nː a,,s o n o,,,s o n ó/o,,,,s o n o + w o l í/i t,s o n ó/o,s o ʔ o n ó/o,
258_239_bat,,,s ó/o t ts i + k,s o p i ts i,s o p ɨ + ts i,,,s o p e ts í/i,,,,,s o p é/e ts i,,s o ó/o ts i + k
259_176_fathersoldersister,,,,s o r o,s o r o,,,s oː r ó/o,,,,,s o l ó/o,,
25_43_bathe,ú/u v a,h u b a,ú/u bb/bː a,u v a,ʔ u p a,,,ú/u b a,,,,,u ʔ u p á/a,,ʔ ú/u b a
260_4_maternalgrandmother,,s u,,s u,s u,h ú/u ʔ ú/u + r i,,u + s ú/u,,,,s u u,s u ʔ + s ú/u,,á/a + s u
261_350_muledeer,,,,s u/w a,s u h a,,h u/w a,s o h á/a + w i,,,h u/w a + w i,,,,
262_141_bewarm,s ú/u k a,,s ú/u kk/kː a,s u kk/kː a r a,s u k a,h u u/u k á/a d a,,s u k á/a r e,,,,,,,
263_220_maize,s ú/u n u,,s ú/u nn/nː u,s u n u + t,s u n u,h ú/u u n u + i,,s u u/u n ú/u,,,,,s u n ú/u,s u ʔ u n ú/u,
264_93_heart,s ú/u r a,,s u ú/u l a,,s u r a,s ú/u r a,,s u r á/a,,,,,s u l á/a,s u r a,s u ú/u l a
265_347_nail,s ú/u t u,,s u ú/u t u,s u t u,s u t u,h ú/u u t u,,s u t ú/u,,,,s u t ú/u + r,s u h t ú/u,s u h t ú/u,s ú/u t u
266_13_becomeusedupspent,,,s u ú/u + m e,,s u w i,h u g í/i,,s u w í/i,,,,s u w i,,,
266bis_12_becomeusedupspent,s u/w a,,s ú/u gʷ a,,s u w + a,,,s u w á/a,,,,s u/w a + k á/a m,,,s ú/u ʔ a
267_322_sun,t á/a w i,,t a á/a ʔ a,t a + t,t a,t á/a s ai,,r a + y/j é/e n a r i,,,,t a s a + l í/i t,t a + h é/e n a r i,t a h á/a,t a á/a ʔ a
268_30_burn,t á/a h a,,t á/a hh/hː a,tʰ a,t a h a,t á/a i,,r a h á/a,,,,t a h a + m é/e t,t a h a,,t á/a h a
269_153_fruit,t á/a k a,,t a á/a k a,t a kk/kː ai,t a k a,t á/a k a,,r a k á/a,,,,t a k a + r á/a t,t a k á/a,t a a k a,
26_170_bewarm,u r u,,,u r u,ʔ u r u,,,u u r í/i,,,,,,,
270_105_body,t á/a k a,,t a k á/a,t a k a t,t a k a,,,,,,,,,,t a k á/a
271_260_palm,t á/a k u,,t á/a kk/kː o,t a k u,t a k u,,,r a k ú/u,,,,t a k ú/u + t,t a h k ú/u,t a h k ú/u,t á/a k o
272_119_tooth,t á/a m i,,t á/a mm/mː i,t a m i,t a m i,t á/a m u + i,,r a m é/e,,,,t a m é/e + r,t a m é/e,t á/a a m i,t á/a m i
273_268_askrequest,,,n é/e + t a n e,,t a n i,t a a n í/i,,t a n í/i,,,,,,,
274_294_split,t a p á/a + k d a,,,t a p a,t a p a,t a a p a + n ai + ɨ,,r a p á/a,,,,,t a p á/a,,
275_91_rabbit,t á/a b u,,t a á/a b u,t a w u,t a p u,,t o b i,,,,t oː b i,,,,t a á/a b u
276_278_foot,t á/a r a,,,t a r a,t a r a,t á/a r a,,r a r á/a,,,,,t a l á/a,t a a r á/a,
277_183_mothersyoungerbrother,t ei + gʷ á/a t,,,t ai,t a r i,t a + t á/a r i,,r a ʔ + t é/e,,,,t a y/j í/i,t a ʔ t é/e i,t á/a ʔ a + t á/a i,t a á/a + t a
278_342_cough,t á/a s a,,t á/a ss/sː e,t a + tt/tː a s i,t a s a,,,r o s ó/o + w a,,,,,,t á/a s i + n a,t á/a s e
279_242_nerve,t a w í/i r a,,t á/a + tt/tː e,,t a w a,t a + t á/a g a,,r a w á/a,,,,t a + t a mw/mʷ á/a + t,t a w á/a,t a ʔ a w á/a,t á/a + t e
27_161_shout,ts á/a n a,,ts a á/a y/j e,ts a n e,ts a n i,,,ts a n í/i,,,,ts ai,ts a n í/i,ts a n i,ts á/a e
280_267_chest,,,t áu/au w i,t a w a,t a w i,,,r a w í/i,t á/a g i,,,,,t a w i,t á/a w i
281_192_man,,,,,t i h o y/j i,t í/j o d i,,r e h ó/o i,,,,,t i h o é/e,t i h o y/j é/e,
282_333_beashamed,t í/i w e,,t i í/i w e,t i gʷ i + ts i,t i w ɨ,,,r i w í/i + i,,,,,,,t i í/i w e
283_279_stone,t é/e + t,,t é/e + tt/tː a,t e + t,t ɨ,,,r e + t é/e,,,,t e + t á/a + t,t e + h t é/e,t e + h t é/e,t é/e + t a
284_292_complain,t e í/j + n a,,t é/e ʔ i,t ei,t ɨ ʔ i,,,r i ʔ,,,,,,,
285_353_wart,t e ts ú/u,,t é/e s u ʔ u + k i/j a m,t e ts u,t ɨ ts u,,,,,,,,t e h ts í/i + w a r i,,
286_159_hail,t e h é/e + t,,t é/e hh/hː a + n,,t ɨ h a,,t u h a,r e h é/e,,,ts í/i a,t e h é/e + t,t e h é/e,t e h á/a,
287_330_layouthorizontallyextend,t é/e k a,,t e é/e k a,t e kk/kː a,t i k a,,t e kk/kː a,r e k á/a,,,ts i h k,,t e k á/a,,
288_361_blackvulture,t e k ó/o,,,t e k o,t ɨ k o,,,,,,,t e k ó/o,,,t é/e k o e
289_277_sting,t é/e k s o,,,t e ss/sː o + a,t ɨ k + s o,,,t e s ó/o,,,,,,,
28_214_hill,ts á/a p a,,ts ó/o pp/pː oi,,ts a p a,,,ts a p á/a + ts i,,,,,ts a h p á/a,,ts ó/o p oi
290_299_mouse,ts i k ú/u r i,,ts í/i kk/kː u l,ts i k u r i,t ɨ k u r i,t ɨ ɨ k ú/u r i,,ts i k u r í/i,,,,,ts i ʔ k u r í/i,ts i k u u/u r í/i,ts í/i k u l
291_295_frog,t e m ó/o + t,,,t e m o,t ɨ m o,,,r e m ó/o,,,,,t e m ó/o,t e e m ó/o,
292_266_kick,,,t é/e mm/mː u,t e m u,t ɨ m u,,,r i m i + s ó/o,,,,t e m é/e,,,t é/e m u
293_48_mouth,t é/e n i,,t e é/e n i,t e n i + p e,t ɨ n i,t í/i n i,,r i n í/i,,,,t i n í/i + r,,t é/e e n i,t é/e n i
294_201_long,t e v é/e + i,,t e é/e b e,,t ɨ p ɨ,t ɨ v í/i,,,,,,,t e h p e + k ú/u m a,t é/e p i + h k ú/u m a,t e é/e b e
295_109_sisterinlaw,,,,t e p o,t ɨ p o,,,r e p ó/o,,,,,t e p ó/o,,
296_340_mole,t e v ó/o s i,,t é/e bb/bː o s,t e w o s i,t ɨ p o s i,t ɨ v o + h a + i,,r e p ó/o s i,,,,,t e p ó/o s i,,t é/e b o s
297_95_cutoneselfitself,t e p ú/u + n a,,t é/e p u + a m,t e pp/pː u,t ɨ p u,,t u p u,r e p ú/u,,,,t e p u + r á/a t,t e h p ú/u + n a,t e h p u + n á/a,t é/e p u + a m
298_289_flea,t e p ú/u,,t é/e pp/pː u t,t e pp/pː u,t ɨ p u,,,r i p u ts í/i,,,,t i p ú/u + t,t e p u h ts í/i,t e p u h ts í/i,t é/e p u t
299_263_potato,,,,,t ɨ r o,,,r e r ó/o + w i,,,,t e r ó/o + t,t e l o + é/e,,
29_86_picktake,ts á/a p a,,,ts a p i,ts a p i,,,ts a p í/i,,,,,ts a p i,ts á/a p i,
2_188_son,,,,a k i,ʔ a k i,,,k í/i,,,,,,a h k í/i,
300_107_cave,,,t e é/e s o,,t ɨ s o,t í/i h o + i,,r e s ó/o,,,,t e w e s o + l í/i t,t e s ó/o,t ee/eː s ó/o,t e é/e s o
301_171_find,t é/e gʷ a,,t é/e u gʷ a,t e gʷ a,t ɨ w a,t ɨ ɨ g ai + i,,r e w á/a,,,,t e m ó/o,t e w a,,t é/e a
302_246_name,t e gʷ á/a + t,,t é/e gʷ a + m,,t ɨ w a,,t u w i + g a,r e w á/a,t i + t í/i a + r a d ɨ,,ts ɨ h g i + g,t e mw/mʷ a + r a,r e w á/a,,t é/e a
303_77_sky,t e w í/i k a,,t e é/e k a,t e gʷ i k a + t,t ɨ w ɨ k a,t ɨ v á/a + g i,,r e w e g á/a,,,,t a mw/mʷ a k a + l í/i t,t e w e k á/a,,t e é/e k a
304_166_keepprotect,,,,t e w u,t ɨ w u,,,t i b ú/u,,,,t i w u,t e b u + n á/a,,
305_352_bluegreen,s í/i d e + i,,s í/i a + r i,s i d o + i,t ɨ y/j o,t ɨ ɨ d o + g i,,s i y/j ó/o + n a m e,,,,n y/j o a + k á/a r,s i ó/o + n a,s i y/j ó/o o + n a n i,s í/i a + r i
306_262_belly,t ó/o a,,t ó/o pp/pː a,,t o,,,r o p á/a,,,,,t o h p á/a,t o h p á/a,t ó/o m a
307_126_oak,t o h á/a,,,t o a,t o h a,,,r o h á/a,t u/w á/a + i,t u w á/a,t o h a,t o s í/i,t o h á/a,t o h é/e,
308_28_spider,t ó/o k a,,,gʷ i + t o k a,t o k a,,t o k o + h o p i,r o ʔ k á/a,,,,t o k + w á/a t,,,
309_320_bedeep,,,,,t o k o,,,r o ʔ k ó/o,,,,o k o,t o ʔ k ó/o,,
30_221_suckle,ts í/i a,,ts é/e ʔ e y/j e,ts i,ts i,s í/i ʔ i,,ts i ʔ í/i,,,,,ts i ʔ i,,ts é/e ʔ e
310_198_winter,t o m ó/o,,,t o m o,t o m o,,t o m u + d a g a,r o m ó/o,,,,,t o m ó/o,,
311_281_legknee,t ó/o n o,,t ó/o nn/nː o + m,,t o n o,t ó/o o n a,,r o n ó/o,,,,t o n ó/o + r,t o n ó/o,,t ó/o n o + m
312_184_boilinwater,t ó/o n o,,,t o n,t o n o,t ó/o n i,,r o n ó/o,,,,t o n o + t u,t o n o,,
313_157_wildcat,,,t ó/o pp/pː o l,,t o p o r i,,,,,,,t o p ó/o l,,,
314_298_rat,,t o r i,t o ó/o r i,,t o r i,,,r o r í/i,,,,t o l i,t o r í/i,t oː r í/i,t ó/o r i
315_46_white,,,t ó/o s a + l i,t o ss/sː a + i,t o s a,t ó/o h a,,r o s á/a,,,,t o s á/a + r,t o s á/a,t o h s á/a,t ó/o s a + i
316_243_nest,h i + t ó/o s a,,t o ó/o s a,,t o s a,,,r a ʔ s,,,,t u/w e s á/a + r,t a s ó/o,,t o ó/o s a
317_19_cotton,,,,,t o s a,,,r o s á/a,,,,,t o s á/a,t ó/o ʔ o s á/a,
318_91_rabbit,,,,,t o w i,,,r o w í/i,,,,,t o í/i,t o ʔ o w í/i,
319_337_tigerjaguar,t u ts í/i,,,t u ts i,t u ts i,,,r u ʔ ts í/i,,,,,,,
31_269_tocomb,,,ts í/i kk/kː e,,ts i k a,,,t i + ts í/i k,,,,ts i k á/a,,ts í/i ʔ i h k á/a,ts í/i k e
320_245_nightdarkness,t ú/u k u,,t u k á/a a + r i,t u k,t u k a,t u k á/a + g ai,,r u k á/a + w a r i,,,,t u k ú/u + r,t u g á/a + o,t ú/u k a + w á/a r i,t u k á/a + r i/j a
320_26_diedownfire,,,,,t u k u,,,,,,,,,,
320bis_249_darken,,,,,ts u k u,,,,,,,,,,
320bis_258_dark,ts u k í/i + e n,,ts u k ú/u + r i,ts u k i + gʷ a,ts u k + i,,,ts ó/o,,,ts u k,,o + h ts ó/o + n a,,ts u k ú/u + i
321_64_fleshbody,,,t é/e k gʷ a,,t u k u w a,t u u/u k ú/u g a,,,,,,t í/i k u w á/a + t,,,t é/e kʷ a
322_233_grind,t ú/u s a,,t u ú/u s e,t u h,r u s u,,t u h a,r u s ú/u,,,,m a + t u s í/i + t,t u s u,t u u/u s í/i,t u ú/u s e
323_156_heron,,,,,w a ts o,,,w a ts ó/o,,,,w a h ó/o,w a h ts ó/o,,
324_174_cleave,,,gʷ a á/a k + t e,,w a k a,,,w a ʔ k á/a,,,,w a k a + l í/i t,w a ʔ k á/a,w á/a k a h a r í/i,w a á/a k + t e
325_313_todryup,w á/a k e,,gʷ a á/a k e,gʷ a k,w a k ɨ,g á/a k i,,w a k í/i,,,,,w a g i,w a ʔ a k i,w a á/a k e
326_73_basket,gʷ á/a r i,,gʷ a á/a r i,gʷ a r i + t,w a r i,,,w a r í/i,,,,m u/w a l í/i + t,w a r í/i,w a ʔ a r í/i,w a á/a r i
327_336_fieldforsowing,gʷ á/a s a,,gʷ a á/a s a,gʷ a ss/sː a,w a s a,,g a + g a,w a s á/a,,,,,w a s á/a,,w a á/a s a
328_328_fatherinlaw,gʷ á/a s e + w a,,a s é/e e + bw/bʷ a,gʷ a s e,w a s ɨ,,,,,,,,,,a s é/e e + bw/bʷ a
328bis_327_motherinlaw,,,,,w a s i,,,w a s í/i,,,,,w a s í/i,w a s í/i,
329_29_bow,,,,,w a t a,g á/a a t o + i,,a t á/a,,,,,a t á/a,,
32_19_cotton,ts i n,,ts í/i i n i,ts i n i,ts i n i,,,ts i n í/i,,,,,ts i n í/i,,ts í/i i n i
330_35_roast,gʷ á/a w e,,gʷ a á/a w a,gʷ a gʷ a,w a w ɨ,,,a w é/e,g á/a i,g á/a ʔ a y/j a + ʔ i n,g a ʔ a,,,,w a á/a w a
331_160_grease,,,,,w i ʔ i,g í/i i + g i,,w i ʔ í/i,,,,,w i ʔ í/i,w í/i i + n a,
332_137_thornneedle,w é/e ts a,,w í/i t ts a,gʷ e ts a m,w i ts a,,,w e ts á/a,,,,,w e h ts á/a,,w í/i ts a
333_9_sharp,w i ts ú/u,,,gʷ i ts u,w i ts u,,,w i ts u + t á/a,,,,,,,
334_83_diggingstick,,,,,w i k a,g í/i i k a + i,,w i k á/a,,,,,,,
335_145_stretch,w í/i k a,,w í/i k o ʔ o + r i,,w i k a,,,,,,,w i k o + l í/i t,,,w i í/i k e
336_259_bird,w í/i k ts i,,w i í/i k i t,,w i k i ts i,,,,,,,,,,w i í/i k i t
337_148_belt,w i k ó/o s a,,w i k ó/o s a,,w i k o,,,w i k ó/o,,,,,,,w i k ó/o s a
338_75_whistle,b í/i k u,,b i k u é/e,,w i k u,,w i k u + d a,w i k ú/u + w a,g i k ú/u + d ai,g i k u ʔ u + i n,g i k u j/dʒ i d,,,,b í/i k u/w e
339_37_buzzardturkeyvulture,,,w i í/i r u,,w i r u,,,w i r ú/u,,,,w i l ú/u,,,w i í/i r u
33_21_bitter,ts i p ú/u,,ts i í/i b u,ts i p u,ts i p u,s i v ú/u ʔ u,,ts i p ú/u,,,,,ts i h p ú/u,ts i h p ú/u,ts i í/i b u
340_238_many,,,,,w ɨ,g í/i ʔ ɨ,,w é/e,,,,,w e + r ú/u,w ee/eː + r ú/u,
341_56_falldown,,v e ts e,w é/e t ts e,gʷ e ts,w ɨ ts ɨ,g íɨ/iɨ s ɨ,,w i ts í/i,,,,mʷ e ts e r a k,w i h ts i,w i ts i,w e ts é/e
342_40_whip,v é/e w a,,b e é/e b a,b e gʷ,w ɨ p a,g í/i v ai,,w e p á/a,,,,w e w a,w e h p a,w e p a,b e é/e b a
343_264_standup,w é/e h r e,,,gʷ e r,w ɨ r ɨ,,,w i r í/i,,,,w e r é/e,w e r í/i,,
344_122_two,g o d í/i m,,gʷ o ó/o y/j i,g o d e,w o,g ó/o o k a,,o kʷ á/a,,,,n y/j ó/o r,w o k á/a,g o h k á/a,w ó/o i
345_360_mosquito,w ó/o h o,,gʷ o ó/o o,g o,w o,,v a + m u g a,w a h ó/o,,,w a h + m u g,,w a h ó/o,,w o ó/o o
346_96_coyote,v ó/o i,,gʷ ó/o ʔ i,g o r i,w o ʔ i,,,,,,,g oi,w o ʔ í/i,g o ʔ í/i,w ó/o ʔ i
347_74_grasshopper,g ó/o ts i,,gʷ ó/o + o ts i,g o ts,w o ts i,,,o o ts í/i,,,,,w o h ts í/i,,w o ó/o ʔ o ts i
348_278_foot,,,gʷ ó/o kk/kː i + m,,w o k i,g ó/o o k ui + i,,,,,,n y/j o k í/i + r,,,w o ó/o k i
349_282_pine,w ó/o k o,,gʷ ó/o kk/kː o,g o k o,w o k o,h u k u + i,,o k ó/o,,,,n y/j o k ó/o + t,w o h k ó/o,w o h k ó/o,w ó/o k o
34_20_sunrise,ts á/a r e,,,ts i/j a,ts i r a,,s i/j a,ts e ʔ r a,,,s i ʔ a,,ts e l a,,
350_241_nose,d á/a k a,,y/j é/e kk/kː a,d a kk/kː a,y/j a k a,d á/a a k a,,a k á/a,,,,n í/i k i + s o r,y/j a h k á/a,y/j a h k á/a,y/j é/e k a
351_317_sitdown,d á/a s e,,y/j e é/e s a,d a s a,y/j a s a,d á/a h a,,a s á/a,,,,n e s a,y/j a s i + p á/a,y/j a h s á/a,y/j e é/e s a
352_42_dance,d á/a w e,,y/j e ʔ e y/j e,d a gʷ i,y/j a w i,,,y/j a w í/i,,,,n y/j a áy/ai,y/j a w i,y/j a w i,y/j é/e ʔ e
353_70_shut,h é/e + ts a,,é/e + t a p o,e h,y/j ɨ,,,y/j é/e,,,,,y/j e e + t é/e,y/j e h + t á/a b u,é/e + t a
354_218_mother,d é/e,,á/a i y/j e,d e,y/j ɨ,d á/a a + d a,,y/j e + y/j é/e,,,,i n y/j á/a + r,y/j e + y/j é/e,y/j e e + y/j é/e,á/a e
354bis_178_mothersyoungersister,,,,d e r i,y/j i + ts i,,,,,,,,,y/j é/e e ts i,y/j é/e e ts i
355_209_plain,d é/e e + t,,,d e h,y/j ɨ,,,y/j e p ó/o,,,,,y/j e e p ó/o,,
356_6_happenoccur,d é/e k e,,,d e k,y/j ɨ k,,,i k í/i,,,,,e g i,,
357_154_smoke,d e í/j h n a,,y/j é/e nn/nː a,d e h,y/j ɨ n a,d íɨ/iɨ n ɨi + i,,,,,,,y/j e ʔ n i,y/j é/e n i + h i m u/w a r í/i,y/j é/e n a
358_97_becomeolder,,,y/j ó/o ʔ o + t u,,y/j o,,,o + ts é/e,,,,,,,y/j ó/o o
358bis_355_old,d o ts í/i,,,o ts e,y/j o + ts i,,,,,,,,o ts í/i + r u m e,h o ʔ o ts é/e + d u/w a m e,
359_358_vomit,d ó/o d a,,,d o + d o a,y/j o a,,,o ó/o,,,,,y/j o ʔ a,,
35_165_turkey,ts i w í/i,,,ts i w i s i,ts i w i,,,ts i w í/i,,,,,ts i w í/i,ts í/i ʔ i w i i,ts í/i w i
360_100_raw,d o h í/i,,,d oi,y/j o ʔ i,d o í/i + g a,,o ʔ í/i,,,,,y/j o ʔ í/i,,
361_47_whitepersonmestizo,d ó/o r i,,y/j o ó/o r i,u r i,y/j o r i,,,y/j o o r í/i,,,,y/j o l í/i + t,y/j o r í/i,y/j ó/o r i + h o m á/a,y/j ó/o i
362_110_cure,,,h í/i tt/tː + o,,y/j o w a,,,ó/o a,d o á/a + d i,,d o a j/dʒ i d,h i t + o á/a + t,,h í/i ʔ i + y/j o w a,h í/i tt/tː + o
363_212_torain,d ú/u k u,,y/j ú/u kk/kː e,,y/j u k u,d ú/u u k i,,y/j u k ú/u,,,,,y/j u k u,y/j u u k i,y/j ú/u k e
364_286_beableto,d ú/u m a,,y/j u ú/u m a,,y/j u m ɨ,,,u m é/e,,,,,y/j u m é/e + b a,,y/j ú/u m a
365_115_spill,d ú/u r i,,,d u r i,y/j u r i,,,r u ʔ r u + w í/i,,,,,y/j u ʔ r i,,
366_117_becomeusedwornout,,d u v + a,y/j u ú/u + y/j a,d u,y/j u w i,,,u w í/i,,,,,y/j u i,,
36_300_givegift,,,,,ts ɨ r i w a,,,ts i r i w é/e,,,,h i l i w a,ts e r i w é/e r a,,
37_306_knee,,,,,ts o k o,,,ts o k ó/o b a r a,,,,m o + s o k ó/o,ts o h k ó/o p o,ts o p o k o r i,
38_14_sour,ts o k ó/o,s o k o,ts ó/o ʔ o k o,,ts o k o,,s u h k o,ts o ʔ k ó/o,,,,,ts o ʔ k ó/o,ts ó/o ʔ o h k ó/o,ts ó/o ʔ o k o
39_2_slap,ts ó/o n a,,ts ó/o nn/nː a,,ts o n a,,s o n i,ts o ʔ n á/a,,,sh/ʃ o n i,,ts o ʔ n a,,ts o n a
3_68_hunt,á/a m u,,a á/a m u,h a m u,ʔ a m u,,,a m í/i,,,,,,,ʔ a á/a m u
40_55_head,ts ó/o n i,,ts o ó/o n i,ts o n i,ts o n i,,,ts o ʔ t ú/u,,,,,,,ts o ó/o n i
41_231_mucusslimesnot,ts ó/o b á/a + t,,,ts o + t,ts o p,,s o a,ts o p é/e,,,sh/ʃ o sh/ʃ a,,ts o p é/e,ts o h p é/e,
42_250_pine,,,,,ts o p,,,ts o p é/e,,,,ts o p é/e + t,ts o h p í/i,,
43_131_becomenumb,ts o p o,,,ts o p o,ts o p o,,u kk/kː + s u p a,ts o p o,,,,,,,
44_34_wrinkle,ts o r ó/o,,ts o ó/o r í/i,,ts o r o,,s o r h o,ts o ʔ r ó/o,,,,,,,
45_273_dog,,,ts u ú/u ʔ u,,ts u,,,ts u r í/i,,,,ts u + ts ú/u,,ts u h ts ú/u r i,ts u ú/u ʔ u
46_11_crouch,ts ú/u + ts u k u,ts u k o,,ts u k,ts u k u,,,ts u k ú/u,,,,,ts u h k ú/u,,
47_186_fig,ts ú/u n a,,ts u ú/u n a,ts u n a,ts u n a,,,,,,s u h n a,,ts u n á/a,,ts u ú/u n a
48_290_tip,,,ts ú/u pp/pː e,ts u pp/pː a,ts u p,,,ts u p á/a,,,,,ts u h p á/a,,ts ú/u p e
49_259_bird,,,ts ó/o r oi,,ts u r u,,,ts u r u g í/i,,,,,ts u ʔ r u k í/i,ts u r u g í/i,ts ó/o ll/lː oi
4_18_wing,h á/a n a,a n a,,,ʔ a n a,ʔ á/a ʔ a n a,,a n á/a,,,,,a n á/a,,
50_33_smallriverstream,h á/a k i,,h a k í/i a,,h a k i,ʔ á/a k i,,a k i + ts í/i,,,,,a k í/i,h a k i s ts í/i,h a k í/i a
51_264_standup,h á/a b e,,h á/a ʔ a bw/bʷ e,,h a kʷ ɨ,,,h á/a w i,,,,a kʷ i,a + h a w í/i,,h á/a ʔ a bw/bʷ e
52_326_goupascend,h á/a m u,,h á/a ʔ a m u,,h a m u,,,m o,,,,,m o + h é/e n a,,h á/a ʔ a m u
53_210_arrivereach,h á/a s e,,h a á/a s e,h a s,h a s ɨ,ʔ ai,,s í/i,,,,h a s e,a s i,y/j a h s é/e,h á/a s e
54_146_sneeze,h a ts í/i s gʷ a,,h e e ts í/i h + t e,,h a t i s a,,,a t í/i s o + w a,,,,,a ʔ t u s a,,
55_45_drink,h í/i a,,h é/e ʔ e y/j e,h i,h i,ʔ í/i ʔ ɨi,,b a + h í/i,,,,h é/e,i h í/i,h í/i h i,h é/e ʔ e
56_190_spin,h í/i k,,h í/i k u,h i kk/kː u,h i k u,,,k u r í/i,,,,,,h í/i ʔ i k u + r a,h i k ú/u ʔ u
57_44_beard,h í/i m u s i,h i m p s i,h i í/i m s i,,h i m u s i,,,,,,,h i m u s í/i + r,,,h í/i m s i
58_324_shadeshadow,h e k á/a,,h é/e kk/kː a,h e k a,h ɨ k a,ʔ ɨɨ/ɨː k á/a + g ɨ,,k á/a,,,,,h e h k a,,h é/e kk/kː a
59_356_wind,b a + h é/e k a,,h e é/e k a,h e k a,h ɨ k a,,,e k á/a,,,,,e g a,h é/e e k a,h e é/e k a
5_164_macaw,h á/a r o,,,h a r o,ʔ a l o,,a r h o,w a l á/a,,,a h D/ð o,w a l ó/o,w a l á/a,,
60_135_back,,,h o ó/o o,,h o,,,,,,o h,o + w a,,h ó/o ʔ o + p a,h o ó/o o
61_318_sitdownseveral,h ó/o i,h o,h o ó/o + t e,h oi,h o,,,h ó/o,,,,,o h ó/o,,h ó/o + t e
62_212_torain,h ó/o r o,,,a h r a,h o r o,,,,,,,h o r o,,,
63_10_loosen,h ó/o t a,o t a,,h o tt/tː a,h o t a,,,o t á/a,,,,,,,
64_277_sting,h u + m á/a t,h u,h ú/u + i gʷ a,,h u,u ʔ ú/u + i,,,,,,,,h ú/u ʔ u + w a,h ú/u + i w a
65_173_stink,h ú/u h a,,h u ú/u h a,,h u h a,,u h a,u h á/a,,,,,u h á/a,,h ú/u hh/hː a
66_252_stink,h ú/u + h u b a,,h u ú/u b a,u h p,h u p a,ʔ úu/uː v a + i,,h u b á/a,,,,,u p a,,h u ú/u b a
67_362_skunk,h u p á/a + t,,h ú/u pp/pː a,h u p a,h u p a,ʔ úu/uː p a + i,,u p á/a,,,,u p á/a,u l á/a,h u ʔ u r á/a,h ú/u p a
68_139_wife,h ó/o b e,,h u ú/u b i,h u,h u p + i,u v í/i,,u p e,,,,,u p í/i,h u u/u p í/i,h u ú/u b i
68_67_marrymalesubject,,,,,h u p ɨ,,,,,,,,,,
69_132_send,h ú/u r a,,,u r a,h u r a,,,h ú/u r a,,,,,u + h ú/u l a,,
6_283_headlouse,á/a t e,,é/e tt/tː e,a tt/tː e,ʔ a t ɨ,ʔ a á/a t ɨi,,t é/e,,,,a t é/e,e h t é/e,h e h t é/e,ʔ é/e t e
70_193_sandals,,,,,k a k a,,,a k á/a,,,,k a k a + y/j í/i t,k a k á/a,k a h k á/a,
71_123_sweet,,,k á/a kk/kː a,,k a k a,,,a k á/a,,,,,k a h k á/a,k á/a h k a,k á/a k a
72_49_ball,,k a p o + m a,,k a p o,k a p o,,k a b o r h i k a,k a p ó/o r a,,,,,k a h p ó/o l a,,
73_106_crow,k a r á/a + ts i,,,k a r a + ts i,k a r a,,,k o r á/a + ts i,,,,k a r á/a,k a l á/a + ts i,k a r á/a + ts i,
74_66_house,,,k á/a a r i,,k a r i,,,k a r í/i,,,,k a l í/i + n,k a r í/i,k a a r í/i,k á/a r i
75_240_thigh,,,,,k a s i,k á/a h i,,k a s í/i,,,,,k a s í/i,k a a h s í/i,
76_140_beatplace,k á/a t e,,k á/a tt/tː e,k a tt/tː e,k a t + i,,,a t í/i,,,k a h ts,k a t é/e,k a h t í/i,k a h t í/i,k á/a t e
76_317_sitdown,,,,,k a t ɨ,,,,,,,,,,
77_195_egg,á/a k a b o + r a,,k á/a bb/bː a,a kk/kː a w o + r i,k a w a,,,k a ʔ w á/a,,,,k o w a + l ó/o,k a ʔ w á/a,k á/a ʔ a w a + r á/a,k á/a b a
78_363_foxfemale,k á/a o s i,,,k a o s i,k a w a s i,k a s í/i o,,k e ó/o ts i,,,,,k e ó/o ts i,k e e w ó/o ts i,k a á/a w i s
79_72_hill,k á/a w i t,,k áu/au w i,k a w i,k a w i,,,k a w i,,,k a v u l k,k a h i,k a w i,k a a w í/i,k áu/au w i
7_113_say,á/a gʷ a,,,,ʔ a w a,ʔ á/a ʔ a g a,,,,,,a mw/mʷ á/a,,,
80_66_house,k í/i,,,k i,k i,k íi/iː,,,,,,k i + t á/a,,,
81_234_bite,k é/e,,k é/e ʔ e y/j e,k i,k ɨ,k ɨ,,i + k í/i,,,,k e r á/a,k i ʔ,k i ʔ i,k é/e ʔ e
82_84_blanket,,,,,k ɨ m a,,,,,,,,k e m á/a,k ee/eː m á/a,
83_244_snow,,,,,k ɨ p a,k ɨ v a,,k e p á/a,,,,k e w á/a + t,k e p á/a,k e h p á/a,
84_80_typeofsparrowhawk,,,k e r é/e e + r e,k e r e + ts i,k ɨ r ɨ,,,k i r i + ts í/i,,,,,,,
85_284_tread,k é/e s a,,,k e,k ɨ s a,k ɨi s a,,r e + k e s á/a,,,,,,,
86_52_good,k e gʷ á/a,,k í/i u gʷ a,k i/j a,k ɨ w a,k íɨ/iɨ g a,,,,,,k i mw/mʷ á/a,,,k i/j a
87_235_dieseveral,k ó/o,,k ó/o kk/kː o,k o,k o,k ó/o,,,,,,,,,k ó/o k o
