Cognate_ID	Ahoe	Arem	CuoiTanHop	CuoiThaiHoa	Jahai	Khmu	Kri	KriPhoong	Liha	LihaNVL	Malang	MalengBro	MaliengHT	MaliengQB	May	MuongBi	MuongHB	MuongSL	MuongTH	NguonCL	NguonYT	Pakatan	Phong	Ruc	Sach	ThavungF	ThavungPS	ThavungS	ThoCuoiCham	ThoLangLo	Toum	Vietnamese
31_5_ashes	ɓ uː ɲ						b ui ɲ ³⁴	b u ɲ ²³	b uː ɲ	b ɔ n ⁴³ b ɔ n ³³	b uː ɲ ³	b uː ɲ ³				b u nh/nʰ	p uː ɲ ¹	b uː ɲ ¹	v uː ɲ ¹	v u n ¹		b u ɳ ³	b uː n			b uː ɲ ³	k a t u n b ûː/uː n	k a t u n b ûː/uː n			b uː ɲ	
322_58_leaf	c a l aː ʔ	u l ɛa̯ ʔ	l ɑ ¹²	l ɑ ³⁵	h a l i ʔ	ʰl a ʔ	s a l a ³⁴ˀ/³⁴	s a l a ³³ˀ/³³	l aː	l a ²⁴	s ə l aː ³	s u l a̻ː/aː ³	u l a ³⁴ˀ/³⁴	u l á/a	ʔ u l a ³	l ả/a	l aː ³	l aː ³	l aː ³	l a ³	l a ³	s a l w a̰ ³⁴³ˀ/³⁴³	l aː	ŭ l ả/a	l aː ³	s l aː ⁴	s a l â̰ː/aː	s a l â̰ː/aː	l aː ³	l aː ³	l aː	l aː ⁴⁵
324_59_liereclinev	n a m		n ɑ̆ m ⁵⁴	n ɑ̆ m ³³			l ă m ³⁴	l ă m ³²³		l a m ⁴³ s u/w o j ³³	n a m ⁴⁵	l a m ³	l ɤ̆ m ³²	l à/a m		n ằ/a m				n ă m ²		n ă m ³²⁴				n a m ¹	n â/a m	n â/a m			l a m	n à/a m
326_59_liereclinev															ɲ ă̤/a p ⁴									n ʌ́̆/ʌ p								
32_5_ashes													t a p ɛ̤ ⁴ k u ³⁴ˀ/³⁴	t a p ɛ̤ k u l	t a p ɛ h ¹									t ă p ɛ h								
331_60_liver																				k a n ¹												ɡ aː ŋ ³³
332_60_liver	l ɑː m	l ù/u o̯/o m	l ɔ m ²²			t l ɔː m	l ɔ m ³	l ɔ m ³²³	l ɔː m	l ɔo m ³¹ l ɔo m ⁴³	l ɔː m	l oɔ m ³	l ɔ m ⁴³	l ɔ̀/ɔ m	l ɔ̤ m ²	l ò/o m	l ɔː m ²	l ɔː m ²	l ɔː m ²			l ɒ m ³²⁴	l ɔː m	l ᵊ/ə + ɔ̀/ɔ m	l oɔ̀/oɔ m ²	l ɔ̀ː/ɔː m ¹	l ɔː m	l ɔ̀ː/ɔː m	l ɔː m ²		l ɔː m	
333_60_liver				ɣ a n ³²																										ɣ aː n ¹		
336_61_longofobjects							ʄ ɤ ɽ ³	z ɤ l ²³				j ɨa r ³	ʄ aɯ̯ ³²	z à/a l	ʑ a̤ l ²	d à/a i	z aː j ²	z aː j ²	z aː j ²	j a j ²	z a j ²			ʔ j a l	ǯ/dʒ a l							j aːi̯ ²¹
337_61_longofobjects	j ɔː n		z ɔ n ²²	z u/w o n ³²					j ao n	z oː n ³³	j oː n											z o n ³	j oː n			j oː n	j ôː/o: n	j ôː/o: n	j ɔː n ¹	j u/w a n ¹	j ɔː n	
342_62_louseheadlice		tɕ i ʔ	c i ¹²	c i ³⁵	c i ʔ	s e ʔ	c i ³⁴ˀ/³⁴	c i ³³ˀ/³³	c əi			c é̻/e ³	c ɤ̆i̯ ³⁴ˀ/³⁴	c í/i	c i ³	cʰ ỉ/i	c iː ³	c iː ³	c iː ³	s i ³	c i ³	c ḭ ⁴³ˀ/⁴³	c iː	c í/i	c iː ³				c iː ³	c iː ³	c ei	c əi̯ ⁴⁵
343_62_louseheadlice	k ᶤ/ɨ + əː ʔ																									k əː ²	k ʌ̰̂ː/ʌː	k ʌ̰̂ː/ʌː				
345_63_lousebodylice		n̩ r eʲ/ei̯ ɲʼ/ɲˀ		r ɤ̆ n ⁵⁴					pʰ l ʌ ɲ						ɓ l ĭ ŋ ³	kʰ ệ/e nh/nʰ	kʰ i ɲ ³	f ə ɲ ⁴⁶/⁴⁵		r e ɲ ⁴		m a ³ h r i ɳ ³⁴³ˀ/³⁴³	pʰ l i ŋ	b r í/i ɲ	b r i ɲ ³	h a h i ŋ ³	ʔ a h î/i ŋ		pʰ r i ɲ ³	s i ɲ ³	pʰ l ɛ ɲ	r ə ŋ ²¹²
350_64_makedov			m ɤ̆ w ⁵⁴	m ɤ̆ n ³³					m ɔ n						m ɯ̆ n ²								m i n	m ə̀̆/ə n v i̠/i k							m ʌ n	
352_64_makedov							m ɛː	m ɛ ²³			m ɛː	m ɛː ˩/¹										m ɛ ³⁴				m ɛː ¹	m ɛ̂ː/ɛ	m ɛ̂ː/ɛ				
356_65_moon			p l ɔ ŋ ²²	m ɑ̆ t ⁵⁴ r ɔɑ ŋ ³²					p l ɔː ŋ	t u ³³ p l oː ŋ ⁴³						m ă t t l ă n g	k l a ŋ ¹	p l a ŋ ¹	ʈ a ŋ ¹	m ă t ⁸/⁵³ ʈ ă ŋ ¹	m ă t ⁸/⁵³ l ă ŋ ¹		p l ɔː ŋ			p a l oː ŋ ¹	p a l ɔ̂ː/ɔː ŋ	p a l ɔ̀ː/ɔː ŋ	p l ɔ ŋ ²		p l ɔo ŋ	t r ǎ/a n g
358_65_moon															p a l a̤ n ²									p ŭ l ᵊ/ə + a n								
362_65_moon							t a ɽ a ³⁴ˀ/³⁴	m ă t ²³ t a r a ³²³			tʰ r aː	t r aː ³	p ɯ ɽ a ³⁴									tʰ a l a ³²⁴										
367_66_mountain																t ồ/o l	t oːə ²	t oː l ²	d oː n ²													
369_66_mountain	mᵊ ɬ uː ʔ		pʰ ʂ ɤ̆ w ¹²						pʰ l o w	pʰ l ə j ³³											r u ³		pʰ l uː		b l ú/u ʔ				pʰ r a w ³		pʰ l o w	
36_6_backofbody				l ɯ̆ ŋ ³²					l ɔ ŋ							l â/a n g	l ɨ ŋ ¹	l ə ŋ ¹		l ɨ ŋ ¹			kʰ l ɨ ŋ							l ʌ ŋ ¹	l ʌ ŋ	l ɨ ŋ ³³
370_66_mountain				n u j ³⁵							pʰ o n											pʰ ŏ n ³⁴³ˀ/³⁴³					pʰ ûː/uː	pʰ ûː/uː		n uː j ³		
371_66_mountain													k o n ³²	k ò/o l	k o n ²																	
374_66_mountain												c i r ɔ ŋ ³														ʔ a l oː ŋ ⁴						
375_66_mountain							ŋ k o ŋ ³⁴	ŋ k ɔ ŋ ²³																								
379_67_mouth							m ɛ ŋ ³⁴ˀ/³⁴	m ɛ ŋ ³³ˀ/³³		m aː ɲ ³¹	m ɛ ŋ ³	m ɛ ŋ ³										m ɜ̆ ɳ ³⁴										m iː ŋ ²¹²
37_6_backofbody		r o ŋʼ/ŋˀ	kʰ ʂ ɔ ŋ ¹²			k n d r ɔː ŋ						t u r ɔ ŋ ³																				
380_67_mouth			m ɔ m ²²													m ẹ/e nh/nʰ	m oː m ²	m oː m ²	m oː m ²	m o m ²									m ɔː m ¹			
382_67_mouth	k ᵊ/ə + ʌː ŋ	k ɛa̯ ŋʼ/ŋˀ											k a ŋ ³⁴ˀ/³⁴	k á/a ŋ	k a ŋ ³									k á/a ŋ	k aː ŋ ³		k ʌ̀ː/ʌː ŋ	k ʌ̀ː/ʌː ŋ				
387_68_navelumbilicous			s u n ¹² s u n ¹²	ð u n ³⁵ ð u n ³⁵				p a s u ɲ ³³ˀ/³³	s uː ɲ		m a s uː ɲ	m u s o̻ː/oː ɲ ³				tʰ ủ/u nh/nʰ	tʰ uː ɲ ³	s uː ɲ ³	s uː ɲ ³		ɲ ə ⁴ l o ⁶/⁵¹ t u n ³	m a s u ɳ ⁴	s uː n			pʰ a ɲ uː ɲ ³	p a s ṵ̂ː/uː n					r o ŋ ⁴⁵
388_68_navelumbilicous		u ɗ u h													ɕ i ɗ u l ³									d ŭ d uᵊ/uə h	d u d uː l ³							
38_6_backofbody															n u l ⁴									n u ó/o l	n uː l ⁴							
393_69_neck			k ɔ ³³ ʔ	k o ²¹²					k a w	k ɔo ⁴²⁴			k ou ³²ˀ/³²	k ó/o						k o ⁵			k oː								k a w	k oː ²¹⁴
394_69_neck																k e l	k ɛːə ¹	k ɛː l ¹	k ɛː n ¹													
395_69_neck																					h ɔː ŋ ⁴			t ə̆ k ẻ/e	t ə k iː ⁴							
396_69_neck							k a t ɔ ŋ ³⁴ˀ/³⁴	k a t ɔ ŋ ³³ˀ/³³			k ə t ɔː ŋ	k r t ɔː ŋ ³			n ɔ ŋ ⁴							k a t ă ŋ ³										
398_69_neck																										n əː t ³	n ʌ̰̂ː/ʌː t	n ʌ̰̂ː/ʌː t				
39_6_backofbody								t a k ɔ ŋ ³²³														t a k ɒ ŋ ³				k ɔː ŋ ¹	k ɔ̂ː/ɔː ŋ	k ɔ̂ː/ɔː ŋ				
402_70_new	t ᵊ/ə + m aː	m ɛa̯ h	b ɤ j ¹²	b ɤ j ³⁵	p a j	h mː e ʔ	t a m ɔ ³⁴	t a m ɔ ³²³	b aː j	b əː j ³⁴	t ə m ɔː	t r m ɔ̻ː/ɔː ³	b ɤi̯ ³⁴	b ɤ́i̯/ɤi̯	ɓ ɤi̯ ³	m ở/o i	m əː j ³	m əː j ³		m ə j ³		t a m ə ³²⁴	b əː j	b ə̀/ə j	b ɤ́i̯/ɤi̯		t a m âː/a:	t a m âː/a:	b əː j ³	b əː j ³	b aə j	m əːi̯ ⁴⁵
404_71_night			t e m ³²	t e m ³²					t ɛː m	t ɛe m ³³						t ê/e m				t e m ¹	ʔ e m ¹		t eː m						t eː m ¹	t eː m ¹	t ae m	ɗ eː m ³³
405_71_night		l ɯ mʼ/mˀ													l ɯ̆ m ⁴									l ɨ̣/ɨ m	l ú/u m							
406_71_night																										ʔ a m a h ³	ʔ a m á/a h	ʔ a m á/a h				
408_71_night							t a ŋ ɔ p ³⁴	t a ŋ ɔ p ⁴⁴				t ə ŋ oɔ p	t ə ŋ o p ³⁴	t u ɲ ɔ́/ɔ p																		
413_72_nose	m ʊ jʰ	m ŭ̀h/u	m u l ³¹	m u n ³¹	m ɔ h	m u h	m ui̯ ³	m u j ³³	m uː c	m uː c ³¹	m u jʰ	m ui ³	m u h ⁴	m u l	m u l ³	m ũi	m uː j ⁶/⁵¹	m uː j ⁴⁶/⁴⁵	m uː j ⁴⁶/⁴⁵	m u n ⁵	m u n ²	m ṵ jh/dʒʰ ³	m uː t	m u/w ʌ h	m uː lʰ ¹	m u jh/dʒʰ ¹	m ú/u ç	m ú/u s	m uː l ⁶/⁵¹	m uː n ⁵⁶/⁵⁵	m uː c	m ui̯ ²¹⁴
414_73_oldofthingsobjects									k oː							c ũ							k oː								k oː	k u ²¹⁴
415_73_oldofthingsobjects																								t ɨ̀/ɨ j t ɨ j	k a m ɐ̀/ɐ k ⁸/⁵³							
416_73_oldofthingsobjects															k ɯ ɽ a ¹							tʰ a l a ³²⁴					kʰ a l âː/a:	kʰ a l âː/a:				
418_73_oldofthingsobjects	k a w ʔ																									tʰ a w ¹						
419_73_oldofthingsobjects								t ɯ j ²³			t əː j	t ə̻ː/əː j ³																				
423_74_one	m oː c	m uʲ/ui̯ c	m o t ³¹	m o t ⁵⁴			m oi c ³	m o c ⁴⁴	m oː c	m oː t ³¹	m ɔ c	m oː c ˩/¹	m ui c ³⁴	m ó/o i c	m u c ⁴	m ô/o cʰ	m oː t ⁸/⁵³	m oː c ⁸/⁵³	m oː t ⁸/⁵³	m o t ⁸/⁵³	m o t ⁸/⁵³	m o c ³⁴	m oː t	m oi̠/oi̯ c	m ʊː c ⁸/⁵³	m uː t ¹	m í/i t	m í/i t	m oː t ⁸/⁵³	m oː t ⁸/⁵³	m uː c	m o k ²¹²
424_74_one					n ɛ j	m oː j																										
426_75_pathroad			t ɒ ŋ ⁵⁴	t a ŋ ³³									t ɯa ŋ ³²	t ə à/a ŋ	t a̤ ŋ ²					t a ŋ ² t i ¹ '/ʔ	ʔ a ŋ ² d i ¹			t ɨ à/a ŋ	t ɯ à̤/a̤ ŋ							d ư/u ờ/o n g
427_75_pathroad	kʰ a l aː ʔ	u r ɛa̯ ʔ					k u ɽ a ³⁴ˀ/³⁴	ʔ u ³³ r a ³³ˀ/³³ ʔ ɣ c ⁴⁴	kʰ l aː	kʰ l a ²⁴	k u r aː ³					kʰ ả/a	tʰ aː ³	kʰ aː ³	kʰ aː ³				k l aː			kʰ a l aː ²					kʰ l aː	
428_75_pathroad																											d aː n	d aː n				
42_7_barkoftree			p ɒ ³³ ʔ	v u/w ɔ ²¹²												p ọ/o	p ɔː ⁵	p ɔː ⁵	b ɔː ⁴⁶/⁴⁵	p ɔ ⁶/⁵¹	b ɔ ⁶/⁵¹					kʰ a b ɔ h ¹	kʰ a b ɔ́/ɔ h	kʰ a b ɔ́/ɔ h	p ɒː ⁵	v oa ⁵⁶/⁵⁵		v ɔː ²¹⁴
432_76_personorclassifierforhumans													ŋ ai̯ ⁴		ŋ ai̯ ²	n g ư/u ờ/o i				ŋ a j ²	ŋ a j ²			ŋ à/a j								ŋ ɨːi̯ ²¹
433_76_personorclassifierforhumans			k ɯɤ j ³¹	k u/w o j ³⁵																												
434_76_personorclassifierforhumans									k u n														k u n		k ɔː n ¹	k o n					k ɔ n	
435_76_personorclassifierforhumans		tɕ ʌ̀̆/ʌ m r ă u̯ʼ/u									kʰ o n											kʰ ŏ n ³										
436_76_personorclassifierforhumans	j a k																										ɲ á/a k	ɲ á/a k				
437_76_personorclassifierforhumans							m a l ɛ ŋ ³⁴	m a l ɛ̆ ɲ ²³				m a l ɛː ŋ ³		m a l i/j e ŋ																		
441_77_rain		m ì/i a	m ɒ ⁵⁴	m ɯɤ ³²		k m a ʔ			m aː	m a ⁴³					k u m a̤ ²	m ư/u a	m ɨa ¹	m ɨa ¹	m ɨa ¹	m ɨa ¹			kʰ m aː	k ŭ m ʌa	k u m ə̀a/əa ²				m ɐː ²	m ɨa ¹	m aː	m ɨə ³³
442_77_rain	m a l ʌː j																									m a l oː j ²	m a l ɨ̂ː/ɨ: j	b a l ɨ̂ː/ɨ: j				
443_77_rain							c ɯ ŋ ³⁴	c ɯ̆ ŋ ³²³			s ɨ ŋ	c ɨ ŋ ³	c ɯ ŋ ³²	c ɯ̀/ɯ ŋ								s ɯ ŋ ⁴										
446_78_red	t ɑʰ/a̤	i k aː lʼ/lˀ		d ɔ ²¹²			t ɔ ³	t ɔ ³³			t ɔ h	t ɔ̻/ɔ H/h	t ɔ ³²³	t ɔ̀/ɔ	t ɔ ⁴	t ó/o	t ɔː ⁵	t ɔː ⁵	d ɔː ⁵	t ɔ ⁵	ʔ ɔ ⁵	t ɔ h ³		t ɔ̣/ɔ	t ɔː ⁶/⁵¹	t ɔ h ¹	t ɔ́/ɔ h	t ɔ́/ɔ h		d ɔː ⁵⁶/⁵⁵		ɗ ɔː ²¹⁴
447_78_red									k ao n	k oː n ³³																					k ɔː l	
451_79_root		r ĭ̀h/i	l ɛ l ³¹ ʔ	l ɛ n ²¹²	ɟ ʔ e s	r i/j ə s	ɽ ɛ l ³	r ɛː l ³³		lˠ ɨə c ³¹	l ɛ l	l ɛ̻ː/ɛː r H/h	ɽ e̤ ³⁴	ʒ i/j e l	l ɛ l̥ ³	r a cʰ	r a c ²	tʰ a c ²	Â/a ɛ c ²	r ɛ t ⁸/⁵³		l ɛ l ³⁴		l i/j ɛʳʰ/ɛ	l i/j ɛ lʰ ¹	h ɛ h	h ɛ̤̀ h	h ɛ́/ɛ h	l ɛː l ⁶/⁵¹			r eː ²¹⁴
453_80_ropecord			c æ̃ k ³¹	c a k ⁵⁴											c a̤ k ⁴	cʰ a c	c aː k ⁸/⁵³	c aː k ⁸/⁵³		c a k ⁸/⁵³	t a k ⁸/⁵³ m u n ⁵			c ạ/a k	c ə̀a/əa k ⁸/⁵³				c ɐː k ⁸/⁵³	c aː k ⁸/⁵³		c aː k ²¹²
455_80_ropecord																										ʔ a t a l ¹	ʔ a t a n	ʔ a t â/a n				
456_80_ropecord											a t ɔ ŋ											ʔ a t ŏ ŋ ³²⁴										
45_7_barkoftree						h m p ɔː k	k a b ɔ k ³⁴	k a b ɔː k ⁴⁴ s a r ɤ̆ ŋ ³³			k ə p ɔː k s ə l ɔ ŋ	k u b ɔ k ³ c i r ɛ ŋ ³	k u b ɔ ⁴	k u p ɔ́/ɔ k	k u p ɔ k ³							kʰ a l ɒ k ³⁴										
461_81_round		t l ɔ̀ː/ɔː n	k l ɔ n ⁵⁴	r u/w ɔ n ³³			k a l u n ⁴⁵	k a l u n ²³					k l ɔ n ⁴	k l ɔ̀/ɔ n	k l ɔ n ²		k l ɔː n ²	k l ɔː n ²	ʈ ɔː n ²	ʈ ɔ n ²	ʔ l ɔ n ²			k l ɔ̀/ɔ n	t l ɔː n ²				k l ɔː n ²	ʐ oa n ²		ʈ ɔː ŋ ²¹
463_81_round						k l o m				k l o m ³³												k a l ŏ m ³²⁴					k a l ɔ̂/ɔ m	k a l ɔ̂/ɔ m				
466_82_runv			c ă l ³¹ ʔ	c ă n ⁵⁴												cʰ ặ/a l	c aə ⁴	c a l ⁴⁶/⁴⁵	c a n ⁴⁶/⁴⁵	c ă n ⁴	t ă n ⁴											c ai̯ ²¹²
467_82_runv									t ao ŋ														t oː ŋ			ʔ a t oː ŋ ¹	ʔ a t ôː/o: ŋ	ʔ a t ôː/o: ŋ			t ɔː ŋ	
468_82_runv															ʔ a ŋ ă i̯/i ³									t ə̆ ŋ ə́/ə j	a ŋ a j ³							
46_7_barkoftree	kʰ a l ɑː t																							k ă d u h k ᵊ/ə + ʌ j								
470_82_runv											a l ɔ ŋ											ʔ a l ɔ̰ ŋ ³²⁴										
471_82_runv								a z ɤ̆ l ³³ˀ/³³				a j ɜ l ³																				
474_83_salt	ɓ ʌː j ʔ	ɓ ɒːi̯ʼ/ɒːi̯	b æ̃ j ¹²	b ɔ j ³⁵				b ɔ j ³³ˀ/³³	b ɔː j		b ɔː j ³	ɓ ɔ̻ː/ɔː j H/h			ɓ ɔi̯ ³	b ỏ/o i	v ɔː j ³	b ɔː j ³	v ɔː j ³	v ɔ j ³	v ɔ j ³	b ɔ̰ j ³⁴³ˀ/³⁴³	b ɔː j	b ɔ́/ɔ j	b ɔː j ³	b ɔː j ¹	b ɔ̰̂ː/ɔː j	b ɔ̰̂ː/ɔː j	b ɒː j ³	b ɔː j ³	b ɔː j	m uːi̯ ⁴⁵
478_84_sand		t a k aːʲ/aːi̯ c		ɣ ɑ t ³⁵												c ái/ai cʰ	k aː c ⁷/⁵²	k aː c ⁷/⁵²		k ă c ⁷/⁵²				t ə̆ k ắ/a c	t ə k aː c ⁷/⁵²					ɣ aː t ⁷/⁵²		k aː k ⁴⁵
479_84_sand									kʰ l ɛː	kʰ l ɛ ²⁴													pʰ l ɛː								kʰ l ɛː	
480_84_sand							k a ɽ ɤ ŋ ³⁴	k a r ɤ ŋ ²³			kʰ r ɔː ŋ	k a r ɨa ŋ ³	k a ɽ a ŋ ⁴	k a ʒ əa ŋ	k a ɽ a̤ ŋ ²							kʰ a l ɤ ŋ ³										
481_84_sand																										tʰ ɛ h ²	tʰ ɛ́/ɛ h	ʔ a t á/a k tʰ ɛ́/ɛ h				
485_85_sayspeaktalkv																				n ɔ j ³	n ə̆ j ⁴											n ɔːi̯ ⁴⁵
486_85_sayspeaktalkv				c o n ³⁵									c o l ³⁴	c ó/o l	c o l ³	kʰ ể/e								c ỏ/o l	c oː l ³							
488_85_sayspeaktalkv									ɲ a w		k a n oː												kʰ ɲ a w				k a ɲ âw/au	k a ɲ âw/au			ɲ a w	
490_85_sayspeaktalkv							v ɤ̆u̯ ³⁴																			v a w ⁴						
495_86_seev																				t ə̆ j ³												tʰ əi̯ ⁴⁵
497_86_seev		tɕ ɯ ŋ		c ɯ̆ ŋ ³²			c ɯ ŋ ³⁴	c ɯ̆ ŋ ²³			c ʌ ŋ	c ə̻/ə ŋ ³		c ɯ ŋ	c ɯ̆ ŋ ¹							c ɤ̆ ŋ ³⁴		c ɨ ŋ								
498_86_seev			c o ³³ ʔ			g uː ɲ																										
499_86_seev									d aː m	d aː m ³³																					d aː m	
49_8_bellystomach		p ù̆/u ŋ							p o ŋ	p ou ŋ ³¹										p u ŋ ⁴	b u ŋ ⁴										p o ŋ	ɓ u ŋm ²¹²
4_1_1si		k ɯ̀̆/ɯ ʔ					k ɤ ³⁴ˀ/³⁴	k ɤ ³³ ʔ																								
501_86_seev																										n a h ⁴	ʔ a n á/a h	n ɛ́/ɛ h				
505_87_shadeshadow			p ɑ ŋ ¹² z ɤ̆ m ²²	p ɔ ŋ ³⁵ r ɤ̆ m ³²											p ɔ ŋ ³ 'sh/ˀsʰ a d e '/ʔ	p ỏ/o n g	p ɔː ŋ ³	p ɔː ŋ ³	b ɔː ŋ ³	p ɔ ŋ m ă c ⁷/⁵²	b ɔ ŋ ³ m ă c ⁷/⁵²								p ɒː ŋ ³	p ɔː ŋ ³		ɓ ɔ ŋm ⁴⁵
506_87_shadeshadow								ʂ ɯ̆ m ³³ˀ/³³ r ŭ m ³²³	ɣ ɔ m		ʰr u m	ʰr ɨ m ³											ʰl u m				h u m	h ɔ m			ʰl ɔ m	
509_88_sitv		ŋ ò/o i̯/i	ŋ o j ⁵⁴	ŋ o j ³³						ŋ oː j ⁴³					ŋ o̤i̯ ²	n g ồ/o i	ŋ oː j ²	ŋ oː j ²	ŋ oː j ²	ŋ o j ²				ŋ ù/u j	ŋ ò̤/o̤ i̯/i				ŋ oː j ²	ŋ oː j ²	ŋ uː j	ŋ oːi̯ ²¹
50_8_bellystomach	k u l u ŋ ʔ															t l ộ/o n g	k l oː ŋ ⁴	p l oː ŋ ⁴⁶/⁴⁵	ʈ oː ŋ ⁴⁶/⁴⁵				k l u ŋ				kʰ a l û/u ŋ	kʰ a l û/u ŋ				
511_88_sitv	c ʊ ŋ																									c u ŋ ²	c û/u ŋ	c û/u ŋ				
512_88_sitv							s a d u ³	s a d u ³³			s a d u h		t aˀ/a̤ d uʰ/ṳ ³⁴	t a d ú/u h								s a d o h ³										
516_89_skin				ð ɤa ³²												t a	t aː ¹	t aː ¹	t aː ¹	t a ¹	ʔ a ¹											j aː ³³
517_89_skin	kʰ a l ɑː t	a r u/w o̯ʲ/oi̯ c	kʰ ʂ ɔ t ¹²				k a r o t ³⁴	k a r o t ⁴⁴	kʰ l ao t	kʰ l oː t ²⁴	kʰ r ɔː t	a r oː t	k u ɽ o t ³⁴	k u ʒ ó/o t	k u ɽ o t ⁴							kʰ a l ɔ̰ t ³⁴	kʰ l oː t	k ă r ɔ́/ɔ t	k ə r oː t ⁷/⁵²	kʰ a l oː t ²		kʰ a l ôː/o: t			kʰ l ao t	
51_8_bellystomach			d u l ¹²	d u n ³⁵									k u d ɯ l ⁴	k u d ɯ́/ɯ l	k u ɗ ɤ̆ l ¹									k d ə l	k u d ə l ¹				d uː l ³	d uː n ³		
522_90_sleepv																				ŋ u ⁵												ŋ u ²¹⁴
523_90_sleepv	s ᵊ/ə + t ɪːʰ/i̤ː		t ɑ̆ j ³³ ʔ	t i ²¹²												t áy/ai												s a t í/i h				
525_90_sleepv									t ɔ ŋ														t ɨ ŋ								t ʌ ŋ	
526_90_sleepv							l ă m ³	l ă m ³²³ t a ŋ e c ⁴⁴		l a m ⁴³	n a m		l ɤ m ³²	l ɤ̀/ɤ m								n ă m ³²⁴				n a m ⁴	n â/a m					
527_90_sleepv															ɲ ă̤/a p ⁴									n ʌ́̆/ʌ p	n əá̤/əa̤ p							
52_8_bellystomach						l uː j																				kʰ a ʔ â/a l						
533_91_small																				ɲ ɔ ⁵												ɲ ɔː ²¹⁴
534_91_small			d ɛ t ¹²	d ɛ t ³⁵			d i t ³ d i t ³	d i t ⁴⁴	d iː t	d i t ³⁴	d i t d iː t					đ/ð é/e t						d ɪ t ³⁴									d iː t	
536_91_small												d i d é/e ɛ H/h	d ɛ ³² d ɛ h ³⁴	d ɛ d ɛ́/ɛ	ɗ ɛ ⁰ ɗ ɛ ³									d ɛ d ɛ̉/ɛ								
538_91_small																										ʔ iː t	ʔ ḭ̂ː/ḭː t	ʔ ḭ̂ː/ḭː t				
53_8_bellystomach							r oi c ³	s i n ³³ ʔ r ɔ c ⁴⁴ i n t e s t i n e s '/ʔ			ʰr ɔː c	r ɔ c ˩/¹										ɬ ɔ̰ c ³⁴										
542_92_smoke	k ᵊ/ə + h ɑː j ʔ	a h ɒːi̯ʼ/ɒːi̯	kʰ ɒ j ¹²	χ ɔ j ³⁵			k a h ɔi̯ ³⁴ˀ/³⁴	k a h ɔ j ³³ ʔ	kʰ ɔː j	kʰ ɔː j ²⁴	k ə h ɔː j ³	k u h ɔ̻́/ɔ j	k o h ɔi̯ ³⁴	k u h ɔ́i̯/ɔi̯	k u h ɔi̯ ³	kʰ ỏ/o i	kʰ ɔː j ³	kʰ ɔː j ³	kʰ ɔː j ³	x ɔ j ³		k a h ə j ³⁴³ˀ/³⁴³	kʰ ɔː j	k ăh/a ɔ́/ɔ j	k ə h ɔː j ³	k a h ɔː j ¹	k a h ɔ̰̂ː/ɔː j	k a h ɔ̰̂ː/ɔː j	kʰ ɒː j ³	kʰ ɔː j ³	kʰ ɔː j	x ɔːi̯ ⁴⁵
546_93_standstandupintrv	t ɨ ŋ ʔ	t ɯ̆ ŋʼ/ŋˀ	t ɯ̆ ŋ ³¹	t ɯ̆ ŋ ⁵⁴			t ɯ ŋ ³	t ɯ̆ ŋ ³³ ʔ	t ɔ ŋ	t ə ŋ ³¹	t ɨ ŋ ³	t ɨ ŋ ǀ/i ³	t ɯ̆ ŋ ³⁴ˀ/³⁴	t ɯ́/ɯ ŋ	t ɯ̆ ŋ ³					t ɨ ŋ ³ j ə̆ n ⁴		t ɯ̰̆ ŋ ³⁴³ˀ/³⁴³	t ɨ ŋ	t ɨ̉/ɨ ŋ	t ɨ ŋ ⁶/⁵¹	t ɨ ŋ ¹	t ɨ̂/ɨ ŋ	t ɨ̂/ɨ ŋ			t ʌ ŋ	ɗ ɨ ŋ ⁴⁵
547_93_standstandupintrv					h ɲ ɟ a ɲ											cʰ ọ/o n g																
550_94_star			kʰ ʂ ɑ w ²²	ʂ ɑ w ³²												kʰ ao	kʰ aː w ¹	kʰ aː w ¹	kʰ aː w ¹	ʃ a w ¹									kʰ r aː w ¹	ʂ aː w ¹		s aːu̯ ³³
551_94_star									b aɛ	t u ³³ b a j ³³													k b eː								b ae	
552_94_star						s r m e ɲ							k u m i ɲ ⁴	k u m i ɲ	k u m ĭ ŋ ¹									k ŭ m i ɲ	k u m í/i ŋ							
553_94_star		t l ɔː					k a l o ³⁴ˀ/³⁴	k a l o ³²³			k a l o ³⁴ˀ/³⁴	k l ou ³										k a l ɔ ³²⁴										
554_94_star	ʔ a k ɑː l ʔ																									ʔ a k ɔː l ³	ʔ a k ɔ̰̂ː/ɔː n	ʔ a k ɔ̰̂ː/ɔː n				
557_95_stone		a t ɛa̯ ʔ	t ɑ ¹²	ð ɤɑ ³⁵					t aː	t a ⁴²⁴			l a t a ³⁴	t a t á/a	t a ⁰ t a ³					t a ³	t a ³		t aː	l a t á/a	t aː ³				t aː ³	δ/ð aː ³	t aː	ɗ aː ⁴⁵
558_95_stone																kʰ ũ	kʰ uː ⁴	f uː ⁴	kʰ uː ⁴													
559_95_stone	k ᶤ/ɨ + ʌː jʰ						k ə ai̯ ³	k ɤ j ³³				k əa j H/h														k i h ³	k í/i h	k í/i h				
560_95_stone											k ɔː n k ɜː l ³											k ɔ n k ɤ l ³										
