Cognate_ID	Aha	Dzawinai	Ehe	Hohoodene	Kowaidakenai	Kumadene1	Kumadene2	Mauliene	Moliwene	Name	Oho	Tariana	Waliperi	Werekena
Chacon-2019-220-203_there	a h a ɾ e k a		aː tʰ e	aː t a h ã			aː t e a h i	a n a h ã	a t a h ɐ̃	a j a k a tʰ e	j a k aː l e	h a n ɛ s ɛ̃ mʰ a d e n a w a	a d i s i ɐ n a h ɐ̃	w i t a h ɐ̃
Chacon-2019-220-204_they	a nʰ a n a	h ã	nʰ aː	h âː/aː	nʰ aː			h áː/aː t a h ɐ̃		nʰ aː	h l i e n a h a	nʰ ã h a p ã + n a w i k i h a n ũ p ɛ	h a m a h ɐ̃	ɐ n i p a ɾ o
Chacon-2019-220-205_thick	m a t o l e d a l i		h i p a n a d a l i	m a k a d a ɽ i				m a k a d a ɽ i		h i p a n d a	m a k a n e	h a n uː n ã	m a k a n ɛ	p ɐ n i ɾ i
Chacon-2019-220-206_thin	m a ts i a d a l i		h a l i t aː d a l i	h a ɽ ɛ p a p ɛ d a ɽ i			ts u a p u ts e	ts uː k a ts a n i		ts oː d a l i	ts oː k a i d a l e	m ã d e i l i n ã t u k i	ts oː n ẽ	
Chacon-2019-220-208_think	i w a o p i a k a d a	i a p j ẽ t a	aː p i n e t aː k e t i	n u a w aː d a k a	ɽ i n a m a n i k a w a		ɽ i w a u p i a k a	n u a w a d a k a n i	l i a p iː t ɐ̃ d a	w a w a o p i a k e t i	j a p i ɲ e t a k e t i	p a w a d a w a n i		p u ɽ i u t a
Chacon-2019-220-209_this	l i a h i	h j ɛ h ẽ	tʰ i a h a		h i e h ẽ		h i e h i		h i ẽ h ẽ	t iː ɾ a	k u a k a l i h e	n ɾ i a	ɾʰ i ẽ h ẽ	
Chacon-2019-220-20_bad	m aː ts i		m aː ts i	m aː tʃ i d ɛ		m aː ʃ i t ɛ		m a tʃ i		m aː ts i	m aː ts i d a l e	m ãː ts i t ɛ		o dz u d ɛ n a m i
Chacon-2019-220-210_you	pʰ i a	h i a	pʰ i a		j a		k i a	pʰ i n a	pʰ i a	pʰ i a	pʰ i a	p i ɾ i h a	pʰ i a	n i j a h ɐ̃
Chacon-2019-220-211_three	m a d a l i d a		m a d a l i	m a d a ɾʰ i p a		m a n d a ɾ i p ɐ		m a n a ɽ i d a	m a n d a ɽ í/i d ɛ	m a d a l i d a	m a d a l i d a	m ã d a ɾ i p a	m a d a ɽ i d a	t ɛ ɾ ɛ tʃ i
Chacon-2019-220-212_tie	i p a p i k a d a		p a ɾ a k e t i	p a p a l a k ɐ n i			n u p a ʐ aː k a	n u p a ʐ a k a n i	k a ʐ ɐ̃ ɲ	j oː w e t a k e t i	i p a ɾ a k e t i	n a t u t u n i p ɛ		p i a ɾ i t ɛ h ə
Chacon-2019-220-213_tongue	l i e n e n e	ɽ i e n e n e	l i e n e n e	p ɛː n ɛ n ɛ	ɽ i n e n e			n u e n e n e	ɽ i ɛ n e n ɛ	l i a k o	l i eː n e n e	h e n e n ẽ	ɽ i e n e n e	n u t a ɽ a
Chacon-2019-220-214_tooth	l i e ts a	ɽ i e ts a	l iː a i	p eː tsʰ a	ɽ i a i		n o e tʰ a	n u e ts a	ɽ i ɛ tsʰ a	l i eː ts a	l i eː ts a	l i ɛ	ɽ i e tsʰ a	n aː ts i
Chacon-2019-220-215_hometohome				ɽ iː p ɐ n a ɽ i k o ɽʰ ɛ		p a n i s i	ɽ i p a n a ɽ i k u	p a n t i ʐ i k o h e	p ɐ̃ t i ʐ o j			w ḭː + p u n i n ã t a h u l i h ɛ p a n i s i s ɛ	n uː p ɐ n a ʊ	p ɐ n i s i w ɛ b a h ɐ̃
Chacon-2019-220-216_tree	h a i k o	h a i k u	h a i k o		h a i k u	h a j k u	h a i k u	h a j k o	h a j k o	h a i k u	h a i k o	h a j p u n ã	h a i k o	ts aː p ɛ
Chacon-2019-220-217_turn	i k a p o k o i t a k a d a		i p e d o k aː k e tʰ i							p i k a p o k o k e t i	i k a p o k o k e t i			
Chacon-2019-220-218_two	j a m a d a	dz a h ẽ p a	dz a h m e	dz a m a d a	dz a h m e p a	ɲ ɐ m ɛ p ɐ	j a m a d a	dz ɐ m a d a	dz ɐ m a d a	j a m a d a	dz a m a d a	ɲ a m ã i t ɛ	dz a m a d a	t o n a b a
Chacon-2019-220-219_vine	a d a p i		a d a p i							a d a p i	a d a p i			
Chacon-2019-220-21_bark	l i kʰ i	ɽ i j a	l iː k e	ɽ iː j a	ɽ j a		ɽ i a	ɽ i j a	ɽ i j a	p a k oː n a	n a t a k a n d a	ɾ i j a	ɽ i j a	m aː t a
Chacon-2019-220-220_vomit	i k a t a k a d a	ɽ i k a tʰ a	k a t a k e t i	n u k a tʰ a k a	ɽ i k a tʰ a k a w a		n u k a tʰ e a k a	n u k a tʰ a k a	n u k a pʰ ɛ	p a k a tʰ a k a	i k a t a k e t i			t e j a h ɐ̃
Chacon-2019-220-221_walk	j aː k a p e	n u a nʰ i k a	iː t o k e t i	w aː h ĩ k a w a	h i tʃ i aː k a		ɽ i a k a w a	n u a k a w a	n u a h ĩ k a w a	ɾ i a k a o	j aː k a p e	n a h i k a nʰ i	ɽ i ɐ̃ h i k a w a	n u t a p a
Chacon-2019-220-222_wash	i k o ts o k a d a		i k o ts o k e t i	p i k o tsʰ o n ĩ			h iː p a k a	n u k u tsʰ u k a n i	p i k u tsʰ o n ĩ	i k o ts o n d a	i k o ts o k e t i	nʰ ɛ p a n a p e k u	p i k o tsʰ o n i	p i p a
Chacon-2019-220-223_water	uː n i	oː n i	uː n i	oː n i	oː n i	uː n ĩ	oː n i	u n i	óː/oː n i	oː n i	uː n i	uː n i	oː n i	w e n i
Chacon-2019-220-224_we	w aː	ɸ aː	f aː	wʰ aː	wʰ a		wʰ a		w a h i o	f aː	p aː n a	w u h a	wʰ aː	
Chacon-2019-220-225_wet	p oː ts i a d a l i		p uː ts i a d a l i	p uː tʃ i a k ɐ n i			p uː t i a k a	p u tʃ i a k a n i	p o tʃ i a d a ɽ i	p oː ts i a	p o ts i a d a l e	p uː tʃ e k a n ʊ k a	p uː tʃ i a k a n i	k o ts a ɽ i
Chacon-2019-220-226_what	k o k a	kʷ a m e d a ɽ i k a	k u a k a pʰ a	k o a k ɐ n i	k o a h i a		k o a p i w a m e	k o a k e n a	k o a k ɛ h e	k o k a	k o a k a	h ã n e kʷ a k ã nʰ ã	k o a k a + p áː/aː h ĩ a	t a m a ɾ i t e t a
Chacon-2019-220-227_when	k u a kʰ a o l i	kʷ a m e k a w a ɽʰ i	k u aː dz o k oː d a	k ɔ̃ k ɔ h ĩ	k a i dz u k u d a		k o a ŋ k a o ɽʰ i	k o a m k o h i	k o a m k a w ɽʰ i	k u a n k a o h l i	k u a k a o ɾ i	k o i m a k a h ã d e i n ã k o i k a p i s ɛ	k e n a k u d a	j o m i ɾ ɛ h ɐ̃
Chacon-2019-220-228_where				k a ɽ ɛ a h a	k a ɽ i e			k a h i a	k a h ɛ g ɐ			k a n i s ɛ mʰ a d e w a u h a	k a h ɛ	d aː t i
Chacon-2019-220-229_white	h aː l e d a l i	h aː ɽ e	h aː l e	h a ɽ ɛ d a ɽ i	h aː ɽ i k a n i	h a ɾ e n ĩ p ɛ	h a ɽ e d a ɽ i	h a ɽ e k a n i	h a ɽ ɛ d a ɽ i	h aː l e d a l i	h aː l e d a ɾ e	h a ɾ ɛ m a n ʊ̃ k a	h a ɽ ɛ d a ɽ i	a ɾ i ɾ i
Chacon-2019-220-22_alive	j oː f u a k a d a	k aː wʰ i k a n i	j oː f aː k e t i	k aː h i k ɐ n i	m a tʃ j a k a n i	t ɐ ɾ a n i p ɛ	k a ʐ i v i d e	k a h i k a n i		j aː h i k e t i	j o h a k e t i	t a ɾ a l i t ɛ		n ɛ t o a ɾ i
Chacon-2019-220-230_who	k u k a	kʷ a m e l i t a	k u a k a h l i a	k o a m ɛ ɽ i t a	kʷ a ẽ		k o a m e h e w i	k o a k a	k o a k a	k o k a	k o a k a	h ĩː	k o a k eː n a	ɛ s t a h ɐ̃
Chacon-2019-220-231_why	k o a d a		k u a n a							k u a d a	k o a d a			
Chacon-2019-220-232_wide				j a p i d a ɽ i				j a p i	j a p i d a ɽ i				m a k a p ɛ k i	s w i l a ɽ i
Chacon-2019-220-233_wife	l iː n o		l iː n o	n u i n o			ɽ iː n u	ɽ i n u	ɽ iː n u	l iː n o	l iː n o		n u i n o	i s u m ĩ a w a
Chacon-2019-220-234_wind	k a o l i		h a p e ɾ i	k a w a ɽ ɛ ɽ i		k ɐ ɾ e ɾ u	k a w aː ɽ e	k a w a ɽ ɛ k a	k a w a ɽ ɛ ʐ i	k a u l i	k a w aː l e	k a ɾ i a	k a w a ɽ ɛ ɽ i	ɽ i tʃ i
Chacon-2019-220-235_wing	l i a ɾ a k a		l i pʰ e	p a k aː p i			n u n aː p u k u d a	ɽ i pʰ ɛ	ɽ i pʰ ɛ	l i pʰ e	l i pʰ e	ɾ i a ɾ a ɾ i k e n o a	ɽ i a p a k a w a	t a n aː p i
Chacon-2019-220-236_withpedro				p e d ɾ o + i n a j			p e d ɽ o i n a i	p e d ɾ o + i n a j	p e d ɾ o + i n a j			p e d ɾ ʊ n ɛ̃	k o a m ɛ + pʰ i a + p e d ɾ u	p e d ɾ o i p a
Chacon-2019-220-237_woman	iː n a ɾ o	i n a ʐ o	i n a ɾ o	i n a ʐ o	i n a ɽ u		i n a ʐ u	iː n a ʐ o	iː n a ʐ o	l iː n o	i n a ɾ o	i n a ɾ u	iː n a ʐ o	n e j a w a
Chacon-2019-220-238_worm	uː m a p i		u m a p i							oː m a p i	oː m a p i			
Chacon-2019-220-239_year	p a d a + h a m o l i	h a m u ɽ i	p aː d a + a ɲ o	h a m o ɽ i	w a ɽ i p e ɽ i		i h a m u ɽ i	p a w a ɽ i a		p a d a + a ɲ o	p a d a + aː ɲ o	k ã m ũ ĩ	h a m o ɽ i	a m u s i ɐ̃
Chacon-2019-220-240_yellow	eː w a d a l i	i ʐ a i k a	eː w a	ɛ w a d a l i	i ʐ a i k a n i		e w a d a ɽ i	e w a k a n i	e w a d a ɽ i	eː w a d a l i	eː w a d a l e	i ɾ i p e ɾ i	ɛ w a d a ɽ i	t ɛ w a ɽ i
Chacon-2019-220-241_yes	h oː		e h e							o h o	o h o			
Chacon-2019-220-242_youpl	s ɾ aː		s ɾ aː	pʰ i a			n u ɽʰ i a	ʃ j a	tʃ j aː	s ɾ aː	s ɾ aː		ʃ aː	
Chacon-2019-220-243_boyyoungman				n uː p a t a k ɐ n i			j e m p eː t i	n uː p a t a k ɐ n i						
Chacon-2019-220-24_behind	d a nʰ i t e		n u a p u a n t e							n o a p o d a n s e	l i t a m a l e			
Chacon-2019-220-25_belly	l i s ɾ a d a	ɽ i w a w a	l i s ɾ a d a	n u ʃ a d a	n u ʃ a d a		n u w a w a	n u w a w a	ɽ i w a w a	l i w a w a	l i s ɾ a d a	w a w a w a	ɽ i w a w a	n u tʃ i a p u
Chacon-2019-220-26_below		ɾ i a p i t e		ɽ i a pʰ i t ɛ	ɽ i a pʰ i e		ɽ i a pʰ iː p e	ɽ i a p i s ɛ				w a p i s a k u m a pʰ ɛ		j a tʃ i p ɛ ɾ a h ə
Chacon-2019-220-27_big	m a k a d a l i	h a n i p a	m a n i ɾ i	m a k a d a ɽ i	m a mʰ i ɽ i		m a k a d a ɽ i	m a k a d a ɽ i	m a k a d a ɽ i	m a k a d a l i	m a k a d a l e	h a n ʊ̃ ĩ t ɛ		ts u t e ɾ i
Chacon-2019-220-28_bird	w i pʰ i a ɾ o	k e p i ʐ e n i	ts iː k a	k e p i ʐ e n i	t i k e	k eː p i ʐ ɐ	k u i pʰ i a ʐ u	k e p i ʐ e n i	k e p i ʐ e n i	w iː p i a ɾ o	j aː ɾ a k a p e	k e p i ɾ i a hʲ a	k e p i ʐ eː n i	a m u tʃ i t i h ɐ̃
Chacon-2019-220-29_bite	i mʰ o a k e t i	n u h ũ a k a	i nʰ u a kʰ e t i	p i h u ɐ̃ n i	n u h ũ a k a		ɽ i u h aː k a	n u h u a k a	t i p a t e k a n i	i j m o a k e t i	i nʰ u a k e t i	n ã mʰ õ n ĩ p ɛ		n u m u tʃ i t ɐ n i
Chacon-2019-220-2_hairy				k eː dz u k ɛ h ɛ̃			ɽ iː j a	n u i dz o				ɾ i tʃ i a ɾ i mʰ ə h a n i p a i t ɛː	t e dz u d a ɽ i	mʰ i t ũ h u
Chacon-2019-220-30_black	iː t a d a l i	iː t a d a ɽ i	iː t a	iː t a d a ɽ i	k a i d aː k a ɽ i	k a ð a j t ɛ	ɽ iː p a d a ɽ i	i tʰ a k a n i	i t a d a ɽ i	iː t a d a l i	iː t a d a l e	t aː d a ɔ m a n ʊ k a	i p a d a ɽ i	s ɛ ɾ e ɾ i
Chacon-2019-220-31_blood	l iː ɾ a n a		i ɾ a n aː t i	ɽ iː ɽ ɐ n a		iː ð ɐ	ɽ i ʐ a n a	ɽ i ʐ ɐ n a	ɽ i ʐ ɐ n a	l i ɾ a n a	l iː ɾ a n a	i ɽ i	ɽ i ɽ ɐ n ɐ	n i a s t i
Chacon-2019-220-32_blow	i pʰ i a k a d a		i pʰ i a kʰ e t i	n o pʰ i a k a			n u pʰ i a k a	n u pʰ i a k a	n u pʰ i a k a	i p i a k e t i	i pʰ i a k e t i	n ã pʰ i a k a n ã m ã n i k a		p i j o w i t ɛ h ə
Chacon-2019-220-33_dull	m eː m a d a l i		m e m i n e t e	w a p ɛ k o n i			n u k a d a k a	n u p ɛ k o k a		t e m eː t e	m e m a n eː t e	m e m a n ə̃ k a d u p e ɾ i	m e m a m a d a ɽ i	j a m e n ɐ p i ẽ h e
Chacon-2019-220-34_bone	l i a p i		i n a p i	ɽ i a p i		l j a p i p i	ɽ i a p i	ɽ i a p i		l i a p i	l i a p i	ɲ ã p i	ɽ i a p i	s i m a t i
Chacon-2019-220-35_boychild	j e m p e t i		h aː p e	i eː n i p ɛ t i				j e m p e t i	k ɛː p ɛ t i	j e m p e t i	j e m p e t i		j e n i p ɛ t i	w i ɾ u b ɛ ɽ o
Chacon-2019-220-36_breast		ɽ iː n i		n u i n i	ɽ i t i n i	j a n ɐ̃ p ɛ	ʐ u i n i	i n a + ʐ i n i	ɽ iː n i			p ə j n iː		n u tʃ i n i
Chacon-2019-220-37_burn	i m a i t a k a d a	ɽ i m a k a w a	i m a i t a k a i t a	w a mʰ ɐ̃ j t a k ɐ n i	ɽ i m a k a w a	ɽ a m a k a	ɽ i m a k a w a	n u m a i t a k a	ɽ i m a k a w a	h i m a i d a k e t i	i m a k e t i	n o mʰ a i t a k a n u k a	ɽ i m a k a w a	m aː t a h ɐ̃
Chacon-2019-220-39_chest		ɽ i k u d a		p a k o d a	ɽ i k u d a		n u k u d a ɽ i k u	n u k u d a	p a k u d a					n u m i j̃ a w a
Chacon-2019-220-3_he	lʰ i a	h ã	lʰ i a	ɽ i a	ɽ i a		ɽʰ i a	h i e n a h ã	h aː t a h ɐ̃	lʰ i a	lʰ i a	nʰ ã h a n a ɾ i a n ʊ k a	ɽʰ i e n a h ɐ̃	a ɛ p a ɾ o
Chacon-2019-220-40_clean	i ʂ aː t a k a i t a		m a ts i a t a k e t i							m a ts i a t e k a	i p i ts o k e t i			
Chacon-2019-220-41_cloud	iː j a	i dz a d aː k a	i t a m a n a	ɛ n u t o n a	n o v i	i tʰ ɐ p ɛ d a p ɛ	e i n u	t a m a n a	dz a d a w a k a	i t a m a n a	i dz a d a o k a	j e nʰ u n iː s a k u m ã	e n u t e n ɐ̃	s j a ɾ i ɾ i
Chacon-2019-220-42_cold	h a p e	h aː p e	h a p e	h a p ɛ k ɐ n i	iː n i ʐ i k a n i		h a p e k a	h a p ɛ k a n i	h a p ɛ d ɛ	h a p e r j i	h a p e d a l e	h a p ɛ m a n ʊ k a	h a p ɛ	a w i n i m i
Chacon-2019-220-43_come	i n o k e t i	i n u	i n o kʰ e t i	ɽ i n u k a	n u n u k a w a		ɽ i n u k a	n u n u k a	n u n u k a	ɾ i n o k a	i n o k e t e	n a n ʊ n u k a h a n ʊ p ɛ		n ɛ d a
Chacon-2019-220-46_correct	m a ts i a n i	ɽ u dz e k e m a	m a ts i a kʰ a i	m a dz a k ɐ n i	dz e k e m a t i		h iː k u k a	m a dz a k a n i		m a ts i a	h a p eː d a l e	m a s i a k a n i		
Chacon-2019-220-47_count	i n i w e t a k a d a		n u w e t aː k e t i							p i n u w eː t a k a	i n i w e t a k e t i			
Chacon-2019-220-48_cut	i j o w a k a i t a		t a k aː k e t i	w a t a k aˀ a k a			n u i o a k a	n u tʰ a k a		w a j o w a k a	i t a k aː k e t i	n a p i s a n i p ɛ	n u t a kʰ a k a	p i t ɛ ɾ u k a
Chacon-2019-220-49_dark				k a d a w a k a d a ɽ i			d eː p i	k a d a w a k a n i	d ɛː p i t i			k a d aː w a n i	k a d a w a k a d a ɽ i	s i b u m ã h a
Chacon-2019-220-4_instrumental	l iː n a i		l iː o							j o	t a k a l e			
Chacon-2019-220-50_day	h aː l e w i ɾ i k o		h e k u a p i	h ɛ k o a p i		ɐ h k o a p ɪ	h e k o a p i	h e k o a p i	h ɛ k o a p i	h a l e d a o k a	h e k u a p i	e h kʷ a p i	h ɛ k o a p i	p ɛ p u s i
Chacon-2019-220-52_die	iː j a m i k a d a	n u dz aː m i k a	dz aː m i kʰ e tʰ i	p a dz aː m i k a	n u tʰ ẽː t a k a	w a j a m e n ĩ p ɛ	m a j e m e k a	m a ɽ i o m a k a n ɛ	ɽ i dz ɐː m i k a	m a j a o n k a	i dz aː m i k e t i	l i j a m ĩ n ʊ k a l i a	ɽ i dz ɛː kʰ i	n u i w a
Chacon-2019-220-53_dig	i m eː k o k a d a		t e w a kʰ e t i	pʰ e k a k ɐ n i			h ĩ k aː k a ŋ	h i k a	pʰ e k ɐ̃ g a	l i k a k e t i	p e k a k a	n i h e i k a n a p e k u		p i u b w ɛ h ə
Chacon-2019-220-54_dirty	m aː ts i d a l i		d u e nʰ a	d u h ɛ n aː d ɛ			pʰ i a	n u h e n a k a n i		k o a p i tʰ a d a i	d o h e n aː d a l e	ɲ u p i s ɛ h a n u p i t e ã m a	k aː p i t a d a ɽ i	a n a j b o d a
Chacon-2019-220-55_dog	ts iː n o	tʃ iː n u	ts iː n o	tʃ iː n o	tʃ ĩː n u		tʃ iː n u	tʃ iː n o	tʃ iː n o	ts iː n u	ts iː n o	ts i n ũː	tʃ ĩː n u	ts iː ɲ o
Chacon-2019-220-56_drink	i ɾ a k e t i	n u i ʐ a k a	i ɾ a kʰ e t i	p i ʐ a	n u i ʐ a k a	w a j ɾ a n ĩ p ɛ	n u i ʐ e a k a	n u i ʐ a k a	w a i ʐ a k a	iː ɾ a k e t i	i ɾ a k e t i	p a j ɾ a n i p ɛ	ɽ i a w a k a w a	n a m i h ɐ
Chacon-2019-220-57_dry	m eː t a d a l i	m eː t a k a n i	m eː t a d a l i	m eː t a d a ɽ i	m eː t a k a n i		m e t a d a ɽ i	m ɛ t a k a n i	m ɛː t a d a ɽ i	m eː t a d a l i	m eː t a d a l e	m ã k a ɾ ə m a n ʊ k a	m e t a d a ɽ i	s ɛ s ɛ ɽ i
Chacon-2019-220-58_dust	k a i d a	k a p i t a d a ɽ i	k a i d a k u a	h iː p a i	k a i d u k o a		ɽ i m u k u	h íː/iː p a i		l i m o k o	b i t i m e p e d a l e	h iː p e d u p ɛ		ɽ i p ɛ ts e k o
Chacon-2019-220-59_ear	l i e n i	ɸ i e n i	lʰ i eː n i	h i eː n i	ɸ i e n i	wʰ ɛ n ĩ	h a e n i	w eː n i	ɽʰ i e n i	l i n a k o l i k o	l i e n i	l i h e n ĩ	pʰ i eː n i	n u t ɐ n i p a ɽ a
Chacon-2019-220-5_maniocflourinwater	p e ɾ i t i a h a m o a n a i		k a m u a t a k a							k a m u a t a k a				
Chacon-2019-220-60_earth	h iː p a i	h iː p a j	h iː p a i	h iː p a j	h iː p a j		h iː p a i	h iː p a j	h iː p a j	h iː p a i	h iː p a i	h i p a i	h i p a j	j a tʃ i p ɛ
Chacon-2019-220-61_eat	i ɲʰ a k e t i	n u ĩ jʰ a k a	i nʰ i a kʰ e t i	p iː j̃ʰ ã ĩ	n u ĩ j̃ʰ a k a	w e a n ĩ p ɛ	n u i h e a k a	n u i nʰ a k a	w a j nʰ ĩ a k a	i nʰ i a k e t i	i nʰ a k e t i	ɲ ã k a s i + p a ĩ nʰ ã n i p ɛ	n ũ ĩ j̃ʰ ɐ̃ k a	n u k u ɽ u a m i h ɐ̃
Chacon-2019-220-62_egg	l i e f e	ɽ i e ɸ e	l i e f e	ɽ i e wʰ ɛ	ɽ i e wʰ e		t o e n i	ɽ i ɛ wʰ ɛ	ɽ i ɛ wʰ ɛ	l i e f e	l i eː f e	ɾ i e h ɛ	ɽ i ɛ h ɛ	i j̃ e n a
Chacon-2019-220-63_eye	l i tʰ i	ɽ iː tʰ i	l i tʰ i	p a tʰ i	ɽ iː tʰ i	w a t i d a p ɛ	ɽ i t i	n u tʰ i	ɽ i ʔ tʰ i	l i tʰ i	l i tʰ i	l i tʰ i d a	ɽ i pʰ i	n u p u ɾ i h ĩ
Chacon-2019-220-64_fall	i w a k a d a		h i w a k a i t a	kʰ e w a k a w a			ʂ i w a k a w a	k i w a k a w a	ɽʰ i w a k a w a	h i w a k e t i	h i w a k e t i	m e h u a n ã ts i n a ɾ u k u n ã n i p ɛ		j u ɽ u a h ɐ̃
Chacon-2019-220-65_far	t eː k o		j a k aː	j a k a h ɛ			t eː k u	j a k a		t eː k o	j a k aː d a l e	ɾ i a k a m a n u k a	j aː k a	j a m ɛ h ə
Chacon-2019-220-66_grease	l iː t i	ɽ iː t i	l i t a v a n a	ɽ iː t i	ʐ u i k a	p ɛ m e k a p i d a p ɛ	ɽ iː t i	ɽ iː t i	k eː p ɛ d a ɽ i	l iː t i	l iː t i	k e ts iː	ɽ iː p i	a s iː p a
Chacon-2019-220-67_father				nʰ u n i ʐ i		a n iː ɾ i	h a n i ʐ i	n u n i ʐ i	h a n i ʐ i			p a j k a	h u n i ɽ i	n u ɾ o ɐ m i
Chacon-2019-220-68_afraid		k a ʐ u k a n i		n u h i o k a w a	k a j w a k a		n u t a p e	n u h i o w a	n u h i o k a			k a ɾ u m a n u k a		a k u n ɛ t i
Chacon-2019-220-69_feather	l iː o	ɽ iː dz u	l iː dz o	ɽ i pʰ ɛ	ɽ iː dʒ o		ɽ iː j o	ɽ i pʰ ɛ	ɽʰ i p a	l iː j o	l i dz o	l i tʃ i a ɾ ɛ	ɽ i n aː p ɐ	t a n a p i
Chacon-2019-220-6_maniocsqueezer	t i ɾ o l i p i		h iː ɾ i n a							t i ɾ o l i p i	t i ɾ o l i p i			
Chacon-2019-220-70_few	a i m a		ts uː ts a	ts oː d a ɽ i			eː p a	ts uː ts a	ts oː ts a	ts oː ts a	ts uː ts a	h ĩ d a t u p ɛ	t a j̃ʰ ĩ e k a	ɐ n i p a ɾ u
Chacon-2019-220-71_field	k i n k i		k e n k e							k i n i k i	k i n k e			
Chacon-2019-220-72_fight	i n o a k a k a d a		i n u a k a i t a								i n o a k a k e t i			
Chacon-2019-220-73_nail		ɽ i t u t a		p a s o t a	ɽ i ts u ɽ a		n u tʃ i t a	n u ts u t a	ɽ i ts u t a			p ə i p a d a p ɛ	ɽ i ts u t a	n u ts u l a ɽ i
Chacon-2019-220-74_fire	w a t o p i t a	t i dz e	t i dz e	t i dz ɛ	t i dʒ e	ʃ j a w ɐ	t i j e	t i dz ɛ	t i dz ɛ	t i j e	t i dz e	i tʃ a u a	t i dz ɛ	a s t i
Chacon-2019-220-75_fish	k u pʰ e	k u pʰ e	k u pʰ e	k u pʰ ɛ	k u pʰ e	k u pʰ ɛ	k u pʰ e	k u pʰ ɛ	k u pʰ ɛ	k o pʰ e	k o pʰ e	k u pʰ ɛ	k u pʰ ɛ	a h s i m ɛ h e
Chacon-2019-220-77_five	s i n k o			p ẽ + p a k a p i		p ɛː m e k ɐ p i	p e m p a k aː p i	p e m p a k a p i	p e m a + p a kʰ a p i		s i n k o d a	p ɛ m a k a p i	p eː m a + ʐ u p a kʰ aː p i	s ĩ k ʊ
Chacon-2019-220-78_meat	l iː p e		l iː pʰ e	ɽ iː p ɛ		ɾ iː p ɛ	ɽ iː p e	ɽ iː p ɛ	ɽ iː p ɛ	l iː p e	l iː p e	ɾ iː p ɛ	ɽ iː p ɛ	m i t i
Chacon-2019-220-79_float	i ɾ o k a d a o		i t a m u tʰ a kʰ e t i							i ɾ o k e t i	i ɾ o n i k e t i			
Chacon-2019-220-7_goodmorning	h a l e + w a i k a o		h eː k u a p i + w aː w i k a							h a l e + w a i k o	h a l e k a + w a i k a			
Chacon-2019-220-80_flower	l iː w i		l iː w i	ɽ iː w i			ɽ i n a k a	h a i k u i	ɽ iː w i	l iː w i	f l oː ɾ e	ɾ i h i	ɽ iː w i	p o tʃ i ɾ a
Chacon-2019-220-81_fly	j aː ɾ a k e t i	n u a ʐ a k a w a	aː ɾ a k e t i	w aː l a k a w a	w i a k a		ɽ i a w ʐ a k a o	n u a ʐ a k a w a	ɽ i a ʐ a k a w a	l i a ɾ a k a o	j a ɾ a k a p e	n a ɾ a h i n ã k a		n u m i t a
Chacon-2019-220-82_fog	t a m a n a		i t a m a n a	i t a m a n a			i t a m a n a k a	t a m a n a k a n i	i t a m ɐ̃ n a	i t a m a n a	k a d a w a k a d a l e	i tʃ a k u m ã	i t a m a n a	
Chacon-2019-220-83_foot	l iː p a	h iː p a	lʰ iː p a	h a j p a	ɽ iː p a	w a j m a p ɛ	n u i p a	n u i p a	ɽʰ iː p a	l iː p a	l iː p a	h i p a m ã	ɽ i k a w a	n u tʃ i p a ɽ a
Chacon-2019-220-84_jungle	a w a k a d a									a w a k a d a	n a w a k a d a			
Chacon-2019-220-85_four	l i k u a d aː k a		l i k u a d aː k a	ɽ i k o ɛ p a k a		k o e h p o n ĩ p ɛ	kʷ a d a k a w d a	k o a d a k a	k o a d a k a	k u a t ɾ o d a	k u a t ɾ o d a	k e h k u n ĩ p ɛ	ɽ i k o a d a k a	kʷ a t ɾ ʊ
Chacon-2019-220-86_fruit	l iː n a k a		l iː n a k a	ɽ iː n a k a			ɽ iː w i	p a n i a t i	ɽ ĩ h a j	l iː n a k a	l iː n a k a	h e k u n ã	ɽ iː n a k a	s i n a h ɐ
Chacon-2019-220-87_full		p a kʰ a m e k a		p aː kʰ ɐ m ɛ	b i u k a n i		p a kʰ a m e	p a kʰ ɐ m ɛ k a n i	p a kʰ ɐ m ɛ k ɛ			s e ts a m a n u k a ɾ i a	p a kʰ a m ɛ	p ɛ ɾ u m i a ɾ i
Chacon-2019-220-88_fur				n u tʃ i k o ɽ ɛ			ɽ iː j o	ɽ i z o	n u i dz o			i tʃ i a ɾ ɛ	ɽ iː dz o	n u i t u
Chacon-2019-220-89_girl	j e m p e t i		h aː p e n i			j a n ɐ̃ p ɛ m a				iː n a ɾ u d a	iː n a ɾ o e n i			
Chacon-2019-220-90_give	j aː k a d a	ɽ i a	a k a i t a		ɽ i a k a		ɽ i a k a o	n u a k a	n ũ a k a n i	j a n d a k e t i	j aː k e t i	ɾ i a n ʊ k a	p i a n ũ h i u m e	n u t ɐ m i h a
Chacon-2019-220-92_good	m a ts i a d a l i	m a tʃ i a	m a ts i a	m a tʃ i a dz a	m a tʃ i a k a n i		m a tʃ i a	m a tʃ i a	m a tʃ i a	m a ts i a	m a ts i a d a l e	m ã s i a m ã n u k a	m a tʃ i a d a ɽ i	w ɛ d ɐ n a l i
