Cognate_ID	AbasoloValleMixtec	AlacatlatzalaMixtec	AlcozaucaGuerreroMixtec	CahuatacheMixtec	ChalcatongoHidalgoMixtec	CoicoyanlasFloresMixtec	CosoltepecMixtec	CuatzoquitengoMixtec	CuyamecalcoVillaZaragozaMixtec	ElJicaralMixtec	GuadalupeVillahermosaMixtec	IxpantepecNievesMixtec	LaBateaMixtec	MagdalenaPenascoMixtec	PiedraAzulMixtec	PinotepaDonLuisMixtec	SanAgustinAtenangoMixtec	SanAgustinChayucoMixtec	SanAgustinTlacotepecMixtec	SanAndresChicahuaxtla1890Triqui	SanAndresChicahuaxtlaTriqui	SanAndresNuxinoMixtec	SanAndresYutatioMixtec	SanAntonioHuitepecMixtec	SanAntonioTepetlapaMixtec	SanBartoloSoyaltepecMixtec	SanBartolomeYucuaneMixtec	SanEstebanAtatlahucaMixtec	SanFranciscoSayultepecMixtec	SanJeronimoProgresoMixtec	SanJeronimoXayacatlanMixtec	SanJorgeNuchitaMixtec	SanJuanCoatzospamMixtec	SanJuanColoradoMixtec	SanJuanCopalaTriqui	SanJuanDiuxiMixtec	SanJuanMixtepecMixtec	SanJuanNumiMixtec	SanJuanTamazolaMixtec	SanJuanTeitaMixtec	SanJuanTepeuxila1900Cuicatec	SanLorenzoMixtec	SanLuisMoreliaMixtec	SanMarcoslaFlorMixtec	SanMartinDuraznosMixtec	SanMartinEstadoMixtec	SanMartinItunyosoTriqui	SanMartinPerasMixtec	SanMateoSindihuiMixtec	SanMiguelAchiutlaMixtec	SanMiguelAhuehuetitlanMixtec	SanMiguelChicahuaMixtec	SanMiguelElGrandeMixtec	SanMiguelPiedrasMixtec	SanPedroAtoyacMixtec	SanPedroJicayanMixtec	SanPedroJocotipacMixtec	SanPedroMolinosMixtec	SanPedroTidaaMixtec	SanPedroTututepecMixtec	SanPedroYosonamaMixtec	SanPedroySanPabloTeposcolula1600Mixtec	SanSebastianMonteMixtec	SanSebastianTecomaxtlahuacaMixtec	SantaAnaCuauhtemocMixtec	SantaCatarinaEstetlaMixtec	SantaCatarinaMechoacanMixtec	SantaCatarinaTlaltempanMixtec	SantaCruzBravoMixtec	SantaCruzItundujiaMixtec	SantaLuciaMonteverdeMixtec	SantaMariaAcatepecMixtec	SantaMariaApazcoMixtec	SantaMariaChigmecatitlanMixtec	SantaMariaHuazolotitlanMixtec	SantaMariaJicaltepecMixtec	SantaMariaPapaloCuicatec	SantaMariaPenolesMixtec	SantaMariaYolotepecMixtec	SantaMariaYucuhitiMixtec	SantaMariaYucunicocoMixtec	SantaMariaZacatepecMixtec	SantiagoApoalaMixtec	SantiagoCacaloxtepecMixtec	SantiagoChazumbaMixtec	SantiagoIxtaltepecMixtec	SantiagoIxtayutlaMixtec	SantiagoJamiltepecMixtec	SantiagoJuxtlahuacaMixtec	SantiagoNuyooMixtec	SantiagoPinotepaNacionalMixtec	SantiagoTamazolaMixtec	SantiagoTilantongoMixtec	SantiagoTlazoyaltepecMixtec	SantiagoYosonduaMixtec	SantoDomingoHuendioMixtec	SantoDomingoNuxaaMixtec	SantoDomingoTonahuixtlaMixtec	SantoTomasOcotepecMixtec	SantosReyesTepejilloMixtec	TepangoMixtec	TepejilloMixtec	TlahuapaMixtec	XayacatlanBravoMixtec	XochapaMixtec	YoloxochitlMixtec	YucunaniMixtec	YucunutiBenitoJuarezMixtec	YucuquimiOcampoMixtec	ZapotitlanPalmasMixtec
203_corndough	ʒ u ³ ts a ³	j u ³ ʃ ã ¹	i ʃ ã	j u ʃ ã	ʒ u ³ ʃ a ³	j u ʃ ã	j u s ã	j u ʃ ã	ɲ ũ ɲ̥ n ẽ	j u ³ ʃ ã ⁵	j u s a	ʒ u s a	j u ⁵ ts a ³	ɲ u ³ h ã ³	i ³ ʃ ã ¹⁵	j u tʃ a	ʒ u s a	j u tʃ a	ʒ u x ã	k ẽ ʔ a	k ɨ̃ h ³²	ʒ u ʃ ã	j u ⁵ s a ¹	ʒ u xʲ e	j u tʃ ã	ʒ u s ã	ʒ u x ã	ɲ ũ x ẽ	j u tʃ ã	ʒ u ⁵ s a ¹	ʒ u s ã	ʒ u s a	u ʃ ẽ	j u ³ ts ã ³		ʒ u ³ ʃ a ¹	j u tʃ a	ʒ u x ã		ʃ u ɲ̥ ã	j a tʃ i	j u tʃ a	j u ʃ a	i ³ ʃ ã ¹⁵	ʒ i ³ ɕ ã ¹	j u s a	kː ə̃ˀ ³	i ¹ ʃ ã ⁵	ɲ ũ ɲ ẽ	ʒ u x ã	ʒ u ʃ a	ʒ u s a	ʒ u x ã	ɲ ũ ɲ ẽ	j u tʃ ã	j u tʃ ã	j u s a	ɲ ũ x ã	ʒ u s ã	j u tʃ a		j u s ã	j u ³ s a ¹	ʒ u ⁵ sʲ a ¹	ɲ ũ ɲ̥ n ẽ	ʒ a s ã	j u tʃ ã	ɲ ũ s ã	j u ʃ ã	ʒ u x ẽ	j u x ẽ	j u s ã	ʒ u s a	ɲ ũ ʂ ã	j u tʃ ã	j u tʃ ã	j a ¹ tʃ i ¹	ʒ u ¹ ʃ ã ¹	ʒ u ʃ ã	ɲ ũ ³ x ẽ ³	i ³ s j ã ⁵	j u tʃ ã ʔ	ʒ u s a	ʒ ʉ s a	j u s ã	ʐ u s a	j u tʃ ã	j u ³ tʃ ã ¹	ʒ u s a	ɲ ũ x ẽ	j u tʃ a	ʒ u ʃ a	ʒ u ʂ a	ʒ u s ẽ	ʒ u n ɲ ã	ʒ u ⁵ ʃ ã ¹	ʒ u ʃ ẽ	j u s ã	ɲ ũ ³ x ẽ ³	ʒ u ʃ a	i ¹ ʃ ã ³ ʔ	j u s a	j u ¹ ʃ ã ⁵	j u s ã ¹	u ³ ʃ ã ⁵	j u ³ ʃ ã ⁵	j u ³ ts a ¹⁵	ʒ u s a	y u s a	j u s a
204_cornstalk		ɲ ã m ã	ɲ ã m ã	ɲ ã m ã	ⁿd a + j o ʔ o	tʲ + ã m ã	t u + ɲ ã m ã	ɲ ã m ã	ɲ ã m ã		ɲ ã m ã	ɲ ã m ã	tʲ + a ¹ m a ⁵		ʃ e ¹ ʔ e ¹	j ã m ã	ɲ ã ¹ m ã ¹	ɲ a ¹ m a ¹	ɲ ã m ã		gʷ i ʔ j o ¹³	ɲ ã m ã		ɲ ã m ã	ɲ ã m ã				ɲ ã m ã			ɲ ã ¹ m ã ¹	ʃ ã m ã	j a ¹ m a ¹			ɲ ã m ã	j̃ ã m ã	n ũ + ɲ ã m ã	ɲ ã m ã	n a j a m a	j ã m ã	ɲ ã m ã	ʃ e ¹ ʔ e ¹ + m i ³ i ³	t a ³ k a ¹	ɲ ã m ã		ɲ ã ³ h m ã ³	ɲ õ + ɲ ã m ã	ɲ ã m ã	ɲ ã m ã		t ɨ ³ + k u ʔ l u ³	ɲ ã m ã	j ã m ã	j ã m ã	ɲ ã m ã		ɲ ã w ã	ɲ ã m ã		ɲ ã m ã	ɲ a ¹ m a ¹	ɲ ã ¹ m ã ¹	ʒ ã m ã	ɲ ã m ã	ɲ ã m ã		ɲ ã m ã	ⁿd o + j o ʔ o	n u + j̃ ã m ã	ɲ ã m ã		ɲ ã m ã	j ã m ã	j ã m ã	j i ⁴ β ʔ o ⁴¹	ɲ ã ⁵ m ã ⁵	ɲ ã m ã	ɲ ã ¹ m ã ¹	t i ³ + ã ⁵ m ã ⁵	ɲ ã m ã ʔ	ɲ ã m ã		ɲ ã m ã		n ã m ã	ɲ ã m ã	ɲ ã m ã	ɲ ã ¹ m ã ¹	tʃ e ʔ e	ɲ ã m ã	ɲ ã m ã	ɲ ã m ã	ⁿd a + s o ʔ o	ɲ a ⁵ m a ¹	ɲ ã m ã	t u + ɲ ã m ã	l o ³ k o ¹ + ɲ ã ¹ m ã ¹	t o + ɲ ã m ã	ɲ ã ³ m ã	t u + ɲ ã m ã	ʃ e ³ ʔ e ¹	ɲ ã ¹ m ã ¹		j a ¹ m a ⁵	ⁿd a ⁵ + j o ¹ ʔ o ³	ɲ ã m ã		t u + ɲ ã m ã
205_fingernail		tʃ ĩ ⁵ ĩ ¹	tʃ i ⁵¹ ĩ ⁵	tʃ ĩ ³ ĩ ³	t i ⁵ i ³	tʃ ĩ ĩ	tʃ ĩ ĩ	tʃ ĩ ĩ	t ɨ + tʃ ĩ ĩ	tʃ ĩ ⁵¹ ĩ ⁵	tʃ ĩ ĩ	tʃ ĩ ĩ	tʃ ĩ ⁵¹ ĩ ⁵	tⁿ i ⁵ i ¹	tʃ i ⁵ h ĩ ¹⁵	t ĩ ɲ ũ	tʃ ĩ ĩ	tʲ ĩ ³ ĩ ³	t n̥ ĩ ĩ	k u + s i t ẽ ʔ a	s i ³ t ĩː ⁴	t ĩ ɲ ĩ	tʃ ĩ ⁵ ĩ ¹	n ĩ ɲ ũ	t ĩ ɲ ĩ	tʃ ĩ ĩ	tⁿ ĩ ɲ ĩ	n̥ ĩ ⁵ ĩ ⁵	tʲ ĩ ĩ	tʃ ĩ ⁵ ĩ ¹	tʃ ĩ ³ ĩ ³	tʃ ĩ ĩ	ts ĩ ¹ ĩ ¹	tʲ i ⁵ ɲ u ⁵		tⁿ ɨ ⁵ ɲ ɨ ¹	tʃ ĩ ⁵¹ ĩ ⁵	tⁿ ĩ n ĩ	n̥ n ɨ̃ ɲ ɨ̃	nː ĩ ɲ ĩ		tʲ ĩ ĩ	tʃ ĩ ĩ	tʃ i ⁵ h ĩ ¹⁵	tʃ ĩ ⁵ ĩ ¹	tʃ ĩ ĩ	s t ĩ ⁴	tʃ ĩ ³ h ĩ ³		t n̥ ĩ ĩ	tʃ ĩ ĩ	k u + tʃ ĩ ĩ	t i ⁵ ɲ u ³		t ĩ ɲ ĩ	t ĩ ɲ ĩ	tʃ ĩ ĩ	t n̥ ĩ ɲ ĩ	t i + tⁿ ĩ ĩ	tʲ ĩ ĩ		tⁿ ẽ ẽ	tʃ ĩ ³ ĩ ⁵	tʃ ĩ ⁵ ĩ ⁵	t ɨ + ts ĩ ĩ	tⁿ ɨ̃ ɲ ũ	tʲ ĩ ĩ	tʃ i u	tʃ ĩ ĩ	t ĩ ĩ	tⁿ ĩ ĩ	tʲ ĩ ĩ	tʃ ĩ ĩ	tʃ i + tʃ ĩ ĩ	tʲ ĩ ĩ	t i ¹ ɲ i ¹		tʃ ĩ ¹ ĩ	t n̥ ĩ ɲ õ	j ɨ ³ k ɨ ³ + t ĩ ⁵ ĩ ⁵	t ĩ ⁵ ĩ ⁵	t i ¹ ĩ ¹ ʔ	tʃ ĩ ĩ	tʃ ĩ ⁵ ĩ ¹	tʃ ẽ ẽ	tʃ ĩ ĩ	tʲ ĩ ĩ	tʲ ĩ ĩ	tʃ ĩ ĩ	j ɨ ³ k ɨ ³ + t ĩ ⁵ ĩ ⁵	t ĩ ɲ ĩ	tʃ ĩ ĩ	tⁿ ɨ̃ ɲ ɨ̃	tʃ ɨ̃ ɨ̃	n̥ n ũ ũ	tⁿ ĩ ⁵ ĩ ⁵	t ĩ ɲ ĩ	tʃ ĩ ĩ	t ĩ ⁵ ĩ ⁵	tʃ ĩ ĩ	tʃ ĩ ĩ ʔ	tʃ ĩ ĩ	tʃ i ³ i ¹⁵	tʃ ĩ ³ ĩ ³		tʃ i ⁵ ĩ ²⁵	tʃ ĩ ⁵ ĩ ¹⁵	tʃ ĩ ĩ	tʃ i ⁵ ĩ ¹	tʃ ĩ ĩ
206_greenbean	ⁿtʃ i ³ tʃ i ³	ⁿd i ¹ tʃ i ³	ⁿd i tʃ i	ⁿd i tʃ i	ⁿd i ¹ tʃ i ³	ⁿd i tʃ i	ⁿdʒ i tʃ i	ⁿd i tʃ i	ⁿd i̥ tʃ i	ⁿd i ¹⁵ tʃ i ³	ⁿd i tʃ i	ⁿd i tʃ i	ⁿtʃ i ³ tʃ i ⁵¹	ⁿd i ¹ tʃ i ³	ⁿtʃ i ¹ tʃ i ⁵¹	ⁿd i t i	ⁿd i tʃ i	ⁿdʲ i tʲ i	ⁿd i tʃ i		n a t ã ³	ⁿdʒ i tʃ i	ⁿd i ¹ tʃ i ³	ⁿd i tʃ i	ⁿd u t i + j u t a	ⁿdʒ i tʃ i	ⁿd i tʃ i	ⁿd i ¹ tʃ i ³	ⁿd u tʲ i + j u t a			ⁿd i tʃ i	ⁿd i ts i	nʲ i ⁵ tʲ i ¹		ⁿd i ⁵ tʃ i ⁵	ⁿdʲ i tʲ i	ⁿd i tʃ i	ⁿd i tʃ i	ⁿd i tʃ i		ⁿdʲ i tʲ i		ⁿtʃ i ¹⁵ tʃ i ⁵¹	ⁿdʒ i ¹ tʃ i ³	ⁿd i tʃ i	n e ³ t ə̃ ³	ⁿtʃ i tʃ i	ⁿdʒ i tʃ i	ⁿd i tʃ i		ⁿdʒ i tʃ i	ⁿd i ¹ tʃ i ³	ⁿdʒ i tʃ i			ⁿdʒ i tʃ i	ⁿd i tʃ i	ⁿdʒ i tʃ i	ⁿdʲ i tʲ i		ⁿd i tʃ i	ⁿd i ¹ tʃ i ³	ⁿtʃ i tʃ i	ⁿd i̥ ts i	ⁿd i tʃ i	ⁿdʲ i tʲ i		ⁿd i tʃ i	ⁿd i tʃ ĩ	ⁿd i tʃ i	ⁿdʒ i tʃ i	ⁿdʒ i tʃ i	ⁿd i tʃ i + j u t e	ⁿdʲ i tʲ i	ⁿd i t i	ⁿd e ³ t e ³	ⁿdʒ ĩ tʃ i	ⁿd i tʃ i	n ĩ ¹ tʃ i ³	ⁿd i ³ ¹ tʃ i ³	ⁿd u t i ʔ + j u t a	tʃ i tʃ i	ⁿd i tʃ i	ⁿdʒ i tʃ i	ⁿdʒ i tʃ i	ⁿdʲ i tʲ i	ⁿdʲ i tʲ i	ⁿd i tʃ i	n ĩ ¹ tʃ i ³	ⁿd i t i		ⁿd i tʃ i	ⁿdʒ i tʃ i	ⁿd i tʃ i	ⁿd i ⁵ tʃ i ⁵	ⁿdʒ i tʃ i	ⁿdʒ i tʃ i	ⁿt i ¹ tʃ i ³	ⁿtʃ i tʃ i	ⁿd i tʃ i	ⁿd i tʃ i	ⁿd i ¹ tʃ i ³	ⁿdʒ i ³ tʃ i ³	ⁿd i ² tʃ i ²	ⁿd i ³ tʃ i ²	ⁿtʃ i ¹ ʃ i ¹	ⁿd i tʃ i		ⁿs i tʃ i
207_hawk	ʃ i ³ ʔ ã ³	s i ⁵ ʔ ɲ a ⁵	t a s ũ	ʃ ĩ ʔ ɲ ã	t a s ũ	t a ¹ s ũ ⁵	t a ð u	ʃ ĩ ʔ ɲ ã		s a ³ a ³ + ʃ i ⁵ ʔ ɲ a ³	ʃ a ʔ a	ʃ i ʔ ã	ʃ i ⁵ ʔ ã ³	ʂ i ⁵ ʔ ɲ a ⁵	ʃ i ³ ʔ ɲ a ³	t a s u	k i ɾ i + ʒ a ʔ a	t a s u + t i + j a a	tsʲ o k o	ʃ n u ʔ u	ʃ i ³ n ũ ʔ ³	ð ĩ ʔ ã	ð i ⁵ ʔ ã ⁵	ð ĩ ʔ ɲ ã	t a s ũ	ð ĩ ʔ ɲ ã	ɲ ã m ĩ	ʃ ĩ ʔ ɲ ã	t a s ũ			ⁿd i ¹ + ʃ ã ʔ ã ⁵	t a ð ũ	t a ¹ s u ¹	k u w i h ⁵		ʃ ĩ ʔ ã	ʃ ĩ ʔ ã	ð ĩ ʔ ɲ ã	ð ĩ ʔ ɲ ã	i ɲ u	t a s ɨ	ⁿd i + s i ʔ ã	ʃ i ⁵ ʔ ɲ a ³	ʃ a ⁵ ʔ ã ⁵	ⁿd i + θ ĩ ʔ ã	tʃ i ³ n ũˀ ³	t a s i	ð ĩ ʔ ã	ʃ ĩ ʔ ɲ ã	l a + θʲ ã ʔ ã	ð ĩ ʔ ɲ ã	ʃ ɨ̃ ³ ʔ ã ¹	ð ĩ ʔ ɲ ã	t a s ũ	t a s u	ð ĩ ʔ ɲ ã	t a s ũ	t a ð ũ	t a s u		ð ĩ ʔ ɲ ã	ⁿd i ³ + ʃ i ⁵ ɲ a ⁵	ɲ ã ã	t a ð ũ	ð ĩ ʔ ɲ ã	t a s ũ	t a ð u	ʃ ĩ ʔ ɲ ã	ʂ ĩ ʔ ɲ ã	ʃ ĩ ʔ ɲ ã	t a s u	ð ĩ ʔ ɲ ã	t a ð ũ	t a s ũ	t a s ũ	i ³ j ũ ³	ð ĩ ¹ ʔ a ¹	ʃ ĩ ʔ ɲ ã	ʃ ĩ ⁵ ʔ ɲ ã	ʒ a ³ ʔ a ⁵	t a s u ʔ	ð ĩ ʔ ã	ʒ a ʔ a	ts i + ð ĩ ʔ ɲ ã	ð ĩ ʔ j̃ ã	t a s u	t a ⁵ s u ⁵	ʃ ĩ ʔ ã	s ĩ ³ ʔ ɲ ã ³	t a s ũ	ⁿd i + θʲ ã ʔ ã	ð ĩ ʔ ã	ʒ a ʔ a	ʃ ĩ ʔ j ã	ʃ i ⁵ ʔ ɲ a ¹	t a ð ũ	s i + tʃ i l u	ʒ a ³ ʔ a	tʃ i ⁵ + ʒ a ⁵ ʔ a ¹	t a ³ s u ʔ	s i + ð ĩ ʔ ã	ʃ i ⁵ ʔ ɲ a ³	t a ¹ ð u ¹		t a ¹ s u ⁵ ʔ u ⁵	ʃ i ⁵ ʔ ã ³	t a h i + j a ʔ a		ts i + ð ĩ ʔ ã
208_muroidmouseorrat	t i ³ ʔ ĩ ³	t ĩ ¹ ĩ ⁵			t ɨ ³ ɲ i ⁵					t i ¹⁵ ĩ ³				tⁿ i ¹ ɲ i ³				t ɨ ³ ɲ ɨ ⁵			ʃ u ³ + t u ³²												ʃ + t ɨ ¹ ɲ ɨ ¹	t ɨ ³ ɲ ɨ ⁵																																											t i + ʔ u ⁵¹ ð i ¹																													t i ¹⁵ ĩ ³				
209_nixtamal	ts a ⁵ ʔ a ⁵	ʃ a ⁵ ʔ a ⁵	ʃ a ⁵ ʔ a ²		x a ⁵ ʔ a ⁵					ʃ a ⁵ ʔ a ³			ts a ³ ʔ a ⁵	ⁿd a ¹ k u ³	ʃ a ⁵ ʔ a ³			n u ɲ i + s a ʔ a			n i ³ j a h ³²		ⁿd a ¹ k i ⁵											n u ¹ ɲ i ¹ + ts a ³ a ³ ʔ a ⁵										ʃ a ⁵ ʔ a ³	ɕ a ⁵ ʔ a ⁵		n i ³ j a h ²																														β e ¹ j e ¹					tʃ a ³ ʔ a ⁵																					ʃ a ⁵ ʔ a ³		ʃ a ⁵ ʔ a ³	ʃ a ⁵ ʔ a ²				
20_crosssexsibling	kʷ a ³ ʔ a ¹	k i ¹ ʔ β a ¹			kʷ a ¹ ʔ a ³					k u ¹ ʔ β a ³				k u ¹ ʔ β a ³	k o ¹ ʔ β a ³			k u ¹ ʔ β a ³			ʒ u ³ w e h ³		k i ¹ ʔ o ³					kʷ a ¹ ʔ a ³		kʲ a ¹ ʔ β a ³	k u ¹ ʔ a ³			k u ³ ʔ β a ³	ʂ a ʔ w i h ³²	k u ⁵ ʔ a ⁵								k o ¹ ʔ β i ¹	k o ¹ ʔ β a ³		tʃ i ³ k o ³ ʔ o h ³						kʷ a ¹ ʔ a ³					kʷ a ¹ ʔ a ³			kʷ a ʔ a	k u ʔ w a	k i ¹ β a ³														k ʔ a ⁴ β ʔ a ⁴	k u ⁵ ʔ a ¹																	kʷ a ³ ʔ a ³				kʷ a ¹ ʔ a ³		k u ¹ ʔ β a ¹		k u ³ β a ³		k u ¹ ʔ β a ³	k u ¹ ʔ β a ³	kʷ a ¹ ʔ a ³			
210_post	s i ³ ʔ ĩ ¹		s ĩ ʔ ĩ	s ĩ ʔ ĩ		s i ʔ i	ð ĩ ʔ ĩ	s ĩ ʔ ĩ	ʃ e ʔ e	s i ¹ ʔ ĩ ¹	ʈʂ i + ð ĩ ʔ ĩ	s ĩ ʔ ĩ		s i ³ ʔ ĩ ¹	s i ¹ ʔ ĩ ¹	s ɨ̃ ʔ ɨ̃	h ĩ ʔ ĩ	s ɨ̃ ʔ ɲ ɨ̃	s ĩ ʔ ĩ		d u ³ gʷ ã ʔ ³ ã h ⁴	ð ĩ ʔ ĩ	ð i ³ ʔ ĩ ¹	n ũ + ð ɨ̃ ʔ ɨ̃		ð ɨ̃ ʔ ɨ̃	s ĩ ʔ ĩ		s ĩ ʔ ĩ			h ĩ ʔ ĩ	tʃ e ʔ e	s ɨ ⁵ ʔ ɨ̃ ¹			s ĩ ʔ ĩ	s ĩ ʔ ĩ	n̥ n ũ + ð ɨ̃ ʔ ɨ̃	ð ĩ ʔ ĩ		s ɨ̃ ʔ ɲ ɨ̃	s ĩ ʔ ĩ	s i ³ ʔ ĩ ¹	s i ¹ ʔ ĩ ¹	θ ĩ ʔ ĩ	t u ³ kʷ a ⁴ ʔ ə̃ h ⁴	s ĩ ʔ ĩ	ð ɨ̃ ʔ ɨ̃	t i + s ĩ ʔ ĩ	t i + θ ĩ ʔ ĩ	t i + ð ẽ ʔ ẽ	s ɨ ³ ʔ ɨ ³	ð ɨ̃ ʔ ɨ̃	s ĩ ʔ ĩ	s ĩ ʔ ĩ	t i + ð ẽ ʔ ẽ	s ĩ ʔ ĩ	ð ĩ ʔ ĩ	t u + tʃ a ʔ a			t i ¹ h ĩ ¹	s ĩ ⁵ ʔ ĩ ¹	ts e ʔ e	n ũ + ð ɨ̃ ʔ ɨ̃	s ɨ̃ ʔ ɲ ɨ̃		s ĩ ʔ ĩ	s ɨ̃ ʔ ɨ̃	s ɨ̃ ʔ ɨ̃	t u + s a ʔ a	t i + ð ẽ ʔ ẽ	ð ĩ ʔ ĩ	t u + tʃ a ʔ a	s ĩ ʔ ĩ	j i ³ ⁿg ɑ ³ ʔ ɑ ³	ð ɨ̃ ʔ ɲ ɨ̃	s ɨ̃ ʔ ɨ̃ ɲ ɨ̃	s ɨ ³ ʔ ɨ̃	s ĩ ¹ ʔ ĩ ¹	s ĩ ʔ ĩ	ð ẽ ʔ ẽ	ð ĩ ĩ	t u + ð ĩ ʔ ĩ	ð ẽ ʔ ẽ	s ɨ̃ ʔ ɨ̃	s ɨ̃ ʔ ɲ ɨ̃	s i ʔ i	s ɨ̃ ¹ ʔ ɨ̃ ⁵	s ĩ ʔ ĩ	θ ĩ ¹ ʔ ĩ ¹	t ĩ ʔ ĩ	n ũ + ð ɨ̃ ʔ ɨ̃	β i ³ t u ¹	s i ⁵ ʔ ĩ ¹	ð ĩ ʔ ĩ	ð ĩ ʔ ĩ		s ĩ ʔ ĩ	ⁿd u ¹ j u ¹	ð ĩ ʔ ĩ	s i ³ ʔ ĩ ¹	ð ĩ ¹ ʔ ĩ ³		t u ⁵ + s i ¹ ʔ ĩ ¹	s i ¹ ʔ ĩ ¹	h ĩ ¹ ʔ ĩ ¹		ð ĩ ʔ ĩ
211_raccoon	m a ³ ʔ ã ¹	j i ³ i ³ + m a ³ t o ⁵ ʔ õ ³								m a ⁵ ʔ a ¹				m a ³ ʔ a ¹	m a ⁵ ʔ a ³			t u + m a ʔ ã		k a g u	g u ³ j u h ³		m a ⁵ ʔ a ¹										t ɨ ⁵ + m a ¹ ʔ a ⁵		k a ʔ u h ³									m a ⁵ ʔ a ¹	m a ³ ʔ a ¹		kʷ i ⁴ j u h ⁴																m a ³ a ³														j ʔ u ¹ β i ¹ + j ʔ a ⁴ n a ¹					m a ¹ ʔ a ⁵														t i ³ + m a ³ ʔ a ³					t i ¹ + m a ³ ʔ a ⁵		i ⁵ ĩ ³			t i ¹ + m a ⁵ ʔ a ²	m a ⁵ ʔ a ¹			
212_smallplural		kʷ a ⁵ l i ⁵		kʷ a ³ tʃ i ⁵	kʷ a ⁵ tʃ i ⁵					β a ⁵ l i ⁵			kʷ a ⁵ tʃ i ³	kʷ e ⁵ tʃ i ⁵									kʷ a ⁵ l i ⁵							β a ⁵ l i ⁵	kʷ a ³ t i ³		kʷ e ¹ tʃ i ¹			kʷ e ¹ tʃ i ⁵								l o ³ ʔ o ³	β a ⁵ l i ⁵								kʷ a ⁵ tʃ i ⁵					kʷ e ⁵ tʃ i ¹			kʷ e l i															kʷ a ¹ t i ¹	ʔ a ⁴ j a ⁵¹					kʷ a t i						kʷ a ¹ tʲ a ¹ a ¹							kʷ a ⁵ tʃ i ⁵						kʷ a ³ l i ³ ʔ		s a ³ β a ³ + β a ³ l i ³		β a ⁵ l i ⁵	β a ⁵ l i ⁵				
