Cognate_ID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
357 358_239_breathe	s ɔ ʔ ⁵³ + ʃ ɛ t ³¹		s ɔ ʔ ⁵³ + ʃ ɛ ³¹	s ɔ ʔ ⁵⁴ + ʃ ɛ ³¹			s ɔ ʔ ⁵⁴ + ʃ e ³¹
359_240_whistle				n a̰ ḭ t ⁵⁴			n ʊ̰ t ⁵
35_24_river	l a ŋ ³²	l a ŋ ⁵²	l a̰ ŋ ³¹			kʰ y/j ŋː/ŋ	l a ŋ ³¹
36 37_25_sea			b a ŋ ²³ + l ai ³²	b a ŋ ³ + l ai ³²		p a ŋ + l ai	b a ŋ ³ + l ai ³¹
360_241_suck	dʒ ɔ̰ p ⁵³		dʒ u/w ɛ p ⁴²	dʒ a̰ p ⁵⁴	s a ʔ ³¹	ts u p	tʃʰ u p ⁴³
361_242_lick	d j ɔ ʔ ³¹		j ɔ̰ ʔ ³²	j ɔ ʔ ³²		h l j a k	j ɔ ʔ ³²
362_244_laugh	j i ³¹	ɣ ḭ ²³	j ḭ ³¹	ɣ i ²	ɹ i ʔ ⁵⁵	r ai	β w i ³
363_245_speak	t a̰ ḭ ʔ ⁵³	t ḭ ²³	d a ŋ ²				d a ŋ ⁴³
364_245_speak				dʒ au ²		tsʰ u/w i	
365 366_246_tell	t a̰ ḭ ⁵³ + g j ɔ ⁵		d e ʔ ³¹ + g j ɔ ³	d a ⁴³ + g j ɔ ³²			
367_247_shout	k a̰ ḭ ʔ ⁵³						g ə ³
369 370_248_answer			d u/w ɛ m ³² + d e ʔ ³²	d u k ⁵ + d a ⁴³			
369_248_answer					tʰ u ³¹		t a̰u ³¹
371_248_answer	pʰ u k ⁵³					pʰ r euˀ	
372_249_lieorfib			m au ʔ ³¹	m o̰ k ⁵⁴			m a̰u ⁵²
373_250_sing	tʃʰ u ŋ ⁵			tʃʰ æu ŋ ⁴³			
374_250_sing		k j ḛ ʔ ³	kʰ oi ⁴³				
375_251_think	ŋ a̰ m ⁵³		m j e ³²	m i t ³			m ɪ t ³
376_252_know	s ɛ ʔ ⁵³	s j ɛ ²³	s ɛ ʔ ⁵²		ʃ i	s iˀ	s e ⁵³
377 378_253_forget	t ɔ̰ ⁴⁵ + n j ḛ k ⁵²		d ɔ ³⁴ + m j ɛ̰ ʔ ⁵²	t o̰ ʔ ⁵ + m ḭ t ⁵⁴			t ɔ̰ ⁵⁴ + m ḭ ⁵³
379 380_254_choose			kʰ j e ⁴³ + j u ³¹	kʰ ɪ n ⁴³ + j u ³		kʰ j ai + r w eː	
379_254_choose	kʰ j ɛ n ³						kʰ ɪ n ⁴²
38 39_26_earthorsoil		ts ai ²³ + m i ³	dʒ o ŋ ⁵¹ + m j ḛ ⁵³			tsʰ i + m r e	d z ɛ ³¹ + m i t ⁵
381 382_255_love	dʒ ɛ t ⁵⁴ + d a p ³¹			dʒ i t ⁵ + d e ³²			
383_256_hate			ʔ a ²				ʔ a ²
384_257_wait	l a ŋ ⁵		l a ŋ ³				l a ŋ ³⁴
386_258_count	s u/w a n ³		s oe ³				
387_258_count		ŋ w ɛ̰ ʔ		ŋ ḭ ʔ ⁵			ŋ a̰ p ⁵⁴
388_259_afraid	g j u k ⁴²		g j o k ³²	g j æu ʔ ⁴³		k r au k	g j u ʔ ³²
389 390_260_angry	n a̰ ḭ ⁵³ + j ɔ̰ ³²	n a̰ k ⁵² + j a ⁵²	n ə k ³² + j ɔ ²¹	n a̰ k ⁵⁴ + j o ³⁵			n ɪ k ⁵ + j ɔ ⁵¹
391_261_sleep	j ɛ̰ t ⁵³	j a̰ p ³	j ø p ⁴²	j a̰ p ⁵	ʔ ai ʔ ³¹	ʔ i p	j ṵ p ⁵
392_262_snore			n j ɔ̃ ³¹	m j a ŋ ³			
393_262_snore						h au k	kʰ ɔ k ³²
394_263_dream	m ɔ ʔ ³¹	m a ⁵²	m ɔ ʔ ²¹	m o ʔ ³²	m ʊ ʔ ³¹	m a k	m ɔ ʔ ⁵²
395_264_painful	n ɔ ³¹		n o ²³	n o ²³	n a ʔ ⁵⁵	n a	n ɔ ³¹
396 397_265_medicine	m ɛ ³ + tʃʰ ei ⁵	m a̰ ³ + tʃʰ ə ²³	m ə ³ + tʃʰ e ⁵	m ə ² + tʃʰ i t ⁵⁴			
397_265_medicine					ʃ i ʔ ³¹	tsʰ eː	tʃʰ i ³¹
398_266_itch	j ɔ ³		j ɔ ³²		j a ³¹	j aː	j ɔ ⁵³
399_267_scratch	k j ɛ̰ n ³		g j ẽ ŋ ³²	g ɪ n ⁴¹		kʰ r a ts	g i n ³¹
39_26_earthorsoil				m i ʔ ³	m j i ⁵⁵		
3_2_sun	p u/w i ³¹	p u/w i ³	b e ⁵¹	b a ³¹		p au ŋː/ŋ	b u/w i ³
4 5_3_moon	l a̰ ⁵ + m ṵ ⁵	l ḛ ²³ + m ə ⁵²	l a ⁵ + m ɔ ⁵³				l ə ⁴ + m ɔ ⁴
40 41_27_mud	tʰ ɔ m ⁵ + b ɔ p ⁴³		tʰ ø m ⁵ + b ø p ²¹	tʰ a m ³² + b a p ³²			
400_268_shiver	n a n ³¹	n e ²³	n ãɪ ⁴	n ɪ n ⁵⁴			n a̰ n ³
401_269_die	ʃ ei ³		ʃ e ³²	ʃ i t ⁵⁴	ʃ i ʔ ⁵⁵	s e	ʃ i ⁴³
402 403_270_ghost	s i ³ + d j ɔ ³¹		s ə ³ + b j u ³¹	s ə p ² + b j ɔ ³¹			ʃ ə ⁴ + b j ɔ ⁵¹
404_271_sit	d z o̰ ŋ ³	ts aː ŋ ³	d z o ŋ ²	d z au ŋ ³		tʰ u/w i ŋ	d z u ŋ ³¹
405_272_stand	j a p ³¹			j e ʔ ³	ɹ e ʔ ⁵⁵	r a p	j a̰ p ³¹
406_273_kneel	tʰ u k ⁵³		tʰ o ʔ ⁵³	tʰ au k ⁵⁴		tʰ au k	tʰ u ʔ ⁴³
407_274_walk	s u ⁵	ts o̰ ²³	s ɔ ⁴	s u ⁵			s ɔ ⁵²
408_275_crawl	d u ³	t a̰u ⁵²	d ɔ ²	d u ⁴²		t w aː	d ɔ ³²
409_276_come	l ɔ ³¹		l ɔ ³¹	l o ³	ɹ ʊ ʔ	l aː	l e ⁴³
410_277_enter	w a ŋ ³¹		w a ŋ ³¹	w a ³²	v ɹ o ⁵⁵	w a ŋ	
411_278_return			d ø m ³¹				d au
413_279_push	d u/w a n ³	ts a̰ n ²³	d u/w e n ³	d u m ⁵⁴		t w a nː/n	dʒ ṵ n ⁵
414_280_pull	l a ŋ ³	l õ ⁵²	l a ŋ ²			l uˀ	l a ŋ ⁵³
415_281_kick	tʰ ə ʔ ⁵³		tʰ ɨ ʔ ⁴²	tʰ au ŋ ⁴			
416_282_throw	d ɨu ⁴³						d u n ⁵³
417_282_throw			p j æ̰ p ⁵³	p j ḛ ʔ ⁵⁴		p j a ts	
418_283_fall	g j ɔ ⁴³	k j a ²³	g j ɔ ⁴	g j o ⁵		k j aˀ	
419_284_swim				kʰ e ʔ ⁵⁴		kʰ dʒʷ eː	
42 43_28_dust	pʰ ə ⁵ + l a̰u ⁵¹		pʰ ə ⁵ + l au ⁵¹				pʰ u/w i ² + l au ⁵³
420_285_float			m j ũ ³	m j u ŋ ⁵⁴		m j aːu	
421 422_286_sink				n a p ⁴ + w a ⁵⁴			m j u p ³⁴ + w a ŋ ³¹
421_286_sink	n j ɔ p ⁴¹	n a p ⁵²	m j o k ³²			h n a ts	
423 424_287_flow			j au ³¹ + n j ɛ ²¹	j o̰ k ⁵ + n a ⁴³			ʔ ʊ̰ t ⁵ + m j u/w i ²¹
423_287_flow	j au ³¹					k j aˀ	
425_288_give	d j e ³		b j e ³	p j i t ⁵⁴	p e ³¹	p eː	b i ⁵³
426_289_tie	d ṵ ḭ ⁵		d ɨ ⁵⁴	d ö/ø i ⁵			d u/w i ⁵³
427_290_wipe	b u/w a ³¹		b oe ʔ ³				
428_290_wipe				s a t ⁵⁴	ʃ w ai ʔ ³¹	s u t	s ʊ t ⁵⁴
429_291_ruborscrub	tsʰ a ʔ ⁴¹		dʒ oi ʔ ⁵			s w eː	
42_28_dust				b ə t ³		pʰ u t	
430_292_wash	tʃʰ ei ⁵	tʃʰ ə ²³	tʃʰ e ⁴³	tʃʰ i t ⁵⁴	ʃ e ³¹		tʃʰ i ⁵³
431_294_bathe	g u ŋ ⁴³		g o ŋ ³¹	g au ŋ ³¹		kʰ j u/w iː	g u ŋ ³
432_295_hit	b a t ³¹			b ḛ t ʔ ⁵⁴			
435_296_split	kʰ j a m ⁵⁴		kʰ ɔ ʔ ⁵²	kʰ o ʔ ⁵⁴		k a	kʰ ɔ ʔ ⁵
436_297_cuthair	tsʰ a m ³	x a m ³					
437_297_cuthair			n j æ̃ m ⁵⁴	m j æ ṵ k ⁵³			
438_298_stab	tʰ au ⁵		tʰ au ⁴	tʰ o ʔ ⁵		tʰ u/w iː	tʰ au ⁵²
439_299_grind		l u/w i ²³	l ə̰ ŋ ³²			k r a ɲ	
440_300_plant			d z o ŋ ⁴	d z a̰u ʔ ⁵³		ts u/w i k	
441_300_plant	x j ɔ ⁵						h ɔ ⁵³
442_301_dig	d u ³		d u ³	d au t ⁴	t u ³¹	t uː	d u ⁵³
443_302_burnedacorpse	n j ɔ̰ p ⁵²	n j æ̰ p ⁵²	n j ø p ⁵³	n j a̰ p ⁵	m j a ʔ ³¹	m r u p	m j ṵ p ⁵⁴
444_303_winnowrice				j a ⁴			p j a̰ ŋ ⁵³
446_304_todry	l a̰ p ⁴²		l æ̰ p ³²	l ḛ ʔ ⁵⁴			l a̰ p ⁵⁴
447_305_poundrice	tʰ u ŋ ⁵		tʰ o ŋ ⁴	tʰ au n ⁵	tʰ ɔ ŋ ³¹	tʰ au ŋː/ŋ	tʰ u ŋ ⁵³
448_306_cookrice	dʒ au ʔ ³¹	ts a̰ ʔ ⁵²	dʒ a ʔ ⁵³	d z ɔ ³²			d z a ŋ ³
449_307_boil	ts ṵ ʔ ⁵²		d z u ³²	d z a̰u ⁴		tsʰ u	dʒ ɔ ʔ ⁵⁴
44_29_stone	l u k ³	l au ʔ ²³	l o k ³	l au ⁴³	l o ʔ ³¹	k l au k	l u ʔ ³
450_308_burn	ŋ æ̰ ʔ ³¹		ŋ e ⁴	ŋ a ⁴⁵			n j ɛ̰ ⁵³
451 452_309_extinguish				s e ʔ ⁵⁴ + m i ⁴			s a t ⁵⁴ + m i ³
451_309_extinguish			s ai ⁵²			s e	
453 454_310_work	m u ⁵ + d z u/w i ³		m ɔ ⁵ + d z ɨ ²¹	m au ²⁵ + d z ö/ø i ⁵			m u ⁵ + d z u/w i ⁵³
455_311_play	l ɨ̰ ṵ ³	l i ²³	l u ³²				
456_312_dance	g ɔ ⁵		g ɔ ⁴	g o ³⁴	g a ³¹	k aˀ	g ɔ ³
457_313_shoot	b ai ʔ ³¹		b ə k ²	b a k ³²		p a ts	
458 459_314_hunt	ʃ o ⁵ + kʰ a t ⁵²		ʃ o ⁵ + kʰ a̰i ʔ ⁵¹				ʃ ɔ ³ + kʰ a t ⁵⁴
458_314_hunt		s u ⁵²		ʃ ɪ ⁵⁴	tsʰ o		
46 47_30_sand			tʃʰ o ³¹ + m j ḛ ⁴³	tʃʰ ö/ø ³¹ + m a ³²	ʃ e + m u		
460 461_315_kill				s ḛ ʔ ⁵⁴ + p j ḛ ⁵⁴		s a t + pʰ j a k	
460_315_kill	s a t ⁵²	s ḛ ʔ ⁵²	s a̰i ʔ ⁴²		ʃ i ʔ ⁵⁵		s a t ⁵
462_316_fight		p ḛ ʔ ²³	p j æ̰ p ³¹				b j ɔ ʔ ³
463_317_but	w i ³¹	v e ³	ɣ ɨ ³¹	w ai ³	w i ʔ ⁵⁵	w ai	β w i ³
464_318_sell	ʔ u ŋ ⁵	ʔ a ŋ ³	ʔ õ ŋ ⁵⁴	ʔ au n ⁴	ɹ ɔ ŋ ³¹	r au ŋː/ŋ	ʔ ṵ ŋ ⁵³
465 466_319_exchange						pʰ ai + h l ai	tʰ ai ⁵⁴ + l u m ⁵³
465_319_exchange	tʰ ai ʔ ³¹		tʰ e ⁵³	tʰ a ⁴³			
468_320_pay	d j ei ³					p eː	b i ⁵³
469_321_steal	kʰ au ⁵		kʰ au ³	kʰ o ʔ ⁵⁴	kʰ o ³¹	kʰ u/w iː	kʰ au ⁵²
470 471_322_oneperson	d ai ³ + j u k ³²		d ai ³ + j o k ³²	d e ³ + j æu ʔ ⁴²		t a ts + j au k	
470_322_oneperson		t a ⁵²			t o ʔ ³¹		
472_323_twopeople	ʔ ai ⁵³	j ḭ ²³	ʔ ə k ⁵³		h ai ʔ ³¹		ʔ i ⁴⁵
473_324_threepeople	s ɔ m ⁵³	s a m ³	s ɛ m ³	s a m ⁴²	ʃ a ŋ ³¹	s u mː/m	s u m ³²
474_325_fourpeople	n j ei ³	m i ⁵²	m j e ⁴		ɲ i ³¹		m i ³²
475_326_fivepeople	ŋ ³	ŋ a ⁵²	m ³	ŋ ɔ ³⁵		ŋ aː	ŋ ɔ ³²
476_327_sixpeople	kʰ j u k ⁵³	kʰ j au p ⁵²	kʰ j o k ⁵³	kʰ j æu k ⁵⁴	k ɔ ŋ ⁵⁵	kʰ r au k	kʰ j u ʔ ⁵³
477_328_sevenpeople	n j ɛ̰ ⁵³	n a̰u t ⁵²	n j ẽ ʔ ⁵³	n a̰ ḭ ʔ ⁵⁴		h n a ts	n j ɪ̰ t ⁵
478_329_eightpeople	x j ɛ ⁵³	ʃ ɛ t ⁵²	ʃ e t ⁵³	ʃ ö/ø ʔ ⁵			ʃ ɪ̰ t ⁵
48 49_31_limebetel	ʃ ə ⁴³ + h u/w i ⁵		ʃ o ⁵³ + h ḛ i ⁴²				tʃʰ ɔ ³² + h u/w i ³
480_330_ninepeople	g au ³⁴	k au ⁵²	g au ³	g o k ⁴³		k u/w iː	g au ³²
481_331_tenpeople	tsʰ i ³	tʰ ai ³	tsʰ e ³	tsʰ e ⁵³	c a t ⁵⁵	tsʰ ai	tsʰ e ⁵³
482_332_hundredpeople	x j ɔ ³		ʃ o ⁴²		j a ʔ ⁵⁵	r a	ʃ ɔ ⁵³
483_333_thousandpeople					h e ŋ ⁵⁵		h i ŋ ⁴⁵
484_333_thousandpeople	kʰ j ɨ ŋ ⁵⁴		kʰ ə ŋ ⁵³	kʰ i ŋ ⁵⁴			
485 486_334_manypeople	n j ɔ ³⁵ + ʃ ɔ ³⁵		m j õ ³⁵ + ʃ ɔ ʔ ⁵³				
485_334_manypeople		m j a ⁵²		m j ɔ ⁴⁵		m j aː	m j ɔ ³
487_335_all	ŋ a n ⁵		ŋ ãɪ ²⁴				
488_336_some	j a m ⁵		j æ̰ m ⁴			ʔ ə	ʔ a̰ m ³¹
489_337_few	m a̰u ⁵			m o ³²			
490_337_few			dʒ i t ⁵				dʒ ɪ̰ t ⁵
491_337_few					n e ³¹	n a	
492 493_338_half	g ɔ ⁵ + j i ⁵		g ɔ ³ + j i ³	g au ŋ ³ + ɣ i ³⁵			
494_339_big	g u ⁵⁴	k o̰ ²³	g e ³	ɣ i ³⁵	tsʰ i ³¹	k r iː	k ɔ̰ ⁵³
495_340_small	ŋ i ³¹	ŋ ai ³	ŋ e ³¹	ŋ ai ²³	ŋ j i ⁵⁵	ŋ ai	
496_341_long	x j e ŋ ³	x a ŋ ²³	ʃ j ə ŋ ⁴³	x a ŋ ³	x r ai ŋ ⁵⁵	h r a ɲ	h ɯ ŋ ⁴³
497_342_shortlength						t u t	d ɔ t ⁵⁴
498_342_shortlength	d j u ŋ ³	l a ŋ ²³	l ə ŋ ⁴	l a ŋ ³⁴			
499_343_tall	n j a̰ ŋ ³	m j ṵ̃ ³	m j ã ŋ ³²	m j a̰ ³		m aː	m j a̰ ŋ ³¹
4_3_moon				l o̰ ⁴³	l a ³¹	l aˀ	
500_344_shortheight	n j æ̰ n ⁴¹	n j a̰ p ⁵²	n j u/w ɛ̃ m ³²	m j a̰ m ⁵		n i mˀ	j ṵ m ⁴³
501_345_thick	tʰ ɨu ³		tʰ u ³²	tʰ au ³	tʰ u ʔ ⁵⁵	tʰ u	tʰ u ⁴³
502_346_thin	b u ³		b o ³	b o ³	p a ³¹	p aː	
503_347_fat	tsʰ ɨu ³		tsʰ u ³²	tsʰ au ³²		tsʰ u	tsʰ u ⁴³
504_348_skinny	g j i ⁵		g i ⁴				g i ⁴³
505_349_wideorbroad	l a m ³¹	l ẽ ²³	l æ̰ m ³¹	l e ²			l a m ³²
506_350_narrow	d z ə ³¹	ts ḛ ʔ ⁵²	dʒ æ p ⁵³		ʃ a ŋ ⁵⁵	k r a ɲ	dʒ a p ⁵⁴
507_351_deep	n ɔ ʔ ³²		n ɔ̃ ʔ ³	n o ʔ ⁴³	n ʊ ʔ ³¹	n a k	n ɪ k ³²
508_352_shallow	b u ³¹		b ɔ ⁴			p a k	
509_353_round	l ai ⁵	l a ŋ ²³	l ə ŋ ⁴		l a ŋ ³¹	l u mː/m	l i ŋ ³²
50_32_gold	x j e n ³	x a ŋ ³	ʃ ə ŋ ⁵²	x a ŋ ⁴²	ʃ ai ŋ ⁵⁵	h r w e	h ɯ ŋ ⁵³
510_354_full	d j e ŋ ⁵		b j ə ŋ ⁴	b j a ŋ ³⁴	p j ai ŋ ³¹	p r u/w i ŋː/ŋ	b i ŋ ³⁴
511 512_355_rightside	l ɔ ʔ ⁴³ + j ɔ ⁴²		l ɔ̰ ʔ ³ + j u ⁴²	l o ʔ ³ + j o ³²		l a k + j a	l ɔ ʔ ³ + j ɔ ³¹
513_356_leftside			g o ŋ ⁵	k au ŋ ³			
514_356_leftside	w i ³⁴					w a	
515_357_straight	d a n ³		d ai n ³	d ɪ n ⁴		t a ɲː/ɲ	d i ŋ ⁴
516_358_far	w ɛ ³	v e ⁵²	w e ²	w a ³⁴	w e ³¹	w eː	v e ⁵³
517_359_near		ts õ ²³	dʒ a ŋ k ⁵³	dʒ a ³⁴			dʒ a̰ ŋ ⁵³
518_359_near	n i ³				n e ³¹		
519_360_this	h ai ³				h ai ŋ ⁵⁵		
51_33_silver	ŋ u/w i ⁴²	n u/w i ³	ŋ ⁵²	ŋ oi ⁴²		ŋ w e	ŋ u n ³¹
52 53_34_iron			d ɔ ʔ ⁵² + dʒ ɔ ʔ ³	t o̰ ʔ ⁵⁴ + dʒ o ʔ ³²			
520_360_this		tʃʰ ḛ ³		tʃʰ e ⁴¹			ʃ i ⁵³
521_361_that	h au ³		h au ³	ʔ ai ³¹	h ʊ n ⁵⁵	h u/w i	h e ⁵³
522_362_black	n ɔ ʔ ³¹	n a ʔ ⁵²	n ɔ̃ ʔ ³	n o ʔ ²¹	n u ʔ ³¹	n a k	n ɔ ʔ ³
523_363_white	tʰ j ɨu ³	pʰ j u ³	pʰ j u ⁴³	pʰ j u ³	pʰ j u ʔ ⁵⁵	pʰ r u	pʰ j u ³²
524_364_red	n ɛ ³¹	n ẽ ³	n e ³¹	n e ³	n ɛ ³¹	n i	n e ³²
525_365_green	n j æu ³¹	n j ṵ ŋ ³	n j au ³¹	n j o̰ ʔ ⁴²		n j u/w i	n j u/w i ³²
526_366_yellow		p a ²³	b ɔ ⁴	b o ³⁵			
527_367_dirty			tʃʰ ɔ ʔ ⁵³				tʃʰ a ⁵
528_367_dirty		l u ²³		l a̰ k ⁵³			
529 530_368_new	ʔ a ³ + s ai k ⁵⁴		ʔ a ³ + s ə k ⁵³	ʔ a ² + s a k ⁵		ʔ ə + s a ts	ʔ ə ³ + s ɪ k ⁵⁴
52_34_iron	tʰ j ɛ ʔ ⁴²	t a̰ ʔ ⁵²					
531_369_old	tsʰ au ⁵		tsʰ au ³	tsʰ o ʔ ⁵⁴			
532 533_370_dark			tʃʰ oi ʔ ⁵³ + m au ²				tʃʰ u t ⁵⁴ + m a ³²
534_370_dark				n o ʔ ³⁴	ɲ o ⁵⁵		
535_371_bright	b a ŋ ³¹		b a ŋ ³¹	b o ³⁴		p aˀ	b ɔ ³
536_372_same	d e ³		d u ³¹	d au ³		t u	ts ṵ ŋ ⁵³
537_373_different			g ə ⁵	g ə ²		kʷ a	
538_374_sweet	tʃʰ au ³		tʃʰ au ³¹	tʃʰ o k ⁵⁴	ʃ w a ⁵⁵	kʰ j u/w i	tʃʰ u/w i ⁵³
539_375_sour	dʒ j ɛ n ³		dʒ e ŋ ³²	dʒ ɪ n ³²	ʃ ei ⁵⁵	kʰ j a ɲ	dʒ ɪ n ³¹
540_376_bitter	kʰ ɔ ⁵	kʰ a ²³	kʰ ɔ ⁴	kʰ o ⁵	kʰ a ³¹	kʰ aː	kʰ ɔ ⁵³
541_377_spicy			pʰ j ə k ⁵³	j a k ³		p r a ɲˀ	pʰ j ɪ k ⁵
542_378_rotten	b u/w ɔ p ³¹		b u/w ɛ p ²	b a p ³⁴		p u p	b ʊ p ³
543_379_swell	j a m ³		j æ̰ m ³			r a mː/m	
544_380_dry	k j ṵ k ⁵⁴		k j o̰ ʔ ⁵³	k j a̰u ʔ ⁵³	x o ʔ ³¹	kʰ r au k	k j ṵ ʔ ⁵⁴
545_381_wet	dʒ u/w ɛ ʔ ⁵²		dʒ ø m ³²	dʒ o ⁵		tsʷ a t	
546_382_hot	ŋ ɛ ⁵						n j ɛ ³²
547_382_hot			l o ŋ ⁵¹	l au ŋ ³		l au ŋ	
549_383_cold	dʒ a m ³		dʒ æ m ⁵⁴				
54_34_iron					s e ⁵⁵	s a m	
550_384_sharp	d z u ʔ ³¹		tʰ ɔ ʔ ⁵²	tʰ o ʔ ⁵⁴	t u ʔ ³¹	tʰ a k	tʰ ɔ ʔ ⁵⁴
551_385_blunt	d u/w a m ³					t u mː/m	
552_386_heavy			l e ³²	l a ⁵		l eː	l ai ⁵³
553_387_hard	tʰ a n ³		tʰ ãɪ ²				tʰ a n ³²
555_388_smooth				j æu ŋ ⁴		l j a ɲ	ɹ a ³
556_389_fast	n j a p ⁴²		m j æ p ³				
557 558_390_slow		t a ⁵² + j e ³	d z ɔ ⁴⁵ + ɹ ɛ ⁵³				
557_390_slow	d z ɔ ⁵					tsʰ eː	
559 560_391_strong	j ɔ m ³ + b ɔ ³¹		j ɛ m ²³ + b ɔ ⁵¹	ɣ a m ³ + b o ³			v u m ³ + b ɔ ³¹
55_35_mountain	b u/w ɔ m ³¹	p a m ²³	b ɛ m ⁵¹	b a m ³¹			b u m ³¹
56 57_36_cave	l u k ³² + kʰ j u ŋ ³²						l ʊ p ³ + kʰ j u ŋ ⁵³
56 58_36_cave			l o ʔ ³⁴ + ʔ o ʔ ⁵³	l au k ³² + ʔ a̰u k ⁵			
561_392_weak	n ṵ k ⁵³		n ə ŋ ²	n e ⁵		n a nː/n	n j ɔ̰ m ⁵³
562_393_tired	n j u ŋ ³		m j o ŋ ³	m j æu ŋ ⁴⁵	ŋ ɔ ³¹	m r a ŋ	m j u ŋ ⁵³
563_394_blind	dʒ ɛ t ³¹		dʒ e ⁴⁵	dʒ i t ⁵³	sʰ i ³¹		dʒ ɪ t ³²
564_396_bald	l a ³					p r au ŋ	
567_397_naked	tʃʰ j ɛ n ³		tʃʰ e n ³²	dʒ ɛ̰ t ⁵			tʃʰ ɪ n ⁵³
568_399_good	g i ³¹		g e ³¹	g ai ²	k ɔ ŋ ³¹	k au ŋː/ŋ	g e ³¹
569 570_402_when	kʰ a ⁴ + n a̰ m p ⁵²		kʰ a ²⁴ + n æ̰ p ⁴²				kʰ ə t ⁴³ + n a̰ m ³²
569_402_when				kʰ ö/ø ⁵		k aˀ	
571_403_where			m ɔ ²¹			h m a	
572_403_where	d j e ³			d au ⁵¹			
573_404_who	h a ŋ k ⁵⁴	kʰ a k ³					
575_405_what	tʃʰ a ³		tʃʰ ɛ ⁵³				
577_406_howmany	n j ɔ̰ ʔ ⁵³					h n aˀ	
62 63_38_tree		s a k ⁵² + kʰ i ³	s ə k ⁵⁴ + g a m ³¹	s a k ⁵ + g e ⁴¹			s ɪ k ⁵ + g a m ⁵³
62_38_tree	s ai ʔ ⁵				ʃ ai ʔ ³¹	s a ts	
64_39_branch	k ɔ̰ ³¹		g o ŋ ³	g ɔ ŋ ³¹	kʰ o ³¹	k u/w i ŋː/ŋ	k ɔ ʔ ⁵⁴
65_40_bark	k ṵ k ⁵⁴		g o k ⁵³	k a̰u ʔ ⁵⁴	kʰ u/w e ⁵⁵	kʰ au k	k ṵ ʔ ⁵
66_41_thorn	d z u ³⁴		d z u ⁴	d z au ⁴	sʰ u ³¹	tsʰ uː	d z u ³¹
67_42_root	n j ɛ t ³²				m j ai ʔ ³¹	m r a ts	m ɪ t ⁴³
68_42_root		k i ⁵²	g i ²	g i ²			
69_43_leaf	h u ʔ ⁵	f a ʔ ⁵²	f o ʔ ⁵³	f o ʔ ⁵			h a ʔ ⁵
6_4_star	g i ²	k ḭ ³	k ḭ ⁵³	g i ⁵²		k r ai	k ḭ ⁵³
70_44_flower	p a n ³⁴	p j e ⁵²	b ai n ⁴	p ḛ n ⁴	p ɛ ³¹	p a nː/n	b a n ³²
71_45_fruit	ʃ i ⁵		ʃ i ⁴	ʃ i ⁴³	ʃ i ³¹	s iː	ʃ i ³¹
72 73_46_seed	ʔ a ³² + dʒ ei ⁵⁴			ʔ a ³ + dʒ i t ⁴⁵		ʔ ə + ts eˀ	
72 74_46_seed			ʔ a ³ + ʃ i ⁵		ʔ a + s i ³¹		
75_47_grass	m a̰ n ²⁵	m ḛ ²³	m j ɔ ʔ ²	m j o ʔ ²⁴	m j o ʔ ³¹	m r a k	m j ɔ ʔ ³¹
76_48_bamboo	w u ³⁴		w ɔ ³	v o ⁴	w a ³¹	w aː	w a ³¹
77_49_bambooshoot	n j i ʔ ⁴		m j u k ³	m a̰ k ⁴²	m ai ʔ ³¹	m r a ts	n i k ³²
78_50_mushroom	m au ³¹		m au ³¹	m o k ⁴³	m u ⁵⁵	h m u/w i	m ai ³
79_51_rattan	g j ɛ n ⁴²		g j ɛ m ⁵¹	ɣ a m ⁵¹		k r i m	g a m ⁵³
7_5_cloud	dʒ ə ³²	ts a̰ m ³	dʒ ɛ ⁵³	dʒ a̰ m ³¹		t i m	d u m ⁴²
80 81_52_kapok			l a ³² + b æ m ³¹	l ə ² + p ḛ ⁴²		l a k + p a m	l ə ² + b a n ⁵³
82 83_53_sugarcane	pʰ ɨ ŋ ⁵ + tʃʰ au ³		pʰ ə ŋ ⁴⁵ + tʃʰ au ³¹	pʰ au ŋ ⁴ + tʃʰ u k ⁵⁴	p j o + ʃ u ⁵⁵		pʰ u ŋ ³ + tʃʰ u/w i ⁵³
84_54_betelnut	tʃʰ a ³		tʃʰ a ⁵⁴				
85_55_opium						h b i nː/n	pʰ ɛ n ³
86_56_liquor	j ei ³		j eː ŋ ⁴	ʔ ḭ ʔ ⁵⁴		r a k	ʔ i ⁵
87 88_57_banana	ŋ ɔ ʔ ³ + n j ṵ k ³⁵		ŋ ɔ ³ + m j o k ⁵⁴	ŋ o ʔ ³ + m j æu ʔ ³²			ŋ ɔ ⁴⁵ + m j u ʔ ⁵³
87_57_banana					ŋ u ʔ ³¹	h ŋ a k	
89 90_58_papaya	s a ŋ ³ + pʰ ɔ ³		s a ŋ ⁵⁴ + pʰ ɔ ʔ ³	s a ŋ ⁵² + pʰ ɔ ⁵²		s a ŋ + h b aːu	s e ŋ ⁴ + pʰ ɔ ⁵⁴
8_6_mist			ŋ ãɪ ³			h n a ŋː/ŋ	ŋ a̰ n ⁵³
91_61_coconut	ʔ u n ³¹			ʔ ʊ n ⁴²	ʔ ʊ n ³¹	ʔ u nː/n	ʔ ʊ n ⁵³
