Cognate_ID,Beijing,Changsha,Chengdu,Fuzhou,Guangzhou,Guilin,Haerbin,Jinan,Jixi,Loudi,Meixian,Nanchang,Nanjing,Rongcheng,Suzhou,Taiyuan,Wenzhou,XiAn,Xiamen
13_dust,ʈʂʰ ə n ³⁵ + tʰ u ²¹⁴,f ei ³³ + ts ə n ¹³,ts a ⁴⁵ + ts a ⁵⁵,u ŋ ⁵⁵ + n i ŋ ⁵³,f w i ⁵³ + tsʰ ɐ n ²¹,f ei ⁴² + ts ɤ n ²²,ʈʂʰ ə n ²⁴ + tʰ u ²¹³,tʰ u ⁴⁵ + l a ⁰,f a ⁵⁵ + tɕʰ j ɑ̃ ⁴⁴,x w e ⁴⁴,tsʰ ə n ¹¹,tsʰ ɛ n ²⁴ + tʰ u ²¹³,x w ei ³¹,x w ei ⁵²,h w e̞ ⁴⁴ + z ə n ¹³,tsʰ ə ŋ ²¹ + tʰ u ⁵³,b a ŋ ³⁴¹ + dz a ŋ ³⁴¹,ʈʂʰ ẽ ²⁴,tʰ ɔ ²⁴ + h u n ⁵³
140_earth,tʰ u ²¹³ + t i ⁵¹,tʰ əu ⁴¹ + t i ¹¹,tʰ u ⁵³ + t i ²¹³,tʰ u ⁵³ + l ɛi ²⁴²,tʰ ou ³⁵ + t ei ²²,tʰ u ²³ + t i ²¹,tʰ u ²¹³ + t i ⁵³,tʰ u ⁴⁵ + t i ³¹,tsʰ ɿ ³¹,tʰ ɤu ⁴² + d i ¹¹,tʰ u ³¹ + tʰ i ⁵³,tʰ u ²¹³ + tʰ i ⁴²,t i ⁴⁴,tʰ u ²¹³ + t i ³³⁴,d i ²³¹ + b i ¹³,tʰ u ⁵³ + t i ⁴⁵,tʰ øy ²⁴² + d ei ²²,tʰ ou ⁵³ + t i ⁴⁴,tʰ ɔ ⁵³ + t w e ²²
141_spit,tʰ u ⁵¹,tʰ əu ⁵⁵,tʰ u ⁵³,pʰ w oi ²¹²,tʰ ou ³³,tʰ u ²³,tʰ u ⁵³,tʰ u ³¹,tʰ u ²¹³,tʰ ɤu ⁴²,tʰ w i ⁵³,tʰ u ²¹³,tʰ u ¹¹,tʰ u ²¹⁴,tʰ əu ⁵²,tʰ u ⁵³,tʰ øy ²⁴,tʰ ou ⁵³,pʰ w i ²¹
142_push,tʰ w ei ⁵⁵,tʰ ei ³³,tʰ w ei ⁴⁵,tʰ j a ŋ ³²,tʰ øy ⁵³,tʰ ei ⁴²,tʰ w ei ⁴⁴,tʰ w ei ²¹⁴,tʰ a ⁵⁵,n ɤ n ³⁵,tʰ w i ³³,tʰ w i ⁴²,tʰ w ei ³¹,tʰ ei ⁵²,tʰ e̞ ⁴⁴,tʰ w ei ²¹,d ə ³⁴¹,tʰ w ei ²¹,t u ⁵⁵
143_leg,tʰ w ei ²¹³,tʰ ei ⁴¹,tʰ w ei ⁵³,kʰ a ⁵⁵ + l øy ³²,tʰ øy ³⁵,tɕ j ɑu ⁵⁵ + t u ²¹ + ts e ²³,tʰ w ei ²¹³,tʰ w ei ⁴⁵,tʰ a ²¹³,tʰ w e ⁴²,tʰ w i ³¹,tʰ w i ²¹³,tʰ w ei ¹¹,tʰ ei ²¹⁴,pʰ ɑ̃ ⁵²,tʰ w ei ⁵³,tɕ j a ⁴¹ + tɕ j a ⁴¹,tʰ w ei ⁵³,kʰ a ⁵⁵ + k u t ³²
144_dig,w a̠ ⁵⁵,w a ²⁴,w a ⁴⁵,w a ʔ ²⁴,w a t ³,w a̠ ⁵⁵,w a ⁴⁴,v a ²¹⁴,v a ʔ ³²,w a ¹³,v a t ¹,w a ⁴²,w ɑ ³¹,w a ²¹³,w a ʔ ⁴,v a ²¹,l au ⁴⁴,w ɑ ²¹,ɔ ⁵³
145_play,w a ³⁵,w a n ¹³,s w a ⁵³,h i ⁵⁵ + h j e ²¹²,w a n ²¹,s w a̠ ²³,w a ²⁴,v ə ⁵³,s ɿ ⁵⁵,s ɔ ⁴²,k au ³¹,w a n ⁴⁵,w ɑ̃ ¹³,w ɛ ³⁵,b ə ʔ ²³ + s j ã ⁴¹²,s w a ⁵³,s ɿ ⁴⁴,f ɑ ⁵³,tsʰ i t ³² + tʰ o ²⁴
146_night,w a n ²¹³ + ʂ ɑ ŋ ⁵¹,w a n ⁴¹ + s a n ¹¹,w a n ⁵³ + s a ŋ ²¹³,m a ŋ ⁵³ + m w o ⁵⁵,m a n ²³ + s œ ŋ ²²,j a̠ ²¹ + x a̠ ²²,w a n ²¹³ + ʂ a ŋ ⁰,v æ̃ ⁴⁵ + ʂ ɑ ŋ ⁰,i o ³¹ + x o ⁰,j ɔ ¹¹ + l i ⁰,a m ⁵³ + p u ³³,j a ²¹ + w a n ²¹³,w ɑ̃ ¹¹ + s ɑ̃ ⁴⁴,x ou ³³⁴ + ʂ ʅ ⁰,j ɑ ⁴¹² + l i ⁰ + ɕ j ã ⁴¹²,v æ̃ ⁵³ + s ɒ̃ ⁴⁵,ɦ w ɔ ³⁴¹ + ɕ y ⁴⁴,x ei ²¹ + l j ɛ ⁰,e ²² + h ŋ̍ ⁵⁵
147_tail,w ei ²¹³,w ei ⁴¹ + p a ⁰,w ei ⁵³ + p a ⁵⁵,m w oi ³² + m w oi ³²,m ei ²³,w ei ²³ + p a̠ ⁴²,w ei ²¹³ + p a ⁰,i ⁴⁵ + p a ⁰,v i ²¹³ + p o ⁵⁵,w i ⁴² + p a ⁰,m i ³³ + p a ³³,w i ²¹³ + p a ⁰,w ei ¹¹ + p ɑ ⁰,w ei ²¹⁴ + p a ³³⁴,ɲ i ²³¹ + p o ⁴⁴,v ei ⁵³ + p a ⁰,m ei ²⁴ + p o ⁴⁴ + ŋ̍ ⁰,i ⁵³ + p ɑ ⁰,m e ⁵³ + p a ⁵⁵
148_smell,w ə n ³⁵,w ə n ¹³,w ə n ²¹,p ɛi ²⁴²,m ɐ n ²¹,w ɤ ŋ ²²,w ə n ²⁴,v ẽ ⁵³,pʰ ɑ̃ ³⁵,ɕ j ɤ ŋ ³⁵,pʰ i ⁵³,u n ⁴⁵,w ə n ¹³,w ə n ⁵²,m ə n ¹³,v ə ŋ ²¹,h o ŋ ⁵¹,v ẽ ²⁴,pʰ i ²²
149_i,w o ²¹³,ŋ o ⁴¹,ŋ o ⁵³,ŋ w ai ³²,ŋ ɔ ²³,w o ²³,w o ²¹³,v ɔ ⁴⁵,ɔ ²¹³,ŋ̍ ⁴²,ŋ ai ¹¹,ŋ o ²¹³,o ¹¹,w ɔ ²¹⁴,ŋ əu ²³¹,ɣ ɤ ⁵³,ŋ̍ ²⁴,ŋ ɤ ⁵³,ŋ w a ⁵³
14_eat,ʈʂʰ ʅ ⁵⁵,tɕʰ j a ²⁴,tsʰ ɿ ²¹,s j e ʔ ⁵,s e k ²,tɕʰ i ⁵⁵,ʈʂʰ ʅ ⁴⁴,ʈʂʰ ʅ ²¹⁴,tɕʰ j e ʔ ³²,tɕʰ j ɔ ¹³,s ə t ⁵,tɕʰ j a ʔ ⁵,ʈʂʰ ʅ ʔ ⁵,t ai ²¹⁴,tɕʰ j ə ʔ ⁴,tsʰ ə ʔ ²,tsʰ ɿ ⁴¹,ʈʂʰ ʅ ²¹,ts j a ʔ ⁵
150_we,w o ²¹³ + m ə n ³⁵,ŋ o ⁴¹ + m ə n ⁰,ŋ o ⁵³ + m m̩ ⁵⁵,n a ŋ ⁵³ + ŋ a ⁵⁵,ŋ ɔ ²³ + t ei ²²,w o ²³ + t e ²³ + l ei ⁴² + k ɤ ²¹,w o ²¹³ + m ə n ⁰,v ɔ ⁴⁵ + m ẽ ⁰,ɔ ²¹³ + j ɑ̃ ⁰,ŋ̍ ⁴² + ŋ a ⁴⁴,ŋ ai ¹¹ + t e n ³³ + ŋ i n ¹¹,ŋ o ²¹³ + m ɨ n ⁰,o ¹¹ + m ə n ¹³,w ɔ ²¹⁴ + m ə n ³⁵,ŋ əu ²³¹ + ɲ i ⁰,ɣ ɤ ⁵³ + m ɤ ⁰,ŋ̍ ²⁴ + l j ɛ ³⁴¹,ŋ ɛ ²¹,l a n ⁵³
151_five,u ²¹³,u ⁴¹,u ⁵³,ŋ ou ²⁴²,ŋ̍ ²³,ŋ̍ ²³,u ²¹³,u ⁴⁵,v u ²¹³,u ⁴²,n̩ ³¹,ŋ̍ ²¹³,u ¹¹,u ²¹⁴,ŋ̍ ²³¹,u ⁵³,ŋ̍ ²⁴,u ⁵³,g ɔ ²²
152_fog,u ⁵¹,ts au ⁵⁵ + ts ɿ ⁰,u ²¹³,m w o ⁵³,m ou ²²,u ²¹ + tɕʰ i ⁴²,u ⁵³,u ³¹,v u ³¹,u ¹¹,m u ŋ ¹¹ + s a ³³,u ²¹,u ⁴⁴,u ³³⁴,m i ¹³ + l əu ²³¹,u ⁴⁵,m ø ²²,v u ⁴⁴,b u ²²
153_knee,tɕʰ i ⁵⁵,ɕ i ²⁴,kʰ e ²¹ + ɕ i ²¹ + tʰ ə ²¹,kʰ a ⁵⁵ + β u ʔ ²⁴ + tʰ au ⁵³,s ɐ t ⁵ + tʰ ɐu ²¹,ɕ y ⁵⁵ + t ai ²²,ɕ i ²¹³ + k ai ⁵³,tɕʰ i ²¹⁴ + k a ²¹,tɕ ɥ o ʔ ³² + ɕ j e ʔ ⁵⁵ + tʰ i ⁴⁴,tɕʰ i ¹³ + d j ɤ ¹³ + k u ⁰,tsʰ i t ¹ + tʰ eu ¹¹,tɕʰ i t ⁵ + k ai ⁴²,ɕ i ʔ ⁵ + k ɛ ⁴⁴ + k u ʔ ⁵,p ɔ ⁵² + l ə ⁰ + k ai ³³⁴,tɕ j ɑ ʔ ⁴ + m ø ¹³ + d ʏ ¹³,ɕ j ə ʔ ²,tɕ j a ³¹ + kʰ ø ⁴¹ + d ɤu ³⁴¹,tɕʰ i ²¹,kʰ a ²² + tʰ au ²⁴ + h u ⁵⁵
154_wash,ɕ i ²¹³,ɕ i ⁴¹,ɕ i ⁵³,s ɛ ³²,s ɐi ³⁵,ɕ i ²³,ɕ i ²¹³,ɕ i ⁴⁵,s i ²¹³,ɕ i ⁴²,s e ³¹,ɕ i ²¹³,ɕ i ¹¹,s i ²¹⁴,d ɑ ²³¹,ɕ i ⁵³,s ei ²⁴²,ɕ i ⁵³,s w e ⁵³
155_think,ɕ j ɑ ŋ ²¹³,ɕ j a n ⁴¹,ɕ j a ŋ ⁵³,s w o ŋ ³²,s œ ŋ ³⁵,ɕ j ɑ ŋ ²³,ɕ j a ŋ ²¹³,ɕ j ɑ ŋ ⁴⁵,ɕ j õ ²¹³,ɕ j ɔ ŋ ⁴²,s j o ŋ ³¹,ɕ j ɔ ŋ ²¹³,ɕ j ɑ̃ ¹¹,s j a ŋ ²¹³,s j ã ⁵²,ɕ j ɒ̃ ⁵³,ɕ i ²⁴,ɕ j ɑ ŋ ⁵³,s j ũ ²²
156_small,ɕ j ɑu ²¹³,ɕ j au ⁴¹,ɕ j au ⁵³,n ɔu ŋ ²⁴²,s j u ³⁵,ɕ i ²⁴,ɕ j au ²¹³,ɕ j ɔ ⁴⁵,ɕ j e ²¹³,ɕ j ɤ ⁴²,s e ⁵³,ɕ j ɛu ²¹³,ɕ j ɔ ¹¹,s j au ²¹⁴,s j æ ⁵²,ɕ j au ⁵³,s ai ²⁴,ɕ j ɑu ⁵³,s w e ²¹
157_laugh,ɕ j ɑu ⁵¹,ɕ j au ⁵⁵,ɕ j au ²¹³,tsʰ j eu ²¹²,s j u ³³,ɕ j ɑu ²⁵,ɕ j au ⁵³,ɕ j ɔ ³¹,ɕ j e ³⁵,s j ɤ ³⁵,s j au ⁵³,ɕ j ɛu ⁴⁵,ɕ j ɔ ⁴⁴,s j au ³³⁴,s j æ ⁴¹²,ɕ j au ⁴⁵,ɕ j ɛ ⁵¹,ɕ j ɑu ⁴⁴,tsʰ j o ²¹
158_heart,ɕ i n ⁵⁵,ɕ i n ³³,ɕ i n ⁴⁵,s i ŋ ⁵⁵,s ɐ m ⁵⁵,ɕ i ŋ ⁴²,ɕ i n ⁴⁴,ɕ j ẽ ²¹⁴,ɕ j ɑ̃ ⁵⁵,ɕ i n ⁴⁴,s i m ³³,ɕ i n ⁴²,ɕ i n ³¹,s i n ⁵²,s i n ⁴⁴,ɕ i n ²¹,s a ŋ ⁴⁴,ɕ j ẽ ²¹,s i m ⁵⁵
159_new,ɕ i n ⁵⁵,ɕ i n ³³,ɕ i n ⁴⁵,s i ŋ ⁵⁵,s ɐ n ⁵³,ɕ i ŋ ⁴²,ɕ i n ⁴⁴,ɕ j ẽ ²¹⁴,ɕ j ɑ̃ ⁵⁵,ɕ i n ⁴⁴,s i n ³³,ɕ i n ⁴²,ɕ i n ³¹,s i n ⁵²,s i n ⁴⁴,ɕ i ŋ ²¹,s a ŋ ⁴⁴,ɕ j ẽ ²¹,s i n ⁵⁵
15_wing,ʈʂʰ ʅ ⁵¹ + p ɑ ²¹⁴,tsʰ ɿ ⁵⁵ + p a n ¹³,ts ɿ ²¹³ + p a ŋ ⁵³,s i ʔ ⁵,tsʰ i ³³,tɕ i ²⁵ + k w ã ²² + ts e ²³,s ɿ ⁵³ + p a ŋ ²¹³,ʈʂʰ ʅ ²¹ + ts ɿ ⁰,j ɑ ʔ ³² + s ɵ ⁵⁵,j e ³⁵ + k a ³⁵,i t ⁵ + k a p ¹,tsʰ ɿ ²¹³ + p a ŋ ⁰,ʈʂʰ ʅ ⁴⁴ + p ɑ ⁰,ʈʂʰ ɿ ³³⁴ + p ə ⁰,tɕ i ⁴⁴ + k a ʔ ⁴,tsʰ ɿ ⁴⁵ + p ɒ̃ ⁵³,j ai ²¹ + pʰ w ɔ ²⁴²,tʰ ɿ ⁴⁴,s i t ⁵ + l a ⁵³
160_star,ɕ i ŋ ⁵⁵ + ɕ i ŋ ⁰,ɕ i n ³³ + ɕ i n ⁰,ɕ i n ⁴⁵ + ɕ j ə ⁵⁵,s i ŋ ⁵⁵,s ɛ ŋ ⁵⁵ + s ɛ ŋ ⁵⁵,s ei ⁴² + ts e ²³,ɕ i ŋ ⁴⁴ + ɕ j ə ⁰,ɕ i ŋ ²¹³ + ɕ i ŋ ⁰,ɕ j ɑ̃ ⁵⁵ + ɕ j ɑ ⁵⁵,s j ɔ̃ ⁴⁴ + ts ɿ ⁰,s e n ³³ + n e ⁰,ɕ j a ŋ ⁴² + ts ɿ ⁰,ɕ i n ³¹ + ɕ i n ⁰,s i ŋ ⁵² + s i ŋ ⁰,s i n ⁴⁴,ɕ i ŋ ²¹ + ɕ i ŋ ²¹,s e ŋ ⁴⁴,ɕ i ŋ ²¹ + ɕ i ŋ ²⁴,tsʰ j æ ⁵⁵
161_snow,ɕ ɥ ɛ ²¹³,ɕ j e ²⁴,ɕ ɥ e ²¹,s w o ʔ ²⁴,s y t ³,ɕ ɥ e ⁵⁵,ɕ ɥ ɛ ²¹³,ɕ ɥ ɤ ²¹⁴,ɕ j a ʔ ³²,s w e ¹³,s j e t ¹,ɕ ɥ e t ⁵,ɕ ɥ e ʔ ⁵,s j ɛ ²¹⁴,s j ə ʔ ⁴,ɕ ɥ ə ʔ ²,ɕ y ⁴¹,ɕ ɥ ɛ ²¹,s e ʔ ³²
162_blood,ɕ ɥ ɛ ²¹³,ɕ j e ²⁴,ɕ ɥ e ²¹,h ai ʔ ²⁴,h y t ³,ɕ ɥ e ⁵⁵,ɕ ɥ ɛ ²¹³,ɕ j ə ²¹⁴,ɕ ɥ a ʔ ³²,s w e ¹³,ç j a t ¹,ɕ ɥ e t ⁵,ɕ ɥ e ʔ ⁵,s j ɛ ²¹⁴,ɕ ɥ ə ʔ ⁴,ɕ ɥ ə ʔ ²,ɕ y ⁴¹,ɕ j ɛ ²¹,h w i ʔ ³²
163_squeeze,j a̠ ⁵⁵,j a ²⁴,ts a ²¹³,t a ʔ ²⁴,ŋ a t ³,ŋ a ⁵⁵,j a ⁴⁴,j a ²¹⁴,ts o ³⁵,j a ¹³,a p ¹,ŋ a t ⁵,tɕ i ¹¹,j a ²¹⁴,ɑ ʔ ⁴,j a ⁴⁵,a ⁴¹,ɲ j ɑ ²¹,t e ʔ ³²
164_tooth,j a̠ ³⁵ + ʈʂʰ ʅ ²¹³,ŋ a ¹³ + tsʰ ɿ ⁴¹,j a ²¹ + tsʰ ɿ ⁰,kʰ i ³²,ŋ a ²¹ + tsʰ i ³⁵,ŋ a̠ ²² + tɕʰ i ²³,j a ²⁴,j a ⁵³ + ʈʂʰ ʅ ⁴⁵,ŋ o ⁴⁴ + ts ɿ ²¹³,ŋ ɔ ¹³ + dz ɿ ⁴²,ŋ a ¹¹ + tsʰ ɿ ³¹,ŋ o ⁴⁵ + ts ɿ ⁰,j ɑ ¹³ + ʈʂʰ ʅ ¹¹,j a ⁵² + ʈʂʰ ʅ ²¹⁴,ŋ ɑ ¹³ + ts ɿ ⁵²,j a ²¹ + tsʰ ɿ ⁵³,ŋ o ³⁴¹ + tsʰ ɿ ²⁴²,ɲ j ɑ ²⁴ + tsʰ ɿ ⁰,tsʰ w i ²² + kʰ i ⁵³
165_smoke,j ɛ n ⁵⁵,j ẽ ³³,j ɛ n ⁴⁵ + j ə ⁵⁵,h ou ŋ ⁵⁵,i n ⁵⁵,j ã ⁴²,j a n ⁴⁴,j æ̃ ²¹⁴,j ẽ ⁵⁵,n j æ ⁴⁴,j a n ³³,j ɛ n ⁴²,j e n ³¹,j ɐ n ⁵²,j ɪ ⁴⁴,j e ²¹,i ⁴⁴,j æ̃ ²¹,h u n ⁵⁵
166_salt,j ɛ n ³⁵,j ẽ ¹³,j ɛ n ²¹ + p a ⁵⁵,s j e ŋ ⁵³,i m ²¹,j ã ²²,j a n ²⁴,j æ̃ ⁵³,j ẽ ⁴⁴,n j æ ¹³,j a m ¹¹,j ɛ n ⁴⁵,j e n ¹³,j ɐ n ⁵²,ɦ j ɪ ¹³,ɕ j e ²¹ + j e ²¹,j i ³⁴¹,j æ̃ ²⁴,j a m ²⁴
167_eye,j ɛ n ²¹³ + tɕ i ŋ ⁵⁵,ŋ a n ⁴¹ + tɕ i n ⁰,j ɛ n ⁵³ + tɕ i n ⁵⁵,m ɛi ʔ ⁵ + ts j eu ⁵⁵,ŋ a n ²³ + ts ɛ ŋ ⁵⁵,ŋ ã ²³ + ts ei ⁴²,j a n ²¹³ + tɕ i ŋ ⁰,j æ̃ ⁴⁵ + tɕ i ŋ ⁰,ŋ o ²¹³ + tɕ j ɑ̃ ⁵⁵,ŋ ã ⁴² + tɕ y ⁴⁴,ŋ j a n ³¹ + ts u ³³,ŋ a n ²¹³ + tɕ j a ŋ ⁰,j e n ¹¹ + tɕ i n ⁰,j ɐ n ²¹⁴ + ts i ŋ ⁵²,ŋ e̞ ²³¹ + u ⁴⁴ + ts ʯ ⁴⁴,j e ⁵³,ŋ a ²⁴ + l e ŋ ³⁴¹ + ts ɿ ⁴⁴,n j æ̃ ⁵³ + w o ⁰,b a k ⁵ + ts j u ⁵⁵
168_bite,j ɑu ²¹³,ŋ a ⁴¹,ŋ au ⁵³,k a ²⁴²,ŋ au ²³,ŋ ɑu ²³,j au ²¹³,j ɔ ⁴⁵,ŋ ɤ ²¹³,ŋ a ³⁵,ŋ a t ¹,ŋ au ²¹³,j ɔ ¹¹,j au ²¹⁴,ŋ æ ²³¹,j au ⁵³,ŋ w ɔ ²⁴²,ɲ j ɑu ⁵³,k a ²²
169_leaf,j ɛ ⁵¹,j e ²⁴ + ts ɿ ⁰,s u ²¹³ + ts ɿ ⁵³ + j e ²¹ + j e ²¹,l o ʔ ⁵,i p ²,l j e ⁵⁵ + t e ²³,j ɛ ⁵³ + ts ɿ ⁰,j ə ³¹ + ts ɿ ⁰,j a ʔ ³²,j e ³⁵ + ts ɿ ⁰,j a p ⁵ + p e ⁰,j ɛ t ⁵ + ts ɿ ⁰,j e ʔ ⁵ + ts ɿ ⁰,j ə ²¹⁴,ɦ j ə ʔ ²³ + ts ɿ ⁵²,j e ⁴⁵,j i ²¹,j ɛ ²¹,h j o ʔ ⁵
16_worm,ʈʂʰ u ŋ ³⁵,ts ə n ¹³,tsʰ o ŋ ²¹,tʰ øy ŋ ⁵³,tsʰ o ŋ ²¹,ts w ɤ ŋ ²²,ʈʂ u ŋ ²¹,ʈʂʰ u ŋ ⁵³,tsʰ ɑ̃ ⁴⁴,dʑ j ɤ ŋ ¹³,tsʰ u ŋ ¹¹,tsʰ u ŋ ²⁴,tsʰ o ŋ ¹³,ʈʂ o ŋ ³⁵,z o ŋ ¹³,tsʰ u ŋ ²¹,dʑ ɥ o ŋ ³⁴¹,pfʰ ə ŋ ²⁴,tʰ a ŋ ²⁴ + h j a ²²
170_one,i ⁵⁵,i ²⁴,i ²¹,s o ʔ ⁵,j ɐ t ⁵,i ⁵⁵,i ⁴⁴,i ²¹⁴,j e ʔ ³²,i ¹³,i t ¹,i t ⁵,i ʔ ⁵,i ²¹⁴,j ə ʔ ⁴,j ə ʔ ²,j ai ⁴¹,i ²¹,ts i t ⁵
171_because,i n ⁵⁵ + w ei ⁰,i n ³³ + w ei ¹¹,i n ⁴⁵ + w ei ²¹³,i ŋ ⁵⁵ + ŋ w oi ²⁴²,j ɐ n ⁵³ + w ɐi ²²,i ŋ ⁴² + w ei ²²,i n ⁴⁴ + ʋ ei ⁰,j ẽ ²¹⁴ + v ei ³¹,j ɑ̃ ⁵⁵ + v i ⁵⁵,i n ⁴⁴ + w i ¹¹,i n ³³ + v i ¹¹,i n ⁴² + w i ²¹,i n ³¹ + ʋ ei ¹³,i n ⁵² + w ei ³⁵,i n ⁴⁴ + ɦ w e̞ ²³¹,i ŋ ²¹ + v ei ⁴⁵,j a ŋ ⁴⁴ + v u ³⁴¹,j ẽ ²¹ + w ei ²⁴,i ŋ ⁵⁵ + w i ²²
172_swim,j ou ³⁵ + ʂ w ei ²¹³,j əu ¹³ + ɕ ɥ ei ⁴¹,j əu ²¹ + y n ²¹³,s j eu ⁵³ + ts w oi ³²,j ɐu ²¹ + s øy ³⁵,j ou ²² + s w ei ²³,j ou ²⁴ + y ŋ ²¹³,j ou ⁵³ + y ŋ ⁴⁵,v o ⁵⁵ + ɕ y ²¹³,j o ¹³ + ɕ y ⁴²,s e ³¹ + s ə n ³³ + n e ⁰,j u ⁴⁵ + s w i ²¹³,j əɯ ¹³ + j o ŋ ¹¹,s i ²¹⁴ + ts au ²¹⁴,h o ʔ ⁴ + l ã ²³ + ɦ j o ʔ ²³,j əu ²¹ + y ŋ ⁵³,j eu ³⁴¹ + v u ³⁴¹ + ŋ̍ ⁰,j ou ²⁴ + f ei ⁵³,s j u ²⁴ + ts w i ⁵³
173_rightside,j ou ⁵¹ + p j ə n ⁵⁵,j əu ¹¹ + p j ẽ ³³,j ou ²¹³ + s əu ⁵³,t w ai ²⁴² + β ɛi ŋ ⁵⁵,j ɐu ²² + p i n ⁵³,j ou ²¹ + p j ã ⁴²,j ou ⁵³ + p j a ⁴⁴,j ou ³¹ + p j ə ⁰,j ɵ ³¹ + p ẽ ⁵⁵,j o ¹¹ + p j æ ⁴⁴,j u ⁵³ + pʰ j e n ⁵³,j u ²¹ + p j ɛ n ⁴²,j əɯ ⁴⁴ + p j e n ³¹,j ou ³³⁴ + p j ə ⁵²,ɦ j ʏ ¹³ + m j ɪ ²³¹,j əu ⁴⁵ + p j e ²¹ + p j e ²¹,j au ²² + m ai ⁰,j ou ⁴⁴ + ŋ æ̃ ⁰,j u ²² + p j a n ⁵⁵
174_fish,y ³⁵,y ¹³,y ²¹,ŋ y ⁵³,y ²¹,ŋ̍ t ²³ + s ɿ ⁰ + t e ³³,y ²⁴,y ⁵³,ɲ y ⁴⁴,y ¹³,n n̩ ¹¹,ɲ j e ⁴⁵,ɥ i ¹³,y ⁵²,ŋ̍ ¹³,y ²¹,ŋ øy ³⁴¹,y ²⁴,h i ²⁴
175_feather,y ²¹³ + m ɑu ³⁵,y ⁴¹ + m au ¹³,y ⁵³ + m au ²¹,y ³² + m au ⁵³,y ²³ + m ou ²¹,m ɑu ²²,y ²¹³ + m au ²⁴,y ⁴⁵ + m ɔ ⁵³,y ²¹³ + m ɤ ⁴⁴,y ⁴² + m ɤ ¹³,i ³³ + m au ³³,y ²¹³ + m au ⁴⁵,i ¹¹ + m ɔ ¹³,y ²¹³ + m ɔ ⁵²,y ⁴⁴ + m æ ¹³,y ⁵³ + m au ²¹,v u ²⁴ + m ə ³⁴¹,m ɑu ²⁴,s i t ⁵ + m ŋ̍ ²⁴
176_rain,y ²¹³,y ⁴¹,y ⁵³,y ³²,y ²³,y ²³,y ²¹³,y ⁴⁵,y ²¹³,y ⁴²,i ³¹,y ²¹³,y ¹¹,y ²¹⁴,ɦ y ²³¹,y ⁵³,v ²⁴,y ⁵³,h ɔ ²²
177_round,ɥ ɛ n ³⁵,ɥ ẽ ¹³,ɥ a n ²¹,j e ŋ ⁵³,y n ²¹,ɥ ã ²²,ɥ a n ²⁴,ɥ æ̃ ⁵³,ɥ ẽ ⁴⁴,w ĩ ¹³ + tʰ w e ⁴⁴,j a n ¹¹,ɥ o n ⁴⁵,ɥ e n ¹³,tʰ ɐ n ³⁵,ɦ j ø ¹³,ɥ e ²¹,j y ³⁴¹,ɥ æ̃ ²⁴,j æ ²⁴
178_far,ɥ ɛ n ²¹³,ɥ ẽ ⁴¹,ɥ a n ⁵³,h w o ŋ ²⁴²,y n ²³,ɥ ã ²³,ɥ a n ²¹³,ɥ æ̃ ⁴⁵,ɥ ẽ ²¹³,w ĩ ⁴²,j a n ³¹,ɥ o n ²¹³,ɥ e n ¹¹,ɥ ɐ n ²¹⁴,ɦ j ø ²³¹,ɥ e ⁵³,j u ²⁴,ɥ æ̃ ⁵³,w a n ⁵³
179_moon,ɥ ɛ ⁵¹ + l j ɑ ŋ ⁰,ɥ e ²⁴ + l j a n ¹¹,ɥ e ²¹ + l j a ŋ ⁰,ŋ w o ʔ ⁵,y t ² + k w ɔ ŋ ⁵⁵,ɥ e ⁵⁵ + l j ɑ ŋ ²¹,ɥ ɛ ⁵³ + l j a ŋ ⁰,ɥ ɤ ²¹ + l j ɑ ŋ ³¹,ɥ a ʔ ³² + ɲ j ɑ̃ ³¹,w e ³⁵ + k ɔ ŋ ⁴⁴,ŋ j a t ⁵ + k w o ŋ ³³,ɲ ɥ o t ⁵ + l j ɔ ŋ ⁰,ɥ e ʔ ⁵ + l j ɑ̃ ⁰,ɥ ɛ ³⁴ + l j a ŋ ³³⁴,ŋ ə ʔ ²³ + l j ã ²³¹,ɥ ə ʔ ² + l j ɒ̃ ⁴⁵,ɲ y ²¹ + k w ɔ ⁴⁴,ɥ ɛ ²¹ + l j ɑ ŋ ⁰,g e ʔ ⁵ + n j ũ ²⁴
17_blow,ʈʂʰ w ei ⁵⁵,tɕʰ w ei ³³,tsʰ w ei ⁴⁵,tsʰ w oi ⁵⁵,tsʰ øy ⁵⁵,tsʰ w ei ⁴²,tsʰ w ei ⁴⁴,ʈʂʰ w ei ²¹⁴,tɕʰ y ⁵⁵,tɕʰ y ⁴⁴,pʰ a ŋ ³³,tsʰ w i ⁴²,tsʰ w ei ³¹,ʈʂʰ w ei ⁵²,tsʰ ʯ ⁴⁴,tsʰ w ei ²¹,tsʰ ɿ ⁴⁴,pfʰ ei ²¹,p u n ²⁴
180_cloud,y n ³⁵,y n ¹³,y n ²¹,h u ŋ ⁵³,w ɐ n ²¹,y ŋ ²²,y n ²⁴ + tsʰ ai ⁰,ɥ ẽ ⁵³,ɥ ɑ̃ ⁴⁴,u n ¹³,j u n ¹¹,y n ²⁴,i n ¹³,y n ⁵²,ɦ ɥ ə n ¹³,y ŋ ²¹,ɥ o ŋ ³⁴¹,ɥ ẽ ²⁴,h u n ²⁴
