Cognate_ID	Amonda	Anambe	Apiaka	Arawete	Asurini	AsuriniXingu	AvaCanoeiro	Aweti	Chiriguano	Emerillon	Guaja	Guajajara	GuaraniAntigo	GuaraniMbya	GuaraniParaguay	Guarayo	Guayaki	Kamayura	Kayabi	Kokama	Mawe	Nheengatu	Omagua	Parakana	Parintintin	Siriono	Surui	Tapirape	Tembe	Tenharim	Tupi	UrubuKaapor	Urueuwauwau	Warazu	Wayampi	WayampiJ	Xeta	Yuki
148_personhbsomeone	a h e	a w ã		a w a	a w a	a β a	a w a		á β a		a w a	p u r u				a β a		a w a	a e	a w a	m i t	a w á	a w a		a h e	a β a		ã w ã	a w á	a h e	a β á	s a w a ʔ e	a h e	ə w ə	a w a			a β a
149_pierce	k u t u g	k u t u		i h ũ	k o t o ŋ	k u t u k	k u t u k	p u k e	k u t u	k u t͡s u k	k ɨ t u	k u t u k	k u t u	m o kʷ a	k u t u	k u t u		k u t u k	k u t u k	k ɨ t ɨ k a	s u k	k u t u k a		k o t o g	k u t u g	g u t u	p u g	k o t o k	k u t u k	k u t u g	k u t u k	k u t u k	k u t u	k u t u	p ɨ p ɨ	k u t u	k o t o	
14_beard	e n ɨ β a h a β a								e nd ɨ β a	e nd e w a		m u t a w	e nd i β a	e nd ɨ β a	e nd ɨ β a	e nd i b a		t͡s ĩ h w r a p	n u w a a p			i n i w a		e n ɨ w a h a w	e n ɨ β a h a β a	mb u t a	e n ɨ w a h a w a			e n ɨ β a h a β a	e n ɨ β a a β	n ɨ w a	e n ɨ β a h a β a	a m u t a	e r e n ɨ w a r a	e r e n ɨ w a r a		r o r ũ m b a
150_pineapple	j u p a r a p a ʔ r i			n a n i	n a n a			k a l a h a ŋ	k a r a gʷ a t a	n a n a		n a n a		k a r a gʷ a t a ʔ i						n a n a	n a n a	n ã n ã	n a n a	t͡ʃ o p a r a p a r a	j u p a r a p a ʔ r i				n ə n ə	j u p a r a p a ʔ r i	n a n a	n a n a		ə n ə n ə	n ã n ã			
151_play	ŋʷ a r a j	j e m a r a j			s e m o a r a j	dʒ e m a a r a j			p o	j i m a r a j		z e m a r a z	ɲ e mb o s a r a j	ɲ e m o b o a r a j	p o p o	j a p a j a p o			p u j a r u	j u m u t͡s a r i k a	m a h a r a	j u m u s a r a j	j u m i s a r i k i a	t͡ʃ e m o a r a i j	gʷ a ʔ r a j	ɲ ɨ mb u s a r ɨ	s e m o a r a i	t͡ʃ e m a ã r ɨ̃ j	z e m u z a r a	p ɨ k ɨ r ĩ	j e m o s a r a j	j u m a r a j	ŋʷ a r a j	ð a r u	j i m a r a j	j i m a r a j	n ə mb a r a j	j i b i t i t i
152_porridge		m i g a u		m ĩ k a u	k a w i s a	k a w i n	m i r a w		k a gʷ ɨ j ɨ			m e m e k	m i n g a ʔ u	mb a i p ɨ				k a w ĩ	k a w ĩ	p a t a t a	m i ŋ k a ʔ u	m i n g a u		k a β o n i	k a ʔ i m b e g	t i b a r ẽ n d i				k a ʔ i m b e g	m i n g a ʔ u	j ɨ k			t u j u			
153_pumpkin				j u r u m ũ			k u r u a		u w a n d a k a	k u r u d͡ʒ a		z o r o m o		a n d a i	a n d a i					k u j e r u	j u r u m ũ	j e r i m ũ	u kʷ ɪ r u	t͡ʃ o r o m o		i b a m o	j a k o r o n a	k o r o w ã	z o r o m o		j u r u m ũ	j u r u m u		m i k i		a s i k a l a		
154_put	ɲ a ŋ			m a r a	n o ŋ	p a r u g	n o ŋ	j u ŋ	ɲ o n o	i n u ŋ	m a n õ	m o n o	n o	m o ĩ	m o ɨ	m o n d o		n u ŋ	m o ŋ o	j a n u k a		mb ú r i	j a n u k a t a	t͡ʃ o g	ɲ a ŋ	m o n d o			n o	ɲ a ŋ	n o ŋ	m u n d e	ɲ a ŋ	m o n o	n ũ			m o r e
155_rain	ã m ã n ã	a m ɨ̃	a m a n	a m ĩ	a m ɨ n	a m ɨ n	a m a n a	a m ã n	ã m a	a m a n	a m a n	ə m ə n	a m ã	o k ɨ	a m a	a m a r		a m a n	a m a n	a m a n a	a m a n	a m ã n a	a m a n a	a m ɨ n	ã m ã n ã	a m ã	a m õ n	a m ɨ n	a m a n	ã m ã n ã	a m a n	a m a n	ã m ã n ã	ə m ə	a m ã	a m a n		j a kʷ i kʷ i
156_rat	a ŋ u dʒ a	a ŋ u j a	a ŋ u s a			a g u dʒ a	a r u j a		a ŋ u j a	a d u d͡ʒ a		a ŋ u z a	a ŋ u j a	a ŋ u dʒ a	a ŋ u j a	t s a m ɨ̃ j a	b u j a	a n u j a	a ŋ u j a	t͡s a n u j a	p ɨ r ɨ k	w a w i r u	k i j a r a	t o ɨ m ɨ	a ŋ u j a ʔ i	s i kʷ i t͡ʃ a	a n u s a	a n o t͡ʃ ã	a ŋ u z a	a ŋ u j a ʔ i	gʷ a β i r u	i s a w i ʔ a		h a w i ð a	a n u j a	a n u j a	k ũ j ũ	t͡ʃ u g u j a
157_raw							p ɨ r a		p í r a				p ɨ r a	p e r e gʷ a	p ɨ r a		i p ɨ			k a k ɨ r ɨ	i p ɨ r e		k a k ɨ r ɨ		p ɨ r	i			z ɨ w ɨ r	p ɨ r	p ɨ r			p i	j ɨ ʔ ɨ̃			e h i
158_red	r u r i	p i r ɨ̃		p ɨ d ɨ	p i r o ŋ	p i r ɨ̃ ŋ	p i r a ŋ	p i l a ŋ	p ɨ̃ t a	p i r a ŋ	p i r ã	p i r a g	p i r ã	p ɨ t ã	p ɨ t ã	p ĩ r ã	p i r ã	p i r a ŋ	p i r a ŋ	p ɨ t a n i	h u p	p i r a ŋ a	p ɨ t a n i	p ɨ t o g	r u r i	ɨ r e ɨ̃	p i r a ŋ	p i r ɨ g	p i r a ŋ	r u r i	p i r a ŋ	p i r ã	r u r i	p ɨ r ə	p i r ã	p i r ã	m o r á p i r ã	i r ã
159_return	j i β ɨ r	r i		j ɨ w ɨ	s e w ɨ n	dʒ ɨ w ɨ t	dʒ e w ɨ g		j e	z e w i l	i w ɨ r	z e w ɨ r	j e β ɨ	dʒ e w ɨ	j e v ɨ	j e w ɨ	j e w ɨ	j e w ɨ r	j e w ɨ	i r i w a k a t a	a i p o k	j u w i r i	ɪ r ɪ w a	k o β e n i o β e	j i β ɨ r	n a kʷ a t e	s e w ɨ r	t͡ʃ e w ɨ t	z e w ɨ r	j i β ɨ r	j e β i r	j ɨ w ɨ r	j i β ɨ r	ð é w i	j e w ɨ	j ɨ w ɨ	dʒ i w	j i b i j i
15_belly	e w e g a			p i r i ʔ i	e w e ŋ a		ɨ p u ã	p ɨ l u p	ɨ e	ɨ e	p a r a w ã	p u r u ʔ a	ɨ e	p u r u ʔ ã	ɨ e	i e		p ɨ r u ʔ ã	e w e k	t͡s e w e k a	p ɨ r u m ʔ a	m u r u ã	s ɪ w ɪ k a	p ɨ r o ʔ o	e β e j	i e		e w e k		e w e g a	p u r u ʔ ã	p u r u ʔ ã	e w e g a	p u r u ʔ ã	a k a p e			ɨ e
160_ripe	j a j u β					a j u	k ɨ r		a gʷ ɨ j e	t a w a		a z u	a j u	dʒ a dʒ u	a j u		b i a j u		j ɨ p	p ɨ t a n i n	o k t a ŋ	t i a n r u		m o a p ɨ p	a j u β	e a w			a z u	a j u β	a j u β	ɨ a r õ	j a j u β	ʔ a ð u	u m ɨ			
161_river	p a r a n a		p a r a n a	p a r a n ĩ	p a r a n o	p a r a n ɨ	ɨ a k ã	t ɨ	ɨ ã k a	ʔ ɨ	ʔ ɨ	ɨ r ɨ k a w	a k a ŋ	ɨ a k ã	ɨ	ɨ		p a r a n a	ʔ ɨ	p a r a n a	i h ɨ	p a r a n ã	p a r a n a	p a r a n õ	p a r a n a	a m ã	p o r a n o	ʔ ɨ	i	p a r a n a	p a r a n ã	p a r a n a	p a r a n a	i	p a r a n ã	p a r a n ã		a m a
162_root	ɨ β a p o a	a p o	r a p o	a p a	h a p a	a p a		a p o	h a p o	a p o	a p o	a p o	a p o	a p o	a p o	t͡s a p o	a p o	a p o	a p o	t͡s a p u a	a p o	s a p u	s a p u a	a p a	ɨ β a p o a	r a o	o p o		h a p o	ɨ β a p o	a p o	h a p o	ɨ β a p o a	a p o	a p o	a p o	a p a	
163_rope			n i m o	n ɨ m a	ɨ n ɨ m b a	ɨ n ɨ m b a	t a m		t ɨ m ã s a	a m e	n i	i n e m o	ɨ n ɨ m b o	ɲ i m b o	e n i m o			t u p a h a m	i n i m o	i n i m u	h ai t ɨ	i n i m u	i n i m u	e m a o	e n i m b o a	k i s a t͡ʃ u k e	i n i m o	i n i m b o	i n i m o	e n i m b o a	i n i m b o	n ɨ m b o	e n i m b o a	e n ɨ m o	i n i m o	ã	ʃ a	
164_round				r e ʔ a	a p o ʔ a	a p u ʔ a			a p ua		j a p o h u	j a p u ʔ a	a p u ʔ a	a p u ʔ a	a p u ʔ a	a p ua	k ɨ t ã	a h u ʔ a	e p e	j a p ua	a w e r e p	a p u ʔ ã	j a p ua	a p o ʔ a		h ua	a p u ʔ a	ã p a j ã	a p u ʔ a		a p u ʔ a	p u ʔ a		a p u ʔ a	a p u ʔ a	a p u ʔ a		
165_run	ɲ a n	j ɨ̃		j ĩ	s o n	o ɲ ɨ̃ n	w a k	t a n	s i	n a n	w ɨ h ɨ	z a n	a j ã	ɲ a	ɲ a n i	ɲ ã	m ɨ r ɨ r õ	j a n	õ j a n	j a p a n a	p u t	j a n a	j a p a n a	t͡ʃ o n	ɲ a n	t͡ʃ ã	s o n	ɨ j	z a n	ɲ a n	ɲ a n	j a n	ɲ a n	ð ã n ɨ	a j ã	a j ã		j ã
166_saliva	e n ɨ			e d e n i	e n ɨ	e n ɨ	e n ɨ		e n ɨ	a d ɨ kʷ ə r		e i n ɨ	e n ɨ	e n ɨ r ɨ	e n ɨ		ã r ɨ	e n ɨ	e n ɨ	j u r u t ɨ a	kʷ i t u ʔ e			e n ɨ	e n ɨ	e n i		e n ɨ	e n ɨ	e n ɨ	e n ɨ	e n ɨ		e n i	e n ɨ	e n ɨ		
167_salt	dʒ ɨ k ɨ r	j u k ɨ	s o k ɨ r		j o k ɨ r ɨ	m ɨ r ɨ n i	i t a i	u k ɨ t	j u k ɨ	s a u t u		j u k ɨ r	j u k ɨ	dʒ u k ɨ	j u k ɨ	j u k ɨ r		j u k ɨ t		t e w e	u k ɨ t	j u k i r a	t ɪu̯ ɪ	t͡ʃ o k ɨ r	j u k ɨ r	i t a	i t i ŋ w oi	ʃ o k ɨ r	z u k ɨ r	i ɲ e ʔ e	j u k ɨ r	j u k ɨ r		ð ú k i	s a u t u	s a u t u	b i j h a j	s a l
168_sand	ɨ β ɨ t ĩ ŋ ã			i β i t͡ʃ ĩ	ʔ ɨ t͡ʃ		u k u t i ŋ a		ɨ v ɨ k u ĩ t i	ɨ w ɨ s i ŋ		ɨ w a t͡ʃ i g	ɨ β ɨ k u ʔ i	i t a k u ʔ i	ɨ β ɨ k u ʔ i	ɨ β ɨ k u ʔ i		ʔ ɨ t͡s i ŋ	j i s i ŋ	i t i n i		i w i k u í	i t i n i	ɨ t͡ʃ i g	ɨ β ɨ t ĩ ŋ ã	ɨ t a k ɨ ɨ ʃ ɨ̃				ɨ β ɨ t ĩ ŋ ã	ɨ β ɨ k u ʔ i	ɨ w ɨ	ɨ β ɨ t ĩ ŋ ã	i w i k u ʔ ɨ t͡s ɨ	ɨ s i			i β i k i t͡ʃ ĩ
169_scare		k ɨ d͡ʒ a		p a r i r i			m o kʷ a e m		m o n g ɨ j e	m oi i	m a p i n i h ĩ	m u k u h e m	m o n d ɨ i	m õ n ɨ	m o n d ɨ i	m o n d i i		m o p i m i ŋ	m o p i r ɨ ɨ i	j a p a n a t a		m u k a j e m u		m a a n a		m u n i d i		m a a n a	m o ŋ i z e		m o n ɨ j	m u k a h e m	m o ŋ ɨ h ɨ j i	m o p ɨ r ɨ	m o ŋ ɨ j e			b i r i
16_break		k a	m u p e n	m o p e n	m o p e n	m u p ẽ	m o p e n	k a	p ẽ		z o k a			m o p ẽ	m o p ẽ	mb u j mb u j		a m a p ẽ	p e n	ʃ a w t a	w e j	a j u k a	s e b u j		k a	m o p e	p e n	m u p e n		m o p e n	p e n a	m u p ẽ	m o p e m	m õ p e	m u p e n		s o r o	p ẽ n
170_see	e p i e k	e t͡s a k		e t͡ʃ ã	e s a	e t͡ʃ a k	m a e	t u p	e t͡ʃ a	e s a g	t͡ʃ a	e t͡ʃ a k	e t͡ʃ a	e t͡ʃ a	h e t͡ʃ a	e p i a		e t͡s a k	e s a k	u m i		m a ã	u m a j	e t͡ʃ a n	e p i e	e a		i t͡ʃ ã k	e s á k	e p i e	e p j a k	s a k	e p i e k	e p a	e s a			m ã ã
171_seed	h a ʔ ɨ̃ ɲ ã	a ʔ ɨ̃	a ʔ ɨ̃ j	t͡ʃ i j ã	a ʔ ɨ s	a ʔ ɨ̃ dʒ	a ɨ̃ j	a ʔ ɨ j	h ã ɨ	a ʔ ɨ w a n	w i h ẽ	h a ʔ a z	a ĩ	a ʔ ɨ ĩ	a ʔ ɨ̃ i	a ʔ ɨ̃ i	ã	a ʔ ɨ̃ j	a ʔ ɨ̃ j	t͡s a i	a ʔ ɨ j	t a i ɲ a	s a j	a ʔ ɨ n i	h a ʔ ɨ̃ j	e ɨ̃	o ʔ o j	a ʔ ɨ̃ j	ə ʔ ɨ̃ j	h a ʔ ɨ̃ j	a ʔ ɨ̃ ɲ	a ʔ ɨ̃	h a ʔ ɨ̃ ɲ ã	ə ʔ ə ɨ	a ʔ ɨ̃ j	a ʔ ɨ̃ j		a ĩ
172_seek	e k a r	e k a r		e t͡ʃ a	m o m ɨ r o	i k a t		i k a	e k a	e k a l	a k a	e k a r	h e k a	e k a	h e k a	e k a	m e k ã	e k a t	e k a	i k a r i	k a t	j u k a	ʃ i k i a r i	m o m ɨ r o	e k a r	e k a	h u m ɨ r u	m a m ɨ r õ	e k a r	e k a r	e k a r	k e k a r	e k a r	e k a	e k a	a e k a	t͡ʃ a r e k a	s e k i a
173_send				m a r a		m a n a		m o t o t u k a t	m o n o	m õ d u l	m o n õ	m o n o	m o n d o	m o n d o	m o n o	m a n d		m o n o	m o n o	j u m u n u	p o ʔ o r o	m u n u	j u m u n u	m a n a	m o n o	m o n o		m a n a	m o n o		m o n d ó	m o n o		m o n o	m o n o			m o r o
174_sharpen	a i m e r u ŋ			m e ʔ e	o i m e	a i m e	a i m e		h a i m e	a i mb e	a m ẽ	h a j m e	m o a p ɨ o β i	a ĩ m e ʔ e	h a i m e ʔ e	a j m e		a j m e	a i m e	a i m i t a		a i m e	s a j m ɪ k a	a kʷ a ʔ a g	a i m e r u ŋ	e r ĩ m e		ɨ i m e h e	a j m e	a i m e r u ŋ	a e m e e	a j m e		o t͡s o	a j m e	a j m e		
175_shellbark				p ɨ d e		ʔ a p e p e r a	p i r i k	p e	p i r e	w i r e r	j a k a kʷ a	a p e	p e kʷ e	p e k u e	a p e	p i r e r		a p e	a p e	p i r w a r a	a p e	p i r e r a	p i r u a r a	p i r e r	p e	e k e			p e	p e	p i r a	p i r e r	p e	p e kʷ e	p i l e			e kʷ e
176_sickill				h a h i	a h ɨ	m a r i n	m a r a n	a k u p ʔ a	a s ɨ	b a ʔ e l a ɨ	a h ɨ	m a ʔ e h ɨ	a s ɨ	mb a ʔ e a t͡ʃ ɨ	a s ɨ	a t͡s ɨ		a k u p		a j k u a			a j k u a	a h ɨ β a ʔ e	t e t i r ũ	a s i			a h ɨ	t e t i r ũ	m a r a ʔ a r	a h ɨ		m ã r ã	t e k o l ã			r a s i
177_sister	e n d ɨ r	e n ɨ	s i r e n d e r a	e n i	k ɨ p ɨ ʔ ɨ r a	k ɨ p ɨ ʔ ɨ r a	p ɨ k ɨ r	n i ɨ t	e i n d ɨ	k u ɲ a	a p i h i a r	eɨ n i r	ei n d ɨ	e n ɨ	t ɨ k e	i n d ɨ r	i n ɨ	e n ɨ r	e n ɨ r a	k ú n i a	n ɨ t	e n i r a	k u n i a	e n ɨ r	e n d ɨ r	a r i	e m i r a	k ɨ p ɨ h ɨ t	e n i r a	e n d ɨ r	e n ɨ r	e n ɨ r	e n d ɨ r	é ɨ ɲ i	k u j ã	k u j ã	d͡ʒ a k ʊ j	r i k ĩ
178_sit	p ɨ̃ n	a p ɨ		a p i	a p ɨ ŋ	a p ɨ k	a p ɨ k	a p ɨ k	gʷ á p ɨ	a p ɨ g	w a p ɨ k	a p ɨ k	a p ɨ	gʷ a p ɨ	mb o gʷ a p ɨ	w a p ɨ	v a p ɨ	ʔ a p ɨ k	a p ɨ k	j a p ɨ k a	a p ɨ k	w a p i k a	j a p ɨ k a	a p ɨ g	p ɨ	k o i		ã p ɨ k	a p ɨ k	p ɨ	gʷ a p ɨ k	w a p ɨ k	p ɨ̃	w a p i	a p ɨ			kʷ a i
179_sleep	t͡ʃ i r a	k a		t͡ʃ e	k e n	k i t	k e r	t e t	k e	k e r	k e r e	k e r	k e	k e	k e	k e r	k e	k e t	s e r	k ɨ r ɨ	k e t	k i r i	o k ɨ r ɨ	k e n	k i r a	k e		k e t	k e r	k i	k e r	ʃ e r	t͡ʃ i r a	k e	k e	k e	k e	k j e
17_big	e h ã j h u	u h u	h ĩ h ã j	p u k u	w i s e	f u k u	u r u	w a t u	o w e t e o	u h u	h u	u h u a ʔ u	gʷ a s u	gʷ a t͡ʃ u	p o s o g u e	gʷ a t͡s u			ũ ũ	t u	w a t o	u s u	w a s u	o h o	e h ã j	k a s u	u h u	o	u h u	h o j	u s u	u t͡ʃ u	e h ã j	w u h u		w a s u	ɤ a ʒ o	gʷ a s u
180_small	t͡ʃ u ʔ ĩ				ʔ i		m i r i		m ĩ ʃ i	s ĩ k ã ĩ	m i i	p i t͡ʃ i k	m i r ĩ	k ɨ r ĩ	m i ʃ i	m i n i	m i r ĩ		ɨ ʔ ɨ	m i r i	h i t	m i r i		p i p i	t͡ʃ u ʔ ĩ				m i r i	t͡ʃ ũ ɲ ẽ	m i r ĩ	m i	t͡ʃ u ʔ ĩ	m ɨ n ɨ	m ĩ l ĩ			r i r ĩ ĩ
181_smoke	t a t a t ĩ ŋ ã	t a k a n ʃ ĩ	t a t a s i ŋ	t a t a t ɨ̃	t a t a s i ŋ	t a t a t͡ʃ i ŋ	t a t a t i n g	t i ŋ	t a t ã t i	t a t a t͡s i ŋ	t a t a t͡ʃ ĩ	t͡ʃ i m o r e r	t a t a t ĩ	h a t a t͡ʃ ĩ	t a t a t ĩ	a t ã t͡ʃ ĩ	t a t͡ʃ ĩ	t a t a t͡s i ŋ	a t a s i ŋ	t a t a t i n i	h i ŋ		t a t a t i n i	t a t a t͡ʃ i n	t a t a t ĩ ŋ ã	a t a ʃ ĩ	t a t a t͡ʃ i ŋ		t a t a t i ŋ	t a t a t ĩ ŋ ã	t a t a t i ŋ		t a t a t ĩ ŋ ã	ə t ə t͡s ɨ	t a t a s ĩ	t a t a s i ŋ	t a t a ʒ i	t͡ʃ ĩ
182_snake	m o dʒ	m o	m o s	m a j	m a s	m a j	m o j	m o j	m o j	m o j		m o z	m o j	m o j	m o j	mb o j		m õ j	m o j	m u i	m o j	b u j a	m u j w a s u	m a t͡ʃ i a	m o j	mb e j	m o j	m a j	m o j	b o ʒ a	m o j	m o j		m o ɨ	m o j	m o e	m o j	b o i
183_snore	k i r a m u						a m u		k e r a m u	k e r a b u	k e r e mb u		k e r a m u	k e r a m u	k e r a m u		k e r a m u				h õ h õ			k e r a m o	k i r a m u	k e n ã m u	k e r a m u r		k e r a m o	k i r a m u	k e r a m u			k é r a m u	k e l a m u		k a r a r ã	k i n ã m p i
184_son	a ʔ ɨ r	m e m ɨ		m e m ɨ	m e m ɨ̃ r a	m e mb ɨ r a	m e m ɨ r	m e mb ɨ t	m e m ɨ	m e b ɨ l	m ɨ m ɨ r a	m e m ɨ r	m e mb ɨ	n e mb i e r o j ɨ	m e mb ɨ	m e mb i r		m e m ɨ r a k e	a ʔ ɨ t	m e m ɨ r a	m e mp ɨ t	m i mb i r a	m ɪ m ɨ r a	m e m i r a	a ʔ ɨ r	t j u kʷ a a k e	m e m ɨ̃	m e m ɨ r	m e m ɨ r	a ʔ ɨ r	m e mb i r	m i m i	a ʔ ɨ r	m e m i	m e m ɨ s a k i l e		m e m o	j i t i
185_souracid	a j a h i β			h a		ʔ a j			h a j a s ɨ	a ɨ	a j a h ɨ	a z a h ɨ	a j	i r o	h a i				a j a i p	a j	e j̃ u ŋ	a i	s a j	a i w a ʔ e	a j a h i β	r e j	a j		a j	a j a h i β	a j	h i	a j a h i β	h a ɨ	h a j	a j e	h a j ʒ j a j	e t a i
186_speak	ɲ i ʔ i ŋ	j e ʔ ẽ		ɲ ẽ ʔ ẽ	s e ʔ e ŋ	ʒ e ʔ e ŋ	a n i ã ŋ	t i ʔ i ŋ	ñ ẽ e	j e ʔ e ŋ	i ʔ ĩ	z e ʔ e g	ɲ e ʔ ẽ	i dʒ e u	ɲ e ʔ ẽ	ŋ ẽ ʔ ẽ		j e ʔ e ŋ	j e ʔ e ŋ	k u m i t͡s a	h a j	j ẽ ʔ e	k u m ɪ s a	t͡ʃ e ʔ e g	ɲ i ʔ i ŋ	t͡ʃ ẽ		t͡ʃ e ʔ e g	z e ʔ e ŋ	ɲ i ʔ i ŋ	ɲ e e ŋ	j e ʔ ẽ	ɲ i ʔ i ŋ	ð e ʔ e	j e ʔ ẽ	j e ʔ ẽ		j ẽ
187_spider		j a n u		ɲ a n o		dʒ a n u	n ə n u	i t ã	j a n d u t i	z a d ɨ	j a n u	z a n u	j a n u	j ã n o	ɲ a nd u	ɲ a n u		j a n u h ã	j a n ũ	j a n u		j a n u	j a n u	t͡ʃ a n o	ɲ a n u	ɲ u n u ʃ i	s a n u	t͡ʃ a n o	z a n u		j a n u ĩ	j a n u		ð ã n u	j a n u		ɲ ə d u	j u t͡ʃ i t͡ʃ i
188_star	ɲ a ɨ t a t a ʔ i a		s a i t a t a ʔ i	j a i t a t ə	s a h ɨ t a t a	dʒ a ɨ t a t a	dʒ a ɨ t a t a		j a s ɨ t a t a	s i r i k ə	i w a r t a ĩ	z a h ɨ t a t a	j a s ɨ t a t a	dʒ a t͡ʃ ɨ t a t a	j a s ɨ r a t a	j a t͡s ɨ t a t a	t a t a	j a ɨ t a t a ʔ i	j a ɨ t a t a	t͡s e t͡s u	w a j k i r u	j a s i t a	s ɪ s u	t͡ʃ a i t a t a	ɲ a ɨ t a t a ʔ i a	t͡ʃ a s i t a t a	s a h ɨ t a t a	t͡ʃ ã ɨ t ã t ã ʔ i	z a h ɨ t a t a	ɲ a ɨ t a t a ʔ i	j a s ɨ t a t a	j a h ɨ r a t a	ɲ a ɨ t a t a ʔ i a	ð a h i t a t a	j a ɨ t a t a	j a ɨ t a t a		j a s i r i r ĩ
189_stingray	j a β e gʷ i r		s a β e β i r a	j a w e w i			dʒ a w e w ɨ r		j a v e v i	s i p a r i		z a w e w ɨ r	j a β e β i	dʒ a v e w ɨ	j a v e v ɨi	j a b e b r u		j a w e w ɨ r a	i p i r a p e p	j a w a w ɨ r a	m e mp ɨ	j a w a w i r a	j a w ɨ r a	t͡ʃ a β e β i r	j a β e gʷ i r	ʃ i r ae	s a w e w ɨ r a	t͡ʃ ã w e w ɨ t	z a w e w ɨ r	j a β e gʷ i r	j a β e β i r	j e w eɨ r	j a β e gʷ i r	ð a w é w i	j a w e w ɨi	j a w e w ɨi		
18_bird	w i r a	w ɨ r ã			w ɨ r a	w ɨ r a	w ɨ r a	e p u z a	gʷ ɨ r a	b a ʔ e l a ʔ ɨ l	i r a	w ɨ r a	gʷ ɨ r a	gʷ ɨ r a	gʷ ɨ r a	β ɨ r a	kʷ ɨ r a	w ɨ r a	w ɨ r a	w ɨ r a	w ei t a	w i r a	w ɨ r a	β ɨ r a	gʷ ɨ r a	g i r a	w ɨ r a	w ɨ r ã h i	w i r a	p i r a	gʷ ɨ r a	m a ʔ e w ɨ r a	w i r a	w i r a	w ɨ r a	w ɨ r a	ŋʷ o r a	g u r a
190_stomach									p ɨ a		a r i k ũ		p ɨ ʔ a	ɨ e	p ɨ ʔ a	i e		p o t a w ɨ r u	e w e g	e j u n t͡ʃ i r u				a β	a u h u	i e					β i g á	p u s u		p ɨ ʔ a	k a l ã t ã ʔ ã			ɨ e
191_stone	i t a	i t ã	i t a	i t ə	i t a	i t a	i t a	k ɨ t a	i t a	t a k u r u n a ʔ ɨ ɲ	i t a	i t a	i t a	i t a	i t a	i t a	i t a	i t a	i t a	i t a k i	n u	i t a	ɨ t a k i	i t a	i t a	ɨ t a		i t ã	i t a	i t a	i t a	i t a	i t a	ɨ t a	t a k u l u		i t a	i t a
192_strong	a t a	t u w i h ã				p a r a t ɨ			ã t a	k a s i	a t ɨ̃	k a g	a t ã	m a r e k e	h a t ã	ã t ã	m ɨ r a kʷ ã	hʷ a r a t ã	f w a k a r	w ɨ k a		k i r ĩ m a	w ɨ k a	a t o	a t a	r e k o	p u k o ŋ		ə t ə	a t a	a t ã	p i r a t ã		p ɨ r ã t ã	k a s i	k a s i	p i r a kʷ a	g u r a k õ
193_suck	p ɨ t e					p ɨ t e t	t͡ʃ u		p ɨ t e	p u t e t	m ɨ t e t e	p ɨ t e r	p ɨ t e	p ɨ t e	p ɨ t e	p i t e	p ɨ t e	p ɨ t e t		t͡ʃ u t͡ʃ u	s ɨ m	p i t e r a		p ɨ t e n	p ɨ t e r	r e r e	p ɨ t e r	p ɨ t e t	p ɨ t e r		p ɨ t e r	p ɨ t e r		e p i t e	m o s u s u			
194_sun	kʷ a r a	k o r a h ɨ	a r a	k a r a h i	k a r a h ɨ	kʷ a r a h ɨ	kʷ a r	kʷ a t	kʷ a r a s ɨ	kʷ a r a ɨ	kʷ a r a h ɨ	kʷ a r a h ɨ	kʷ a r a s ɨ	kʷ a r a ɨ	kʷ a r a h ɨ	a r ɨ	k ɨ r a ɨ	kʷ a t	kʷ a t	kʷ a r a t͡ʃ i	a t	k u r a s i	kʷ a r a ʃ i	kʷ a r a h ɨ a	kʷ a r a	t e n d a	ʔ a r a	kʷ ã r	kʷ a r a h ɨ	kʷ a r a	kʷ a r a s ɨ	kʷ a r a h ɨ	kʷ a r a	kʷ a r a h i	kʷ a r aɨ	kʷ a r aɨ	kʷ a r h a	t ẽ d a
195_sweep				p e	p e h i n	p e i t			t ĩ p e i	w i w i r	t i p i r	p e i r	p i ei̯	p e ʔ i	t ɨ p e i	t ɨ p e í		p e i t		t i p i r i	ɨ w ɨ t i p	p i ʔ i r i	t i p a i r i	p e h i n	p e h i r	t i i		p e i t	t ɨ p i r	p e h i r	p e i r	p e i r	p e h i r	t i p e ɨ	t ɨ w ei̯	t ɨ w ɨ r o	t a p e i	t i
196_sweet	e ʔ ẽ			h e w u		e ʔ ẽ	e	e ʔ ẽ	h ẽ e	e b ɨ g	h ẽ ʔ ẽ	h e t e	h ẽ ẽ	h ẽ ʔ ẽ	h e ʔ ẽ		e ŋ a t u	t͡s e ʔ e	ẽ ʔ ẽ	t͡s e i n	e ʔ ẽ	s e ẽ	s ɪ	t͡ʃ ɨ t ɨ g	e ʔ ẽ	t͡ʃ e j	e ʔ e	h ẽ ʔ e	t e t e k a t u	e ʔ ẽ	e ʔ ẽ	h e ʔ ẽ	e ʔ ẽ	t i a p ɨ	ẽ ʔ ẽ		h i ə̃ k w a a	e s u χ ĩ
