ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Morpheme_Index
Rahung-111_cotton-3-3,Rahung-111_cotton-3,haŋ_kʰu+bɔ̃,11314,False,expert,,b ɔ̃,,,3
Rupa-111_cotton-3-1,Rupa-111_cotton-3,kam+bɛj,11315,False,expert,,k a m,,,1
Rupa-111_cotton-3-2,Rupa-111_cotton-3,kam+bɛj,11316,False,expert,,b ɛi,,,2
Khispi-112_coughvi-1-1,Khispi-112_coughvi-1,ʦʰu,268,False,expert,,tsʰ u,,,1
Duhumbi-112_coughvi-1-1,Duhumbi-112_coughvi-1,ʦʰu,268,False,expert,,tsʰ u,,,1
Khoina-112_coughvi-1-1,Khoina-112_coughvi-1,ʦʰyː,268,False,expert,,tsʰ yː,,,1
Khoitam-112_coughvi-1-1,Khoitam-112_coughvi-1,ʨʰyː,268,False,expert,,tɕʰ yː,,,1
Rahung-112_coughvi-1-1,Rahung-112_coughvi-1,ʨʰyː,268,False,expert,,tɕʰ yː,,,1
Rupa-112_coughvi-1-1,Rupa-112_coughvi-1,ʨʰyː,268,False,expert,,tɕʰ yː,,,1
Khispi-113_count-1-1,Khispi-113_count-1,gaŋ,269,False,expert,,g a ŋ,,,1
Duhumbi-113_count-1-1,Duhumbi-113_count-1,gɹaŋ,269,False,expert,,g ɹ a ŋ,,,1
Khoina-113_count-1-1,Khoina-113_count-1,dʐajk,269,False,expert,,ɖʐ aj/ai k,,,1
Jerigaon-113_count-1-1,Jerigaon-113_count-1,ʥɛk,269,False,expert,,dʑ ɛ k,,,1
Khoitam-113_count-1-1,Khoitam-113_count-1,ʥɛk,269,False,expert,,dʑ ɛ k,,,1
Rahung-113_count-1-1,Rahung-113_count-1,ʥɛk,269,False,expert,,dʑ ɛ k,,,1
Rupa-113_count-1-1,Rupa-113_count-1,gɛk,269,False,expert,,g ɛ k,,,1
Shergaon-113_count-1-1,Shergaon-113_count-1,gɛk,269,False,expert,,g ɛ k,,,1
Duhumbi-114_coverv-1-1,Duhumbi-114_coverv-1,tʰjɛŋ,270,False,expert,,tʰ j ɛ ŋ,,,1
Rupa-114_coverv-1-1,Rupa-114_coverv-1,tʰɛŋ,270,False,expert,,tʰ ɛ ŋ,,,1
Duhumbi-593_covermouth-1-1,Duhumbi-593_covermouth-1,tʰɔp,754,False,expert,,tʰ ɔ p,,,1
Khispi-115_creepervine-1-1,Khispi-115_creepervine-1,tʰak,691,False,expert,,m ɛ n,,,1
Khispi-115_creepervine-1-2,Khispi-115_creepervine-1,tʰak,271,False,expert,,tʰ a k,,,2
Duhumbi-115_creepervine-1-1,Duhumbi-115_creepervine-1,tʰak,691,False,expert,,m ɛ n,,,1
Duhumbi-115_creepervine-1-2,Duhumbi-115_creepervine-1,tʰak,271,False,expert,,tʰ a k,,,2
Khoina-115_creepervine-1-1,Khoina-115_creepervine-1,tʰɐk+kʰyː,271,False,expert,,tʰ ɐ k,,,1
Khoina-115_creepervine-1-2,Khoina-115_creepervine-1,tʰɐk+kʰyː,272,False,expert,,kʰ yː,,,2
Jerigaon-115_creepervine-1-1,Jerigaon-115_creepervine-1,tʰɐk+kʰyː,271,False,expert,,tʰ ɐ k,,,1
Jerigaon-115_creepervine-1-2,Jerigaon-115_creepervine-1,tʰɐk+kʰyː,272,False,expert,,kʰ yː,,,2
Khoitam-115_creepervine-1-1,Khoitam-115_creepervine-1,tʰak+kʰyː,271,False,expert,,tʰ a k,,,1
Khoitam-115_creepervine-1-2,Khoitam-115_creepervine-1,tʰak+kʰyː,272,False,expert,,kʰ yː,,,2
Rahung-115_creepervine-1-1,Rahung-115_creepervine-1,tʰak+kʰyː,271,False,expert,,tʰ a k,,,1
Rahung-115_creepervine-1-2,Rahung-115_creepervine-1,tʰak+kʰyː,272,False,expert,,kʰ yː,,,2
Shergaon-115_creepervine-1-1,Shergaon-115_creepervine-1,tʰak+kʰiː,271,False,expert,,tʰ a k,,,1
Shergaon-115_creepervine-1-2,Shergaon-115_creepervine-1,tʰak+kʰiː,272,False,expert,,kʰ iː,,,2
Duhumbi-594_crossover-1-1,Duhumbi-594_crossover-1,pʰas,793,False,expert,,pʰ a s,,,1
Khispi-116_crow-1-1,Khispi-116_crow-1,haŋ+ŋa,273,False,expert,,h a ŋ,,,1
Khispi-116_crow-1-2,Khispi-116_crow-1,haŋ+ŋa,274,False,expert,,ŋ a,,,2
Khoina-116_crow-1-1,Khoina-116_crow-1,fɔ+ɔ̃ː,273,False,expert,,f ɔ -,,,1
Khoina-116_crow-1-2,Khoina-116_crow-1,fɔ+ɔ̃ː,274,False,expert,,- ɔ̃ː,,,2
Jerigaon-116_crow-1-1,Jerigaon-116_crow-1,hɔ+ɔ̃ː,273,False,expert,,h ɔ -,,,1
Jerigaon-116_crow-1-2,Jerigaon-116_crow-1,hɔ+ɔ̃ː,274,False,expert,,- ɔ̃ː,,,2
Khoitam-116_crow-1-1,Khoitam-116_crow-1,hu+ɔ̃ː,273,False,expert,,h u -,,,1
Khoitam-116_crow-1-2,Khoitam-116_crow-1,hu+ɔ̃ː,274,False,expert,,- ɔ̃ː,,,2
Rahung-116_crow-1-1,Rahung-116_crow-1,hɔ+ɔ̃ː,273,False,expert,,h ɔ -,,,1
Rahung-116_crow-1-2,Rahung-116_crow-1,hɔ+ɔ̃ː,274,False,expert,,- ɔ̃ː,,,2
Rupa-116_crow-1-1,Rupa-116_crow-1,bə+hɔk,795,False,expert,,b ə,,,1
Rupa-116_crow-1-2,Rupa-116_crow-1,bə+hɔk,275,False,expert,,h ɔ k,,,2
Duhumbi-116_crow-1-1,Duhumbi-116_crow-1,ak+pu,10515,False,expert,,a k,,,1
Duhumbi-116_crow-1-2,Duhumbi-116_crow-1,ak+pu,10516,False,expert,,p u,,,2
Shergaon-116_crow-1-1,Shergaon-116_crow-1,ak+pu,10517,False,expert,,a k,,,1
Shergaon-116_crow-1-2,Shergaon-116_crow-1,ak+pu,10518,False,expert,,p u,,,2
Duhumbi-116_crow-2-1,Duhumbi-116_crow-2,ak+pu,11225,False,expert,,a k,,,1
Duhumbi-116_crow-2-2,Duhumbi-116_crow-2,ak+pu,11226,False,expert,,p u,,,2
Shergaon-116_crow-2-1,Shergaon-116_crow-2,ak+pu,11227,False,expert,,a k,,,1
Shergaon-116_crow-2-2,Shergaon-116_crow-2,ak+pu,11228,False,expert,,p u,,,2
Khispi-117_cry-1-1,Khispi-117_cry-1,kʰip,209,False,expert,,kʰ i p,,,1
Duhumbi-117_cry-1-1,Duhumbi-117_cry-1,kʰip,209,False,expert,,kʰ i p,,,1
Khoina-117_cry-1-1,Khoina-117_cry-1,tʂʰeˀ,209,False,expert,,ʈʂʰ eˀ -,,,1
Jerigaon-117_cry-1-1,Jerigaon-117_cry-1,ʨʰeˀ,209,False,expert,,tɕʰ eˀ -,,,1
Khoitam-117_cry-1-1,Khoitam-117_cry-1,ʨʰeˀ,209,False,expert,,tɕʰ eˀ -,,,1
Rahung-117_cry-1-1,Rahung-117_cry-1,ʨʰeˀ,209,False,expert,,tɕʰ eˀ -,,,1
Rupa-117_cry-1-1,Rupa-117_cry-1,kʰeˀ,209,False,expert,,kʰ eˀ -,,,1
Shergaon-117_cry-1-1,Shergaon-117_cry-1,kʰeː,209,False,expert,,kʰ eː -,,,1
Khispi-118_cucumber-1-1,Khispi-118_cucumber-1,mɛm+bɔŋ,277,False,expert,,m ɛ m,,,1
Khispi-118_cucumber-1-2,Khispi-118_cucumber-1,mɛm+bɔŋ,278,False,expert,,b ɔ ŋ,,,2
Duhumbi-118_cucumber-1-1,Duhumbi-118_cucumber-1,mɛm+pʰɔŋ,277,False,expert,,m ɛ m,,,1
Duhumbi-118_cucumber-1-2,Duhumbi-118_cucumber-1,mɛm+pʰɔŋ,278,False,expert,,pʰ ɔ ŋ,,,2
Khoina-118_cucumber-1-1,Khoina-118_cucumber-1,ma+buŋ,277,False,expert,,m a -,,,1
Khoina-118_cucumber-1-2,Khoina-118_cucumber-1,ma+buŋ,278,False,expert,,b u ŋ,,,2
Jerigaon-118_cucumber-1-1,Jerigaon-118_cucumber-1,ma+buŋ,277,False,expert,,m a -,,,1
Jerigaon-118_cucumber-1-2,Jerigaon-118_cucumber-1,ma+buŋ,278,False,expert,,b u ŋ,,,2
Khoitam-118_cucumber-1-1,Khoitam-118_cucumber-1,ma+buŋ,277,False,expert,,m a -,,,1
Khoitam-118_cucumber-1-2,Khoitam-118_cucumber-1,ma+buŋ,278,False,expert,,b u ŋ,,,2
Rahung-118_cucumber-1-1,Rahung-118_cucumber-1,ma+buŋ,277,False,expert,,m a -,,,1
Rahung-118_cucumber-1-2,Rahung-118_cucumber-1,ma+buŋ,278,False,expert,,b u ŋ,,,2
Rupa-118_cucumber-1-1,Rupa-118_cucumber-1,mə+ buŋ,277,False,expert,,b~m/m ə -,,,1
Rupa-118_cucumber-1-2,Rupa-118_cucumber-1,mə+ buŋ,278,False,expert,,b u ŋ,,,2
Shergaon-118_cucumber-1-1,Shergaon-118_cucumber-1,mə+buŋ,277,False,expert,,m ə -,,,1
Shergaon-118_cucumber-1-2,Shergaon-118_cucumber-1,mə+buŋ,278,False,expert,,b u ŋ,,,2
Duhumbi-119_curcumasp-1-1,Duhumbi-119_curcumasp-1,bɔs,279,False,expert,,b ɔ s,,,1
Khoina-119_curcumasp-1-1,Khoina-119_curcumasp-1,bøˀ,279,False,expert,,b øˀ -,,,1
Khoitam-119_curcumasp-1-1,Khoitam-119_curcumasp-1,beˀ,279,False,expert,,b eˀ -,,,1
Rahung-119_curcumasp-1-1,Rahung-119_curcumasp-1,bøˀ,279,False,expert,,b øˀ -,,,1
Khispi-120_curevi-1-1,Khispi-120_curevi-1,ʥamp,280,False,expert,,dʑ a m p,,,1
Duhumbi-120_curevi-1-1,Duhumbi-120_curevi-1,ʥamp,280,False,expert,,dʑ a m p,,,1
Khoina-120_curevi-1-1,Khoina-120_curevi-1,ʥa,280,False,expert,,dʑ a -,,,1
Khoitam-120_curevi-1-1,Khoitam-120_curevi-1,ʥap,280,False,expert,,dʑ a p,,,1
Rahung-120_curevi-1-1,Rahung-120_curevi-1,ʥap,280,False,expert,,dʑ a p,,,1
Duhumbi-121_cut-1-1,Duhumbi-121_cut-1,ʨʰat,281,False,expert,,tɕʰ a t,,,1
Khoina-121_cut-1-1,Khoina-121_cut-1,ʦat,281,False,expert,,ts a t,,,1
Jerigaon-121_cut-1-1,Jerigaon-121_cut-1,ʨɛk,281,False,expert,,tɕ ɛ k,,,1
Khoitam-121_cut-1-1,Khoitam-121_cut-1,ʨɛk,281,False,expert,,tɕ ɛ k,,,1
Rahung-121_cut-1-1,Rahung-121_cut-1,ʨɛk,281,False,expert,,tɕ ɛ k,,,1
Rupa-121_cut-1-1,Rupa-121_cut-1,ʦɛk,281,False,expert,,ts~ʨ/ʨ ɛ k,,,1
Shergaon-121_cut-1-1,Shergaon-121_cut-1,ʨɛk,281,False,expert,,tɕ ɛ k,,,1
Khoina-122_dance-1-1,Khoina-122_dance-1,ʂuː,282,False,expert,,ʂ uː,,,1
Jerigaon-122_dance-1-1,Jerigaon-122_dance-1,suː,282,False,expert,,s uː,,,1
Khoitam-122_dance-1-1,Khoitam-122_dance-1,suː,282,False,expert,,s uː,,,1
Rahung-122_dance-1-1,Rahung-122_dance-1,suː,282,False,expert,,s uː,,,1
Rupa-122_dance-1-1,Rupa-122_dance-1,suː,282,False,expert,,s uː,,,1
Shergaon-122_dance-1-1,Shergaon-122_dance-1,suː,282,False,expert,,s uː,,,1
Khispi-122_dance-1-1,Khispi-122_dance-1,lim,10519,False,expert,,l i m,,,1
Duhumbi-122_dance-1-1,Duhumbi-122_dance-1,lim,10520,False,expert,,l i m,,,1
Khispi-122_dance-2-1,Khispi-122_dance-2,lim,11229,False,expert,,l i m,,,1
Duhumbi-122_dance-2-1,Duhumbi-122_dance-2,lim,11230,False,expert,,l i m,,,1
Khispi-123_daughter-1-1,Khispi-123_daughter-1,da+mu,135,False,expert,,d a,,,1
Khispi-123_daughter-1-2,Khispi-123_daughter-1,da+mu,284,False,expert,,m u,,,2
Duhumbi-123_daughter-1-1,Duhumbi-123_daughter-1,da+mu,135,False,expert,,d a,,,1
Duhumbi-123_daughter-1-2,Duhumbi-123_daughter-1,da+mu,284,False,expert,,m u,,,2
Khoina-123_daughter-1-1,Khoina-123_daughter-1,də+myː,632,False,expert,,a,,,1
Khoina-123_daughter-1-2,Khoina-123_daughter-1,də+myː,135,False,expert,,d ə,,,2
Khoina-123_daughter-1-3,Khoina-123_daughter-1,də+myː,284,False,expert,,m yː,,,3
Jerigaon-123_daughter-1-1,Jerigaon-123_daughter-1,də+myː,135,False,expert,,d ə,,,1
Jerigaon-123_daughter-1-2,Jerigaon-123_daughter-1,də+myː,284,False,expert,,m yː,,,2
Khoitam-123_daughter-1-1,Khoitam-123_daughter-1,də+myː,135,False,expert,,d ə,,,1
Khoitam-123_daughter-1-2,Khoitam-123_daughter-1,də+myː,284,False,expert,,m yː,,,2
Rahung-123_daughter-1-1,Rahung-123_daughter-1,də+myː,135,False,expert,,d ə,,,1
Rahung-123_daughter-1-2,Rahung-123_daughter-1,də+myː,284,False,expert,,m yː,,,2
Rupa-123_daughter-1-1,Rupa-123_daughter-1,də+myː,135,False,expert,,d ə,,,1
Rupa-123_daughter-1-2,Rupa-123_daughter-1,də+myː,284,False,expert,,m yː,,,2
Shergaon-123_daughter-1-1,Shergaon-123_daughter-1,di+miː,135,False,expert,,d i,,,1
Shergaon-123_daughter-1-2,Shergaon-123_daughter-1,di+miː,284,False,expert,,m iː,,,2
Khispi-124_daughterinlaw-1-1,Khispi-124_daughterinlaw-1,u+ʨʰam,797,False,expert,,u,,,1
Khispi-124_daughterinlaw-1-2,Khispi-124_daughterinlaw-1,u+ʨʰam,285,False,expert,,tɕʰ a m,,,2
Duhumbi-124_daughterinlaw-1-1,Duhumbi-124_daughterinlaw-1,u+ʨʰam,797,False,expert,,u,,,1
Duhumbi-124_daughterinlaw-1-2,Duhumbi-124_daughterinlaw-1,u+ʨʰam,285,False,expert,,tɕʰ a m,,,2
Khoina-124_daughterinlaw-1-1,Khoina-124_daughterinlaw-1,a+ʨʰan,797,False,expert,,a,,,1
Khoina-124_daughterinlaw-1-2,Khoina-124_daughterinlaw-1,a+ʨʰan,285,False,expert,,tɕʰ a n,,,2
Khoitam-124_daughterinlaw-1-1,Khoitam-124_daughterinlaw-1,a+ʨʰam,797,False,expert,,a,,,1
Khoitam-124_daughterinlaw-1-2,Khoitam-124_daughterinlaw-1,a+ʨʰam,285,False,expert,,tɕʰ a m,,,2
Rahung-124_daughterinlaw-1-1,Rahung-124_daughterinlaw-1,a+ʨʰam,797,False,expert,,a,,,1
Rahung-124_daughterinlaw-1-2,Rahung-124_daughterinlaw-1,a+ʨʰam,285,False,expert,,tɕʰ a m,,,2
Rupa-124_daughterinlaw-1-1,Rupa-124_daughterinlaw-1,a+ʨʰam,797,False,expert,,a,,,1
Rupa-124_daughterinlaw-1-2,Rupa-124_daughterinlaw-1,a+ʨʰam,285,False,expert,,tɕʰ a m,,,2
Duhumbi-125_dayaftertomorrow-1-1,Duhumbi-125_dayaftertomorrow-1,lɔw+la,287,False,expert,,l ɔu -,,,1
Duhumbi-125_dayaftertomorrow-1-2,Duhumbi-125_dayaftertomorrow-1,lɔw+la,288,False,expert,,l a,,,2
Khoina-125_dayaftertomorrow-1-1,Khoina-125_dayaftertomorrow-1,lə+luː,287,False,expert,,l ə -,,,1
Khoina-125_dayaftertomorrow-1-2,Khoina-125_dayaftertomorrow-1,lə+luː,288,False,expert,,l uː,,,2
Jerigaon-125_dayaftertomorrow-1-1,Jerigaon-125_dayaftertomorrow-1,lɛn+lu,287,False,expert,,l ɛ n,,,1
Jerigaon-125_dayaftertomorrow-1-2,Jerigaon-125_dayaftertomorrow-1,lɛn+lu,288,False,expert,,l u,,,2
Khoitam-125_dayaftertomorrow-1-1,Khoitam-125_dayaftertomorrow-1,luŋ+luː,287,False,expert,,l u ŋ,,,1
Khoitam-125_dayaftertomorrow-1-2,Khoitam-125_dayaftertomorrow-1,luŋ+luː,288,False,expert,,l uː,,,2
Rahung-125_dayaftertomorrow-1-1,Rahung-125_dayaftertomorrow-1,luŋ+luː,287,False,expert,,l u ŋ,,,1
Rahung-125_dayaftertomorrow-1-2,Rahung-125_dayaftertomorrow-1,luŋ+luː,288,False,expert,,l uː,,,2
Rupa-125_dayaftertomorrow-1-1,Rupa-125_dayaftertomorrow-1,li+luː,287,False,expert,,l i -,,,1
Rupa-125_dayaftertomorrow-1-2,Rupa-125_dayaftertomorrow-1,li+luː,288,False,expert,,l uː,,,2
Shergaon-125_dayaftertomorrow-1-1,Shergaon-125_dayaftertomorrow-1,ly+luː,287,False,expert,,l y -,,,1
Shergaon-125_dayaftertomorrow-1-2,Shergaon-125_dayaftertomorrow-1,ly+luː,288,False,expert,,l uː,,,2
Khispi-126_dayaftertwodays-1-1,Khispi-126_dayaftertwodays-1,lɔw+ki,290,False,expert,,l ɔu -,,,1
Khispi-126_dayaftertwodays-1-2,Khispi-126_dayaftertwodays-1,lɔw+ki,289,False,expert,,k i -,,,2
Duhumbi-126_dayaftertwodays-1-1,Duhumbi-126_dayaftertwodays-1,lɔw+kiˀ,290,False,expert,,l ɔu -,,,1
Duhumbi-126_dayaftertwodays-1-2,Duhumbi-126_dayaftertwodays-1,lɔw+kiˀ,289,False,expert,,k iˀ -,,,2
Khoina-126_dayaftertwodays-1-1,Khoina-126_dayaftertwodays-1,lə+ʨik,290,False,expert,,l ə -,,,1
Khoina-126_dayaftertwodays-1-2,Khoina-126_dayaftertwodays-1,lə+ʨik,289,False,expert,,tɕ i k,,,2
Jerigaon-126_dayaftertwodays-1-1,Jerigaon-126_dayaftertwodays-1,lɛn+ʨik,290,False,expert,,l ɛ n,,,1
Jerigaon-126_dayaftertwodays-1-2,Jerigaon-126_dayaftertwodays-1,lɛn+ʨik,289,False,expert,,tɕ i k,,,2
Khoitam-126_dayaftertwodays-1-1,Khoitam-126_dayaftertwodays-1,liŋ+ʨik,290,False,expert,,l i ŋ,,,1
Khoitam-126_dayaftertwodays-1-2,Khoitam-126_dayaftertwodays-1,liŋ+ʨik,289,False,expert,,tɕ i k,,,2
Rahung-126_dayaftertwodays-1-1,Rahung-126_dayaftertwodays-1,nin+ʨik,290,False,expert,,n i n,,,1
Rahung-126_dayaftertwodays-1-2,Rahung-126_dayaftertwodays-1,nin+ʨik,289,False,expert,,tɕ i k,,,2
Rupa-126_dayaftertwodays-1-1,Rupa-126_dayaftertwodays-1,liŋ+kit,290,False,expert,,l i ŋ,,,1
Rupa-126_dayaftertwodays-1-2,Rupa-126_dayaftertwodays-1,liŋ+kit,289,False,expert,,k i t,,,2
Shergaon-126_dayaftertwodays-1-1,Shergaon-126_dayaftertwodays-1,liŋ+kʰit,290,False,expert,,l i ŋ,,,1
Shergaon-126_dayaftertwodays-1-2,Shergaon-126_dayaftertwodays-1,liŋ+kʰit,289,False,expert,,kʰ i t,,,2
Duhumbi-127_daybeforetwodays-1-1,Duhumbi-127_daybeforetwodays-1,dɛj+kiˀ+ni,292,False,expert,,d ɛi -,,,1
Duhumbi-127_daybeforetwodays-1-2,Duhumbi-127_daybeforetwodays-1,dɛj+kiˀ+ni,289,False,expert,,k iˀ -,,,2
Duhumbi-127_daybeforetwodays-1-3,Duhumbi-127_daybeforetwodays-1,dɛj+kiˀ+ni,296,False,expert,,n i,,,3
Khoina-127_daybeforetwodays-1-1,Khoina-127_daybeforetwodays-1,di+ʨik+ri,292,False,expert,,d i -,,,1
Khoina-127_daybeforetwodays-1-2,Khoina-127_daybeforetwodays-1,di+ʨik+ri,289,False,expert,,tɕ i k,,,2
Khoina-127_daybeforetwodays-1-3,Khoina-127_daybeforetwodays-1,di+ʨik+ri,296,False,expert,,r i,,,3
Jerigaon-127_daybeforetwodays-1-1,Jerigaon-127_daybeforetwodays-1,si+ʨik+hi,292,False,expert,,s i -,,,1
Jerigaon-127_daybeforetwodays-1-2,Jerigaon-127_daybeforetwodays-1,si+ʨik+hi,289,False,expert,,tɕ i k,,,2
Jerigaon-127_daybeforetwodays-1-3,Jerigaon-127_daybeforetwodays-1,si+ʨik+hi,296,False,expert,,h i,,,3
Rupa-127_daybeforetwodays-1-1,Rupa-127_daybeforetwodays-1,di+kʰit+ni,292,False,expert,,d i -,,,1
Rupa-127_daybeforetwodays-1-2,Rupa-127_daybeforetwodays-1,di+kʰit+ni,289,False,expert,,kʰ i t,,,2
Rupa-127_daybeforetwodays-1-3,Rupa-127_daybeforetwodays-1,di+kʰit+ni,296,False,expert,,n i,,,3
Shergaon-127_daybeforetwodays-1-1,Shergaon-127_daybeforetwodays-1,tʰi+kʰik+ni,292,False,expert,,tʰ i -,,,1
Shergaon-127_daybeforetwodays-1-2,Shergaon-127_daybeforetwodays-1,tʰi+kʰik+ni,289,False,expert,,kʰ i k,,,2
Shergaon-127_daybeforetwodays-1-3,Shergaon-127_daybeforetwodays-1,tʰi+kʰik+ni,296,False,expert,,n i,,,3
Khispi-128_daybeforeyesterday-1-1,Khispi-128_daybeforeyesterday-1,dɔ+kʰɔ+ni,292,False,expert,,d ɔ -,,,1
Khispi-128_daybeforeyesterday-1-2,Khispi-128_daybeforeyesterday-1,dɔ+kʰɔ+ni,297,False,expert,,kʰ ɔ -,,,2
Khispi-128_daybeforeyesterday-1-3,Khispi-128_daybeforeyesterday-1,dɔ+kʰɔ+ni,296,False,expert,,n i,,,3
Duhumbi-128_daybeforeyesterday-1-1,Duhumbi-128_daybeforeyesterday-1,dɔ+kʰɔ+ni,292,False,expert,,d ɔ -,,,1
Duhumbi-128_daybeforeyesterday-1-2,Duhumbi-128_daybeforeyesterday-1,dɔ+kʰɔ+ni,297,False,expert,,kʰ ɔ -,,,2
Duhumbi-128_daybeforeyesterday-1-3,Duhumbi-128_daybeforeyesterday-1,dɔ+kʰɔ+ni,296,False,expert,,n i,,,3
Khoina-128_daybeforeyesterday-1-1,Khoina-128_daybeforeyesterday-1,tʰ+kʰɔk+niː,292,False,expert,,tʰ - -,,,1
Khoina-128_daybeforeyesterday-1-2,Khoina-128_daybeforeyesterday-1,tʰ+kʰɔk+niː,297,False,expert,,kʰ ɔ k,,,2
Khoina-128_daybeforeyesterday-1-3,Khoina-128_daybeforeyesterday-1,tʰ+kʰɔk+niː,296,False,expert,,n iː,,,3
Jerigaon-128_daybeforeyesterday-1-1,Jerigaon-128_daybeforeyesterday-1,to+kʰok+hi,292,False,expert,,t o -,,,1
Jerigaon-128_daybeforeyesterday-1-2,Jerigaon-128_daybeforeyesterday-1,to+kʰok+hi,297,False,expert,,kʰ o k,,,2
Jerigaon-128_daybeforeyesterday-1-3,Jerigaon-128_daybeforeyesterday-1,to+kʰok+hi,296,False,expert,,h i,,,3
Khoitam-128_daybeforeyesterday-1-1,Khoitam-128_daybeforeyesterday-1,kʰɔk+niː,297,False,expert,,kʰ ɔ k,,,1
Khoitam-128_daybeforeyesterday-1-2,Khoitam-128_daybeforeyesterday-1,kʰɔk+niː,296,False,expert,,n iː,,,2
Rahung-128_daybeforeyesterday-1-1,Rahung-128_daybeforeyesterday-1,kʰɔk+nə+hɔ,292,False,expert,,kʰ ɔ k,,,1
Rahung-128_daybeforeyesterday-1-2,Rahung-128_daybeforeyesterday-1,kʰɔk+nə+hɔ,296,False,expert,,n ə,,,2
Rahung-128_daybeforeyesterday-1-3,Rahung-128_daybeforeyesterday-1,kʰɔk+nə+hɔ,42,False,expert,,h ɔ,,,3
Rupa-128_daybeforeyesterday-1-1,Rupa-128_daybeforeyesterday-1,do+kʰok+ni,292,False,expert,,d o -,,,1
Rupa-128_daybeforeyesterday-1-2,Rupa-128_daybeforeyesterday-1,do+kʰok+ni,297,False,expert,,kʰ o k,,,2
Rupa-128_daybeforeyesterday-1-3,Rupa-128_daybeforeyesterday-1,do+kʰok+ni,296,False,expert,,n i,,,3
Shergaon-128_daybeforeyesterday-1-1,Shergaon-128_daybeforeyesterday-1,tʰo+kʰok+ni,292,False,expert,,tʰ o -,,,1
Shergaon-128_daybeforeyesterday-1-2,Shergaon-128_daybeforeyesterday-1,tʰo+kʰok+ni,297,False,expert,,kʰ o k,,,2
Shergaon-128_daybeforeyesterday-1-3,Shergaon-128_daybeforeyesterday-1,tʰo+kʰok+ni,296,False,expert,,n i,,,3
Khispi-129_deaf-1-1,Khispi-129_deaf-1,bɛŋ+zar,302,False,expert,,b ɛ ŋ,,,1
Khispi-129_deaf-1-2,Khispi-129_deaf-1,bɛŋ+zar,304,False,expert,,z a r,,,2
Duhumbi-129_deaf-1-1,Duhumbi-129_deaf-1,bjɛŋ+ka,302,False,expert,,b j ɛ ŋ,,,1
Duhumbi-129_deaf-1-2,Duhumbi-129_deaf-1,bjɛŋ+ka,305,False,expert,,k a,,,2
Khoitam-129_deaf-1-1,Khoitam-129_deaf-1,pʰaŋ,291,False,expert,,kʰ ɔ m,,,1
Khoitam-129_deaf-1-2,Khoitam-129_deaf-1,pʰaŋ,302,False,expert,,pʰ a ŋ,,,2
Rupa-129_deaf-1-1,Rupa-129_deaf-1,bɛŋ+ŋɔ,302,False,expert,,b ɛ ŋ,,,1
Rupa-129_deaf-1-2,Rupa-129_deaf-1,bɛŋ+ŋɔ,303,False,expert,,ŋ ɔ,,,2
Khoina-129_deaf-1-1,Khoina-129_deaf-1,ga+tʰyŋ_ʣə+kã,10521,False,expert,,g a,,,1
Khoina-129_deaf-1-2,Khoina-129_deaf-1,ga+tʰyŋ_ʣə+kã,10522,False,expert,,tʰ y ŋ,,,2
Khoina-129_deaf-1-3,Khoina-129_deaf-1,ga+tʰyŋ_ʣə+kã,10523,False,expert,,dz ə,,,3
Khoina-129_deaf-1-4,Khoina-129_deaf-1,ga+tʰyŋ_ʣə+kã,10524,False,expert,,k ã,,,4
Rahung-129_deaf-1-1,Rahung-129_deaf-1,kʰ+tʰyŋ_bi+jɔ_ʨʰiː+kʰan,10525,False,expert,,kʰ,,,1
Rahung-129_deaf-1-2,Rahung-129_deaf-1,kʰ+tʰyŋ_bi+jɔ_ʨʰiː+kʰan,10526,False,expert,,tʰ y ŋ,,,2
Rahung-129_deaf-1-3,Rahung-129_deaf-1,kʰ+tʰyŋ_bi+jɔ_ʨʰiː+kʰan,10527,False,expert,,b i,,,3
Rahung-129_deaf-1-4,Rahung-129_deaf-1,kʰ+tʰyŋ_bi+jɔ_ʨʰiː+kʰan,10528,False,expert,,j ɔ,,,4
Rahung-129_deaf-1-5,Rahung-129_deaf-1,kʰ+tʰyŋ_bi+jɔ_ʨʰiː+kʰan,10529,False,expert,,ʨʰ iː,,,5
Rahung-129_deaf-1-6,Rahung-129_deaf-1,kʰ+tʰyŋ_bi+jɔ_ʨʰiː+kʰan,10530,False,expert,,kʰ a n,,,6
Khoina-129_deaf-2-1,Khoina-129_deaf-2,ga+tʰyŋ_ʣə+kã,11231,False,expert,,g a,,,1
Khoina-129_deaf-2-2,Khoina-129_deaf-2,ga+tʰyŋ_ʣə+kã,11232,False,expert,,tʰ y ŋ,,,2
Khoina-129_deaf-2-3,Khoina-129_deaf-2,ga+tʰyŋ_ʣə+kã,11233,False,expert,,dz ə,,,3
Khoina-129_deaf-2-4,Khoina-129_deaf-2,ga+tʰyŋ_ʣə+kã,11234,False,expert,,k ã,,,4
Rahung-129_deaf-2-1,Rahung-129_deaf-2,kʰ+tʰyŋ_bi+jɔ_ʨʰiː+kʰan,11235,False,expert,,kʰ,,,1
Rahung-129_deaf-2-2,Rahung-129_deaf-2,kʰ+tʰyŋ_bi+jɔ_ʨʰiː+kʰan,11236,False,expert,,tʰ y ŋ,,,2
