Cognate_ID	Kokama	Omagua	Tupinamba
55_ashes	t a n i m u k a	t a n i m u k a	t a n i mb u k a
560_eyebrow	ts a p ɨ k a	s i s a + s + a w a	t ɨ β ɨ t a β a
562_face	ts + i ts a	s + i s a	e t o β a p é
567_fallfromaheightintr	u + k u + k i	u + k u + k u i	k u j a
568_fallintowater	u + p u ɾ i	u + p u ɾ i	
569_falloverfalldownintr		u + w + a ɾ i	a p a k u j a
572_fan	m a ɾ a w e	w a u t a	gʷ ɨ ɾ ɨ ɾ ɨ m a
573_far	a m u ts e	a m u s ɪ	a m õ
576_fast	i p u ɾ a p a n i	i p u ɾ a p a n i	k o ɾ i t e ĩ
577_fat		ɨ k ɨ ɾ ɨ + w a s u	k ɨ ɾ á
578_fatlard	i k a w a	i k a w a	k a β a
579_father	p a p a	p a p a	u β a
582_fatherinlaw	t u t ɨ ɾ a	t u t i	
585_fearnbescaredv	a + k ɨ tʃ a	a + k s ɨ a	k ɨ s ɨ j é
587_feather	ts + a	s + a w a	a β a
590_feedofferfoodtrans	ts e m u t a	s ɪ m u t a	m o ɴ a ɾ u
59_askforrequest			m o ŋg e t á
601_fewalittle	a j ts e w a n a n	m i m i + k a t u	m o k o ɲ ó
602_fiberthread			p ó
603_fibrous			j ɨ k a
607_fighttrans	a j u k a k a	a j u k a k a	m a ɾ a m o ɲ a ɴ a
610_filltrans		t i m i s a m a t a	m o p o ɾ a
612_find	p u ɾ a ɾ a	p u ɾ a ɾ a	
614_finger		p u a	pʷ ã
617_fingernail	p ɨ ts a p e	p ɨ s a p i	p o a p ẽ
618_finishtrans	u + tʃ i k a	u + p a + t a	
622_fire	t a t a		t a t á
623_firefly		m a i s i s a k w a ɾ a	m a m u ã
626_firewood	i p j a	ɪ p ɪ a	
627_first	ɨ j a t i ɾ a	ɨ a n t i ɾ a	e n o nd e s u a ɾ a
629_fish	i + p i ɾ a	i + p i ɾ a	p i ɾ á
630_fishtrans	i p i ɾ a j a ɾ a	s ɪ k ɨ i	s e k ɨ j a
631_fishhook	m a n i n p j a ɾ a	m a n i p i a ɾ a	p i nd á
632_fishpoison		t i m u	t i mb ó
634_fishscales	p i ɾ w a ɾ a		p é
635_fishsp	w a k u p a		m a nd i ʔ í
63_attachadherestickto	u + j a ɾ i	u + j a ɾ i	j a ɾ a
642_fishwithfishpoison	t i n j a ɾ i		t i ŋg ɨ j a ɾ a
646_fish		a k a ɾ a	
648_fishingnet		p ɨ s a	p ɨ s á
650_five	p i tʃ k a	p i tʃ k a	a mb ó
653_flamevshineasingivingofflight		s ɪ n ɪ	s e nd ɨ
659_float	a ɾ ɨ w i	p u t u	β e β u j a
662_flourmaniocflour		u i	u ʔ í
665_flower	ts e ts a	s ɪ s a	p o t ɨ ɾ a
667_flute		t i a m a	m i mb ɨ
668_fly		m ɪ ɾ u	mb e ɾ u
669_flyintr	u + w e	u + w ɪ w ɪ	β e β é
670_flysp			mb e ɾ u ã i a
672_fog	ɨ w ɨ t i n i		ɨ β ɨ t i ŋ a
673_followtrans	tʃ i k w a ɾ a t a	ʃ i kʷ a ɾ a t a	
676_food	e j u n	ɪ u m a i	e mb i ʔ ú
677_foot	p ɨ t a	p ɨ t a	p ɨ
680_forestjungle	ɨ w ɨ ɾ a t i	ɨ w a t a	k a ʔ á
683_forgettrans	ts i ts a ɾ i	s ɨ s a ɾ a i	s e s a ɾ a j a
684_four	i ɾ w + a k a	ɪ ɾ u + a k a	i ɾ u + nd ɨ k
688_friend	i ɾ w a		a u s u p a ɾ a
68_aunt	m a m a k ɨ ɾ a	m a m a k ɨ ɾ a	s ɨ ʔ ɨ ɾ a
693_frogtoad		k u ɾ u ɾ u	k u ɾ u ɾ u
694_frogtoadsp			gʷ a ɾ a ɾ ɨ e ɨ
698_fruit	i j a	i a	á
69_awaittrans	k a w k i	s a ɾ a	s a ɾ õ
6_achiote		ɾ u k u	u ɾ u k u
701_frytrans	ts ɨ ɨ t a	s ɨ t a	m o s ɨ ɾ ɨ k a
704_full		i t a ɾ u	p u ɴ á
70_axe	j ɨ	j ɨ ɨ	j ɨ
713_gatherharvesttrans	i p u	j a t ɨ ɾ ɨ t a	a p u a p ɨ k a
718_getdressedintr		a ɾ i	a o β a
71_back	j + a t u k u p e	j + a t u k u p ɪ	a k u p é
722_getusedtotrans	i + p u k w a	i + p u k u a	p o k u gʷ a β a
726_giveditr	j u + m i	j u + m i	m e ʔ e ŋ a
728_givebirthtotrans		u w a ɾ i t a	mb o ʔ a ɾ a
733_go	u + ts u	u + s u	s ó
734_goimp		i kʷ a n i	e kʷ ã i
736_godownintr	u j e p e	ɨ w ɨ p ɪ	gʷ e j ɨ β a
738_godownriverintr	a + ts ɨ ɾ ɨ k a	a + s ɨ ɾ ɨ k a	
739_goupriverintr	j a j a k a t i	j a j k a t i	
743_godfather		w a k u t a ɾ a	m o ɾ e ɾ o k a ɾ a
744_godmother		w a k u t a ɾ a	m o ɾ e ɾ o k a ɾ a
745_good		ɪ ɾ á	a ɴ a t u ɾ a m a
749_gourdpumpkinsquash		k u j a	ɨ ʔ á
751_grabtrans	j a + p i tʃ i k a	j a + p i ʃ i k a	o k a
755_grandfather	a m w i	a m u i	a m ũ j a
756_grandmother	n a j	ã i	a ɾ ɨ j a
758_grass		k a p i	k a ʔ á
75_bad		a i s ɪ	a í β a
766_grillbarbeque		p a ɾ i	j u ɾ á
767_grillbarbequen			m o k a ʔ ẽ
769_grindtrans	k ɨ ɾ ɨ k a	k ɨ ɾ ɨ k a	
773_groin	t a ɾ a k w a ɾ a	t a ɾ a k u	t a k ó
776_growintrtrans	a j p a	t u a	k a k u gʷ a β a
787_hair	ts + a	j + a k ɨ + s + a	
789_hammock	t u k + i n i	t u kʷ + i n i	i n ĩ
78_badspirit	m a t i		mb a ʔ é
790_hand	p u w a	p u a	p ó
794_happy	ts + a ɾ ɨ w a	s + a ɾ ɨ w a	o ɾ ɨ β a
796_hard		k a ɾ a k a ɾ a	a t ã
800_harden	k a ɾ a k a ɾ a		m o a t ã
804_havetrans		a m i t i	ɾ e k ó
816_head	j + a k ɨ	j + a k ɨ	a k a ŋ a
820_healintrtrans	j u p i t a	m u s a n a k a	
826_heartrans	ts e n u	s ɪ n u	a p ɨ s á
827_heart	i j a	ĩ j a	ɲ ɨ ʔ ã
828_heat	ts a k u		a k u β a
831_heel	p ɨ t a + ts + a p ɨ t a		p ɨ t á
833_helptrans	j u m u j a ɾ i	j u m i a w ɨ ɾ a	p ɨ t ɨ β õ
835_hideintrtrans	j a + m i m i	j a + m i m i	k u a k u β a
836_highupadv	ɨ w a t i	ɨ w a t i	ɨ β a t é
837_hightall		i p u k u	j e ɨ s a p u k u
838_hill	ɨ w a t a	ɨ w a t a	
83_bananasp			p a k o β a
841_hips	ts u m a k a n a		e mb ɨ k a j a p é
843_hole		k a kʷ a ɾ a m a i	kʷ a ɾ a
845_honey	k a w i	m i ʃ k i	e í ɾ a
846_honeybee		m a p a + k a w i	
847_horn	i + j + a k a	i + j + a k a	a k a
848_horsefly	m u t u k a	m u t u k a	m u t u k a
849_hot		s + a k u	a k u β a
851_house	u k a	u k a	o k a
853_howlermonkey		a k ɨ k ɨ	a k ɨ k ɨ
854_howlermonkeysp			gʷ a ɾ i β a
858_hungry	j + a m a tʃ i	j + a m a ʃ i	a mb ɨ a s ɨ
862_hurtbepainful	ts + a tʃ i		mb a ʔ e ɾ a s ɨ
863_hurtwound		s + a ʃ i	a p i
866_husband	m e n a	m ɪ n a	m e n a
868_illuminateshinelighton		k a n ɨ ɾ a t a	e s a p é
86_bark		p i ɾ u a ɾ a	a j a p é
876_indian			a β á
882_intestinesguts	t i p i ʃ i ɾ u	t ɪ p u t i ʃ i ɾ u	ɲ ɨ ʔ ã
884_invitetrans	p a ɾ i ts a ɾ a	p a ɾ i s a ɾ a	s o ʔ ó
888_island	ɨ p w a	ɨ p a u	ɨ p a ʔ ũ
891_jaguar	a ɨ m a n t a	j a w a ɾ a + w a s u	j a gʷ a ɾ a
892_jaw	ts + a j w a	s + a j ɨ w a	
894_joinputtogetherattachtrans	j + a t ɨ ɾ ɨ	j + a t ɨ ɾ ɨ	j e s e ʔ a ɾ a
895_jumpintr	k a ɾ ɨ t a	k a ɾ ɨ t a	p o ɾ a
89_basket		s + a p a ɾ u	u ɾ u
900_killtrans	u m a n u t a	u m a n u t a	j u k á
905_knee	ts + e n e p j a	s + ɪ n u p u a	e nd ɨ p ɨ ʔ ã
907_knife	k ɨ tʃ i k ɨ ɾ a	k ɨ ʃ i	k ɨ s é
913_knowtrans	i + k u a	i + k u a	k u gʷ a β a
916_lake	ɨ p a ts u	ɨ p a s u	u p a β a
917_landgroundearth	t u j u k a	t u j u k a	a u p a β a
91_bat	a n ɨ ɾ a	a n ɨ ɾ a	a nd ɨ ɾ á
921_larvamaggotgrub	u ɾ a	m u t u t u	s a s o k a
922_larvamaggotgrubsp	m u t u t u		t a p u ɾ u
926_latelyrecently	a j p u k a		ɾ a m ó
929_laughintr	a + p u k a	a + p u k a	p u k á
92_batheintr	j a ts u k a	j a s u k a	j a s u k a
932_lazy		m a p ɨ ɾ ɨ	a t e ʔ ɨ m a
934_leaf	ts a	s a w a	k a ʔ á
936_leavetrans	i + tʃ a ɾ i	i + ʃ a ɾ i	s e j a ɾ a
937_leavefromintr	u + tʃ i m a	u + ʃ i m a	p o í ɾ a
941_leg			k u p ɨ
948_lieonasurfaceintr		j + a p a ɾ a ɾ i	j e p ɨ s ó
950_lietodeceivetrans	ɨ ɾ a	w i ʃ a n i k a	e m o ʔ e m a
952_lifttrans	ɨ w a t i + t a	ɨ w a t i + t a	m o p u ʔ a m a
955_lightv		s ɪ n ɪ t a	m o e nd ɨ
965_liveintr	k a k ɨ ɾ ɨ	k a k ɨ ɾ ɨ	
966_liver	p ɨ j a	p ɨ a	
968_lizardsp			s a ɾ a p o p e β a
970_lizardgeckosp			t e j u ɲ a ɲ a
971_lizardgeckoiguana	t e w e k u ɾ u	j u k u ɾ u a ɾ u	t a ɾ a gʷ ɨ ɾ a
975_long	i + p u k u	i + p u k u	p u k u
978_longtimeago	ɨ m ɨ n w a	ɨ m ɨ n u a	a kʷ é i m e
979_lookintr		u + m a i	m a ʔ ẽ
97_beabletotrans	a m a ts ɨ k a	a m i a s k a	é + k a t u
980_lookfortrans	tʃ i k a ɾ i	ʃ i k a ɾ i	s e k a ɾ a
984_loseoneselfintr	u + k a j m a	u + k a j ɨ m a	k a ɲ e m a
987_loseway	ts u p a ɾ a	s u p a ɾ a	
989_louse	k ɨ w a	k ɨ w a	k ɨ β a
990_love	ts a tʃ i t a	s ɪ t a	a m o t a k a t u
997_lumpbecomelumpy			m o a p a j u gʷ á
999_lung	p u t u	p u t u	ɲ ɨ ʔ ã β e β u j a
9_adorndecorate	w a ɾ i m a t a	w a ɾ i m a t a	j e gʷ a k a
