Cognate_ID	Kayah	Kayan	Kayaw	NorthernPao	NorthernPwo	NorthernSgaw	ProtoKaren	SouthernPao	SouthernPwo	SouthernSgaw	WesternBwe
193.0_193_moonmonth	l e ³³	l a ⁵³	l a ⁵⁵	l a ɦ ³¹	l a ⁵⁵	l a ³³	ˀl a ⁵⁵	l a ɦ ³¹	l a ɦ ³¹	l a ⁵⁵	l ɛ ⁵⁵
194.0_194_motherfemaleofanimals	m o ¹¹	m əɨ ¹¹	m ə ¹¹	m ə ⁵³			m ə ¹¹	m ə ⁵⁵			m o ³³
195.0_195_mouserat	j o ¹¹	ɟ u ¹¹	j u ¹¹	j u ⁵³	j ou ɦ ¹¹	j ɨ ɦ ¹¹	j ou ¹¹	j u ⁵⁵	j ou ³³	j ɨ ³¹	j u ³³
196.0_196_mynah		r a ŋ ¹¹	s a ¹¹ + r ɔ ¹¹	r a n ⁵⁵			s ə ⁰ + r a ɴ ¹¹	r a n ³³			θ ə ³³ + r a ³³
197.0_197_nail	m ə ¹¹	m ɨ ¹¹	m i ¹¹	m i ⁵⁵	m ei ³³	m e ³¹	m̥ ei ¹¹	m i ³³	m ei ⁵⁵	m i ⁴⁵	θ ə ⁵⁵ + m i ³³
198.0_198_name	m i ¹¹	m j ə ŋ ³³	m i ³³	m i n ³³	m ãi ⁵⁵	m i ³³	m i n ⁵⁵	m i n ⁵³	m ɛĩ ³¹	m i ³³	m i ³³
199.0_199_narrow	ʔ i ¹¹	ʔ j a ŋ ¹¹	ʔ i ¹¹	ʔ ɛ n ⁵⁵	ʔ ãi ³³	ʔ ĩ ³¹	ʔ j ɛ n ¹¹	ʔ ɛ n ³³	ʔ ãi ⁵⁵	ʔ i ⁴⁵	
2.0_2_ant	t ɔ ¹¹	t ə ¹¹	t ə ¹¹	tʰ ə ŋ ⁵³	tʰ ã ɦ ¹¹	t ə ɦ ¹¹	d ə ŋ ¹¹	t ə ŋ ⁵⁵	tʰ ə̃ɨ̯ ³³	t ə ³¹	d o ³³
20.0_20_belowunderunderneath	l e ³³	l a ʔ ⁴⁵	l ɔ ³³	l a ʔ ⁴⁵	cʰ a ʔ ⁴⁵ + l a ʔ ²¹	pʰ ɔ ³³ + l a ʔ ²¹	l a ʔ̚ ⁵¹	l a ʔ ⁴⁵	pʰ ɔ ⁵³ + l a ʔ ⁴⁵	k a ¹¹ + l a ʔ ɦ ¹¹	g ɔ ¹¹ + l a ¹¹
200.0_200_navelumbilicalcord	d i ³³	d ai ⁵³	d i ³³	p a ʔ ⁴⁵ + d e ɦ ³¹	d i ⁵⁵	d e ³³	ˀd e ⁵⁵	d e ɦ ³¹	d i ɦ ³¹	d e ⁵⁵	ɗ i ⁵⁵ + m ʊ ⁵⁵
201.0_201_neckcheek	kʰ ɛ ³³ + b o ³³	k a ʔ ²¹ + b ɔ ⁵³	k o ³³ + b o ⁵⁵			kʰ ɔ ʔ ⁴⁵ + b o ³³	ˀb ɔ ⁵⁵ + b o ʔ̚ ²		kʰ o ʔ ²¹ + b o ɦ ³¹		ɓ ɔ ³³
202.0_202_new	s ɛ ³³	θ a ŋ ⁵³	s ɔ ⁵⁵	s a n ɦ ³¹	s ɛ̃ ³⁵	s ɔ ³³	s a ɴ ⁵⁵		θ ɔ̃ ⁵³	s ɔ ⁵⁵	θ a ⁵⁵
203.0_203_nine		kʰ w i ⁵³	s ɔ ³³ + kʰ w i ⁵⁵	k o t ⁴⁵	kʰ w i ³⁵	kʰ w i ³³		k o t ⁴⁵	kʰ w i ⁵³	kʰ w i ⁵⁵	kʰ w i ⁵⁵
204.0_204_obtainreceivetakeget	n i ¹¹	n ai ¹¹	n i ¹¹	n e ⁵³	n i ɦ ¹¹	n e ɦ ¹¹	n e ¹¹		n i ³³	n e ³¹	n i ³³
205.0_205_oldofhumans	pʰ r e ¹¹	p r a ¹¹	p r a ¹¹	pʰ r a ⁵³		s a ʔ ⁴⁵ + p ɣ a ɦ ¹¹	b r a ¹¹	pʰ r a ⁵⁵		p ɣ a ³¹	θ a ³³ + b w ɛ ³³
206.0_206_oldofthings	l ə ¹¹		l i ³³	l i ³³	l ei ⁵⁵	l ɔ ¹¹ + l i ³³	l ei ⁵⁵ + l a ɴ ¹		l ei ɦ ³¹	l i ³³	
207.0_207_one	t ə ⁰	l a ¹¹	t ə ⁰	t a ʔ ²¹	l a ʔ ²¹	t ə ³³	t ə ʔ̚ ⁰ + l a ʔ̚ ³³	t a ʔ ²¹	l a ɦ ³¹	t ə ʔ ²¹	t o ⁵⁵
208.0_208_openthemouth	ʔ ɛ ³³	ʔ a ŋ ⁵³	ʔ ɔ ⁵⁵	ʔ a n ɦ ³¹		ʔ ɔ ³³	ʔ a ɴ ⁵⁵	ʔ a n ɦ ³¹	ʔ ɔ̃ ɦ ³¹		a ⁵⁵ + tʰ a ³³
209.0_209_oxbullcow	p u ¹¹	p au ¹¹	p u ¹¹	pʰ o ⁵³			b o ¹¹	p o ⁵⁵			b o ³³
21.0_21_biglarge	d u ¹¹	d au ¹¹	d u ¹¹		d u ³³	d o ³¹	ˀd o ¹¹		d u ⁵⁵	d u ⁴⁵	ɗ o ³³
210.0_210_palmofthehand	j a ¹¹			j a ³³	j ɛ ³⁵	ɲ a ³³	ɲ a ⁵⁵	j a ⁵³	j a ⁵³		
211.0_211_pangolinanteater	j u ¹¹	ɟ au ³³	j u ³³	j o ³³	j u ¹¹	j o ³³ + h ɔ̃ ³¹	j o ⁵⁵		j u ɦ ³¹	j u ³³	j o ³³ + θ o ³³
212.0_212_parrotparakeet	k i ¹¹	k i ¹¹	k i ¹¹	k i ⁵⁵	k ei ³³		k i ¹¹		k ei ⁵⁵	k i ⁴⁵	k i ³³
213.0_213_pathtrailway		k l ɛ ³³	k l ɛ ³³			k l ɛ ³³	k l ɛ ⁵⁵	k l ai ⁵³		k l ɛ ³³	k l ɛ ³³
214.0_214_peacock	pʰ r e ³³	p r a ʔ ²¹	p r ɔ ³³		p ɣ a ʔ ²¹	p ɣ a ʔ ²¹	b r a ʔ̚ ⁵¹		p ɣ a ʔ ⁴⁵	p ɣ a ʔ ɦ ¹¹	b w a ¹¹
215.0_215_pencoop	p o ¹¹	p ɔ ³³	p o ³³	pʰ ɔ ŋ ³³	pʰ ɔ̃ ⁵⁵	k ə ¹¹ + p o ³³	k ə ⁰ + b ɔ ŋ ⁵⁵	p ɔ ŋ ⁵³	pʰ õ ɦ ³¹	k ə ʔ ²¹ + p o ³³	
216.0_216_penis	tʰ i ¹¹	tʰ ai ¹¹	tʰ i ¹¹	tʰ e ⁵⁵	tʰ i ³³	tʰ e ³¹	tʰ e ¹¹	tʰ e ³³	tʰ i ⁵⁵	tʰ e ⁴⁵	
217.0_217_pheasant	r a ³³		r e ³³		ɣ ai ʔ ²¹	ɣ i ʔ ²¹	r e ʔ̚ ⁵¹		ɣ ai ʔ ⁴⁵	ɣ ai ɦ ¹¹	
218.0_218_pig	tʰ ɛ ⁵⁵	tʰ au ʔ ⁴⁵	tʰ o ³³	tʰ ɔ ʔ ²¹	tʰ o ʔ ⁴⁵	tʰ ɔ ʔ ⁴⁵	tʰ ɔ ʔ̚ ⁵¹	tʰ ɔ ʔ ²¹	tʰ u ʔ ²¹	tʰ ɔ ʔ ²¹	tʰ ɔ ³³
219.0_219_pile	p l u ¹¹	b l o ¹¹	p l ə ¹¹	p l o m ⁵⁵	pʰ l ãu ³³	b l ũ ³¹	p l o m ¹¹	p l o m ³³	pʰ l õu ³¹	b l u ⁴⁵	p l o ³³
22.0_22_bird	tʰ u ¹¹	tʰ au ¹¹	tʰ u ¹¹		tʰ u ³³	tʰ o ³¹	tʰ o ¹¹		tʰ u ⁵⁵	tʰ u ⁴⁵	tʰ o ³³
220.0_220_pointedasofneedlessharppoint	c u ³³	c u ⁵³	c u ⁵⁵	c u ɦ ³¹	c u ⁵⁵	c u ʔ ⁴⁵	c u ⁵⁵	k j u ɦ ³¹	c u ɦ ³¹	c u ⁵⁵	c u ⁵⁵
221.0_221_pole	tʰ ɨ ¹¹	tʰ w a ŋ ¹¹	tʰ u ¹¹	tʰ u n ⁵⁵	tʰ ɑ̃ ³³	tʰ ũ ³¹	tʰ u ɴ ¹¹	tʰ w ə m ³³	tʰ ə̃ɨ ɦ ⁵⁵	tʰ u ⁴⁵	
222.0_222_porcupine	s ɨ ¹¹	θ w a ŋ ¹¹	s u ¹¹	s u n ⁵⁵			s u n ¹¹	s w ə m ³³		s u ⁴⁵	θ u ³³
223.0_223_porcupinebrushtailed	s e ³³ + b e ³³		s a ⁵⁵ + b a ⁵⁵			b a ³³	s ə ⁰ + ˀb a ⁵⁵		θ ə ⁵⁵ + b a ɦ ³¹	b a ⁵⁵	
224.0_224_pot	p ɔ ¹¹	p ə ³³	p ə ³³	pʰ ə ŋ ³³	pʰ ɑ̃ ⁵⁵	s ə ¹¹ + p ə ³³	b ə ŋ ⁵⁵	p ə ŋ ⁵³	pʰ ə̃ ɦ ³¹	p ə ³³	g ə ³³ + b o ⁵⁵
225.0_225_poundv		t ɔ ¹¹	t o ¹¹	tʰ ɔ ŋ ⁵³		t o ɦ ¹¹	d ɔ ŋ ¹¹	t ɔ ŋ ⁵⁵	tʰ õ ³³	t u ³¹	d ɔ ³³
226.0_226_pullup			tʰ e ³³		tʰ e ʔ ⁴⁵	tʰ ɛ ʔ ⁴⁵	tʰ ɛ ʔ̚ ⁵¹		tʰ e ʔ ²¹	tʰ ɛ ʔ ²¹	
227.0_227_pumpkinash	l ɨ ¹¹	l w a ŋ ¹¹	l u ¹¹		l ɑ̃ ɦ ¹¹	l u ɦ ¹¹	l u ɴ ¹¹		l õ ³³	l u ³¹	l u ¹¹
228.0_228_push	cʰ ɛ ¹¹		cʰ ɔ ¹¹		cʰ ɛ̃ ³³	cʰ ɔ ³¹	cʰ a ɴ ¹¹		cʰ ɔ̃ ⁵⁵	cʰ ɔ ⁴⁵	ʃ a ³³
229.0_229_putonwear	s ɛ ⁵⁵	θ au ʔ ⁴⁵	s o ³³	s ɔ ʔ ²¹	s o ʔ ⁴⁵	s ɔ ʔ ⁴⁵	s ɔ ʔ̚ ⁵¹	s ɔ ʔ ²¹	θ u ʔ ²¹	s o ʔ ²¹	θ ɔ ³³
23.0_23_bitev	ʔ a ¹¹	ʔ i ¹¹		ʔ ɛ ŋ ⁵⁵	ʔ ãi ³³	ʔ ẽ ³¹	ʔ ɛ ɴ ¹¹	ʔ ɛ m ³³	ʔ ãi ⁵⁵	ʔ i ⁴⁵	
230.0_230_putonanecklacewear	l a ³³	l i ʔ ²¹	l e ³³		l ai ʔ ²¹	l i ʔ ²¹	l e ʔ̚ ⁵¹		l ai ʔ ⁴⁵	l ai ɦ ¹¹	l ɪ ¹¹
231.0_231_putoutthetongue		l j a ŋ ¹¹	l i ¹¹	l ɛ m ⁵⁵	l ãi ³³	l ẽ ³¹	l̥ ɛ m ¹¹	l ɛ m ³³	l ãi ⁵⁵	l i ⁴⁵	
232.0_232_quail	r w i ⁵⁵	r w i ʔ ⁴⁵	r i ³³	r ɨ ʔ ⁴⁵	pʰ u ³³ + w ei ³³	p ə ¹¹ + w i ³³	r̥ w i ʔ̚ ⁵¹		w ei ⁵⁵	p ə ¹¹ + w i ⁵⁵	
233.0_233_rabbithare	d ɛ ³³	d ɛ ⁵³	d ɛ ⁵⁵		p a ³³ + d ɛ ⁵⁵	p ə ¹¹ + d ɛ ³³	p ə ⁰ + ˀd ɛ ⁵⁵		p ə ɦ ³¹ + d ɛ ³³		b ə ³³ + ɗ ɛ ³³
234.0_234_raisefeedanimals	b o ¹¹	b əɨ ¹¹	b ə ¹¹			b ɨ ³¹	ˀb ə ¹¹		b ɨ ⁵⁵ + l ɔ̃ ɦ ³¹	b ɨ ⁴⁵	
235.0_235_rattan	r i ¹¹	r ai ¹¹	r i ¹¹	r e ⁵³	ɣ i ɦ ¹¹	ɣ e ɦ ¹¹	r e ¹¹	r e ⁵⁵	ɣ i ³³	r e ³¹	
236.0_236_reachinto	b ɔ ⁵⁵	b ɔ ʔ ⁴⁵	b ə ³³	b o ʔ ²¹	b au ʔ ⁴⁵	b u ʔ ⁴⁵	ˀb o ʔ̚ ⁵¹	b u ʔ ²¹	b ɔu ʔ ³¹	b ɔu ʔ ²¹	
237.0_237_resin	tʰ ɔ ⁵⁵	tʰ ɔ ʔ ⁴⁵	tʰ ə ³³		tʰ au ʔ ⁴⁵	tʰ u ʔ ⁴⁵	tʰ r o ʔ̚ ⁵¹		tʰ ɔu ʔ ³¹	tʰ ɔu ʔ ²¹	tʰ r o ³³
238.0_238_rightside	tʰ w a ³³	tʰ w ɛ ⁵³	tʰ ɛ ⁵⁵	tʰ w ɛ ɦ ³¹		tʰ w ɛ ³³	tʰ w ɛ ⁵⁵	tʰ w ɛ ɦ ³¹	tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵	tʰ w ɛ ³³
239.0_239_ripecooked	m i ³³	m j ə ŋ ⁵³	m i ⁵⁵	m i n ɦ ³¹	m ãi ⁵⁵	m i ³³	ˀm i n ⁵⁵	m i n ɦ ³¹	m ɛ̃i ³¹	m i ⁵⁵	m i ⁵⁵
24.0_24_bitter	kʰ e ¹¹	kʰ a ¹¹	kʰ a ¹¹	kʰ a ⁵⁵	kʰ a ³³	kʰ a ³¹	kʰ a ¹¹	kʰ a ³³	kʰ a ⁵⁵	kʰ a ⁴⁵	kʰ ɛ ³³
240.0_240_roastbystuffingintofreshbamboosections	t ai ¹¹	t e ³³	t e ³³	tʰ e n ³³		t e ³³	d e ɴ ⁵⁵		tʰ ɛĩ ³¹	t e ³³	d e ³³
241.0_241_root	r w i ¹¹	r w i ¹¹	r i ¹¹	r w i ⁵³	ɣ ei ɦ ¹¹	ɣ i ɦ ¹¹	r w i ¹¹	r w i ⁵⁵	w ei ³³	ɣ i ³¹	w i ³³
242.0_242_rottenbadsmell	s ɔ ³³	θ ə ⁵³	s ə ⁵⁵	s ə ŋ ɦ ³¹			s ə ŋ ⁵⁵	s ə ŋ ɦ ³¹			θ o ⁵⁵
243.0_243_rubcleanpolishscrub	tʰ ɨ ⁵⁵		tʰ ɨ ³³		tʰ au ʔ ⁴⁵	tʰ u ʔ ⁴⁵	tʰ u ʔ̚ ⁵¹		tʰ ɔu ʔ ³¹	tʰ ɔu ʔ ²¹	
244.0_244_salt	s e ¹¹	θ a ¹¹	s a ¹¹	s a ⁵⁵		ʔ i ʔ ⁴⁵ + s a ³¹	s a ¹¹	s a ³³		s a ⁴⁵	θ ɛ ³³
245.0_245_saltysweet	cʰ ɨ ³³	cʰ ɨ ⁵³	cʰ ɨ ⁵⁵	cʰ o m ɦ ³¹	cʰ ɑ̃ ³⁵	cʰ ə ³³	cʰ ɨ m ⁵⁵	cʰ ə m ɦ ³¹	cʰ ə̤̃ɨ ⁵³	cʰ ɨ ⁵⁵	
246.0_246_sand		m ɛ ʔ ⁴⁵	m e ³³		m e ʔ ⁴⁵	m ɛ ʔ ⁴⁵	m̥ ɛ ʔ̚ ⁵¹		m e ʔ ²¹	m ɛ ʔ ²¹	
247.0_247_scaleoffish	b a ¹¹	b e ¹¹	b e ¹¹	b e ŋ ⁵⁵		s ə ¹¹ + b i ³³	s ə ⁰ + ˀb e ŋ ¹¹	b e ŋ ³³	b ɛĩ ⁵⁵		
248.0_248_sell	cʰ e ³³	cʰ a ⁵³	cʰ a ⁵⁵	c a ɦ ³¹	cʰ a ³⁵	cʰ a ³³	c a ⁵⁵	c a ɦ ³¹	cʰ a ⁵³	cʰ a ⁵⁵	ʃ ɛ ⁵⁵
249.0_249_serowmountaingoat	j a ¹¹	j ai ³³	j i ³³	j ai ³³			j ai ⁵⁵				j i ³³
25.0_25_blood	s w i ¹¹	θ w i ¹¹	s u ¹¹	s w i ⁵⁵	s w i ³³	s w i ³¹	s w i ¹¹	s w i ³³	θ w i ⁵⁵	s w i ⁴⁵	θ w i ³³
250.0_250_seven		n w ɛ ⁵³	s ɔ ³³ + n e ⁵⁵	n ɨ t ²¹	n w ɛ ⁵⁵	n w i ʔ ⁴⁵	ˀn w e t̚ ⁵¹	n ə t ⁴⁵	n w ɛ ɦ ³¹	n w i ⁵⁵	n w e ⁵⁵
251.0_251_sew	cʰ e ⁵⁵	cʰ a ʔ ⁴⁵	cʰ ɔ ³³	cʰ a ʔ ²¹	cʰ a ʔ ⁴⁵	cʰ a ʔ ⁴⁵	cʰ a ʔ̚ ⁵¹	cʰ a ʔ ²¹	cʰ a ʔ ²¹	cʰ a ʔ ²¹	ʃ a ³³
252.0_252_sharp	tʰ ɛ ³³		tʰ ɔ ⁵⁵	tʰ a ŋ ɦ ³¹			tʰ a ŋ ⁵⁵	tʰ a ŋ ɦ ³¹			tʰ a ⁵⁵
253.0_253_sheep		θ au ³³	s u ⁵⁵	s o ⁵⁵		s o ³³	s o ⁵⁵	s o ³³	θ u ⁵⁵	s u ⁵⁵	θ o ⁵⁵
254.0_254_shivering	t ɛ ¹¹ + n ɛ ⁵⁵	k a ʔ ²¹ + n au ʔ ⁴⁵	k ɔ ¹¹ + n o ³³	t a ʔ ²¹ + n ə ʔ ²¹		t ə ¹¹ + n ɔ ʔ ⁴⁵	k ə ʔ̚ ⁰ + n̥ ɔ ʔ̚ ⁵¹	t a ¹¹ + n ə ʔ ²¹		k ə ¹¹ + n o ʔ ²¹	
255.0_255_shootv	kʰ e ⁵⁵	kʰ a ʔ ⁴⁵	kʰ a ³³	kʰ a ʔ ²¹	kʰ a ʔ ⁴⁵	kʰ a ʔ ⁴⁵	kʰ a ʔ̚ ⁵¹	kʰ a ʔ ²¹	kʰ a ʔ ²¹	kʰ a ʔ ²¹	kʰ ɛ ³³
256.0_256_shortlow	pʰ o ¹¹	pʰ əɨ ¹¹	pʰ ə ¹¹	pʰ ə ⁵⁵	pʰ əɨ ³³	pʰ ɨ ³¹	pʰ ə ¹¹	pʰ ə ³³	pʰ ɨ ⁵⁵	pʰ ɨ ⁴⁵	
257.0_257_shoulder	p l a ³³	b l e ⁵³	p l e ⁵⁵	p l e ŋ ɦ ³¹			p l e ŋ ⁵⁵	p l e ŋ ɦ ³¹			p l e ⁵⁵
258.0_258_shovewiththefoot			tʰ ʉ ⁵⁵	tʰ w ɨ n ɦ ³¹	tʰ w ɑ̃ ³⁵	j ɔ ¹¹ + tʰ w y ³³	tʰ w ɨ ɴ ⁵⁵	tʰ w ə m ɦ ³¹	tʰ w ə̤̃ɨ ⁵³	tʰ w u ⁵⁵	
259.0_259_six		cʰ u ⁵³		s u ɦ ³¹	x ou ³⁵	x ɨ ³³	kʰ r ou ⁵⁵	s u ɦ ³¹	x ou ⁵³	x ɨ ⁵⁵	x u ⁵⁵
26.0_26_blowafire	ʔ u ³³	ʔ u ⁵³	ʔ u ⁵⁵	ʔ u ɦ ³¹	ʔ u ⁵⁵	ʔ u ³³	ʔ u ⁵⁵	ʔ u ɦ ³¹	ʔ u ɦ ³¹	ʔ u ⁵⁵	u ³³
260.0_260_skink	p l a ³³	p l ɛ ʔ ²¹	p l e ³³	pʰ l ɛ ʔ ⁴⁵	pʰ l e ʔ ²¹	p l ɛ ʔ ²¹	b l ɛ ʔ̚ ⁵¹	p l ɛ ʔ ⁴⁵	pʰ l e ʔ ⁴⁵	p l ɛ ɦ ¹¹	b l i ¹¹ + c a ⁵⁵
261.0_261_sleeping		m ai ⁵³ + n ai ¹¹	m i ⁵⁵ + n i ¹¹			m i ³³ + n e ɦ ¹¹	m̥ ei ⁵⁵ + n ei ¹¹			m i ⁵⁵ + n i ³¹	
262.0_262_slippery	p l i ³³	b l ai ⁵³	p l i ⁵⁵	p l e ɦ ³¹	pʰ l i ³⁵	b l e ³³	p l e ⁵⁵	p l e ɦ ³¹	pʰ l i ⁵³	b l e ⁵⁵	p l i ⁵⁵
263.0_263_smellv		n ɨ ³³	n ɨ ³³	n u m ³³	n ɑ̃ ³⁵	n ə ³³	n ɨ m ⁵⁵	n w ə m ⁵³	n ə̤̃ɨ ⁵³	n ɨ ⁵⁵	n u ⁵⁵
264.0_264_snailland				kʰ l o ⁵⁵	kʰ l u ³³	kʰ l o ³¹	kʰ l o ¹¹		kʰ l u ⁵⁵	kʰ l u ⁴⁵	kʰ l o ³³
265.0_265_snailwater		ŋ w i ¹¹	s i ¹¹ + m i ¹¹	ŋ w i ⁵⁵			s ə ⁰ + ŋ w i ¹¹	ŋ w i ³³			θ ə ⁵⁵ + m i ³³
266.0_266_snake	r o ¹¹	r u ¹¹	r u ¹¹	r u ⁵³	ɣ ou ɦ ¹¹	ɣ ɨ ɦ ¹¹	r ou ¹¹	r u ⁵⁵	β ou ³³	ɣ ɨ ³¹	ʀ u ³³
267.0_267_soninlaw	m e ³³	m a ʔ ²¹	m ɔ ³³	m a ʔ ⁴⁵		m a ʔ ²¹	m a ʔ̚ ⁵¹	m a ʔ ⁴⁵	m a ʔ ⁴⁵	m a ʔ ɦ ¹¹	m a ¹¹
268.0_268_sour	cʰ ɛ ¹¹	ɕ a ŋ ¹¹	ɕ ɔ ¹¹	ɕ j a n ⁵⁵	cʰ ɛ̃ ³³	cʰ ɔ ³¹	cʰ j a ɴ ¹¹	ɕ j a n ³³	cʰ ɔ̃ ⁵⁵	cʰ ɔ ⁴⁵	ʃ a ³³
269.0_269_spider		k a ŋ ³³	k ɔ ³³	k u ŋ ³³ + kʰ a ŋ ³³	p u ¹¹ + kʰ ɛ̃ ⁵⁵		g a ŋ ⁵⁵	j ɔ ŋ ³¹ + k a ŋ ⁵³	kʰ ɔ̃ ɦ ³¹		g a ¹¹ + g u ¹¹
27.0_27_boarwild	tʰ ɛ ⁵⁵ + m i ¹¹	tʰ au ʔ ⁴⁵ + m i ³³	tʰ o ³³ + m i ³³	tʰ ɔ ʔ ²¹ + m i ³³	tʰ o ʔ ⁴⁵ + m ei ⁵⁵	tʰ ɔ ʔ ⁴⁵ + m i ³³	tʰ ɔ ʔ̚ ⁵¹ + m i ⁵⁵	tʰ ɔ ʔ ²¹ + m i ⁵³	tʰ u ʔ ²¹ + m ei ɦ ³¹	tʰ ɔ ʔ ²¹ + m i ³³	
270.0_270_spitv	tʰ u ³³	tʰ u ⁵³			tʰ u ³⁵	tʰ u ʔ ⁴⁵	tʰ u ⁵⁵	tʰ u ɦ ³¹	tʰ u ⁵³	tʰ u ⁵⁵	
271.0_271_spleen	m ɛ ³³		m ɔ ⁵⁵		m ɛ̃ ³⁵	k ə ¹¹ + m ɔ ³³	g ə ⁰ + m̥ a ɴ ⁵⁵		m ɔ̃ ⁵³	m ɔ ⁵⁵	g ə ³³ + m a ³³
272.0_272_splitbamboostrip			p l a ¹¹		b l a ³³	b l a ³¹	p l a ¹¹		b l a ⁵⁵	b l a ⁴⁵	p l ɛ ³³
273.0_273_sprayv		pʰ r u ⁵³	pʰ r u ⁵⁵	pʰ r u ɦ ³¹	pʰ j u ⁵⁵		p r u ⁵⁵	p r u ɦ ³¹	p r u ɦ ³¹	p r u ⁵⁵	pʰ r u ³³
274.0_274_spreadoutamat	d e ³³	d a ⁵³	d a ⁵⁵	d a ɦ ³¹	d a ⁵⁵	d a ³³	ˀd a ⁵⁵	d a ɦ ³¹	d a ɦ ³¹	d a ⁵⁵	ɗ ɛ ⁵⁵
275.0_275_squeezemassage	c i ¹¹	c i ¹¹	c i ¹¹	c i m ⁵³	cʰ ãi ɦ ¹¹	c i ɦ ¹¹	ɟ i m ¹¹	c i m ⁵⁵	cʰ ɛ̃i ³³	c i ³¹	c i ³³
276.0_276_squirrel				l i ⁵⁵	l ei ³³	l i ʔ ⁴⁵ + l u ɦ ¹¹	l̥ i ¹¹	l i ³³	l ei ⁵⁵	l i ⁴⁵	l i ¹¹
277.0_277_standv	tʰ ɔ ¹¹	tʰ ə ¹¹	tʰ ə ¹¹	tʰ ə ŋ ⁵⁵	tʰ ɑ̃ ³³	tʰ ə̃ ³¹	tʰ ə ŋ ¹¹	tʰ ə ŋ ³³	tʰ ə̃ ⁵⁵	tʰ ə ⁴⁵	ʃ ɔ ⁵⁵ + tʰ o ³³
278.0_278_star	cʰ e ¹¹	cʰ a ¹¹	cʰ a ¹¹	cʰ a ⁵⁵	s j a ³³	cʰ a ³¹	cʰ a ¹¹	cʰ a ³³	ɕ a ⁵⁵	cʰ a ⁴⁵	ʃ ɛ ³³
279.0_279_stealv	h o ¹¹	h u ¹¹	h u ¹¹			h ɨ ³¹	h ou ¹¹			h ɨ ⁴⁵	a ⁵⁵ + h u ³³
28.0_28_boat	kʰ l ə ³³		kʰ l i ⁵⁵	kʰ l i ɦ ³¹	kʰ l ei ³⁵	kʰ l i ³³	kʰ l ei ⁵⁵	kʰ l i ɦ ³¹	kʰ l ei ⁵³	kʰ l i ⁵⁵	kʰ l i ³³
280.0_280_stingy		c i ¹¹	c i ¹¹	c i ⁵⁵			ɟ i ¹¹	c i ³³			ɪ ³³
281.0_281_stomach	pʰ o ³³	pʰ u ⁵³	pʰ u ⁵⁵		pʰ ou ³⁵	k ə ¹¹ + pʰ ɨ ³³	g ə ⁰ + pʰ ou ⁵⁵		pʰ ou ⁵³	pʰ ɨ ⁵⁵	g ə ¹¹ + pʰ u ⁵⁵
282.0_282_stonerock	l ɔ ¹¹	l əu ¹¹	l ə ¹¹	l o ŋ ⁵³	l ãu ɦ ¹¹	l ə̃ ɦ ¹¹	l o ŋ ¹¹	l o ŋ ⁵⁵	l õu ³³	l ɨ ³¹	l o ³³
283.0_283_stringrope	p l ə ¹¹	p l ɨ ³³	p l i ³³	pʰ l i ³³	pʰ l ei ⁵⁵	p l i ³³	b l ei ⁵⁵	p l i ⁵³	pʰ l ei ɦ ³¹	p l i ³³	b l i ³³
284.0_284_suck	c w i ⁵⁵	c w i ʔ ⁴⁵	c i ³³	c u k ²¹		s ə ¹¹ + w i ʔ ⁴⁵	c w i k̚ ⁵¹	c u ʔ ²¹	θ ə ¹¹ + w ai ʔ ³¹		
285.0_285_sun	m ɔ ¹¹	m ɨ ¹¹	m ɨ ¹¹	m ɨ ⁵³	m əɨ ɦ ¹¹	m ɨ ɦ ¹¹	m ɨ ¹¹	m ɨ ⁵⁵	m ɨ ³³	m ɨ ³¹	m u ³³
286.0_286_sunlighthot	k u ¹¹	k au ¹¹	k u ¹¹	j a ɦ ³¹ + kʰ o ⁵³	kʰ u ɦ ¹¹	t a ¹¹ + k o ɦ ¹¹	g o ¹¹	k o ⁵⁵	kʰ u ³³	k u ³¹	
287.0_287_swayswing	tʰ u ¹¹		tʰ u ¹¹		tʰ u ³³	tʰ u ³¹	tʰ u ¹¹		tʰ u ⁵⁵	tʰ u ⁴⁵	
288.0_288_swollenswelling	j ɛ ⁵⁵	ɟ au ʔ ⁴⁵	j o ³³	j ɔ ʔ ²¹	j o ʔ ⁴⁵	ɲ ɔ ʔ ⁴⁵	ɲ̊ ɔ ʔ̚ ⁵¹	j ɔ ʔ ²¹	j u ʔ ²¹	ɲ ɔ ʔ ²¹	j ɔ ³³
289.0_289_tail	m i ¹¹	m ai ¹¹	m i ¹¹	m e ⁵³	m ɛ ɦ ¹¹	m ɛ ɦ ¹¹	m e ¹¹	m e ⁵⁵	m i ³³	m ɛ ³¹	m e ³³
29.0_29_bodydirt	kʰ r ə ¹¹		c i ¹¹	kʰ r i ⁵⁵	k ei ³³	x i ³¹	kʰ r ei ¹¹	kʰ r i ³³	k ei ⁵⁵	x i ⁴⁵	
290.0_290_tastelessfaded		b l a ⁵³		p l a ɦ ³¹	b l a ⁵⁵	b l a ³³	p l a ⁵⁵		b l a ɦ ³¹	b l a ⁵⁵	p l ɛ ⁵⁵
