Cognate_ID,abui,adang,blagar,kaera,kamang,klon,kui,nedebang,protoalorpantar,sawila,teiwa,wersing,westernpantar
234_rotten,h a m u n i,b o n i,m i s a,m i n o,m u n t a,m ʊ i n,b e i k,g a m i n i,m u n,t a m a s a,m u u n,s i k e ŋ,b a r a t t a
235_rough,a h o i f a ŋ,p a l u h u,k o ŋ k a r k o ŋ k a r,s e k a k i r,a o o b a,,d u l a + n a ŋ a,a r a d d a,,,s a k a r,p o t o r,k a t a ŋ k a t a ŋ
236_rub,w e l u u k,l u h u ʔ,o s o ŋ,t o d o,l u h,ɔ i,u l u s,t u d u,,a r o o s a,t o o d,a r a o s,s i ʔ a ŋ
237_run,f u r e i,t ɛ ʔ ɛ ŋ,b i,b i i r o,t a k,t ə k ɪ n,t a k i,b i r i,,g a m u r i,b i i r,n e m u r,b i r i ŋ
238_sago,,,,,,k ɑ m r o i n,k a m e r i ŋ a n,,,,,k d e s i,d o
239_salt,a t i,t a ŋ + h i r i,s i a h,i s a r,a s i i,ə h i r,s e r,j e e s i,a s i r,a s i i r,j i s a r,a s i r,h i s s i
23_betelnutareca,f u,b uː,b u,b u i,b a k a a,b ʊ i ʔ ɪ h,b u i,b u j a,b u i,p u,b u i,p u i,b u
240_salty,a l e s i ŋ,,k ə m a l a,,t a m a + m a k a a,m k a l,m a s e l a,,,a u m o,m a s i l,,l u a r
241_sand,m a l a t a i,f ɛ tʃ ɛ ʔ,b e j,w e i s,s i n a i,ɑ l ɑ t,a l a t,i j a a s i,,ɪ n ɪ ŋ ɪ,e e s,i n i + p a k,s i ʔ i r
242_scabies,k a ʔ f i s i ŋ,a t,k o o t,,b i l a + b a s o ŋ,k a s,n a l,,,,,,b a i + k a t t u r
243_scared,m i e l a ŋ,b a r u tʃ,d a d i,r e ħ o,b i e e,e d ɑ n,t a m e n,t e ʔ i,,g a m i i l a ŋ,a r a r,n a u m e ŋ,h u n d a r
244_scorpion,p e i,p a j,p e r,p a r,f a l,p a r,p e r,g o l d a k a,p V/ǝ r,,p a r,p e r b u k,p a r
245_scratch,k a f i,t u ʔ u ʔ,t u a,k r a b i s,f a k i,k ə b ɛ r,u k u b e r i,t u a,,s u r u k u,k i k a r,k e p i r,b a r a g g a s
246_seasaltwater,t a m a,t a ŋ,t a ŋ,t a m,t a m a,t a n,t a n,t a,t a m,t a m a,t a ʔ,t a m a ʔ,t a w a
247_searchhuntfor,t a h a i,l aː p,r a p i ŋ,r a p o,f a a f a,ə l ɛ l,g o r a p,l a f i,,l a a w a,w u r a q,l e w e n a,g a l l a ŋ
248_seed,b i k a,a w a i,t e + k u l u,g u a ħ,b i l e e,m ɛ m,k u,b a g g a,,i n i i,g e + b a g,g e + i k o ʔ,u p p u r
249_sell,b a l i k,,b a l i,m e a n o,b a i l a,t a a n,u l i k,,,w e,ʔ a n,,a r i ŋ
24_betelvine,ʔ m e t i ŋ,m e tʃ e,m a a t,m a a t,m a i s i,m ɛ h,m e s i n,m a t t a,m a i t,m a a s i,m e e t,m a s,m e t a
250_seven,j e t i ŋ + a j o k u,w u i t o ʔ,t i t u,j e s r a ħ o,i s i ŋ o k,u s o ŋ,j e s o r u k,s r a q o,,j o o t i ŋ j a k u,j e s r a q,w e t i ŋ + j o k u,b e t a l a k u
251_sew,k a p u k,n a r o t o ʔ,r o t a ʔ,s ə r o t o ʔ,k a f u h,i l h ə r o t,s e r o t,t a p p a,,s o r r a,t a p,s o r,t a p p a ŋ
252_shark,k a s u w a i,t a b ɛ i,h i b i r,s i b a r,a n e e,b e ʔ e b i,s o b o r,s i f i,,,s i f a r,m o l o s,s i b b u
253_sharp,b u l a,h u d i ŋ,m a ŋ,m a g a ŋ,b i s i ŋ,m ɑ ŋ,m a ŋ a n,m a ħ a ŋ,,m a d i i r a ŋ,m a ħ a n,p l i t,m a g g a ŋ
254_shine,t u l u ŋ,t u b,b o l o r,,w o b i k a,i d i l,s u u l,,,m a t a a n i,l i a r,d i a l + l u r + ʔ,d i a l a
255_shoot,h a t e k,,t a p a,m a s a ŋ,t f a,m ɑ h,g a b o i t,g a l i,,t a a n i,p e d i l,l e g e t a i ŋ,b l o p p a
256_shootwithslingshot,h a t e k,,k a r t a p e l,g a p a k i s,t f a,,g a b o i t,p a s a q q o,,,g ə f a k a t,k a t a p e l + w o ŋ + l e g a t a i ŋ,p a s a k k u ŋ
257_short,b u i,t o ʔ o ŋ,t u k a ŋ,t u k o,m a r u k,ʊ ʔ ʊ r,t u k,t u k k u,t u k,t u k u d a,t u k,t u k,t u k k a
258_shoulder,t a b a l,ʔ a b ɛ l i,t ə b i t,t a b a g a t,w a k a i,n ɪ k ɛ b ɛ l,g a w o r,g a s i a l,,k a a l ɑ,g ə d i j a ʔ,n e b a r a ŋ,n a m a k a r
259_shyashamed,t a m i l e l a i,m a l a ʔ,m ə n i j a ŋ,e r i j a j,l a i t a,,m a n i a n,a p a l a,,,a r a r,n e l a d i,p a l i
25_big,f o k o,m aː t i,l e,w a a d o,b a a i,ɑ ɑ l,b a t a k e l,a d a,,w a a n s a,w a a d,p i d a s i,a r a
260_sickpainful,h a r i k,m o d i ʔ,d i r a,i i,m a t,b i i r,t e r i k,l i l a,,m a t e,i ʔ,m e d i t,t a w a k a
261_sit,m i t i,m i h i ʔ,m i ŋ,m i s o,n i h,m ɪ h,m i s a,m i s i,m i s,m i t i,m i i s,a m i t,m i s i ŋ
262_six,t a ʔ l a m a,t aː l a ŋ,t a l i ŋ,t i a m,i s i ŋ n o k,t ə l ɑ n,t a l a m a,t i a m a,t a l a m,j o o j i ŋ s u n o,t i a a m,w e t i ŋ + n u ŋ,h i s n a k k u ŋ
263_skin,k u l,ʔ u i,p i ʔ u l i t,k o i,f a s u u,k ʊ i,t a k u i l,g e ʔ i ŋ + w a k a,,g i j a k a,k u w e i,k l u t,n a i ŋ + k i l l i
264_sky,a h a l i ŋ t a m a,l aː b,b u l a ŋ,b u l u ŋ,d e l i ŋ,b u l ə g ɛ n,l a ŋ i n,h u n d u s,,a j a a k a n i,b u l a n,a j a k e ŋ,g u n n a ŋ
265_slave,m a i dʒ a,,o h o + g a i ŋ,dʒ o ŋ g o s,m a a i,m ə l ɛ i,g u r,w a ʔ a n + g i t i t i,,g a m a d d u,u j + g u s o j g u s o j + w a a l,m e l a i,k o l a
266_small,k i d i ŋ,k a ʔ a i,k o d d u k,k i k i,k i d i ŋ,k ɛ k ɛ i n,k a d i n,s a m m a,,p i k e,s a m,m u r u ŋ,k a l l a
267_smoke,a r a + t i k a,a w a i + b a n o ʔ o,a d + b e n a ŋ k a,a a d + b ə n a a ħ,p u n a,ə d ɑ b o n,a r + b o n o k,a r a b u n,b u n a q,p u n a k a,b u u n,a d a + p u n a k,b u n n a
268_smooth,r u l a,d u l u ʔ,d u l a,i b a j a r a n,t u l a k a,d u u l,d u l a,b i f i,d u l + ʔ s l i p p e r j ʔ,,s o r d a ħ,t e r i s i + d o l o k,d u b a
269_snake,m o n,m o n,d u m i ŋ,d a m u ŋ,k u m e,m ɔ ɔ n,m o n,d a a m a,,s i p e a l i,d a a m,m u n u,d u a ŋ
26_bird,r u o + h a l i ŋ + t a m a,h i u + w a l ɛ w ɛ ŋ,w u u l,d u u m,a t o i,h ɪ ʔ ɪ d o m,a d o l,d a j a,d o l,a d a l a,d e i,a d o l + g a t e ŋ + k u r u s i,r e
270_sorewound,n a m u,b a m e d,b a t a,i b a t,l a m u,a b a d,b a t a,b a t t a,,k a r u p o,dʒ i f a t,l e b o l i,b a s
271_sour,a l e s i ŋ,,k ə l i k i l,k e l i k i l,a l e e s e i,o l o r,a l a u,,,s a k a r,,,l i l a
272_spear,k a f a k,b o k o,ʔ a b a,ħ a b i,k a p a,k ə b ɑ k,k a b a k,q a b a,q a b a,s u s u r e,q a b,s u s u r a i,k a b b i
273_spider,b a l a b a l a,ʔ a l ɛ ŋ,k ə r a ŋ a,k a k a r a ŋ a,k a r o k a a,n w a k,t a k a l + m a l a i,q a ħ a v a,,t a ŋ k i b e a ŋ,b a ŋ k o w,t a ŋ k a b e b e r,k a r + l a b b a ŋ
274_squatcrouch,l u k + ʔ b o,l i ʔ i ʔ,k u k u + m u d i ŋ,t o k u,d u u h,,l u k,l u a l a ŋ,l u k,,t u k u,l u k u k,l u k k i ŋ
275_squeeze,a dʒ a k,ʔ a m a t a ŋ,p e m e k,p ə r u,a l e h,e p,m a n e s,m ə l a tʃ i,,,p r u u,a r e s i,d i ŋ
276_stab,t a k d a,t ɛ ʔ ɛ,dʒ a w a k,q a ħ o,t a f e,t ɛ k,t a k,t a p p a,,s u w e,t a p,s u a i,g a r u ŋ
277_stand,n a t e,t o h O/ɔ,t a i,t a s o,l a t s i,m ə t ɛ h,n a s a n,t a s i,t a s,d o o k a,t a a s,a t a t i,n a t a r
278_star,f i r,iː b,i i d,i p a l a q,a t o i b a a i,ɪ b,i + b r a,i f a h o j a,,l a w a a l a,j i f,a p i k a l,h i b b e
279_starfish,,,,,,,t a n + i b r a,j i v a + k o j a + t a g a m i,,,,t e m a + l a l i ŋ,
27_bite,t a k e,ʔ i h i,g a k i,s i i,e h,g ɛ h,g e s,tʃ i a,a s i,g a p a a t i,s i,m i k i k,g a s s i
280_steal,t a k a u,t a ʔ a u,t a v i,t a ħ a w o,t a k a a w a,t k a,t a k a o,t a ħ a w a,,t a k o o,t a ħ a w,t e k a u,h a d d u ŋ
281_stickpole,t u k o r a ŋ,d o p o ŋ,a w a + p u l a,t u k u r,t e e k a ŋ,d o o b,d u k u r,d o,,d i i k a ŋ,t u k a r,d e k e ŋ,s o r u
282_stomach,t o o k,a t u ʔ u,t ə t o w,t ə t o k i,t o k,g ə b ɛ t,t a b e t e r,g o t o ʔ o,t o k,g a p a ŋ,g a t o ʔ,a t o k o,n a s
283_stone,v iː,f u i,v a r,w a r,w o i,w ɔ r,w o r,w a l a,w a r,w a r a,w a r,w o r,h a u w e
284_straight,m u l a ŋ,a b u l u ʔ,m o l o ŋ,m o l o ʔ,s o l,n ə m ʊ t,d o b,q u n n a,,t i i m u,ħ a n a ʔ,l o r,l a m u r a
285_sugarpalm,t u o k,,b u r,,t o k a,,n a u + j e r a,,,,,,n a u
286_sugarcane,f a,s oː b,w u b,u u b,k a m a a,a b a,u u b,u u f a,uː b,,w u ħ,u p a,h a b u a
287_sun,w a r i,f ɛ d,v e d,k u w e r,w a t i,m ə d i,b e r,w e r i,w a d i,w a d i,w a r + g e t,w i d i,w a s
288_sweat,t a m u r i ŋ,l a t u t u ŋ,t r u u ŋ,t u r u g u ŋ,s u s u i,a ŋ,s u r u n,u u s i,,p u n a r a,h a s i r,p u n e r a,s i s s i
289_sweet,r a l o ŋ,d ɛ l ɛ w ɛ ŋ,t e ŋ g e,m a r a a q,i l a k a i,d r e,d a l o w a n,u b a,,m a a l a ŋ,w u b,m a l a ŋ,h i g e
28_bitter,m a k a l i,m a ʔ a l a ʔ,k a m a l a,m a q o,m a k a a,m k a l,m a k a l a,m i j a r a,,m a k a l,m a ħ a ʔ,m a k a l + m u k u p,k u + m i n n a
290_sweetpotato,b a l e,f a l a dʒ,u + k a s i,k u k a s i,b u l e e l,k ɛ s ə l,a i + l a k,k e i ŋ k u k a,,j a a m u,b ə t a ŋ q a r,a i + l e k,m a l o k o + m a r
291_swell,w e p a t i a,f a l a ʔ,v a r a,w a r o,f a s i,u w ɑ r,b a t i,w a r a,,a t u ŋ,w u r a n,a t u,h a l u a
292_swim,t e u l a,ʔ u r,t a r a,t a r o,s a i,u r ɛ n,t a n t a i,t a l a ŋ,,s e,t a r a n,s a i,t a l l a ŋ
293_tail,h a ʔ w a i,o l o ʔ,o r a,g o r,w u i,g o r ə k ɛ i,g o r,g o l a,o r,g i w o o r a,g o o r,w o r i,g e k u
294_tall,l o h u,l a w e n,m ə l o l u,l e s o,l a p a ŋ,l a ŋ,g e i + n a b a n,l i a w a ŋ,,a j a a ŋ,a l u ħ u n,e a ŋ,b u t a ŋ
295_taro,a h o,m aː l u,a w g o l,n e i,m a k a i,l ɛ ɛ,b a n e i,i t a a b a,,a l a a t a,n e i,p n e,o l u
296_tears,t i e ŋ + n a u,ʔ ɛ ŋ u i,t e ŋ + dʒ a r,t e e t + l o w,t e ŋ + i l a,,t e n + n a,g a t u g u,,,g e t + q a r,g i n i r a,h a n a u
297_teeth,t a w e i t i,n a w ɛ h ɛ ŋ,t ə v e ŋ,t u a + s i ŋ,w e h,g ə w ɛ h,t a w e s,g u s i ŋ,u a s i,g a w a,g u s a n,n e w e s i,n a w a s i ŋ
298_ten,k a r + n u k u,a i r n u,a r n u,ħ a r + n u k o,a t a a k,k ɑ r ə n ʊ k,k a r n u k u,q a + n u k,,a d a a k u,q a r + n u k,a d a j o k u,k e a n u k u
299_tendon,t e a i,,u r a t,t u r u i,a l i i,,e i r,t a r r o,,,t r a w,s r i p i ŋ,h a r
29_black,a k a n i,l a ʔ a n a ʔ,k a n a,ħ a n o,d a k a t a,ɑ ʔ ɑ k ɑ n,a k a n a,q a n a,a q a n a,a k a n a,q a ʔ a n,a k e ŋ,a n a
2_12,k a r + n u k + w a l + a j o k u,a i r n u + w a l i ŋ a l u,a r + n u + b e t a l + a r u,ħ a r + n u k + b e t i + r a ħ o,,,k a r n u k + w a i l + a r o k,,,,,a d a j o k u + w e r e s i ŋ + j o k u,k e a n u k u + w a l i + a l a k u
300_testicles,,,t o t o + k u l u,,,t o + a d a ŋ,t a t a k o,,,,,k a l i ŋ k o,g e + b o l a
301_thatch,w a i,d e ʔ e,v e m v e j,m a g o ŋ,g a b u u + m a ŋ,w e i,w a i,s e w a j a,w a j,g a b a a r a,w a a i ʔ,s o b + l e d,w a i
302_thick,t a p a t i,t a p a h a,p u s i,p a u s o,k u s a,t ə p ɛ h,t a p a s,p o n u u t a,,d u m u,t u ʔ u m,d u m,d u m m a
303_thin,f o l i,t i ʔ i,t e i l,t e k i,m a n i h,,b o l,s e l i ŋ,,m a n i s e,t a ħ a l,m i n i s,r e ʔ e
304_thirsty,r e h e k d a,d o l o + t a ʔ a t a,t ə m e e n + t a t a,t a m a n + s i s o,m a n t e i,,e e r + n e m e n + t a k a t,g a m a + h a + tʃ i tʃ i tʃ i,,,n o m + s i i s,t e m u i ŋ + s e r,t a u m e + s i s s a ŋ
305_thirty,k a r + s u o,a i r + t o w o ʔ,a r + t u e,,,,k a r s i w a,,,,,a d a j o k u + m i t u,k e a t i g a
306_thousand,r i f i + n u k u,r i b n u,r i b u + n u,r i b u + n u k o,,,r a b n u k u,r i b u + n u k u,,,r i b u + n u k,r i b u + n o,r i b u + j e
307_three,s u o,t o w o,t u e,u t u g,s u,t o ŋ,s i w a,s a g u,,t u o,j e r i g,t u,a t i g a
308_thunder,a d i i + d a m a l a i + d i a,h a r i b,l a l,i d + d u g u r u ŋ,k a r a a t,m e d e k,g a l a g a l,d a l a g a,,k ɑ d o o r ɑ ŋ,i d i l a n,k e t e,d i
309_tinea,k a f i s i ŋ,p a l a ŋ,m ə n a w,k u s + b a n i,b i l a b i l a,,j e r m a n e m a,m a n u,,,g a a l,p u i + m n u m i ŋ,a i + n a s s i
30_blind,a k u t a,m aː r u,e ʔ e ŋ + dʒ a s i,m a r a a,b i t a,g ɛ n dʒ ɑ h,g e n + b a k a,g a t a + b a b i,,b o l a,g e t + j a a s,n e m i r + k o + b o l i,b a d d a ŋ
310_tobark,l o u,l o w o ʔ,v e ŋ l o t i,t o g a ʔ,a u u,,l u ŋ u n,t o j,l V/ǝ V/ǝ,l u,g o ħ o ʔ,a l o i,l a u
311_tobathe,d a w e l,w i l i,v e l a,t u w e j o,w e i,n ɛ w ɛ l,w e l i,n o j a,w e l i,g a w i l e,w e i,i r a + t e w e l i,u l a ŋ
312_tobatheachild,m a r k u s + h a w e l,ʔ e i + a w i l i,v e l a,g u w e j o,w e i,u l g ə w ɛ l,g a w e l i,g o j a,,g a w i l e,m a g u w e i,o l p o k + i r a + g e w e l i,g a u l a ŋ
313_toblow,m u k,a p a ʔ u,u p u,g u p u j o,s u b a u,i h i n,g a m u s,p u j a,,g a p u l o,p u j,u s a s i,p u j a ŋ
314_tobreathe,a h e l,h a ʔ a n,h o p a ŋ,s u p a ŋ,k i ŋ + p i l,ə k ɑ n b ə l ɪ n,k i n s e l,i ħ i ŋ,,g a k i i ŋ,ħ a q a ʔ,t i k i ŋ + s a s a i,h o p a ŋ
315_tobury,n a b u k,ʔ a p a t,t ə r o w,t r a ħ o,p i d a k,p o t,n u k,p a m m a,,l u u k i,t r a ħ a ʔ,a r e i ŋ,p a m m u ŋ
316_toclose,w e h a i,w a t ɛ l ɛ,v e n t e r i ŋ,w a n t e r i ŋ,t a n,u t e r,u t e r i,,t i a r i,t i i r a,s a b a r,l e t e r,t i a r i ŋ
317_tocome,m e,m a,m a,m a,m e,m a,m a i,d a,m a i,m e,a r i a j a ʔ,a m a i,m a
318_tocook,m a d e,d o w o ʔ,n a + d o a,n a d o w o,t a a m,ɑ d ɑ p u,a r + e r i,d a w a,,m a a ŋ,d a u,m a d + i r a,t a ŋ + m i g a ŋ
319_tocount,h a l a k d a,t a ʔ a n a,r e k e ŋ,t e g o,g a l e k,g ə l ɪ k,g a l e k i,t a j a,,g a l i i k i,t a g,g e l e k i,t a g g a ŋ
31_blood,w e,f iː,e v e,w e e,w e e,w ɛ ʔ,w e,w e,w a i,w i i,w e i,w e i,w a i
320_tocry,f e l,ʔ a h a n j,b o w,b a a g o,t a n e i,w i i r,b i r,k i a r u,,k i i r i,k i i d,k o o,h a l l i
321_tocut,h a w e k,t a f ɛ ʔ ɛ,p a r a s,p ə t a k o,b a t a t,g ə b o k,g a r o i t,t a ħ a n a,,w a a k a,t a ħ a ʔ,g e p e s i,l u ʔ u ŋ
322_tocutdown,t u k o ŋ,ʔ a b o ʔ o i,h i b a,g o r o,b u i,h b a n,k o b,b u b u,,,g o o r,k o l i,b a i l a ŋ
323_todance,t a h a i dʒ o k,s ɛ b ɛ ʔ ɛ,d a r i,s u q a i,p i l a n,t ʊ n,t o w e n,d a a l a,,s i i k a,s o ħ a i + t a ħ a r,s a k a l e l,s a u k e
324_todie,m o ŋ,m i n i ʔ,m i n a,n i m i n o,b o r a,ə b ɛ r,m i n,m i n n a,m i n,g a r a m m u,m i n,g a p a ŋ,h i n n a
325_todig,t e u,a l u ŋ,h a n a ŋ,a n o,t e e,ʊ r ɪ n,t e r i,dʒ a n n a,,t i i,ħ a n,t e i,h a n n a ŋ
326_todivide,j e ŋ,ʔ a b a ʔ a ŋ,h u r a k,q a n a ŋ,k a b i h,g b a k,g a w a l i,p e tʃ i,,b a k a a r a,p a ħ a i,b a k a r,d a a i
327_todrink,b u k,n a ʔ,dʒ a r + n a,j i r + n a,n e,n ɑ ɑ ʔ,n a i,w a ʔ a,n a i,g a n e e,h u f a ʔ,i r a + t e n a i,b a ʔ a i
328_todrop,n a + h a l i e h a i,a m u d i,l o l a ŋ + h e r a,g a b a ŋ,m o t a,n ə g ɑ n u k g ə m u ŋ,g a t a i n + s e i,m o r a,,l i g a t a a n i,m a + m o ħ o d,g e p a i + t a i ŋ,m u g g u ŋ
329_toeat,n e,a d i ʔ,n a + n a,n a,n a,m ə h ɑ k,m a n a m,i n a,n a i,g a n e e,i n a,t e n a i + t e p a s i,n a
32_blue,w a l a ŋ a i,,k o a k o a,,w a a i,w ə w ɛ l ɛ ŋ,a r u j a,,,w a l a ŋ a r a,,w o l a r + w o d i ŋ,h a l u a g a
330_tofight,t a l u k,s a r i ŋ + b i n i,t o t a,t a b a j u ŋ,t a a k a,t ɛ i tʃ,t a b u r i n,p a k k i,,t a k i t a a k a,t ə f e o,t a k a w a i,t a k k a ŋ
331_toflow,t a v e l,t a w o i,t o t u,t o t o ʔ,t a w e i,t ə w ɛ ɛ l,t e w e l i,k a r a r i,,w i i k a l a,t o o t a n,w e k e l,s a l i l i
332_tofold,h a l u k,p a l i ʔ i,l e p e t,b l i k o,t a p o o,g d i m,g a l u k,p o j a,,k u p i,g ə f i l a ħ,p o d + a w u l i,p a u k u ŋ
333_togive,h e d e,ʔ ɛ n ɛ ʔ,m e ʔ e n a ŋ,m e g e ŋ,m e + n,g ɛ n,g e i,m a g e n a,e n a,g a r a n i,g ə m i j a n,w a + g e n i r,g a n i a
334_toguard,w e r e e,ʔ u b u ʔ u ŋ,g ə r e j a ŋ,b u k a ŋ,p u k a n,b u u k,g o l e l a,t a ʔ u l i,b u k a n,,w a n b o ħ o n,l a g a d a r,b a u k a ŋ
335_tohear,m a h i a,ʔ a l ɛ p ɛ ŋ,v e ŋ m e,w a a t i,m a i,m ə g ɪ h,m a g i,w a t t i,,m a j i i ŋ,w u r a q,l e w o s i,h a l o a p i
336_tohit,b o l,b i h i ʔ,m e a ŋ,k u u p o,b o n a,k o b,b l e s,b u g i,,w o o,g ə w a ʔ,g e p o i ŋ,g a k k a ŋ
337_tohold,p u n a,ʔ a p u n,p e m p i n a,p i n o ʔ,f u n,g o p ʊ ɪ n,g a p u n a,p i n n i,p V/ǝ ŋ,g a w u n n i,w a n p i n,w o i ŋ,p i n n i
338_tohunt,h a t a ŋ,a r l i l i,s o w,i r a ʔ p o,o i,k ɔ ɔ r,p e t e r i,i l a a f i,,,g ə t i j a r,m i l a k a l,a l a + g a l l a ŋ
339_tokill,f a h e ŋ,a m i n i ʔ,t e ŋ + m e a ŋ + m i n a,g a b a r,p a a n,g ə b ɛ r,g a b a r i n,g a f a l a,,g a p i + g a r a m m u,g a f a r,g e p a i + g a p a ŋ,g a d d i + h i n n a
33_blunt,t o p i ŋ,k u m u ŋ,k u m b u l,k u m a i,b u l,k ʊ m,t o u p,i t t a,,p a k a,p u l u,p a k,m u k k a
340_toknow,n o h i e n a,a h O/ɔ l,v e ŋ k r u a ŋ,l a l o,l a k,g ɛ l,m a g i,k ə l a l a,,g i t e,w a n k r u w a n,l e t e ŋ,k a l a l a ŋ
341_tolaugh,t a ʔ l a l,a s a l a,j a a r,a g a r o,j e e i,ə g ɑ r,j e r i,g e l a,j a r i,j a r a,j ə ħ a r,j e r,j a l i
342_tolive,n a r e,w ɛ tʃ ɛ ŋ,b e t a,w a a t,ŋ + k a ŋ,i ɛ s,o n + n o k a,b a ŋ a,,g a n i i r i + k e a n a,b a ŋ a n,g e n i r k a ŋ,a w a
343_toopen,w e h a l i e l,d u l i ŋ,b a k u ŋ,b e l i ŋ,s u i,a s,g a k i,tʃ a k a n a,,l a k a,ħ a s,l a k,s a k k i ŋ
344_toplant1,m u r o w,m u d i ŋ,m u d i ŋ,,m i t,m d i n,a t a k o + m e d i,m u d d i,m u d i n,m a d i ŋ,m i d a n,m d i,m i d d i ŋ
345_toplant2,t a p e i,t aː p a ŋ,t a p a,t a p,t a f e,t e k,t a p a i,t a p p a,t a p a i + ʔ p i e r tʃ e ʔ,t a a n,i t a p,t a,t a p p a ŋ
346_toplay,m u i l a,h a ʔ o r,m u m a l,m u l a j,k o l k o l,k u k ʊ i,n a m o l i,i g a m o j a,,g a l a a l i,i g a ʔ m i a r,n e l a l i,m u d a l i
347_topound,t a p e,t aː p a ŋ,t a p a,t a p o ʔ,w o t a f e,t p a n,g a t u m b a,s a a d u,t a p,,t ə m u d u k,t u m u,t a p p a ŋ
348_topull,h a f i k,ʔ a b i ʔ i ŋ,a v a k,k e r,i l e h,g ə b ɪ k,g a b i k,k i r i,,g a m i i k a ŋ,k i r i,g e m e k e ŋ,b i d d i
349_topush,h a s u o ŋ r a,a d o ʔ o,t o b a ŋ,g ə t o b u ŋ,s o o r a n,g r u u m,g a d o m,d o b a,,g a b o o k a,d u m a r,g b o k,t u m b u
34_bodyhair,a m u r i,m u dʒ,p i m u d i,m u d u,l a b u t a,a m u d dʒ,t a b o t a,m u d d i,m u d i,m a d i,m u d,m u d i,m a j a ŋ
350_tosay,t a ŋ a,a m a,t u t u k t u t u k,t u t u k,,h ʊ ɪ h,l a k a r i,b i r a ŋ,,t i i l a,,l o m o,a s a ŋ
351_tosee,h e r e i,d u n u ʔ,t e i ŋ,l a l o,t a k,g ə u r,g u u i,b i l i,,g a d e a,b ə l i,g e d i r,g a n i a k a
352_tosing,dʒ a i + w e t a ŋ a,d aː l a,d a r + h o j,g e m e e l o,p i l a n,i l p ə n ɛ n,d a r,p a n t u ŋ,d a r,d a r a,d a a r,d r a,d a l i
353_tosleep,t a,t a r a,t i a ʔ + b e n a,t e e,t a a,m o o p,t a,t a ʔ a,,g a t e,u n t i ʔ,n e t a i,t i ʔ a ŋ
354_tosmell,m o n u ŋ r a,ʔ u m u n i ŋ,m i m i ŋ,g a g a m,m u s a n,g ə m o i n,g u m u n,g a m i n i,,g a m u s a,g a ħ m i n,m u i ŋ,t i l l i
355_tospeak,t a ŋ a,m a t i ŋ,t u t u k,w a n + t u t u k,k a w a a i,h u h ʊ ɪ h,b u s a r,,t u t u k,t a t u k u,w u l t a g,l o m o + t u t u k u,b i r a ŋ
356_tospit,p u i n a,m a j,p u r u ŋ,p u r a ŋ,s u p u i,p ə r ʊ i n,p u r i ŋ,m a l i p l u m,p u r V/ǝ n,i r u m p a k k a,p u r a n,u r i ŋ + k r a,t u p p u ŋ
357_tosplit,k a d e l,a d i d,k a j,g a ħ a s i,k a r e i,h o l,k e n i,b ə l a p a,,k a d a l i,q a s,k e d e l i,b a k u ŋ
358_tosuck,m a r e k,d u t u ʔ,k ə n u m u,t u b o,m a k,m o d o i h,d u u p,d u m a,,g a n e e,p u ʔ,m u d u l i,p u ʔ u ŋ
359_tothink,t o m i p a ŋ,t a n u t,u k u r,t o m e j o,k i ŋ + s u u k,k i r k i r,k i r a k i r a,a m i g r a g a,,g a w a a w a ŋ,w a g o + w a n + h o m + m a i,n e w a m a l,t i m b a r
35_bone,h e t a i p a,t a l o p o,ʔ e + i r a,k i r i,s e l,t ə r o p,t a r o p a,k i l i,,s a r a,k i r,g e s e r i,k e ʔ e
360_tothrow,h u o r,O/ɔ d,o d a,g o o d,t f a,g ɔ ɔ d,g o r,w a t a l a,o d,p a k a,w a n t a a r,w o k o r,k u m m a r
361_totie,k o d e,ʔ a p e tʃ e ʔ,n o d a ŋ,p a t o ʔ,f a l,p ɑ t,u p a t,a a f i,,t a l i ŋ,p r a a t,l e k o i,t i d d i
362_toturn,h a l i k d a,ʔ d i m i ŋ,e b a ŋ,d a n,m i a k i i,g ə w ɑ r,u g a w a l i,w a g i j a,,g a w a a r i,w a n p i a r,m i g e t e n u k u,
363_tovomit,i u,w u d i,j i d a,g i g i r,i w e i,ɪ ŋ,k a r i,k a l a ʔ a,,,dʒ i g a r,m o k o r,k a l e ʔ e
364_towakesoup,n a n + h a r u d a,a h o w o + t u h u,a i ŋ + m i a r,g e t e n o,t a n,g ə t ɛ ŋ,g a m i s i,g ə t a n i,t e n,g a p i + g a s i r e + g a m i t i,g o s o j + i l a n + t u p,g e t e i ŋ,g a t i p p i ŋ
365_towakeup,n a r u d a,t o h O/ɔ,t a i,t a s o,s e r a ŋ,m ə t ɛ h,t i r,s i r a,,g a s i r e + g a m i t i,t u p,a s i r + a m i t,n a t i a n i ŋ
366_towalk,l a k,l a m i,l a m a r,a m a r,l o o,g ɛ p u n l ɑ m,l a k,a j a + a p a,,l o o l a,t e w a r,l a i l o l,l a m a
367_towash,l u o k,l aː m,n a ʔ + b e i,w a ŋ w a,s i r e,ɪ l u w ɛ l,u t t i,b u g i,,s a k u,w a n b l i,l e s i,l a m i ŋ
368_tomorrow,a ʔ k u n,d i l ɛ l ɛ,t o b a ŋ,u r u ŋ,p a i s a n,i d i l,a ŋ a n,b a t tʃ i,,l a l a m a,b a s,m a d a l i,d a l l a
