Cognate_ID	Even	Evenki_Chiringda	Evenki_Khamnigan	Evenki_StonyTunguska	Evenki_Strelka_Chun	Evenki_Teteya	Evenki_Tutonchany	Hezhe	Jurchen	Kur_Urmi	Manchu	Nanai_Bikin	Nanai_Najkhin	Negidal	Oroch	Orok	Oroqen	Solon	Udihe	Ulcha	Xibe
24_11_comev	e m	ə m ə	ə m ə	ə m ə	ə m ə	ə m ə	ə m ə	ɜ m ə		ə m ə				ə m ə	ə m ə		ə m ə	ə m ə	ə m ə		
253_74_old		h o l o k t o			h ɵ l ɵ k t ɵ	h o l o k t o															
254_75_eatv	dʒ e b	ď/d ə p	dz ə p	dʒ ə w	ď/d ə p	ď/d ə pː	ď/d ə p	tɕ ə f ə	dʒ ə f u	dʒ ə f u	dʒ ə	dz ə f		dʒ ə p	dʒ ə p	d ə p	dʒ ə b	dʒ ə t	dz ə	dʒ ə p u	dʑ i
257_76_thighn					b e g d aː			p ə k d ə l ə													
259_76_thighn	oˤ/o ʕ ɣ												oː	o ɣʷ o		ɔː		ɔ ɣ ɔ	oː	oː	
25_11_comev									d i/j u		dʒ i	d j i	dʒ i							d i	dʑ i
260_76_thighn													t a l p i							t a r p j e	
263_76_thighn											b u x j i						b ʊ ɔː k a n				
264_76_thighn											s u k s a χ a										m ɑ + s u s x ɑ
267_76_thighn					d u k i		d u w u k iː														
269_77_thick	d iˤ/i ʕ r aˤ/a ʕ m			d i r a m	d ɨ r a m		d ɨ r a m		d i r a m i	dʒ ɪ r a m j ɪ	dʒ i r a m j i n	d j e r m j e	dʒ e r a m j i	d e j a m	d i j a m j i	dʒ i r ɑ m i	d e r a m	d ɪ r a m	d i a m i	d e r a m j e	dʑ i r ɑ m
271_77_thick										b a r o n									b ou		
272_77_thick												w aː m j e	ɴ w oa m j i			m oː m i				ŋ oa m j e	
274_78_long	ŋ oˤ/o ʕ n aˤ/a ʕ m	ŋ o n i m	n o ɲ ɪ m ɪ	ŋ oː n i m	ŋ o ɲ i m	ŋ o ɲ i mː a m a	ŋ oː ɲ i m	ɔ n i m u	g o m i	o r m j ɪ	ɢ o l m j i n	o r m j e	ɴ w o n e m j i	ŋ o n o m	ŋ ɔː ɲ i m j i	ŋ ɔ n i m i	ŋ ʊ n ʊ m	n ʊ n a m	w a n j i m i	w a l m j e	ɢ o l m i n
275_79_blowv								f ʋ ɬ g i	f u l ə	f u l g j ɪ	f u l g j i j ə	f u l g j i + tʃ i									f i l x i
276_79_blowv	e d e l		ə d i n	ə d ɨ n		ə d ɨ n		ɜ d i n ə		ə d i + n ə	ə d u	x ə d u n	x ə d w u n	ə d i n	ə d i n	x ə d u n	ə d i n	ə d i n	ə d i + n ə	x ə d u n	u d u n + d ɑ
277_79_blowv	ħ uː	h u p	h uː w u	h ʉ w	h uː p		h uː p						p w uː	x uː w	x uː	p uː	uː	uː g u		p uː	
278_80_woodn	m oˁː/oː	m o	m oː	m oː	m o	m oː	m oː	m o	m o	m oː	m oː	m oː	m w oː	m oː	m ɔː	m ɔː	m ʊ ɔː	m ɔ	m oː	m oː	m o
279_81_runv										f a ɢ d a l a		f aː g d a l a									
27_11_comev		i s							i ʃ i x a												
281_81_runv	t u t												t w u t w u		t u t u			t u t ə l i		t u t u	
282_81_runv		t u k s aː n	t ʊ k s a	t u k s a		t u x s aː n	t u x s a							t o k s a		t u k s ɑ	t ʊ k ʃ a		tʰ u k j æ		
284_81_runv					h u k t ɨ	h u k t ɨ															f ɘ x ɕ i
285_82_fallv	t i k		t i kː i	t ɨ k				t u/w ə x ə n	t u x ə	t i k j i	t u x ə	t uː	t w uː	t i k	t iː	t uː	t i x i	t i x i	t i ŋ m ə	t uː	tʰ u ɣ u
286_82_fallv		b u r u		b ʉ r ʉ	b u r u	b u r u	b u r u														
287_83_eyen	iˁ aˁ s aˁ l	eː h a	ɪː s a l	əː s a	e s a	eː h a	eː h a	i z a l a	j a s a	e s a l	j a s a	e s a l a	n a s a l	ɛː s a	i s a	i s ɑ l	j eː h a	ɪː s a l	j æ	e s a l	j ɑ s
288_84_ashn	ħ u l t e n	h u l o p t ɒ n	h u l ə p t əː n	ʉ l əː p t ɨ n	h u l ə p t ɒː n		x u l o p t ɒː n	f ʋ l ə p tʰ ə	f u l ə ŋ g i	f u ɲ ə k t ə	f u l ə ŋ g j i	x u l ə f t ə	p w u ɲ ə k t ə n	x u l ɵː p t ɵː n	x u l ə p t ə	p u n ə k t ə	u l ə p t ə n	u l ə tː ə ŋ	x u l ə p t ə	p u n ə q t ə	f i l i ŋ
289_84_ashn					t u k a l a	t u k a l a															
28_12_breastnchestn	t i ŋ e n		t i ŋ ə n			t ɨ ŋ ə n		tʰ i ŋ ə n	t u ŋ g ə	t i ŋ ə n	t u ŋ g ə n	t u ŋ g ə	t w u ŋ ə n	t i ŋ ɣ ə n	t i ŋ ə	t u ŋ ə			t i ŋ ə	t u ŋ g ə	tʰ u ŋ u n
290_85_tailn	i r g e	i r g iː	i r g i	ɨ r ɣ ɨ	i r g i	i r g i	i r g i	j i ɬ g i	u tʃ ə	i d j g j i	u n tʃ ə x ə n	x ui g u	x w u j g w u	i ɣː i	x u gː u	x u d u	i r g i	i gː i	i ɣ j i	x u dʒ u	u n ʈʂ x i n
291_86_dogn	ŋ iˤ/i ʕ n	ŋ i n a k i n	ɲ ɪ n a k ɪ n	n i n a k i n	ŋ i n a k i n	ŋ i n a k i n		i n a kʰ i	i n d a x u	e n a q ɪ n	i n d a χ uː n	e n d a	e n d a	n e n a x i n	i n a x q j i	ŋ i n d ɑ	ŋ a n a x e n	n i n i x i ŋ	i n a̰i	e n d a	j o n x u n
292_87_cryweepv	ħ oˤ/o ʕ ŋ	h o ŋ o	s o ŋ o	s o ŋ o	s o ŋ o	h o ŋ o	h o ŋ oː	s ɔ ŋ u	s u ŋ g u	s o ŋ o	s o ŋ ɢ o	s o ŋ ɢ o	s w o ɴ w o	s o ŋ ɣ o	s ɔ ŋ ɔ	s ɔ ŋ ɔ	ʃ ɔ ŋ ɔ	s ɔ ŋ ɔ	s o ŋ o	s o ŋ g o	s o ŋ u
293_87_cryweepv																				g w a d e	
294_88_tiev								x ə r kʰ ə											x ə k ə		
295_88_tiev				h ə r k ə										x ə j g i							
296_88_tiev	u j	u j i	u j u		u j iː		u j iː						ui	u j	u j u	ui		u j i	ui	u j	
297_88_tiev										s j e r a tʃ ɪ		s j e r a + tʃ e									
2_1_firen	t oˤ/o ʕ ɣ	t o γ/ɣ o	t o ɣ o	t o w o	t o γ/ɣ o	t o γ/ɣ o	t o γ/ɣ o	tʰ o	t a	t oː	t u w a	t ao	t a w a	t o ɣʷ o	t ɔː	t ɑ w ɑ	t ɔ ɣ ɔ	t ɔ ɣ	tʰ oː	t a w a	tʰ u ɑ
302_88_tiev																	a xː e	a kː ɪ			
303_89_seev	i tʃ	i s ə	i ts ə	ɨ tʃ ə	i tʃ ə	i tʃ ə	i ś/ʃ ə	i ʨh/tɕʰ i		i tʃ ə		i s k ə	i tʃ ə	i tʃ ə	i tʃ ə	i t ə	i tʃ i	i ʃ i	i s ə	i tʃ ə	
305_89_seev											s a b u										s ɑ v ɘ
306_90_sweet							a l a p tʃ u	a m tʰ t ə q h u l i		a m t a + s j ɪ		a m t a + ŋ ɢ a	a m t a + s eː		a m t a + s j i	ɑ p t ɑ u l i		a n t a ʃ ɪ		a m t a	ɑ m tʰ ɘ ŋ
309_90_sweet									d a n tʃ u		dʒ a n tʃ u x uː n										
310_90_sweet	d aˤ/a ʕ l r aˤ/a ʕ													d a l e							
312_90_sweet				a l a p tʃ u										a l a g d i							
313_91_ropen								x o r q h u ŋ		χ o t q o n		χ o r q o				χ ɔ r q ɔ	ʊ r k ʊ n	ʊ kː ʊ ŋ		x o r k o	
318_91_ropen									f u t a		f u t a										f ɘ tʰ ɑ
319_91_ropen	u s i	u h iː			u ś/ʃ iː k oː n		u h iː							u s iː				u ʃ iː l ə ŋ			
322_91_ropen				h ə r k ə w ʉː n		h ə r k ə w u n	h ə r k ə									x əː + k ə					
324_92_shadeshadown	ħ iˤ/i ʕ ɲ aːˁ n	h a ŋ ɲ a n		h a ɲ a n	h a ɲ a n	h a ɲ a n	h a ŋ ɲ a n	x a ɲ ɛ n		χ a ɲ a n		f a ɲ a	p a ɲ a n		χ a ɲ a	p ɑ n ɑ			x a ɲ a	p a ɲ a	
325_92_shadeshadown									x ə l m ə		x ə l m ə n										x ɘ l m ɘ n
326_92_shadeshadown			ʃ i m ŋ uː n											s i m ŋ u n				ʃ i ŋ u ŋ			
329_93_birdn								k ɑ s kʰ ə			ɢ a s χ a				g a s a	ɢ ɑ s ɑ					
32_12_breastnchestn		h i k o n		h ɨ k ə n	h i k ɵː n		h i k ɒː n														
330_93_birdn																			ts i n d a̰	tʃ iː n d ə	
331_93_birdn												ɲ i ts ə	n i/j ə tʃ əː n								
333_93_birdn									s ə tʃ ə												tɕ i ʈʂ kʰ ɘ
334_93_birdn	d e ɣ i		d ə ɣ iː	d ə ɣ	d ə γ/ɣ iː									d ə ɣ iː			d ə j i	d ə ɣ i			
335_93_birdn		tʃ i p k aː n			tʃ i p i tʃ aː	tʃ i p i tʃ a	ś/ʃ i p k aː k aː n														
336_94_saltn			d a w s ʊ n					t au z ə n	d a ts u	d ao s ʊ n	d a b s u n	d ao s o	d ao s w o n			d ɑ u ʃ u		d ɔː s ʊ ŋ		d a w s o	d ɑ v s u n
337_94_saltn	t aˤ/a ʕ q														d a q s o						
339_94_saltn		t u r u k ə		t ʉ r ʉ k ə	t u r u k ə	t u r u k ə	t u r u k ɵ														
33_13_rainn		t ɨ g d ə		t ɨ ɣ d ə			t ɨ g d ɒ	tʰ i k d ə		t i g d ə		t u g d ə	t w u g d ə	t i g d ə	t i g d ə	t u g d ə	t e g d ə		t i g d ə	t u g d ə	
342_95_small			ɲ iː č/tʃ i										n w uː tʃ i	ɲ i t k uː n	ŋ iː tʃ i	n uː tʃ i	n i tʃ u x u n	n i ʃ x u ŋ	ŋ i ts a̰	ɲ uː tʃ i	
343_95_small	k o tʃ u k e n							q h ɔ m ʨh/tɕʰ u													
345_95_small										n i s k u n		i s k j i									
348_95_small									a ʃ a		a dʒ i d a										ɑ dʑ i g
349_95_small		h u j u k uː n		h ʉ j ʉ k ʉː n	h u j u k uː n	h u j u k uː n	h u l u k uː n														
34_13_rainn	uˤ/u ʕ d aˤ/a ʕ n		ʊ d ʊ n		u d u n	u d u n									u d u			ʊ d ʊ ŋ			
350_96_wide								t a r m i		d a r a m j ɪ		d a r a m j e	d a r a m j i		d aː m j i	d ɑ r ɑ m i				d a r a m j e	
351_96_wide	q aˤ/a ʕ l b iˤ/i ʕ n			a l b i n	a l b i n	a l b i n	a l b iː n												a g b j i		
354_96_wide									o ts o		o n tʃ o										o n ʈʂ h o
355_96_wide																	ə ŋː ə l	ə ŋː ə	ə ŋ m ə		
357_97_starn	oˁː/oː s iˤ/i ʕ q aˤ/a ʕ t	o h i k t a	oː ʃ ɪ k t a	oː s iː k t a	o ś/ʃ i k t a	oː h i k t a	o h i k aː k t ə	u ɕ i a kʰ tʰ ə	u ʃ i x a	o s æ q t a	u s j i χ a	o s j e k t a	χ w o s a q t a	oː s i k t a	χ ɔ s j i k t a		ʊ ɔː ʃ e k t a	ɔː ʃ ɪ tː	w a j k t a	x o s t a	u s x ɑ
358_97_starn																u n i ɣ ə r i					
359_98_in	d uˤ/u ʕ	d uː	d oː	d ʉ	d u	d u	d uː	t u	d o l o	d o		d o	d w o	d uː	d ɔ	d ɔ	d ʊ	d ʊ	d u	d o	
35_13_rainn									a g u		a ɢ a										ɑ ɣ ɑ
360_98_in											d ə										d
363_99_hard	m aˤ/a ʕ ŋ			m a ŋ a			m a ŋ a p tʃ u				m a ŋ ɢ a								m a ŋ i		m ɑ ŋ
364_99_hard										q oa q + q oa q		q oa χ + q oa χ + b j iː	q w oa χ + q w oa χ + b iː							kʷ a x + kʷ a x + b j i	
365_99_hard	d o ŋ t e r									d ə ŋ + d ə ŋ											
36_14_1sgpronoun	b iː	b i	b iː	b ɨ	b iː	b iː	b iː	p i	b i	m j i	b j i	b j i	m j i	b i	b j i	b iː	b iː	b i	b j i	b j i	b i
370_99_hard											q a t a ŋ + s ə m ə			k a t a n			k a t a n	x a t			
372_100_crushgrindv								m ɔ dz ɔ l o		m o s o l a											
373_100_crushgrindv	tʃ i l q aˤ/a ʕ														tʃ i kː a				ts i k a		
374_100_crushgrindv											x u dʒ u r ə		x w u dʒ i r ə								x u ɖʐ u r u
375_100_crushgrindv										n e dʒ a r a	n j i dʒ a r a	ɲ e d j e r a								ɲ i dʒ u r tʃ u	
379_100_crushgrindv	ħ u r u ŋ			h ʉ r ɣ ʉ																	
37_15_namen	g e r b e	g ə r b iː	g ə r b iː	g ə r b ɨː	g ə r b iː	g ə r b iː	g ə r b iː	k ə r p i	g ə b u	g ə r b j i	g ə b u	g ə r b j i	g ə r b w u	g ə l b i	g ə bː i	g ə l̥ b u	g ə r b i	g ə bː i	g ə g b j i	g ə l b u	g ɘ v
382_100_crushgrindv														n e l k a							
384_101_mountainhilln	u r e k tʃ e n	u r ɵ	h o r oː n	ʉ r ə	u r əː	u r ə	u r ə	u r kʰ ə n		u r ə n		x u r ə	x w u r əː n	u j ɵː	u w ə	x u r i ɣ ə	u r ə	u r u	w ə	x u r ə	
385_101_mountainhilln									a l i		a l j i n										ɛ l i n
386_102_sitv	t e ɣ e tʃ	t ə γ/ɣ ə	t ə ɣ ə	t ə ɣ ə t	t ə γ/ɣ ə	t əː	t ə g ə	tʰ ə	t ə	t əː + tʃ i	t ə	t əː + s j i	t əː s i	t ə ɣ ə t	t əː + s j i	t əː	t ə ɣ ə	t ə ɣ ə	t ə	t əː + s u	tʰ ɘ
387_103_fingernailn	oˤ/o ʕ s t aˤ/a ʕ	o h i k t a	o ʃ ɪ k t a	o s iː k t a	oː ś/ʃ i k t a	o h i k t a	o h iː k t a	ɔ ɕ a χ tʰ ə		o s j a q t a		χ o s a q t a	χ w o s a q t a	oː tː a	χ ɔ s j i k t a	χ ɔ ʃ i k t ɑ	ʊ h e k t a	ʊ ʃ ɪ tː	w a j k t a	x o s t a	
388_103_fingernailn									x i t a x u n		x j i t a χ uː n										kʰ œ t x u n
389_104_throwv	n oˁː/oː d aˤ/a ʕ		n oː d aː	n oː d aː				n o t o		n oː d a							n ʊ ɔː d aː	n ʊː d a			
38_16_lousen	k u m k e	k u m k oː	k u m k əː	k ʉ m k ə	k u m k ɒː	k u m k ɒː		q h u m ə kʰ ə		k u ŋ k ə				k u m k ə	k u m ə		k u m k ə	x u ŋ k ə	k u m u ɣ ə		
390_104_throwv												dz o l o + l a		dʒ o l o t	dʒ ɔ l ɔ + d ɔ				dʒ ɔ l ɔ + d ɔ	dʒ o l o + l o	
392_104_throwv										n a ŋ ɢ a + l a		n a ŋ ɢ a l a	n a ɴ a + l a								
399_105_three	iˤ/i ʕ l e n	i l a n	ɪ l a n	i l a n	i l a n	i l a n	i l a n	i l a n	i l a n	e l a n	i l a n	e l a	e l aː n	e l a n	i l a	i l aː	e l a n	ɪ l a ŋ	i l a	e l a	i l ɑ n
39_16_lousen									t i x ə		tʃ i x ə	tʃ i k t ə	tʃ iː k t ə			tʃ i k t ə				t i q t ə	tɕ i ɣ ɘ
3_2_nosen	oˤ/o ʕ ŋ aˤ/a ʕ t	o ŋ o k t ɒ	o ŋ o k t o	o ŋ o k t o	o ŋ o k t o	o ŋ o k t o	o ŋ o k t ɒ							o ŋ ɣ o k t o			ɔ ŋ ɔ k t ɔ				
400_106_right	aːˁ n g aˤ/a ʕ ɣ	a n		a n ŋ uː	a n	a n ŋ i d aː	aː ŋ u					a n t a	aː ŋ ea	a ɲ ŋ i d aː	aː ɲ dʒ i	aː n dʒ ɛː	aː n	aː ŋ	ai a ŋ a dz a	aː n dʒ e	
401_106_right								i ʨh/tɕʰ a kʰ tʰ ə	i t i	e s t a	i tʃ i	e s j e k t a									i s tʰ ɘ
403_107_washv			ʃ i l k i		ś/ʃ i l k iː			ɕ i l i kʰ i	ʃ i l i x i a	s j e l k j ɪ		s j e l q o	s e l q w o	s e l k i	s j i kː i	ʃ i l̥ t u	ʃ e l k e	s ɛ l k ɪ	s j i k j i	s i l tʃ u	
405_107_washv	aˤ/a ʕ w			a b					au					a w							
406_107_washv											o b o										o v u
407_108_graspv	dʒ aˤ/a ʕ w		dz a β a	dʒ a w a	ď/d a w a			t ʐ a f a		dʒ a f a + k tʃ ɪ	dʒ a f a	dz a f a	dʒ a p a		dʒ a w a	d ɑ p ɑ	dʒ a w a	dʒ a w a	dz a w a	dʒ a p a	ɖʐ ɑ v ɘ
408_108_graspv	ħ e p k u													s ə p k ə l ə							
409_109_branchn	g aˤ/a ʕ r	g a r a	g a r a	g a r a	g a r a	g a r a	g a r a	k ɑ r kʰ ə n	g a r g a	ɢ a r j ɪ	ɢ a r ɢ a n	ɢ a r a		g a j a	g aː	ɢ ɑ r ɑ	g a r a	g a r	g aː	g a r a	ɢ ɑ r x ɘ n
40_17_wingn	d eː t l e	d ə k t ə n d ə	d ə k t i l əː	d ə k t ɨ l əː			d ə k t ə n d ə	t ə x s ə		d ə k t ə n ə					d ə k t i s ə				d a k t æ		
410_109_branchn					s ə k t ə											s ə + i k + t ə					
411_109_branchn										s u k t u			s w uː k t w u							s uː q t u	
412_110_mann								x ɑ x ɑ	x a x ai		χ a χ a										x ɑ ɣ ɘ + n ɑ n
413_110_mann												x u s ə + n a j	x w u s ə + n a j		x u s ə + ɲ æ	x u ʃ ə nː ɛː				x u s ə + ɲ iː	
414_110_mann	ɲ aˤ/a ʕ r iˤ/i ʕ		ɲ ɪ r a b ɪː + b ə j ə							n e r j a + b ə j ə						n a + r i	n e r a j + b ə j ə	n ɪ r ʊ ɣ	n j iː + n t a		
417_110_mann		b ə j ə		b ə j ə	b ə j ə	b ə j ə	b ə j ə							b ɵ j ə							
418_111_raw	ɲ aːˁ ɫ/lˠ aˤ/a ʕ q tʃ aˤ/a ʕ							ɲ i a ɬ kʰ i n		ɲ a l k j ɪ n		ɲ æː l o	ɲ aː l w oː n	ɲ a l i x i n	ɲ aː l i	n aː l uː			ɲ a + l j i ɣ j i	ɲ eː l o	
419_111_raw					tʃ u k i n		s uː k i n														
420_111_raw	e s e k tʃ e	ə h i k i n		ə s ɨ k ɨ n			ə h iː k i n				ə s x u n						ə h i x i n	i ʃ iː x i ŋ			u s x u n
421_112_tomorrow	t iˤ/i ʕ m iˤ/i ʕ n		t i m iː					tʰ u m a kʰ i	t i m a x a n ə ŋ g i	t e m a q ɪ	tʃ i m a χ a	tʃ e m ae	tʃ e m a n a	t e m a n a	t iː + t i m j æ + ɲ i	tʃ i m ɑ n aː	t e m aː n a	t ɪ m a ʃ x ɪ ŋ	t i m a n a	t e m a n a	tɕ i m ɑ r
422_112_tomorrow		t ə γ/ɣ ə m iː		t ə ɣ ə m ɨː	t ə γ/ɣ ə m iː		t ə γ/ɣ ə m iː														
423_113_two	dʒ o r	ď/d u r	dz uː r	dʒ ʉː r	ď/d uː r	ď/d uː r i	ď/d uː r ə	tɕ u r u	dʒ u/w ə	dʒ uː r	dʒ u w ə	dz uː	dʒ w u/w ə	dʒ uː l	dʒ uː	d ɵː	dʒ uː r	dʒ uː r	dz uː	dʒ u/w ə l	ɖʐ u
424_114_bottomn	ħ e r	h ə r ə		h ə r ə	h ə r ə	h ə r g i	h ə r ə	x ə r k i		x ə r ə	f ə r ə	f ə r ə	p ə r ə l	x ə j ə	x əː	p ə r ə	ə r g i l ɐː	ə r	x ə	p ə r ə	
426_115_liedownv								t u d u			d ə d u										d u d u
427_115_liedownv										a f j ɪ n a		ao	ao		aː	ɑ q p ɑ n				a w o	
429_115_liedownv																			k ə p t ə		
42_17_wingn	aˤ/a ʕ s iˤ/i ʕ k iˤ/i ʕ			a s a k iː	a s a k iː					χ a s a r	a s χ a	χ a s a r a	χ a s a r	a s a x iː		χ ɑ s ɑ	a h a x eː			χ a s a l	ɑ s x
431_115_liedownv		h u k u l oː	u k ə l əː	h ʉ k l ə	h u k u l ɒː	h u k u l ɒː	h u k u l oː							x u g l ə			u l ɐː	x u l ə			
432_116_snaken								m ə kʰ i	m əi x ə	m u j k j i	m əi x ə	m ui k j i	m w u j k j i	m iː x i	m j iː k j i	m ui ɣ i				m ui	m ɘ i x
433_116_snaken		k u l i n	k ʊ l ɪː n	k u l i n	k u l iː n	k u l i n	k u l iː n										k ʊ l e n	x ʊ l ɛ ŋ	k u l j i ɣ a		
434_116_snaken	dʒ aˤ/a ʕ b d aˤ/a ʕ									dʒ a b dʒ a n											
435_116_snaken														o l g o m a							
436_117_cloudn	t o ɣ e tʃ i n	t u x s u	t u k s u	t uː k s u	t uː x s u	t u k ʃ u	t u x ś/ʃ u	tʰ u kʰ s u	t u g i	t u s u	t u g j i	t u k s ə	t ə w ə k s ə	t o k s o	t ɔ q s ɔ	t ə w ə ʃ k ə	t u k ʃ u	t o ʃː i	tʰ o k j ø	t ə w ə k s ə	tʰ u x s o
437_118_yearn	aˤ/a ʕ n ŋ aˤ/a ʕ n	a n ŋ á/a n iː	a nː a ɲ ɪː	a n ŋ a n iː	a n ŋ a ɲ iː	a n ŋ a ɲ i	a n ŋ a ɲ i	ɜ n i/j ə n	a n i/j ə	a n ŋ a n ɪ	a n j i j a	ae ŋ a ɲ a	a j ɴ a n i	a ɲ ŋ a n iː	a ŋː a ɲ i	ɑ n ɑ n i	a ŋː a n e	a n ɛ	a ŋ a n j i	a ɲ a	ɑ n j
439_119_tearv										g u d ə l j i		g u d ə l ə	g w u d ə l i		g u d ə	g u d ə n			g u dz a l j i	g u d ə + l i	g i ɖʐ ɑ l ɘ
440_119_tearv												x ə g d ə		x ə g d ə l							
443_119_tearv	t e k e l		t ə k əː l iː	t ə k əː																	
446_119_tearv		ə t ɨː			ə t ɨ r g ə																
448_120_askv				g ə l ə						g ə l ə		g ə l ə	g ə l ə	g ə l ɵː	g ə l ə	g ə l ə		g ə l ə	g ə l ə	g ə l ə	
449_120_askv								k ɑ tʃ i									g a				
450_120_askv		h a n ŋ u k t a				h a n ŋ u k t a	h a ŋ uː k t a		f o n i												f œ n dʑ i
451_120_askv									b ai ʃ i		b ai										
455_121_weavev	i n ŋ e													i ɲ ŋ i	i gː u						
457_121_weavev										ɢ o r f ɪ n a			g w o r p e n								
459_121_weavev																m u r i				m u r u	
45_18_meatn	u l r e	u l d ə	u l d ə	ʉ lː ə	u lː ɵ	u lː ə	u l d ə	u ɬ z ə		u l ə		u l ə k s ə	u l i k s ə	u l ə	u k t ə	u l i ʃ ə	u l ə	u l d ə	u l ə	u l s ə	
460_121_weavev											dʒ o d o										ɖʐ o d u
461_121_weavev																	n ə x ə	n ə x ə			
463_122_at	d uˤ/u ʕ	d uː	d oː	d ʉ	d uː		d uː	t u		d o		d o	d w o	d uː	d u	d ɔ	d ʊ	d ʊ l aː	d u	d o	
464_122_at											d ə										d
465_123_edgen		ď/d a p k a		dʒ a p k a	ď/d a p k a		ď/d a p k a	tɕ a p kʰ a r ɛ													
466_123_edgen	k iˤ/i ʕ r aˤ/a ʕ ɣ									k j e r a + n ɪ		k j e r a	k j e r a		k j i a	k i + r a			k j æ	k e r a	
467_123_edgen										dʒ ə r j ɪ n	dʒ ə r j i n									dʒ ə r j i	
46_18_meatn									j a l i		j a l j i										j ɘ l i
471_123_edgen	dʒ e j e n													dʒ ə j ɵː n				dʒ ə j i			
473_123_edgen		o l d ó/o n		o l d o n			o l d oː n														
475_124_chinn								s ə ʨh/tɕʰ kʰ ə		s ə s x ə	s ə n tʃ ə x ə	s ə s x ə	s ə s x ə							s ə s ə x ə	s ɘ ʈʂ k
476_124_chinn														g ɛː x aː n	g j æ q aː	g ɛː ɢ ɑ					
477_124_chinn			dz ə ɣ i	dʒ ə ɣ	ď/d e γ/ɣ		ď/d ə g										dʒ ə ɣ	dʒ ə ɣ i	dz əi		
479_125_playv	e w i	ə w iː	u ɣ iː	ə w ɨː	ə w i	ə w iː	ə w iː		ə f i		ə f j i	k u f j i	x w u p i	ə w iː	ə w i	x u p i	ə w i	u ɣ iː		x u p u	i v i
47_19_armhandn	ŋ aːˁ ɫ/lˠ	ŋ a l ə	n aː l a	ŋ aː l ə	ŋ aː l ə	ŋ aː l ə	ŋ aː l ɒ	n a l a	g a l a	ŋ a l a	ɢ a l a	n a n a	ɴ aː l a	ŋ a l a	ŋ aː l a	ŋ aː l ɑ	ŋ aː l a	n aː l	ŋ a l a	ŋ aː l a	g ɑ l
485_126_cheekn										d əu dʒ ə		d əu d j i	d ə r ə l		d ə bː i						
486_126_cheekn											ʃ a q ʃ a χ a								s a s a		
487_126_cheekn									f u n tʃ i							p u l̥ tʃ i					d ɘ r ɘ j + f i l tɕ i n
489_126_cheekn	e l r e k e n																				
490_126_cheekn			a n ts a n	a n tʃ a n	a n tʃ a n		a n tʃ a n							a n tʃ a n			a n tʃ a n	a n ʃ ɪ ŋ			
491_127_pusn	ɲ aːˁ s		n aː k s a	ɲ aː k s ə	ɲ aː x s ə	ɲ aː x ʃ ə	ɲ aː x ś/ʃ ə	ɲ i a ŋ kʰ i			n j i j a q j i	ɲ æː k s a	ɲ a + k s a	ɲ a k s a	ɲ aː + k s a	n aː k s ɑ	ɲ a k ʃ a		n j a + ŋ ə	ɲ eː k s a	j ɑ ŋ k
493_128_flyv	d e g	d ə g	d ə ɣ i l i	d ə ɣ	d ə g	d ə g	d ə g	t ə k d ə	d ə	d ə g d ə	d ə j ə	d ə g d ə + tʃ i	d ə g d ə	d ə g	d əi l j i		d ə j l i	d ə ɣ ə l i	d j i/j e l j i	d ə g d ə	d ɘ j i
495_129_holen	ħ aˤ/a ʕ ŋ aˤ/a ʕ r	h a ŋ aː r	s a ŋ aː r	s a ŋ aː r	s a ŋ a r		h a ŋ aː r	s a ŋ a		s a ŋ a	s a ŋ ɢ a	s a ŋ a	s a ɴ a r	s a ŋ ɣ aː	s a ŋ a	s ɑ ŋ ɑ		s a ŋ a l	s a ŋ a	s a ŋ g a l	s a ŋ ɢ a
496_129_holen												l u k t u		l o k t o x o						l o q t o	
499_130_growv	b aˤ/a ʕ l d aˤ/a ʕ + w aˤ/a ʕ tʃ			b a l d iː	b a l d ɨː		b a l d ɨ			b a l d ɪ		b a l d j e		b a l d i	b aː g d i	b a l + ɟ i			b a g d i	b a l d a	
49_20_flyn	d i l i k e n			g ɨ l k ə		d ɨ l k ɒ n		tʃ i n kʰ ʊ n	d ə r x u/w ə	dʒ i l ə k u n	d ə r x u w ə	g j i l u k t ə	dʒ i l w u/w ə k t ə	d i r k ɵː n	g j i l u w ə	dʒ iː l u w ə	d i l k ɐː tʃ ɐː n	g i l x o ŋ		g iː l u q t u	d u r v o
4_2_nosen								ɔ f ʋ r ə		o f o r o	o f o r o	o f o r o	o p w o r w o								o v u r
501_130_growv														i s ə w			j uː		j u		
502_130_growv			u r u g							u r ə			u r ə			u r ə				u r ə	
507_131_headn	d iˤ/i ʕ l	d ɨ l	d ɪ l ɪ	d ə l	d ɨ l	d ɨ l	d ɨ l m a	t i l i		d j ɪ l j ɪ		d j e l j e	dʒ e l i	d e l	d i l j i	dʒ i l i	d e l e		d i l j i	d e l e	
508_131_headn									u dʒ u		u dʒ u							u dʒ u			u ɖʐ o
509_132_bellyn								x ə b ə l i	x əu l i		x ə f ə l j i										kʰ ɘ v ɘ l
510_132_bellyn										ə m u g d ə		x ə m d ə	x ə m d ə	ə m u g d ə	ə m u g d ə				ə m u g d ə	x ə m d ə	
512_132_bellyn	u r			ʉ r																	
513_132_bellyn	ħ u k t e	h u k i t ə		h ʉ k ɨ t ə	h u k i t ə	h u k u t ə	h u k i t ə														
