Cognate_ID,Azeri,Baraba,Bashkir,Chuvash,CodexCumanicus,CrimeanTatar,Dolgan,Gagauz,KaraKalpak,KarachayBalkar,Karaim,Kazakh,Khakas,Khalaj,Kirghiz,Kumyk,MiddleChulym,Nogai,NorthAltai,OldUyghur,Salar,SarygYugur,Shor,SouthAltai,Tatar,Tofa,Turkish,Turkmen,Tuvan,Uighur,Uzbek,Yakut
160_right,s a ɣ,o ŋ,u ŋ,s ɯ l d ə m,o ŋ,o ŋ,u ŋ a,s a a + t a r a f,o ŋ,o ŋ,o n,o ŋ,o ŋ,b o d,o ŋ,o ŋ,o ŋ,o ŋ,o ŋ,o ŋ,s ɯ χ,o ŋ,o ŋ,o ŋ,u ŋ,o ŋ,s a ɣ,s a ɣ,o ŋ,o ŋ,o ŋ,u ŋ a
161_ripev,j e t i ʃ,p i ʃ,b e ʃ,p ĭ ɕ,b i s,p i ʃ,b u s,o l ɣ u n l a ʃ,p i s,b i ʃ,j e t i l,p ĭ s,p ɯ s,,b ɯ ʃ,b i ʃ,p ĭ s,p i s,p ɯ ʃ,b ɯ ʃ,p i ʃ,,p ɯ ʃ,b ɯ ʃ,p e ʃ,b ɯˁ ʃ,o l g u n l a ʃ,b i ʃ,b ɯ ʃ,p i ʃ,p i ʃ,b u s
162_risev,tɕ ɯ χ,k y t i r i l,k y t æ r e l,χ ŏ b a r,,k ø t e r i l,ɯ t ɯ n,p i n,k ø t e r i l,tɕ ɯ q,k e t i r i l,k ø t e r,ø r l e,h i n,k ø t ø r y l,g ø t e r,,k ø t e r i l,k ø d y r y l,ø r,χ u p,ø r l e,ø r l e,tɕ ɯ q,k y t æ r e l,y n,tɕ ɯ k,tɕ ɯ q,k ø d y r y l,k ø t y r y l,q o t a r i l,ø r ø + t a ɣ ɯ s
163_rivern,tɕ a j,s u,j ɯ l ɣ a,ʃ ɯ v,o k u s,ø z e n,e b e,,ø z e k,s u w,ø z æ n,ø z e n,s u ɣ,ʨ ɔː b ɔː n,s uː,ø z e n,tɕ u l,s u w,s u ɣ,ø g y z,u z e n,s u,s u ɣ,s uː,j ɯ l ɣ a,h e m,ɯ r m a k,,χ e m,s u,,ø r y s
164_rootn,k ø k,t a m ɯ r,t a m ɯ r,t ɯ m a r,t u b,t a m ɯ r,h i l i s,k ø k,t a m ɯ r,t a m ɯ r,t a m u r,t a m ɯ r,,,t a m ɯ r,t a m u r,tɕ ə l t ə s,t a m ɯ r,t a z ɯ l,j ɯ l t ɯ z,o z e χ,j ɯ l t ɯ s,tɕ ɯ l t ɯ s,t a z ɯ l,t a m ɯ r,s ɯ l d ɯ s,k ø k,k ø k,d a z ɯ l,t o m u r,i l d i z,s i l i s
165_ropen,i p,j i p,b a w,p ŏ j a v,ø r k e n,a r q a n,b ɯ a,tɕ a t ɯ,b a w,,j i p,b a w,p a ɣ,,ʥ i p,a r q a n,p a ɣ,b a w,p a ɣ,u r u q,u r u χ a n,p a ɣ,p a ɣ,b uː,b a w,b a ɣ,i p,j y p,χ e n d i r,,a r q ɔ n,b ɯ a
166_round,d ø v r e l i,,t u m a l a q,ɕ a v r a g a,t e g i r m a,t o m a l a q,t ø g y r y k,j u v a r l a k,d o m a l a q,,j u m a l a k,d o m a l a q,n ɯ m a l a χ,g i l d i r,t e g e r e k,,ʨ u m a q,t ɯ m a l a q,,t e ɣ i r m i,,,,t e ɣ e r i k,j o m r ɯ,t øː r e j,j u v a r l a k,,,d o m u l a q,d u m a l ɔ q,t ø g y r y k
167_runv,ɢ a ʨ,j ø g i r,j y g e r,tɕ u p,j u g u r,tɕ a p,h yː r,k a tɕ,ʒ u w ɯ r,tɕ a p,tɕ a p,ʒ y g ĭ r,tɕ y g y r,j iː r,ʥ y g y r,tɕ a p,tɕ y g y r,ʃ a p,tɕ y g y r,j y g y r,ʒ y k y r,q a j l a,tɕ y g y r,ʥ y g y r,j ø g e r,s u n,k o ʃ,ɯ l ɣ a,m a ŋ n a,tɕ a p,tɕ ɔ p,s yː r
168_saltn,d u z,,t o ð,t ŏ v a r,t u s,t u z,t yː s,t u z,d u z,t u z,t u z,t u z,t u s,t uː z,t u z,t u z,t u s,t u z,t u s,t u z,d u z,t u z,t u s,t u s,t o z,t u s,t u z,d u z,d u s,t u z,t u z,t uː s
169_sandn,ɢ u m,q u m,q o m,χ ə j ə r,k u m,q u m,k u m a k,k u m,q u m,q u m,k u m,q u m,χ u m,,q u m,χ u m,q u m,q u m,q u v a q,q u m,k u m,q u m,q u m a q,,q o m,h u m,k u m,tɕ æ g e,,q u m,q u m,k u m a χ
16_bellyn,ɢ a r ɯ n,e ʨ,e s,χ ɯ r ə m,c a r e n,q u r s a q,i s,k a r n ɯ,i ʃ,q a r ɯ n,k u r s a χ,ĭ s,ĭ s t ĭ,q aː r ɯ n,i tɕ,q u r s a q,q aː r ə n,i ʃ,i tɕ,q a r ɯ n,χ u s a χ,i tɕ i g e,q u r s a q,i tɕ,q o r s a q,iˁ ʃ t ĭ,k a r ɯ n,i tɕ,i ʒ i n,i tɕ,q ɔ r i n,i s
170_sayv,d e,æ j t,æ j t,t e,a j t,a j t,d i e,d e,a j t,a j t,a j t,a j t,tɕ oː χ t a,h aː j,a j t,d e,a j t,a j t,a j t,t eː,e j i ʃ a,a j t,a j t,a j t,æ j t,d e,d e,a j t,tɕ u ɣ aː l a,e j t,a j t,d i e
171_scratchv,ɢ a ʃ ɯ,,t ɯ r n a,χ ɯ ɕ,,q a ʃ ɯ,,k a ʃ ɯ,q a s ɯ,q a ʃ ɯ,k a ʃ ɯ,q a s u,t ɯ r b a,q a ʃ u,q a ʃ ɯ,χ a ʃ ɯ,t ə r β ə q t a,q a s ɯ,t ɯ r b a,,,t ɯ r n a,t ɯ r b a q t a,t ɯ r m a,q a ʃ u,,k a ʃ ɯ,ɢ a ʃ a,,q a ʃ l a,q a ʃ i,t a r b aː
172_sean,d æ n i z,t æ ŋ g i s,d i ŋ g e ð,,t e n g i s,d e ŋ i z,,d e n i z,t e ŋ i z,t e ŋ i z,t e n g i z,t e ŋ ĭ z,,,d e ŋ i z,d e ŋ i z,,t e ŋ i z,t e ŋ i s,,,,,t e ŋ i s,d i ŋ g e z,,d e n i z,d e ŋ i z,,d e ŋ i z,d e ŋ i z,
173_seev,gʲ ø r,k ø r,k y r,k u r,k o r,k ø r,k ø r,g ø r,k ø r,k ø r,k ø r,k ø r,k ø r,k e r,k ø r,g ø r,k o rʲ,k ø r,k ø r,k ø r,k ø r,k ø r,k ø r,k ø r,k y r,k ø r,g ø r,g ø r,k ø r,k ø r,k o r,k ø r
174_seedn,,,o r l o q,v ŏ r ŏ,u r u,u r l u q,,,,u r l u q,u r l u k,u r ɯ q,,,u r u q,u r l u q,,u r l ɯ q,,u r u ɣ,u r l u χ,,,,o r l ɯ q,,,,,u r u q,u r u ɣ,
175_sewv,t i k,t i k,t e k,ɕ ĭ l e,t i k,t i k,t i k,d i k,t i k,t i k,t i k,t ĭ k,t ĭ k,t i k,t i k,t i k,t ĭ k,t i k,t i k,,t i χ,t e k,t i k,k ø k t ø,t e k,d aː r a,d i k,t i k,d aː r a,t i k,t i k,t i k
176_shadeshadown,k ø l k æ,,k y l æ g æ,ø̆ m ø̆ l g e,c o l æ g e,k o lʲ g e,k y l y k,g ø l g æ,k ø l e ŋ k e,k ø l e kː e,k ø l e g e,k ø l e ŋ k e,k ø l e k,,k ø l ø k ø,g ø l e n t g i,k eː l ĭ g,k ø l e t k i,k ø l ø t k ø,k ø l i g e,,k y l e h k e,k ø l e k,k ø l ø t k i,k y l æ g æ,h ø l e g e,g ø l g e,k ø l e g e,χ ø l e g e,k ø l æ ŋ k æ,,k y l y k
177_sharp,i t i,,y t k e r,ɕ i v ɘ ʨ,j i t i,k e s k i n,h ɯ t ɯː,k e s k i n,ø t k i r,ʥ i t i,i t i,ø t k ĭ r,tɕ ĭ t ĭ g,j i t d i,ø t k y r,i tː i,tɕ ĭ d ĭ ɣ,ø t k i r,ø t k y r,j i t i,,ɯ ʃ t ɯ ɣ,tɕ i d i g,ø t k y r,y t k e n,ʨ iˁ t ĭ,k e s k i n,j i t i,tɕ i d i g,ø t k y r,o t k i r,s ɯ t ɯː
178_short,ɢ ɯ s a,q a r s a q,q ɯ s q a,k ĭ s k e,k i z k a,q ɯ s q a,k ɯ l g a s,k ɯ s a,q ɯ s q a,q ɯ s χ a,k ɯ s k a,q ɯ ʃ q a,χ ɯ s χ a,,q ɯ s q a,q ɯ s ɣ a,q ə s q a,q ɯ s q a,q ɯ s q a,q ɯ s g a,χ ɯ s χ a,q ɯ s q a,q ɯ s q a,q ɯ s χ a,q ɯ s q a,q ɯˁ s q a,q ɯ s a,ɢ ɯ s ɢ a,q ɯ s q a,q i s q a,,k ɯ l g a s
179_shouldern,tɕ i j i n,j a w r ɯ n,i ŋ b a ʃ,χ u l b u ɕː i,,o m u z,h a nː ɯ,o m u z,i j i n,i m b a ʃ,iː n,i j ĭ n,i ŋ n ĭ,,i j i n,i n b a ʃ,ɛ ŋ n ĭ,i j i n,ʥ a r ɯ n,e g i n,j a ɣ r ɯ,i g e n,ø ʃ t y,i j i n,i ŋ b a ʃ,øˁ h y n,o m u z,e g i n,e g i n,h ø ʃ n æ,j e l k a,s a r ɯ n
17_big,b ø j y k,u l ɯ,,p ɯ z ə k,u l u,b y j y k,u l a k a n,b y y k,y l k e n,u l l u,u l l u,y l k e n,u l u ɣ,b y d y k,,u l l u,u l u ɣ,y j k e n,,u l u ɣ,u l l ɯ,p e z i k,u l u ɣ,,,u l u ɣ,b y j y k,u l ɯ,u l u ɣ,,,u l a χ a n
180_singv,o χ u,j ɯ r l a,j ɯ r l a,j u r l a,i r l a,j ɯ r l a,ɯ l l aː,ʨ a l,a j t,ʥ ɯ r l a,s a r n a,a j t,s a r n a,h o q u,ɯ r d a,j ɯ r l a,ə r l a,j ɯ r l a,s a r ɯ n a,j ɯ r l a,,j ɯ r l a,s a r n a,q o ʒ o n d o,ʥ ɯ r l a,ɯ r l a,ʃ a r k ɯ + s ø j l e,a j t,ɯ r l a,n a χ ʃ a + e j t,a ʃ u l a + a j t,ɯ l l aː
181_sitv,o t u r,o t ɯ r,u l t ɯ r,l a r,o l t u r,o t u r,o l o r,o t u r,o t ɯ r,o l t u r,o l t u r,o t ɯ r,o d ɯ r,j u o r,o l t u r,o l t u r,oː l u r,o l t ɯ r,o t u r,o l u r,o t ɯ r,o l t u r,o d u r,o t ɯ r,u t ɯ r,o l u r,o t u r,o t u r,o l u r,o l t u r,o t i r,o l o r
182_skinhiden,d æ r i,t æ r i,t i r e,t i r ĭ,b i l a w,t e r i,t i r iː,d e r i,t e r i,t e r i,t e r i,t e r ĭ,t eː r,t æ r i,t e r i,t e r i,tɕ a m a ɣ,t e r i,t e r e,t e r i,t i r,t e r i,t e r e,t e r e,t i r e,k eˁ ʃ,d e r i,d e r i,k e ʃ,t e r æ,t e r i,t i r iː
183_skyn,gʲ ø j,k ø k,k y k,t y b e,k o k,k o k,k a lː aː n,g ø k,,k ø k,k ø k,,t i g ĭ r,,k ø k,k ø k,k u nʲ,k ø k,k ø k,k ø k,,t e ŋ i r,t e g r i,t e ŋ e r i,k y k,d eː r e,g ø k,,d eː r,,,χ a lː aː n
184_sleepv,j a t,j o q l a,j o q l a,ɕ ɯ v ə r,u j u,j u q l a,u t u j,u j u,u j q ɯ l a,ʥ u q l a,j u k l a,u j ɯ q t a,u z u,j a t,u q t a,j u χ l a,u z u,u j q l a,u j q t a,u d ɯ,u χ l a,u z u,u z u,u j u χ t a,j o q l a,u d u,u j u,u q l a,u d u,u χ l a,u χ l a,u t u j
185_small,k i tɕ i k,k i ʨ y,b æ l æ k æ j,,k i tɕ e,u f a ʨ ɯ q,k y tʃː y g y j,k y ʨ y ʥ y k,k i ʃ k e n e,g i t tɕ e,k i tɕ i,k ĭ ʃ k e n e,k ĭ ʨ i ʥ e k,,k i ʨ i n e k e j,g i tʃː i,k ĭ tɕ eː tɕ,k i ʃ k e j,k i ʥ i g,k i tɕ i g,k i tɕ i,k i tɕ i g,k i tɕ i g,k i ʨ i,k e tɕ k e n æ,,k y tɕ y k,k i ʨ i ʥ i k,,k i tɕ i k,k i tɕ k i n a,k u tʃː u g u j
186_smellv,d u j,,h i ð,s i s,,s e z,b i l,d u j,s e z,s e z,s e s,s e z,s i z ĭ n,,s e z,s e z,,s e z,s e s,,,t u j,s e s,s e z,s i z,,d u j,s ɯ z,tɕ ɯ d ɯː,s æ z,s e z,b i l
187_smoken,t y s t y,t ø t i n,t ø t ø n,t ø̆ d ø̆ m,t u t u m,t y t y n,b u r u o,t y t y n,t y t i n,t y t y n,t y t y n,t y t ĭ n,t y d y n,t i t y n,t y t y n,t y t y n,t y d y n,t y t i n,t y d ø k,t y t y n,ts y ts y n,ɯ s,t y d y n,ɯ ʃ,t ø t e n,ɯ ʃ,d u m a n,t y s s e,ɯ ʃ,i s,t u t u n,b u r u o
188_smooth,,t a q ɯ r,t i g e ð,j a g a,,t e g i z,t e n i g i r,d y z,t e g i s,s ɯ j d a m,t y z,t e g ĭ s,t y s,,t e g i z,t e g i ʃ,,t e g i s,t y s,,t i z,t y s,s ɯ l a ɣ a j,t y s,,k i l e g e r,d y z,t e k i z,q ɯ l a ŋ,t e q i s,t e k i s,k ɯ l aː kː a j
189_snaken,i l a n,j ɯ l a n,j ɯ l a n,ɕ ĭ l e n,i l a n,j ɯ l a n,,j ɯ l a n,ʒ ɯ l a n,ʥ ɯ l a n,j ɯ l a n,ʒ ɯ l a n,tɕ ɯ l a n,j i l aː n,ʥ ɯ l a n,j ɯ l a n,u z u n ɣ u r t,j ɯ l a n,tɕ ɯ l a n,j ɯ l a n,j i l a n,j ɯ l a n,tɕ ɯ l a n,ʥ ɯ l a n,j ɯ l a n,tɕ e r + b a l ɯː,j ɯ l a n,j ɯ l a n,tɕ ɯ l a n,i l a n,i l ɔ n,e r i e n + y ø n
18_birdn,ɢ u ʃ,q u ʃ,q o ʃ,k a j ə k,k u s,q u ʃ,k ø t ø r,k u ʃ,q u s,q a n a t l ɯ,k u ʃ,q u s,χ u s,,q a n a t t uː,q u ʃ,q u s,q u s,q u ʃ,q u ʃ,q u ʃ,q u s,q u ʃ,q u ʃ,q o ʃ,q uˁ ʃ q a ʃ,k u ʃ,ɢ u ʃ,q u ʃ,q u ʃ,q u ʃ,k ø t ø r
190_snown,ɢ a r,q a r,q a r,j u r,q a r,q a r,k aː r,k aː r,q a r,q a r,k a r,q a r,χ a r,q aː r,q a r,q a r,q a r,q a r,q a r,q a r,q a r,q a r,q a r,q a r,q a r,q a r,k a r,ɢ a r,χ a r,q a r,q ɔ r,χ aː r
191_soft,j u m ʃ a ɢ,,j o m ʃ a q,ɕ e m ʑ e,j u m s a k,j ɯ m ʃ a q,i m i g e s,j ɯ m ɯ ʃ a k,ʒ u m s a q,ʥ u m u ʃ a q,i m ʃ a χ,ʒ u m s a q,n ɯ m z a χ,,ʥ u m ʃ a q,j ɯ m ɯ ʃ a q,tɕ ə m tɕ a q,j u m s a q,,j u m ʃ a q,m i tɕ e χ,j u m s a q,tɕ ɯ m tɕ a q,ʥ ɯ m ʃ a χ,j o m ʃ a q,ʨ ɯ m ʥ a q,j u m u ʃ a k,j u m ʃ a q,tɕ ɯ m tɕ a q,j u m ʃ a q,j u m ʃ ɔ q,s ɯ m n a ɣ a s
192_soilearthn,j e r,j e r,j e r,ɕ ĭ r,j e r,j e r,h i r,j e r,ʒ e r,ʥ e r,j e r,ʒ e r,tɕ i r,j e r,ʥ e r,j e r,tɕ æ r,j e r,tɕ e r,j e r,,j e r,tɕ e r,ʥ e r,ʥ i r,tɕ e r,j e r,j e r,d o v u r a q,j æ r,j e r,s i r
193_sour,,,æ s e,j y ʑ ĭ,,e k ʃ i,a h ɯː,iː ʃ i,,m ɯ s t ɯ,k u ʥ u r,q ɯ ʃ q ɯ l,a tɕ aː n,,q ɯ tɕ q ɯ l,a tʃː ɯ,a tɕ ə ɣ,a ʃː ɯ,a ʥ ɯ ɣ,,,a tɕ ɯ ɣ,a tɕ ɯ ɣ,a tɕ u,æ tɕ e,a ʥ ɯ ɣ,e k ʃ i,,a ʒ ɯ ɣ,a tʃː i q,,a h ɯː
194_spinv,æ j i r,,j e p + i l ɛ,a r l a,,j i p + ʨ i j r a t,,i p l i k + i ʃ l e,i j i r,i j i r,iː r,i j ĭ r,iː r,h æ j i r,i j r,i j i r,i r,i j i r,i j i r,,,,iː r,iː r,e r l æ,eː r,e j i r,e g i r,,e g æ r,i j g i r,ø r
195_spitv,t y p y r,t ø k y r,t ø k ø r,s u r,,t y k y r,,t y k y r,t y k i r,t y k y r,t i k i r,t y k ĭ r,t y k y r,,t y k y r,t y k y r,t y k u rʲ,t y k i r,t y k y r,s o d,t y χ o r,t y d e s t e,t y kː y r,t y k y r,t ø k e r,t y kː y r,t y k y r,t y j k y r,,t y k y r,t u p u r,s i lː eː
196_standv,d u r,t o r,t o r,t ŏ r,t u r,t u r,t u r,d u r,t u r,t u r,t u r,t u r,t u r,t u r,t u r,t u r,t u r,t u r,t u r,t u r,d ɯ r,t u r,t u r,t u r,t o r,t u r,d u r,d u r,t u r,t u r,t u r,t u r
197_starn,u l d u z,,j o n d o ð,ɕ ŏ l d ŏ r,j u l d u s,j ɯ l d ɯ z,h u l u s,j ɯ l d ɯ z,ʒ u l d ɯ z,ʥ u l d u z,j u l d u z,ʒ u l d ɯ z,tɕ ɯ l t ɯ s,j u l d u z,ʥ ɯ l d ɯ z,j u l d u z,tɕ ə l t ə s,j u l d ɯ z,j ɯ l d ɯ s,j u l t u z,j u l t u s,j u l t ɯ s,tɕ ɯ l t ɯ s,ʥ ɯ l d ɯ s,j o l d ɯ z,s ɯ l t ɯ s,j ɯ l d ɯ z,j ɯ l d ɯ z,s ɯ l d ɯ s,j u l t u z,j u l d u z,s u l u s
198_stickn,a ɣ a ʥ,t a j a q,t a j a q,p a d a k,tɕ i b u q,t a j a q,m a s,s o p a,t a j a q,t a j a q,t a j a k,t a j a q,t a j a χ,h a ɣ a tɕ,t a j a q,t a j a q,aː tɕ,t a j a q,t a j a q,ɯ ɣ a tɕ,p e ŋ g a r,ʥ o m a q,t a j a q,t a j a q,t a j a q,t a j a q,s o p a,t a j a q,d a j a ŋ ɣ ɯː ʃ,t a j a q,t a j ɔ q,
199_stonerockn,d a ʃ,t a ʃ,t a ʃ,tɕ u l,t a s,t a ʃ,t aː s,t a ʃ,t a s,t a ʃ,t a ʃ,t a s,t a s,t aː ʃ,t a ʃ,t a ʃ,t a s,t a s,t a ʃ,t a ʃ,t a ʃ,t a s,t a ʃ,t a ʃ,t a ʃ,d a ʃ,t a ʃ,d a ʃ,d a ʃ,t a ʃ,t ɔ ʃ,t aː s
19_bitev,d i ʃ l æ,,t e ʃ l æ,ɕ ɯ r t,t i s l a,t i ʃ l e,ɯ t ɯ r,d a l a,t i s l e,q a p,t i ʃ l e,t ĭ s t e,ɯ z ɯ r,,t i ʃ t ø,χ a p,q a p,t i s l e,t i ʃ t e,t i ʃ l e,tɕ ɯː ʃ l e,t e s t e,ɯ z ɯ r,t i ʃ t e,t e ʃ l æ,ɯˁ s ɯ r,ɨ s ɯ r,d i ʃ l e,ɯ z ɯ r,tɕ i ʃ l æ,t i ʃ l a,ɯ t ɯ r
1_fingernailn,d ɯ r n a ɢ,,t ɯ r n a q,tɕ ĭ r n e,t e r m a c,t ɯ r n a q,t ɯ ŋ ɯ r a k,t ɯ r n a k,t ɯ r n a q,t ɯ r n a q,t ɯ r n a k,t ɯ r n a q,t ɯ r ɣ a χ,t ɯ r n a q,t ɯ r m a q,t ɯ r n a q,t ə r ɣ a q,t ɯ r n a q,t ɯ r ɣ a q,t ɯ r ŋ a q,t ɯ r n a χ,t a r m a q,t ɯ r b a q,t ɯ r m a χ,t ɯ r n a q,d ɯ r b a q,t ɯ r n a k,d ɯ r n a q,d ɯ r ɣ a q,t i r m a q,t i r n ɔ q,t ɯ ŋ ɯ r a χ
200_straight,d y z,t u r ɯ,t u r a,t y r ĭ,t u z,d o ɣ r u,k ø n ø,d oː r u,t u w r ɯ,t y z,d o ɣ r u,t y z u,k ø n ĭ,,t y z,t y z,q a β a r t a,t u w r a,t y s,,t i z e r,t o z,t y s,t y s,t u r ɯ,h ø n y,d y z,g ø n i,d o r t,t o ɣ r i,t o ɣ r i,k ø n ø
201_suckv,s o r,,h u r,ø̆ m,,e m,e m,e m,s o r,e m,e m,s o r,s o r,s u o r,s o r,s o r,s o r,s o r,s o r,s o r,,e m,s o r,s oː r,s u ɯ r,s o r,e m,s o r,s o r,ʃ o r a,s o r,e m
202_sunn,gʲ y n,q o j a ʃ,q o j a ʃ,χ ø̆ v e l,k u n,k y n e ʃ,k y n,g y n,k y n,k y n,k u j a ʃ,k y n,k y n,k y n,k y n,g y n,k u nʲ ɣ a r aː ɣ ə,k y n,k y n,k y n,k u n,k y n,k y n,k y n,q o j a ʃ,h y n,g y n e ʃ,g y n,χ y n,k y n,q u j ɔ ʃ,k y n
203_swallowv,u d,j u t,j o t,ɕ ŏ t,,j u t,ɯ nʲ ɯ r,j u t,ʒ u t,ʥ u t,j u t,ʒ u t,a z ɯ r,j uː t,ʥ u t,j u t,a z ɯ r,j u t,j y t,s i ŋ i r,u χ,,oː r t a,ʥ u t,j o t,b aˁ t ɯ r,j u t,j u w u t,a ʒ ɯ r,ʒ u t,j u t,ɯ j̃ ɯ h ɯ n
204_sweet,,t a t l ɯ,t a t l ɯ,p ɯ l a k,t a t l i,t a t l ɯ,m i n nʲ i g e s,t a t l ɯ,,t a t l ɯ,t a t l ɯ,t æ tː ĭ,t a d ɯ l ɯ ɣ,,t a tː uː,t a t l i,t aː d l ə ɣ,t æ t l i,t aː tː u,t a t ɯ ɣ l ɯ ɣ,t æ lː i,t a tː ɯ ɣ,,t a t u,t a t l ɯ,t a d ɯ ɣ l ɯ ɣ,t a t l ɯ,s y j ʥ i,,,,m i n nʲ i g e s
205_swellv,ʃ i ʃ,,ʃ e ʃ,ʃ ɯ ɕ,k o b,ʃ i ʃ,,ʃ i ʃ,i s,k ø b,s i s,ĭ s,s ĭ s,ʃ ɯ ʃ,ʃ i ʃ,ʃ i ʃ,k o pʲ,s i s,t i ʒ i,s ɯ ʃ,,s ɯ z,ʃ i ʃ,t i ʒ i,ʃ e ʃ,ɯ ʃ,ʃ i ʃ,tɕ i ʃ,ɯ ʃ,i ʃː æ,ʃ i ʃ,i s
206_swimv,y z,j y s,j ø ð,,j u z,j a l d a,k ø p,y z,ʒ y z,ʥ y z,j y z,ʒ y z,tɕ y s,k i r u n,s y z,j y z,tɕ y s,j a l d a,j y s,j y z,tɕ u m,q a j,tɕ y s,ʥ y s,j ø z,eˁ h i n,j y z,j y z,e ʃ t,y z,s u z,
207_tailn,ɢ u j r u ɢ,q u j r ɯ q,q o j r o q,χ y r e,c u j r u g,q u j r u q,k u t u r u k,k u j r u k,q u j r ɯ q,q u j r u q,k u j r u k,q u j r ɯ q,χ u z u r u χ,q u r d u q,q u j r u q,q u j r u q,q u z u r u q,q u j r ɯ q,q u j r u q,q u d r u q,q u r u χ,q u z u r u q,q u z u r u q,q u j r u q,q o j r ɯ q,q u d u r u q,k u j r u k,ɢ u j r u q,q u d u r u q,q u j r u q,,k u t u r u k
208_takev,g ø t y r,a l,a l,i l,a l,a l,ɯ l,a l,a l,a l,a l,a l,a l,a l,a l,a l,a l,a l,a l,a l,a l,a l,a l,a l,a l,a l,a l,a l,a l,a l,ɔ l,ɯ l
209_tall,j y k s æ k,b ø j e k,b e j e k,ɕ y lː ĭ,,j y k s e k,y r d y k,yː s e k,b i j i k,m i j i k,b i j i k,b i j ĭ k,p ø z ĭ k,,b i j i k,b i j i k,p øː z y k,b i j i k,eː s,b e d y k,p iː χ i,ɯ r l i ɣ,m ø z y k,b i j i k,b i j e k,b e d ĭ k,j y k s e k,b e j i k,b e d i k,e g i z,,y r d y k
20_bitter,a tɕ ɯ,,æ s e,j y ʑ ĭ,a tɕ i,a ʥ ʥ ɯ,a h ɯː,a ʥ ɯ,a ʃ ʃ ɯ,a tɕ ɯ,a tɕ tɕ ɯ,a ʃ ʃ ɯ,a tɕ ɯ ɣ,h aː tɕ u ɣ,a tɕ uː,a tɕ tɕ ɯ,a tɕ ə ɣ,a ʃ ʃ ɯ,a ʥ ɯ ɣ,a tɕ ɯ ɣ,aː ʥ ɯ,a tɕ ɯ ɣ,a tɕ ɯ ɣ,a tɕ u,a tɕ ɯ,a ʥ ɯ ɣ,a ʥ ɯ,a ʥ ɯ,a ʒ ɯ ɣ,a tɕ tɕ i q,a tɕ tɕ i q,a h ɯː
210_tearv,j ɯ r t,j ɯ r t,j ɯ r t,ɕ u r,,j ɯ r t,k a j ɯ t,j ɯ r t,ʒ ɯ r t,ʥ ɯ r t,j ɯ r t,ʒ ɯ r t,tɕ ɯ r t,h i z,ʥ ɯ r t,j ɯ r t,y s,j ɯ r t,ʥ ɯ r t,y z,,j u z,y s,ʥ ɯ r t,j ɯ r t,ɯ r,j ɯ r t,j ɯ r t,o r,ʒ i t,j i r t,χ a j ɯ t
211_that,o,u l,t e g e,l e ʃ,o l,o,o l,o,o l,o l,o l,a n a w,o l,o,t i g i,o,t æ ɣ,o l,o l,o l,v u,o l,o l,o l,t e g e,o l,o,o l,d øː,u,o,o l
212_there,o r a d a,a n d a,u n d a,u n d a,,a n d a,h o n n o,o r a d a,a n a + k æ r a d a,a n d a,a n d a,o n d a,a n d a,oː r a,a n d a,o n d a,a n d a,o n d a,a n d a,a n t a,a n t a,a n d a,a n d a,a n d a,a n d a,ɯ n d a,o r a d a,o l + j e r d e,ɯ n d a,u + j æ r d æ,o + j e r d a,o nː o
213_they,o n l a r,,u l a r,v ø̆ z e m,a l a r,o l a r,g i n i l e r,o nː a r,o l a r,a l a,a l a r,o l a r,o l a r,o lː a r,a l a r,o l a r,o l a r,o l a r,ɯ l a r,o l a r,v u l a r,q o l a r,ɯ l a r,o l o r,a l a r,o l a r ɯ ŋ,o n l a r,o l a r,o l a r,u l a r,u l a r,k i n i l e r
214_thick,ɢ a l ɯ n,j u w a n,q a l ɯ n,χ u l ə n,,q a l ɯ n,,k a l ɯ n,q a l ɯ n,q a l ɯ n,k a l ɯ n,q a l ɯ ŋ,χ a l ɯ n,j o ɣ u n,q a l ɯ n,q a l ɯ n,q aː l ə ŋ,d o m b a j,,q a l ɯ n,j o ɣ a n,q a l ɯ n,q a l ɯ n,q a l ɯ n,q a l ɯ n,h ɯ l ɯ n,k a l ɯ n,ɢ a l ɯ ŋ,q ɯ l ɯ n,q e l i n,q a l i n,χ a l ɯ ŋ
215_thighn,b u d,j a n b a ʃ,b o t,,b u t,s a n,b uː t,b u t,s a n,b a z ɯ q + b u t,b u t,s a n,p u t,b uː t,s a n,b a z ɯ q + b u t,tɕ a n,j a n b a s,nʲ a n,u d l u q,,p u t,u s t u q,ʥ a l m a ʃ,b o t,b u t,u j l u k,b u t,d ø ŋ m e k,s a n,s ɔ n,b uː t
216_thin,i n ʥ ɛ,,j o q a,ɕ u ɣ a,,j u f q a,h i n nʲ i g e s,i n ʥ ɛ,ʒ u q a,ʥ u q a,i n ʨ k e,ʒ u q a,ʨ u ɣ a ʥ a χ,,ʥ u q a,,ʨ u ɣ a ʥ aː q,j u q a,tɕ i tɕ k e,j u q a,j o χ p a,j u q a,tɕ u ɣ a,ʥ u q a,j u q a,ʨ u ɣ a,i n ʥ e,j u q a,ʨ u ɣ a,j u p q a,j u p q a,s i n nʲ i g e s
