Cognate_ID	Gangwon	Gyeonggi	Hwanghae	Jeju	MKorean	NChungcheong	NGyeongsang	NHamgyong	NJeolla	NPyongan	SChungcheong	SGyeongsang	SHamgyong	SJeolla	SPyongan
236_wide	n ə l + tɕ͈ i k	n ə l		n ə p	n ə + ɾ ɨ	n ə l + tɕ͈ i k	n ə p		n ə l		n ə l + tɕ͈ i k	n ə + ɾ ɨ		n ə + ɾ u p	
237_wife	m a + n u + ɾ a	m a + n u + ɾ a				m a + n u + ɾ a	m a + n u + ɾ ɛ		a + h i + ə	n o + t ɛ k	m a + n u + ɾ a	m a + n u + ɾ ɛ			n o + t ɛ k
238_wind		p a + ɾ a m	p a + ɾ ɨ m	p a + ɾ ɨ m	p a + ɾ a m		p a + ɾ ɛ m	p a + ɾ a m				p a + ɾ ɛ m	p a + ɾ a m		
239_wing	n a l + k ɛ + m i	n a l + k ɛ + m i			n a l + g ø		n a + ɾ ɛ	p u + tɕʰ u l	n a l + k ɛ + tɕ͈ u k + ɟ i		n u l + k u m + ɟ i	n a + ɾ ɛ	p u + tɕʰ u l	n a l + k ɛ + tɕ͈ o k + ɟ i	
23_cold	tɕʰ u + ə	tɕʰ u p	tɕʰ u + w ə		tɕʰ i + u	tɕʰ u + w ə	tɕʰ u + b ə	tɕʰ i + b ə		tɕʰ u + w ə	tɕʰ u + w ə	tɕʰ i + b a	tɕʰ i + b ə	tɕʰ u + u p + d a	tɕʰ u + w ə
240_with		h a m + k͈ e		h o m + tɕʰ i	t ə + p ɨ l	h a + n dʑ a ŋ	t ə + b ɨ n	k͈ e + t e	h a + n dʑ a ŋ	h a + n a ŋ	h a + n dʑ a ŋ	t ə + b ɨ n		h a ŋ + k͈ u + n e	
241_womanfemale	tɕ i + ɟ i p	k dʑ e + ɟ i p	k iː + ɟ i p	k a + s ɨ + n a + g i	k dʑ ə + tɕ i p	tɕ i + ɟ i p	k a + s i + n a + i	tɕ e + ɟ i p	k a + i + n a	k e + ɟ i p	tɕ i + ɟ i p	k a + i + n a	k e + ɟ i p	k a + s ɨ + n a + g ɨ	k dʑ e + ɟ i p
242_woodsforest	s u + p u + u l	s u p		s u p	s u p	s u p	s u + p e		s u p	s u l + p e + g i	s u p	s u p		s u p	s u l + p u + ɾ ə ŋ
243_wormearthworm	tɕ i l + k͈ w ə ŋ + i	tɕ i + ɾ e ŋ + i	tɕ i + ɾ e ŋ + i	k ɔ + u + ɾ i	tɕ i + ɾ e ŋ + i	tɕ i + ɾ e ŋ + i	k ə l + k͈ w e ŋ + i	t ɛ + tɕ͈ i + n e	k͈ ɔ + s ɛ ŋ + i	t i + ɾ e ŋ + i	tɕ i + ɾ i ŋ + i	k ə + s i ŋ + i	tɕ i + ɾ e + ɟ i	k ɔ + s ɛ ŋ + i	t i + ɾ e ŋ + i
244_ye		n ə + h ɨ j + t ɨ l			n ə + h ɨ j + t a l										
245_year	h ɛ	h ɛ	h ɛ	h ɛ	h ɛ	h ɛ	h ɛ	h ɛ	h ɛ	h ɛ	h ɛ	h ɛ	h ɛ	h ɛ	h ɛ
246_yellow		n o + ɾ a			n o + ɾ a									n o l + h a + d a	
24_correcttrue		o l + p a + ɾ ɨ			p a + ɾ ɨ										
25_day	h a n + n a + tɕ ə l	n a t		n a t	n a t	h a n + n a + tɕ ə l			n a t		t ɛ + n a t	n a t		n a t	
26_dirty	t i + ɾ ə p	t ə + ɾ ə p	tɕʰ i + k͈ u n		t ə + ɾ ə		tɕʰ u + ɟ ə p	tʰ i + k͈ ə p	t ɨ + ɾ ə p	k͈ e + k͈ i n	t i + ɾ ə p	s͈ u k + s͈ u k	tɕʰ u + k u l	tɕ i + ɟ ə + b u n	k͈ e + k͈ i n
27_dog	k a + a + ɟ i	k a + h i	k ɛ	k ɛ	k a + h i	k a + a + ɟ i	k͈ a ŋ + s ɛ + i	k ɛ	k ɛ	s ɨ + tɕ ɨ l + p ɛ	k a + a + ɟ i	k͈ a ŋ + s ɛ + i	tɕ ɨ + tɕ ɨ l + p dʑ e	k ɛ	k ɛ
28_dry	g a + m u + ɾ ə t	m a + ɾ ɨ		m ɔ l + l ɨ n	m a + ɾ a	k o l	p i n		p i n	m a + ɾ ɨ n	m a + ɾ ɨ n	p i n		m o l + l ɨ n + d a	m a l + ɾ ɨ n
29_dull		m u + d i		m u + k͈ i	m u + d ɨ										
2_all	m a + kʰ a	m o + d u		m ɔ n + d a k	m o + t a	m o ŋ + t a k	m a k + h a		m o + d o	m ɛ l + tɕ͈ a k	m o + d o	m a k + h a	m o + d o	m a l + tɕ͈ a ŋ	
30_dust	p o ŋ + d a ŋ	m ə n + ɟ i	m o n + ɟ i	k u + d u m	t ɨ i t + k ɨ l	tʰ ɨ i + k ə p + ɟ i	m u n + ɟ i		m u n + ɟ i	m o ŋ + d a ŋ	tʰ ɨ i	m u n + ɟ i	m u n + ɟ i	m u n + ɟ i	m o ŋ + d a ŋ
31_ear	k w i + b a p	k w i	k w i + t w i + i	k w i + t w i + i	k w i	k w i + t͈ w i	k w i + k͈ a + ɾ i	k w i + t͈ w i ŋ	k w i + g u + m u ŋ	k w i + t͈ ɛ + g i	k w i + t͈ w i	g i	k w i + t͈ w i ŋ	k w i + t͈ ɛ + g i	k w i + t͈ ɛ + g i
32_earthsoil	h ɨ l	h ɨ k	h ɨ k	h ɨ k	h a l k	h ɨ k	h ɨ l	h ɨ l + g i	h ɨ k	h u l k	h ɨ k	h ɨ l	h ɨ l + g i	h ɨ k	h ɨ k
33_egg	t a l + g dʑ a l	t a l + g dʑ a l	t a l + g dʑ a l	t a l + g dʑ a l	a l	t a l + g dʑ a l	tɕ ɛ + ɾ a l	t a l + g dʑ a l	t a l + g dʑ a l	t a l + g dʑ a l	t a l + g dʑ a l	tɕ i + i + ɾ a l	t a l + g dʑ a l	t a l + g dʑ a l	t a l + g dʑ a l
34_eight	dʑ a + t a l	dʑ e + t ə l	dʑ a + t ɨ l	dʑ a + t a l	dʑ a + t ɨ p	dʑ e + t ə l	dʑ a + t a l	dʑ a + t ɨ p	dʑ a + t a l	dʑ a + t ɨ l	dʑ e + t ə l	dʑ a + t a l	dʑ a + t ɨ l	dʑ a + d a k	dʑ a + t͈ ɨ l
35_eye	n u n + k͈ a + ɾ i	n u t + k w a l	n u t + k w a l	n u n + k͈ a + ɾ i	n u n	n u n + k͈ a l	n u n + g u + m u ŋ		n u n + g u + m u ŋ		n u n + k͈ a l	n u n + k͈ a + ɾ i	n u t + k w a l	n u n + k͈ a l	
36_far		m ə l			m ə l	m u l	m ə					m ə + ɾ ə + n i			
37_fatgrease	tɕ i + ɾ ɨ m	k i + ɾ ɨ m		tɕ i + ɾ ɨ m	k i + ɾ ɨ m	tɕ i + ɾ ɨ m	k i + ɾ ɨ m		tɕ i + ɾ ə m	m a + ɾ a ŋ + g u	tɕ i + ɾ ɨ m	tɕ i + ɾ ɨ m	m a + ɾ a ŋ + t u	tɕ i + ɾ ɨ m	tɕ i + ɾ ɨ m
38_father	ɛ + p i	a + p a		a + b a ŋ	a + p i	ɛ + p i	ɛ + p i	a + p ɛ	a p + s͈ i	ɛ + p i	ɛ + p i	n ɨ + g a + p ɛ		a p + s͈ i	ɛ + p i
39_feather	tɕ i t	k i t		tɕ i t	tɕ i t	tɕ i t	tɕ i t	tɕ i t	tɕ i t	tɕ i + tɕʰ i	tɕ i t	tɕ i t	tɕ i t	tɕ i t	tɕ i t
3_and	w a	w a	w a	w a	w a	w a	w a	w a	w a	w a	w a	w a	w a	w a	w a
40_few	tɕ o + k o m	tɕ o + g o m		h ɔ k + k o + m a n	tɕ o + g o m	tɕ͈ a + k͈ ɨ m	tɕ͈ o + k͈ ɨ m	t͈ ø + k͈ o m	tɕ͈ o + k ɨ m	tɕ ø + k o m	tɕ͈ a + k͈ ɨ m	tɕ͈ o + k͈ ɨ m	h a n + k o + tɕʰ i	tɕ͈ o + k͈ ɨ m	
41_fifty		s w i n			s w i n	s w i + ɨ n	s i n		s w i + u n		s w i + u n	s i + i n			
42_fire	p u l	p u l	p u l	p u l	p u l	p u l	p u l	p u l	p u l	p u l	p u l	p u l	p u l	p u l	p u l
43_fish	k o + g i	k o + g i	k o + g i	k o + g i	k o + k i	k o + g i	k o + g i	k o + g i	k o + g i	p ə + s͈ ɨ + s ɨ + ɾ i	k o + g i	k o + g i	p ə + s ɨ + s ɨ + ɾ i	k o + g i	k o + g i
44_five	t a + s ə	t a + s ə t			t a + s ə t	t a + s ə	t a + s ə				t a + s ə + k͈ e	t a + s ə			
45_flower	k͈ o t	k͈ o t	k͈ o t	k͈ o + ɟ a ŋ	s k o t	k͈ o t	k͈ o t	k͈ o t	k͈ o t	k͈ o t	k͈ o t	k͈ o t	k͈ o t	k͈ o t	k͈ o t
46_fog	a ŋ + k ɛ	a n + g e		a n + g e	a n + g e	a ŋ + k ɛ	a ŋ + k ɛ			a n + g i	a ŋ + k ɛ	a n + g e		u + n e	
47_foot	p a l + m o + g a + ɟ i				p a l		p a l + m o + g a + ɟ i				p a l + m o + g a + ɟ i	p a l + m o + g a + ɟ i		p a l + m o + g a + ɟ i	
48_four	n ə + i	n e t	n ə + h i		n e	n ə + ə + i	n ɛ t		n ə + i	n ə + i	n ə + ə + i	n e		n e	n ə + i
49_fruit		dʑ e l + m ɛ			dʑ e l + m ø		m ɛ + a + ɾ i	dʑ e + ɾ ɨ + m ɛ						s͈ i + a t	
4_animal		tɕ i m + s ɨ ŋ		tɕ u ŋ + s u ŋ	tɕ i m + s i ŋ			tɕ ɨ m + s ɨ ŋ		tɕ ɨ m + s ɨ ŋ			tɕ ɨ m + s ɨ ŋ		tɕ ɨ m + s ɨ ŋ
50_full		k a + d ɨ k			k a + d ɨ k							k͈ a k + tɕʰ a t		k w a k + tɕʰ a t	
51_good	tɕ o	tɕ o			t dʑ o	tɕ o	tɕ o	d o		d o	tɕ o	tɕ o			d o
52_grass	pʰ u l	pʰ u l	pʰ u l	pʰ u l	pʰ u l	pʰ u l	pʰ u l	pʰ u l	pʰ u l	pʰ u l	pʰ u l	pʰ u l	pʰ u l	pʰ u l	pʰ u l
53_green	p u + ɾ ɨ + s ɨ + ɾ ɨ m	p u + ɾ ɨ		p u + ɾ i	p u + ɾ u	p u + ɾ ɨ + s ɨ + ɾ ɨ m	p u + ɾ ə							p u + ɾ u t	
54_hair	tʰ ə + ɾ ɛ + g i	tʰ ə l		h ə + u n + d ə + g i	tʰ ə + ɾ i	tʰ ə l	tʰ ə + ɾ ɛ + g i		tʰ ə + ɾ ə k	t ə + ɾ ə + g u	tʰ ə l	tʰ ə + ɾ e + g i		tʰ ə + ɾ ə k	t ə + ɾ ə + g u
55_hand	s o n	s o n	s o n	s o n	s o n	s o n	s o n	s o n	s o n	s o n	s o n	s o n	s o n	s o n	s o n
56_heshe		k ɨ + i			i										
57_head	t ɛ + g a l	m ə + ɾ i		t ɛ + g a ŋ + i	m ə + ɾ i	t ɛ + g a l	t ɛ + g a + ɾ i	m a + ɾ i	t ɛ + g a l + p͈ ɛ + g i		t ɛ + g a l	t ɛ + g a + ɾ i	t ɛ + g o l	t ɛ + g ɨ l + p͈ a k	
58_heart		dʑ e m + t o ŋ			dʑ e m + t o ŋ			dʑ e m + tʰ i					dʑ e m + tʰ i		
59_heavy	m u + k ə + w ə	m u + k ə p + d ə		p e	m ɨ + k ə p	m u + k ɨ p	m u + k ə + b ə					m u + g u + b ə + s ə			
5_ash	tɕ ɛ	tɕ ɛ	tɕ ɛ	p u l + tɕʰ i		tɕ ɛ	tɕ ɛ	tɕ ɛ	tɕ ɛ	tɕ ɛ	tɕ ɛ	tɕ ɛ	tɕ ɛ	tɕ ɛ	tɕ ɛ
60_here	j ə + g i	j ə + g i	j ə + g i	j ə + g ɨ j	j ə + g ɨ i	j ə + g i	j ə + g i	j ə + g i	j ə + g i	j ə + g i	j ə + g i	j ə + g ɨ j	j ə + g i	j ə + g i	j ə + g i
61_horn	p͈ u l	p͈ u l	p͈ u l	p͈ u l	s p ɨ l	p͈ u l	p͈ u l	p͈ u l	p͈ u l	p͈ u l	p͈ u l	p͈ u l	p͈ u l	p͈ u l	p͈ u l
62_house	tɕ i p + p͈ ɛ	tɕ i p		tɕ i p + p͈ ɛ	tɕ i p	tɕ i p + p͈ ɛ	tɕ i p + p͈ ɛ		tɕ i p + p͈ ɛ		tɕ i p + p͈ ɛ	tɕ i p + p͈ ɛ			
63_how	ə + tɕ͈ ɛ	ə + t ə + k ɛ			ə + t ɨ + ɾ i	ə + tɕ͈ ɛ	u + tɕ͈ e		ə + tɕ͈ i + tɕ a + k o		ə + tɕ͈ ɛ	u + tɕ͈ i		ə + k͈ e	
64_husband	s ə + b a ŋ	s ə + b a ŋ		n a m + p e n	s dʑ a + o ŋ	s ə + b a ŋ	s ə + b a ŋ	s a + tɕʰ ə ŋ	s ə + b a ŋ		s ə + b a ŋ	s ə + b a ŋ	s a + tɕʰ ə ŋ	s ə + b a ŋ	
65_i	n ɛ + e	n a			n a	tɕ a + g i	n ɛ		n ɛ		n ɛ	n ɛ			
66_ice		ə + ɾ ɨ́/ɨ m			ə l + ɨ m										
67_if		m a n + dʑ a k			m a n + i l										
68_ininside	a n	a n		s o + k o p	a n	s o + o k	s o + g e		s o k + a n		s o k + a n	s o + g e		s o k + a n	
69_intestines	tɕʰ a ŋ	tɕʰ a ŋ		tɕʰ a ŋ	ɛ	tɕʰ a ŋ	tɕʰ a ŋ		tɕʰ a ŋ		tɕʰ a ŋ	tɕʰ a ŋ		tɕʰ a ŋ	
6_at		e		i	e		a							i	
70_knee	k o + b e ŋ + i	m u + ɾ u m + pʰ a k	m u l + pʰ a k	t o ŋ + m u + ɾ ə p	m u + ɾ u p	m u + ɾ u + pʰ a k	m u l + tɕ͈ o ŋ + tɕ e + g i	m u + ɾ ə p	m u + ɾ ɨ m + pʰ a k	m u + ɾ u p + pʰ ɛ + g i	m u l + pʰ a k	tɕ o ŋ + ɟ i + p͈ ɛ	m u + ɾ ə p	m u l + pʰ a k	m u l + pʰ a k
72_leaf	i p + pʰ ə + ɾ i	i p	n i p + s a + g w i	i p + s ɛ ŋ + i	n i p	i p + s a + g u	i p + pʰ ə + ɾ i		i p + s a + g u	n i p + s a + g w i	i p + s a + g w i	i p + pʰ a + ɾ i	s ə p + tɕ a ŋ + k w i	i p + s a k	n i p + s a + g w i
73_left	ø n	ø n + dʑ͈ a t		w e n		ø n	tɕ͈ ɛ + p i	ø n	ø + dʑ a k		o + dʑ ə t	tɕ͈ a k + ɟ ɛ + g i		ø n	
74_leg	t a l + g u + ɾ i	t a + ɾ i	t ɛ + ɾ i		t a + ɾ i		t a l + g u + ɾ i					t a l + g a + ɟ i			t a l + g ɛ ŋ + i
75_lightening	p ə ŋ + g e	p ə ŋ + g e		p ə n + g ø	p ə ŋ + g e	p ə ŋ + g e	p͈ ə ŋ + g e		p ə n + g ɛ		p͈ ə ŋ + g e	p͈ ə ŋ + g e		p ə n + g ɛ	
76_liver		k a n			k a n										
77_long	tɕ i l	k i l		tɕ i l	k i l	tɕ i l	tɕ i l		tɕ i l		tɕ i l	tɕ i l	tɕ i l	tɕ i l	
78_louse	s ə + k͈ a + ɾ ɛ	i	n ɨ j	n ɨ j	n i	k a + ɾ a ŋ + i	k͈ a + ɾ a ŋ + n i	n ɨ j	i	n ɨ j	k a + ɾ a ŋ + i	s͈ i + g e + m i	i	i	n ɨ j
79_manmale	m ə + s ɨ + m a	s a + n ɛ	s a + n a + i	s a + n a + i	m ə + s ə m	s a + n ɛ	m ə + s ɨ + m a	s ə n + s ɨ + n a	m ə + s ɨ + m a	s ə + n u l + m i	s a + n ɛ	m ə + s ɨ + m a	s ə n + s ɨ + n a	m ə + s i + m ɛ	s ə + n u l + m i
7_back	t ə p + t ə + k i	t ɨ ŋ	t w i t + tɕ͈ a n + d ɨ ŋ	t ɨ ŋ + ə + ɾ i	t u ŋ	t ɨ ŋ	t ɨ ŋ	t ɨ ŋ + s a + d e	t ɨ ŋ	t w i t + tɕ͈ a n + d ɨ ŋ	t ɨ ŋ	t ɨ ŋ	s a + d i	t ɨ ŋ	s a + d i
80_many	t w i + k e	m a n + h i	m a n + h i	h a + j ə ŋ	m a n + h a	m a n + h i	m a n + h i	m a n + h i	h o + p͈ a k	m a n + h i	m a n + h i	h a ŋ + g ɨ + s i	m a n + h i	h a n + n a	m a n + h i
81_meatflesh		s a l			s a l		s a l + k͈ u + i					s a l + k w i		s a l + t͈ a + g u	
82_moon		t a l			t a l										
83_mosquito	m o + k ɛ	m o + g i			m o + g ɨ i	m o + g ɛ ŋ + i	m ə + k ɛ + i		m o + k o	m o + g u	m o + g u	m ə + g u		m o + g u	m o + g u
84_mother	ə + m a + i	ə + m ə + n i	o m + m a + i	ə + m e ŋ	ə + m a + n i	ɛ + m i	ə + m a	tɕ e + m a	ə + m ə + i	o + m a + n i	ɛ + m i	ə + m u ŋ	ə + m a + i	ə + m ɛ	o + m a + n i
85_mountain	m e	m ø	m ø	m e	m ø	m i	m i		m ø + t o ŋ	m e	m o + i	m ɛ + t͈ o ŋ	m ø	m e + t͈ o ŋ	m ø
86_mouth	i p	i p	i p	k u l + ɾ ɛ + k͈ w a + i	i p	i p	i p	i p	i p	i p	i p	i p	i p	i p	i p
87_name	i + t ɨ l	i + ɾ ɨ m		i l + ɾ u m		i + t ɨ l	n i + ɾ ɨ m		i + t ɨ l		i + t ɨ l	i + t ɨ l			
88_narrow	tɕ͈ o p	tɕ o p		tɕ o p + tɕ a k	tɕ o p	tɕ͈ o p	p i + tɕ a p		tɕ͈ o p		tɕ͈ o p	p i + tɕ a p		tɕ o + p u l + tɕ o + p u l	
89_near	k ɛ + ɟ i k	k a t + k a p	k a t + tɕʰ a p	p ɔ + d ɨ j	k a + s k a p	k ɛ t + k a p	k ɛ + ɟ i k	k a t + tɕʰ a p	k a t + tɕʰ a p	k a t + tɕ a p	k a t + tɕʰ a p	k a + ɟ u k	k a t + tɕ a p	k a t + k a p	k a t + tɕʰ a p
8_badevil		n a + p u			ø		p a + i							ə + m ə k	
90_neck	m o + g a + ɟ i	m o + g a + ɟ i	m o + g a + ɟ i	dʑ a + g a + g i	m o k	m o + g a + ɟ i	m o + g a + ɟ i	m o + g a + ɟ i	m o + g a + ɟ i	m o + g a + ɟ i	m o + g a + ɟ i	m i k + s͈ a + ɾ i	m o + g a + ɟ i	m o + g a + ɟ i	m o + g a + ɟ i
91_needle	p a + n ɨ l	p a + n ɨ l	p a + n ɨ l	p a + n ɨ l	p a + n ɨ l	p a + n ɨ l	p a + n ɨ l	p a + n ɨ l	p a + n ɨ l	p a + n ɨ l	p a + n ɨ l	p a + n ɨ l	p a + n ɨ l	p a + n ɨ l	p a + n ɨ l
92_new	s ɛ + ɾ u p	s ɛ + ɾ o p			s ɛ	s ɛ + ɾ u p	s ɛ + ɾ o p					s ɛ + ɾ o + p a + s ə			
93_night	p a + m e	p a m			p a m	p a m + tɕ u ŋ					p a + m e	tɕ ə + n dʑ ə k		tɕ ə + n dʑ ə k	
94_nine	a + h ɨ p	a + h o p		a + h ɨ p	a + h o p	a + h ɨ p	a + h ɨ p		a + h ɨ p	a + h u p	a + h ɨ p	a + h ɨ p		a + h ɨ p	a + h u p
95_nonot		a n			a n i		ɛ n					ɛ n			
96_nose	kʰ o	kʰ o	kʰ o	kʰ o	kʰ o	kʰ o	kʰ o	kʰ o	kʰ o	kʰ o	kʰ o	kʰ o	kʰ o	kʰ o	kʰ o
97_old		dʑ e t			dʑ e t					n ə t					n ə t
98_one	h a n + n a	h a + n a			h a + n a	h a n + k ɛ	h a n + n a		h a n + n a	h a n + n a	h a n + n a	h a n + n a		h a n + n a	h a n + n a
99_onehundred		b ɛ k			o n										
9_barkofatree	k͈ ə + m u + ɾ i	k͈ ə + p u l		k a ŋ + m a + g i	k ə p + t i l	k͈ ə + p u l	k ə p + t͈ ɛ + g i	k͈ ə p + tɕ u + ɾ i	k͈ ə p + t e + g i		k͈ ə p + t e	k͈ ə p + t e + g i	k͈ ə p + tɕ u + ɾ i	k͈ ə p + tɕ i l	
