Cognate_ID,Achagua,Baniwa,Baniwa_Dzawinai,Baniwa_Dzurema,Baniwa_Hohoodene,Baniwa_Kowaidakenai,Baniwa_Mauliene,Baniwa_Waliperidakenai,Bare,Kabiyari,Kauixana,Koripako_Kumadene,Koripako_aha,Koripako_ehe,Koripako_name,Koripako_oho,Passe,Piapoco,Resigaro,Tariana,Tariana_Bruzzi,Tariana_Kumadene,Warekena,Werekena_Baniva,Yukuna,Yumana
21605_78_tail,,iː tː í/i p i,ɽ i t i p i,ɾ i t í/i t i,ɽ i e p i p e,ɽ i t i p i,ɾ i t í/i p i,,h i b i,t̪ i p i,ʃ e p ɨ,ɽ i pʰ iː p i,l iː t i pʰ i,l iː t i pʰ i,l iː t i p i,l iː t i p i,,,tsʰ í/i i p í/i,d i tʃ í/i m a,l i p i ts i,,p i ʃ i,,h i p i h i,
21607_82_tongue,í/i n a n eː ʃ i,eː n e n e,ɽ i e n e n e,ɽ i ɛ n e n ɛ,p ɛː n ɛ n ɛ,ɽ i n e n e,n u e n e n e,ɽ i e n e n e,n e n e,n e n i p á/a,n é/e n e,,l i e n e n e,l i e n e n e,,l i eː n e n e,i n e n e,n è/e n e,,d i é/e n e n e,h e n e n ẽ,,,,l e n a h i,n + e h n a
21609_84_tree,á/a i k u b a,h a i k o,,,,,,,,,h á/a ʔ k o o + s o,,,,,,,à/a i k u,,h e k u n a,,,,,,
21611_85_two,,,,,,,,,,,p e ʔ t o,,,,,,,,,,,,,,,
21612_66_say,,,,,,,,,,,l a,,,,,,,,,,,,,,,
21612_87_water,,,,,,,,,,,o w i,,,,,,oi,,,,,,,,,ui
21613_88_we,w a j á/a,wʰ í/i a,ɸ aː,w a h i o,wʰ aː,wʰ a,,wʰ aː,w i,wʰ é/e,w ɨ w á/a,wʰ a,w aː,f aː,f aː,,w o + ê l a,w í/i a,f a ʔ á/a,w a h a,w u h a,,w a,,w e k á/a,
216_42_leaf,b a n a b a i,p a n a pʰ e,,,,,,,d a b a n a,a p a n a,a p a n á/a,p a n a pʰ e,,,,,a p a n a + m a,i b á/a i n á/a,a p á/a n á/a ʔ aː m í/i,p a n á/a pʰ e,,,pʰ e,,,a p u n a k + pʰ e
217_41_knowsomething,j a l eː n aː,,,,,,,,,a r a nʰ ú/u,,,,,,,,a l í/i a k a w a,,,,,,,,
218_45_long,m a tʃ eː n iː,,,,,,,,,,h i t ɨ ʃ a ɲ e,,,,,,,,ts e i n ó/o ʔ,,,,,,,
219_88_we,,,,,,,,,,,,,,,,,,,m uː ʔ á/a,,,,,,,t e l a m nʰ ô/o e
21_85_two,,,,,,,,,,,,,,,,,p e k i a m u,,,,,,,,,p i á/a k m a
220_46_man,,,,,,,,,,,,,,,,,o k o n é/e,,,,,,,,,
221_47_many,,,,,,,,,,,,,,,,,,k á/a n a n a m a,,,,,a k u n e,,,k e n á/a
222_48_moon,k eː r i,k é/e e r i,k eː ʐ i,k eː ɽ i,k eː ɽ i,k eː ɽ i,k eː ʐ i,tʃ ɛː ɾ i,kʰ i,k é/e e r i,k e s í/i,k eː ʐ i,,,,,k i ʃ i,k éː/eː ɾ i,k e é/e g í/i,d eː p i t e + k eː ɾ i,k eː ɾ i,,,,k e ɾ i,
223_47_many,,,,,,,,,,,,,,,,,,,,,,,ʃ u p e,a s u p ɛ ɾ i,tʃ a ʔ a pʰ á/a,j e p i + ú/u
224_48_moon,,,,,,,,,,,,,,,,,,,,,,,,,,w a n í/i u
225_49_mountain,,,,,,,,,,t a k a r i,,,,,,,,,t é/e g a h ú/u,,,,,,,
228_52_neck,,,,,,,,,,k a nʰ a p i,,n u n a p o k o d a,,,,,,k a n á/a p i,,,,,,,,l a r a p u ɨ
229_20_earthsoil,,,,,,,,,,t a ʔ k a a r i,,,,,,,,,,,,,,,t e ʔ e ɾ í/i,t e k é/e
230_54_night,,,,,,,,,,,,,,,,,k e s e + j u,,,,,,,,,k e ts é/e + k a
233_13_cold,,h á/a p e,h aː p e,h a p ɛ d ɛ,h a p ɛ k a n i,,h a p ɛ k a n i,h a p ɛ,h a m e n a,p e ʔ e,p e ʔ + h ɨ̃,h a p e k a,h a p e,h a p e,h a p e r j i,h a p e d a l e,,,h i ʔ p íí/iː ʔ,h a p é/e p e ɾ i,h a p ɛ m a n ʊ k a,,a p a t e,,i p e ʔ e n í/i,ts o p e
234_63_root,h í/i i tʃ u ʃ i,p a l i,ɽ i p a ɽ i,h i p a ʐ o,,ɽ i p a ɽ i,,,,a p á/a r e,,h iː p a ʐ u,l i p a l i,l i p a l i,l i p a l i,l i p a l e,,i p ì/i tʃ u,t é/e b a k é/e,d i p á/a l i,ɾ i p a ɾ i,,,,,
237_4_belly,,,,,,,,,,,,,,,,,o m o t o d a,,,,,,,,,mʰ u l h ú/u
238_12_cloud,,,,,,n o v i,,,n u v e,,,,,,,,,,,,,,,,,
240_15_die,,,,,,,,,,,,,,,,,,,,,,,,,,n i/j a p u m í/i
241_15_die,,,,,,,,,,,,,,,,,e k i/j a p a n u,,,d í/i p a,,,,,,n e a p a
246_78_tail,í/i i ʃ i ʃ i,,,,,,,,,,ts + ɨ ʃ ɨ,,,,,,,,,,,,,ɾ i s i,,
248_28_good,,,,,,,,,,,,,,,,,k ei h a d a,k a j á/a b éː/eː ɾ i,k a ʃ ó/o ʔ,,,,,,,
249_28_good,,,,,,,,,,,p õ ʔ m e + h ɨ̃,,,,,,,,,,,,,,,
250_28_good,,,,,,,,,,,,,,,,,,,,,,,,,,j i/j a t é/e j a
256_32_head,w i t a ʃ i,h i w í/i d a,h i w i d a,h i w i d a,h i w i d a,h i w i d a,h i w í/i d a,h i w i d a,,h i w í/i t a,h i w á/a,h i w i d a,l i w i d a,l i w i d a,l i w i d a,l i w i d a,i u h l a,n u i w i t a,h í/i v e ú/u,dʰ i w í/i d a,ɾ i wʰ i d a,w a h u j d a,,,w í/i l a ʔ a ɾ u h i,u h l a
257_33_headlouse,,,,,,,,,,,n á/a p a,,,,,,,,,,,,,,,
258_30_hairhead,,,,,,,,,,,,,,,,,l e s a p a,,,,,,,,w i l a h i,u h l a s á/a
261_56_not,,,,,,,,,,,i j ó/o,,,,,,,,,,,,,,,m e i h o
262_56_not,,,,,,,,,,,e n eí/ei,,,,,,,,n iː,,,,,,,
27_2_ash,b aː l i,,,p a ɽ i a d a,p a ɾ i a d a,,p a ɽ i,,b a r i d i,p a ʔ a r i,,,,,,p a l i a p o k o a,,b a l ì/i i,,p á/a l i,,,,p a ɾ i tʃ i,p a i ʔ i l á/a,
28_15_die,,,n u dz aː m i k a,ɽ i dz ɐː m i k a,p a dz aː m i k a,,,ɽ i dz ɛː kʰ i,,,,m a j e m e k a,iː j a m i k a d a,dz aː m i kʰ e tʰ i,m a j a o n k a,i dz aː m i k e t i,,,,,l i j a m ĩ n ʊ k a l i a,w a j a m e n ĩ p ɛ,,,,
29_3_bark,,,,,,,,,,,,,,,,n a t a k a n d a,,,,,,,m aː t a h ã,m aː t a,,
30_1_all,,,pʰ i u m e,pʰ i u m ɛ,pʰ i o m ɛ,,pʰ i u m ɛ,pʰ i o m ɛ,,,,pʰ i u m e,p i o m i,,p i o m i,,,,,,,,,,p i h u k e h a,
313_15_die,,,,,,n u tʰ ẽː t a k a,,,,,,,,,,,,é/e t á/a k a w a,,,,,,,t a k a ʔ a k a h e,
316_26_full,,,,,,,,,,m a n u,,,,,,,,,,,,,,,m a n o ʔ o k a h e,
317_26_full,k aː w a i,,,,,,,,k a w i,,,,,,,,,,,,,,,,,
31_4_belly,,ʃ á/a d a,,,n u ʃ a d a,n u ʃ a d a,,,,,,,l i s ɾ a d a,l i s ɾ a d a,,l i s ɾ a d a,,,iː ʔ ʃ á/a ú/u,,,,n u ts i á/a b u,n u tʃ i a p u,,
321_15_die,,,,,,,,,,,,,,,,,,,,,,,w i j u a,n u i w a,,
32_4_belly,j a w a i ʃ i,,ɽ i w a w a,ɽ i w a w a,,,n u w a w a,ɽ i w a w a,,,,n u w a w a,,,l i w a w a,,,,,d í/i w a,w a w a w a,,,,,
338_23_fatorganicsubstance,j uː w i k a,,,,,ʐ u i k a,,,,,,,,,,,,,,,,,,,,
34_1_all,k i n i n a m a,,,,,k a n a k u d a,,,,,,,,,,,,k a n á/a n a m a,,,,,,,,
358_30_hairhead,,,,,,,,,,tʃ u n a,,,,,,,,i tʃ ù/u n a,,,,,,,,
35_22_egg,,,,,,,,,,,,,,,,,,,,,,,i n e m a,i j̃ e n a,,
37_3_bark,iː m a n a ʃ i,,,,,,,,,,,,,,,,,à/a i k u + í/i i m a m i,,,,,,,í/i m a h i,
400_19_ear,,,,,,,,,n u d a t i n i,,,,,,,,,,,,,,n u t a n i p a ɾ a,n u t a n i p a ɽ a,,
406_36_hornanatomy,tʃ aː l a ʃ i,,,,,,,,,,,,,,,,,i tʃ à/a l e,,,,,,,,
408_36_hornanatomy,,,,,,,,,,,,,,,,,,,iː j β i í/i,,,,,,r i ʔ i w a w i,
41_1_all,,pʰ á/a lʰ a i,,,,,,,,,,,,p a d eː n i ɾ i,,p a d e n i ɾ i,,,,,,,p a j a ɾ u,p a j ɛ ɾ o i,,
422_39_kill,,,,,,,,,,,,,,,,,,é/e t á/a i d a k a,,,,,,,,p e k tʰ á/a ʔ
428_39_kill,,,,,,n u t u ɽ u a k a,,,mʰ u d u,,,,,,,,,,m ó/o tsʰ ó/o,,,,,,,
42_75_star,,,,,,,,,,,,,,,,,k e tʰ é/e,,,,,,,,,u ú/u e t é/e
444_41_knowsomething,,,,,,,,,,,,,,,,,,,,d i j é/e k a,p a e k a n i p ɛ,,,,,
446_41_knowsomething,eː w e r i,,,,,,,,,,,,,,,,,,,,,,,,w e ʔ e p í/i k a h e,
44_5_big,,,h a n i p a,,,,,,,,,,,,,,,,,h a n ú/u i t e,h a n ʊ̃ ĩ t ɛ,,,,,
45_5_big,m aː n u iː,,,,,m a mʰ i ɽ i,,,,m a n u ʔ ú/u,,,,m a n i ɾ i,,,,m a n u í/i ɾ i,,,,,,,,
463_43_liedown,k u a n i r i u,k u a,,,,,,,t i k u a,k u a p u,,,,,,,,w a k ù/u a k a w a,,,,,,,,
46_4_belly,,,,,,,,,n u d u r a,t e r e,,,,,,,,d è/e e,,,,,,,,
484_45_long,,,,,,,,,h a r a b i,,,,,,,,,k á/a a l é/e e r i,,,,,,,,
486_45_long,,,,,,,,,,w i a,,,,,,,,,,w j á/a w a n i,,,,,,
48_83_tooth,é/e e ʃ i,eː tsʰ a,ɽ i e ts a,ɽ i ɛ tsʰ a,p eː tsʰ a,ɽ i a i,n u e ts a,ɽ i e tsʰ a,,ʔ í/i a,,n o e tʰ a,l i e ts a,l iː a i,l i eː ts a,l i eː ts a,é/e e,j è/e i,,d i é/e,l i ɛ,,n a ʃ i,n aː ts i,a i h í/i,i h í/i
4_14_come,iː n u e r i,n o,i n u,n u n u k a,ɽ i n u k a,n u n u k a w a,n u n u k a,,,,,ɽ i n u k a,i n o k e t i,i n o kʰ e t i,ɾ i n o k a,i n o k e t e,,n ù/u a k a w a + n é/e e s e,,d í/i n u,n a n ʊ n u k a h a n ʊ p ɛ,,,,,
503_46_man,,,,,,,,,,,,,,,,,,,,,,,e n a m i,e n a m i,,
50_6_bird,,,,,,,,,,ʔ u p i r a,,k u i pʰ i a ʐ u,w i pʰ i a ɾ o,,w iː p i a ɾ o,,,k u ì/i p ì/i r a,k ó/o ʔ p í/i i d ú/u,,,,,,k u p i r a ʔ a pʰ á/a,
513_47_many,,,,,,,,,,,,,,,,,,,,s ó/o m e,,,,,,
51_74_stand,,,,,,,,,,,t o lʰ ae m a,,,,,,,,i ʔ t ó/o nʰ ú/u,,,,,,t á/a r a ʔ a k a h o,
52_2_ash,,,,,,,,,,,,,l i m a l e,l i m a l e,l i m a l e,,,,,,,,,,,
536_49_mountain,d ú/u u l i,,,,,,,,,,,,,,,,,d ú/u l i,,,,,,,,
53_8_black,,,,,,,,,,k e w e r e r i,,,,,,,,k úː/uː l íː/iː ɾ i,,,,,,,,
553_51_name,,,,,,,,,,,,,,,,,,,,,,,n u ʃ i n a,i s i n a,,
554_51_name,,iː p í/i t a n a,ɽ iː p i t a n a,ɽ iː p i t a n a,ɽ iː p i t a n a,ɽ iː p i t a n a,p e p i t a n a,,,,,n u i p i tʰ i a n i,l iː p i t a n a,l i p i t a n a,l iː p i t a n a,p iː p i t a n a,,í/i p i d e n á/a,,k e p i t á/a n a,ɾ i p i t a n a i a n ʊ k a,,,,,
55_42_leaf,,,ɽ iː pʰ e,ɽ i pʰ ɛ,ɽ i pʰ ɛ,ɽ iː pʰ e,ɽ í/i pʰ ɛ,ɽ i pʰ ɛ,,,,,l i pʰ e,l iː pʰ e,l i pʰ e,l i pʰ e,,,,,d i hʲ a pʰ ɛ p ɛ,,,ts aː p ɛ,,
565_53_new,,é/e e m i,,,,,,,,,,,,,,,,,,e m í/i t e,,,,,,
566_25_foot,iː b a ʃ i,h í/i i p a,h iː p a,ɽʰ iː p a,h a j p a,ɽ iː p a,n u i p a,,,h í/i i p a,,n u i p a,l iː p a,lʰ iː p a,l iː p a,l iː p a,e k + p a + t a,a b à/a l i,h iː ʔ p ú/u,dʰ i p á/a m a,h i p a m ã,,n u tʃ i p a ɾ a,n u tʃ i p a ɽ a,h i ʔ i m a h i,
57_76_sun,,,,,,,,,,,,,,,,,eɨ m ãː,,,,,,,,,
58_7_bite,,,,,,,,,,a mʰ e,á/a mʰ a,,,,,,,i m a s á/a a k a,e m ú/u,,,,,,a mʰ a ʔ a k a h e,a m e ts a
590_26_full,,p á/a kʰ a m e i,p a kʰ a m e k a,p a kʰ a m ɛ k ɛ,p aː kʰ a m ɛ,,p a kʰ a m ɛ k a n i,p a kʰ a m ɛ,,,,p a kʰ a m e,,,,,,,,,,,,,,
592_55_nose,,,,,,,,,,,,,,,,,,,,,,,n u j a p a,n u j a p a,,
597_26_full,,,,,,,,,,,,,,,,,,,,,,,p e ɾ u,p ɛ ɾ u m i a ɾ i,,
598_56_not,,,,,,,,,h e n a,,,,,,,,,,,,,,n a l é/e,,,
59_53_new,,,,,,,w a h i t ɛ,,,,,,,,,,,,,,,,,,w a h é/e,
601_56_not,h oː k a i,,,,,,,,,u k a,,,,,,,,,,,,,,,u n k á/a,
61_2_ash,,,t i dz e mʰ e n i,,,ɽ ĩː p e n i,,t i dz ɛ h e n i,,,,ɽ i pʰ i e n + h e n,,,,,,,,,,,,,,
627_28_good,,m á/a ts i a,m a tʃ i a,m a tʃ i a,m a tʃ i a dz a,m a tʃ i a k a n i,m a tʃ i a,m a tʃ i a d a ɽ i,,,,m a tʃ i a,m a ts i a d a l i,m a ts i a,m a ts i a,m a ts i a d a l e,,,,m a c̃/c íː/iː t e,m ã s i a m ã n u k a,,,,,
62_7_bite,á/a m u a,mʰ o a,n u h ũ a k a,,p i h u ɐ̃ nʲ,n u h ũ a k a,n u h u a k a,,,,,ɽ i u h aː k a,i mʰ o a k e t i,i nʰ u a kʰ e t i,i h m o a k e t i,i nʰ u a k e t i,,,,d i wʰ á/a,n ã mʰ õ n ĩ p ɛ,,,,,
63_8_black,,,,,,,,i p a d a ɽ i,,,,ɽ iː p a d a ɽ i,,,,,,,,,,,,,,
640_60_rainprecipitation,,,,,,,,,,p e ʔ e kʰ e,,,,,,,,,,,,,,,,
643_60_rainprecipitation,,í/i i dz a,iː dz a,iː dz a,iː dz a,iː dʒ a,iː dz a,iː dz a,h i j a,,,ɽ iː a w,iː j a,iː dz a,iː j a,iː dz a,,,,í/i j a,iː j a,iː j a,,,,
644_60_rainprecipitation,,,,,,,,,,,,,,,,,,u n í/i a,,,,,w e n i,w e n i,h u n i,
649_23_fatorganicsubstance,,í/i i tː i,ɽ iː t i,,ɽ iː t i,,ɽ iː t i,,w i tʃ i r e,í/i ʔ i t̪ i,,ɽ iː t i,l iː t i,,l iː t i,l iː t i,,i s éː/eː n á/a,,d í/i s i,k e ts iː,,,,,
64_12_cloud,,i dz a d a w a k a,i dz a d aː k a,dz a d a w a k a,,,t a m a n a,,,,,,iː j a,i t a m a n a,i t a m a n a,i dz a d a o k a,,,i í/i tsʰ ú/u,i j a k ú/u m a,,i tʰ a p ɛ d a p ɛ,w i ts i,,,
653_61_red,k í/i r a i,iː r a i,i ʐ a j,i ʐ a j d a ɽ i,iː ʐ a j d a j,i ɽ a i k a n i,i ʐ a j k a n i,i ʐ a j d a ɽ i,kʰ i a,k í/i i r a,,,i ɾ a i d a l i,iː ɾ a i,iː ɾ a i d a l i,iː ɾ a i d a l e,k t i t i + u,k íː/iː ɾ a k a,k e d á/a v i í/i ʔ,i ɾ í/i t e,i ɾ i k a n u k a,i ɾ i n ĩ p ɛ,i ɾ a ɾ i,i ɾ a ɽ i,k e ɾ a n i,k i t a
663_29_green,u l eː j i,h í/i p o l e,,,h i p o ɽ ɛ d a ɽ i,,,h i p o ɽ ɛ d a ɽ i,,p u r é/e,,,h i p o l i a d a l i,h i p u l e,h i p o l e d a l i,h i p o l e d a l e,,i p ù/u l éː/eː ɾ i,i p o g í/i ʔ,h i p o l í/i t e,h i p o ɾ ɛ m a n ʊ k a,h i p ɔ ɾ e n ĩ p ɛ,p ú/u ɾ e ɾ i,p u ɾ ɛ ɾ i,i p u ɾ e n i,
667_64_round,,,,,,,,,,p a β uː d ú/u,,,,,,,,,p a v uː d u,,,,,,,
668_64_round,m a k a,m a dz a k á/a nʰ u,,,m a dz a k a nʰ ĩ d a ɽ i,,,m a dz a k a nʰ ĩ d a ɽ i,,,,m a i a k a ŋ g a ɽ i,,,,,,m a k à/a p u k u í/i tʃ ú/u a,,,m ã k a d a t u k i n ʊ k a,,,,,
66_6_bird,m í/i ʃ i d u,,,,,,,,,,,,,,,,,m à/a s i b è/e e,,,,,,,,
671_64_round,,,,,,,,,,,,,,,,,,,,,,,tʃ i ɾ u e ɾ i,tʃ i ɾ e ɽ i,,
679_65_sand,,,,,,,,,,,,,,,,,,,,,,,j á/a tʃ i n a,j a tʃ i n a h a,,
683_66_say,,,,,,,,,d i n a,,,,,,,,,,,,,,,p i n a m i h a,,
68_13_cold,,,,,,,,,,,,,,,,,,,,,,,a w i n i,a w i n i m i,,
690_66_say,,k a í/i t e,p i k a i t e,,,,,,,,,,i k a i t e k a i t a,k a i tʰ e k e t i,,i k a i t e p e t e k i,,,,,,,,,,
695_67_see,k á/a b e r i,k á/a p a,n u k a p a,n u k a p a,w a k a p a,n u k a p a k a,n u k a p a,,,,,n u k aː p a,i k a p a k a i t a,i k a p a k e t i,n u k a p a k a,i k a p a k e t i,,,,,,,,,,
707_68_seed,,,ɽ i ʃ i,ɽ i ʐ i,,ɽ i ʃ i,ɽ i ʐ i,,i t i,k a + k a k i t j i h e,,ɽ iː h i,,l iː ʃ i,l iː s ɾ i,,,,,,,,i h i n a,,i h i h i,
710_69_sit,w á/a a i r i u,o ó/o wʰ aː,ɽ i ɸ a,n ũ h u a k a w a,w a h o a k a w a,ɽ i u h u a k a w a,n ũ h u a k a w a,ɽ i ũ h ĩ ɐ̃ k a w a,,,,ɽ i u mʰ a k a w a,j oː f a k a d a,o f a k e t i,,j o h aː k e t i,,a w i n a k a w a,,d i wʰ a,w a h a n u k a n u k i,w a wʰ a n ĩ p ɛ,,,,
723_32_head,,,,,,,,,n u d u s i a,,,,,,,,,,,,,,n ú/u b u h u,n u b u h ɐ̃,,
725_70_skin,í/i i m a n a ʃ i,j a,,,ɽ i j a,,ɽ i j a,ɽ i j a,i i d a,í/i ʔ a m i,,,l iː a,,l iː a,l iː a,,í/i m a m i,e é/e m ú/u,d í/i j a,ɾ i j a,l iː a m i,,,í/i m a h i,
726_70_skin,,,,,,,,,,,,,,,,,,,,,,,n u m a t a,m aː t a,,m á/a tʃ e
72_15_die,,m a l í/i o m e,,,,,m a ɽ i o m a k a n ɛ,,,,,,,,,,,,,,,,,,,
735_35_heart,,k aː l e,ɽ i k a ɽ e,n u k a ɽ ɛ,n u k aː ɽ ɛ,ɽ i k aː ɽ e,n u k a ɽ e,,h a k a n i,k a r e t a,,n u k a u ʐ a i,l i k a o l e,l i k aː l e,l i k a o l e,l i k aː l e,,íː/iː ɾ i k u,,d í/i k a l e,p a k a ɾ e d a,w a k a ɾ ɛ,,,,
746_72_small,,ts ú/u u,ts uː d a ɽ i,ts oː d a ɽ i,ts oː d a ɽ i,,ts uː k a ts a n i,ts uː d a ɽ i,,,,ts uː d a ɽ i,,,,,,,,ts ú/u i t e,,,ts u i t u i ɾ i,ts u i t e ɾ i,,
761_74_stand,,,,,,,,,,p a tʃʰ a,,,,,,,,,,,,,a tʃ i a,t e a tʃ i a,,
762_74_stand,b a r u e r i u,,,,,,,,,,,,,,,,,b à/a l ù/u a n í/i c a w a,,,,,,,,
76_14_come,,,,,,,,,,a n aː,,,,,,,,,ts a ʔ n ú/u,,,,,,,
775_75_star,,h i w í/i rʰ i,h i w i s i,h i w i ʃ í/i d a,h i w i ʃ i,h i w i ʃ i,h i w i ʃ í/i d a,h i w i ʃ i,wʰ i n a d i,w i r í/i nʰ u,,h i w i ʐ i d e,h i v i s ɾ i d a,h i v i ʃ i,h i v i s ɾ i d a,h i v i s ɾ i d a,,,h i v í/i i g í/i,w a l i p é/e ɾ a,,,w i m i n a ɾ i,,i w i h ɾ í/i,
786_76_sun,,,,,,,,,,a b e,,,,,,,,,,,,a h k o a p e j t ɛ,,,,
788_76_sun,k á/a i w i a,,,,,,,,,,,,,,,,,,h á/a ʔ í/i,,,,,,,
789_76_sun,,,,,,,,,,e r i,,,h e ɾ i,,h eː ɾ i,,,è/e e r i,,,k eː ɾ i,,,,,
790_76_sun,,k á/a m o i,k a m o i,k a m o ĩ,k a m o ĩ,k a m o i,k a m o i,k a m o i,k a m u h ũ,,,,,k a m u i,,k a m o i,,,,,,,a m u s i,,k a m ú/u,
795_77_swim,j á/a m a r e r i u,,,,,,,,,,,,,,,,,m à/a l a k a w a,,,,,,,,
799_77_swim,,,,,,,,,,a w á/a p a,,,,,,,,,o ʔ v á/a p ú/u,,,,,,i ʔ i w a p a k a h e,
79_17_drink,iː r e r i,í/i i r a,n u i ʐ a k a,w a i ʐ a k a,p i ʐ a,n u i ʐ a k a,n u i ʐ a k a,,,i r á/a,í/i ʔ s a,n u i ʐ e a k a,i ɾ a k e t i,i ɾ a kʰ e t i,iː ɾ a k e t i,i ɾ a k e t i,i k t e + n au,ì/i ɾ a k a,i ʔ d ú/u,d í/i ɾ a,p a j ɾ a n i p ɛ,w a j ɾ a n ĩ p ɛ,,,i ʔ i ɾ a k a h e,i t a
808_36_hornanatomy,,ts ó/o w a,ɽ i ts u a,ɽ i ts u a,ɽ i ts o w a,ɽ i ts u a,ɽ i ts u a,i t u a,,,,ɽ i tʃ i w a,,,,,,,,,l i ts a w i,,,ts o w a,,
80_81_thou,,h í/i a,,,,,,,,,,,,,,,p ɨ e ɨ,,,,,,,,,p ɨ l a t u t a h ô/o e
81_3_bark,,,,,,,,,,,,,l i kʰ i,l iː k e,,,,,,,,,,,,
82_3_bark,,j a,ɽ i j a,ɽ i j a,ɽ iː j a,ɽ j a,ɽ i j a,ɽ i j a,,,,ɽ i a,,,,,,,,,ɾ i j a,,,,,
835_80_this,r u a n i,,,,,,,,,d o ʔ ó/o,,,,,,,,ú/u á/a i,d o ʔ ó/o,,,,,,,
844_81_thou,i j á/a,,,,,j a,,,i n i,,,,,,,,,,,i h a,,,,,i k á/a,
845_81_thou,,,,,,,,,,,,,,,,,,,,,,,n i j a,n i j a h ɐ̃,,
84_69_sit,,,,,,,,,,,,,,,,,,,í/i tsʰ ú/u,,,,,,h á/a ʔ a k a h o,
856_82_tongue,,,,,,,,,,,,,,,,,,,,,,,n u t á/a ɾ e,n u t a ɽ a,,
85_18_dry,,,,,,,,,,,,,,,,,,,,,,,ʃ e ʃ e t a,s ɛ s ɛ ɽ i,,
860_40_knee,,,,,,,,,,,,,,,,,,,,,,,n u k u w a ɾ u t a ɾ e,n u kʷ a ɾ i t a ɽ e,,
861_41_knowsomething,,á/a a nʰ eː,n u a nʰ e k a,w a ʰl j ẽ ts a,w aː h ẽ k i̥,n u a nʰ e,n u w a nʰ e n i,n u a h e n i,,,,n u w a nʰ ẽ o k a,j a nʰ i k a d a,aː nʰ e k e t i,j a nʰ eː k i,j a nʰ e kʰ e t i,,,,,,,,,,
86_18_dry,,m eː tː á/a t a,m eː t a k a n i,m ɛː t a d a ɽ i,m eː t a d a ɽ i,m eː t a k a n i,m ɛ t a k a n i,m e t a d a ɽ i,,,,m e t a d a ɽ i,m eː t a d a l i,m eː t a d a l i,m eː t a d a l i,m eː t a d a l e,,,,,,,,,,
877_84_tree,,,,,,,,,a d a,,,,,,,,,j é/e e t a n á/a,,,,,a t a p i,,,
87_20_earthsoil,k a i n a b i,,,,,,,,kʰ a d i,,,,,,,,,k á/a l i,,,,,,,,
881_84_tree,,,,,,,,,,ʔ a h aː,,,,,,,,,a v á/a a n a ʔ é/e,,,,,,a ʔ a w a n á/a,a w á/a n a
887_85_two,tʃ á/a m a i,dz a m a,dz a h ẽ p a,dz a m a d a,dz a m a d a,dz a h m e p a,dz a m a d a,dz a m a d a,,tʃ u m aː,,j a m a d a,j a m a d a,dz a h m e,j a m a d a,dz a m a d a,,,,ɲ a m á/a d a,ɲ a m ã i t ɛ,ɲ a m ɛ p a,d a m a,,i h a m á/a,
8_19_ear,,h eː n i,ɸ i e n i,ɽʰ i e n i,h i eː n i,ɸ i e n i,w eː n i,pʰ i eː n i,,,,h a e n i,l i e n i,lʰ i eː n i,,l i e n i,,,,d i wʰ é/e n i,l i h e n ĩ,wʰ ɛ n ĩ,,,,
900_86_walk,,eː m á/a nʰ i,,,,,,,,,,,,,,,,,,d i e mʰ á/a n i,,,,,,
901_86_walk,,,,,,,,,j u a h a,aː,,,,,,,,,,,,,,,h a ʔ a p á/a k a h e,
910_87_water,,ó/o o n i,oː n i,óː/oː n i,oː n i,oː n i,u n i,oː n i,u n i,ú/u u n i,,oː n i,uː n i,uː n i,oː n i,uː n i,,ú/u u n i,h oː n í/i,,uː n i,uː n ĩ,w e n i,w e n i,h ú/u n i,
91_75_star,,,,,,,,,,,,,,,,,,,,,w a ɾ i p ɛ ɾ a,w a ɾ i w a ð a p ɛ,,,,
923_45_long,,,,,h a n i p a d a ɽ i,,,,,,,h a ɽ i p a,h a l i p a n i pʰ a,,h a l i p a d a l i,,,,,,,,,,,
925_89_what,,,,,,,,,n e,,,,,,,,,,,,,,,,n a,
92_21_eat,iː j e r i,í/i i ɲʰ a,n u ĩ jʰ a k a,w a j nʰ ĩ a k a,p iː ɲʰ ã ĩ,n u ĩ jʰ a k a,n u i nʰ a k a,n ũ ĩ ɲʰ ɐ̃ k a,,tʃʰ a,í/i ɲʰ a,n u i h e a k a,i ɲʰ a k e t i,i nʰ i a kʰ e t i,i nʰ i a k e t i,i nʰ a k e t i,,j áː/aː k a,,d i ɲʰ á/a,ɲ ã k a s i + p a ĩ nʰ ã n i p ɛ,,,,a ɲʰ a k a h e,i s á/a + n a w á/a
934_33_headlouse,,t o w í/i d a,t u i d a,t u i d a,t u i d a,t u i d a,t u i d a,t u i d a,t u w i d a,,,,t oː i d a,t u i d a,t u i d a,t u i d a,,,,,,,tʃ u w í/i d a,ts u i t a,,
943_90_white,k a b á/a l a i,,,,,,,,b a r i n i,,,,,,,,,k a b a l è/e e ɾ i,,,,,,,,
947_91_who,,,,,,,,,,,,,,,,,,k à/a i n á/a,k é/e e n í/i,k w a n a,,,,,,
950_89_what,,,,,,,,,,m i kʰ a,,,,,,,,,,,,,,,,
950_91_who,,,,,,,,,,m i kʰ a,,,,,,,,,,,,,,,,
959_89_what,,,,,,,,,,u mʰ a,,,,,,,,,,,,,,,,
