Cognate_ID,Badga,Betta_Kurumba,Brahui,Gondi,Kannada,Kodava,Kolami,Kota,Koya,Kurukh,Kuwi,Malayalam,Malto,Ollari_Gadba,Parji,Tamil,Telugu,Toda,Tulu,Yeruva
87_thou,n i,n iː j ə,n iː,n i mː e,n iː n u,n iː n ə,n iː n u,n iː j a,n i mː a,n iː n,n i n u,n i,n iː n,i n,iː n,n i,n iː ʋ u,n i,i,n i
88_tongue,n aː l a n g e,n e l g i,d u ʋ iː,ʋ e n dʒ e ɾ,n aː l i g e,n aː ʋ u,n aː l k a,n aː l g ə,n aː l i k e,t a kː h a,ʋ e n ɖ aː ɾ u,n aː k ə,t a ɖ t a,n aː n g,n e v ã ɖ,n aː kː ə,n aː l u k a,n oː f,n aː l aː j i,n aː ʋ u
89_tooth,h a lː ə,p a lː ə,d a n d aː n,p a l,h a lː u,p a lː ə,p a l k u,p a l,p a l k,p a lː,p a l u,p a lː ə,p aː l d u,p aː l k i lː,p e l,p a lː ə,p a nː u,p a ɾ s e,k uː l i,p a lː u
8_bite,k a tʃː ə,k a ɖ i,k a a t + k a nː i n g,k a s k,k a ɖ i,k a ɖ i,a t e k a ʂ i n,k a ɖ ə,k o ɾ a k a,kʰ a tʃː n a,k a tʃ i n e,k a d i kː u g a,k oː h i,,k o r k,k a ɖ i,k o ɾ u k u,p a ɾ tʃ i ʈ tʃ i,t i n aː ɾ a,k a ɖ i
90_tree,m o ɾ a,m e ɾ i,d ɾ a h kʰ t,m a ɾ a,m a r a,m a ɾ a,m aː k,m a ɾ a m,m aː ɾ a,m a nː,p a ʈ a,m a ɾ a m,,,m e r i,m a ɾ a m,tʃ e ʈː u,m eː n,m a ɾ a,m a ɾ a
91_two,e ɾ a ɖ ə,ə d d u,i ɾ a t,ɾ e ɳ ɖ u,j e ɾ a ɖ u,d a ɳ ɖ ə,d u ɖ ə,e ɖ u,ɾ e ɳ ɖ,iː r ə b,r i n ɖ a,ɾ e n d ə,p aː n ɖ a,i ɾ u ɖ u,i r,ɾ e n ɖ ə,ɾ e ɳ ɖ u,eː ɖ ə,ɾ a ɖː u,i ɾ a n d ə
92_walk,n a ɖ ə ʋ a d ə,n a ɖ i,tʃ e ɾ ɾ i n g,t a k a,n a ɖ ə,n a ɖ a,n a ɖ u s,n a ɖ ʋ u,n a ɖ a m,eː kʰ n a,,n a ɖ a kː u g a,h eː k p o,,,n a ɖ ə,n a ɖ u tʃ u,n a ɖ a ɾ ɾ ə,n a ɖ a p a ɾ a,n a ɖ a
93_warm,u pː e kː e,s uː ɖ ə,b aː s u n,k aː s t a,b e tʃː a g e,b e kː e,ʋ e kː a,,ʋ eː ɖ,u d u m,,u ʂ ɳ a,k u ɖ n i,ʋ e ʈ a l,,ʋ e d ə ʋ e d ə pː ə,ʋ e tʃː a,k o r t i l i j e,b e tʃː a,b e kː i
94_water,n iː ɾ ə,n iː ɾ ə,d iː r,j e ɾ,n iː ɾ u,n iː ɾ ə,iː ɾ,n iː ɾ,eː ɾ u,a mː,e j u,ʋ e lː a m,h a m d u,n iː r,n iː r,t a ɳ ɳ i,n iː ɾ u,n iː ɾ,n iː ɾ ə,n iː ɾ u
95_we,n a n g a,n a ɳ g ə,n a n,m a mː o ʈ,n aː ʋ u,n a n g a,a m d ə,a mː e,m a n aː ɖ u,n aː m,m a m b u,n aː m,n aː m u,aː m,aː m,n aː m,m a n a m u,oː m,j a n k u l u,n a n g a
96_what,eː n ə,a j i n d i,a n t ə,b a ʈː a l,j eː n u,j e n t ə,e m,e t aː n ə,b aː t a,j eː n d r a,e n a,e n d ə,i n d i ɾ d u,e nː aː ʈ,n aː t o,e nː e,eː m i,i nː o,e n tʃ i n a,e n t a i
97_white,ʋ e ɭː e,b ə ɭː u,p iː u n,t e lː a g,b i ɭ i,b o l t a d ə,t e lː u ɖ i,ʋ e lː ə,t e l u p,p a ɳ ɖ ɾ u,p a n d i,ʋ e ɭ u pː ə,s a d aː,,v i l,v e ɭː ə,v e lː a,p e l t i,b o l d u,b o l t a j i
98_who,t aː ɾ a,d aː ɾ ə,d eː ɾ,b o ɾ,j aː ɾ u,d aː ɾ ə,,d aː ɾ ə,b eː n o n ɖ u,n e,d a a t,aː ɾ ə,n eː d u,,e d,j a a r ə,e v a r u,o ɾ i,j eː ɾ u,j aː ɾ u
99_woman,e mː aː t i,p ə ɳ a kː ə n,n j a a ɽ i,m u ɾ t a d,h e n g a s u,p o nː aː ɭ ə,b aː j i,p e m a g u,n aː t a ʋ aː d,m u kː a,ɖ o l i,p e ɳ ɳ ə,t e l d u,,,p e ɳ,s t ɾ iː,t u s m oː g ə,p o n dʒ a,p a n i tʃ i
9_black,k a pː ə,k a ɾ t ə n u + i p ə d ə,m aː o n,k a ɾ ə,k a pː u,k a ɾ t a d ə,ɖ aː ɾ i a t e,k a ɾ u pː ə,k aː ʈ e,m o kʰ a ɾ o,k a d i a,k a ɾ u pː ə,m a ɖ h a ɾ o,,,k a ɾ ə pː ə,n a l u p u,k a pː ə,k a pː u,k a ɾ t a j i
