Cognate_ID,Batek_Deq_Koh,Batek_Deq_Terengganu,Batek_Teh_Lebir,Batek_Teh_Taku,Batek_Teq,Ceq_Wong,Jah_Hut,Jahai_Banun,Jahai_Rual,Kammu,Kensiw_Kedah,Kensiw_Perak,Khmer_Siem_Reap,Khmer_Surin,Kintaq,Lanoh_Kertei,Mah_Meri,Maniq,Menriq_Lah,Menriq_Rual,Mon,Semai_Kampar,Semai_Ringlet,Semaq_Beri_Berua,Semaq_Beri_Jaboy,Semelai,Semnam_Bal,Semnam_Malau,Temiar_Kelantan,Temiar_Perak,Tenen_Paborn,Tenen_Palian
142_wing,s a j a p,c ə ŋ,s a j ə p,s a j a p,s a j a p,p r a c,k p a ʔ,k l a p ə h,s a j a p,p n’ ɨː r,s a j a p,s a j a p,s l aː p,s l aː p,s a j a p,k ɲ ɛ ŋ,k ə m p ɛ̤ k,p a ʔ e c,s a j a p,s a j a p,n̥ ɛ a ŋ,k ɲ ɛː k,k ɲ ɛː k,p r ə c,k p a ʔ,p r ə c,p j ɛ̆ c,k l a p u oː h,k ɛ n j ɛː k,k ɲ j ɛ k,p a ʔ i c,p a ʔ e c
143_wipe,s a p u h,,s a p u h,s a p u h,,b ɨ l,kʷ a k,p ɨ s,p ɨ s,ʔ ɔː t,,p ɨ s,c uː t,c uː t,s a p u h,s a p u h,t a m p ɔ s,c e t,s a p u h,p ɨ s,c ɜ̤ t,g i t,s a p u h,g ɔ s ɔ k,g ɔ s ɔ k,s a p u ʔ,p ɔː s,s a p uː h,g iː d,g iː d,ʔ i s i ʔ,l j ɛ c
144_woman,j a l ɘ w,j a l ɨ w,b a b o ʔ,b a b o ʔ,j a l ɨ w,k o ŋ,k a ʔ k ə ŋ,b a b o ʔ,b ɘ ʔ,c m kʼ ɨ n,m a b ɛ h,m a b ɛ h,s r ʌ j,s r ɛ j,m a b ɛ h,b a b o ʔ,k ə d o,b ɛ d ɔ n,b a b o ʔ,b a b o ʔ,ɲ ɛ̤ h + p r ɛ̤ a,k r d oː r,k ə r d oː r,g a d ə ʔ,g a d ə ʔ,k r d o r,b a b oː ʔ,b a b o ʔ,b a b oː ʔ,b a b o ʔ,b d ɔ n,b d ɔ n
145_woods,h ɘ p,h ə p,h ɘ p,h ɘ p,h ə p,b r t ɛ ʔ,b r e ʔ,h ɨ p,h ɨ p,p r ì/i,k a h ɨ p,k a h ɨ p,p r e j,p r ɪː,k a h ɨ p,h ɨ p,m ə r i,k a h ɨ p,h ɘ p,h ɨ p,k r o̤ p,s r a k,s r a k,b r i,b r i h,b r i,b j iː ʔ,b j i ʔ,s ə r ɔ k,s r ɔ k,,
146_youpl,g ɨ n,,g ɨ n + ʔ a m a l,j m p ã h,j ə m + p a h,j i n,j ɔ n,g i n,g i n,p ʔ ɔː,,,p u o ʔ + n ĕ a ʔ,pʰ ʊː ŋ + ʔ ɛː ɲ,,,,m ɔ h,g ɨ n,j m p a j,,ŋ k eː ʔ,,,,j e + ʔ e n,j uː h,,ɲ ɔ b,ɲ ɔ b,,
14_clawnail,k a l k ɔ ʔ,k a l k ɔ ʔ,k l k ɔ ʔ,k l k ɔ ʔ,k a l k ɔ ʔ,s k ɔ ʔ,c u w e s,k l k ɔ ʔ,k l k ɔ ʔ,t m’ ɔː ŋ,k l k ɔ ʔ,k l k ɔ ʔ,k ə c ɔː ʔ,k ə c ɒː ʔ,k l k ɔ ʔ,,k ɔ k ɔ̃ t,k u k ɔ ʔ,c n r ɔ s,k l k ɔ ʔ,n̥ i m + t o a,c ŋ r oː s,c n r oː s,t l k ɔ ʔ,t l k ɔ ʔ,c r o s,c n j ɔː s,,c ɛ n r ɔː s,c n r ɔː s,k u ʁ ɔ ʔ,k ɔ k ɔ ʔ
15_cloud,k a b u t,k a b u t,k a b u t,k a b u t,k a b u t,ʔ ɑ l,k a b u t,s a g u p,s a g u p,p ú/u u t,ʔ a l,ʔ a l,p ə p ɔ o k,p ə p u a ʔ,ʔ a l,s a g u p,k a b u t,ʔ a l,k a b u t,s a g u p,m o̤ t + p r o̤ a,s a g ɔ p,s a g u p,s a m o ʔ,l a ŋ i t,k a b u t,s a g ŭ p,s a g u p,s a g u b,s a g u p,ŋ a ʔ,bʷ a ʔ
16_cut,g ɘ t,g ə t,k ɛ c,g i t,t u t o h,k a c,k ɛ c,g e t,g e t,p á/a a t,g e t,c a h,k a t,k a t,g e t,g ɨ t,t ə c,c a h,g e t,k ɛ c,h ə p o̤ t,k o h,k o h,k ɔ c,t ə p,t k ə l,g əː t,g ə d,g ə d,g ɘ t,ʁ o s,c a h
17_dance,k ə ŋ s i ŋ,j ɔ g e t,k ŋ s i ŋ,k ŋ s i ŋ,,l e ŋ s e ŋ,ɲ ɔ ʔ g e t,s i s ɛ ʔ,k ŋ s i ŋ,tʼ ɛ,k ɛ j ɛ h,k j ɛ h,r ə̆ a m,r ɨ̆ a m,k ɛ j ɛ h,,l o ŋ g e̤ k,k a j ɛ,k r j ɛ r,k ŋ s i ŋ,l e̤ h,g ŋ s aː k,m n a r i ʔ,ʔ a r a j,j ɔ g e t,j ɔ g e t,k ɛː k,,s i s ɛ ʔ,s i s ɛ ʔ,k a j ɛː,k a j ɛː
18_day,h a ʁ i ʔ,h a ɣ e ʔ,k t ɔ ʔ,k t ɔ ʔ,k t ɔ ʔ,k t ɔ ʔ,k t ɔ ʔ,k t ɔ ʔ,k t ɔ ʔ,m ʔ ɨː,k t ɔ ʔ,k t ɔ ʔ,ŋ a j,ŋ a j,pː j ã p,j i s,c o h o j,k a t ɔ ʔ,k t ɔ ʔ,k t ɔ ʔ,ŋ o a,j iː s,h a r i ʔ,t ŋ i,t ŋ i,t ɲ ɪ,h a j iː ʔ,j i s,ʔ i s,ʔ s ʔ i s,k t ɔ ʔ,k t ɔ ʔ
19_die,h a l ɔ t,h a l ɔ t,h a l ɔ t,ʔ n s ɔ ʔ,h a l ɔ t,k b ɨ s,k b ɨ s,k b i s,k b i s,h á/a a n,k b i s,k b i s,ŋ ə̆ a p,ŋ ɨ̆ a p,k b i s,k b ɨ s,k ə b ə s,s ɔ ʔ,ʔ n s ɔ ʔ,k m ɔ c,cʰ ɒ t,d a t,n d a t,k b ə s,k b ə s,kʰ b ə s,k b ə̆ s,k b ə s,k ə b ə s,k b ɘ s,s ɔ ʔ,s ɔ ʔ
1_animal,ʔ a j,,ʔ a j,ʔ a j,,n a t a ŋ,n a t a ŋ,ʔ a j,p a ŋ e n,t ó/o o + s é/e t,ʔ a j,h a p ɔ ʔ,s a t,s a t,ʔ a j,ʔ a j,n ɛ t ɛ ŋ,ʔ a j,ʔ a j,ʔ a j,t ə r o ʔ + c a n,b i n a t a k,m r g a s,b i n a t a ŋ,b n a t a ŋ,p ʔ l a ʔ,ʔ n t ĕ ʔ,ʔ aː j,ɲ a m,ɲ aː m,b s i ŋ,ʔ a j
20_dig,b a j,b a j,b a j,b a j,b a j,b ɑ j,cʷ ɔ m,b a j,b a j,k’ʰ ɨ a ŋ,b a j,b a j,c i c,c iː ʔ,b a j,b a j,k o k o c,c e,b a j,b a j,ɓ ɔ k,c oː p,c oː p,b ɑ j,b ɑ j,b ɒ j,b aː j,k ə p,p ə g,p ɘ k,c ɛ t,c ɛ t
21_dirty,k a m a h,k a m a h,k a m a h,j ʔ ɔ m,,k a m a h,g ə ʔ a c,k o t ɔ h,k o t ɔ h,c ʔ ə,k a m a h,k a m a h,k ə ŋʷ ɔ ʔ,d ʌ t,k a m a h,l a ʔ ɨ s,k o t o,b a t ĩ k,j ʔ ɔ m,j ʔ ɔ m,k l ɔ e ʔ,k u t ɔ r,k o t o h,b s e ʔ,b s e ʔ,j ʔ j i ʔ,k a m aː h,k o t ɔ j,l a ʔ ə s,l a ʔ ɘ s,b a t ĩ k,ʁ j ɛ̃ c
22_dog,ʔ a s u ʔ,ʔ a s u ʔ,ʔ a s u ʔ,ʔ a s u ʔ,ʔ a s u ʔ,ʔ ɛ̃ ŋ,cʷ ə ʔ,ʔ ɔ̃ t,ʔ ɔ̃ t,sʼ ɔ,ʔ ɛ ʔ,ʔ ɛ ʔ,c ə k a ɛ,c ə k ɛː,ʔ e ʔ,ʔ a c ɛ̃ ʔ,c a w,ʔ e ʔ,ʔ a s u ʔ,ʔ a s u ʔ,k l ɛ,c oː ʔ,c oː ʔ,c ɔ,c ɔ h,c ɔ,c u oː ʔ,c u oː ʔ,c ə w ɔ ʔ,cʷ ɔː ʔ,ʔ e ʔ,ʔ ɛ ʔ
23_drink,ʔ ã m,ʔ a m,ʔ ã m,ʔ ã m,ʔ ã m,ʔ u h,w ə h,ʔ ɛ̃ m,ʔ ɛ̃ m,ʔ’ʷ ɨ a k,b u ʔ,b u ʔ,pʰ ʌ ʔ,p ɦ ʌ ʔ,b u ʔ,ʔ ɔ̃ ŋ,c a d o,b u ʔ,ʔ ã m,ʔ ã m,s ɐ̤ ŋ,ŋ uː n,ɲ ɔ ʔ,j ə ʔ o h,j ə ʔ ɔ h,j ə ʔ ɔ h,ʔ ɔ̃ ŋ,ʔ ɔ̃ ŋ,ʔ ɔː k,ʔ ɔ̃ː ŋ,,b u ʔ
24_ear,ʔ ə n t ɘ ŋ,ʔ n t ə ŋ,ʔ n t i ŋ,ʔ n t e ŋ,ʔ n t ɘ ŋ,h n t a ŋ,n t a ŋ,ʔ n t e ŋ,ʔ n t e ŋ,h r m ʔ əː j,ʔ n t e ŋ,ʔ n t e ŋ,t ə c i ə ʔ,t ə c ɪː ʔ,ʔ n t e ŋ,g n t ɔ o k,t ə̤ k,ʔ a n t ɛ ŋ,ʔ n t e ŋ,ʔ n t i ŋ,k ə t o,n t a k,n t a k,n t ə ŋ,n t ə ŋ,t ə ŋ,k n t ɔ k,g n t ɔ k,g ɛ n t ɔ k,g n t ɔ k,ʔ n t e ŋ,ʔ n t e ŋ
25_earth,t e ʔ,t e ʔ,t e ʔ,t e ʔ,,t ɛ ʔ,t e ʔ,t e ʔ,t e ʔ,p t é/e,t e ʔ,t ɛ ʔ,d ʌ j,d ɛ j,t e ʔ,t ɛ ʔ,t e ʔ,t i e ʔ,t e ʔ,t e ʔ,t o e ʔ,t eː ʔ,t e ʔ,ʔ a t ɛ,ʔ a t ɛ h,ʔ a t ɛ,t ɛ̆ ʔ,t ɛ ʔ,t ɛ ʔ,t ɛ ʔ,t i e ʔ,t i e ʔ
26_eat,c i ʔ,c i ʔ,c i ʔ,c i ʔ,,c ə ʔ,c a ʔ,g e j,g e j,p ʔ ə,c i ʔ,c i ʔ,ɲ a m,h oː p,c i ʔ,g e j,n a c a,h ã w,c i ʔ,c i ʔ,ʃ i ə ʔ,c ɒː ʔ,c a ʔ,ɲ c a,m ɨ̃ ʔ,c a,g ɛː j,g ɛː j,c aː ʔ,c aː ʔ,h ã w,
27_egg,m a k ɔ ʔ,m a k ɔ ʔ,m a k ɔ ʔ,m a k ɔ ʔ,m a k ɔ ʔ,k t u ə t,p ŋ l o ŋ,k t ɨ t,k t ɨ t,k t ó/o ŋ,m a k ɔ ʔ,m a k ɔ ʔ,p ɔ o ŋ,p ŏ a ŋ,m a k ɔ ʔ,t a p,k ə p ɔ h,m a k ɔ ʔ,m a k ɔ ʔ,m a k ɔ ʔ,h a m a i,p ə ŋ l əː k,k ə t,m ʔ k ʌ ʔ,t ə l o r,k a p ɔ h,t ă p,t aː p,t a b,t aː b,ʔ n t ɛ p,m a k ɔ ʔ
28_eye,m ɛ t,m ɛ t,m ɛ t,m ɛ t,m ɛ t,m ɛ̃ t,m a t,m i t,m i t,m à/a t,m ɛ t,m ɛ t,pʰ n eː c,pʰ n eː ʔ,m ɛ t,m a t,m ɛ t,m ɛ t,m ɛ t,m ɛ t,m o̤ t,m a t,m a t,m ɔ t,m a t,m ɔ t,m ă t,m a d,m a d,m a t,m ɛ t,m ɛ t
29_fall,ʁ ə b a h,p ə p,r ɛ s,r ɛ s,p ɨ p,r a s,c r ə h,r ɛ s,r ɛ s,k r l ʔ ɨ a ŋ,sʷ ɛ t,h ɔ̃ s,tʰ l ĕ a ʔ,tʰ l ĕ a ʔ,sʷ ɛ t,k l ɨ ʔ,gʷ ɔ̤ c,j ə m p ɨ h,r ɛ s,d a h ɛ s,h ə t ɔ m,j ɨː r,l m a h,g r ə k,g ʁ ə k,g r ə k,k əː l,k l ə ʔ,k l ʉ ʔ,k l ɨ ʔ,j m p ɨ h,ʁ ɛ s
2_back,k ʁ ɔ ʔ,k ə ɣ ɔ ʔ,k r ə ʔ,k r ə ʔ,,h ŋ k ɨ ŋ,k ə r ɔ ʔ,k r ɔ ʔ,k r ŋ k ɨ ŋ,k n t r ʔ ɔː ŋ,k j ɔ ʔ,k j ɔ ʔ,kʰ n ɒː ŋ,kʰ n ɒː ŋ,k j ɔ ʔ,k r ɨ ʔ,c ɛ l ɔ̤ t,k a ʔ ɔ ʔ,k r ɔ ʔ,k r ɔ ʔ,c a h,k n õː k,c l oː t,c l ɔ n,c l ɔ n,c l ɔ n,k j ŏ ʔ,k j o ʔ,k ə r ʉ ʔ,k r ɘ ʔ,k a ʁ ɔ ʔ,k a ʁ ɔ ʔ
30_far,m ə ɲ j i ʔ,m ə ɲ j i ʔ,m ɲ j i ʔ,m ɲ j i ʔ,m ɲ j i ʔ,c o n,l a j u ʔ,m ɲ j i ʔ,m ɲ j i ʔ,c à/a,m ɲ j i ʔ,m ɲ j i ʔ,cʰ ŋ aː j,cʰ ŋ aː j,m ɲ j i ʔ,j r e ʔ,l ə p,ʔ a m ɛ t,m ɲ j i ʔ,m ɲ j i ʔ,h o a,ɲ aː ʔ,ɲ aː ʔ,ŋ ɑ j,ŋ a j,ʔ l ə p,l j əː ʔ,l j ə ʔ,j ə r o ʔ,j r o ʔ,ʔ o m ɛ t,ʔ o m ɛ t
31_fat,t ɔ c,t ɔ c,t ɔ c,t ɔ c,t ɔ c,l ʔ o s,g m ɔ k,l n ʔ ə s,g m u ʔ,m ʔ əː j,b ɲ c ɔ ʔ,m ɲ c ɔ ʔ,tʰ ə̆ a t,tʰ ʌ t,b ɲ c ɔ ʔ,l ʔ ɔ s,b ə c u ʔ,l ə p a j,t ɔ c,g m u ʔ,k l ɔ i ŋ,b ɲ c ɔː ʔ,n t oː j,b c u ʔ,b c u ʔ,g m u k,ʔ s iː ʔ,l ʔ ɔ s,l ɛ n ʔ ɔ s,l ʔ ɔ s,l p a j,l p a j
32_father,p a ʔ,p a ʔ,ʔ ɛ j,ʔ ɛ j,ʔ ɛ j,b a p,ʔ i b e ʔ,ʔ ɛ j,ʔ ɛ j,j ò/o ŋ,ʔ ɛ j,ʔ ɛ j,p aː,ʔ ɔ̯ o,ʔ ɛ j,d o ʔ,k ṳ c,ʔ e j,ʔ ɛ j,ʔ ɛ j,ə p a,ʔ a p a ʔ,ʔ a p a ʔ,ʔ i b ɛ ʔ,ʔ i p ə ʔ,b a p a ʔ,d oː ʔ,d oː ʔ,b əː h,d oː ʔ,ʔ e j,ʔ ɛ j
33_fear,ʔ ə n t ɨ ŋ,ʔ n t ɨ ŋ,ɲ a c,ʔ ɲ a c,ʔ n t ɨ ŋ,h n t ɨ ŋ,bʱ ɛ c,h g i k,h g i k,ŋ ʔ ɔ,ʔ n t ɨ ŋ,ʔ n t ɨ ŋ,kʰ l aː c,kʰ l aː c,ʔ n t ɨ ŋ,t u ŋ,g ə l i ʔ,ʔ a n t ɨ ŋ,ʔ ɲ a c,ʔ n t ɨ ŋ,pʰ ɔ i c,s ŋ ɔ h,s ə ŋ ɔ h,b tʰ ɔ ŋ,b tʰ ɔ ŋ,b tʰ ɔ ŋ,t uː ŋ,t u ŋ,t uː k,t u k,ʔ n t ɨ ŋ,m t ɨ ŋ
34_fire,ʔ ɔ s,ʔ ɔ s,ʔ ɔ s,ʔ ɔ s,ʔ ɔ s,ʔ ɔ s,ʔ ɔ s,ʔ ɔ s,ʔ ɔ s,p r l ʔ ɨ a,ʔ ɔ s,ʔ ɔ s,pʰ l əː ŋ,pʰ l ɨː ŋ,ʔ ɔ s,ʔ o s,ʔ u s,ʔ ɔ s,ʔ ɔ s,ʔ ɔ s,k ə m o t,ʔ ɒː s,ʔ ɔː s,ʔ u s,ʔ u s,ʔ u s,ʔ oː s,ʔ oː s,ʔ oː s,ʔ oː s,ʔ ɔ s,ʔ ɔ s
35_fish,ʔ i k a n,ʔ i k a n,ʔ i k a n,ʔ i k a n,ʔ i k a n,k i ə ʔ,k a ʔ,ʔ i k ə ʔ,ʔ i k ə ʔ,k á/a,ʔ i k a n,ʔ i k a n,t r ʌ j,t r ɛ i̯,k a ʔ,k a ʔ,k a,ʔ i k a n,ʔ i k a n,ʔ i k a n,k ɒ ʔ,k ɒː ʔ,k aː ʔ,ʔ i k a n,k a h,c r ɛ h,k aː ʔ,k a ʔ,k aː ʔ,k a ʔ,ʔ i k a n,ʔ i k a n
36_flow,w ɘ t,s i m ɔ̃ r,ʔ a j ũ t,ʔ a j ũ t,w ə t,w ə t,ʔ a l e r,w e t,w i t,h r l ò/o o j,w e t,w e t,h ɔ o,h oː r,w e t,w i t,ʔ a ɰ u s,l ɛ j,ʔ a j ũ t,ʔ a j ũ t,ʍ o̤,g ə l,g ə l,j r ə m,m ŋ a l e,g ə l,w iː t,w i t,w i d,w i t,h a w ɨ t,h l ɛ j
37_flower,b u ŋ a ʔ,b u ŋ a ʔ,b u ŋ a ʔ,b u ŋ a ʔ,b o ŋ a ʔ,b k ɑ w,b k a w,b u ŋ ɛ ʔ,b u ŋ ɛ ʔ,r à/a a ŋ,b u ŋ a ʔ,b u ŋ a ʔ,pʰ k aː,p ə k aː,b u ŋ a ʔ,b u ŋ a ʔ,b o ŋ a ʔ,h a p ɔ ŋ,b u ŋ a ʔ,b u ŋ a ʔ,k a o,b u ŋ aː ʔ,b u ŋ ə h,b u ŋ ɔ ʔ,b o ŋ a ʔ,b k a w,b u ŋ aː ʔ,b u ŋ a ʔ,b o ŋ aː ʔ,b k aː w,h p ɔ ŋ,h p ɔ k
38_foot,c a n,c a n,c a n,c a n,c a n,c ɑ n,j ɔ ŋ,c a n,c a n,c ʔ ɨ a ŋ,c a n,c a n,c əː ŋ,c ɨː ŋ,c a n,j u k,j ɔ̤ k,c a n,c a n,c a n,c a̤ ŋ,j u k,j u k,j ɔ ŋ,j ʁ ɔ ŋ,j ɔ ŋ,j ŭ k,j u k,j u k,j u k,c a n,c a n
39_fruit,k ə b ɘ ʔ + p l o ʔ,k ə b ɘ ʔ,k b ɘ ʔ,k b ɨ ʔ,k b ə ʔ,p l o ʔ,p l ə ʔ,k m ɔ ʔ,k m ɔ ʔ,p l é/e,k b ə ʔ,k b ɘ ʔ,pʰ l a ɛ,pʰ l ɛː,k b ə ʔ,k m ɔ ʔ,p l e,k a b ɨ ʔ,k ə b ɘ ʔ,k b ɨ ʔ,s ɔ t + cʰ u ʔ,p l ɛː ʔ,p l ɛː ʔ,k b ə ʔ,b u w a h,p l e,k m ɔː ʔ,k m ɔ ʔ,k ə b ə ʔ,k b ɘ ʔ,k b ɘ ʔ,k b ə ʔ
3_bad,j a h a t,j a b e c,j b i c,j a h a t,j b e c,j a b u c,h ə t + ʔ a g a n,l a ʔ ɨ s,j a h a t,s ú/u a,j a h a t,m ə n k e c,m ə n + l ʔ ɒː,m ə n + l ʔ ɒː,j a h a t,j h a t,b a j ã w,g ə b a ʔ,j b e c,j a h a t,p ə r ɛ ʔ,n i c,j a h a t,j a ʔ b ɛ c,b e h + ʔ e l ɔ ʔ,d a ʔ + ʔ i l ɔ k,p a p aː ʔ,j a h a d,l a ʔ ə s,l a ʔ ɘ s,b a ʔ,g b a ʔ
40_full,p ə n u h,p ə n u h,s b i m,s b e m,p n o h,b ə k,p n o h,s b e m,s b e m,k í/i ɲ,h b u ɲ,p ɘ h,p e ɲ,p e ɲ,p ə h,,m̥ b ə̤ c,h a b u ɲ,s b e m,s b i m,p ɔ i ɲ,t b eː k,t b eː k,t b i ŋ,t b i ŋ,s b ə ɲ,t b ĭ k,,t ə b i k,t b i k,b ɛ m,h b u ɲ
41_give,ʔ ɛ k,ʔ ɛ k,ʔ ɛ k,b a g iː,ʔ ɛ k,ʔ a k,ʔ ɔ k,ʔ ɛ k,ʔ ɛ k,ù/u u n,ʔ ɛ k,ʔ ɛ k,ʔ a ɔ j,ʔ ɔː j,ʔ ɛ k,ʔ ɔ o k,j ə̤ t,ʔ ɛ k,ʔ ɛ k,ʔ ɛ k,k ɔ,ʔ ɒː k,ʔ ɔː k,j o n,j o n,j o n,ʔ oː k,ʔ o g,ʔ o g,ʔ oː k,ʔ ɛ k,ʔ ɛ k
42_good,b ə t ʔ ɛ t,b ə t ʔ ɛ t,ʔ a b ə n,ʔ a b ə n,b ə t ʔ ɛ t,b a j e k,ʔ a g a n,b t ʔ ɛ t,b t ʔ ɛ t,l ʔ ə,b t ʔ ɛ t,b t ʔ ɛ t,l ə ʔ ɔː,l ə ʔ ɒː,b ʔ ə t,b ʔ ɛ t,ʔ e l ɔ ʔ,b a ʔ ɛ t,ʔ a b ə n,ʔ a b ə n,kʰ ɒ h,b ɒː r,b ɔː r,b a j e k,b a j e k,ʔ i l ɔ k,b ʔ ɛ̆ t,b ʔ ɛ t,m ɛ j,m ɛ c,b ʔ ɛ t,b ʔ ɛ t
43_hair,s ɔ k,s ɔ k,s ɔ k,s ɔ k,s ɔ k,s ɔ k,s ɔ k,s ɔ k,s ɔ k,k l ʔ ə,s ɔ k,s ɔ k,s ɔ ʔ,s ɒ ʔ,s ɔ k,s ɔ o k,s u p,s ɔ k,s ɔ k,s ɔ k,s o k,s ɒː k,s ɔː k,s u k,s u k,s u k,s n t ɔː l,s n t ɔ l,s oː g,s oː k,s ɔ k,s ɔ k
44_hand,c a s,c a s,c a s,c a s,c a s,c ɑ s,t i ŋ,c j a s,c j a s,t í/i,c a s,c a s,d a j,d a j,c a s,t i ŋ,tʰ i,c a s,c a s,c j a s,t o a,t ə k,t ə k,tʰ i,tʰ ɪ,tʰ i,t iː ŋ,t iː ŋ,t iː k,t iː k,c a s,c a s
45_he,ʔ o ʔ,ʔ o ʔ,b ɛ ʔ,b ɛ ʔ,ʔ o ʔ,ʔ u h,j ə h,ʔ o ʔ,ʔ o ʔ,k ʔ əː,ʔ u ʔ,ʔ a w,k ə̆ a t,k ɨ̆ a t,ʔ u ʔ,,ŋ̊ k i ʔ,ʔ u ʔ,ʔ u ʔ,b ɛ ʔ,ɗ e h,k əː ʔ,k i,k ɛ,k ɛ h,k ə h,ʔ ɔ̆ h,ʔ a ʔ ɔ h,n a,n a,,m ɔ h
46_head,k u j,k u j,k u j,k u j,k u j,k u j,k ɔ j,k u j,k u j,k m p ó/o ŋ,k u j,k u j,k ə b aː l,k ə b aː l,k u j,k u j,k o j,k u j,k u j,k u j,ɗ ɒ p,k uː j,k uː j,kʰ o j,kʰ ɔ j,kʰ o j,k uː j,k uː j,k u j,k uː j,k u j,k u j
47_hear,k ə j ɪ ŋ,k ə j e ŋ,k j i ŋ,k j i ŋ,k j e ŋ,k j ə ŋ,t i ŋ ɔ j,k j e ŋ,k j e ŋ,m è/e c,k j e ŋ,k j e ŋ,s d a p,l ɨː,k j e ŋ,k j ɔ k,k a j ə̤ k,k a j e ŋ,k j e ŋ,k j e ŋ,m o i ɲ,g r t eː k,g r t eː k,d a ʔ j ə ŋ,ʔ j ə ŋ,ʔ j ə ŋ,j ɔ̆ k,j ɔ k,k ə j ɔ k,k j ɔ k,,k j e ŋ
48_heavy,ʔ ɲ c ã h,h ɲ j u t,ʔ ɲ c ã h,ʔ ɲ c ã h,,h ɲ u t,h l ɨ k,h ɲ j u t,h ɲ j u t,k t á/a m,ʔ ɛ w a h,ʔ ɛ w a h,tʰ ə ŋ ŭ a n,tʰ ə ŋ ŭ a n,ʔ ɛ w a h,ʔ ɲ e h,ɲ̊ j ə h,h a ɲ u t,h ɲ j u t,h ɲ j u t,s a̤ ŋ,ɲ ə h,ɲ ə h,ʔ ɲ j ɔ t,k j ɨ h,k j ə h,ʔ ɲ ĕ h,ʔ ɲ e h,ʔ ə ɲ u h,ʔ ɲ u h,,b l j u t
49_here,k a w,k a w,ʔ ɘ h,d ɛ j,t ɛ̃ ʔ,k ɑ + d a ʔ,d o h,ʔ ə̃ h,ʔ ə̃ h,k ì/i i,ʔ ɨ̃ h,ʔ ɨ̃ h,t iː + n i h,ʔ ɪː + n i h,ʔ ɨ̃ h,n ɔ o h,t ɔ h ɔ ʔ,k i + ʔ ɛ n,t ɘ h,ʔ ũ h,n ɛ n ɔ ʔ,d ɛ h,d e h,h a ʔ + n ɔ ʔ,h a n a ʔ,h a ʔ + n ɔ ʔ,n ɔː h,n ɔː h,d o h,d oː h,j ɨ h,k ə p + ʔ ɛ t
4_belly,c ɨ ŋ,c ə ŋ,k ɨ t,k ɨ t,c ə ŋ,ʔ a c,l ə p ɛ c,ʔ ɛ c,ʔ ɛ c,l ù/u u j,c ɨ ŋ,c ɘ ŋ,p ŏ ɔ h,p ŏ a h,c ɨ ŋ,ʔ e c,ʔ o ʔ o c,c ɨ ŋ,k ɨ t,c ɨ ŋ,p ɐ̤ ŋ,k ə t,ʔ ɛ c,l p ə c,l p ə t,l p ə c,k ə̆ t,ʔ e c,ʔ e j,ʔ e c,ʔ e c,ʔ ɛ c
50_hold,c ɛ p,c ɛ p,p g ɛ ŋ,p g ɛ ŋ,c ɛ p,g ɔ j,c ɛ p,p g ɛ ŋ,p g ɛ ŋ,k ó/o o p,c ɛ p,c ɛ p,k a n,k a n,c ɛ p,p g a k,p ə g ə̤ k,j ɨ j,p g ɛ ŋ,p g ɛ ŋ,r o̤ p,c a p,c ɑ p,ʔ ɛ m,k ɨ m,t l o ŋ,p g ă k,p g a k,k ə w ɔ p,kʷ ɔ p,d i ʔ,yː ə j
51_husband,k ə s ɨ j,k ə s ɨ j,k s ɨ j,k s ɘ j,,t e ʔ,k ə s i l,k s ɨ j,t m k a l,k l è/e,t m k a l,t m k a l,p d ʌ j,p ə d ɛ j,t m k a l,t e ʔ,l ə m ɔ l,t ə m k a l,k s ɨ j,t m k a l,k r a o h,g ŋ s iː r,k r ɐː l,k n l ə k,ʔ i p ə ʔ,k n l ə k,t eː ʔ,t eː ʔ,t ɔ w,t ɔ w,t u ŋ k a l,t m k a l
52_i,j ɛ ʔ,j ɛ ʔ,j ɛ ʔ,j ɛ ʔ,j ɛ ʔ,ʔ i ŋ,ʔ i h ã ʔ,j ɛ ʔ,j ɛ ʔ,ò/o,j ɛ ʔ,j ɛ ʔ,kʰ ɲ ɔ m,ɲ ɔ m,j ɛ ʔ,ʔ i c,ʔ ə ʔ ə̤ t,ʔ i ɲ,j ɛ ʔ,ʔ i ɲ,ʔ o a,ʔ e n,ʔ ɛ n,ʔ ə ɲ,ʔ ə n,ʔ ə ɲ,ʔ ĩː ɲ,ʔ ĩː ɲ,j eː ʔ,j eː ʔ,ʔ i ɲ,ʔ i ɲ
53_knee,k a l t o ŋ,k a l t o ŋ,k a l t o ŋ,k a l t o ŋ,h o ʔ,k t o ŋ,k ɔ j + k u w a l,k a l t o ŋ,k a l t o ŋ,k n ú/u u n,k a l t o ŋ,k a l t ɔ ŋ,c ə k ŏ ɔ ŋ,c ə ŋ k ŏ a ŋ,k a l t o ŋ,k a r ɔ l,l u t u t,k a t o ŋ,k a l t o ŋ,k a l t o ŋ,ɓ ɔ ŋ,k u r oː l,k u r oː l,k l t u ŋ,k n t o ŋ,k a l t u ŋ,k a j ɔː l,k a j ɔ l,k a r ɔː l,k a r ɔː l,k a t o ŋ,k t o ŋ
