Cognate_ID,Achang,Alike,Atsi,Bahing,Bantawa,Batang,Beijing,Bokar,Bola,Bunan,Byangsi,Chaozhou,Chepang,Daofu,DarangTaraon,Dulong,Garo,Guangzhou,Hakha,Hayu,Japhug,Jieyang,Jingpho,Khaling,Kulung,Lashi,Lhasa,Limbu,Lisu,Longgang,Lushai,MaerkangrGyalrong,Maru,Mikir,MotuoMenba,OldBurmese,OldChinese,OldTibetan,Rabha,Rangoon,Rongpo,Tangut,Thulung,Ukhrul,WobziKhroskyabs,Xiahe,Xiandao,Xingning,Yidu,Zhaba
1525_86_theheart,,,,,,,,,,,,,h l u ŋ,,,,,,l û/u ŋ,,,,,,,,,l u ŋ m a,,,l u ŋ,,,,,,,,,,,,,m ə + l u ŋ,,,,,,
1526_92_thehoof,,,,,,,,,,,,,,,,,,,t i n,,,,,s e n d ʉ,,,,,,,t i n,,,,,,,,,,,,,,,,,,,
1531_122_thelung,,,,,,,,,,,,,,,,,,,ts u a p,,,,,,,,,,,,tʃ u a p,,,,,,,,,,,,,,,,,,,
1534_23_tochew,,,,,,,,,,,,,,n g ə + g a,,,,,,,n ɤ ŋ k a,,,,,,,,g u ɑ ³¹,,,k ɑ + w ɑ + ŋ k ᴇ/e i,,,,,,,,,,g j iː,,,,,,,,
1540_162_theriver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l u i,,,,,,,,,,,,,,,,,,,
1542_164_theroot,,,,,,,,p a + p ɯ r,,,,,,,,,,,,,,,,,,,,,,,b u l,,,,,,,,,,,,,,,,,,,
1545_177_thesheep,,,,,bʱ e p s a,,,,,,,,,,,,b e r a,,,,,,,bʰ eː n d e,,,,,,,b e r a m,,,,,,,,,,,,bʰ e n d a,,,,,,,
1550_202_thestick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t i a ŋ,,,,,,m + t r a ŋ ʔ,,,,,,,,,,,,,
1551_202_thestick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʰ i ŋ,,,,,,,,,,,,,tʰ i ŋ,,,,,,
1554_202_thestick,,,,,,j u ⁵⁵ + p ɑ ʔ ⁵³,,,,,,,,,,,,,,,,,,,,,j u k ⁵⁵ + p ə ⁵⁵,,,,,,,,dʑ u k + p a ŋ,,,d b j u g,,,,,,,,,,,,
1558_210_thick,,,,,,,,,,,,,,,,,,,tsʰ a ʔ,,,,,,,,,,,,tʃʰ a h,,,,,,,,,,,,,,,,,,,
1560_8_tobealive,,,,,,,,,,,,,,,,,,,n û/u ŋ + n ǔ/u n,,,,,,,,,,,,n u ŋ,,,,,,,,,,,,,,,,,,,
1561_13_tobite,,,,,,,,,,,,,,,,,,,s e ʔ,,,,,,,,,,,,s e h,,,,,,,,,,,,,,,,,,,
1569_35_todig,,,,,,,,,,,,,,,,,,,ts â/a w + ts o./o ʔ,,,,,,,,,,,,tʃ o,,,,,,,,,,,,,,,,,,,
1570_73_full,,,,,,,,,,,,,d j a m,,,d ɑ m ⁵³,,,,,,,,,,,,t i m s,,,,,,,,,,,,,,,d e m p a,,,,,,,
1572_46_toeat,,,,,,,,,,,,,,,,,,,ʔ â/a y/i + ʔ ǎ/a y/i,,,,,,,,,,,,ei,,,,,,,,,,,,,,,,,,,
1575_66_toforget,ȵ i ³⁵,,t o̠ ²¹ + m j i̠ ⁵,,,,,m i t + p e n,t ɑ̠̆ ³¹ m ə̱ i ³¹,,,,h m e ʔ,d ə + r m ə,,,,,,,j m ɯ t,,,,,t ɔː ⁵⁵ m j e̱ː i ⁵³,,m u t s,,,m̥ a i h,k ɐ + j m ə s,t ɔ ⁵⁵ + m j i̠ k ⁵⁵,,,m i j ʔ,,,,m e ⁵³,,m j ɨ./ɨ,,,l m ə̂,,n i ʔ ⁵⁵ n i ³⁵,,,t ə ⁵⁵ + m ə ⁵⁵
1582_60_toflow,,,,,,,,,,,,,,,,,,l ɐ u ²¹,,,,,,,,,,,,l i u ²¹,,,,,,,r u,r g j u,,,,,,,,,,l i u ²⁴,,
1586_43_early,,,,,,,,,,,,,,,,,,,,,,,tʃ a u ³³,,,,,,,,,,,,,,,,,s ɔ ⁵⁵,,,,,,,,,,
1588_176_sharp,,,,,,,,,,,,,,,,d ɑ i ⁵³,,,,,,,t a i ⁵⁵,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589_154_topull,,,,,,,,,,,,,,,,,,,n̥ uː k + n̥ u ʔ,,,,,,,,,,,,n̥ û/u k,,,,,,,,,,,,,,,,,,,
1595_204_straight,,ʈʂ a ŋ + m o,,,,,,,,,,,,ɖʐ o./o ŋ + ɖʐ o./o ŋ,,,,,,,,,,,,,ʈʂ o./o ŋ ¹³ + k o./o ⁵⁵,,,,,,,,,,,d r a ŋ,,,,,,,,ʈʂ a ŋ + m o,,,,
159_52_thefeather,a ³¹ + m u i ³¹,,,,,,,,,,,,,,m̩ ⁵⁵,ɑ ŋ ⁵⁵ + m ɯ n ⁵⁵,,,m̥ u l,,,,u ³¹ + m u n ³³,,,s ŏ ⁵⁵ + m o./o u ⁵⁵,,,e ⁵⁵ m u̠ ³³,,m̥ u l,,ʃ ɔ̆ ³⁵ + m u k ⁵⁵,,,a + m u j h,,,m ɨ́ n,ŋ̊ ɛ ʔ ⁴ + m w e ⁵⁵,,,,,,,m u i ³¹,,,p ts i a ³³ + m ʌ ⁵⁵ + m ʌ ⁵⁵
1603_60_toflow,,,,,,,,,,,,,,,,,,,,,j i t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ŋ ə ⁵⁵ + j i ⁵⁵
1609_228_towalk,,,,,,,,,,,,,,,,,,,k â/a l + k ǎ/a l,,,,,,,,,,,,k a l,,,,,,,,,,,,,,,,,,,
1618_1_above,,,,,,,,,,,,t e ŋ ⁵³/³⁵ p õ ĩ ⁵⁵,,,,,,,,,,t e ŋ ³¹/³⁵ p ã ĩ ⁵⁵,,,,,,,,t a ŋ ³³ k a u ³³,,,,,,,,,,,,,,,,,,,,
1622_5_bad,,,,,,,,,,,,pʰ a i ⁵³,,,,,,,,,,pʰ a i ³¹,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623_5_bad,,,,,,,x u æ i ⁵¹,,,,,,,,,,,,,,,h u a i ³⁵,,,,,,,,,,,,,,,,,,,,,,,,,,f a i ⁵³,,
1625_5_bad,,,,,,,,,,,,m ɔ ⁵³,,,,,,,,,,m ɔ ³¹,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626_10_belowunder,,,,,,,t i ²¹⁴/²¹ ɕ i a ⁰,,,,,e ³⁵/¹¹ p õ ĩ ⁵⁵,,,,,,h a ²² p i n ²²,,,,e ³⁵/¹¹ p ã ĩ ⁵⁵,,,,,,,,t a i ³³ h a ³³,,,,,,,gˤ r a ʔ,,,,,,,,,,,h a ³³ p ɔ ɛ ⁵³,,
1627_11_big,,,,,,,t a ⁵¹,,,,,t u a ¹¹,,,,,,t a i ²²,,,,t u a ¹¹,,,,,,,,tʰ a i ⁵⁴,,,,,,,lˤ a t + s,,,,,,,,,,,tʰ a i ⁵⁵ k u ²¹,,
1628_14_black,,,,,,,,,,,,o./o u ³³,,,,,,,,,,o./o u ³³,,,,,,,,v u ³³,,,,,,,,,,,,,,,,,,v u ⁴⁵,,
162_136_thenailfingernailorclaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tsʰ i ŋ + n a ŋ,,,,,,n ə ŋ,,,,,,,,,
1630_26_coldoftemperature,,,,,,,,,,,,ŋ a ŋ ⁵⁵,,,,,,,,,,ŋ a ŋ ⁵⁵,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631_31_dark,,,,,,,,,,,,a m ¹³,,,,,,,,,,a m ¹³,,,,,,,,a ŋ ⁵⁵ m ɔ ²⁴ s i ³³ s ɔ ³³,,,,,,,qˤ u m + s,,,,,,,,,,,a m ⁵³,,
1634_36_dirty,,,,,,,,,,,,l a ʔ ⁵/² s a p ²,,,,,,,,,,n a ʔ ⁵/² s a p ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635_36_dirty,,,,,,,,,,,,tsʰ i ³³ i ⁵⁵,,,,,,,,,,tsʰ i ³³ i ⁵⁵,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636_40_dry,,,,,,,k a n ⁵⁵,,,,,,,,,,,k ɔ n ⁵⁵,,,,,,,,,,,,k ɔ n ³³,,,,,,,kˤ a r,,,,,,,,,,,,,
1637_40_dry,,,,,,,,,,,,t a ³³,,,,,,,,,,t a ³³,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638_43_early,,,,,,,ts ɑ o./o ²¹⁴,,,,,ts a ⁵³,,,,,,ts o./o u ³⁵,,,,ts a ³¹,,,,,,,,ts a u ³²,,,,,,,ɴ ə + tsˤ u ʔ,,,,,,,,,,,ts ɑ ɔ ²¹,,
1639_50_far,,,,,,,j y ɐ n ²¹⁴,,,,,h ŋ ³⁵,,,,,,j y n ²³,,,,h ŋ ³⁵,,,,,,,,j ɛ n ³²,,,,,,,C/k + ɢʷ a n ʔ,,,,,,,,,,,ʐ ɛ n ²¹,,
163_34_todie,ʂ ɿ ⁵⁵,xʰ ə,ʃ i ⁵¹,,s ɨ,xʰ i ⁵³,s ɿ ²¹⁴,ɕ iː,ʃ ɿ ⁵⁵,ɕ i t,h i c/tʃ i m o,s i ⁵³,s i,d ə + sʰ ɛ,ɕ i ⁵⁵,ɕ i ⁵³,s i + a,s e i ³⁵,tʰ îi/i + tʰ i ʔ,,s i,s i ³¹,s i ³³,,s i m a,ʃ eː i ³³,ɕ i ⁵⁵,s i,ʃ i ³³,s i ³²,tʰ i,k ɑ + ʃ i,ʃ i k ³¹,tʰ ì/i,ɕ i,s i j,s i j ʔ,ɕ i,s i,tθ e ²²,s i s,s j i ²,s i,k ə + tʰ i,s ə̂,xʰ ə,ʂ ɿ ⁵⁵,s ɿ ²¹,ɕ i ⁵⁵,t ə ⁵⁵ + ʂ ə ⁵⁵
1641_73_full,,,,,,,m a n ²¹⁴,,,,,m ũ ã ⁵³,,,,,,m u n ²³,,,,m ũ ã ³¹,,,,,,,,m a n ³³,,,,,,,mˤ o./o n ʔ,,,,,,,,,,,m a n ⁴⁵,,
1642_76_good,,,,,,,x a o./o ²¹⁴,,,,,h ɔ ⁵³,,,,,,h o./o u ³⁵,,,,h ɔ ³¹,,,,,,,,h a u ³²,,,,,,,qʰˤ u ʔ,,,,,,,,,,,h ɑ ɔ ²¹,,
1643_78_green,,,,,,,l y ⁵¹,,,,,l e k ⁵,,,,,,l ʊ k ²,,,,l e k ⁵,,,,,,,,l ʊ k ⁵,,,,,,,p ə + r o./o k,,,,,,,,,,,l ɪ u ʔ ⁵,,
1644_82_hard,,,,,,,j ɤ ŋ ⁵¹,,,,,ŋ ɛ̃ ²¹,,,,,,ŋ a ŋ ²²,,,,ŋ ɛ̃ ²¹,,,,,,,,ŋ a ŋ ⁵⁴,,,,,,,,,,,,,,,,,,ŋ a ŋ ⁵³,,
1646_83_heorshethirdpersonsingular,,,,,,,,,,,,,,,,,,kʰ ø y ²³,,,,,,,,,,,,k i ²¹,,,,,,,,,,,,,,,,,,k i ²⁴,,
1647_87_heavy,,,,,,,ʈʂ ʊ ŋ ⁵¹,,,,,t a ŋ ³⁵,,,,,,tsʰ ʊ ŋ ²³,,,,t a ŋ ³⁵,,,,,,,,tsʰ ʊ ŋ ³³,,,,,,,ɴ + t r o./o ŋ ʔ,,,,,,,,,,,ʈʂʰ ʊ ŋ ²¹,,
1649_90_hightall,,,,,,,k ɑ o./o ⁵⁵,,,,,,,,,,,k o./o u ⁵³,,,,,,,,,,,,k a u ³³,,,,,,,ɴ + k a w,,,,,,,,,,,k ɑ ɔ ⁴⁵,,
1650_90_hightall,,,,,,,,,,,,k ũ ĩ ⁵⁵,,,,,,,,,,k ũ ĩ ⁵⁵,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651_93_horizontal,,,,,,,x ɤ ŋ ³⁵,,,,,h ũ ɛ̃ ⁵⁵,,,,,,w a ŋ ²¹,,,,h ũ ɛ̃ ⁵⁵,,,,,,,,v a ŋ ²¹,,,,,,,C/k + gʷˤ r a ŋ,,,,,,,,,,,v a ŋ ²⁴,,
1652_96_hot,,,,,,,ʐ ʅ ɤ ⁵¹,,,,,z u a ʔ ⁵,,,,,,j i t ²²,,,,z u a ʔ ⁵,,,,,,,,ŋ ɛ t ⁵,,,,,,,C/k + n a t,,,,,,,,,,,ɲ ɛ ʔ ²,,
1655_103_inside,,,,,,,l i ²¹⁴/²¹ tʰ o./o u ⁰,,,,,l a i ³⁵/¹¹ p ɔ̃ ĩ ⁵⁵,,,,,,l ø y ²³ p i n ²²,,,,l a i ³⁵/¹¹ p ã ĩ ⁵⁵,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656_103_inside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t i ³³ p ɔ i ⁵⁵,,,,,,,,,,,,,,,,,,t i ²⁴ p ɔ ɛ ⁵³,,
1658_110_late,,,,,,,ʋ a n ²¹⁴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m o./o r ʔ,,,,,,,,,,,,,
1660_110_late,,,,,,,,,,,,tsʰ i ⁵⁵,,,,,,tsʰ i ²¹,,,,tsʰ i ⁵⁵,,,,,,,,tsʰ i ²¹,,,,,,,,,,,,,,,,,,ʈʂʰ ʅ ²⁴,,
1663_124_many,,m a ŋ + ŋ æ,,,,m õ ¹³ + m b u ⁵³,,,,,,,,,,,,,,,,,,,,,m a ŋ ¹³ + k o./o ⁵⁵,,,,,,,,,,,m a ŋ,,,,,,,,m a ŋ,,,,
1664_114_left,,,,,,,ts u ɔ ²¹⁴/³⁵ ʂ o./o u ²¹⁴,,,,,ts ɔ ⁵³,,,,,,ts ɔ ³⁵ s ɐ u ³⁵,,,,ts ɔ ³¹,,,,,,,,ts ɔ ³²,,,,,,,tsˤ a j ʔ,,,,,,,,,,,ts u ɔ ²¹,,
1665_117_lightofweight,,,,,,,tɕʰ i ɤ ŋ ⁵⁵,,,,,kʰ i ŋ ³³,kʰ u j ŋ ʔ,,,,,h ɛ ŋ ⁵³,,,,kʰ ɛ ŋ ³³,,,,,,,,kʰ i a ŋ ³³,,,,,,,kʰ e ŋ,,,,,,,,,,,kʰ i a ŋ ⁴⁵,,
1667_120_long,,,,,,,ʈʂʰ ɑ ŋ ³⁵,,,,,t ŋ̍ ⁵⁵,,,,,,tsʰ œ ŋ ²¹,,,,t ŋ̍ ⁵⁵,,,,,,,,tsʰ ɔ ŋ ²¹,,,,,,,C/k ə + ɴ + t r a ŋ,,,,,,,,,,,ʈʂʰ ɔ ŋ ²⁴,,
1669_124_many,,,,,,,t u ɔ ⁵⁵,,,,,,,,,,,t ɔ ⁵³,,,,,,,,,,,,t ɔ ³³,,,,,,,t lˤ a j,,,,,,,,,,,t u ɔ ⁴⁵,,
1670_124_many,,,,,,,,,,,,ts ɔ i ¹¹,,,,,,,,,,ts ɔ i ¹¹,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673_127_middle,,,,,,,,,,,,t a ŋ ³ ŋ̍ ³,,,,ɑ ³¹ + d u ŋ ⁵³,,ts ʊ ŋ ⁵⁵ k a n ⁵⁵,,,,t o./o ŋ ³³ k a ŋ ³³,,,,,,,,ts ʊ ŋ ³³ k a n ³³,,,,,,,t r u ŋ,,,,,,,,,,,ʈʂ ʊ m ⁴⁴ k a n ⁴⁵,,
1674_129_morning,,,,,,,ts ɑ o./o ²¹⁴/²¹ tɕʰ i ⁰,,,,,,,,,,,ts i u ⁵³ ts o./o u ³⁵,,,,,,,,,,,,ts a u ²⁴ s ɪ n ²¹ tʰ i u ²¹,,,,,,,,,,,,,,,,,,,,
1675_129_morning,,,,,,,,,,,,m ŋ̍ ⁵⁵/¹¹ kʰ i ⁵³,,,,,,,,,,m ŋ̍ ⁵⁵/¹¹ kʰ i ³¹,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676_138_narrow,,,,,,,ʈʂ æ i ²¹⁴,,,,,,,,,,,ts a k ³³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677_138_narrow,,,,,,,,,,,,ɔ i ʔ ⁵,,,,,,,,,,ɔ i ʔ ⁵,,,,,,,,kʰ i a k ⁵,,,,,,,ɴ + kˤ r e p,,,,,,,,,,,kʰ ɪ a ʔ ⁵,,
1678_139_near,,,,,,,tɕ i ɘ n ⁵¹,,,,,k ŋ̍ ¹¹,,,,,,kʰ ɐ n ²³,,,,k ŋ̍ ¹¹,,,,,,,,kʰ u n ³³,,,,,,,ɴ + k ə r ʔ,,,,,,,,,,,kʰ i n ⁵³,,
1679_142_new,,,,,,,ɕ i ɘ n ⁵⁵,,,,,s i ŋ ³³,,,,,,s ɐ n ⁵³,,,,s ɛ ŋ ³³,,,,,,,,s ɪ n ³³,,,,,,,s + tsʰ i n,,,,,,,,,,,ɕ i n ⁴⁵,,
167_110_late,,,,,,,,,,d a l t o./o k,,,,,,,,,,,d a l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680_76_good,,,,,,z õ ⁵⁵ + b u ⁵³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tsˤ a ŋ,b z a ŋ,,,,,,,,z a ŋ,,,,
1683_145_noon,,,,,,,,,,,,t o./o ŋ ³³ ŋ o./o u ³⁵,,,,,,ts ʊ ŋ ⁵³ ŋ̩ ²³,,,,t o./o ŋ ³³ ŋ o./o u ³⁵,,,,,,,,ts ʊ ŋ ³³/²⁴ m m̩ ³²,,,,,,,m + qʰˤ a ʔ,,,,,,,,,,,,,
1685_147_oldofperson,,,,,,,l ɑ o./o ²¹⁴,,,,,l a u ³⁵,,,,,,l o./o u ²³,,,,l a u ³⁵,,,,,,,,l a u ³²,,,,,,,C/k + rˤ u ʔ,,,,,,,,,,,l ɑ ɔ ²¹,,
1686_148_one,,,,,,,j i ⁵⁵,,,,,,j a t,,,,,j ɐ t ⁵,,,,,,,,,,,,j ɪ t ³,,,,,,,ʔ i t,,,,,,,,,,,ʐ ɿ ʔ ²,,
1687_148_one,,,,,,,,,,,,ts ɛ k ²,,,,,,,,,,ts ɛ k ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688_150_outside,,,,,,,ʋ æ i ⁵¹ tʰ o./o u ⁰,,,,,ŋ u a ¹¹ kʰ a u ⁵³,,,,,,ŋ ɔ i ²² p i n ²²,,,,ŋ u a ¹¹ kʰ a u ³¹,,,,,,,,,,,,,,,ŋʷˤ a t + s,,,,,,,,,,,,,
168_9_thebelly,,,,,,,,,,d a n,d a n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691_158_red,,,,,,,x ʊ ŋ ³⁵,,,,,a ŋ ⁵⁵,,,,,,h ʊ ŋ ²¹,,,,a ŋ ⁵⁵,,,,,,,,f ʊ ŋ ²¹,,,,,,,,,,,,,,,,,,f ʊ m ²⁴,,
1692_161_right,,,,,,,j o./o u ⁵¹ ʂ o./o u ²¹⁴,,,,,i u ¹¹,,,,,,j ɐ u ²² s ɐ u ³⁵,,,,i u ¹¹,,,,,,,,j i u ⁵⁴,,,,,,,ɢʷ ə ʔ,,,,,,,,,,,ʐ u ⁵³,,
1693_166_round,,,,,,,j y ɐ n ³⁵,,,,,ĩ ⁵⁵,,,,,,j y n ²¹,,,,ĩ ⁵⁵,,,,,,,,j ɛ n ²¹,,,,,,,ɢʷ r e n,,,,,,,,,,,ʐ ɛ n ²⁴,,
1694_169_salty,,,,,,,ɕ i ɐ n ³⁵,,,,,k i e m ⁵⁵,,,,,,h a m ²¹,,,,k i a m ⁵⁵,,,,,,,,h a ŋ ²¹,,,,,,,C/k ə + gˤ r o./o m,,,,,,,,,,,h a ŋ ²⁴,,
1698_176_sharp,,,,,,,,r e t + p o,,,,l a i ¹¹,,,,,,,,,,l a i ¹¹,,r e ç p ɛ,,,,,,,,,,,,,C/k + r i t + s,,,,,,,,,,,l i ⁵³,,
1699_188_small,,,,,,,ɕ i ɑ o./o ²¹⁴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s e w ʔ,,,,,,,,,,,,,
16_102_theice,,,,,,,,,,,,,,,t ɑ ³¹ + p ɹ ɯ ³⁵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɑ ³¹ + p ɹ u ³⁵,
1700_188_small,,,,,,,,,,,,s ɔ i ¹³,,,,,,s ɐ i ³³,,,,s ɔ i ¹³,,,,,,,,s ɛ ⁵⁴,,,,,,,sˤ e + s,,,,,,,,,,,ɕ i e ⁵³,,
1701_191_smooth,,,,,,,x u a ³⁵,,,,,k u ʔ ⁵,,,,,,w a t ²,,,,k u ʔ ⁵,,,,,,,,v a t ⁵,,,,,,,ɴ ə + gˤ r u t,,,,,,,,,,,v a ʔʲ ⁵,,
1702_194_soft,,,,,,,ʐ u ɐ n ²¹⁴,,,,,n ŋ̍ ⁵³,,,,,,j y n ²³,,,,n ŋ̍ ³¹,,,,,,,,,,,,,,,,,,,,,,,,,,n ɔ ɑ n ⁴⁵,,
1703_204_straight,,,,,,,ʈʂ ʅ ³⁵,,,,,t i k ⁵,,,,,,ts ɪ k ²,,,,t ɛ k ⁵,,,,,,,,tsʰ ɪ t ⁵,,,,,,,ɴ + t r ə k,,,,,,,,,,,ʈʂʰ ʅ ʔ ⁵,,
1705_3_theant,,,,,,,m a ²¹⁴/³⁵ j i ²¹⁴,,,,,h i a ³⁵,,,,,,ŋ ɐ i ²³,,,,h i a ³⁵,,,,,,,,,,,,,,,m + qʰ a j ʔ,,,,,,,,,,,,,
1711_6_thebamboo,,,,,,,ʈʂ u ⁵⁵ ts ɿ ⁰,,,,,t ɛ k ²,,,,,,ts ʊ k ⁵,,,,t ɛ k ²,,,,,,,,ts ʊ k ³,,,,,,,t r u k,,,,,,,,,,,ʈʂ u ʔ ² t i ²¹,,
1712_9_thebelly,,,,,,,t u ⁵¹ ts ɿ ⁰,,,,,t o./o u ¹³,,,,,,tʰ o./o u ²³,,,,t o./o u ¹³,,,,,,,,t u ³³ pʰ a t ⁵,,,,,,,,,,,,,,,,,,t u ²¹ ʂ ɿ ²¹,,
1713_12_thebird,,,,,,,,,,,,,,,,,,ts œ k ³ ts ɐ i ³⁵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715_15_theblood,,,,,,,ɕ i e ²¹⁴,,,,,h u ɛ ʔ ²,,,,,,h y t ³,,,,h u ɛ ʔ ²,,,,,,,,h ɛ t ³,,,,,,,m̥ˤ i k,,,,,,,,,,,ʂ ɛ ʔ ²,,
1716_18_thebone,,,,,,,k u ²¹⁴/³⁵ tʰ o./o u ⁰,,,,,k u ʔ ²,,,,,,k w ɐ t ⁵ tʰ ɐ u ²¹,,,,k u ʔ ²,,,,,,,,k u t ³,,,,,,,kˤ u t,,,,,,,,,,,k u ʔʲ ² tʰ i u ²¹,,
1718_19_thebranch,,,,,,,ʂ u ⁵³ ʈʂ r/ʅ ⁵⁵,,,,,tsʰ i u ¹¹ k i ³³,,,,,,s y ²² ts i ⁵³/⁵⁵,,,,tsʰ i u ¹¹ k i ³³,,,,,,,,,,,,,,,k e,,,,,,,,,,,k i ³⁵ pʰ a ³¹,,
171_70_thefrontfrontside,,,,,,,,,,d u tɕ i,,,,,,m ɯ ³¹ + tɕ ɑ n ⁵⁵,,,,,,,,,,,,,m ɯ ³¹ + dʑ ɛ ³¹,,,t ə + ʈʂ i,,,,,,,,,,,,,dʑ ə g ó/o,,,,,
1720_20_thebreastfemale,,,,,,,,,,,,n i ³⁵,,,,,,,,,,n i ³⁵,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721_25_thecloud,,,,,,,j y ɘ n ³⁵,,,,,h u ŋ ⁵⁵,,,,,,w ɐ n ²¹,,,,h u ŋ ⁵⁵,,,,,,,,v u n ²¹,,,,,,,ɢʷ ə n,,,,,,,,,,,ʐ u n ²⁴,,
1722_32_thedaughter,,,,,,,k u i ⁵⁵ n y ⁰,,,,,,,,,,,n ø y ²³/³⁵,,,,,,,,,,,,,,,,,,,n r a ʔ,,,,,,,,,,,,,
1726_32_thedaughter,,,,,,,,,,,,ts a u ⁵³/³⁵ k i ã ⁵³/¹¹,,,,,,,,,,ts a u ³¹/³⁵ k i ã ³¹/¹¹,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727_32_thedaughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m ɔ i ⁵⁵ ts u ³²,,,,,,,,,,,,,,,,,,m ɔ ɛ ⁵⁵ t i ²¹,,
1728_33_thedew,,,,,,,l u ⁵¹ ʂ u r/i ²¹⁴,,,,,l o./o u ¹¹,,,,,,l o./o u ²² ʃ ø y ³⁵,,,,l o./o u ¹¹,,,,,,,,l u ⁵⁵ s ʊ y ³²,,,,,,,p rˤ a k + s,,,,,,,,,,,l u ⁵³/⁵⁵ ʂ u i ²¹,,
1729_37_thedog,,,,,,,k ʊ ŋ ⁵⁵ k o./o u ²¹⁴,,,,,k a u ⁵³,,,,,,k ɐ u ³⁵ k ʊ ŋ ⁵⁵,,,,k a u ³¹,,,,,,,,k i u ³²,,,,,,,,,,,,,,,,,,k i u ²¹,,
1732_44_theearthsoil,,,,,,,tʰ u ²¹⁴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʰˤ a ʔ,,,,,,,,,,,,,
1733_44_theearthsoil,,,,,,,,,,,,tʰ o./o u ⁵⁵,,,,,,,,,,tʰ o./o u ⁵⁵,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1735_45_theearthworm,,,,,,,,,,,,,,,,,,w ɔ ŋ ²¹ h y n ³⁵,,,,,,,,,,,,f ʊ ŋ ²¹ h ɛ n ³²,,,,,,,,,,,,,,,,,,ʂ ɛ n ²¹ k ʊ m ⁴⁵,,
1736_45_theearthworm,,,,,,,,,,,,k a u ¹¹ u ŋ ⁵³,,,,,,,,,,k a u ¹¹ u ŋ ³¹,,,,,,,,,,,,,,,ɢ ə r ʔ,,,,,,,,,,,,,
1739_47_theegg,,,,,,,,,,,,n ŋ̍ ³⁵,,,,,,,,,,n ŋ̍ ³⁵,,,,,,,,,,,,,,,k rˤ o./o r ʔ,,,,,,,,,,,,,
173_176_sharp,,,,,,,,,,dz a ŋ i,ts a n tʰ ɛ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʃ ə n t,,,k ə + ts a n,,,,,,
1741_49_theeye,,,,,,,j ɐ n ²¹⁴/²¹ tɕ i ɤ ŋ ⁰,,,,,,,,,,,ŋ a n ²³,,,,,,,,,,,,ŋ a n ³²,,,,,,,,,,,,,,,,,,ŋ a n ²¹ ʈʂ u ⁴⁵,,
1745_52_thefeather,,,ʃ ŏ ²¹ + m a u ⁵⁵,,,,j y ²¹⁴/²¹ m ɑ o./o ³⁵,,a ³¹ + m a u ³⁵,,,u ⁵³/³⁵ m o./o ⁵⁵,,,,,,j y ²³ m o./o u ²¹,,,,u ³¹/³⁵ m o./o ⁵⁵,,,,,,,,,,,,,,,ɢʷ a ʔ,,,,,,,,,,,ʐ ʅ ²¹ m ɑ ɔ ⁴⁵,,
1746_54_thefire,,m ȵ e,m j i ²¹,m i,m i r i,ȵ e ⁵³,,ə + m ə,m i ³¹,m e,m ɨ è/e,,h m e ʔ,ɣ m ə,n ɑ ³¹ + m ɯ n ⁵⁵,t ɯ ⁵⁵ + m i ⁵⁵,,,m â/a y,m e,s m i,,,m i,m i,m j i ³³,m e ¹³,m i,,,m e i,,m j i ³⁵,m eː,m i,m iː h,,m e,,m i ⁵⁵,mh/m̥ e,m əː ¹,m u,m e j,ʁ m ə̂,ȵ e,,,,ȵ ʌ ¹³
