Cognate_ID	Bichom	Bulu	Chayangtajo	Dikhyang	Duhumbi	Eastern_Puroik_Li	Eastern_Puroik_Sun	Jerigaon	Kaspi	Khispi	Khoina	Khoitam	Kojo_Rojo	Lasumpatte	Namphri	Rahung	Rawa	Rupa	Saria	Shergaon	Singchung	Wangho
3501_18_tocryweep	tʃ oa + pʰ a	tʃ ɛ ʔ	tʃ a p	tɕ õ	kʰ i p	c ia k ⁵³	c ia k ⁵³	tɕʰ e	tʃ oa + pʰ a	kʰ i p	ʈʂʰ e	tɕʰ e	tʃ a p	tʃ j a p	tʃ o	tɕʰ e	tʃ a p	kʰ e	k j a ʔ	kʰ e	tʃ o + m a + g e	tʃ o
3701_19_todie	i + pʰ a	iː	iː	iː	i	j i ⁵⁵	j i ³³	iː	i + d ə n	i	iː	iː	iː	iː	i + d u n	iː	iː	iː	iː	iː	i + d a	iⁱ/i
3901_20_todomake	r e ʔ + pʰ a			r j ɛ t	l e			r a	r eⁱ/e + pʰ a	l i	r a	r ɛ			ɾ a p + pʰ a	r ɛ		r a		r a	r e t + m a + g e	r e t
3904_20_todomake			k ai ʔ			k a t ⁵⁵	k a ʈ ³³							k ai ʔ			k a t		k ai ʔ			
4101_21_dog					w a + tʰ i			pʰ + tʰ ɛː		w a + tʰ i	b ə + tʰ aː	pʰ + tʰ ɛː				pʰ + tʰ ɛː		b ə + tʰ aː		pʰ + tʰ aː		
4102_21_dog		b uː				b o h ⁵³	b o h ⁵³						b uː				b oː		b oː			
4103_21_dog			k a j oː											k a j oː								
4106_21_dog	tʃ oⁱ/o			tɕ ɔi					tʃ oⁱ/o						tʃ oⁱ/o						tʃ i	tʃ aⁱ/ai
4301_22_drink					ɲ i ŋ					ɲ i ŋ												
4302_22_drink		i n	r i ŋ			ɣ l i ŋ ⁵⁵	r i n ³³	l i ŋ			l y ŋ	l i ŋ	i n	r i ŋ		l i ŋ	i n	l i ŋ	r i ŋ	i ŋ		
4303_22_drink	n a ŋ + pʰ a			n a ŋ					n a ŋ + pʰ a						n a ŋ						kʰ o + ŋ a ŋ	n a ŋ
4501_23_dry		a + w ɛ N/ɴ	a + w ai ʔ		w a + a r	a ³¹ + v aʳ/a˞ t ⁵⁵	a ³³ + v əʴ/ə˞ ʈ ³³	y k + ãː		ɔ + w a l	ɔ + ɔ̃ː	y k + ãː	a + w a n	a + w ai ʔ		ɔ + ɔ̃ː	a + w a n	ɔ + ɔ̃ː	a + w ai ʔ	ɔ + ɔ̃ː		
4502_23_dry	e + g aᵘ/a			ə + k au					g oᵘ/o						n ə + g ou						e + g aᵘ/a	e + k aᵘ/a
4701_24_ear					kʰ u + tʰ u ŋ			kʰ + tʰ y ŋ + l ɛ		kʰ u + tʰ u ŋ	g a + tʰ y ŋ	kʰ + tʰ y ŋ				kʰ + tʰ y ŋ		g ə + tʰ y ŋ		kʰ ə + tʰ u ŋ + l a p		
4702_24_ear	kʰ õ	a + k ui N/ɴ	k ui ʔ	kʰ ɔ̃		m ɯ ³¹ + k ui ⁵³	a ³³ + k u ʈ ³³		kʰ õ				a + k u n	k ui ʔ	kʰ õ		k o t		k ui ʔ		kʰ õ	kʰ õ
4901_25_eat					tɕʰ a			tɕʰ u		tɕʰ a	tsʰ u	tɕʰ u				tɕʰ u		tsʰ u		tɕʰ u		
4902_25_eat	tʃ ə + m u t	tʃ iː	tʃ iː	ts iə		tɕ i h ⁵³	tɕ i h ⁵³		tʃ ə + m u t				tʃ iː	tʃ iː	tʃ ə + m u t		tʃ iː		tʃ iː		tʃ ə + m u t	tʃ ə + m u t
501_3_3sg	u w e	v ɛː	w ɛː	o ɛ	w ɔ j	v aʳ/a˞ ⁵⁵	v æ ³³	w a		w u j	l a ŋ + w a	w a + dʑ i	w ai	w ɛː	oe	h ɛ		w a	w aː	w a	oe	w e
5103_26_egg		a + w u N/ɴ						a + j u ŋ			a + j u ŋ	a + j u ŋ				a + j u ŋ		a + j u ŋ				
5105_26_egg	e + r i		m ə + r iː	ə + r iː		m ɯ ³¹ + ɬ i ⁵⁵	m ə ³³ + r i ³³		kʰ e + r e				a + l iː	m ə + r iː	kʰ e + r e		t j u + l i		m ə + r iː		kʰ e + r e	kʰ e + r e
5301_27_eye								kʰ a + b y			g a + b y	kʰ a + b y				kʰ a + b y		kʰ a + b y		kʰ i + b iː		
5302_27_eye	m i + j a k			m iɛ k					m i + j e						m i + j a k						m i + j a k	m i + j a k
5303_27_eye					kʰ u + m					kʰ u + m ɔː												
5304_27_eye		a + k ə m	k ə k			a ³¹ + g ɯ k ⁵⁵	k ə k ³³						a + k ə m	k ə k			k ə p		k ə ʔ			
5501_28_far	r ᵘ/w a ŋ			r ɛ ʔ ɛ + r ua ŋ	tʰ a + u + ɹ i ŋ				r ᵘ/w a ŋ	tʰ a + u + l i ŋ					r ᵘ/w a ŋ						r ᵘ/w a ŋ	r u w a ŋ
5502_28_far		a + tʃ oi	a + tʃ j eː			a ³¹ + c ie ⁵⁵	a ³³ + c iɛ ³³	a + tɕʰ ãː			a + tɕʰ ɔ̃ː	a + tɕʰ ɔ̃ː	a + tʃ ai	a + tʃ j eː		a + tɕʰ ɔ̃ː	a + tʃ ai	a + tɕʰ ɔ̃ː	k j eː	a + tɕʰ ɔ̃ː		
5701_29_fat	e + j u	a + ʒ ɔː	a + z ua	ə + j ou	ɔ + j ɔ w	m ɯ ³¹ + ʑ ua ⁵⁵	a ³³ + ʑ ua ¹¹	a + j ɔː	e + j o	ɔ + j u	a + j ɔː	a + j ɔː	a + z j aː	a + dʒ ua	e + j o	a + j ɔ w	a + z j aː	a + j ɔː	a + z ua	a + j ɔː	e + j u	e + j u
5901_30_fingernail	b ə + s e n	a + g e ʔ + g ə + s ɨ n	g ei + s i ʔ	b ə + s ɛ n	h u t + ts u n	g i t ³³ + ɕ i t ⁵³	g e ʈ ³³ + ɕ i t ³³	i k + tɕʰ i ŋ	p ə̌/ə + s e n	h u t + ts i n	i k + ts i ŋ	i k + ts i ŋ	g ei + ʃ i n	g ei + s i ʔ	p ə + ʃ e n	i k + tɕ i ŋ	g ə + s i n	i k + ts i ŋ	g ei + s i ŋ	i k + tɕ i ŋ	b ə + s e n	p ə + tʃ i + j a t
6101_31_fire	b oᵉ/o	b ɛː	b ae	b oːɛ	b ɛ j	b æ ⁵⁵	b æ ³³	b ɛ	b aⁱ/ai	b e j	b a	b ɛ	b ai	b ɛː	b oᵉ/o	b ɛ	b ai	b a	b ɛː	b a	b oᵉ/o	b oᵉ/o
6301_32_fish	u + ŋ a			ũə	ŋ a			n u	ūa	ŋ a	n u	n u			u + ŋ ə̄/ə	n u		ɲ u	ɲ oː	ɲ u	ūa	ūa
6302_32_fish		tʃ ui											tʃ ui				tʃ u ei					
6303_32_fish			k a h ua ŋ			k a ³³ f ua ŋ ⁵³	k a ³³ f ua ŋ ⁵³							k a h ua ŋ								
6501_33_fleshmeat		ʃ iː		eː + ɕ au	ɕ a			s u		ɕ a	ʂ u	s u				s u		s u		s u		
6502_33_fleshmeat	e + b i j e								m ə + b i						e + b ei						e + p i j e	e + p i j e
6503_33_fleshmeat													m ai				m ai					
6504_33_fleshmeat			m ə + r j e ʔ			m ɯ ³¹ + ɬ i k ⁵⁵	m ə ³³ + r i ³³							m ə + r j e ʔ					m ə + r e ʔ			
6701_34_tofly			p j e ʔ		ɕ ɛ ɹ	p ie ⁵⁵	p ie ³³	tɕʰ ɛ n		ɕ ɛ l	tsʰ ɛ n	tɕʰ a n		p j i ʔ		tɕʰ ɛ m		tɕʰ a n	p i ʔ	tɕʰ a n		
6703_34_tofly	kʰ eⁱ/e	k iː							kʰ e ŋ + pʰ a				k ɹ ei		kʰ eⁱ/e + pʰ a		k ei				kʰ e + m a + g e	kʰ eⁱ/e
6901_35_full					p ɕ i ŋ + b a			a + pʰ i ŋ		p ɕ i ŋ + b a	a + pʰ i ŋ	a + pʰ i ŋ				a + pʰ i ŋ		pʰ i ŋ + b a		pʰ i ŋ + b a		
6902_35_full	l eⁱ/e	l j ɛː	l j ɛː	ə + l i + j eː		l ia n ³³	l iɛ ³³		l eⁱ/e				j ei	l j ɛː	e l eⁱ/e		l j ɛi		l ɛː		l i + j a	e + l i + j a
701_4_ant		dʒ a m + dʒ u ʔ	g ɹ ɛ ŋ + g ɹ o		kʰ i n + tɕʰ ɔ k	g r a n ³¹ + k oʳ/o˞ ⁵³	g ɹ ɛ n ³³ + g ɹ o ⁵³	s a n + dʑ ɔ k		kʰ e + tɕʰ ɔ k	ʂ a n + dʑ ɔ k	s a ŋ + dʑ ɔ k	g a m + g ɹ u	g ɹ ɛ ŋ + g ɹ o		s a ŋ + dʑ ɔ k	g a + m ə + g ɹ oː	s a n + dʑ ɔ k	g ɹ ɛ ŋ + g ɹ o	s a n + dʑ ɔ k		
702_4_ant	s iː ŋ			ɕ i + ɲ i ŋ					ʃ i ŋ i ŋ						ʃ i ŋ i ŋ						ʃ i ŋ i ŋ	ʃ i ŋ i ŋ
7101_36_togive	pʰ i + pʰ a			pʰ i	ɕ i			tɕʰ i	pʰ i + pʰ a	ɕ i	tsʰ i	tɕʰ i			pʰ i	tɕʰ i		tɕʰ i		kʰ j i	pʰ i + m a g e	pʰ i
7102_36_togive		t a N/ɴ	t a ŋ			t a ŋ ⁵⁵	t a ŋ ³³						t a ŋ	t a ŋ			t a ʔ		t a ŋ			
7301_37_togo	tʰ e + v əː	v uː	uː	w uə	w a	w u ⁵⁵	u ³³			w a			w uː	uː	v əo + pʰ a		w oː		uː			v ə + w a
7302_37_togo								r ɔ			r ɔ	r ɔ				r ɔ		r ɔ		r o		
7501_38_good					ɔ + dʑ ɔ p			a + dʑ ɛ			a + d ʐ a	a + dʑ a p				a + dʑ a p		a + dʑ a p		a + dʑ a p		
7503_38_good	a + v i j e			ə + v iə					a + v i j e						a + v i j e						a + v i j e	a + v i j e
7505_38_good			a + n j a ŋ			a ³¹ + ɲ ia ŋ ⁵⁵	a ³³ + n ia ŋ ¹¹						a + n j a m	a + n j a ŋ			a + n j a m					
7701_39_haironhead	kʰ a + z i j a ŋ	k ə + z a N/ɴ	k ə + z a k	kʰ a + z i j ɔ ŋ	kʰ u + ɕ a ŋ	k au ³¹ + ʑ ia k ⁵⁵	k ə ³³ + ʑ a k ³³	g ə + z a ŋ	kʰ a + z i j a ŋ	kʰ u + ɕ a ŋ	g ə + ʐ a ŋ	g ə + z a ŋ	k ə + z j a ŋ	k ə + dʒ a k	kʰ a + z i j a ŋ	g ə + z a ŋ	k ə + z j a ʔ	g ə + z a ŋ	k ə + z a ʔ	g ə + z a ŋ	kʰ a + z i j a ŋ	kʰ a + z i j aᵘ/a
7901_40_hard					k a k t a r					k a k t a l												
7902_40_hard								a + tɕ u				a + tɕ u				a + tɕ u		a + tɕ u		a + tɕ u		
7903_40_hard				ə + k ɔ ŋ							a + x ã ŋ											
7906_40_hard			a + k aː			a ³¹ + g a ⁵⁵								a + k aː					g aː			
8101_41_head	kʰ ɾ u k	a + k u N/ɴ	a + k o k	kʰ r u k	kʰ ɔ + l ɔ k	a ³¹ + k au ⁵³	k o ⁵³	kʰ + r u k	kʰ ɾ u k	kʰ ɔ + l ɔ k		kʰ + r u k	a + k u ŋ + b əː	a + k o k	kʰ ɾ u k	kʰ + r u k	k o ʔ + b əu	kʰ + r u k	a + k o ʔ	kʰ + r u k	kʰ ɾ u k	
8303_42_tohear	j oⁱ/o + pʰ a			j ɔi				j ɔ̃			j ɔ̃	j ɔ̃			j oⁱ/o	j ɔ̃		j ɔ		j o		
8304_42_tohear		n ɨ ŋ	r o ŋ			ɣ a ŋ ⁵⁵	ɣ ɔ ŋ		n u + a + pʰ a				n u ŋ	r o ŋ			n o ŋ		r o ŋ		n u + v a + m a + g e	n ū/u + a
8501_43_heavy	l aⁱ/ai	a + l ɨː	a + l ei	ə + l ai	u + l i	a ³¹ + l ei ⁵⁵	a ³³ + l ei ³³	a + l iː	l aⁱ/ai	u + l i	a + l iː	a + l iː	a + l ei	a + l ei	e + l aⁱ/ai	a + l iː	a + l ei	a + l iː	a + l ei	a + l iː	l aⁱ/ai	e + l aⁱ/ai
8701_44_tohide		u ʔ		u k	u k			u k		u k	u k	u k	ɨ ʔ			u k	əː	u k	r j a ŋ + əː	u k		
8702_44_tohide			r ou + g əː			dz a ³³ + ɣ ə ⁵³ + d o ŋ ⁵⁵ ɣ ə ⁵³	ɣ ɯ ³³ + ɣ ə ⁵³							r ou + g əː								
8901_45_tokill	u a + pʰ a	w ɛ ʔ	a i ʔ	uːə	a t	w aʳ/a˞ t ⁵⁵	w aʴ/a˞ t ³³	ɔ	u a + pʰ a	a t	ɔ	ɔ	a i ʔ	a i ʔ	ua	ɔ	a t	ɔ	a i ʔ	o	w a + m a + g e	ua
901_5_armhand					h u t					h u t												
902_5_armhand								i k			i k	i k				i k		i k		i k		
903_5_armhand	w a t			w a t					w a t						w a t						w a t	w a t
904_5_armhand		g e ʔ	g ei ʔ			g i t ⁵⁵	g e ʈ ³³						g ei ʔ	g ei ʔ			g e t		g ei ʔ			
9101_46_horn		a + k j ɛ N/ɴ			kʰ ɛ ŋ			tɕʰ ɛ ŋ		kʰ ɛ ŋ	ʈʂʰ a j ŋ	tɕʰ ɛ ŋ	a + k ɹ a n			tɕʰ ɛ ŋ	a + k ɹ ɛ t	kʰ ɛ ŋ		kʰ ɛ ŋ		
9102_46_horn	e + r i j a ŋ			ə + r iɔ ŋ					e + r i j a ŋ						e + r i j a ŋ						e + r i j a ŋ	e + r i j o k
9103_46_horn			k o + w a ŋ			a ³¹ + v a ŋ ⁵³	a ³³ + k ə + v ua ŋ ³³							k o + w a ŋ					a + k ua ŋ			
9301_47_house					w a m			j a n		w a m	j a n	j a m				j a m		j a m		j a m		
9302_47_house	h õ	h a m		h õ					h õ				h a m		h õ		h a m		h a ʔ		h õ	h õ
9303_47_house			tʃ u k			tɕ au k ⁵³	tɕ o k ³³							tʃ u k								
9501_48_in					n a ŋ					n a ŋ												
9502_48_in		a + l ɨ ŋ						a + l y ŋ			a + l y ŋ	a + l y ŋ	a + l o ŋ			a + l y ŋ		a + l y ŋ		a + l u ŋ		
9504_48_in			a + ɹ a ŋ			a ³¹ + r a ŋ ⁵³	a ³³ + ɹ a ŋ ⁵³							a ŋ + ɹ a ŋ					a + r a ŋ			
9701_49_knee					k ɔː l ɔ k + p a					k ɔː l ɔ k + p a										kʰ l ɔ k + p uː		
9702_49_knee								l a + pʰ y k + k r iː			j a + pʰ y k + k r aː	l ə + pʰ i k + kʰ ɔ m				l a + pʰ i k + kʰ ɔ m		l ə + pʰ y k				
9703_49_knee				l aː + g j u ŋ					l a + g i j o ŋ						l a + g i j o ŋ							l a + k i j u ŋ
9704_49_knee	l ə + s p au																				l ə + s p au	
9705_49_knee		a + l ɛː + k ə + p ei ʔ	k a + p ɹ ei			m ə ³¹ + l ai ⁵⁵ k ə ³¹ + p ei ⁵³							l ai + k a + p ɹ ei	k a + p ei								
9901_50_toknow		d ɛ N/ɴ	d ai ʔ		d ɛ n	d a t ⁵⁵	d a ʈ ³³	d ɛ n		d ɛ n	d ɛ n	d ɛ n	d a n	d ai ʔ		d ɛ n	d a t	d a n	d ai ʔ	d a n		
9902_50_toknow				ĩ t					i t + pʰ a t						i t + pʰ a							ī/i t
9903_50_toknow	tʰ e + j a k + p a																				tʰ e k + m a + g e	
