Cognate_ID	Anuta	EastFutuna	EastUvea	Emae	FutunaAniwa	Hawaiian	Kapingamarangi	Luangiua	Mangareva	Maori	MeleFila	Niuean	NorthMarquesan	Nukeria	Penrhyn	Polynesian	Pukapuka	Raivavae	RakahangaManihiki	Rapanui	Rarotongan	RennellBellona	Rurutu	Samoan	Sikaiana	Tahitian	Tikopia	Tongan	Tuamotuan	Tuvalu	VaeakauTaumako
1397_154_short					p o t o	p oː k o + l e	b o d o	p o k o	p o t o	p o t o			p o t o	p o t o + p o t o	p o t o		p uː + p o t o	p o t o		p o t o	p o t o		p o t o	p o t o	p o t o	p o t o			p o t o		p o + p o t o
1399_41_tobite				u t i a	m a ŋ u + ʃ i a																			u t i a			uː t i				u s i a
139_157_thick																							t u e + t u e	t u a + t u a					t u ʔ a + t u ʔ a	t u a + t u a	
1400_137_toblow																					ʔ a r a + r a		f a r a + r a			f a r a + r a			h a r a + r a		
1401_28_tobreathe						a h o												h u t i + t e + a h o					ʔ u t i + i + t e + a ʔ o			h u t i + i + t e + a h o					
1402_91_tobuy	t a u i	f a k a + t a u										t a u i		t aː u v i		f a k a + t a u + m a i						t a u ʔ i		f a ʔ a + t a u + m a i				f a k a t a u		f a k a t a u + m a i	t a u i + a
1403_38_tochew							ŋ u + ŋ u																							g u + g u	
1404_39_tocook					tʰ u n u				t u n u				n u n u				t u n u + p aː n i	t u n u	t u n u	t u n u			t u n u			t u n u		f e i + t u n u		t u n u	t u n aː
1405_196_tocount																		t a i ʔ o					t a i ʔ o			t a i ʔ o					
1406_78_tocuthack		k o t i				ʔ o k i		ʔ o k i				k o + k o t i	k o + k o t i				k o t i				k oː t i a	k o t i					k o + k o t i		k o + k o t i	k a t i	
1407_22_tofear		ʔ i i																			i ʔ i										
1408_72_tohit																							t aː + ʔ i r i			t aː + ʔ i r i					
1409_74_tokill										p a t u							p a t u		p a t u		p u t u								p a t u		
140_28_tobreathe		ŋ a ʔ e + ŋ a ʔ e + s aː	ŋ a ʔ a + ŋ a ʔ a																		ŋ aː								ŋ aː	g a e + g a e	
1410_92_toopenuncover			f a ʔ a i																	h a + h a t a					aː h a		a f aː f a	f a k aː + v a			a h a ŋ i a
1411_77_toscratch		v a k u		r a k u + t i a			l l a g u	l a ʔ u		r a k u + r a k u		l a k u		r a k u + r a k u	r a k u		l a k u		r a + r a k u	r a k u	r a + r a k u		r a ʔ u + r a ʔ u	f e l a ʔ u	l a k u	r a ʔ u + r a ʔ u		v a k u	r a k u		
1412_29_tosniffsmell		s o ŋ i	h o ŋ i		s o ŋ i	h o n i	h o ŋ i	s o ŋ i	ʔ o ŋ i	h o ŋ i		h o ŋ i	h o n e		s o ŋ i		j o ŋ i		h a u ŋ a	h o ŋ i	ʔ o ŋ i			s o ŋ i	s a o n a	h o ʔ i	s o ŋ i		h o ŋ i	h o g i	
1414_71_tostabpierce															p aː + t i a				p aː + t i a + t i a		p aː + t i a + t i a		p aː + t i a			p aː + t i a					
1415_42_tosuck										ŋ o t e					ŋ o t e		ŋ o t e	ʔ o t e	ŋ o t e		ŋ o t e + a		ʔ o t e			ʔ o t e					
1416_21_tothink	m aː n a t u	m a n a t u	m a n a t u		m a n a t u							m a n a t u		m aː n a t u			m a n a t u					m aː + n a t u		m a n a t u			m aː n a t u			m a n a t u	m n a t u a
1417_94_tothrow		t iː			t s i r i		d i l i		t i r i				t i ʔ i	t t i r i			t i l i				t i r i								t i r i		s i l i
1418_141_wet									r a r i						r a r i					l a l i	t aː + r a r i		r a r i			r a r i			r a r i		
1419_148_white						k e ʔ o + k e ʔ o							t e k o																		
141_85_tochoose						w a e							v a e							v a e											
1420_159_wide		l a u + l a s i	l a u + l a h i									l a u + l a h i												l a u + t e l e				l a u + l a h i			l a u + e h a
1421_100_wing									p e r e r a u	p a r i r a u					p e r e r a u				p a e + h a u				p e r e r a u			p e r e r a u			p e r e r a u		
1422_107_wormearthworm		k e l e + m u t u	ʔ u l u + k e l e		n u f e + k e r e							k e l e + m u t u		t a m a + k e r e + k e r e		k e l e + m u t u								ʔ e l e + m u t u				k e l e + m u t u		k a l e + m u t a	
1424_8_toturn						w i l i							k a + v i ʔ i					t aː + v i ɢ i		t a + v i r i										t a k a + p i l i	
142_39_tocook	t a o	t a ʔ o	t a ʔ o		t a o		d aː	k a o		t a o		t a o	t a o	t a o	t oː		t a o		t oː		t a o	t a ʔ o	t a u	t a o	t a o	ʔ e u	t a o		t a o		
1431_140_dry																	o m o i											m oː + m o a			
1432_66_totieupfasten																		t aː + ʔ a m u								t a + ʔ a m u					
1435_98_egg																		h u e ɢ o								h u e r o					
143_78_tocuthack		i s i	i h i									iː h i	ʔ i h i																i h i		
1447_192_and														r oː																	i o k o
144_95_tofall										m a k e r e			m e k e ʔ e																m a k i r i		
1451_92_toopenuncover												a f a ŋ i																		m a f e l a	
1452_77_toscratch											s a k a + r o a					w a k u															
1453_29_tosniffsmell				s a ŋ o + t i a							s u n o + ŋ o a																				
1458_11_dust						ʔ e ʔ a							ʔ e p o										ʔ u ʔ a + ʔ u ʔ a			h u ʔ a h u aː					
145_123_toflow	t a + t a p e	t a f e	t a f e	t a f e	t a f e	k a h e		k a h e	t a ʔ e	t e r e		t a f e	t a h e	t e r e	t a h e			t a h e		t e h e	t a ʔ e	t a h e	t a ʔ e	t a f e		t a h e		t a f e	t a h e	t a f e	tʰ a h e
1460_182_i		k u										k u	ʔ u				a k u				k u	k u					k u		k u		
1465_54_manmale									t a m a + r o a				t o a								t a m a + r o a										
1467_124_sea																		m i t i								m i t i					
1468_178_that															t a u a				t a u a		a u a								a u a		
1469_187_they	n aː + u a	l aː	n aː + u a	r a + u a	k i + r a + u a	l aː + u a		l aː + u a		r aː + u a	r a + u a	m a + u a		l aː + u a			l aː + u a	ɢ aː + u a	r aː + u a	r a + ʔ u a	r aː + u a	k i + ⁿg aː + u a	r aː + u a	l aː + ʔ u a	l aː + u a	r aː + u a	r a + u a			l aː + t o u	lʰ a + u a
146_72_tohit	t aː	t aː	t aː				t a	k aː	t a + t a		t e + i a	t aː	t a								t a + i a	t aː		t aː	t aː		t aː	t aː	t aː	t aː	t a + i a
1473_37_toeat		o m a k i	ʔ o m a k i																												
1477_186_you	k o + r u a	k o u + l u a	k o u + l u a	k o + r u a	k o + r u a	ʔ o + l u a	g oː + l u a	oː + l u a	k o + r u a	k oː + r u a	k o + r u a			k o u + r u a			k oː + l u a	ʔ oː + ɢ u a	k oː + r u a	k o r u a	k oː + r u a	k o u + ⁿg u a	ʔ uː + r u a	ʔ o u + l u a	k o u + l u a	ʔ oː + r u a	k o + r u a		k oː + r u a	k o u + l u a	k o u + l u a
147_74_tokill																										t a + p a r a h i			t a + p a r a h i		
148_92_toopenuncover	t a r a													t aː r a k i		t a + t a l a									t aː + l a k i					t a + t a l a	
149_77_toscratch			a l a + s i		a r a + ʃ i a		l o d i					a l a + t i																		a l a + t i	
14_97_bird	m a n u	m a n u	m a n u + l e l e	m a n u	m a n u	m a n u	m a n u	m a n u	m a n u	m a n u	m a n u	m a n u + l e l e	m a n u	m a n u	m a n u	m a n u	m a n u	m a n u	m a n u	m a n u	m a n u + r e r e	m a n u	m a n u	m a n u + l e l e		m a n u	m a n u	m a n u	m a n u	m a n u + l e l e	m a n u + m a n u
150_48_tosleep	m o e	m o e	m o e	m o e	m o e + r o a	m o e		m o e	m o e	m o e	m o e	m o h e	h i a + m o e	m o e	m o e	m o h e	m o + m o e		m o e	m o e	m o e	m o e	m o e	m o e	m o e		m o e	m o h e	m o e	m o e	m o e
151_29_tosniffsmell																		h a u ʔ a					ʔ a u ʔ a			h a u ʔ a					
152_88_tosqueeze								l o m i				l o m i	ʔ o m i		r o m i			ɢ o + ɢ o m i	r o + r o m i		r o m i	ⁿg o m i								l o m i	
153_71_tostabpierce							d aː l o	k a l o																							
155_87_toswell						h uː							h u + h u ʔ a																		
156_94_tothrow													t i o ʔ a					t aː + o ɢ a					t aː + o r a			t aː + o r a					
157_8_toturn																							t iː + p u ʔ u			t iː + p u ʔ u					
158_83_towork				f e i + s a ŋ a		h a n a			ʔ a ŋ a		w o s i + a n a		h a n a		a ŋ a		j a ŋ a		a ŋ a + a ŋ a	a ŋ a	ʔ a ŋ a						s a ŋ a		h a ŋ a	h a g a	a ŋ a
159_141_wet		m aː + t u ʔ u							m a k u	m aː k uː								m a ʔ u	m aː h uː		m aː + ʔ uː ʔ uː		m a ʔ u							m aː l u	
15_113_branch	r aː + k a u	l a ʔ a + k a u	ʔ a + k a u		r a + k a u	l aː + l aː	r a + k a u	l aː + l aː	r a + r a			l aː + l aː	ʔ a + ʔ a	m a t aː + r aː	r aː + r aː	l a ʔ a	l aː		r aː + r aː		r aː + r aː	ⁿg a ʔ a + k a u		l aː + l aː	l aː		r a + k a u	v a ʔ a + k a u	r aː + k a u	k a u + l aː	l aː + l a + k a u
160_148_white	k e n a				kʰ e ŋ o		k e n e										k e n a										k e n a				
161_136_wind					s a u				h a u	h a u					s a u					h a + h a u											
162_150_yellow			l e ŋ a + l e ŋ a			l e n a									r e ŋ a + r e ŋ a	r e ŋ a + r e ŋ a		ɢ e ʔ a + ɢ e ʔ a	r e ŋ a		r e ŋ a + r e ŋ a		r e ʔ a + r e ʔ a	l e g a		r e ʔ a + r e ʔ a		e ŋ e + e ŋ a	r e ŋ a + r e ŋ a		
167_46_tosee									n a + n a														n aː + n aː								
16_18_breast	uː	uː	h u + h u		u	uː	uː	uː		uː	s u + s u	h u + h u	u	uː	uː	s u + s u	w uː		uː	ʔ uː	uː	uː		s u + s u	uː		uː	h u + h u		uː	
17_139_cold	m a k a + r i r i	m a k a + l i l i	m a k a + l i l i	m a k a + r i r i	m a k a + l i g i		m a k a + r i r i	m aː + l i l i	m a k a + r i r i	m a k a + r i r i	m a k a + r i r i	m a k a + l i l i	k a m a + r i r i	m a k a + r i r i	m a k a + r i r i	m a k a + l i l i	m a k a + l i l i		m a k a + l i l i			m a k a + ⁿg i ⁿg i		m a ʔ a + l i l i	m a k a + l i l i		m a k a + r i r i		m a k a + r i r i	m a k a + l i l i	m a + l i k i
184_94_tothrow																												t o l o	t o r o		
186_209_onehundred						h a n e l e											aː n e l e				t a i + a n e r e		ʔ aː n e r e			h aː n e r e					
187_210_onethousand						k a u k a n i												t a u a t i n i			t a u a t i n i		t a u a t i n i			t a u a t i n i					
188_13_back		t u ʔ a	t u ʔ a	s i m a + t u a	b u a	k u a	d u a	a ŋ a	t u a	t u a + r aː		t u ʔ a	t u a	k a + nt u a		t u ʔ a	t u a	t u a	t u a	t u ʔ a + i v i		t u ʔ a	t a u + t u a	t u a	t u a	t u a	t u a	t u ʔ a	p a p a + t u a	t u a	t u a
189_153_big						n u i			n u i	n u i			n u i		n u e				n u i	n u i				n u i	n i u				n u i		
18_168_day		ʔ a s o	ʔ a h o	a s o	a o			a h o	a o	a o		a h o	a o	a o	a o		a o				a o	ʔ a s o	a o	a o	a s o	a o	a s o	ʔ a h o	a o	a o	
190_140_dry		m a s a	m a h a		m a s a							m a h a			m a s a										m a s a		m a s a				
191_82_dullblunt																					m a + n i a		m a + n i a			m a + n i a					
192_119_earthsoil						l e p o			r e p o	r e p o			ʔ e p o		r e p o			ɢ e p o		r e p o	r e p o		r e p o			r e p o			r e p o		
193_151_green	m a t a			m a t a + m a t a																											
194_194_how	p e + p eː k i	f e f e + ʔ a k i	f e a + f e a + ʔ i	f a k a + f e i n a	p e + k u a	p e + h e a	p e + h eː	p e + h eː	p e + ʔ e a	p eː + h e a	e + f i a	p e + h e	p eː + h e a	p eː + h e a	p eː + h e a	p e + f e a	p eː + w e a	n aː + h e a	p eː + h e a	p e + h e	p e + ʔ e a	p e + h e a	n aː + ʔ e a	f a ʔ a + p eː + f e a	p e + h e a	n aː + f e a	f e + f e a	f eː + f eː		p eː + h e a	h u a + h e a
195_16_intestines		v aː v aː			v a v a			v aː + v aː																							
196_2_left	t e m a	s e m a	h e m a	s e m a		h e m a			ʔ e m a			h e m a				s e m a						s e m a					s e m a	h e m a	h e m a	h e m a	
198_195_nonot						ʔ o l e			k o r e	k aː + h o r e					k a r e		k aː + k o l e		e + k o r e		k aː + ʔ o r e		e + ʔ o r e								
199_162_old																			r uː h a u				r uː ʔ a u			r uː ʔ a u					
19_140_dry							m a ŋ o															m aː + m a l a		m a ŋ o							m a ŋ o a
1_208_fifty									r i m a + r o ŋ o + ʔ u r u								l i m a + ŋ a + u l u				r i m a + ŋ a + u r u			l i m a + g a + f u l u				n i m a + ŋ o + f u l u			
201_62_thatchroof		i n a k i						i ŋ a ʔ i																i n a ʔ i	i n a k i						
202_137_toblow		t a + i l i	h a + v i l i					m a + i l i				h a + v i l i																			
203_28_tobreathe						h a n u				f a k a + h aː			h a							h aː											
204_95_tofall			m o k u l u									m o k u l u	m o k u ʔ u				m a k u l u				m a k u r u										
205_101_tofly	r e r e	l e l e	l e l e	r e r e	r e r e	l e l e		l e l e	r e r e	r e r e	r e r e	l e l e		r e r e	r e r e	l e l e	l e l e	ɢ e ɢ e	r e r e	r e r e	r e r e	ⁿg e ⁿg e	r e r e	l e l e	l e l e	r e r e	r e r e		r e r e	l e l e	l e l e
206_72_tohit																			uː	t u + t u											
207_89_tohold																							t aː + p e ʔ a			t aː + p e ʔ a					
208_64_tosay						ʔ oː l e l o				k oː r e r o											k oː r e r o										
211_42_tosuck		m o m i		m u + m u																											
212_94_tothrow							m a k a														m a k a								m a k a		
213_66_totieupfasten	p a u						h a u	h a u						h a u		f a ʔ u + s i				h a + h a ʔ u		h a ʔ u			h a u		f a u		h a u		
214_8_toturn																	p a l e		p a l e		p a ʔ e						p a r e				
215_83_towork	ŋ a r u e	ŋ aː ʔ o i	ŋ aː u e									g a h u a												ŋ a l u e			ŋ a u a	ŋ aː u e			
216_141_wet					s u		tʰ i u	s uː								s uː	j u + j uː					s uː + ʔ i a		s u + s uː	s i u		s uː			h i + h i u	s i u
217_136_wind		s a v i l i	h a v i l i									h a v i l i												s a v i l i							
218_150_yellow		f e l o		f e r o + f e r o	f e r o			h e l o														h e ⁿg o + h e ⁿg o			f e l o		f e r o			f e + f e l o	h e l o
21_11_dust		e f u	e f u	r e f u		ʔ e h u		p u ŋ a + e h u	e ʔ u	p u + e h u		p u + e f u		r e h u	p uː + e h u	e f u	l e w u		p u + e h u	p u ŋ a + e h u	p u + ʔ e u	ɣ + e b u		p + e f u	l e h u	r e p o + p u + e h u	r e f u	e f u	p uː + e h u	p a + e f u	e h u
22_43_ear	t a r i ŋ a	t a l i g a	t a l i g a	t a r i ŋ a	t a r i ŋ a		d a l i ŋ a	k a l i ŋ a	t a r i ŋ a	t a r i ŋ a	t e r i ŋ a	t e l i ŋ a		k a u + t a r i n a	t a r i ŋ a	t a l i ŋ a	t a l i ŋ a	t a ɢ i ʔ a	t a r i ŋ a	t a r i ŋ a	t a r i ŋ a	t a ⁿg i ŋ a	t a r i ʔ a	t a l i ŋ a	t a l i n a	t a r i ʔ a	t a r i ŋ a	t e l i ŋ a	t a r i ŋ a	t a l i g a	t a l i ŋ a
234_42_tosuck			m o m i																										m o m i		
237_141_wet		f a k a + s a + s a u									l o u s a									h e h e											
238_153_big	r a i	l a s i	l a h i	l a s i				l a h i				l a h i			r a h i	l a s i		ɢ a h i	r a h i	r a h i			r a ʔ i	l a s i		r a h i	l a s i	l a h i		l a h i	
239_131_cloud	a o	ʔ a o	ʔ a o	ᵐb o r o a	b o a	a o			a o	k a p u + a		l a g i	a o		oː	ʔ a o	k aː p u + a o		k a p u + a		t i + a o	ʔ a o		a o			a o	ʔ a o	a o		m e l u + a o
240_140_dry												p a k a + k a	p a k a + k a				w a k a + p a k a + p a k a			p a k a + p a k a				p a ʔ a + ʔ a							
241_82_dullblunt	p e ŋ u															p e n u	p e n u														
242_104_fatgrease			h u n i					s u n u	h i n u			h u n i	h i n u + ʔ a m a		s u n u						ʔ i n u			s u n i	s i n u		s i n u		h i n u		
243_151_green												l a n u + l a u k o u																		l a n u + l a u + n i u	
244_16_intestines			ŋ aː + k a u			n a ʔ a u				f eː + k a u		ŋ aː + k a u		k aː + t a e	ŋ aː + ʲk a u		ŋ aː + k a u		ŋ aː + k a u		ŋ aː k a u		ʔ aː ʔ a u	ŋ aː + ʔ a u	k a u + t a e	ʔ aː + ʔ a u	ŋ a + k a u	ŋ aː + k a u	ŋ aː + k a u	g aː + k a u	ŋ a + k a u
245_155_long	r o a	l o a	l o a			l o a	l oː	l o a		r o a		l o a	ʔ o a	r oː + r o a	r o a	l o a	l o a	ɢ o a	r o a	r o a	r o a	ⁿg o a	r o a	l o + l o a	l o a	r o a	l o a	l oː + l o a	r o a	l o a	l o a
246_54_manmale	t a ŋ a t a	t a ŋ a t a							t a ŋ a t a					t a n a t a					t a ŋ a t a			t a ŋ a t a			t a n a t a			t a ŋ a t a			t a ŋ a t a
247_158_narrow																		o a + o a			o a + o a		o a + o a			o a + o a					
248_195_nonot																					ʔ a u + r a k a								k a u + r a k a		
249_133_rain																								t i m u						t i m u	
24_45_eye	m a t a	m a t a	m a t a	m a t a	m a t a	m a k a	m a t a		m a t a	m a t a	m a t a	m a t a	m a t a	k a n a + m a t a	m a t a	m a t a	m a t a	m a t a	m a t a	m a t a	m a t a	m a t a	m a t a	m a t a		m a t a	m a t a	m a t a	m a t a	m a t a	m a t a
250_102_rat	k i o r e					ʔ i o l e		i o l e	k i o r e	k i o r e			k i o ʔ e		k i r e		k i o l e	ʔ i o ɢ e		k i o ʔ e	k i o r e	k i o ⁿg e	ʔ i o r e	ʔ i o l e	k i o l e	ʔ i o r e	k i o r e		k i o r e	k i o l e	
251_124_sea	v a t a		t a i																												
252_152_small			p u k u + p u k u									p u k u															p u k u + p u k u				
253_106_snake		ŋ a t a		ŋ a t a	ŋ a t a			ʔ a k a			ŋ a t a + s a i	g a t a				ŋ a t a						ŋ a t a		ŋ a t a				ŋ a t a			ŋ a t a
254_137_toblow					ʰs a u						s u i a													s a u							
255_78_tocuthack																		t a p u + t e + ɢ a ʔ a u					t aː p uː			t aː p uː					
256_95_tofall		m a l e + l e	m a + l e + l e						m a + r e + r e												m a + r e + r e								m a + r e + r e		
258_72_tohit		s a s a	h a + h a			h a + h a u						h a + h a			s a + s a							s a + s a					s a + s a				
259_89_tohold	k u + k u	k u + k u	k u + k u									k u k u			k u + k u					k u + k u	k u + k u a			ʔ u + ʔ u			k u + k u	k u + k u			
25_180_far		t a u + m a + m a ʔ o	t a u + m a + m a ʔ o																												
260_20_toknowbeknowledgeable						ʔ i k e			k i t e						k i t e			ʔ i t e	k i t e		k i t e		ʔ i t e			ʔ i t e			k i t e		
261_64_tosay													p e ʔ a u					p a ɢ a u + p a ɢ a u					p a r a u			p a r a u			p a r a u		
263_42_tosuck					u m i									u m i + u m i								u m i			u m i + u m i						
264_94_tothrow	p e iː a	p e ʔ e s i	p e ʔ e h i	p e s i a				p e s i			p e s i + a														p e h i						
265_66_totieupfasten						h iː k i ʔ i							h i t i k i		h iː t i k i						ʔ i i t i k i + a								h iː t i k i		
266_150_yellow																											s e ŋ a			h e g a + h e g a	
269_152_small				t i + t i						i t i			i t i		i t i	ʔ i t i		i t i	m eː + i t i	i t i	i t i		m aː + i t i + i t i	i t i + i t i					i t i		
26_104_fatgrease	m o + m o n a					m o + m o n a								m oː + m o n a		m o + m o n a								m o + m o n a							
272_51_tosit					b u k u																							t a ŋ u t u			
27_60_father	t a m a	t a m a	t a m a + i	t a m a + n	t a m a	m a k u a + k aː n e	d a m a	k a m a	t i n a + n a	m a t u a	m a + m a u	m a t u a + t aː n e	m o t u a	t a m a + n a		t a m a + n a	m a t u a + t aː n e	m e t u a + t aː n e	m aː t u a	m a t u ʔ a	m e t u a	t a m a	m e t u a + t aː n e	t a m aː	t a m a + n a	m e t u a + t aː n e	t a m a	t a m a + i	m e t u a + t aː n e		mʰ a
281_64_tosay														h a i																f a i + p a t i	
283_64_tosay	k a r a ŋ a																				k a r a ŋ a										
285_64_tosay				m u n a										h u a													m u n a				
286_82_dullblunt																											p a k u	p e k u			
28_99_feather	p u r u	f u l u			f u r u	h u l u	ŋ a + h u r u		ʔ u r u	h u r u + m a n u			h u ʔ u + m a n u		h u r u	f u l u + f u l u	w u l u	h u ɢ u + h u ɢ u + m a n u	h u r u + h u r u	h u r u + h u r u	ʔ u r u + ʔ u r u		ʔ u r u + ʔ u r u	f u l u		h u r u + h u r u	f u r u	f u l u + f u l u	h u r u	f u l u	h u l u
290_94_tothrow															p eː h u a						p eː ʔ i + a										
292_208_fifty		k a u + l i m a															l a u + l i m a														
293_191_all	k a + t o a	k aː + t o a	k a + t o a				g o d oː	aː + k o a		k a + t o a		g o + t o a		k a + t oː	k a + t o a	k a + t o a	k a + t o a	ʔ a + t o ʔ a	k aː + t o a + t o a		k a + t o a	k aː + t o a	p aː ʔ aː + t o ʔ a	ʔ aː + t o a	k a + t o a	a + t o ʔ a	k a + t o a	k o + t o a	k a + t o ŋ a	k a + t o a	k a + t o a
294_153_big					e f a																	ⁿg a u + ʔ e h a						f u ʔ u			
296_140_dry		m a l oː	m a l o	m a r o		m a l o + ʔ o			m a r o	m a r o + k e			m o ʔ o					m a ɢ o	m a r oː		m a r oː	m a ⁿg oː	m a r oː			m a r oː	m a r oː		m a r oː		
297_180_far	m a + m a o	m a + m a ʔ o	m a + m a ʔ o			m a + m a o		m a o	m a + m a ʔ o		i + m a o	m a + m a o	m e + m a ʔ o	m m a o	m o m oː	m a + m a ʔ o	m a + m a o		m o + m oː		m a + m a o	m a + m a ʔ o		m a + m a o	m m a o		m a o	m a + m a ʔ o	t a u + m a + m a o	m a + m a o	m a o
298_104_fatgrease																							m i ʔ i			m i ʔ i					
299_118_grass		m u t i e	m u s i e						m u t i e				m u t i e			m u t i e					m a t i e	m u t i e	m a t i e	m u t i a		m a t i e					
29_143_fire	a p i	a f i	a f i	a f i	a f i	a h i	a h i	a h i	a ʔ i	a h i	a f i	a f i	a h i	a h i	a h i	a f i	a w i	a u + a h i	a h i	a h i	a ʔ i	a h i	a u + a ʔ i	a f i	a h i	a u + a h i	a f i	a f i	a h i	a f i	
2_201_five	n i m a	l i m a	n i m a	r i m a	r i m a	l i m a	l i m a	l i m a	r i m a	r i m a	e + r i m a	l i m a	ʔ i m a	r i m a	r i m a	l i m a	l i m a		l i m a	r i m a	r i m a	ⁿg i m a		l i m a	l i m a	r i m a	r i m a	n i m a	r i m a	l i m a	l i m a
300_57_husband		ʔ a a v a ŋ a							a ʔ a n a					aː v a n a																	
301_195_nonot		s eː	h e ʔ e				t eː	h e				t eː	t eː	t e											h e + a i						
302_160_painfulsick								u s u						i s u																	
303_102_rat	k u m aː		k u m a									k u m aː	k u m a + k u m a			k u m aː											k u m a + r i	k u m aː			
304_149_red		k u l a	k u l a			ʔ u l a			k u r a			k u l a	k u w a		k u r a	k u l a	k u l a		k u r a		k u r a	k u ⁿg a	ʔ u r a + ʔ u r a	ʔ u l a				k u l o + k u l a	k u r a	k u l a	
305_112_rotten	p a r a	p a l a	p a l a		p a r a			p a l a	p a r a			p a l a	p a ʔ a	p a r a	p a r a	p a l a	p a + p a l a		p a r a	p a r a	p a r a	p a ⁿg a	p a r a	p a l a	p a l a		p a r a	p a l a	p a r a	p u + p u	p a l a
307_145_smoke								ʔ o h u						k o h u													k o f u				k o h u
309_105_tail	t i k u	s i k u	h i k u	s i k u	s i k u				ʔ i k u			h i k u	h i k u	m o i + h u k u	s i k u	h i k u	j i k u		h i k u	h i k u	ʔ i k u	s i k u		s i ʔ u + s i ʔ u		h i ʔ u	s i k u + s i k u	i k u	h i k u	h i k u	
30_111_fish	i k a	i k a	i k a	i k a	i k a	i ʔ a	i g a		i k a	i k a	i k a	i k a	i ʔ a	i k a	i k a	i k a	i k a	i ʔ a	iː k a	ʔ iː k a	i k a	i k a	i ʔ a	i ʔ a	i k a	i ʔ a	i k a	i k a		i k a	i k a
311_78_tocuthack		v a s i	f a h i					v a h i												a v a h i											
312_95_tofall									t o p a				t o p a					t o p a	t o p a	t o p a	t o p a		t o p a			t o p a			t o p a		
313_72_tohit								p aː				p aː										p aː									
314_89_tohold			p u k e																								p u k e			p u k e	
315_20_toknowbeknowledgeable	i r o a			i r o a	i r o a		i l oː	a i l o a				i l o a		i l o a		ʔ i l o a	iː l o l o a							i l o a	i l o a		i l o a	ʔ i l o		i l o a	i l o a
316_67_tosew		t u i	t u i	t u i + t u i	t u i		d u i	k u i	t u e	t u i	t u i + a	t u i	t u i	t t u i	t u i	t u i	t u i		t u i + t u i	t u i	t u i	t u i			t u i		t u i	t u i + t u i	t u i		
317_88_tosqueeze	t a + t a u											t a + t a u		t t a u					t a + t a u		t a + t a u							t a + t a u		t a u	t a u i a
319_66_totieupfasten									n a t i				n a n i		n a t i				n a t i		n a t i + a	n a t i									
31_116_flower	p u a					p u a		u k e	p u a	p u aː + w a i	f u m a		p u a		p u a	f u ŋ a	p u a			p u a	p u a			f u ŋ a					p u a		
32_132_fog		k o f u	k o + k o f u		k o f u	ʔ o h u		ʔ o h u	k o ʔ u	k o h u			k o h u		k o h u	k o f u			k o h u	k a p u + a	k o ʔ u	k o h u		ʔ a + ʔ a p u	k o h u			k a + k a p u	k o h u		
330_195_nonot				e													j eː							l e + a i							
332_105_tail							h u k u	m o s u ʔ i															ʔ u + ʔ u		m u i + s u k i						
333_72_tohit			p aː																								p aː				
335_197_one	t a s i	t a s i	t a h i	t a s i	t a s i	ʔ e + k a h i	d a h i	k a h i	t a ʔ i	t a h i	e + t a s i		t a h i	h o k o + t a h i	t a h i		t a j i		t e + t a h i	t a h i	t a ʔ i	t a h i	t a ʔ i	e + t a s i	t a s i	t a h i	t a s i		t a h i	t a h i	k o + t a h i
336_191_all		f u l i	f u l i + f u l i																			h u ⁿg i									
338_180_far																							aː t e a			aː t e a					
339_104_fatgrease		g a k o		ŋ a k o	ŋ a k o					ŋ a k o		g a k o					ŋ a k o			n a k o	ŋ a k o	ŋ a k o		ŋ a ʔ o				ŋ a k o		g a k o	
33_117_fruit	p u a	f u a	f u a	a f u a	f u a	h u a	h u a	h u a	ʔ u a	h u a	f u a	f u a	h u a	h u a	h u a	f u a	w u a		h u a + r aː k a u		ʔ u a	h u a		f u a	h u a		f u a	f u a	h u a	f u a	h u a
340_164_good								k a u					ʔ e k a	t a u + r e k a + r e k a	r e k a		l e k a			r e k a	r e k a				l e k a		r e k a + r e k a		r e k a		
342_61_house	p a r e	f a l e	f a l e	f a r e	f a r e	h a l e	h a l e	h a l e	ʔ a r e	f a r e	t e + f a r e	f a l e	f a ʔ e	h a r e	h a r e	f a l e	w a l e	h a ɢ e	f a r e	h a r e	ʔ a r e	h a ⁿg e	ʔ a r e	f a l e	h a l e	f a r e	f a r e	f a l e	h a r e	f a l e	h a l e
343_57_husband						k aː n e				t aː n e		t aː n e			t aː n e		t aː n e	t aː n e	t aː n e		t aː n e		t aː n e	t aː n e		t aː n e			t aː n e		
344_103_meatflesh	k a n o + f i	k a n o + f i		k a n m a t e	kʰ a n o		k a n o	a ŋ o + h i				k a + k a n o		k a n o + h i		k a n o + f i						k a n o		ʔ a + ʔ a n o			k a n o + f i	k a n o		k a n o + f i	
345_102_rat		k i m o a		k i m o a	k i m o a						k i m o a			k i m o a										ʔ i m o a						k i m o a	
346_149_red																		ʔ u t e + ʔ u t e			ʔ u t e					ʔ u t e + ʔ u t e					
347_112_rotten	p o + p o	p o + p o	p o + p o	p o + p o	p o + p o		b o + b o	p o + p o	p o + p o		p o + p o	p o + p o		p o + p o	p o + p o						p o + p o	p o + p o			p o + p o				p o + p o		
