Cognate_ID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gogot	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Oromo	Silte	Tigre	Tigrigna	Wolane	Zway
334_80_lion	ʔ a m b ə sː a	x a m b ə s a		ʔ a m b ə sː a	ʔ a m b ə sː a	ʕ a n b ə s a	ʔ a n b ə sː a						ʔ a n b ə sː a	ʔ a n b ə sː a	ʔ a n b ə sː a				ʔ a n b ə sː a		
335_71_how		k ə m e					k ə m									ʔ a kː a m i tː i			k ə m əy/əi̯		
336_75_job		g a r				t ə g b a r															
337_78_leg		ќ/kʼ ɨ l ť/tʼ ɨ m									ќ/kʼ u l ť/tʼ u m										
338_71_how			n ə m ɨ r		b ə m ɨ r			m ə m ɨ r	n ə m ɨ r	m ə m a r			m ɨ n k o m	b ə m ɨ n	b ə mː ɨ n					m ɨ n a k o	
339_72_hundred			b ə ќ/kʼ ɨ r	b ə ʔ ə r	b ə ќ/kʼ ɨ r		b ə ќќ/kʼː ɨ l		b ə ќ/kʼ ɨ r	b ə ќ/kʼ ɨ r	b ə ќ/kʼ l ə	b ə ʔ ə r			b ə ʔ ɨ l		b ə ќќ/kʼː ɨ l			b aː ќќ/kʼː ɨ l	b a ќ/kʼ ɨ l
33_8_belt											w a r aː n s i lː a					w a r aː n s i lː e					
340_73_hyena			g w ə n tʃ ə	g o n tʃ ə	g w ə tʃ ə			g w ə n tʃ ə	g o n tʃ ə	g w ə n tʃ ə		g o n tʃ ə	g ə tʃ ə	g w ə tʃ ə	g ə tʃ ə						
341_74_insultv			ќ/kʼ ə n d m ə m	ќ/kʼ ə n ə m ə	ќ/kʼ ə nː ə m ə m			ќ/kʼ ɨ n e m a	ќ/kʼ ə n d m ə m	ќ/kʼ ə n ə m ə		ќ/kʼ ə n ə m ə									
342_75_job			m e n a	m e n a	m e n a			m e n a	m e n a	m ay/ai̯ n a		m e n a		m e nː a	m e rː a						
343_76_joken			ќ/kʼ ə ʃ ə		k ə ʃ ə			k y/j ə ʃ ə	ќ/kʼ ə ʃ ə		ќ/kʼ o s a					ќ/kʼ eː s a					
344_79_lentil			ќ/kʼ ə s ə m	ќ/kʼ ə s ə m	ќ/kʼ ə s ə m			ќ/kʼ ə s ə m	ќ/kʼ ə s ɨ m	ќ/kʼ ə s ə m		ќ/kʼ ə s ə m		ќ/kʼ ə s ə m	ќ/kʼ ə s ə m						
345_80_lion			ǯ/ʒ ə p					ǯ/ʒ ə pː	ǯ/ʒ ə p ə	ʒ ə p		ǯ/ʒ ə p									
346_71_how				ʔ e t ə h ə								ʔ ə t ə k a									
347_71_how						ʔ ɨ fː o												ʔ a f o			
348_74_insultv						ʕ a yy/jː ə r ə												ʕ a y/j ə r a			
352_76_joken										s i y/j a		s i y/j a									
354_73_hyena											w a r aː b a					w a r aː b e sː a	w ə r a b ə			w ə r a b ə	ʔ u r aː b a
35_10_black											ť/tʼ əy/əi̯						ť/tʼ e m			t ɨ m	
360_75_job																h o dʒ iː					w aː dʒː ə
362_80_lion																l eː n ć/tʃʼ a					l eː n tʃ a
363_71_how																	ʔ ay/ai̯ n ə k o				ʔ ay/ai̯ k u
364_75_job																	b ɨ l			b ɨ l	
365_80_lion																	w ə r b a			w ə r a b e	
372_81_lip	k ə n f ə r		k ə n f ə r	k ə n f ə r	k ə n f ə r	k ə n f ə r	k ə n f ə r	k ə n f ə r		k ə n f ə r		k ə n f ə r	k ə n f ə r	k ə n f ə r	k ə n f ə r			k ə m f ə r	k ə n f ə r		
373_82_louse	ќ/kʼ ɨ m a l	ќ/kʼ ɨ m a l	ќ/kʼ ɨ m a r		ќ/kʼ ɨ m a r	ќ/kʼ w ɨ m a l	ќ/kʼ ɨ m a l	ќ/kʼ ɨ m a r	ќ/kʼ ɨ m a r	ќ/kʼ ɨ m a r	ќ/kʼ u m aay/aːi̯	ʔ ɨ m a r	ќ/kʼ ɨ m a l	ќ/kʼ ɨ m a l	ќ/kʼ ɨ m e		ќ/kʼ u m a l	ќ/kʼ ə m ə l	q u m a l	ќ/kʼ u m a l	ќ/kʼ ɨ m ay/ai̯
374_83_maize	b ə ќќ/kʼː o lː o		b ə ќ/kʼ o lː o	b ə ќќ/kʼː o l ə	b ə ќќ/kʼː w o lː o		b o ќќ/kʼː o lː o	b ə ќ/kʼ w ə lː o	b ə ќ/kʼ w o lː o	b o ќ/kʼ o lː o		b ə ќ/kʼ o lː o ʔ ə	b o ќќ/kʼː o lː o	b o ќќ/kʼː o lː o	b ə ќќ/kʼː o lː o	b o ќќ/kʼː oː lː o	b ə ќќ/kʼː o lː o			b o ќќ/kʼː o lː o	
375_84_man	s ə w	s ə w	s ə b	s ə w	s ə b	s ə b	s ə b			s ə b		s ə b					s ə b	s ə b	s ə b ʔ ay/ai̯	s ə b	s ə b
376_85_monday	s ə ňň/ɲː o					s ə n uy/ui̯												s ə n o	s ə n uy/ui̯		
377_86_mule	b ə ќ/kʼ l o	b ə ќ/kʼ l o	b ɨ ќ/kʼ w ə r ə	b a ќ/kʼ u r ə	b u ќ/kʼ w ə r ə	b ə ќ/kʼ l o	b w ə ʔ l a	b ɨ ќ/kʼ u r ə	b ɨ ќ/kʼ u r ə	b u ќ/kʼ u r a	b ə ќ/kʼ ə l	b u ќ/kʼ u r ə	b ɨ ć/tʃʼ ɨ l	b w ə ќ/kʼ ɨ l a	b u ʔ u r ə		b o ќ/kʼ l o	b ə ќ/kʼ ə l u	b ə q l i	b o ќ/kʼ l o	b o ќ/kʼ o l u
378_87_neck	ʔ a n g ə t	ʔ a ň/ɲ g ə d	ʔ a n g ə t	ʔ a n g ə t	ʔ a n g ə t		ʔ a n g ə t	ʔ a n g ə t	ʔ a n g ə t	ʔ a n g ə t	ʔ a n g ə t	ʔ a n g ə d	ʔ a n g ə t	ʔ a n g ə t	ʔ a n g ə t		ʔ a n g w o r o			ʔ a n g ə t	ʔ a n g ə t
379_88_nine	z ə ť/tʼ ə ňň/ɲː	ʒ ɨ h ɨ ť/tʼ ə ň/ɲ	ǯ/ʒ ə ť/tʼ ə	ǯ/ʒ ɨ ʔ ə	ǯ/ʒ ə ť/tʼ ə		ʒ ə ť/tʼ ə	ǯ/ʒ ə ť/tʼ ə	ǯ/ʒ ə ť/tʼ ə	ʒ ə ť/tʼ ə	z ə ħ ť/tʼ ə ň/ɲ	ǯ/ʒ ə ʔ ə	ǯ/ʒ ə ť/tʼ ə ň/ɲ	ǯ/ʒ ə ť/tʼ ə	ǯ/ʒ ə ť/tʼ ə		z i ťť/tʼː ə ňň/ɲː e			ʒ i ťť/tʼː ə ň/ɲ	ʒ aː ťť/tʼː ə ň/ɲ
380_89_now	ʔ a h u n	ʔ a h a ň/ɲ	ʔ ə x w a	ʔ a kː ə	ʔ ə x w a		ʔ a h u	ʔ ə x w a	ʔ ə x w a	ʔ ə x w a	ʔ a xː a ʔ		ʔ a x u	ʔ ə x w a	ʔ a x u ňň/ɲː a		ʔ a kː u			ʔ a h u	ʔ a h u
381_90_one	ʔ a n d	h a n d	ʔ a t	ʔ a tː	ʔ a tː	ʔ ə ħ ə d u	ʔ a tː	ʔ a t	ʔ a t	ʔ a t	ʔ a ħ a n d	ʔ a t	ʔ a tː	ʔ a tː	ʔ a tː		ʔ aː d	h a tː e	ħ a d ə	ʔ a d	ʔ a n d
383_83_maize		b a r m a s i l a																			m aː ʃ u lː e
385_85_monday			w ɨ ť/tʼ ə t	w ɨ ť/tʼ ə t	w ɨ ť/tʼ ə t		w ɨ ť/tʼ ə t	w ɨ ť/tʼ ə t	w ɨ ť/tʼ ə t	w ɨ ť/tʼ ə t		w ɨ ť/tʼ ə t	w ɨ ť/tʼ ə t	w ɨ ť/tʼ ə t	w ɨ ť/tʼ ə t	w i ť/tʼ ə t ə	w ɨ ť/tʼ ə t			w ɨ ť/tʼ ə t	w ɨ ť/tʼ ə t
388_87_neck						k ɨ s a d												s ɨ g a d	k ɨ s a d		
389_88_nine						t ə s ʕ ə tː u												s ɨ ʕ	t ɨ Š/ʃ ə ʕ a t ə		
390_89_now						y/j ɨ ʔ ə z e												ʔ a z e	ħ ɨ z i		
391_84_man								m ɨ s	m ɨ s				m ɨ s	m ɨ s	m ɨ s						
393_81_lip											l ə f l ə f									l ə f l ə f	l e f l ə f
3_3_arm	k ɨ n d	k ɨ rː a			h ɨ nː ə		k ɨ rː ə	x ɨ n ə	h ɨ n ə			h ɨ n ɨ ʔ ə	k ɨ rː ə	h ɨ nː ə			k i r e			k i r e	
407_83_maize																		ʕ ɨ fː u n	ʕ u f a n		
408_91_ox	b ə r e	b ə ʔ r a	b o r a	b a w r ə	b o r a	b ɨ ʕ ɨ r	b o r a	b o r a	b o r a	b a w r a	b a ʔ a r a	b a w ə r a	b o r a	b o r a	b o r a			b ə ʕ r ay/ai̯	b ɨ ʕ ɨ r ay/ai̯	b oː r a	b uː r ə
409_92_pea	ʔ a t ə r	ʔ a t ə r	g e t ə r a	g i t e	g e t ə r ə	ʕ ə t ə r	ʔ a t ə r ə	g e t ə r ə	g e t ə r ə	g a r ə r ə		g ə t ə r ə		ʔ a t ə r ə	g e t ə r ə	ʔ a t a r a	g i t e	ʕ a t ə r	ʕ a t ə r		ʔ a n t ə r ə
410_93_pepper	ќ/kʼ a r ɨ y/j a		ќ/kʼ a r e	ќ/kʼ a r e ʔ	ќ/kʼ a l e			ќ/kʼ a r ɨ y/j a	ќ/kʼ a r i				ќ/kʼ a r ɨ y/j a	ќ/kʼ a r i y/j a	ќ/kʼ a r e	ќ/kʼ i r ć/tʃʼ aː					
411_94_pillow	t ɨ r a s		t ɨ r a s	t ɨ r a s	t ɨ r a s	t ə r ʔ a s		t ɨ r a s		t ə r a s	m ɨ t r aː ʃ			t ə r a s	t ɨ r a s			t ə r ʔ a s	m ə t r ə ʔ a s	t ə r a s	
412_95_plate	s a h ɨ n	s a h ɨ n	s a x ɨ n	s a h ɨ n			s a h ə n	s a h i n	s a h i n	s a x ə n	s a ħ a n	s a h ɨ n	s ə h a n		s a h ə n	s a h aː n a	s aː n		Š/ʃ ə ħ a n ə	s a h a n	s a h a n
413_96_porridge	g ə n f o	g ɨ n f o					g ə n f w ə						g ə n f o						g ə n f o		
414_97_pumpkin	d u bː a	d u bː a	d ɨ b a ќ/kʼ ɨ l a	d ə b a ќ/kʼ u l ə	d ɨ b a ќ/kʼ u lː a		d a b a ʔ u lː a	d ɨ b a ќ/kʼ u lː a	d ɨ w a ќ/kʼ u l a	ť/tʼ ə b ќ/kʼ u l a	d u bː a	ť/tʼ ə b a ќ/kʼ u l a	d ə b a ќ/kʼ u lː a	d ə b a ќ/kʼ u l a	d ɨ w a ʔ u lː a	d u bː aː	d ə b a ќ/kʼ u lː ə	d ɨ bː a	d u bː a	d ə b a ʔ u lː a	d u b a
415_98_rain	z ɨ n a b	z ɨ n a b	z ɨ r a b		z ɨ r a b	z ɨ n a m	z ɨ n a b	z ɨ r a b	z ɨ r a b	z ɨ r a m	z ɨ n aː b		z ɨ n a b	z ɨ n a b	z ɨ n a b		z ɨ l ə m	z ɨ l a m	z ɨ n a b	z ɨ l a m	z ɨ n a b
416_99_red	ќ/kʼ əyː/ei̯	ќ/kʼ ə y/j ɨ h									ќ/kʼ eː h							ќ/kʼ ay/ai̯ ħ ɨ t	q ə yy/j ɨ ħ		ќ/kʼ aay/aːi̯
417_100_rice	r u z	r u z	r u z	r u z	r u z	r u z	r u z	r u z	r u z	r u z	r uː z	r u z	r u z	r u z	r u z	r uː z a	r u z	r u z	r u z	r u z	r u z
418_93_pepper		b ə r b ə r e				b ə r b ə rː e	b ə r b ə r e				b ə r b ə r i							b ə r b ə r e	b ə r b ə r ə	b ə r b ə r e	b ə r b aː r i
420_96_porridge			ʔ o z a t		ʔ o z a t			ʔ o z a t	ʔ o w z a t	ʔ a w z a t					ʔ o z a t						
421_99_red			b ɨ ʃ ə	b u ʃ ə	b ɨ ʃː ə		b ɨ ʃː a	b ɨ ʃː a	b ɨ ʃ ə	b ɨ ʃ a		b ɨ ʃ ə	b ɨ ʃː ə	b ɨ ʃː a	b ɨ ʃː a		b u ʃ o			b u ʃ a	
422_96_porridge				d a ʔ ə		g a ʕ t						d a ʔ a						g a ʕ t			
423_98_rain				d ɨ y/j ə								d ɨ y/j ə									
427_99_red						ʔ a dː a m a w i										d iː m aː					
428_94_pillow							g i mː ə		dʒ ɨ mː ə			g i m ʔ ə	g i mː ə				g i mː a				g i mː a
42_6_beautiful																b a r eː dː u	b ə r eː d ə			b ə r e d ə	
435_96_porridge														ʔ ɨ n ќ/kʼ a tʃː e			ʔ ɨ n ќ/kʼ a tʃː ə			ʔ ɨ n ќ/kʼ a tʃː e	
445_101_rich	h a b t a m	d ə m a m																	h a b t a m		
446_102_road	m ə n g ə d					m ə n g ə d													m ə n g ə d i		
447_103_salt	ć/tʃʼ ə w	tʃ ə w				ś/s e w												ś/s e w e	ć/tʃʼ ə w		
448_104_saturday	ќ/kʼ ɨ d a m e		ќ/kʼ ə ť/tʼ a n s ə n b ə t		ќ/kʼ ə ť/tʼ a n s ə n b ə t	ќ/kʼ ə d a m i ts ə n b ə t	ќ/kʼ ɨ d a n s ə n b ə t	ќ/kʼ ə t a s ə n b ə t	ќ/kʼ ə ť/tʼ a n s ə n b ə t	ќ/kʼ ə ť/tʼ a ts ə m b ə t		ќ/kʼ ə ť/tʼ a n s ə n b ə t	k ɨ d a n s ə n b ə t	k ɨ d a n s ə n b ə t	k ə d a n s ə n b ə t				q ə d a m		
449_105_saw	ʔ a yy/j ə	x a y/j e	ʔ a ǯ/ʒ ə	ʔ a ʃː ə m	ʔ a ǯǯ/ʒː ə m			ʔ a ʃː ə m	ʔ a ǯ/ʒ ə			ʔ a ǯ/ʒ ə	ʔ a ǯǯ/ʒː ə	ʔ a ǯǯ/ʒː ə	a ǯǯ/ʒː ə m	ʔ a r g e	ʔ a n ǯ/ʒ ə				
450_106_seed	z ə r	z ə r i	z ə r	z ə ʔ ə	z ə r	z ə r ʔ	z ə r	z ə r	z ə r			z ə r	z ə r	z ə r	z ə r		z ə r	z ə r ɨ ʔ	z ə r ʔ i	z aː r	z ə r ə
451_107_seven	s ə b a tː	s a ʔ i n t	s ə b a t	s ə w ʔ a t	s ə b a t	s ə b ʕ	s ə b ə tː	s ə β a t	s ə b a t	s ə b a t	s aː tː i	s aː t	s ə b a t	s e b ə t	s ə b a t		s a ʔ a b a t	s ə b u ʔ ə	Š/ʃ ə w ʕ a t ə	s a b t	s ə b ɨ t
452_108_she	ʔ ɨ s w a	k ɨ sː a														ʔ i ʃ e	ʔ i ʃ a		n ɨ sː a	ʔ ɨ ʃ ə	
453_109_sheep	b ə g					b ə gː ɨ ʕ												b ə gː u ʕ	b ə g ɨ ʕ		
454_110_short	ʔ a ćć/tʃʼ ɨ r	h a tʃ ɨ r n i	ʔ a ć/tʃʼ ɨ r	ʔ i ʔ i r	ʔ a ć/tʃʼ ɨ r	ħ ɨ ś/s ə ś/s	ʔ a ćć/tʃʼ ɨ r	ʔ a ćć/tʃʼ ɨ r	ʔ a ć/tʃʼ ɨ r	ʔ a ć/tʃʼ ɨ r	ħ a ć/tʃʼ i r	ʔ e ʔ i r	ʔ a ćć/tʃʼ ɨ r	ʔ a ćć/tʃʼ ɨ r	ʔ a ćć/tʃʼ ɨ r		ʔ a n ć/tʃʼ ɨ r	ħ a ćć/tʃʼ a r	ħ a śś/sː i r	ʔ a n ć/tʃʼ ɨ r	ʔ a n ć/tʃʼ ɨ r
455_102_road		x ɨ y/j ɨ m a	ʔ e m a		ʔ e m a			ʔ e m a	ʔ e m a					ʔ e m a		ʔ a m n a					
456_104_saturday		s ə m b ə d									s ə b t i					s a n b a t a	a n s ə n b ə t	s ə n b ə t + n ɨ ʔ ɨ ʃ		ʔ a n s ə n b ə t	ʔ a n ə s ə n b ə t
458_101_rich			d ə n g ə ňň/ɲː ə	d ə n g ə ňň/ɲː ə	d ə n g ə ňň/ɲː ə		d ə n g ə ňň/ɲː a	d ə n g ə n ə	d ə n g ə ňň/ɲː ə	d ə n g ə ň/ɲ ə		d ə n g ə ň/ɲ ə	d ə n g ə ňň/ɲː ə	d ə n g ə ňň/ɲː ə	d ə n g ə ňň/ɲː ə						
459_103_salt			ʔ a sː o		ʔ a sː o		ʔ a sː o	ʔ a sː o	ʔ a sː o	ʔ a s ə w ə				ʔ a sː o	ʔ a sː ə w ə	ʔ a ʃ a b o	ʔ a r u s o			ʔ a s ə b o	ʔ a s o b u
460_108_she			x y/j ɨ t a		x y/j i t	y/j ɨ ʔ ɨ t i	k i y/j a	x y/j ɨ t	x y/j ɨ t			x i d a	k i y/j a	x i t i	x y/j a			h ɨ t a			ʔ i t
461_109_sheep			ť/tʼ ə	ť/tʼ ay/ai̯	ť/tʼ ay/ai̯		ʔ ə t e	ť/tʼ ay/ai̯	ť/tʼ e	ť/tʼ ay/ai̯	ť/tʼ aay/aːi̯	ť/tʼ ay/ai̯	ʔ ə ť/tʼ ay/ai̯	ʔ ə ť/tʼ e	ť/tʼ e		ť/tʼ ay/ai̯			ť/tʼ ay/ai̯	t ay/ai̯
462_102_road				m e y/j a			m o ć/tʃʼ ə			m ə y/j a		m e ʔ a	m o ć/tʃʼ ə								
463_103_salt				b ə ʔ ə d								b ə ʔ ə d									
466_101_rich						b ɨ ʕ u l					b a ʔ a w										
468_105_saw							m ə g a z			m ə g a z										m ə g a z	m ə g a z
469_106_seed										z ɨ ň/ɲ ʔ ə	s ə ň/ɲ i					ʃ ə ňň/ɲː i					
471_102_road											ʔ uː g a						ʔ u n g a			ʔ u n dʒ ə	ʔ uː n dʒ ə
477_101_rich																d u r eː sː a	d u r e sː ə			d u r e sː ə	
481_101_rich																		ś/s ɨ g u b			n ɨ b r ə t a ň/ɲ ə
483_105_saw																		r ə ʔ a	r ə ʔ a y/j ə		
484_111_six	s ɨ dː ɨ s t	s ɨ d ɨ s t	s ɨ d ɨ s t	s ɨ dː ɨ s t	s ɨ d ɨ s t	s ɨ dz	s ɨ dː ɨ s t	s ɨ dː ɨ s t	s ɨ dː ɨ s t	s ɨ d ɨ s t	s i dː i s t aː ň/ɲ	s ɨ dː ɨ s t	s ɨ d ɨ s t	s ɨ dː ɨ s t	s ɨ dː ɨ s t		s ɨ dː ɨ s t	s ɨ ʔ ɨ s	Š/ʃ ɨ dː u Š/ʃ t ə	s ɨ dː ɨ s t	s ɨ dː ɨ s t
485_112_smoke	ć/tʃʼ ɨ s	tʃ i s																			
486_113_snatched	n ə ťť/tʼː ə ќ/kʼ ə	n ə ťť/tʼː ə ќ/kʼ ə		n ə ť/tʼ ə ќ/kʼ ə	n ə ť/tʼ ə ќ/kʼ ə	n ə ť/tʼ ə ќ/kʼ ə	n ə ťť/tʼː ə ʔ ə m	n ə ť/tʼ ə ќ/kʼ ə m		n ə ť/tʼ ə ќ/kʼ ə		n ə ťť/tʼː ə ќ/kʼ ə m			n ə ťť/tʼː ə ќ/kʼ ə m						n ə ť/tʼ ə ќ/kʼ ə
487_114_song	z ə f ə n	z ə f ə n																			
488_115_stone	d ɨ n g ay/ai̯	d ɨ n g ay/ai̯																			
489_116_stool	b ə r ć/tʃʼ u m a		b w ə r ć/tʃʼ u m a	b a r ć/tʃʼ u mː a	b w ə r ć/tʃʼ u m a		b ə r ć/tʃʼ u mː a	b o r ć/tʃʼ u m a	w ə r ć/tʃʼ u m a	b w ə r ć/tʃʼ ə m a		b ə r ć/tʃʼ ɨ m a		b o r ć/tʃʼ u m a	b w ə r ć/tʃʼ ɨ mː a	b a r ć/tʃʼ u m a				b o r ć/tʃʼ ɨ mː a	
490_117_sucked	ť/tʼ ə bː a	ť/tʼ ə bː a	t ə p w ə m	ť/tʼ o pː ə	ť/tʼ ə bː w ə m	ť/tʼ ə b ə w ə	ť/tʼ o bː ə m	ť/tʼ ə pː w ə m	t ə p w ə m	ť/tʼ ə p w ə	ť/tʼ ə b a	ť/tʼ ə p w ə	ť/tʼ o bː ə m	ť/tʼ o bː ə	ť/tʼ ə bː w ə m		t o b e			ť/tʼ o b e	ť/tʼ o b uː
491_118_suddenly	d ɨ n g ə t	d ɨ n g ə t					d ɨ n g ə t	d ɨ n g ə t		d ɨ n g ə t	d ə g u	d ɨ n g ə t	d ɨ n g ə t	d ɨ n g ə t	d ɨ n g ə t		d ɨ n b u ť/tʼ			d ɨ n g ə t	d ɨ n g ə t
492_119_sun	ś/s ə h ay/ai̯					ṩ/tsʼ ə ħ ay/ai̯													ś/s ə ħ ay/ai̯		
493_120_sunday	ʔ ɨ h u d					ʔ ɨ ħ u d					ʔ a l ħ a d										
495_119_sun		tʃ ə h e d	ć/tʃʼ e t		ć/tʃʼ e t			ć/tʃʼ e t	ć/tʃʼ e t					ć/tʃʼ e t							
496_120_sunday		s ə m b ə d	w u r s ə n b ə t		w ɨ r s ə n b ə t		s ə n b ə t	w ɨ r s ə n b ə t	w u r s ə n b ə t	s ə m b ə t		w u r s ə n b ə t	w u r s ə n b ə t	w u r s ə n b ə t	w u r s ə n b ə t		g ɨ d ɨ r s ə n b ə t	s ə n b ə t ʔ a bː ɨy/ɨi̯	s ə n b ə t	s ə n b ə t	s ə n b ə t
497_112_smoke			t ə n	t a n	t ə nː	t ə nː	t ə n	t ə n	t ə n	t ə n	t ə n	t ə n	t ə n	t ə nː	t ə n		t ə n	t ə n a n		t ə n	t ə n
498_113_snatched			m ə ć/tʃʼ ə ќ/kʼ ə m						m ə ć/tʃʼ ə ќ/kʼ ə m				m o ćć/tʃʼ ə ќ/kʼ ə m	m e ćć/tʃʼ ə ќ/kʼ ə m			b o ćć/tʃʼ ə ќ/kʼ ə			b o ćć/tʃʼ ə ќ/kʼ ə	
499_114_song			l a l e		l a l e				l a l e			l a l e									
49_4_back																		m ə ќ/kʼ ť/tʼ ə n			m ɨ ś/s k ə t
4_4_back	dʒ ə r b a	dʒ eː d	g y/j i ʃ ə	g y/j i ʃ ə	g ɨ n ǯ/ʒ ə		g ɨ ň/ɲ ʒ ə		dʒ y/j i ʃ ə	g i ʃ ə		g i ʃ ɨ ʔ ə	g ɨ n ǯ/ʒ ə	g ɨ n ǯ/ʒ ə	g ɨ n ǯ/ʒ ə						
500_115_stone			ʔ ɨ m ɨ r	ʔ ə w n	ʔ ɨ m ɨ r	ʔ ɨ b n		ʔ ɨ m ɨ r	ʔ ɨ m ɨ r	ʔ ɨ m ɨ r		ʔ ɨ m ɨ r	y/j i m i r	ʔ ɨ m ɨ r				ʔ ɨ b ɨ n	ʔ ɨ m n i		ʔ u m u n
501_118_suddenly			m a t ə g a	ʔ ɨ mː a t ə g	ʔ ɨ mː a t i n g i				h ɨ m ə g a									ʔ ɨ b h a m g ə m			
502_114_song				d a s			d ə r ɨ s						d ə r s	d ə r s	d ə rː ɨ s				d ə r f i		
503_119_sun				ʔ a y/j e d						ʔ ɨ w a y/j ə		ʔ ɨ w ə y/j ə									
506_116_stool						m ə n b ə r					w ə m b ə r		w ə n b ə r						m ə n b ə r		
508_115_stone							ʔ ɨ mː a ňň/ɲː ə								ʔ ɨ m a ňň/ɲː ə						
509_119_sun							ʔ i m i r				ʔ i r		y/j i m ɨ r		ʔ a r e t		ʔ a y/j ɨ r			ʔ ay/ai̯ r	ʔ a r i t
510_114_song								w e g		w ə y/j ə g								w ə t ə r			
513_115_stone											ʔ uː n						ʔ uː n			ʔ u n	
523_114_song																	ʃ ɨ b ə t			ʃ ɨ b ə t	ʃ i b ay/ai̯
534_121_sweat	l a b	l a b																			
535_122_ten	ʔ a sː ɨ r	ʔ a sː ɨ r	ʔ a s ɨ r	ʔ a sː ɨ r	ʔ a s ɨ	ʕ ə sʼ r u	ʔ a sː ɨ r	ʔ a sː ɨ r	ʔ a s ɨ r	ʔ a s ɨ r	ʔ a sː i r	ʔ a s ɨ r	ʔ a s ɨ r	ʔ a s ɨ r	ʔ a sː ɨ r		ʔ a sː ɨ r	ʔ a s ɨ r	ʕ a s ə r t ə	ʔ a sː ɨ r	ʔ a sː ɨ r
536_123_that	y/j a				z a		z a						z a	z a	z a						
537_124_then	k ə zː i y/j a	w o d g ɨ z e					z a g ɨ z y/j ə			x ə g ɨ z ɨ y/j ə											y/j a n e g i
538_125_they	ʔ ɨ nː ə sː u															ʔ i s aː n			n ɨ sː a t ə n		ʔ ɨ n o mː u
539_126_thick	w ə f r a m	w ɨ f r a m																			
540_127_thief	l e b a	l e β a	n e b a				l e b a	n ə b a	n e b a				l e b a	l e b a	l e b a						l e b a
541_128_thin	ќ/kʼ ə ćć/tʃʼ ɨ n	ќ/kʼ ə tʃ ɨ n		ќ/kʼ ə ćć/tʃʼ ɨ n		ќ/kʼ ə ťť/tʼː ɨ n	ќ/kʼ ə ćć/tʃʼ ɨ n			ќ/kʼ ə ć/tʃʼ ɨ r	ќ/kʼ ə ć/tʃʼ iː n	ќ/kʼ ə tʃ ɨ r		ќ/kʼ ɨ tʃː ɨ n			ќ/kʼ ə tʃ ɨ n	ќ/kʼ ə ť/tʼ i n	q ə ťť/tʼː i n	ќ/kʼ ə ć/tʃʼ ɨ n	ќ/kʼ ə ć/tʃʼ ɨ n
542_129_this	y/j ɨ h										y/j i										
543_130_three	s o s t	s o s t	s o s t	s o s t	s o s t	sʼ ə l ə s	s o s t	s o s t	s o s t	s o ʔ o s t	ʃ i ʔ i ʃ t i	s o ʔ o s t	s o s t	s o s t	s o s t	s a d i	ʃ e ʃ t	s ə l ə s	s ə l ə s t ə	ʃ e ʃ t	ʃ e ʃ t
545_125_they		k ɨ s ɨ m	x ɨ n o	h u n o	x ɨ n o		k ɨ nː ə w m	x ɨ n o	x ɨ n u	x ɨ n ə w a		x ɨ n o w a	k ɨ nː ə m	x ɨ nː o	x ɨ nː ə w			h ɨ t o m			
547_121_sweat			w ɨ z a t	ʔ a z a t	w ɨ z a t		w ɨ z a t	w ɨ z a t	w ɨ z a t	w ə z a t	w uː z i ʔ	ʔ a z a t	w ɨ z a t	w ɨ z a t	w ɨ z a t		w ɨ z ə t			w ə z i	w ə z
548_123_that			x ɨ x	x a d ə				x ɨ x		x ə		x a d a									
549_124_then			t ə h a n ќ/kʼ e	t ə h a ʔ e g ə d	t ə h a n ќ/kʼ y/j e			t ə x a n ќ/kʼ e	t ə h ʔ a n g y/j e				t ə k w a		t ə h ɨ m a n g e						
550_126_thick			dʒ ə n dʒ ɨ r	g u ʃ ɨ r	dʒ ə n dʒ ɨ r		d ə n g ɨ n	dʒ ə n dʒ ɨ r	dʒ ə n dʒ ɨ r	d ɨ n dʒ ɨ r		dʒ ə n dʒ ɨ r		dʒ ə n dʒ ɨ n	dʒ ə n dʒ ɨ n						
551_128_thin			s ɨ s ə		s ɨ sː ə			s ɨ s a	s ɨ s ə						s ə sː ə						
552_129_this			z ɨ		z ɨ x	z ɨ n t u	z i	z ɨ	z ɨ	z ə			z i	z i	z i				ʔ ɨ zː i	z i	
553_127_thief				f a n g a y/j ə						f ə n g ə y/j a		f ə n g ə y/j a									
554_129_this				w a								w ə d a									
555_127_thief					s ə r ə ňň/ɲː ə	s ə r a ќ/kʼ i												s e r ќ/kʼ ay/ai̯	s ə r a q i		
561_123_that									h a t a								h a tː ay/ai̯				
563_124_then											b ə ħ ə r	t ə h ɨ m		b ə h i							
566_127_thief											r o g i						r a n dʒ i			r a n dʒ i	
578_125_they																	ʔ u x u n			ʔ u h u n	
579_126_thick																	m ə g ə rː i			m ə g ə rː i	
580_129_this																	ʔ ɨ nː ə				ʔ ɨ n a tʃː u
582_123_that																		l a h ay/ai̯			y/j a h ay/ai̯
58_9_big																				dʒ ə b ə	dʒ ə b a
