Cognate_ID	Arhuaco	Atanque	Bari	Boruca	Bribri	Buglere	Cabecar	Cacaopera	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	LencaHonduras	LencaSalvador	Malayo	MalekuJaika	Mayangna	Miskito	Ngabere	Pech	Rama	SanBlasKuna	Teribe	Ulwa
721_58_malo																		d u t n i							d u t k a
723_58_malo																					w à/a ɾ k w á/a	k w a h a l a			
726_58_malo					s u ɺ ǔ/u		s a ɺ u í/i																		
739_59_mano						k o						'k/k o k a l a		k u l a l a	k o ʃ a k a										
741_59_mano																		t i n							t i n
744_59_mano																	k u k iː					k w iː k			
745_59_mano	'g/g u n ɨ	g ú/u n a		dʒ ù/u ɾ é/e ʔ	u ɺ a		h u ɺ à/a						k u l			'g/g u l a									
746_59_mano																							a ɾ k a n	ó/o ɾ k u ò/o	
748_59_mano									'a/a t k a ɾ a	ɨ t a	h a t a k ɾ a														
74_7_bailar					k a ɺ ʊ́/ʊ t ɪ		k a ɺ ʊ́/ʊ t ɪ																		
753_60_matar																		iː	i k						iː
756_60_matar	'g/g w a k					g w e d a				ɣ u	g w a h	g u 'a/a ʃ				g w a ʒ	k u aː								
758_60_matar					k ʊ t		k o t																		
765_61_montana								k a r a n						k o t a n	k o t a n										
766_61_montana																		a s a ŋ	a s a ŋ + t a ɾ a						a s a ŋ
771_61_montana					k ã̂/ã + b a t à/a		k ã́/ã + b a t à/a																		
774_61_montana	'g/g w i ɾ k ə n ɨ					h w i tʃ u g a				ɣ u a															
783_62_morder										k a				k a j				k a s							k a s
790_62_morder			k o		k ʊ		k ʊ		'k/k o ʔ																
792_62_morder						g u t e														k w e t			k u n		
800_63_mujer								j u a r a										j a l							j a l
801_63_mujer																'm/m e n a			m a j r i n	m e ɾ i					
802_63_mujer																	k u ɾ iː x u ɾ iː				k ó/o ɾ t à/a				
804_63_mujer				ɾ a m ɾ ó/o x k	a ɺ á/a + k ʊ̀/ʊ ɺ		a ɺ â/a + k ɺ ʊ̀/ʊ																		
807_63_mujer			b i o										b i á/a												
809_63_mujer										β u h u tʲ a		'm/m u n ʒ i													
80_8_beber														t a l	t a l i										
813_64_nariz			n i s a		dʒ ɪ̂/ɪ k		dʒ í/i k	n a m n	'r/r e ʃ a	s a k a	d aː		n e k ó/o	n e p s e k	n e p k u ɾ u		t a iː k i	n a m			t ã́/ã j s á/a	t a i k		n é/e k u ò/o	n a n t a k
81_8_beber								d i p a										d i	d i						d i
822_65_negro											s i h 't/t u			s i ɾ i	s i n k a				s i k s a						
824_65_negro			m aː										s a n á/a					s aː n i							
825_65_negro										m ɨ h ɨ s i o		a 'b/b a k s ɯ				a m ɨ k ʃ i				d ɾ ɯ n e		p a ɾ ŋ a			b a r a s k a
829_65_negro					d a ɺ ǒ/o ɺ ǒ/o		d o ɺ ó/o d ã̀/ã																		
835_66_nino				u á/a ʔ						ɣ u a s ɣ u a				w e w e	w e w e										
838_66_nino			b a k u																						b a k a
842_66_nino					a ɺ á/a								á/a n i				a ɾ a p tʃ aː								
843_66_nino	g ə m ɨ 's/s i n ɨ						dʒ a b à/a									g ɨ m ɨ n t i n a				n ɔ b ɔ g ɾ e					
84_8_beber				dʒ á/a ŋ	dʒ a		dʒ ɪ		'j/j a ʔ a								tʃ aː			ɲ ã				i ɪ́/ɪ	
850_67_no					k ɪ́/ɪ		k á/a								k e										
851_67_no														t e							t				
852_67_no								s a n				s a						s a	s						s a
854_67_no						m e											eː p e								
860_67_no	u ʔ															u n g									
868_68_noche																		p u k t a							p u k a
872_68_noche							t a u í/i d ã̀/ã										t i uː ɾ i k aː								
880_68_noche	's/s e i a ʔ		s ẽ ẽ						'ʃ/ʃ e j k a ɾ a	t s a	's/s i h n a k a	's/s e s ɯ n				ʃ e									
881_69_nosotros														a p i n a n	p i n a n i										
883_69_nosotros																		j a ŋ + n a							j a ŋ + n a
886_69_nosotros																				n ũ		n u s u t			
888_69_nosotros	'n/n í/i w i			d ì/i ʔ + ɾ ó/o x k																					
889_69_nosotros					s ǎ/a ʔ		s á/a																		
898_69_nosotros			t i ɲ i							tʲ i e															
899_70_nube														t s o p a t a	t s 'u/u p a										
89_8_beber	a ʔ g															a n g a									
8_2_amarillo																		l a l a h n i	l a l a l h n i						l a l a h k a
900_70_nube	'm/m ə ɲ ɨ			b ó/o k	b ṍ/õ	b o g a	b õ̀/õ	a m u	b o w 'a/a ɾ a	ʔ a o a	m o n s e	'm/m a u i	b ó/o k á/a l a			m o ɲ a	p i uː	m u k u s		m ɯ t a			m o l a	ɸ ó/o ŋ	m u k u s
905_71_nuevo														t u j a	t u j a										
906_71_nuevo	'a/a b i t i							m i s i n a n	'i/i b s o j a	β i h i t s a		a 'b/b i s a				a m b ɨ 's/s i		w i s a m		m ɣ t ɣ		a b iː s a	p iː n i		
914_71_nuevo											't/t a k e ʔ													t à/a g ɺ ɪ́/ɪ ŋ	
918_72_oir														e n	e n i										
919_72_oir			a n aː					a r a	ɾ a ʔ	n ɨ p k u a									w a l						
920_72_oir																	t a iː k i	d a k a							d a k a
922_72_oir																						a l k u k		k ú/u k	
923_72_oir	'n/n o ʔ k w			d ó/o x k		tʃ u g e					n o k	'n/n u k				n ɨ h 'k/k w a				n u					
924_72_oir					s t s ɪ		k s ɪ																		
927_73_ojo														s a r i n	s a p										
929_73_ojo																		m a k p a							m a k d a k a
931_73_ojo	'u/u m ɨ		oː		u ʊ́/ʊ b a ɺ à/a	g w a g w a	u ʊ́/ʊ b a ɺ à/a		'u/u b a	u p k u a	w aː k w a	'u/u b a				u m a					w à/a	u p		b ò/o k u ò/o	
934_73_ojo													o k ó/o							o k w ɔ					
936_74_oler														s u i s	ʃ u ʃ i										
937_74_oler								a l a w a										w a l a p							
93_9_blanco														s o k o	ʃ o k o										
944_74_oler					a ɺ á/a + s t s ɪ		h a ɺ a + s ɪ													ɾ ɔ s e					
956_75_oreja															t o k o r o		t o k oː								
958_75_oreja								t u p a										t a p a							t a p a
95_9_blanco																		p i h n i	p i h n i						p i h k a
961_75_oreja	'k/k u k w ɨ		k o k t i	k u á/a g à/a x	k u k ʊ́/ʊ		k u k ʊ́/ʊ		k u h + k 'a/a h a	k u h u + k a	k uː s a + k a	'k/k u + k a	k u + g á/a			k 'u/u + k w a						k u + k aː		k u ò/o ŋ + u ó/o	
962_75_oreja						o l o														o l o					
965_76_padre								w a p a						p a p a				p a p a ŋ					p a p a		p a p a ŋ
967_76_padre																					t ùː/uː s	t u ŋ			
971_76_padre	'k/k a k ɨ	k á/a k e					k á/a k à/a																	kʰ ó/o k	
975_76_padre												'h/h a t e				a d e									
978_76_padre			t a i k d a						t e 't/t a																
979_77_pequeno					t s ǐ/i d			tʃ i k i					c h i t a l		t s 'i/i r i ʃ k i				s i r p i	tʃ i				t í/i ɾ à/a	
97_9_blanco					s a d ǔ/u d ǔ/u		s a d ú/u ù/u															p l uː m a			
981_77_pequeno																		b i + n i							b a + k a
990_77_pequeno	i n 'g/g ɨ k a w a									i n ɣ e + t s u n ɣ a															
995_78_perro														s u j	ʃ u ʃ u			s u l u			ʃ ú/u ʃ ù/u				s u l u
