ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,English_Gloss_in_Source,French_Gloss_in_Source
Afade-182_eagle-1,430df3e6-a7d4-4773-be24-562351c1be72,Afade,182_eagle,nkˈale,nkˈale,n k ʔ a l e,,allisonnd,12983,,^ n k ˈ a l e $,default,eagle,aigle
Bata-182_eagle-1,007e6645-2480-4089-b8fa-54943ad33439,Bata,182_eagle,lyàra,lyàra,l j a r a,,boyd2005;pweddon2001,591,,^ l y à r a $,default,eagle,
Bata-182_eagle-2,61945155-2374-45de-a555-4a66d5fe76b1,Bata,182_eagle,kpaawe,kpaawe,k p aː w e,,boyd2005;pweddon2001,10642,,^ k p aa w e $,default,eagle,
Buwal-182_eagle-1,76ad10a6-961e-4c49-abd7-734d174cd0ac,Buwal,182_eagle,zɑl,zɑl,z ɑ l,,viljoenproga,13545,,^ z ɑ l $,default,eagle,aigle
Cuvok-182_eagle-1,ff2d3a43-ac47-415c-9ad2-42ddfcff7b01,Cuvok,182_eagle,mewerwer,mewerwer,m e w e r w e r,,ndokobaiproga,12740,,^ m e w e rw e r $,default,eagle,aigle
Dugwor-182_eagle-1,c43020d6-ff2a-4505-b77b-26c11e4487a4,Dugwor,182_eagle,hetew,hetew,h e t e w,,gravina2004,13566,,^ h e t e w $,default,eagle,aigle
Gavar-182_eagle-1,783ef401-cd7b-47de-91c6-e7ef0f366d7d,Gavar,182_eagle,zəl,zəl,z ə l,,viljoenprogb,6386,,^ z ə l $,default,eagle,aigle
Gemzek-182_eagle-1,e1ef7df6-6de8-40dd-bcbc-040526de3cba,Gemzek,182_eagle,mevetew,mevetew,m e v e t e w,,gravinanda,17469,,^ m e v e t e w $,default,eagle,aigle
GizigaMarva-182_eagle-1,42c28802-8b91-4283-9262-a3fceed913a3,GizigaMarva,182_eagle,mulo,mulo,m u l o,,gravina2004,15228,,^ m u l o $,default,eagle,aigle
KamweFutu-182_eagle-1,21a0bba2-7463-4c73-842a-5d8efc625456,KamweFutu,182_eagle,zilo,zilo,z i l o,,harley2009a,15778,,^ z i l o $,default,eagle,
Kanuri-182_eagle-1,c82fa909-1c80-4f36-a505-3726ff92c737,Kanuri,182_eagle,kówu,kówu,k o w u,,,12983,,^ k ów u $,default,eagle,aigle
Lagwan-182_eagle-1,7ad96f8f-f48f-4cb1-9057-ecb2d3756524,Lagwan,182_eagle,masɨlankai,masɨlankai,m a s ɨ l a n k a i,,shryocknd,12983,,^ m a s ɨ l a n k a i $,default,eagle,aigle
Malgbe-182_eagle-1,b0f49b92-e87f-4119-997f-65731f0b820f,Malgbe,182_eagle,gal,gal,g a l,,allisonnd,12983,,^ g a l $,default,eagle,aigle
Mbara-182_eagle-1,104b0c5a-3ed7-47cb-9690-88d003410065,Mbara,182_eagle,gaʼbur,gaʼbur,g a ʔ b u r,,tourneux1986,5127,,^ g a ʼ b u r $,default,eagle,aigle
Mbudum-182_eagle-1,46d0ced5-2f07-4faa-8007-e8d80423efc0,Mbudum,182_eagle,mudʒup,mudʒup,m u dʒ u p,,ndokobaiprogb,7906,,^ m u dʒ u p $,default,eagle,aigle
Mbuko-182_eagle-1,3450e4b8-49fe-4380-8e28-bfabc47baba3,Mbuko,182_eagle,zləba,zləba,ɮ ə b a,,gravinaprog,3284,,^ zl ə b a $,default,eagle,aigle
Mpade-182_eagle-1,4fb9a39e-a36d-4e5d-9527-0b3963e7fc0d,Mpade,182_eagle,nkˈwale,nkˈwale,n k ʔ w a l e,,allisonnd,12983,,^ n k ˈ w a l e $,default,eagle,aigle
Muyang-182_eagle-1,95c9a92b-c745-4ad2-a345-744ce333e835,Muyang,182_eagle,məjuv,məjuv,m ə j u v,,smith,13957,,^ m ə j u v $,default,eagle,aigle
Nyimatli-182_eagle-1,91b51cb5-13b0-4c87-91d7-abe540f5efe9,Nyimatli,182_eagle,jijang,jijang,j i j a n g,,,20160,,^ j i j a n g $,default,eagle,
Ouldeme-182_eagle-1,50e2f705-b8cf-4c50-b917-0731328592df,Ouldeme,182_eagle,zə́ló,zəló,z ə l o,,kinnairdproga,17397,,^ z ə l ó $,default,eagle,aigle
Vame-182_eagle-1,09a188c7-cc12-4988-8dbd-6d58cbc6def6,Vame,182_eagle,zə́lé,zəlé,z ə l e,,kinnairdprogb,3321,,^ z ə l é $,default,eagle,aigle
Afade-183_ear-1,ca90789e-f118-42a0-9d1d-d992f4a65db7,Afade,183_ear,slɨm,slɨm,ɬ ɨ m,,allisonnd,15721,,^ sl ɨ m $,default,ear,oreille
Buduma-183_ear-1,bdc9f253-40ff-4165-aef1-9551b3c54420,Buduma,183_ear,həmuə,həmuə,h ə m u ə,,mckone2009,15721,,^ h ə m u ə $,default,ear,oreille
Buwal-183_ear-1,10242867-66d4-4d75-9f3a-42a763587727,Buwal,183_ear,zlɑm,zlɑm,ɮ ɑ m,,viljoenproga,7826,,^ zl ɑ m $,default,ear,oreille
Cuvok-183_ear-1,f4fdcf0d-dd70-45c9-9c99-3ae6d1e80e07,Cuvok,183_ear,zləmay,zləmay,ɮ ə m a j,,ndokobaiproga,19277,,^ zl ə m a y $,default,ear,oreille
Dghwede-183_ear-1,fdf90bfb-0f78-4748-9fc0-351d078f0bd9,Dghwede,183_ear,sləme,sləme,ɬ ə m e,,frick1977,6367,,^ sl ə m e $,default,ear,
Dugwor-183_ear-1,1aedbb6f-c53e-43d7-a735-c4fceefdb3ff,Dugwor,183_ear,zlam,zlam,ɮ a m,,gravina2004,1011,,^ zl a m $,default,ear,oreille
Fulfulde-183_ear-1,52c9c0d3-5c5d-4343-9d0b-995ff981b29a,Fulfulde,183_ear,nofru,nofru,n o f r u,,,10786,,^ n o f r u $,default,ear,oreille
Gavar-183_ear-1,c9571c6d-99b3-4d56-8056-7b5cba6eedc6,Gavar,183_ear,zləm,zləm,ɮ ə m,,viljoenprogb,4068,,^ zl ə m $,default,ear,oreille
Gemzek-183_ear-1,f42e598f-8899-442c-8278-9d0a88212a22,Gemzek,183_ear,zlam,zlam,ɮ a m,,gravinanda,15157,,^ zl a m $,default,ear,oreille
GizigaMarva-183_ear-1,993b480a-ca36-49c6-9d92-46362484beaa,GizigaMarva,183_ear,slimeɗ,slimeɗ,ɬ i m e ɗ,,gravina2004,14510,,^ sl i m e ɗ $,default,ear,oreille
KamweFutu-183_ear-1,ef8429a8-d605-4dd9-aad3-dc7441a55074,KamweFutu,183_ear,tlimong,tlimong,t l i m o n g,,harley2009a,3455,,^ t l i m o n g $,default,ear,
Kanuri-183_ear-1,bdcf5f22-2a0c-4f54-b39b-9451c03fce85,Kanuri,183_ear,sə́mo,səmo,s ə m o,,,15721,,^ s ə m o $,default,ear,oreille
Lagwan-183_ear-1,57525665-c780-4255-bb2b-44aa5fda9fd5,Lagwan,183_ear,slɨmi,slɨmi,ɬ ɨ m i,,shryocknd,15721,,^ sl ɨ m i $,default,ear,oreille
Malgbe-183_ear-1,e26a09e0-dcd8-46de-9432-9091ca868c45,Malgbe,183_ear,slɨm,slɨm,ɬ ɨ m,,allisonnd,15721,,^ sl ɨ m $,default,ear,oreille
Margi-183_ear-1,48aac907-ff32-40a1-8b26-a2b9dc706dd0,Margi,183_ear,tlimi,tlimi,t l i m i,,hoffmann1963,20488,,^ t l i m i $,default,ear,
MargiS-183_ear-1,0d997916-70b8-4b6b-99cc-031d8d5cf498,MargiS,183_ear,himi,himi,h i m i,,harleyndb,13316,,^ h i m i $,default,ear,
Mazera-183_ear-1,9340f7d2-ad7b-4eda-9788-03cb837a0a21,Mazera,183_ear,sime,sime,s i m e,,allisonnd,15721,,^ s i m e $,default,ear,oreille
Mbara-183_ear-1,8f477aaa-eaf7-4b1e-9c1b-363835c4cb81,Mbara,183_ear,slumo,slumo,ɬ u m o,,tourneux1986,1779,,^ sl u m o $,default,ear,
Mbazla-183_ear-1,7f5e92e6-bb83-452e-99b7-db8694d344c7,Mbazla,183_ear,shímɛ̄ʼ,shímɛ̄ʼ,ʃ i m ɛ ʔ,,seignobos1984;tourneux1987,4442,,^ sh í m ɛ̄ʼ $,default,ear,oreille
Mbudum-183_ear-1,3e3f237b-489f-4d7c-b046-013689778eb6,Mbudum,183_ear,ɮəm,ɮəm,ɮ ə m,,ndokobaiprogb,14608,,^ ɮ ə m $,default,ear,oreille
Mbuko-183_ear-1,b5c05c0c-13bb-45b0-9e4f-ffb8b9518dd1,Mbuko,183_ear,sləmay,sləmay,ɬ ə m a j,,gravinaprog,708,,^ sl ə m a y $,default,ear,oreille
Merey-183_ear-1,3df8e20e-e141-4539-9276-e23772dffcae,Merey,183_ear,zləm,zləm,ɮ ə m,,gravinaetalprog,13154,,^ zl ə m $,default,ear,oreille
Merey-183_ear-2,c6cd1df1-b7a0-4da4-8ffd-30e885677806,Merey,183_ear,zləm,zləm,ɮ ə m,,gravinaetalprog,13154,,^ zl ə m $,default,ear,oreille
MofuGudur-183_ear-1,66d7ceed-b5cf-430f-899b-7b8c0b9ca827,MofuGudur,183_ear,sləmay,sləmay,ɬ ə m a j,,barreteau1988,20439,,^ sl ə m a y $,default,ear,oreille
Moloko-183_ear-1,05eda5a3-6a95-4c0b-b28e-711a4daf396b,Moloko,183_ear,zlam,zlam,ɮ a m,,friesennd,15090,,^ zl a m $,default,ear,oreille
Mpade-183_ear-1,943f055f-0176-4626-8523-2e93d68ed186,Mpade,183_ear,shimu,shimu,ʃ i m u,,allisonnd,15721,,^ sh i m u $,default,ear,oreille
Mser-183_ear-1,4dcc6421-0706-47fa-b6c8-4d1d7a5f31c8,Mser,183_ear,sɨm; tobo,sɨm,s ɨ m,,allisonnd,15721,,^ s ɨ m $,default,ear,oreille
Nyimatli-183_ear-1,0ef9db8e-5680-42bf-9343-0ec6639e1327,Nyimatli,183_ear,dlu̱m,dlu̱m,ɬ u m,,,2176,,^ dl u̱ m $,default,ear,
Ouldeme-183_ear-1,940a9601-dfdb-433b-860f-fb53e92ed5b1,Ouldeme,183_ear,slə̄māy,slə̄māy,ɬ ə m a j,,kinnairdproga,11174,,^ sl ə̄ m ā y $,default,ear,oreille
Sukur-183_ear-1,ccc85e43-16bb-44de-93e1-84f24187adf2,Sukur,183_ear,zləmay,zləmay,ɮ ə m a j,,david1996;thomasprog,7902,,^ zl ə m a y $,default,ear,
Vame-183_ear-1,3fd132e9-d1ac-4bb8-9bc8-bebf6ecbb9bb,Vame,183_ear,sləmay,sləmay,ɬ ə m a j,,kinnairdprogb,708,,^ sl ə m a y $,default,ear,oreille
Afade-184_early-1,f5ab33df-6d1d-49e0-8d11-331636fbbf55,Afade,184_early,tatin,tatin,t a t i n,,allisonnd,7476,,^ t a t i n $,default,early,"tôt, de bonne heure"
Bata-184_early-1,bcf55e54-dea6-4772-b769-fc211860c3e8,Bata,184_early,kpɨ́tkpɨ́t,kpɨtkpɨt,k p ɨ t k p ɨ t,,boyd2005;pweddon2001,2702,,^ k p ɨ t k p ɨ t $,default,early,
Buduma-184_early-1,10106561-fd3b-4878-9b1f-fb50d9d5b992,Buduma,184_early,date,date,d a t e,,mckone2009,7476,,^ d a t e $,default,early,"tôt, de bonne heure"
Cuvok-184_early-1,dbcd676a-3f77-467c-ae16-8c9ce8d79598,Cuvok,184_early,ta slam ɓal,ta_slam_ɓal,t a + ɬ a m + ɓ a l,,ndokobaiproga,16898,,^ t a _ sl a m _ ɓ a l $,default,early,"tôt, de bonne heure"
Dugwor-184_early-1,8b216e14-19bf-400b-8cf5-9627174e7a64,Dugwor,184_early,pərek,pərek,p ə r e k,,gravina2004,12428,,^ p ə r e k $,default,early,"tôt, de bonne heure"
Gavar-184_early-1,2ad2f8c7-09fa-448a-ac5f-9ccbb03f8c4b,Gavar,184_early,biŋ,biŋ,b i ŋ,,viljoenprogb,8322,,^ b i ŋ $,default,early,"tôt, de bonne heure"
Gemzek-184_early-1,bb29fcf6-de90-4399-a40a-267223246698,Gemzek,184_early,makode pərik,makode_pərik,m a k o d e + p ə r i k,,gravinanda,2837,,^ m a k o d e _ p ə r i k $,default,early,"tôt, de bonne heure"
GizigaMarva-184_early-1,b863f318-d756-44b4-a17b-4afee00f0535,GizigaMarva,184_early,ti liʼeŋ,ti_liʼeŋ,t i + l i ʔ e ŋ,,gravina2004,3729,,^ t i _ l i ʼ e ŋ $,default,early,"tôt, de bonne heure"
KamweFutu-184_early-1,0938cd11-6ed7-44c7-9309-2fdb6f4999bb,KamweFutu,184_early,camenkwa,camenkwa,c a m e n kʷ a,,harley2009a,16251,,^ c a m e n kw a $,default,early,
Kanuri-184_early-1,8dba96a1-29e6-43bf-9760-c038369cd959,Kanuri,184_early,daté ; datén,daté,d a t e,,,7476,,^ d a t é $,default,early,"tôt, de bonne heure"
Lagwan-184_early-1,cc3473e7-99b6-4183-9c70-4d6e4c5c0aae,Lagwan,184_early,sˈa,sˈa,s ʔ a,,shryocknd,7476,,^ s ˈ a $,default,early,"tôt, de bonne heure"
Malgbe-184_early-1,c30de027-8fce-42c6-82eb-c0829d38094c,Malgbe,184_early,daten,daten,d a t e n,,allisonnd,7476,,^ d a t e n $,default,early,"tôt, de bonne heure"
Mbudum-184_early-1,987a666a-853c-47ea-8ad1-843c43707178,Mbudum,184_early,vət,vət,v ə t,,ndokobaiprogb,8906,,^ v ə t $,default,early,"tôt, de bonne heure"
Mbuko-184_early-1,cc170ef8-ce40-4f41-a332-ea6012844084,Mbuko,184_early,pərek,pərek,p ə r e k,,gravinaprog,9908,,^ p ə r e k $,default,early,tôt
Merey-184_early-1,127ef02f-487a-4d4b-90ff-06cc03bf61c4,Merey,184_early,pərik,pərik,p ə r i k,,gravinaetalprog,19202,,^ p ə r i k $,default,early,"tôt, de bonne heure"
Merey-184_early-2,49caa401-cc51-4464-94c2-67d4dcb8e92f,Merey,184_early,mekedew,mekedew,m e k e d e w,,gravinaetalprog,2387,,^ m e k e d e w $,default,early,"tôt, de bonne heure"
Merey-184_early-3,cb394d15-23a4-415a-bbc4-a3839463b85e,Merey,184_early,diw,diw,d i w,,gravinaetalprog,11081,,^ d i w $,default,early,"tôt, de bonne heure"
Mpade-184_early-1,3eea40ff-bb4a-4f34-bad5-cbf483faea81,Mpade,184_early,dàtén,dàtén,d a t e n,,allisonnd,7476,,^ d à t é n $,default,early,"tôt, de bonne heure"
Mpade-184_early-2,7412bf79-4160-49aa-bef6-315c1dd11732,Mpade,184_early,bázàr,bázàr,b a z a r,,allisonnd,628,,^ b á z à r $,default,early,"tôt, de bonne heure"
Mser-184_early-1,f7b1aeb5-012a-4c54-bd4d-2df473597990,Mser,184_early,daten,daten,d a t e n,,allisonnd,7476,,^ d a t e n $,default,early,"tôt, de bonne heure"
Nyimatli-184_early-1,3f8d06cd-a321-443a-82a6-48a7bfa6619c,Nyimatli,184_early,ɗau,ɗau,ɗ a u,,,17964,,^ ɗ a u $,default,early,
ShoaArabic-184_early-1,10cd1d75-cfdd-4256-983c-545fb6e1d7de,ShoaArabic,184_early,badri,badri,b a d r i,,,7476,,^ b a d r i $,default,early,"tôt, de bonne heure"
ShoaArabic-184_early-2,5b5069b6-3714-458a-89f7-e5052e7528a2,ShoaArabic,184_early,badri,badri,b a d r i,,,628,,^ b a d r i $,default,early,"tôt, de bonne heure"
Vame-184_early-1,6dc81c86-5eec-45f6-9435-f1dcc6a06f8c,Vame,184_early,dyúwá álà gùrzlàk,dyúwá_álà_gùrzlàk,d j u w a + a l a + g u r ɮ a k,,kinnairdprogb,11410,,^ d y ú w á _ á l à _ g ù r zl à k $,default,early,de_bon_matin
Vame-184_early-2,8c84b33d-74d0-43b0-8df3-5225c6706b4d,Vame,184_early,āríyápə́n,āríyápən,a r i j a p ə n,,kinnairdprogb,6249,,^ ā r í y á p ə n $,default,early,tôt
Buwal-185_earring-1,103fd910-e9a9-41e6-a062-60bb51792ff8,Buwal,185_earring,dɛ̄ʃ mɑ́ŋɮɑ̂m,dɛ̄ʃ_mɑŋɮɑ̂m,d ɛ ʃ + m ɑ ŋ ɮ a m,,viljoenproga,16545,,^ d ɛ̄ ʃ _ m ɑ ŋ ɮ ɑ̂ m $,default,earring,boucle d'oreille
Cuvok-185_earring-1,5f93a129-b9b2-4e43-818c-50d54d996be2,Cuvok,185_earring,jeŋ ta zləmay,jeŋ_ta_zləmay,j e ŋ + t a + ɮ ə m a j,,ndokobaiproga,9660,,^ j e ŋ _ t a _ zl ə m a y $,default,earring,boucle d'oreille
Dugwor-185_earring-1,f1fd4d11-4b3d-45f8-8958-e01bcad6af22,Dugwor,185_earring,wiyslam,wiyslam,w i j ɬ a m,,gravina2004,17904,,^ w i y sl a m $,default,earring,boucle d'oreille
Gavar-185_earring-1,18ffd0b4-5a24-43dc-905d-ab478a0bae95,Gavar,185_earring,gəlemgəlem,gəlemgəlem,g ə l e m g ə l e m,,viljoenprogb,12810,,^ g ə l e m g ə l e m $,default,earring,boucle d'oreille
Gemzek-185_earring-1,b36a51b5-96a5-4d83-9762-74c8ff917293,Gemzek,185_earring,zlər kutsom,zlər_kutsom,ɮ ə r + k u ts o m,,gravinanda,10972,,^ zl ə r _ k u ts o m $,default,earring,boucle d'oreille
GizigaMarva-185_earring-1,255ffcb5-1257-49db-aa11-21fef6aa84d7,GizigaMarva,185_earring,gwat slimeɗ hay,gwat_slimeɗ_hay,gʷ a t + ɬ i m e ɗ + h a j,,gravina2004,4015,,^ gw a t _ sl i m e ɗ _ h a y $,default,earring,boucle d'oreille
Hausa-185_earring-1,e3122646-1606-414d-a979-25d2bb4ee59c,Hausa,185_earring,// abukune,abukune,a b u k u n e,,,18510,,^ a b u k u n e $,default,earring,boucle d'oreille
KamweFutu-185_earring-1,d6f40a37-3de6-47d9-bcf8-324aeae44a33,KamweFutu,185_earring,wsimətlimo,wsimətlimo,w s i m ə t l i m o,,harley2009a,15486,,^ ws i m ə t l i m o $,default,earring,
Lagwan-185_earring-1,da24586e-69ba-4f1a-9c5e-93ee0029c12d,Lagwan,185_earring,ghwe i slɨmaye,ghwe_i_slɨmaye,gʷʱ e + i + ɬ ɨ m a j e,,shryocknd,2161,,^ ghw e _ i _ sl ɨ m a y e $,default,earring,boucle d'oreille
Malgbe-185_earring-1,0ba9d098-8a21-4dcd-88a7-ef63dfd92c7c,Malgbe,185_earring,madrushɨ,madrushɨ,m a d r u ʃ ɨ,,allisonnd,2161,,^ m a d r u sh ɨ $,default,earring,boucle d'oreille
Mbudum-185_earring-1,face6558-3f72-4720-92e3-7fab232f8869,Mbudum,185_earring,səkəŋ tə zləm,səkəŋ_tə_zləm,s ə k ə ŋ + t ə + ɮ ə m,,ndokobaiprogb,14773,,^ s ə k ə ŋ _ t ə _ zl ə m $,default,earring,boucle d'oreille
Merey-185_earring-1,e642a660-1139-4ed6-933d-405afebfed47,Merey,185_earring,zi zlam,zi_zlam,z i + ɮ a m,,gravinaetalprog,8827,,^ z i _ zl a m $,default,earring,boucle d'oreille
Mpade-185_earring-1,16859381-efb4-470a-accf-0bc31e14192c,Mpade,185_earring,wè i shíme,wè_i_shíme,w e + i + ʃ i m e,,allisonnd,20109,,^ w è _ i _ sh í m e $,default,earring,boucle d'oreille
Mpade-185_earring-2,b1077f21-7c86-4885-be4f-18a5bb508ec1,Mpade,185_earring,madrushi,madrushi,m a d r u ʃ i,,allisonnd,2161,,^ m a d r u sh i $,default,earring,boucle d'oreille
Mpade-185_earring-3,dced9543-01e1-4d86-9b41-4873af4beac5,Mpade,185_earring,àbúnkúné,àbúnkúné,a b u n k u n e,,allisonnd,18510,,^ à b ú n k ú n é $,default,earring,boucle d'oreille
Mser-185_earring-1,92dc649b-63f4-4f0f-b46a-fc9596a42f83,Mser,185_earring,we sɨme,we_sɨme,w e + s ɨ m e,,allisonnd,2161,,^ w e _ s ɨ m e $,default,earring,boucle d'oreille
Nyimatli-185_earring-1,f60b8c0b-4309-468b-b411-0d14a9af392f,Nyimatli,185_earring,dye dlu̱m,dye_dlu̱m,d j e + ɬ u m,,,8988,,^ d y e _ dl u̱ m $,default,earring,
ShoaArabic-185_earring-1,53028975-0d50-498f-b7eb-9213453b95a7,ShoaArabic,185_earring,xurûs,xurûs,x u r u s,,,18510,,^ x u r ûs $,default,earring,boucle d'oreille
ShoaArabic-185_earring-2,596d667a-525b-4f1a-929c-2d4017f4dcd7,ShoaArabic,185_earring,xurûs,xurûs,x u r u s,,,2161,,^ x u r ûs $,default,earring,boucle d'oreille
ShoaArabic-185_earring-3,f552b6e6-4b5c-4636-bf08-99a17b9b84fe,ShoaArabic,185_earring,xurûs,xurûs,x u r u s,,,20109,,^ x u r ûs $,default,earring,boucle d'oreille
Afade-186_earthworm-1,b2853c16-ed62-4620-9288-e94c39d3b064,Afade,186_earthworm,dɨɗi,dɨɗi,d ɨ ɗ i,,allisonnd,13484,,^ d ɨ ɗ i $,default,earthworm,ver de terre
Bata-186_earthworm-1,6b1de2cf-59c4-47a9-806d-f01780e6ac71,Bata,186_earthworm,jàlkàte,jàlkàte,j a l k a t e,,boyd2005;pweddon2001,3533,,^ j à l k à t e $,default,earthworm,
Buwal-186_earthworm-1,957b51cf-468c-40d3-be2f-75e2f776ef6d,Buwal,186_earthworm,zɑzrɑɗ,zɑzrɑɗ,z ɑ z r ɑ ɗ,,viljoenproga,2601,,^ z ɑ z r ɑ ɗ $,default,earthworm,ver de terre
Cuvok-186_earthworm-1,614f959c-655a-4b9a-8d2b-36864f98e079,Cuvok,186_earthworm,mazarɗay,mazarɗay,m a z a r ɗ a j,,ndokobaiproga,18850,,^ m a z a r ɗ a y $,default,earthworm,ver de terre
Dugwor-186_earthworm-1,ff5b9f93-45c4-4db6-b902-5c5e3e7f1d53,Dugwor,186_earthworm,məndəgweɗek,məndəgweɗek,m ə n d ə gʷ e ɗ e k,,gravina2004,8015,,^ m ə n d ə gw e ɗ e k $,default,earthworm,ver de terre
Gavar-186_earthworm-1,d48d6ece-75c3-42fd-b590-31814a1eb9df,Gavar,186_earthworm,zɑzrɑɗ,zɑzrɑɗ,z ɑ z r ɑ ɗ,,viljoenprogb,948,,^ z ɑ z r ɑ ɗ $,default,earthworm,ver de terre
Gemzek-186_earthworm-1,9419f3d4-46a9-445c-86bd-46a6ec5145e0,Gemzek,186_earthworm,mazərmaɗ,mazərmaɗ,m a z ə r m a ɗ,,gravinanda,3582,,^ m a z ə r m a ɗ $,default,earthworm,ver de terre
GizigaMarva-186_earthworm-1,ea61332a-e6ae-4ef5-a7f5-a4f73f15fc7d,GizigaMarva,186_earthworm,zindərɗa,zindərɗa,z i n d ə r ɗ a,,gravina2004,10737,,^ z i n d ə r ɗ a $,default,earthworm,ver de terre
KamweFutu-186_earthworm-1,ab8ea991-33eb-4ee5-ac00-de092995682c,KamweFutu,186_earthworm,mizhendəraɗi,mizhendəraɗi,m i ʒ e n d ə r a ɗ i,,harley2009a,7952,,^ m i zh e n d ə r a ɗ i $,default,earthworm,
Kanuri-186_earthworm-1,70f83014-8246-44b8-894e-9f80d497f7bb,Kanuri,186_earthworm,kasúsu,kasúsu,k a s u s u,,,13484,,^ k a s ú s u $,default,earthworm,ver de terre
Lagwan-186_earthworm-1,e1ed5ad5-a7c6-489a-a4bb-cf5544c10014,Lagwan,186_earthworm,tɨlɗi,tɨlɗi,t ɨ l ɗ i,,shryocknd,13484,,^ t ɨ l ɗ i $,default,earthworm,ver de terre
Malgbe-186_earthworm-1,ce84ce4a-a182-4dde-9df5-592779385efc,Malgbe,186_earthworm,taɗi,taɗi,t a ɗ i,,allisonnd,13484,,^ t a ɗ i $,default,earthworm,ver de terre
Margi-186_earthworm-1,592846a5-e4f5-4178-90f0-5359df0d27b9,Margi,186_earthworm,siɗəm,siɗəm,s i ɗ ə m,,hoffmann1963,10334,,^ s i ɗ ə m $,default,earthworm,
Mbudum-186_earthworm-1,7fd5ce0d-00ba-4155-9115-0c545ced96f5,Mbudum,186_earthworm,zuŋzurəɗ,zuŋzurəɗ,z u ŋ z u r ə ɗ,,ndokobaiprogb,10206,,^ z u ŋ z u r ə ɗ $,default,earthworm,ver de terre
Merey-186_earthworm-1,1d9c599a-b1e3-4cbb-8a57-a4832c5c0a55,Merey,186_earthworm,mazərməmaɗ,mazərməmaɗ,m a z ə r m ə m a ɗ,,gravinaetalprog,9252,,^ m a z ə r m ə m a ɗ $,default,earthworm,ver de terre
Mpade-186_earthworm-1,64dba90f-1523-4341-ac5d-f315172bd430,Mpade,186_earthworm,ɗɨ̀sè,ɗɨsè,ɗ ɨ s e,,allisonnd,13484,,^ ɗ ɨ s è $,default,earthworm,ver de terre
Mser-186_earthworm-1,796b7186-8b60-42b9-9678-fd863e9fc58a,Mser,186_earthworm,taɗi; ntaɗi,taɗi,t a ɗ i,,allisonnd,13484,,^ t a ɗ i $,default,earthworm,ver de terre
Nyimatli-186_earthworm-1,23294683-1edf-465e-af99-6c6be8684105,Nyimatli,186_earthworm,zarnana,zarnana,z a r n a n a,,,5573,,^ z a r n a n a $,default,earthworm,
Ouldeme-186_earthworm-1,bbd78115-aeea-434f-aafb-22b909c7580a,Ouldeme,186_earthworm,mə̀tàtàsl,mətàtàsl,m ə t a t a s l,,kinnairdproga,15638,,^ m ə t à t às l $,default,earthworm,ver de terre
Vame-186_earthworm-1,3abfb49e-f8f0-4c85-a878-3ff6670856ee,Vame,186_earthworm,àzə̀m tə̀ndày hígày,àzəm_təndày_hígày,a z ə m + t ə n d a j + h i g a j,,kinnairdprogb,3902,,^ à z ə m _ t ə n d à y _ h í g à y $,default,earthworm,ver de terre
Afade-187_east-1,a52d0a1b-55c5-4436-a3c6-4ea2df3282ba,Afade,187_east,gɨdi,gɨdi,g ɨ d i,,allisonnd,6023,,^ g ɨ d i $,default,east,Est
Buduma-187_east-1,76ab1cab-96e8-4bae-903e-11f148bca381,Buduma,187_east,dì,dì,d i,,mckone2009,6023,,^ d ì $,default,east,Est
Buwal-187_east-1,2e48d936-0c77-459b-8603-60ee6092fb7c,Buwal,187_east,uzɑ dɑbɑ,uzɑ_dɑbɑ,u z ɑ + d ɑ b ɑ,,viljoenproga,16039,,^ u z ɑ _ d ɑ b ɑ $,default,east,Est
Cuvok-187_east-1,a27ff65c-7a7a-4f29-92a8-4f0ecd2ccd64,Cuvok,187_east,bəlam,bəlam,b ə l a m,,ndokobaiproga,3850,,^ b ə l a m $,default,east,Est
Dugwor-187_east-1,f96f4a4a-6563-4b19-8fbc-47015d240a7a,Dugwor,187_east,ligwa,ligwa,l i gʷ a,,gravina2004,16564,,^ l i gw a $,default,east,Est
Gemzek-187_east-1,11c47ee8-ff34-4037-a623-87fd518233e3,Gemzek,187_east,i diya gwa,i_diya_gwa,i + d i j a + gʷ a,,gravinanda,13387,,^ i _ d i y a _ gw a $,default,east,Est
KamweFutu-187_east-1,ffdd9072-ac93-48c3-b997-b3bf3f2afcb3,KamweFutu,187_east,zivaghumo,zivaghumo,z i v a gʱ u m o,,harley2009a,5829,,^ z i v a gh u m o $,default,east,
Kanuri-187_east-1,b46225b1-10ed-4dd1-b446-c516e4443157,Kanuri,187_east,gədí / gə́dí,gədí,g ə d i,,,6023,,^ g ə d í $,default,east,Est
Lagwan-187_east-1,d19eb5bb-a81d-4cbb-b22f-f1018e6f6131,Lagwan,187_east,xuse vɨni,xuse_vɨni,x u s e + v ɨ n i,,shryocknd,6023,,^ x u s e _ v ɨ n i $,default,east,Est
Malgbe-187_east-1,85bad507-532e-4c1d-bab3-51df69bc5990,Malgbe,187_east,gɨdi,gɨdi,g ɨ d i,,allisonnd,6023,,^ g ɨ d i $,default,east,Est
Maltam-187_east-1,6f9eb830-94b2-42bd-97ec-d2b882322b6c,Maltam,187_east,gɨdɨ,gɨdɨ,g ɨ d ɨ,,allisonnd,6023,,^ g ɨ d ɨ $,default,east,Est
