Cognate_ID,Afade,Bata,Buduma,Buwal,Cuvok,Dghwede,Dugwor,Fulfulde,Ga,Gavar,Gemzek,GizigaMarva,GizigaMoutourwa,Hausa,Hwana,KamweFutu,Kanuri,Kilba,Lagwan,Lamang,Malgbe,Maltam,Margi,MargiS,Mazera,Mbara,Mbazla,Mbudum,Mbuko,Merey,MofuGudur,Moloko,Mpade,Mser,Musgum,Muyang,Nyimatli,Ouldeme,Psikye,Sharwa,ShoaArabic,Sukur,Vame,Zina
12177_202_everywhere,,,,,,,,,,,,,,,,,,,m b a + ɨ n + t a + m a,,a + h o + d i + b e,,,,,,,,,,,,n g o + l e + m a,d a + h a k i + f o e,,,,,,,,,,f u n a + d e + k a l
12226_145_crow,h a g ɨ,,,,,,,,,,,,,,,,,,,,h a g ɨ,,,,,,,,,,,,h a g ɨ,,,,,,,,,,,
12232_504_roast,,,,,,,,,,,,,,,,,,,,,f i a w u n,,,,,,,,,,,,,v i o w,,,,,,,,,,
12244_52_behind,ɓ ɨ l ɨ m,,k a j + ɗ ə,,,,,,,,,,,,,,,,j a h ɨ,,a + ɓ ɨ l ɨ m,,,,,,,,,,,,ɓ ɨ l ɨ m,ɓ ɨ l ɨ m,,,,,,,,,,m a + l j a
12259_586_stone,g ɨ l g a m,,,,,,,,,,,,,,,,d o n g o r,,n kʷ a l a m,,g a l g a m,,,,k a r k a r e,,,,,,,,d u n g u r,kʷ a l a m,,,,,,,m u n g a r,,,k a n k a r a
12260_50_begin,t a h e,,c u ə l,,,,,,,,,,,,,,b a d i n g i n,,ɬ u n + h e,,h ɨ n d ɨ + b a d ɨ,,,,,,,,,,,,h ɨ n + b a d i,s a k a j,,,,,,,b a d a,,,j i kʷ a + f i
12268_205_eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d e j,,,,,,,,,,,,,
12268_348_knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d e j,,,,,,,,,,,,,
12292_548_singe,,,,,,,,,,,,,,,,,,,g ɨ l a w u n + k ɨ s k e,,,,,,,,,,,,,,,g l a,,,,,,,,,,
12297_283_begreen,,,,,,,,,,,,,,,,,k ə l i,,k a t r a p u,,j a + ɬ ɨ r g ɨ,,,,,,,,,,,,ʃ i r g ɨ,z ɨ rʱ ɨ,,,,,,,a x a d a r,,,k a t r a ɓ ə
12299_32_back,,,,,,,d ə b a,,,,d ə b a,,,,,,,,,,,,,,,,,,,d ə b a,,,,,,,,,,,,,,
12305_475_price,,,,,,,,s a m a n,,,,,,,,,t a m a,,t a m a n,,,,,,,,,,,,,,t a m a n,t a m a n,,,,,,,t a m a n,,,
12334_119_clan,,,,,,,,,,ʃ i ŋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12334_212_family,,,,,,,,,,ʃ i ŋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12334_522_seed,,,,,,,,,,ʃ i ŋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12341_416_mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m e j,,,,,,,,,,,,,
12341_702_word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m e j,,,,,,,,,,,,,
12344_91_burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h ə r,,,,,,,,
12361_149_cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɬ a,,,,,,,,,,ɬ a,,,,ɬ a w a,
1241_328_husband,,,,m ɑ w ɑ l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241_387_manmale,,,,m ɑ w ɑ l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441_142_cricket,,,,,,,,,,,,,,,,,,,m ɨ s ʔ e n i,,m s ʔ e r i,,,,,,,,,,,,,n s ʔ e r i,,,,,,,,,,
12466_477_prostitute,,,,,,,,,,,,,,,,,k ə n z ə n a,,,,,,,,,,,,,,,,m a n i + n z ɨ n a,,,,,,,,z i n a,,,
12467_474_preparefoodtocook,ts e l,,,,,,,,,,,,,,,,,,z e l + t l ʔ a,,s e d ɨ + k p a,,,,,,,,,,,,,,,,,,,,,,,
12472_257_forty40,d ɨ g ɨ n + g a s i,,h ə k a n + h ə g a j,,,,,,,,,,,,,,f i d e g ə,,t ɨ k ɨ m + x s ɨ ɗ a,,b l e + g e n,,,,,,,,,,,,m b ɨ l o s k a s i,t ɨ k ɨ m + k i c o,,,,,,,a r b a i n,,,a r b a i m
12483_694_wife,,,n g ə r ə m,,,,,,,,,,,,,,,,,,g r ɨ m + g ɨ,,,,,,,,,,,,g ɨ r ɨ m,g ɨ r ɨ m,,,,,,,,,,
12499_298_hare,m ts ɨ lʷ o,,,,,,,,,,,,,,,,,,,,m s ɨ lʷ a,m s ɨ lʷ o,,,,,,,,,,,m s ɨ lʷ o,,,,,,,,,,,
12511_232_fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɑ k u,,,,,,,,
12521_330_hyena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d ə gʷ a v a,,,d u g u v u,,
12554_10_all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m i t,,,,,,,,
12557_632_thumb,,,,,,,,,,,,,,,,,,,m ɨ gʱ a + d u gʱ u m,,d u m,,,,,,,,,,,,n o w o + s ɨ + d u m u,p a b a + d u m o,,,,,,,,,,
12644_266_gift,,,,,,,,,,,,,,,,,,,m a t a b i s,,k r e,,,,,,,,,,,,m u s a d a,m a t a b i s,,,,,,,m u s a ʔ a d a,,,
12662_669_vine,,,,,,,,,,,,,,,,,k a i l a,,l i l i a,,e l i a,,,,,,,,,,,,m s i,ɓ l e,,,,,,,,,,
12690_63_beblack,ts ɨ l i m,,c i l ə m,,,,,,,,,,,,,,s ə l ə m,,,,j a + s ɨ l ɨ m,,,,,,,,,,,,s ɨ l ɨ m,,,,,,,,,,,
126_16_ankle,k ʔ a n k ʔ a m o,,,,,,,,,,,,,,,,,,s ɨ + l + a s ɨ,,m a k ʔ a r k ʔ a r,m ɓ ɨ l,,,,,,,,,,,k ʔ a k ʔ a m o,k o l o,,,,,,,,,,
12712_89_build,,,,,,,,,,,,,,,,,d i r i n g e l,,,,,,,,,,,,,,,,g a + d r e n g e l + t ɨ n,,,,,,,,d r i n g e l,,,
12767_121_clay,,,,,,,,,,d r i ʃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12767_418_mud,,,,,,,,,,d r i ʃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127_280_grasshopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b ɑ t u t u,,,,,,,,
12829_693_wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g u d u ŋ + g u d u ŋ,,,,,,,,
12830_596_sun,ts ɨ,,,,,,,,,,,,,,,,,,s ɨ,,s ɨ,s ɨ,,,,,,,,,,,s ɨ,s ɨ,,,,,,,,,,
12832_611_ten,,,,,,,,,k u m,,,,,,,,,,,,,,,k u m o u,,,,,,,,,,,,,,,,,,,,
12834_478_protect,,,,,,,,,,,,,,,,,,,ɗ e l + a n g a l + l ɨ + g e,,h ɨ n + k a t ɨ,,,,,,,,,,,,h ɨ n + k a l a g ɨ,ɓ a r a,,,,,,,,,,
12864_15_animal,d i + l + g ɨ l e,,,,,,,,,,,,,,,,k u r u d i,,ɬ u,,b a h i m a,,,,d a b a,,,,,,,,j i + ɨ l + g ɨ l e,w e l ɨ g e,,,,,,,b a h i m e,,,
12876_276_grandfather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b ə b a + i + b ə b a + g a,,,,,,,,,,,,,,
1287_528_seven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c u w ɓ e,,,,,,,,,,,,,,c ə ɓ a,
12888_407_month,,,k i j a,,,,,,,,k ə j a,k i j a,,,,,,,,,,,,,,,,,,k ə j a,,k ə j a,,,,,,k ə j a,,,,,,h i j a
12888_408_moon,,,,,k i j a,,,,,,k ə j a,k i j a,,,,,,,,,,,,h j a,k i j a,,k i j a h,,,,,k ə j a,,,,,,k ə j a,,,,,k i j a h k e,h i j a
12890_10_all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f ə t,,,,,
12920_694_wife,,,,w ɑ l ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12920_700_woman,,,,w ɑ l ɑ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294_585_stomachinternal,m ɓ ɨ n,,n g u ə n,,,,,,,,,,,,,,s u r o,,n g u n,,m g b ɨ n,,,,j a + b ɨ j ɨ n e,,,,,,,,n gʷ ɨ n,n g u n,,,,,,,b a t u n,,,a b gʷʱ a i
12969_417_move,h ɨ ɬ ʔ ɨ n + s i,,,,,,,,,,,,,,,,,,n gʱ e l + z i,,,,,,,,,,,,,,h a c ʔ a n + g ɨ + s i,gʱ ɨ l,,,,,,,,,,m ə z j a
12972_300_hat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b i r e w r e w,,,,,,,,
12983_182_eagle,n k ʔ a l e,,,,,,,,,,,,,,,,k o w u,,m a s ɨ l a n k a i,,g a l,,,,,,,,,,,,n k ʔ w a l e,,,,,,,,,,,
12990_566_sometimes,,,,,,,,,,,,,,,,,,,s ɨ n + s a k a,,s ɨ + s a,,,,,,,,,,,,ɓ a r,b a r + b a r,,,,,,,,,,
13010_329_hut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b i r,,,,,,,,,,,,,,
13013_318_honey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a m a,,,,,,
13013_46_bee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a m a,,,,,,
13018_697_wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k ə r p ɑ ɬ ɑ,,,,,,,,
13031_640_betogether,,,m ə a d ə g a j,,,,,,,,,,,,,,r o kː o,,h ɨ n + m a t a ɗ e,,m a r g ɨ,,,,,,,,,,,,m a r a g ɨ,m ɨ + j a + d ɨ + m a t e,,,,,,,,,,
13056_76_bowl,,,,,,,,,,,,,,,,,,,,,b u g r a,,,,t a c a,,,,,,,,m ɓ ɨ l j o,k ʔ ɨ rʱ a w,,,,,,,,,,
13057_476_prison,,,d a n g a j,,,,,d a ŋ g a j,,,,,,,,,d a n g a i,,,,,,,,,,,,,,,,d a n g a j a,,,,,,,,d a n g a j,,,
1305_175_drip,,,,,,,,,,,,,,,,,,,s ʔ ɨ l i w u n,,,,,,,,,,,,,,,i + r ɨ m + t ɨ n,,,,,,,,,,
13099_658_two,,,,,,,,,,,,,,,,,,,,,,,,,,,t i a w,,c e w,,c ʉ,c e w,,,,c ʉ,,ts i j o,,,,,c a w,
13111_424_navel,ts ɨ m ts ɨ m,,,,,,,,,,,,,,,,,,,,s ɨ m s ɨ m,s ɨ m s ɨ m,,,,,,,,,,,s ɨ m s ɨ m,,,,,,,,,,,
13119_454_owl,b o m e,,,,,,,d uː j iː r e,,,,,,,,,d u j i,,z u z u,,g u g u m,,,,,,,,,,,,b o m e,z u z u,,,,,,,,,,
13130_449_only,,,m u h,,,,,,,,,,,,,,,,gʱ u w a l e + l e,,j ɨ g ɨ,,,,,,,,,,,,j i g ɨ,i ʃ a k,,,,,,,b a s,,,
13154_183_ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɮ ə m,,,,,,,,,,,,,,
13186_487_rain,,,,,,,,,,,,,,,,,,,s a m a,,,,,,,,,,,,,,,s a m a,,,,,,,,,,
1318_571_besour,,,,,,,,,,,,,,,,,c a m c a m,,s ʔ e m s ʔ e m,,,,,,,,,,,,,,s ʔ e m s ʔ e m,s ʔ e m s ʔ e m,,,,,,,,,,j a m j a m a
13213_160_demonevilspirit,s e t a n,,,,,,,,,,,,,,,,ʃ e t a n,,,,ʃ e t a n,,,,s ɨ m ɗ e,,,,,,,,s i t a n,ʃ i t a r e,,,,,,,c e t a n,,,
1321_602_sweetpotato,,,,,,,,d a ŋ k a l i,,,,,,d a n k a l i,,,d a n g a l i,,,,,,,,,,,,,,,,d a n k a l i,,,,,,,,,,,
13247_328_husband,,,,,,,z e l,,,,z e l,,,,,,,,,,,,,,,,,,,z e l,z e l,,,,,,,,,,,,,
13247_388_man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z e l,,,,,,,,,,,,
13261_22_armpit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h u ŋ g u,,,,,,,,
13271_287_groanwithpain,,,,,,,,,,,,,,,,,g ə r t ə,,n d ɨ s ɨ w u n,,ɗ e + g b a,,,,,,,,,,,,h ɨ n + g ɨ r t ɨ,s ʔ ɨ gʱ e j,,,,,,,,,,
13303_109_charcoal,,,,,,,,,,,,,,,,,,,,,,,v u n j i,u vʷ u n j i,,,,,,,,,,,,,,,,,,,,
13323_372_lion,,,,,,,,,,,,,,,,,,,z ɨ v ɨ n i,,s a r,,,,,,,,,,,,,s ɨ v a r,,,,,,,,,,
13364_5_adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g u l a,,,,,,,,,,,,,,
13364_714_youngman,,,,,,,g u l a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13374_602_sweetpotato,d a n k a l i,,,,,,,,,,,,,,,,,,d a n k a l i,,d a n k a l i,,,,,,,,,,,,b a n g a w,b a n g a w,,,,,,,b a n g a w,,,
13396_111_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɓ ə r a v,,,,,,,,,,,,
13396_305_heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɓ ə r a v,,,,,,,,,,,,
13403_107_chair,,,b a m b a r,,,,,,,,,,,,,,,,,,b a m b a r,,,,,,,,,,,,d ɨ g e,k u r s i,,,,,,,k u r s i,,,k u r s i w
13405_664_thigh,d ɨ ɓ ɨ l,,,,,,,,,,,,,,,,d u n o,,,,d ɨ g b ɨ l,,,,,,,,,,,,d u g u l u,,,t ɑ k o l ɑ j,,,,,,,,
13415_147_cup,,,,,,,,,,,,,,,,,,,,,,,,,k o p + ɨ ŋ + a ʔ ɨ m,,,,,,,,k o b u,,,,,,,,k o b,,,k o p ə
13424_631_throw,d e,,,,,,,,,,,,,,,,,,h i w u n,,ɬ e w u n,,,,,,,,,,,,d e,s e,,,,,,,,,,d u n kʷ a
13432_204_explain,,,,,,,,,,gʱ ɑ l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13432_517_say,,,,,,,,,,gʱ ɑ l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13432_543_show,,,,,,,,,,gʱ ɑ l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13452_583_steal,e ts ɨ n,,,,,,,,,,,,,,,,,,h e s ɨ n,,,,,,,,,,,,,,h ɨ n + h e j s ɨ n,i s ɨ n,,,,,,,,,,
1346_384_maizecorn,m a b r e,,m a h a r,,,,,m a s a r w u,,,,,,m a s a r a a,,,m a s a r,,b a b r a,,m a s a r,,,,,,,,,,,,m a s a r,j a m b a lʷ e,,,,,,,m a s a r,,,b a b ə r a
13481_55_abdomenexternal,,,,,,,,,,,,,,,,,,,n g u n,,,,,,,,,,,,,,,n g u n,,,,,,,,,,
13484_186_earthworm,d ɨ ɗ i,,,,,,,,,,,,,,,,k a s u s u,,t ɨ l ɗ i,,t a ɗ i,,,,,,,,,,,,ɗ ɨ s e,t a ɗ i,,,,,,,,,,
13498_671_vulture,b a d r e,,,,,,,,,,,,,,,,n g ə r w u,,d a + g a + m a kʷ a ɗ e,,b a d r i,b a d r i,,,,,,,,,,,b a d r i,p a b a + n k ʔ u r e,,,,,,,,,,
13532_116_child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j e,,,,,,,
13532_522_seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j e,,,,,,,
13532_559_small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j e,,,,,,,
13532_567_son,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j e,,,,,,,
13539_14_and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ə n t a,,,,,,
13539_699_with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ə n t a,,,,,,
13544_121_clay,u w a n,,,,,,,,,,,,,,,,k u lʷ u n,,l ɨ k ʔ u i j o,,l ɨ k ʔ ɨ d i,,,,d ɨ l ɓ i + n + g ɨ n i,,,,,,,,w a n,m a r u r u,,,,,,,,,,
13559_565_soldier,,,a ə x k ə r,,,,,,,,,,,,,,a s k ə r,,a ʃ k a r,,a s k a r,,,,,,,,,,,,a s k a r,a ʃ k a r,,,,,,,a s k a r,,,
13585_189_egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɗ ə ɬ e,,,,,,,,,,,,,,
13600_35_barkoftree,l e l e,,,,,,,,,,,,,,,,k a s k a ʃ i,,l i e,,l e l e,,,,,,,,,,,,l e l e,l e r,,,,,,,,,,
1361_659_beugly,ɓ a s e,,,,,,,,,,,,,,,,n j aː l,,s x e l e + s a,,m ɓ e s ɨ n,,,,,,,,,,,,ɓ a s e,ɓ o n j e,,,,,,,c e n,,,
13623_201_evening,a d u a r,,c i r i,,,,,m a ŋ g a r i b a,,,,,,,,,b u n e,,m e s ɨ,,k a s ɨ,,,,,,,,,,,,m a r j i b u,a ʃ a r,,,,,,,m a x r i b,,,
13626_249_fog,l ɨ b o,,,,,,,,,,,,,,,,b a n t ə g ə n e,,b u t u t u,,g b ɨ b a,,,,,,,,,,,,n g u r ɓ i o,p o r i,,,,,,,,,,
13635_579_squirrel,,,,,,,,,,n d z r ɑ m,,,,,,,,,,,,,,,,,,n dʒ u r o ŋ,,,,,,,,,,,,,,,,
13653_263_fry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s ɨ l j a + h o,,,,,,,,,,,c i h j a
13669_72_bone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɑ ɬ ɑ t,,,,,,,,
13708_100_canoe,,,m a g ə r a,,,,,,,,,,,,,,k o l e k o l e,,,,,,,,,,,,,,,,w o m,,,,,,,,,,,
13720_642_tomorrow,g i s u,,h ə b a,,,,,,,,,,,,,,b a l i,,d i a s ɨ n,,k i w,,,,,,,,,,,,g i s u,k i z u,,,,,,,a m b a k i r,,,g ə r m o
13764_688_bewhite,,,,p e p e ɗ e k,,,,,,p e ɗ e k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13780_321_horse,,,,,,,,,,,,,,,,,,,b u s kʷ a n,,,,,,,,,,,,,,b ɨ s k o n,b u s kʷ a n,,,,,,,,,,b u s k u n
13799_315_hoen,,,,,,,b a r a m,,,,b a r a m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13807_75_bowhunting,,,,,,,,,,,,,,,,,k a f i,,k a p i + ɨ n + t a n g i,,,,,,,,,,,,,,k a b i,k a p i,,,,,,,,,,
13845_330_hyena,,,,kʷ ɑ j kʷ ɑ j ɑ,,,m a t a k o j a,,,kʷ ɑ kʷ ɑ j ɑ,,m o t k o j a,,,,,,,,,,,,,,,,k o j k o jː a,,,,m o t o k o j o,,,,,,,,,,,,
13856_207_eyelash,,,,,,,,,,,,,,,,,f o r t o,,m s ʔ a l + h e + s e,,m s ʔ ɨ r e + g e + ɨ l,,,,h a c a f n a + a d e,,,,,,,,m s ɨ g ɨ + s ɨ + n s e,m s ʔ a l + a + g i + s e,,,,,,,,,,
13903_139_cow,ɬ a,,h a,,,,,,,,,,,,,,,,n s l a,,ɬ a,,,,k ɨ s a,,,,,,,,ʃ a,s a + r + g ɨ r ɨ m,,,,,,,,,,a s a
13905_604_swim,b ɨ j o,,,,,,,,,,,,,,,,,,,,l e d ɨ + b i a,,,,,,,,,,,,b i a + h o,,,,,,,,,,,
13907_416_mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b a ɮ a m,,,,,,,,,,,,,,
1391_290_gun,,,,,,,,b i n d i g aː r u,,,,,,,,,b ə n d ə g ə,,d a r,,b ɨ n d ɨ g ɨ,,,,,,,,,,,,b ɨ n d ɨ g ɨ,d a r,,,,,,,b u n d u g,,,d a r
13931_120_claw,,,,ɮ e r e k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13931_230_fingernail,,,,ɮ e r e k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13942_49_beggar,f u k ʔ u r a,,h o g ə r a,,,,,,,,,,,,,,s u nː g i n,,b ɨ l a + e + m ɨ s ɨ n,,m e + n s u m,,,,,,,,,,,,m s i + m s u n,b ɨ r + m s u n,,,,,,,,,,
13972_627_thorn,t i t o,,,,,,,,,,,,,,,,k a l g i,,s a w a,,j oː,,,,,,,,,,,,d o d o,n s oː,,,,,,,c o k,,,s a w a
13984_221_feast,,,n g ə m u r i,,,,,,,,,,,,,,n g ə m ə r i,,n g u b r i,,n g u m ɨ r,,,,,,,,,,,,n g ɨ m ɨ r i,n g u m u r,,,,,,,,,,n g u b ə r i
14008_135_cotton,m ɨ r e,,,,,,,,,,,,,,,,k a l t a n,,m p a t a k i,,j i r e,,,,,,,,,,,,s a r e,p a r a k i,,,,,,,g u t u n,,,
14019_404_money,n ɨ m a n,,c ə a n d i,,,,,,,,,,,,,,k u n g ə n a,,l ɨ m a n,,r i a l,,,,l j a r,,,,,,,,n ɨ m a n,ʃ u n g u,,,,,,,r i j a l,,,r j a l
14030_356_leaf,,,,,,,,,,v e j i ɗ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14030_93_bush,,,,,,,,,,v e j i ɗ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14036_392_marry,,,,,,,,,,,,,,,,,l o r u s a,,,,,,,,,,,,,,,,h ɨ n + a r u s u,,,,,,,,a r u s,,,
14040_151_daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k ə r ə ŋ,,,,,,,,
14040_636_toad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k ə r ə ŋ,,,,,,,,
14054_427_necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d a s a j,,,,,,,,,,,,,,
14054_78_bracelet,,,,,,,,,,,d a s a j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14073_512_run,,,,,,,,,,,,,,,,,,,gʱ u v i,,,,,,,,,,,,,,f o + n i,v i,,,,,,,,,,
14082_30_baboon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɑ l u g u v,,,,,,,,
14083_219_feather,f t a g o,,,,,,,,,,,,,,,,t i k t i g ə,,m p ɨ ɬ h a,,m s ɨ g ɨ,,,,s i f a,,,,,,,,f a s k e,s ɨ r k ɨ r,,,,,,,,,,t a k a f i
14091_225_fifty50,d ɨ g ɨ n + g a s i + g o + k a n,,h ə k a n + x i n g i,,,,,,,,,,,,,,f j u w u,,t ɨ k ɨ m + x s ɨ ɗ a + k a + x k a n,,h a m s i n,,,,,,,,,,,,h a m s i n,t ɨ k ɨ m + k i c o + d ɨ n + v r e,,,,,,,x a m s i n,,,h a m ʃ i m
14105_170_donkey,,,,,,z u ŋ gʷ e,z u ŋ g o,,,,z u ŋ g o,z u n g o,,,,,,,,,,,,,,,,,z u n g o,z ə ŋ g a w,,,,,,ɑ z o ŋ g u,,a z i ŋʷ a,,,,z u n gʷ a,a ʒ i ŋʷ a,
14129_302_hawk,s i w,,,,,,,,,,,,,,,,d a m g a,,s m a l i l i,,m u k ʔ ɨ l a i,,,,,,,,,,,,s i w,,,,,,,,,,,
14160_515_salt,ɓ ɨ r o,,,,,,,,,,,,,,,,m a n d a,,gʱ u l e n + ɬ a n,,w u r a n,,,,,,,,,,,,k u r o,u r a n,,,,,,,,,,j a l a k a
14173_380_louse,d a s ɨ,,,,,,,,,,,,,,,,k ə n g ə s ə,,n t a s ɨ,,d a j,,,,,,,,,,,,t a s ɨ,n t a s,t a s iː,,,,,,,,,n t a s i
1417_21_arm,m b ɨ l a,,,,,,,,,,,,,,,,,,m p a l a,,m b a l a,m b a l a,,,,,,,,,,,m b a l a,m p a l a,,,,,,,,,,
14183_328_husband,w i,,,,,,,,,,,,,,,,kʷ a,,b ɨ l a + e + g ɨ n ɨ m,,b l e w e + n g ɨ,,,,gʱ a z e,,,,,,,,w i,b l u w e + a k ɨ,,,,,,,,,,
14197_573_sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g o c a j,,,,,,,,,,,,
14197_631_throw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g o c a j,,,,,,,,,,,,
14201_688_bewhite,,,,,,,,,,,,,,,,,,,p a w,,,,,,,,,,,,,,,p o w,,,,,,,,,,
14252_501_river,h ɨ l a m,,,,,,,,,,,,,,,,,,l ɨ gʱ ɨ m i,,l a m,,,,,,,,,,,,l a m,l a m,,,,,,,,,,
14265_308_help,h e l + n g ɨ r n o,,d u gʷ a,,,,,,,,,,,,,,n g u r n o,,d ɨ gʷ a,,d ɨ g b a w u n,,,,,,,,,,,,h ɨ n + n g ɨ r n o,r gʷ a,,,,,,,,,,d u gʷ j a
1426_700_woman,g ɨ r ɨ m,,n g ə r ə m,,,,,,,,,,,,,,,,g ɨ n ɨ m,,g r ɨ m,,,,,,,,,,,,g ɨ r ɨ m,g ɨ r ɨ m,,,,,,,,,,
14278_579_squirrel,k ɨ n e r i,,,,,,,,,,,,,,,,k ə n j e r i,,,,k ɨ n e r i,,,,,,,,,,,,k ɨ n e r i,,,,,,,,,,,
14298_204_explain,,,,gʷʱ ɑ l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14298_543_show,,,,gʷʱ ɑ l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14339_617_then,,,g a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k ʔ a n i,,,,,,,,,,,
14400_86_broom,w ɨ ts o,,,,,,,,,,,,,,,,,,,,w a ɬ ɨ,,,,,,,,,,,,w o s o,,,,,,,,,,,
1441_459_perhaps,,,k ə a g u,,,,,,,,,,,,,,,,s a b ɨ r a k a,,ɓ a r,,,,,,,,,,,,a t r o,w a lː a + ɓ a r,,,,,,,a k u n,,,b r a k a
14430_655_twenty20,ɗ ɨ g ɨ m,,x a g ə,,,,,,,,,,,,,,f i n d i,,t ɨ k ɨ m,,b l o,,,,,,,,,,,,m b ɨ l o,t ɨ k ɨ m,,,,,,,i c i r i n,,,t ə k ə m
14455_425_near,k ɨ s k e,,h u ə gʷ i,,,,,,,,,,,,,,k ə s k e,,j o,,k ɨ s k e,,,,,,,,,,,,k ɨ s k e,z i o,,,,,,,h a jː i n,,,m a + s k e
14482_567_son,,,,m b ɑ m ɑ w ɑ l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14482_77_boy,,,,m b ɑ m ɑ w ɑ l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14499_268_girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w a w a + i + d e m,,,,,,,,,,,,,,
144_687_where,,,x i,,,,,,,,,,,,,,n d a r a,,n a k e,,h o d i,,,,,,,,,,,,w a l e,d a + h a k i,,,,,,,,,,gʷʱ i n a
